from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,MP-Xylene,AT,RH,WS,WD,SR,BP,RF,to date,station
22-Jan-2019 - 00:00,28.93,0.18,7.54,4.84,14.2,11.5,19.0,8.01,62.93,108.24,0.32,0.81,1.26,0.84,28.58,49.17,2.26,218.45,124.28,743.0,0.0,23-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
23-Jan-2019 - 00:00,30.28,0.14,9.54,4.41,12.26,10.11,20.5,8.01,71.65,116.53,0.31,0.79,1.38,0.95,23.57,54.94,1.94,223.55,109.54,743.0,0.0,24-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
24-Jan-2019 - 00:00,30.41,0.2,10.72,5.14,12.39,10.77,20.23,8.15,58.44,103.64,0.31,0.74,1.29,0.9,21.6,55.14,2.01,231.12,116.7,743.02,0.0,25-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
25-Jan-2019 - 00:00,29.53,0.14,8.31,4.3,10.64,9.15,17.15,7.56,41.8,73.11,0.26,0.65,0.98,0.63,19.42,57.91,3.22,251.39,83.74,743.0,0.0,26-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
28-Jan-2019 - 00:00,30.74,0.1,29.23,7.81,14.15,13.61,43.4,7.14,40.16,98.41,0.38,1.34,1.65,0.9,23.01,48.92,1.46,180.9,220.23,744.0,0.07,29-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
29-Jan-2019 - 00:00,30.35,0.11,14.35,7.44,16.62,14.88,39.78,8.06,35.73,89.83,0.31,0.96,1.35,0.8,17.0,43.26,0.87,188.77,159.35,744.0,0.02,30-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
30-Jan-2019 - 00:00,29.41,0.21,10.0,10.33,15.48,16.09,30.62,8.25,39.26,115.97,0.32,1.01,1.08,0.57,16.15,43.62,0.61,199.48,160.99,744.0,0.01,31-Jan-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
31-Jan-2019 - 00:00,29.5,0.25,9.62,8.64,14.56,14.77,32.21,7.89,60.0,115.27,0.41,1.05,1.2,0.7,16.03,46.38,0.78,170.22,158.25,743.8,0.0,01-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
01-Feb-2019 - 00:00,29.45,0.22,11.14,6.94,12.0,12.03,33.18,7.78,61.24,105.02,0.34,0.97,1.33,0.81,16.97,53.25,0.83,187.79,137.51,743.52,0.0,02-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Feb-2019 - 00:00,29.41,0.26,10.97,6.5,12.3,11.83,33.11,7.96,59.93,112.19,0.34,0.95,1.36,0.85,17.76,51.0,0.55,159.29,143.61,743.43,0.0,03-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Feb-2019 - 00:00,29.18,0.14,10.53,8.13,13.0,13.52,33.79,8.03,52.14,109.51,0.34,1.0,1.4,0.9,17.97,44.86,0.97,174.4,150.6,743.74,0.0,04-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Feb-2019 - 00:00,29.16,0.18,8.01,6.81,14.61,13.31,33.31,8.05,62.06,135.82,0.32,0.98,1.23,0.76,17.86,44.06,0.74,192.6,137.07,744.0,0.0,05-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Feb-2019 - 00:00,29.08,0.36,10.04,15.29,13.53,19.63,34.87,8.1,84.2,173.59,0.49,1.6,1.61,0.84,18.06,47.01,0.3,126.24,150.15,743.97,0.0,06-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Feb-2019 - 00:00,29.68,0.17,9.0,7.9,12.25,12.84,31.34,7.96,64.3,119.11,0.35,1.24,1.33,0.7,18.3,48.0,1.13,178.0,126.59,743.12,0.0,07-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Feb-2019 - 00:00,30.01,0.1,7.52,5.1,10.06,9.49,31.45,7.82,60.07,112.6,0.26,0.63,1.1,0.76,18.46,50.9,2.03,224.67,166.75,743.0,0.0,08-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Feb-2019 - 00:00,29.7,0.63,9.82,8.63,18.62,16.36,31.48,8.71,57.55,196.64,0.38,1.54,1.42,0.64,20.19,40.62,0.47,275.72,140.98,743.28,0.0,09-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Feb-2019 - 00:00,30.49,0.08,8.05,6.99,17.61,15.04,30.19,9.21,34.92,151.47,0.34,1.19,1.37,0.68,15.94,36.29,1.09,198.35,165.07,743.77,0.0,10-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Feb-2019 - 00:00,30.85,0.14,6.1,6.3,17.33,14.34,27.46,9.78,31.59,124.6,0.27,0.73,1.11,0.65,16.25,37.5,0.3,165.17,166.41,744.0,0.0,11-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Feb-2019 - 00:00,29.93,0.6,7.66,6.33,16.95,14.0,23.08,8.77,48.99,146.24,0.33,1.12,1.14,0.6,17.09,41.95,0.3,140.15,163.45,744.0,0.0,12-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Feb-2019 - 00:00,29.11,0.19,7.87,4.83,13.66,11.2,16.88,8.38,62.9,141.05,0.33,1.05,1.14,0.64,17.94,45.94,0.3,93.44,144.34,744.0,0.0,13-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
13-Feb-2019 - 00:00,28.98,0.3,8.0,5.77,12.31,11.23,15.56,7.84,53.85,131.43,0.32,1.26,1.21,0.67,18.42,44.81,0.7,119.88,167.39,744.0,0.0,14-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
14-Feb-2019 - 00:00,29.08,0.14,7.21,8.43,12.46,13.47,17.31,8.13,51.46,113.19,0.39,1.55,1.49,0.76,18.64,44.74,0.9,141.95,169.65,743.34,0.0,15-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
15-Feb-2019 - 00:00,29.95,0.24,7.86,4.74,11.45,9.95,16.9,8.26,45.03,97.92,0.27,0.95,1.25,0.75,19.24,49.91,1.26,231.65,138.71,743.18,0.0,16-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
16-Feb-2019 - 00:00,29.95,0.29,11.74,5.18,12.19,10.7,20.86,8.14,50.24,99.56,0.28,1.04,1.37,0.82,18.63,57.01,0.3,213.48,156.19,743.23,0.01,17-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
17-Feb-2019 - 00:00,29.69,0.25,11.8,5.21,12.97,11.13,23.26,8.21,55.52,117.48,0.32,0.97,1.34,0.82,18.29,48.96,0.97,147.54,154.15,743.22,0.0,18-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
18-Feb-2019 - 00:00,29.81,0.48,11.62,13.09,22.57,22.65,27.56,18.8,61.25,170.55,0.48,1.87,1.76,0.88,18.43,44.02,0.3,181.27,171.72,743.1,0.0,19-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
19-Feb-2019 - 00:00,29.64,0.38,12.04,5.0,13.55,11.27,21.16,8.88,51.07,108.19,0.32,1.11,1.45,0.87,19.64,43.66,0.3,153.27,162.92,743.07,0.0,20-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
20-Feb-2019 - 00:00,29.59,0.25,11.78,5.77,10.3,10.17,20.41,7.93,42.43,84.73,0.26,0.9,1.33,0.88,20.27,51.2,0.74,183.52,155.88,743.55,0.0,21-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
21-Feb-2019 - 00:00,29.81,0.31,11.23,6.02,11.04,10.49,21.69,7.42,41.29,88.9,0.31,1.25,1.52,0.93,19.17,52.92,0.3,177.1,17.42,743.9,0.0,22-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
22-Feb-2019 - 00:00,30.61,0.28,11.82,6.47,11.69,11.47,24.16,8.2,41.69,105.78,0.34,1.34,1.71,1.05,25.08,43.32,0.31,176.39,155.29,743.24,0.0,23-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
23-Feb-2019 - 00:00,29.96,0.36,11.64,7.86,14.27,13.72,24.06,8.63,45.71,132.07,0.34,1.45,1.68,0.99,27.2,43.0,0.3,211.15,188.32,743.0,0.0,24-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
24-Feb-2019 - 00:00,30.0,0.46,12.18,5.78,15.3,12.83,26.27,8.15,71.02,179.57,0.45,1.72,1.97,1.13,24.99,34.14,0.81,201.83,210.97,742.62,0.0,25-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
25-Feb-2019 - 00:00,30.36,0.47,12.34,12.62,19.61,20.69,27.67,9.5,49.92,173.33,0.51,2.23,1.98,0.92,20.97,37.67,0.64,260.81,164.7,742.88,0.0,26-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
26-Feb-2019 - 00:00,30.17,0.53,11.84,15.04,17.57,21.08,27.18,9.75,62.4,206.82,0.55,2.35,2.2,1.07,21.01,36.73,0.34,176.18,151.38,742.74,0.0,27-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
27-Feb-2019 - 00:00,30.41,0.66,12.05,20.84,18.71,26.73,31.5,9.47,54.64,199.95,0.57,2.56,2.38,1.04,21.34,36.01,0.54,268.69,163.65,742.64,0.0,28-Feb-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
28-Feb-2019 - 00:00,30.07,0.32,11.87,10.87,16.15,17.43,28.13,8.76,39.55,153.91,0.43,1.89,2.03,1.04,19.53,38.19,1.06,189.31,173.69,743.0,0.0,01-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
01-Mar-2019 - 00:00,29.98,0.2,12.79,4.19,12.58,10.11,24.63,8.49,32.3,102.5,0.22,0.84,1.27,0.81,19.84,38.34,0.84,178.84,174.66,743.08,0.0,02-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Mar-2019 - 00:00,30.25,0.25,12.77,4.4,11.22,9.55,24.03,8.26,52.08,125.56,0.28,0.89,1.27,0.84,20.64,46.88,0.96,122.89,139.53,743.1,0.0,03-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Mar-2019 - 00:00,30.1,0.18,12.04,5.23,9.5,9.31,21.59,8.21,32.5,73.5,0.21,0.74,1.36,0.97,22.2,49.98,1.72,162.67,152.64,742.86,0.0,04-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Mar-2019 - 00:00,30.14,0.35,12.31,8.34,12.79,13.59,24.45,8.32,50.01,149.38,0.34,1.36,1.74,1.1,23.16,43.6,0.46,200.21,172.88,742.47,0.0,05-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Mar-2019 - 00:00,30.21,0.35,12.24,8.77,13.61,14.37,22.96,8.67,44.75,173.79,0.45,1.87,2.01,1.14,22.5,36.57,1.41,235.16,179.75,742.54,0.0,06-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Mar-2019 - 00:00,30.1,0.24,13.07,4.45,14.43,11.11,20.87,8.65,32.02,113.7,0.27,1.23,1.55,0.92,23.71,34.67,0.83,205.49,188.85,743.0,0.0,07-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Mar-2019 - 00:00,30.77,0.31,12.97,6.24,16.94,13.8,24.25,8.95,47.85,133.31,0.32,1.25,1.58,0.96,22.51,39.85,0.73,167.88,211.15,743.0,0.0,08-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Mar-2019 - 00:00,28.95,0.36,12.65,6.54,18.8,14.73,23.2,8.43,45.14,147.68,0.28,1.42,1.59,0.96,25.64,30.15,0.3,125.41,256.13,743.13,0.0,09-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Mar-2019 - 00:00,29.44,0.41,13.49,6.29,17.02,14.17,25.96,8.38,61.66,175.56,0.36,1.72,1.82,1.04,24.65,37.32,0.67,178.15,174.58,743.05,0.0,10-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Mar-2019 - 00:00,27.88,0.46,14.7,5.15,19.77,14.71,25.02,8.41,60.24,187.66,0.49,2.57,2.46,1.26,25.14,38.61,0.51,225.66,182.96,743.08,0.0,11-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Mar-2019 - 00:00,28.85,0.3,15.03,4.01,14.01,10.71,22.8,8.47,42.05,122.48,0.34,1.58,1.8,1.05,25.68,43.71,0.66,199.08,152.03,743.15,0.0,12-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Mar-2019 - 00:00,28.96,0.36,14.88,4.63,17.41,13.02,23.58,9.75,54.84,153.08,0.39,1.99,1.82,0.96,26.29,41.39,0.3,162.75,122.03,743.19,0.0,13-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
13-Mar-2019 - 00:00,29.25,0.24,15.61,3.89,11.66,9.36,19.99,8.24,38.46,120.97,0.25,1.21,1.53,0.94,26.58,40.15,1.66,147.74,124.53,743.14,0.0,14-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
14-Mar-2019 - 00:00,30.1,0.57,14.54,5.75,19.17,14.78,26.55,8.33,47.34,147.83,0.33,1.95,1.98,1.01,26.38,37.82,0.6,226.1,130.1,743.1,0.0,15-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
15-Mar-2019 - 00:00,31.45,0.67,14.46,4.87,21.96,15.18,29.64,8.6,55.37,178.83,0.53,2.95,2.7,1.29,27.61,36.07,1.01,196.76,157.9,743.13,0.0,16-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
16-Mar-2019 - 00:00,30.33,0.34,16.29,3.73,12.96,9.75,27.16,8.36,43.31,137.09,0.36,1.91,2.08,1.14,25.09,36.71,1.36,152.45,179.01,743.22,0.0,17-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
17-Mar-2019 - 00:00,28.21,0.19,17.09,3.71,9.69,8.16,23.43,8.03,42.41,115.75,0.23,0.78,1.34,0.92,28.73,40.73,2.5,168.53,176.65,743.18,0.0,18-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
18-Mar-2019 - 00:00,29.38,0.36,17.17,3.65,10.14,8.28,23.47,8.25,43.64,118.13,0.25,0.84,1.26,0.85,26.79,40.02,1.97,164.62,175.8,743.12,0.0,19-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
19-Mar-2019 - 00:00,31.93,0.29,16.53,3.75,12.12,9.5,26.79,8.59,36.57,94.03,0.29,1.22,1.96,1.39,25.41,43.17,1.05,175.99,176.7,743.0,0.0,20-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
20-Mar-2019 - 00:00,31.43,0.34,17.68,3.56,10.18,8.31,24.06,8.46,51.48,107.33,0.28,1.01,1.88,1.37,23.94,46.6,2.48,153.38,172.93,742.84,0.0,21-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
21-Mar-2019 - 00:00,30.95,0.49,18.24,3.36,8.15,7.05,22.93,8.04,39.46,60.58,0.26,0.6,1.52,1.12,23.24,56.17,1.62,155.29,185.19,743.0,0.0,22-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
22-Mar-2019 - 00:00,31.76,0.28,18.67,4.38,16.19,11.4,25.07,9.37,39.1,94.42,0.24,1.43,2.06,1.34,25.78,39.38,0.45,202.42,236.17,743.0,0.0,23-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
23-Mar-2019 - 00:00,30.9,0.37,16.54,3.71,14.27,10.6,24.98,8.67,44.45,105.74,0.31,1.56,2.32,1.53,24.65,39.61,0.3,154.44,185.53,743.07,0.0,24-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
24-Mar-2019 - 00:00,30.97,0.32,18.03,3.65,12.63,9.68,23.69,8.75,51.22,125.24,0.34,1.25,2.15,1.47,26.17,33.67,0.72,121.48,190.55,743.07,0.0,25-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
25-Mar-2019 - 00:00,31.78,0.57,17.22,3.57,12.45,9.52,25.3,8.02,97.45,167.32,0.43,1.29,2.02,1.34,25.71,34.34,0.69,156.5,245.12,743.0,0.0,26-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
26-Mar-2019 - 00:00,32.2,0.52,14.28,4.35,17.39,12.06,27.63,8.57,54.43,147.37,0.44,2.49,2.78,1.57,25.06,22.64,0.57,196.47,256.93,743.0,0.0,27-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
27-Mar-2019 - 00:00,32.26,0.44,15.19,3.67,14.64,10.77,27.69,9.27,56.98,146.38,0.4,2.19,2.66,1.57,23.24,38.58,0.42,171.36,190.16,743.17,0.0,28-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
28-Mar-2019 - 00:00,32.1,0.59,14.57,3.81,18.25,12.63,27.68,8.98,65.29,164.98,0.38,2.2,2.51,1.45,23.58,31.82,0.43,122.8,172.06,743.06,0.0,29-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
29-Mar-2019 - 00:00,32.32,0.76,13.91,5.63,20.41,14.82,29.94,8.9,76.75,183.23,0.53,2.62,2.9,1.69,23.63,32.18,0.6,123.78,222.91,742.96,0.0,30-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
30-Mar-2019 - 00:00,32.79,0.48,17.5,3.39,12.62,9.46,27.37,8.58,65.05,162.05,0.46,2.41,2.91,1.89,26.15,30.36,0.82,186.52,262.62,742.69,0.0,31-Mar-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
31-Mar-2019 - 00:00,31.25,0.51,16.79,4.36,14.92,11.47,27.13,8.39,65.59,181.28,0.43,2.0,2.52,1.63,24.5,33.8,0.41,207.36,176.82,742.55,0.0,01-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
01-Apr-2019 - 00:00,32.05,0.8,15.35,5.49,23.87,17.16,29.98,9.15,59.57,194.97,0.62,3.52,3.37,1.69,24.44,30.7,0.44,208.89,194.0,742.58,0.0,02-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
02-Apr-2019 - 00:00,31.7,0.41,18.41,3.41,11.18,8.72,24.72,8.54,48.44,116.51,0.31,1.69,2.15,1.26,23.8,37.47,1.25,137.9,190.47,742.84,0.0,03-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
03-Apr-2019 - 00:00,31.71,0.37,17.34,3.44,11.08,8.59,23.86,8.54,45.8,117.71,0.29,1.24,2.0,1.34,23.78,36.76,1.01,146.21,165.61,742.8,0.0,04-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
04-Apr-2019 - 00:00,32.31,0.27,20.16,3.62,8.44,7.07,27.03,8.21,36.46,102.59,0.23,1.04,1.92,1.37,23.9,39.08,1.94,165.67,164.36,742.97,0.0,05-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
05-Apr-2019 - 00:00,28.83,0.43,27.82,3.82,9.04,7.51,21.86,7.99,37.56,123.63,0.34,1.72,1.85,1.02,24.18,34.89,0.46,231.56,156.22,743.0,0.0,06-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
06-Apr-2019 - 00:00,30.07,0.58,28.61,3.92,13.19,10.2,25.77,8.75,48.7,173.11,0.47,2.28,2.43,1.35,24.88,31.48,0.63,242.29,198.26,742.71,0.0,07-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
07-Apr-2019 - 00:00,30.27,0.4,20.51,3.3,11.28,8.68,22.91,8.36,40.03,126.33,0.4,2.14,2.38,1.3,24.57,34.89,1.26,215.26,196.68,742.57,0.0,08-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
08-Apr-2019 - 00:00,30.95,0.32,18.1,3.49,12.35,9.4,23.4,8.93,36.18,100.48,0.27,1.37,1.75,1.07,24.49,36.18,1.27,175.04,204.94,742.36,0.0,09-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
09-Apr-2019 - 00:00,31.33,0.29,17.74,3.37,10.41,8.28,24.41,8.22,32.59,96.22,0.25,1.16,1.66,1.07,24.99,38.11,1.49,176.99,198.8,742.51,0.0,10-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
10-Apr-2019 - 00:00,31.31,0.36,17.34,3.42,11.65,8.99,25.37,8.34,40.95,110.75,0.34,1.66,2.06,1.32,24.77,36.75,0.67,202.44,207.2,742.85,0.0,11-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
11-Apr-2019 - 00:00,31.46,0.41,17.67,3.55,12.9,9.74,24.95,8.19,38.04,129.89,0.35,1.84,2.35,1.51,25.39,33.02,1.37,220.06,202.8,742.69,0.0,12-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
12-Apr-2019 - 00:00,31.86,0.28,20.4,3.18,8.84,7.14,23.94,8.63,32.01,94.79,0.24,1.27,1.71,1.04,24.53,33.72,2.24,151.3,238.04,742.78,0.0,13-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
13-Apr-2019 - 00:00,33.39,0.55,20.59,4.33,19.99,12.76,30.12,11.44,36.07,124.69,0.19,1.04,2.13,1.48,27.72,26.87,0.3,234.67,392.0,742.53,0.0,14-Apr-2019 - 00:00,"Chandrapur, Chandrapur - MPCB"
