from date,PM2.5,PM10,NO2,NOx,NO,CO,SO2,to date,station
20-Mar-2019 - 00:00,24.36,56.66,6.9,10.55,4.13,0.78,9.84,21-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Mar-2019 - 00:00,27.44,46.24,5.76,9.06,4.13,0.79,7.18,22-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Mar-2019 - 00:00,25.87,51.88,5.31,8.4,4.12,0.76,7.42,23-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Mar-2019 - 00:00,14.96,47.15,4.89,7.9,4.19,0.71,6.43,24-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Mar-2019 - 00:00,23.6,66.27,5.34,8.39,4.21,0.73,6.42,25-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Mar-2019 - 00:00,32.27,88.16,7.09,10.75,4.29,0.73,12.18,26-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Mar-2019 - 00:00,34.01,77.7,6.32,10.46,4.11,0.81,8.27,27-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Mar-2019 - 00:00,18.39,39.64,5.94,9.17,4.21,0.76,7.72,28-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Mar-2019 - 00:00,23.21,53.88,6.55,9.83,4.45,0.77,9.2,29-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Mar-2019 - 00:00,26.84,61.2,6.41,9.86,4.18,0.75,8.68,30-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Mar-2019 - 00:00,29.67,64.73,7.67,11.83,4.47,0.72,11.33,31-Mar-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
31-Mar-2019 - 00:00,38.33,88.1,6.98,11.36,4.79,0.77,9.81,01-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Apr-2019 - 00:00,21.58,51.81,6.03,9.15,4.25,0.73,6.61,02-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Apr-2019 - 00:00,23.66,49.97,7.58,11.74,4.31,0.78,13.27,03-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Apr-2019 - 00:00,34.21,58.75,4.32,5.74,5.88,0.6,7.57,04-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Apr-2019 - 00:00,16.72,18.18,0.18,0.0,1.83,0.62,14.75,05-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Apr-2019 - 00:00,10.52,21.6,11.2,8.84,12.39,0.39,6.5,06-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Apr-2019 - 00:00,24.67,76.59,11.26,16.32,3.63,0.93,5.9,07-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Apr-2019 - 00:00,50.86,84.24,12.57,16.12,1.48,1.16,13.86,08-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Apr-2019 - 00:00,25.47,46.79,10.57,13.31,0.36,1.09,6.44,09-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Apr-2019 - 00:00,31.94,54.22,10.46,13.09,0.67,0.89,7.7,10-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Apr-2019 - 00:00,38.78,73.37,10.81,14.16,1.32,0.55,7.68,11-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Apr-2019 - 00:00,37.85,79.24,11.41,14.93,1.7,0.55,8.5,12-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Apr-2019 - 00:00,19.95,42.53,10.56,14.43,1.9,0.5,4.82,13-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Apr-2019 - 00:00,25.74,52.1,11.52,15.57,1.68,0.51,9.09,14-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Apr-2019 - 00:00,30.76,82.83,12.22,16.9,2.83,0.49,8.2,15-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Apr-2019 - 00:00,35.61,81.12,12.24,17.27,3.44,0.46,8.31,16-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Apr-2019 - 00:00,26.01,57.65,10.76,13.63,0.65,0.68,5.76,17-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Apr-2019 - 00:00,14.41,21.76,10.63,14.1,0.97,0.86,5.36,18-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Apr-2019 - 00:00,25.6,39.15,9.86,12.75,0.88,0.57,6.43,19-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Apr-2019 - 00:00,25.28,47.31,9.54,12.24,0.68,0.54,7.76,20-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Apr-2019 - 00:00,24.4,40.54,8.91,11.12,0.53,0.52,7.53,21-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Apr-2019 - 00:00,26.31,42.05,9.02,11.41,0.47,0.5,6.61,22-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Apr-2019 - 00:00,25.24,44.12,10.1,12.88,0.78,0.47,11.71,23-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Apr-2019 - 00:00,40.16,76.27,8.42,9.13,2.63,0.42,6.87,24-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Apr-2019 - 00:00,49.04,84.73,5.08,0.22,0.71,0.36,11.03,25-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Apr-2019 - 00:00,47.2,,4.9,0.22,0.73,0.31,8.51,26-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Apr-2019 - 00:00,33.84,,4.81,0.23,0.58,0.3,6.59,27-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Apr-2019 - 00:00,35.96,157.88,13.73,23.86,12.19,0.53,7.46,28-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Apr-2019 - 00:00,37.53,195.4,13.76,25.3,11.86,0.54,6.87,29-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Apr-2019 - 00:00,44.9,191.0,16.39,31.31,15.19,0.53,10.56,30-Apr-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Apr-2019 - 00:00,43.06,160.62,19.47,38.7,20.31,0.51,12.25,01-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
01-May-2019 - 00:00,32.5,116.96,17.37,35.71,21.56,0.47,6.97,02-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
02-May-2019 - 00:00,45.32,199.7,18.25,38.32,20.79,0.49,9.48,03-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
03-May-2019 - 00:00,28.29,112.67,16.92,32.37,15.91,0.9,11.78,04-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
04-May-2019 - 00:00,28.75,120.69,13.23,22.34,8.02,1.24,6.2,05-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
05-May-2019 - 00:00,31.08,112.01,12.99,24.03,10.41,1.2,5.88,06-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
06-May-2019 - 00:00,21.76,93.12,14.71,29.23,14.53,1.16,5.03,07-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
07-May-2019 - 00:00,35.24,137.57,16.55,36.26,21.28,1.16,5.79,08-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
08-May-2019 - 00:00,34.54,140.5,18.77,43.74,27.31,1.1,6.08,09-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
09-May-2019 - 00:00,23.43,93.12,18.59,43.36,27.14,1.14,5.99,10-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
10-May-2019 - 00:00,21.12,77.17,16.38,35.18,27.05,1.15,5.72,11-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
11-May-2019 - 00:00,11.89,57.61,15.32,28.77,15.66,1.42,5.57,12-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
12-May-2019 - 00:00,36.05,171.19,15.38,24.8,10.99,1.5,5.61,13-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
13-May-2019 - 00:00,36.4,172.66,19.46,27.86,8.54,1.56,5.03,14-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
14-May-2019 - 00:00,20.47,51.88,14.56,25.53,11.04,1.57,4.93,15-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
15-May-2019 - 00:00,25.01,66.47,16.4,27.83,12.16,1.32,8.22,16-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
16-May-2019 - 00:00,36.27,87.39,15.9,29.22,13.92,1.18,10.36,17-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
17-May-2019 - 00:00,33.99,90.66,17.31,31.75,14.21,1.14,8.14,18-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
18-May-2019 - 00:00,25.39,81.66,16.17,29.9,14.86,1.12,5.08,19-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
19-May-2019 - 00:00,19.44,50.54,15.39,29.56,13.98,1.16,5.5,20-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
20-May-2019 - 00:00,26.16,61.56,15.91,32.3,16.5,1.18,7.22,21-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
21-May-2019 - 00:00,31.69,73.11,20.08,39.19,21.51,1.23,11.68,22-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
22-May-2019 - 00:00,39.89,108.11,21.45,43.79,27.6,1.24,13.65,23-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
23-May-2019 - 00:00,36.16,77.27,21.11,48.22,29.02,1.22,10.62,24-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
24-May-2019 - 00:00,38.59,85.27,17.99,33.97,26.99,1.22,10.16,25-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
25-May-2019 - 00:00,25.83,73.87,17.85,38.67,25.6,1.2,6.49,26-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
26-May-2019 - 00:00,20.7,55.88,19.29,42.03,24.78,1.2,7.81,27-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
27-May-2019 - 00:00,26.7,67.9,21.37,48.22,29.56,1.0,9.13,28-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
28-May-2019 - 00:00,29.4,78.48,16.26,33.41,29.13,0.84,9.64,29-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
29-May-2019 - 00:00,26.21,64.01,3.49,0.3,1.78,0.85,7.26,30-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
30-May-2019 - 00:00,30.79,64.99,2.42,0.48,1.78,0.82,7.24,31-May-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
31-May-2019 - 00:00,25.68,65.89,2.08,0.3,3.23,0.83,5.99,01-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Jun-2019 - 00:00,33.08,81.3,2.15,0.22,2.57,0.84,7.24,02-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Jun-2019 - 00:00,32.72,81.63,2.39,0.56,1.8,0.92,6.77,03-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Jun-2019 - 00:00,35.99,79.2,2.77,0.37,2.27,0.98,13.11,04-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Jun-2019 - 00:00,43.72,94.83,2.5,0.35,2.59,0.96,8.77,05-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Jun-2019 - 00:00,46.33,103.99,2.99,0.47,1.49,0.91,11.2,06-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Jun-2019 - 00:00,42.03,96.2,2.06,0.25,1.82,0.87,9.6,07-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Jun-2019 - 00:00,29.16,73.55,2.33,0.41,1.51,0.93,8.72,08-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Jun-2019 - 00:00,33.24,84.55,1.95,0.17,1.99,0.93,9.36,09-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Jun-2019 - 00:00,25.38,68.0,2.08,0.35,2.16,0.83,6.65,10-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
10-Jun-2019 - 00:00,25.18,69.27,2.17,0.26,3.64,0.8,4.65,11-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
11-Jun-2019 - 00:00,26.18,75.17,1.75,0.18,3.62,0.82,5.84,12-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
12-Jun-2019 - 00:00,29.09,83.37,1.74,0.16,1.33,0.86,6.18,13-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
13-Jun-2019 - 00:00,19.87,41.94,14.34,35.43,42.66,1.04,5.32,14-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
14-Jun-2019 - 00:00,14.78,26.35,15.41,40.77,29.13,1.1,5.75,15-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
15-Jun-2019 - 00:00,21.88,53.03,17.4,43.8,34.1,1.08,5.45,16-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
16-Jun-2019 - 00:00,20.74,52.88,14.7,37.53,28.61,1.09,5.33,17-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
17-Jun-2019 - 00:00,20.71,61.27,11.9,31.77,24.27,1.1,5.09,18-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
18-Jun-2019 - 00:00,26.56,63.97,13.77,37.54,29.09,1.11,5.82,19-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
19-Jun-2019 - 00:00,25.38,66.27,12.39,24.46,16.01,0.85,6.19,20-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
20-Jun-2019 - 00:00,26.6,52.71,9.26,15.49,6.33,0.38,4.15,21-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
21-Jun-2019 - 00:00,32.93,67.26,7.24,12.84,6.45,0.58,4.7,22-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
22-Jun-2019 - 00:00,20.02,44.89,8.39,13.36,4.84,0.86,4.69,23-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
23-Jun-2019 - 00:00,18.3,32.81,6.9,11.6,4.55,0.88,4.48,24-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
24-Jun-2019 - 00:00,42.69,75.48,8.7,13.92,5.16,0.83,6.61,25-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
25-Jun-2019 - 00:00,43.93,76.37,7.85,14.55,6.25,0.75,7.08,26-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
26-Jun-2019 - 00:00,18.84,42.54,8.55,15.55,7.58,0.7,4.14,27-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
27-Jun-2019 - 00:00,24.14,52.21,7.18,12.88,5.99,0.74,5.99,28-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
28-Jun-2019 - 00:00,19.79,46.58,6.94,11.97,5.11,0.7,4.64,29-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
29-Jun-2019 - 00:00,28.08,67.8,7.77,14.26,7.26,0.68,3.83,30-Jun-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
30-Jun-2019 - 00:00,22.75,56.14,7.94,14.78,7.12,0.7,5.06,01-Jul-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
01-Jul-2019 - 00:00,20.39,51.05,6.33,10.89,4.88,0.76,4.02,02-Jul-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
02-Jul-2019 - 00:00,18.59,41.54,6.56,10.87,4.53,0.84,3.54,03-Jul-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
03-Jul-2019 - 00:00,15.44,31.68,6.68,10.83,4.6,0.89,3.39,04-Jul-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
04-Jul-2019 - 00:00,17.76,30.97,7.15,11.89,5.0,0.87,3.54,05-Jul-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
05-Jul-2019 - 00:00,19.63,37.5,6.54,11.35,4.97,0.81,3.59,06-Jul-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
06-Jul-2019 - 00:00,8.73,17.81,6.24,10.07,4.6,0.8,3.66,07-Jul-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
07-Jul-2019 - 00:00,14.25,29.73,6.24,9.41,4.74,0.77,3.58,08-Jul-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
08-Jul-2019 - 00:00,12.23,27.59,6.25,9.75,4.66,0.76,3.57,09-Jul-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
09-Jul-2019 - 00:00,18.09,51.15,6.19,9.57,4.66,0.77,3.54,10-Jul-2019 - 00:00,"Sahilara, Maihar - KJS Cements"
