from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,Benzene,Toluene,NH3,NO2,NO,NOx,CO,Ozone,SO2,to date,station
10-Feb-2019 - 00:00,15.05,995.48,122.27,257.38,66.67,62.69,97.16,0.97,3.35,21.61,,42.31,67.38,77.51,1.53,15.66,13.01,11-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Feb-2019 - 00:00,15.87,995.9,152.75,333.35,68.86,65.81,116.12,0.77,5.0,32.67,54.78,54.38,121.15,127.62,2.29,12.8,13.15,12-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Feb-2019 - 00:00,17.3,995.95,189.79,385.62,71.25,48.67,172.35,0.65,7.58,69.48,78.06,61.17,131.75,139.93,2.55,18.99,13.85,13-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Feb-2019 - 00:00,18.36,995.01,201.17,394.15,71.97,63.67,245.27,0.91,7.8,68.82,74.27,51.14,98.76,107.72,2.15,37.8,16.5,14-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Feb-2019 - 00:00,17.45,990.81,128.31,221.88,81.73,37.34,245.82,1.53,4.99,39.22,61.67,38.43,28.31,43.53,1.28,13.13,10.42,15-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Feb-2019 - 00:00,17.38,991.08,96.4,177.25,78.29,49.34,175.29,1.18,3.84,31.38,64.66,38.52,34.89,48.93,1.31,11.42,9.83,16-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Feb-2019 - 00:00,15.82,992.62,101.53,180.91,86.72,44.38,97.09,1.59,3.51,24.36,43.84,29.35,13.86,26.94,1.16,9.53,8.5,17-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Feb-2019 - 00:00,16.37,989.52,93.4,184.9,77.01,73.17,82.68,1.24,2.62,22.44,,28.51,22.05,33.15,1.17,10.41,9.15,18-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Feb-2019 - 00:00,18.31,985.0,104.04,220.67,67.68,54.59,237.67,1.48,3.84,31.76,44.35,32.82,44.13,53.42,1.35,9.4,8.97,19-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Feb-2019 - 00:00,18.61,988.24,119.23,257.15,78.61,60.72,211.81,0.71,4.48,39.65,52.93,33.41,46.46,55.66,1.55,10.57,10.02,20-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Feb-2019 - 00:00,18.49,992.97,83.58,175.9,82.64,23.0,220.76,1.02,4.3,48.64,43.82,30.1,33.48,43.43,1.29,6.0,10.47,21-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Feb-2019 - 00:00,20.73,991.73,83.77,213.69,70.81,58.3,230.39,0.92,3.92,50.28,42.08,34.55,61.82,68.79,1.61,21.03,14.29,22-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Feb-2019 - 00:00,19.66,992.16,68.3,165.44,69.09,80.65,114.35,2.13,3.09,28.27,39.74,32.2,25.53,37.93,1.02,22.8,9.36,23-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Feb-2019 - 00:00,17.34,990.57,51.65,,56.3,88.74,122.37,2.07,2.08,18.4,31.79,35.89,9.31,26.69,0.94,31.77,11.36,24-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Feb-2019 - 00:00,18.07,987.37,91.0,,55.11,83.0,108.67,1.18,2.26,21.49,33.66,43.82,23.07,42.09,1.09,31.05,12.49,25-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Feb-2019 - 00:00,16.88,986.68,95.71,,68.9,55.84,190.92,0.98,3.16,39.06,37.34,44.27,40.98,57.01,1.19,41.91,13.08,26-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Feb-2019 - 00:00,15.41,986.81,57.6,,71.04,37.81,228.78,1.39,2.08,28.33,34.87,37.39,20.48,36.58,0.93,20.39,13.73,27-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Feb-2019 - 00:00,13.0,987.2,54.77,,85.07,20.22,153.88,1.15,1.8,22.14,30.01,35.63,33.92,46.95,1.06,10.15,10.46,28-Feb-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Feb-2019 - 00:00,15.46,990.74,95.0,,66.79,90.26,108.18,1.22,2.79,24.95,31.5,40.02,84.23,89.94,1.42,20.38,11.74,01-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Mar-2019 - 00:00,17.26,991.11,89.73,134.58,56.58,89.71,131.56,1.32,2.75,24.57,31.65,42.35,56.05,68.26,1.36,24.92,12.65,02-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Mar-2019 - 00:00,15.51,991.46,105.89,172.76,82.69,21.28,198.56,0.79,4.29,38.35,40.02,46.66,59.23,73.08,1.47,11.74,11.76,03-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Mar-2019 - 00:00,16.47,988.21,68.23,106.54,87.98,59.16,243.16,1.05,2.1,23.42,30.64,29.25,26.8,37.41,1.24,18.49,8.85,04-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Mar-2019 - 00:00,18.76,985.27,105.5,170.35,80.29,63.22,138.8,1.29,4.11,30.24,35.86,34.47,92.57,93.84,1.76,39.37,9.95,05-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Mar-2019 - 00:00,18.08,986.48,72.12,125.02,70.8,74.72,97.59,1.33,2.09,20.45,28.39,36.74,31.23,45.03,1.26,20.21,9.68,06-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Mar-2019 - 00:00,18.67,987.47,77.25,146.04,60.33,98.36,123.86,1.32,4.07,30.53,32.2,44.18,58.36,71.03,1.43,21.68,9.4,07-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Mar-2019 - 00:00,19.66,987.84,100.08,180.81,57.21,115.09,117.47,0.94,5.73,39.97,36.59,52.69,94.51,105.11,1.67,26.9,11.65,08-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Mar-2019 - 00:00,20.36,989.47,90.15,174.62,56.94,86.1,137.53,1.17,5.61,42.72,37.96,51.6,80.34,92.97,1.48,26.86,13.69,09-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Mar-2019 - 00:00,21.13,989.42,65.6,129.83,51.7,108.59,128.05,1.85,3.84,28.17,34.33,45.62,24.87,44.56,1.03,23.34,13.68,10-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Mar-2019 - 00:00,20.62,989.7,73.2,125.7,48.72,113.53,126.58,1.04,3.47,25.31,30.98,46.97,18.35,39.95,1.12,34.85,12.98,11-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Mar-2019 - 00:00,21.16,989.2,77.96,162.5,59.54,81.34,230.31,1.84,4.6,41.34,34.8,43.23,26.36,44.51,1.32,29.1,11.24,12-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Mar-2019 - 00:00,21.15,991.23,52.67,118.98,57.36,65.75,135.11,1.74,3.08,28.51,31.06,37.86,23.6,38.32,0.94,22.88,9.87,13-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Mar-2019 - 00:00,19.99,991.52,98.02,280.5,56.07,52.06,156.33,0.87,5.12,54.55,40.43,61.67,58.03,80.11,1.66,16.79,17.46,14-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Mar-2019 - 00:00,18.66,992.21,118.73,254.04,67.28,62.66,155.06,1.74,6.29,53.11,43.85,47.29,109.79,114.69,1.64,17.87,13.82,15-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Mar-2019 - 00:00,19.9,993.61,74.66,160.84,61.52,108.45,124.36,1.7,4.07,31.55,36.02,40.59,46.61,59.58,1.15,23.11,13.14,16-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Mar-2019 - 00:00,20.74,992.04,64.61,149.21,53.13,101.25,106.72,1.46,3.04,22.69,31.53,46.53,17.14,38.69,1.09,28.15,11.64,17-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Mar-2019 - 00:00,21.98,990.19,85.61,177.59,50.32,116.37,106.79,1.21,3.29,22.45,,47.09,37.49,55.8,1.18,29.55,14.87,18-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Mar-2019 - 00:00,22.11,989.74,96.91,195.77,52.74,114.32,95.58,1.01,3.75,24.2,28.92,51.26,44.76,63.74,1.34,25.33,15.73,19-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Mar-2019 - 00:00,23.81,986.24,99.27,226.11,49.28,123.68,152.78,1.06,4.47,46.45,29.56,50.39,55.77,72.26,1.42,26.55,15.89,20-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Mar-2019 - 00:00,25.43,984.63,88.77,215.85,46.86,117.57,257.0,1.76,3.92,45.64,32.87,43.76,29.12,47.02,1.21,21.35,14.79,21-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Mar-2019 - 00:00,25.12,987.89,117.04,166.88,47.79,112.66,157.09,1.36,5.06,23.76,,31.4,20.51,33.41,1.37,40.24,16.34,22-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Mar-2019 - 00:00,24.55,989.98,31.96,111.15,36.48,142.57,116.26,2.04,1.83,13.84,21.77,35.97,5.26,23.42,0.8,30.11,11.6,23-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Mar-2019 - 00:00,24.59,989.16,44.98,131.85,40.17,140.22,108.3,2.11,1.9,14.46,22.75,36.93,4.78,23.53,0.87,34.34,11.17,24-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Mar-2019 - 00:00,25.33,987.57,49.92,120.04,43.56,135.8,122.34,1.76,1.82,14.35,,33.08,9.17,25.03,0.84,27.69,15.41,25-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Mar-2019 - 00:00,24.22,987.93,61.19,135.42,52.53,128.98,117.02,1.94,2.42,16.3,22.87,36.53,11.45,28.75,0.97,22.7,16.68,26-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
26-Mar-2019 - 00:00,24.63,989.3,63.23,146.58,48.66,157.52,101.35,1.47,2.98,19.72,25.01,42.82,17.75,37.24,1.09,23.93,13.48,27-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
27-Mar-2019 - 00:00,25.53,989.92,67.6,178.85,44.48,132.57,114.55,1.3,3.76,25.41,25.31,52.43,52.06,70.28,1.44,24.3,13.38,28-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
28-Mar-2019 - 00:00,27.7,987.81,94.29,231.35,45.17,147.05,124.09,0.86,5.19,37.91,29.81,57.63,96.12,108.77,1.94,30.6,16.11,29-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
29-Mar-2019 - 00:00,29.26,984.77,121.31,275.56,51.4,138.96,163.27,0.98,6.14,41.09,40.83,52.97,136.58,139.52,2.05,32.01,14.12,30-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
30-Mar-2019 - 00:00,30.56,983.74,97.25,235.69,45.74,121.34,229.76,1.0,4.96,39.62,31.82,44.96,73.55,83.91,1.7,40.93,17.59,31-Mar-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
31-Mar-2019 - 00:00,29.44,984.51,47.31,157.42,34.96,163.34,138.64,1.91,2.46,17.76,,39.61,22.87,39.71,1.0,27.78,13.41,01-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
01-Apr-2019 - 00:00,27.99,984.82,52.75,151.42,33.19,170.43,126.52,1.46,2.15,13.24,23.44,46.09,6.01,29.41,0.9,30.78,15.46,02-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
02-Apr-2019 - 00:00,28.4,985.55,84.81,185.48,35.45,160.61,144.72,0.83,3.46,30.44,25.7,60.15,26.46,52.16,1.27,32.32,17.7,03-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
03-Apr-2019 - 00:00,29.0,984.54,83.35,188.38,35.97,172.78,166.49,0.9,3.99,32.87,29.24,59.79,64.73,84.57,1.67,29.72,15.3,04-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
04-Apr-2019 - 00:00,30.42,985.0,128.48,265.92,38.64,162.93,196.57,0.86,6.15,42.1,33.99,64.83,104.09,119.33,2.05,46.3,25.72,05-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
05-Apr-2019 - 00:00,30.34,983.43,182.0,316.8,44.41,157.8,92.67,0.78,7.75,52.85,41.39,59.53,225.35,197.72,3.42,41.37,21.1,06-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
06-Apr-2019 - 00:00,35.47,981.64,89.27,234.62,28.81,218.31,161.55,0.9,4.0,47.13,33.09,42.56,21.19,37.14,2.05,43.92,20.07,07-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
07-Apr-2019 - 00:00,29.9,982.13,120.6,249.31,55.56,123.24,230.92,1.36,4.04,25.81,,30.54,29.84,40.59,1.98,23.76,12.11,08-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
08-Apr-2019 - 00:00,28.36,982.99,73.46,247.78,50.02,123.35,212.79,1.19,2.28,26.36,47.03,34.31,20.43,34.9,1.6,33.51,13.39,09-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
09-Apr-2019 - 00:00,29.66,982.69,78.15,181.44,43.94,127.96,211.36,0.95,4.03,55.53,33.22,40.39,33.48,48.74,0.79,41.06,18.13,10-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
10-Apr-2019 - 00:00,32.02,983.96,91.47,212.57,38.93,127.39,186.28,1.06,5.06,40.19,32.38,51.37,96.66,105.98,1.66,33.05,15.66,11-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
11-Apr-2019 - 00:00,32.56,983.63,69.35,171.33,34.05,118.24,154.02,1.09,3.44,27.75,27.54,45.18,63.91,76.21,1.08,28.56,16.89,12-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
12-Apr-2019 - 00:00,31.32,984.28,57.04,177.94,36.77,147.6,163.07,1.41,3.58,24.43,31.12,38.76,21.25,37.94,1.45,29.95,17.12,13-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
13-Apr-2019 - 00:00,31.85,984.74,46.52,129.33,33.83,157.78,147.74,1.86,3.28,27.85,27.19,35.23,16.54,32.21,0.79,26.38,16.78,14-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
14-Apr-2019 - 00:00,32.56,984.5,42.96,127.65,31.16,150.74,134.75,1.66,2.48,24.54,23.83,36.71,14.66,31.38,0.7,24.32,15.67,15-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
15-Apr-2019 - 00:00,33.65,982.59,43.38,150.65,29.65,152.41,157.44,1.42,2.83,24.73,23.11,41.54,42.63,56.86,1.15,20.79,15.75,16-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
16-Apr-2019 - 00:00,26.15,986.16,44.79,133.07,54.28,75.11,218.38,3.17,2.41,26.71,23.64,24.73,10.76,21.92,0.67,26.54,9.95,17-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
17-Apr-2019 - 00:00,22.85,987.09,20.29,50.15,66.22,93.39,283.62,2.95,1.1,19.22,16.85,22.31,6.97,17.54,0.71,24.86,10.4,18-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
18-Apr-2019 - 00:00,25.09,987.63,32.77,68.85,54.27,104.06,186.33,0.89,1.84,25.13,15.95,31.12,14.03,27.98,0.79,30.94,13.44,19-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
19-Apr-2019 - 00:00,27.47,985.25,64.12,107.88,43.35,119.26,113.7,0.88,3.53,30.48,18.4,38.23,33.88,47.94,0.86,26.73,14.85,20-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
20-Apr-2019 - 00:00,29.15,982.72,83.29,135.19,38.26,117.15,124.97,0.68,3.72,25.4,17.93,46.56,39.29,56.75,1.11,20.89,18.83,21-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
21-Apr-2019 - 00:00,31.31,980.98,77.25,139.54,33.58,136.59,154.42,0.9,4.24,29.54,19.75,45.97,60.41,73.75,1.1,13.67,14.46,22-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
22-Apr-2019 - 00:00,32.14,981.0,98.85,213.27,37.94,126.4,179.68,0.71,6.62,40.35,21.08,52.32,107.95,115.62,1.37,33.04,20.93,23-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
23-Apr-2019 - 00:00,34.03,982.01,97.54,266.75,35.33,137.83,173.62,0.86,6.91,55.66,27.22,52.4,116.81,123.11,1.29,23.94,17.29,24-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
24-Apr-2019 - 00:00,35.12,983.04,74.02,217.58,35.86,121.43,221.41,1.21,3.57,32.96,23.84,40.75,8.89,28.93,0.97,31.64,16.41,25-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
25-Apr-2019 - 00:00,34.46,982.93,73.21,228.11,39.12,105.55,230.48,1.25,3.23,44.44,18.71,32.08,4.07,20.39,0.85,36.2,16.43,26-Apr-2019 - 00:00,"Okhla Phase-2, Delhi - DPCC"
