from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,SR,WD,WS,RH,to date,station
15-Feb-2019 - 00:00,16.66,47.85,,17.79,13.99,31.79,5.34,0.0,10.49,3.19,2.44,5.73,14.71,319.57,216.36,0.57,94.52,16-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
16-Feb-2019 - 00:00,34.56,73.45,,16.46,13.76,30.23,5.4,0.0,21.67,3.19,2.44,5.73,15.92,317.97,272.36,0.41,84.3,17-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
17-Feb-2019 - 00:00,61.09,129.98,,14.57,15.49,30.07,5.38,0.0,27.57,3.19,2.44,5.73,14.43,250.42,279.13,0.38,76.06,18-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
18-Feb-2019 - 00:00,21.5,45.88,10.4,13.14,15.59,28.73,6.86,0.01,25.8,4.23,1.45,5.14,14.01,273.84,144.44,0.93,86.93,19-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
19-Feb-2019 - 00:00,27.0,57.58,,10.91,17.65,28.56,5.76,0.0,24.35,5.52,0.82,4.27,15.62,362.54,182.79,0.34,79.9,20-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
20-Feb-2019 - 00:00,35.21,79.01,,12.46,17.44,28.06,4.94,0.0,20.44,5.51,2.1,3.85,16.29,260.42,129.25,0.76,85.92,21-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
21-Feb-2019 - 00:00,47.13,37.95,,16.56,17.04,33.6,5.01,0.0,14.69,3.54,4.61,2.92,16.05,320.71,192.65,0.64,95.79,22-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
22-Feb-2019 - 00:00,39.34,66.38,,15.0,18.73,33.74,5.01,0.0,16.17,4.29,5.63,3.39,15.14,360.12,306.28,0.79,78.87,23-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
23-Feb-2019 - 00:00,43.45,96.6,,12.7,20.81,33.52,4.98,0.0,19.6,5.26,8.51,4.59,15.19,347.57,279.62,0.51,67.12,24-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
24-Feb-2019 - 00:00,62.21,138.21,,12.49,21.84,34.33,4.97,0.0,18.79,6.81,8.83,4.74,15.8,337.83,243.12,0.36,64.61,25-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
25-Feb-2019 - 00:00,62.47,141.33,,12.4,21.8,34.29,5.13,0.0,18.12,6.97,8.27,4.45,15.92,317.82,184.24,0.5,70.55,26-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
26-Feb-2019 - 00:00,35.02,74.9,,8.65,15.68,27.45,7.65,0.57,27.24,3.32,7.15,3.87,15.79,403.37,194.7,0.75,66.7,27-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
27-Feb-2019 - 00:00,36.21,80.83,2.58,6.22,13.4,19.62,8.92,0.37,23.68,3.59,6.94,3.29,14.26,342.82,247.73,0.55,64.22,28-Feb-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
28-Feb-2019 - 00:00,38.41,81.95,,6.3,9.68,15.96,8.64,0.87,25.47,3.55,6.16,2.55,15.01,363.52,243.08,0.35,63.77,01-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
01-Mar-2019 - 00:00,54.35,117.61,,10.35,10.5,20.85,9.16,0.48,21.95,4.49,6.39,2.64,15.23,303.44,234.7,0.47,67.64,02-Mar-2019 - 00:00,"Golden Temple, Amritsar - PPCB"
