from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,Toluene,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
23-Apr-2019 - 00:00,1.95,2.86,0.64,1.4,760.35,144.89,43.07,0.0,17.0,250.79,34.96,8.69,16.58,0.93,1.39,40.67,22.65,21.27,43.92,46.77,15.33,24-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
24-Apr-2019 - 00:00,1.04,1.49,0.44,0.79,760.21,140.11,47.11,0.0,15.26,246.92,35.49,6.0,10.27,1.42,1.06,32.79,17.61,19.43,37.04,47.43,24.49,25-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
25-Apr-2019 - 00:00,0.67,0.63,0.48,0.45,760.22,188.14,47.66,0.0,15.62,238.64,35.02,5.11,6.03,1.17,0.77,30.15,15.98,18.7,34.69,51.74,26.18,26-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
26-Apr-2019 - 00:00,0.72,0.49,0.49,0.37,758.86,227.92,60.9,0.0,20.21,259.95,35.5,4.99,6.68,1.25,0.87,28.23,14.83,18.33,33.15,77.49,19.03,27-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
27-Apr-2019 - 00:00,0.43,0.52,0.23,0.27,757.18,125.13,50.52,0.0,13.27,245.34,35.76,3.64,5.52,1.42,0.65,25.74,12.1,16.43,28.52,72.89,16.7,28-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
28-Apr-2019 - 00:00,0.57,0.61,0.27,0.33,757.39,156.25,55.81,0.0,12.45,236.81,35.78,4.19,3.91,1.24,0.71,26.96,9.29,17.48,26.77,80.89,17.22,29-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
29-Apr-2019 - 00:00,1.08,1.48,0.28,0.67,757.46,159.78,57.18,0.0,10.95,217.48,36.4,4.83,67.3,0.92,1.11,31.3,10.51,20.02,30.53,76.7,15.15,30-Apr-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
30-Apr-2019 - 00:00,1.42,1.19,0.81,0.56,757.29,147.37,60.26,0.0,12.26,237.54,35.82,7.22,179.72,0.66,0.82,34.0,13.51,19.6,33.11,44.9,14.09,01-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
01-May-2019 - 00:00,0.72,0.98,0.29,0.38,757.34,179.23,63.26,0.0,13.11,244.62,34.82,5.11,59.0,0.83,0.83,34.69,14.35,19.36,33.72,46.29,15.93,02-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
02-May-2019 - 00:00,0.77,0.79,0.22,0.37,757.55,215.82,74.28,0.0,14.07,221.32,35.3,5.04,54.2,1.14,0.72,28.23,10.35,17.65,28.0,78.41,15.28,03-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
03-May-2019 - 00:00,0.94,1.09,0.23,0.51,757.41,134.09,68.74,0.03,28.87,214.41,30.63,6.2,75.61,1.27,0.79,29.35,11.08,18.18,29.26,72.51,13.22,04-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
04-May-2019 - 00:00,1.46,1.33,0.25,0.66,757.46,118.56,55.68,0.0,25.1,256.5,31.45,7.37,248.69,0.87,0.97,34.5,14.2,19.6,33.8,67.38,12.73,05-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
05-May-2019 - 00:00,2.54,4.41,0.15,1.91,757.35,129.28,45.44,0.0,16.47,186.46,32.81,12.47,256.12,0.62,2.17,50.14,27.04,23.44,47.08,39.6,18.68,06-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
06-May-2019 - 00:00,1.56,2.51,0.14,1.13,757.45,146.07,53.07,0.0,9.95,250.71,34.2,8.62,261.71,1.05,0.76,35.27,18.35,15.89,34.24,51.82,14.58,07-May-2019 - 00:00,"Shastri Nagar, Jaipur - RSPCB"
