from date,NO2,NO,NOx,NH3,SO2,CO,Benzene,Eth-Benzene,MP-Xylene,Toluene,RH,WS,WD,SR,RF,PM2.5,PM10,Ozone,to date,station
19-Feb-2019 - 00:00,19.1,11.53,16.66,,51.55,0.25,2.38,4.99,5.88,0.05,70.51,1.88,137.09,271.88,0.0,22.97,84.97,47.28,20-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
20-Feb-2019 - 00:00,19.33,12.28,16.04,,43.43,0.28,3.14,5.05,6.39,0.05,70.42,1.88,129.14,83.51,0.0,28.36,89.75,29.11,21-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
21-Feb-2019 - 00:00,18.91,13.14,13.82,,44.69,0.26,3.32,5.96,7.5,0.06,68.72,2.45,138.79,257.45,0.0,22.89,77.29,22.67,22-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
22-Feb-2019 - 00:00,16.6,11.7,11.61,,51.8,0.2,3.41,5.66,6.33,0.09,82.38,2.53,307.46,308.92,0.0,35.33,98.14,34.31,23-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
23-Feb-2019 - 00:00,10.79,4.35,11.78,,50.21,0.15,3.1,4.37,5.27,0.08,69.47,2.68,307.2,465.06,0.0,24.07,72.11,47.86,24-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
24-Feb-2019 - 00:00,18.95,10.32,18.22,,69.59,0.23,4.33,6.41,7.31,0.09,67.65,1.85,296.65,459.69,0.0,41.13,112.17,45.02,25-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
25-Feb-2019 - 00:00,31.02,21.58,24.04,,49.12,0.37,5.94,8.32,11.65,0.08,64.68,1.03,149.16,437.96,0.0,50.28,152.43,43.76,26-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
26-Feb-2019 - 00:00,19.64,9.79,20.36,,15.48,0.2,2.57,5.12,6.34,0.05,56.64,1.86,140.19,291.31,0.0,28.02,97.1,49.39,27-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
27-Feb-2019 - 00:00,16.22,8.74,14.76,,18.44,0.77,2.03,3.66,4.83,0.04,74.95,2.39,238.88,254.24,0.0,18.13,57.11,57.65,28-Feb-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
28-Feb-2019 - 00:00,26.2,19.22,18.44,,31.99,0.88,4.7,9.64,9.89,0.08,68.47,2.53,282.43,467.28,0.0,26.5,79.3,41.01,01-Mar-2019 - 00:00,"Patti Mehar, Ambala - HSPCB"
