from date,NO,NO2,NOx,NH3,PM10,PM2.5,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,Xylene,RH,WD,WS,SR,RF,to date,station
21-Jan-2019 - 00:00,40.39,5.68,36.03,37.23,233.48,76.29,13.74,0.67,44.2,4.97,2.92,2.52,2.93,1.37,70.42,125.89,0.97,253.69,0.0,22-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
22-Jan-2019 - 00:00,34.85,3.66,30.53,34.5,68.55,21.0,6.89,0.33,27.86,2.72,2.42,1.85,2.31,0.97,85.88,145.2,0.68,221.74,0.0,23-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
23-Jan-2019 - 00:00,34.48,3.24,30.02,28.02,91.19,27.74,7.72,0.4,17.53,3.09,2.32,2.03,2.2,1.01,84.38,131.4,0.35,176.44,0.0,24-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
24-Jan-2019 - 00:00,5.19,1.93,5.84,25.73,130.54,37.21,8.19,0.35,31.97,3.41,1.87,1.85,1.9,0.91,79.9,159.58,0.63,212.81,0.0,25-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
25-Jan-2019 - 00:00,4.73,1.86,5.44,25.44,105.81,34.93,6.48,0.34,30.31,2.74,1.68,1.52,1.5,0.79,79.31,226.38,0.44,205.73,0.0,26-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
26-Jan-2019 - 00:00,2.86,2.09,3.81,25.06,80.35,46.51,7.73,0.37,46.34,2.7,1.42,1.47,1.36,0.69,69.59,306.44,0.64,240.49,0.0,27-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
27-Jan-2019 - 00:00,2.32,2.54,3.34,26.36,93.42,51.46,7.5,0.36,48.18,2.78,1.68,1.6,1.49,0.7,67.83,279.36,0.77,249.89,0.0,28-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
28-Jan-2019 - 00:00,2.35,4.22,3.36,28.95,137.81,53.87,8.4,0.37,51.58,2.88,1.77,1.58,1.57,0.7,63.3,283.52,0.72,262.15,0.0,29-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
29-Jan-2019 - 00:00,2.15,12.56,7.12,33.27,68.87,49.26,8.54,0.39,50.5,2.76,1.53,1.57,1.43,0.7,56.2,285.24,0.69,303.3,0.0,30-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
30-Jan-2019 - 00:00,2.88,48.5,27.61,72.09,143.81,78.08,20.65,0.44,36.46,5.28,6.88,2.22,1.52,0.97,52.51,234.47,0.38,194.32,0.0,31-Jan-2019 - 00:00,"Police Lines, Jind - HSPCB"
31-Jan-2019 - 00:00,7.44,45.59,25.78,65.33,219.21,116.62,14.16,0.77,36.9,8.46,8.45,1.77,1.59,0.87,74.61,116.56,0.86,135.38,0.0,01-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
01-Feb-2019 - 00:00,8.24,36.25,21.53,60.88,246.32,139.3,9.22,0.81,25.16,7.15,9.94,2.02,1.63,0.9,86.15,209.89,0.7,249.21,0.0,02-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
02-Feb-2019 - 00:00,6.82,26.18,15.13,47.44,205.11,117.14,6.44,0.62,25.33,5.2,7.23,1.28,1.17,0.61,95.2,276.83,0.6,148.96,0.0,03-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
03-Feb-2019 - 00:00,9.95,29.76,19.41,41.47,139.1,80.46,6.83,0.71,37.35,5.71,7.69,1.94,1.28,0.9,88.34,259.2,0.52,230.91,0.0,04-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
04-Feb-2019 - 00:00,18.54,50.44,39.25,73.2,209.4,102.99,10.87,0.94,31.25,7.82,10.62,4.09,1.81,1.79,80.57,218.46,0.39,194.88,0.0,05-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
05-Feb-2019 - 00:00,9.93,39.42,24.55,95.48,206.04,118.89,14.31,0.8,40.12,7.44,7.87,2.16,1.3,0.96,89.23,121.28,0.43,141.69,0.0,06-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
06-Feb-2019 - 00:00,10.89,51.16,31.45,105.38,286.71,149.33,17.66,1.01,44.51,12.58,11.09,4.08,3.2,1.99,82.5,133.93,0.99,325.24,0.0,07-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
07-Feb-2019 - 00:00,6.36,23.23,13.22,64.65,127.78,71.11,7.09,0.46,35.48,4.3,4.63,1.05,0.86,0.49,94.48,172.76,1.79,49.93,0.0,08-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
08-Feb-2019 - 00:00,8.24,26.95,16.68,68.11,89.89,48.34,6.82,0.39,36.92,3.85,3.97,1.14,0.72,0.52,75.15,252.45,0.77,254.07,0.0,09-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
09-Feb-2019 - 00:00,6.54,27.24,15.46,64.45,97.92,46.72,9.34,0.38,40.55,3.68,3.5,1.07,0.72,0.5,72.17,291.05,0.83,354.45,0.0,10-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
10-Feb-2019 - 00:00,8.03,39.03,22.82,81.01,145.09,68.13,11.18,0.54,51.18,4.22,5.03,1.75,1.0,0.77,74.01,268.84,0.41,215.32,0.0,11-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
11-Feb-2019 - 00:00,18.47,44.3,33.95,101.43,188.52,93.37,9.47,0.74,26.66,5.85,6.39,3.17,1.5,1.35,75.33,218.84,0.31,189.02,0.0,12-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
12-Feb-2019 - 00:00,16.54,46.58,33.59,105.72,188.69,98.23,9.5,0.73,34.65,6.49,6.59,3.33,1.54,1.46,75.31,197.85,0.32,240.36,0.0,13-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
13-Feb-2019 - 00:00,8.23,42.45,24.76,97.62,253.01,134.69,14.22,0.89,45.96,7.45,7.95,2.11,1.35,0.98,82.28,117.26,0.46,237.75,0.0,14-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
14-Feb-2019 - 00:00,6.32,30.18,16.83,73.39,183.26,108.55,11.39,0.64,51.0,5.81,6.04,1.92,1.47,0.85,77.93,118.18,1.19,175.37,0.0,15-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
15-Feb-2019 - 00:00,9.96,35.49,23.0,77.61,196.86,111.44,8.41,0.78,22.29,5.43,7.77,2.66,1.47,1.16,91.56,235.0,0.82,91.36,0.0,16-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
16-Feb-2019 - 00:00,6.9,26.33,15.28,57.33,122.63,73.62,6.53,0.58,24.79,3.65,4.33,1.47,1.1,0.66,94.51,272.57,0.95,139.5,0.0,17-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
17-Feb-2019 - 00:00,7.63,32.96,19.33,66.37,113.06,68.97,10.29,0.57,44.31,3.83,5.07,2.06,1.04,0.88,76.84,263.02,1.06,399.8,0.0,18-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
18-Feb-2019 - 00:00,8.8,34.69,21.18,73.98,143.92,76.0,14.79,0.49,48.21,4.25,4.29,1.31,0.92,0.63,71.57,97.85,1.05,362.62,0.0,19-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
19-Feb-2019 - 00:00,6.87,26.64,15.42,60.57,142.16,73.26,8.82,0.41,46.35,4.52,4.41,0.97,0.8,0.48,85.77,113.92,0.77,319.96,0.0,20-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
20-Feb-2019 - 00:00,6.53,24.69,14.13,61.52,150.98,78.69,9.21,0.38,35.92,4.01,4.23,1.07,0.85,0.52,87.94,106.72,1.0,118.32,0.0,21-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
21-Feb-2019 - 00:00,6.54,25.62,14.62,61.53,105.76,49.16,11.01,0.38,60.44,5.07,3.53,1.18,0.96,0.58,74.36,155.37,1.22,345.7,0.0,22-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
22-Feb-2019 - 00:00,6.42,21.96,12.61,54.84,85.41,44.97,6.46,0.27,46.01,3.11,2.81,1.01,0.69,0.49,77.55,297.03,1.66,398.49,0.0,23-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
23-Feb-2019 - 00:00,6.92,28.01,16.22,58.63,81.42,44.79,6.92,0.32,53.94,2.69,2.85,0.97,0.59,0.47,68.25,288.98,1.62,475.1,0.0,24-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
24-Feb-2019 - 00:00,6.57,30.31,17.11,62.87,106.89,59.76,8.24,0.39,59.42,2.91,3.97,1.23,0.73,0.65,65.58,257.5,0.89,470.97,0.0,25-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
25-Feb-2019 - 00:00,6.91,25.79,15.01,59.66,106.19,59.4,5.54,0.3,63.3,3.2,3.19,0.94,0.62,0.46,65.12,149.41,0.73,418.93,0.0,26-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
26-Feb-2019 - 00:00,6.32,21.34,12.22,52.07,69.66,34.8,7.73,0.27,62.47,2.36,2.17,0.56,0.49,0.28,70.18,136.14,1.1,386.24,0.0,27-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
27-Feb-2019 - 00:00,6.18,21.95,12.43,48.41,55.29,24.42,2.68,0.22,57.3,2.0,1.74,0.83,0.53,0.39,74.27,126.11,1.19,396.83,0.0,28-Feb-2019 - 00:00,"Police Lines, Jind - HSPCB"
28-Feb-2019 - 00:00,9.81,35.76,22.57,70.59,100.71,57.9,4.71,0.4,39.5,3.5,4.05,1.76,0.83,0.77,73.53,245.38,0.9,430.83,0.0,01-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
01-Mar-2019 - 00:00,8.26,33.06,19.89,67.74,122.44,65.63,7.28,0.42,51.01,3.67,3.69,2.1,0.9,0.9,66.15,260.14,0.86,469.24,0.0,02-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
02-Mar-2019 - 00:00,6.95,27.39,15.89,60.59,105.4,63.08,6.07,0.36,34.91,2.8,3.28,1.28,0.85,0.57,87.05,165.92,0.72,83.0,0.0,03-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
03-Mar-2019 - 00:00,6.72,25.21,14.55,52.53,95.6,57.4,5.43,0.4,43.2,2.74,3.57,1.24,0.78,0.56,87.91,97.17,0.7,324.91,0.0,04-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
04-Mar-2019 - 00:00,6.65,24.17,13.96,56.38,83.8,47.6,7.91,0.33,39.26,3.25,3.2,0.9,0.54,0.52,84.12,266.97,1.07,376.63,0.0,05-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
05-Mar-2019 - 00:00,6.73,26.85,15.42,56.75,84.63,41.97,9.24,0.3,52.57,2.51,3.25,0.47,0.31,0.39,73.45,281.63,1.32,481.51,0.0,06-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
06-Mar-2019 - 00:00,6.39,28.61,16.07,61.49,106.82,52.77,11.22,0.41,63.52,1.72,1.39,0.46,0.22,0.31,64.62,290.15,1.2,478.62,0.0,07-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
07-Mar-2019 - 00:00,7.68,33.81,19.82,70.4,144.94,60.62,9.83,0.43,60.09,1.92,2.69,0.61,0.36,0.29,62.58,208.62,0.75,473.94,0.0,08-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
08-Mar-2019 - 00:00,6.49,26.41,15.0,57.59,113.91,52.59,10.03,0.33,57.24,1.64,6.7,0.48,0.32,0.23,63.83,207.99,0.97,336.14,0.0,09-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
09-Mar-2019 - 00:00,6.3,25.27,14.25,54.11,103.81,44.76,11.49,0.38,44.82,1.59,1.13,0.62,0.45,0.3,67.31,320.95,1.3,480.09,0.08,10-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
10-Mar-2019 - 00:00,6.15,26.92,14.99,55.56,108.03,47.7,10.15,0.35,70.56,1.73,1.22,0.43,0.32,0.2,53.97,224.04,0.93,445.16,0.0,11-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
11-Mar-2019 - 00:00,6.01,24.23,13.48,59.88,125.42,56.32,11.77,0.32,67.44,1.68,1.17,0.32,0.27,0.17,56.79,117.82,1.72,292.46,0.08,12-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
12-Mar-2019 - 00:00,6.72,25.55,14.74,73.42,113.94,55.75,9.05,0.32,49.51,1.53,1.17,0.44,0.29,0.28,51.48,249.03,1.08,241.78,0.02,13-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
13-Mar-2019 - 00:00,6.18,27.09,15.11,69.41,173.03,64.98,11.33,0.36,43.67,1.64,1.15,0.37,0.23,0.28,64.4,175.43,0.84,181.88,0.0,14-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
14-Mar-2019 - 00:00,6.44,25.12,14.29,65.31,111.63,53.09,8.54,0.38,37.58,1.48,1.16,0.6,0.39,0.27,77.47,152.51,0.94,168.26,0.01,15-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
15-Mar-2019 - 00:00,8.92,25.22,16.34,63.02,88.11,47.42,5.99,0.39,44.32,1.62,1.14,0.56,0.33,0.26,74.24,273.11,1.17,443.61,0.0,16-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
16-Mar-2019 - 00:00,6.15,27.49,15.29,58.72,111.85,54.32,10.67,0.43,66.58,1.79,1.13,0.47,0.31,0.23,62.26,279.56,1.26,390.17,0.0,17-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
17-Mar-2019 - 00:00,6.2,28.64,15.94,60.08,133.64,65.08,16.63,0.45,63.24,2.55,1.15,0.36,0.26,0.21,58.23,279.86,0.93,442.19,0.0,18-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
18-Mar-2019 - 00:00,6.75,34.17,19.26,66.75,153.98,74.03,18.45,0.52,66.85,3.36,1.13,0.7,0.39,0.32,58.11,269.1,0.82,403.21,0.0,19-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
19-Mar-2019 - 00:00,6.2,23.25,13.11,61.4,144.98,68.48,14.6,0.43,62.74,2.34,1.13,0.42,0.29,0.2,59.99,170.71,0.76,432.22,0.0,20-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
20-Mar-2019 - 00:00,6.68,28.63,16.32,69.35,191.38,95.14,23.45,0.62,71.67,4.17,1.14,0.84,0.67,0.38,61.36,200.22,1.2,389.23,0.0,21-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
21-Mar-2019 - 00:00,6.2,16.03,9.35,55.1,106.09,46.2,10.06,0.34,50.35,1.54,1.15,0.37,0.29,0.2,62.79,258.6,1.13,417.37,0.0,22-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
22-Mar-2019 - 00:00,6.12,18.28,10.48,53.56,93.35,29.99,8.61,0.3,31.86,1.33,1.12,0.51,0.3,0.24,51.76,315.39,1.62,447.82,0.0,23-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
23-Mar-2019 - 00:00,6.19,19.51,11.15,55.76,108.59,40.98,13.8,0.34,32.9,1.84,1.12,0.46,0.29,0.22,50.41,301.43,1.73,446.85,0.0,24-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
24-Mar-2019 - 00:00,6.17,17.41,10.03,51.13,95.26,40.4,13.2,0.32,44.48,1.64,1.14,0.46,0.33,0.22,57.77,313.79,1.63,379.68,0.0,25-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
25-Mar-2019 - 00:00,6.58,22.24,12.9,73.47,116.26,53.84,14.25,0.45,40.0,3.18,1.14,0.78,0.45,0.37,70.84,296.7,1.3,375.33,0.0,26-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
26-Mar-2019 - 00:00,6.69,24.2,14.01,78.62,141.63,65.31,26.24,0.57,52.25,4.7,1.14,0.93,0.54,0.44,62.63,281.53,1.25,450.51,0.0,27-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
27-Mar-2019 - 00:00,7.33,30.11,17.61,89.81,170.8,68.45,12.3,0.58,53.15,4.96,1.16,1.68,0.73,0.72,53.13,244.78,0.88,345.84,0.0,28-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
28-Mar-2019 - 00:00,22.37,33.32,31.44,119.0,222.16,93.58,14.85,0.66,45.83,6.69,1.23,2.16,1.07,1.0,59.19,208.72,0.56,406.94,0.0,29-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
29-Mar-2019 - 00:00,6.05,28.1,17.01,81.77,181.72,83.18,7.85,0.59,40.68,5.35,1.18,1.37,0.75,0.62,63.69,190.86,0.61,367.19,0.0,30-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
30-Mar-2019 - 00:00,3.56,20.35,11.89,60.55,210.91,74.03,15.4,0.51,42.13,4.74,1.19,0.84,0.57,0.4,65.44,245.45,0.89,398.9,0.0,31-Mar-2019 - 00:00,"Police Lines, Jind - HSPCB"
31-Mar-2019 - 00:00,3.11,15.88,9.2,42.29,137.47,55.15,9.2,0.41,49.22,2.97,1.14,0.7,0.47,0.36,45.43,306.16,1.66,434.05,0.0,01-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
01-Apr-2019 - 00:00,3.18,20.5,11.67,47.18,145.44,53.58,16.54,0.4,49.39,3.87,1.15,1.09,0.57,0.5,42.46,281.44,1.55,368.87,0.0,02-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
02-Apr-2019 - 00:00,3.14,21.28,12.03,51.73,140.51,55.92,12.62,0.35,50.35,4.79,0.79,1.42,0.66,0.64,41.97,242.3,0.8,444.05,0.0,03-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
03-Apr-2019 - 00:00,3.52,23.09,13.29,55.1,150.31,64.71,14.09,0.48,47.03,5.32,0.18,1.61,0.68,0.71,44.57,212.01,0.89,435.9,0.0,04-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
04-Apr-2019 - 00:00,4.02,20.99,12.59,54.82,144.41,71.17,17.54,0.46,48.55,4.24,0.14,1.02,0.54,0.46,46.46,157.04,0.68,423.29,0.0,05-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
05-Apr-2019 - 00:00,3.77,17.91,10.83,39.05,157.05,73.81,10.08,0.53,45.06,5.29,0.13,1.06,0.57,0.49,51.55,190.53,0.6,404.73,0.0,06-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
06-Apr-2019 - 00:00,2.96,16.26,9.27,19.92,203.03,81.2,15.82,0.5,48.34,4.32,0.12,0.77,0.45,0.35,48.45,125.46,0.74,397.67,0.0,07-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
07-Apr-2019 - 00:00,3.03,16.83,9.63,20.14,197.99,101.44,12.07,0.55,50.92,5.11,0.17,0.68,0.5,0.33,53.86,171.27,0.89,313.61,0.0,08-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
08-Apr-2019 - 00:00,3.19,15.82,9.22,18.34,531.12,126.58,10.29,0.3,46.2,2.44,0.13,0.43,0.29,0.22,43.42,127.78,0.95,415.99,0.01,09-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
09-Apr-2019 - 00:00,3.97,26.04,14.91,25.84,174.08,70.68,22.29,0.47,53.73,4.96,0.14,1.15,0.58,0.51,44.83,120.57,0.72,417.32,0.0,10-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
10-Apr-2019 - 00:00,4.7,17.46,10.0,18.94,147.56,58.28,13.77,0.31,53.23,2.71,0.12,0.86,0.44,0.36,41.21,246.01,1.04,412.16,0.03,11-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
11-Apr-2019 - 00:00,5.06,18.47,10.63,21.23,144.65,50.81,12.39,0.33,44.78,2.6,0.12,0.85,0.45,0.38,37.87,211.92,0.94,393.87,0.0,12-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
12-Apr-2019 - 00:00,4.52,15.71,9.08,20.11,181.5,44.51,10.42,0.31,51.07,2.04,0.12,0.58,0.33,0.27,33.66,231.64,1.38,495.55,0.0,13-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
13-Apr-2019 - 00:00,6.11,16.63,9.58,21.17,144.11,45.45,15.5,0.3,35.19,3.03,0.13,0.72,0.4,0.33,40.19,256.19,1.39,418.31,0.0,14-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
14-Apr-2019 - 00:00,5.98,13.29,7.73,17.9,110.46,36.42,10.27,0.33,38.49,1.79,0.12,0.4,0.28,0.24,39.62,309.0,1.44,402.81,0.0,15-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
15-Apr-2019 - 00:00,4.25,17.12,9.79,20.26,123.83,46.96,8.39,0.32,37.99,2.26,0.14,1.24,0.53,0.52,34.66,270.1,1.42,403.14,0.0,16-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
16-Apr-2019 - 00:00,3.04,14.89,8.6,18.79,100.08,32.97,6.49,0.29,42.05,1.48,0.1,0.25,0.2,0.14,60.16,128.59,1.7,247.85,0.1,17-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
17-Apr-2019 - 00:00,3.08,13.83,8.09,17.29,67.0,22.5,6.06,0.24,37.07,1.26,0.11,0.29,0.24,0.14,68.96,145.34,1.2,265.37,0.0,18-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
18-Apr-2019 - 00:00,3.17,16.49,9.56,18.68,56.37,26.33,8.54,0.28,36.95,1.7,0.1,0.82,0.39,0.35,45.48,178.69,0.89,518.68,0.0,19-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
19-Apr-2019 - 00:00,3.13,19.59,11.15,22.73,94.27,36.37,9.74,0.34,40.04,1.99,0.1,0.66,0.37,0.28,46.27,279.66,0.93,396.92,0.0,20-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
20-Apr-2019 - 00:00,5.35,29.41,18.07,32.94,159.4,69.94,25.1,0.55,47.5,5.38,0.13,1.81,0.82,0.86,39.2,244.36,0.68,391.88,0.0,21-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
21-Apr-2019 - 00:00,5.4,32.36,19.66,37.79,156.76,69.98,11.66,0.47,46.52,3.77,0.15,1.34,0.63,0.58,36.18,199.94,0.81,392.21,0.0,22-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
22-Apr-2019 - 00:00,3.19,27.81,15.5,30.95,154.48,56.33,13.66,0.42,47.42,2.25,0.12,0.76,0.36,0.4,31.35,201.63,0.88,403.1,0.0,23-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
23-Apr-2019 - 00:00,3.26,27.24,15.25,29.63,208.8,62.83,19.17,0.47,47.1,3.51,0.14,1.52,0.68,1.0,31.1,192.28,0.86,380.26,0.0,24-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
24-Apr-2019 - 00:00,2.88,20.52,11.43,24.12,260.12,85.36,24.09,0.55,55.82,4.96,0.18,0.87,0.52,0.38,36.04,129.92,1.35,335.72,0.0,25-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
25-Apr-2019 - 00:00,2.87,22.0,12.2,24.65,270.64,75.51,25.06,0.55,49.57,3.82,3.16,1.23,0.67,0.59,38.82,172.12,0.88,335.95,0.0,26-Apr-2019 - 00:00,"Police Lines, Jind - HSPCB"
