from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,AT,RH,WS,WD,VWS,RF,SR,to date,BP,station
17-Feb-2019 - 00:00,3.62,15.53,16.89,107.54,9.21,0.25,10.03,45.05,77.91,9.75,,46.97,1.19,309.88,0.16,0.0,192.8,18-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
18-Feb-2019 - 00:00,3.53,14.73,15.42,71.04,16.05,0.57,10.41,66.43,132.69,10.07,,51.57,0.77,219.35,0.17,0.0,183.63,19-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
19-Feb-2019 - 00:00,3.23,21.03,21.49,76.48,23.5,0.99,7.82,100.94,174.57,15.65,,50.61,0.82,221.79,0.17,0.0,179.47,20-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
20-Feb-2019 - 00:00,3.49,20.68,21.82,83.99,16.73,0.59,6.52,99.15,160.43,19.95,,44.06,0.97,266.44,0.17,0.0,194.72,21-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
21-Feb-2019 - 00:00,68.35,29.85,97.29,148.35,18.06,0.96,30.73,95.67,170.24,23.53,,43.91,0.73,266.69,0.17,0.0,189.21,22-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
22-Feb-2019 - 00:00,197.4,54.49,251.88,197.45,7.5,1.04,35.84,138.71,212.8,41.52,,48.91,0.77,211.77,0.19,0.0,169.97,23-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
23-Feb-2019 - 00:00,169.7,115.62,285.18,18.2,4.89,0.74,13.16,100.4,168.45,49.92,,50.9,1.2,320.48,0.18,0.0,174.33,24-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
24-Feb-2019 - 00:00,205.28,113.23,318.32,13.83,4.85,0.54,17.73,57.63,93.95,38.58,,36.73,1.09,280.24,0.17,0.0,194.79,25-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
25-Feb-2019 - 00:00,126.95,79.21,206.1,37.85,5.71,0.51,23.59,38.69,61.0,19.89,,64.18,0.93,182.13,0.18,0.06,192.57,26-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
26-Feb-2019 - 00:00,34.32,21.29,54.87,57.15,7.03,0.45,20.14,50.77,70.08,6.65,,78.43,0.71,170.7,0.17,0.07,160.01,27-Feb-2019 - 00:00,,"Asansol Court Area, Asansol - WBPCB"
