from date,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,AT,Rack Temp,Benzene,Toluene,Xylene,RH,WS,WD,SR,BP,VWS,to date,station
04-Feb-2019 - 00:00,0.47,45.1,1.63,26.93,15.67,6.53,,28.67,26.73,0.57,2.29,0.0,45.0,1.2,143.67,379.0,726.0,0.72,05-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
05-Feb-2019 - 00:00,0.69,28.87,3.29,63.19,36.26,6.94,67.47,24.85,27.35,1.05,6.11,0.78,48.71,0.77,127.59,86.06,721.44,0.74,06-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
06-Feb-2019 - 00:00,0.62,33.75,4.02,53.58,31.77,7.19,76.41,24.83,26.91,0.88,6.88,0.38,54.09,0.81,169.75,146.32,717.74,0.75,07-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
07-Feb-2019 - 00:00,0.56,37.27,2.18,38.09,22.02,7.16,68.73,25.28,26.82,0.56,2.83,0.1,52.91,1.05,174.46,145.39,716.15,0.75,08-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
08-Feb-2019 - 00:00,0.67,33.59,19.16,45.35,39.71,9.62,65.07,24.36,26.98,0.89,9.9,0.7,51.74,1.06,102.94,130.52,717.73,0.75,09-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
09-Feb-2019 - 00:00,0.32,42.99,3.96,31.59,20.01,9.76,56.27,22.88,26.98,0.8,11.36,0.21,44.31,1.62,98.25,161.35,720.02,0.78,10-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
10-Feb-2019 - 00:00,0.55,39.75,1.98,37.63,21.62,26.73,55.46,23.58,26.72,0.45,7.56,0.06,43.17,1.12,121.24,156.55,721.66,0.77,11-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
11-Feb-2019 - 00:00,0.61,30.27,1.85,31.16,18.09,8.27,65.22,24.77,27.01,0.51,3.39,0.08,56.78,1.02,127.06,141.26,722.48,0.74,12-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
12-Feb-2019 - 00:00,0.66,26.27,2.74,39.46,23.22,9.89,69.67,24.44,27.26,0.71,4.64,0.22,62.38,0.82,109.32,146.69,723.98,0.72,13-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
13-Feb-2019 - 00:00,0.67,32.2,2.97,42.67,25.06,8.19,66.96,24.86,26.91,1.18,6.0,0.23,55.47,0.89,107.42,170.48,724.69,0.73,14-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
14-Feb-2019 - 00:00,0.72,34.39,3.62,49.79,29.42,6.71,73.51,25.49,26.64,1.02,4.48,0.2,54.94,0.71,141.68,155.89,719.68,0.72,15-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
15-Feb-2019 - 00:00,0.64,23.35,3.71,36.48,22.41,2.94,48.97,26.26,27.06,1.01,2.94,0.17,50.91,1.13,190.86,158.95,717.65,0.72,16-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
16-Feb-2019 - 00:00,0.71,30.4,13.39,41.43,32.92,5.58,51.21,26.16,27.36,0.96,6.08,1.04,54.24,1.08,153.12,156.8,717.41,0.73,17-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
17-Feb-2019 - 00:00,0.47,32.69,1.39,26.02,14.98,4.64,45.74,26.49,26.92,0.54,4.61,0.18,56.2,1.13,154.89,151.41,715.82,0.74,18-Feb-2019 - 00:00,"Sanathnagar, Hyderabad - TSPCB"
