from date,SO2,CO,Ozone,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,RH,VWS,BP,SR,Eth-Benzene,RF,WS,WD,NO,NO2,NOx,to date,station
21-Apr-2019 - 00:00,2.08,0.27,21.31,109.65,0.0,0.0,,0.0,38.97,0.05,763.71,326.95,0.0,,0.44,209.15,9.3,9.73,4.94,22-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Apr-2019 - 00:00,0.65,0.35,30.74,81.04,0.0,0.0,,0.0,24.44,-3.65,760.86,265.12,0.0,,0.52,233.94,34.48,23.28,33.17,23-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Apr-2019 - 00:00,3.32,0.35,20.63,103.27,0.0,0.0,,0.0,29.61,0.05,762.48,260.95,0.0,,0.52,213.67,13.58,13.39,8.53,24-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Apr-2019 - 00:00,2.4,0.42,27.51,137.21,0.0,0.0,,0.0,29.12,0.05,764.03,265.65,0.0,,0.6,176.72,9.77,9.09,5.04,25-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Apr-2019 - 00:00,5.11,0.39,30.69,123.5,0.0,0.0,,0.0,24.11,0.0,761.45,301.45,0.0,,0.92,178.99,11.82,10.18,7.51,26-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Apr-2019 - 00:00,2.76,0.26,35.98,112.48,0.0,0.0,,0.0,27.79,0.05,763.01,283.76,0.0,,0.43,231.68,9.68,9.74,5.28,27-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Apr-2019 - 00:00,3.47,0.19,34.42,116.11,0.0,0.0,,0.0,20.86,-0.65,762.49,215.16,0.0,,0.88,235.74,9.82,9.62,5.26,28-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Apr-2019 - 00:00,4.4,0.22,34.22,122.14,0.0,0.0,,0.0,16.83,-0.76,760.62,267.87,0.0,,0.66,239.5,10.98,9.35,6.28,29-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Apr-2019 - 00:00,5.13,0.42,31.14,123.62,0.0,0.0,,0.0,17.42,-0.96,759.08,261.1,0.02,,0.46,215.89,10.95,9.22,6.14,30-Apr-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Apr-2019 - 00:00,5.93,0.29,32.09,132.52,0.53,3.11,,2.78,16.62,-0.53,754.43,248.34,2.82,,0.42,179.12,10.18,9.34,5.49,01-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-May-2019 - 00:00,3.87,0.34,41.05,144.21,0.0,0.28,,0.0,22.88,-0.48,753.75,246.37,0.1,,0.42,195.92,9.95,9.57,5.41,02-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-May-2019 - 00:00,3.42,0.28,36.97,134.24,0.91,1.57,,0.0,26.69,-0.92,756.93,208.7,1.54,,1.24,136.68,9.72,9.48,5.19,03-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-May-2019 - 00:00,3.64,0.33,40.66,71.17,0.0,0.0,,0.0,35.59,-1.39,761.35,235.13,0.0,,0.82,145.4,10.08,9.85,5.67,04-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-May-2019 - 00:00,3.88,0.09,20.52,74.27,0.0,0.0,,0.0,49.3,0.05,764.77,33.35,0.0,,0.37,199.56,10.87,9.22,6.01,05-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-May-2019 - 00:00,15.8,0.2,50.45,85.41,0.0,0.0,,0.0,15.63,-0.77,763.43,375.54,0.0,,0.7,237.85,10.05,9.65,5.6,06-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-May-2019 - 00:00,8.13,0.28,42.41,119.33,0.0,0.0,,0.0,17.08,0.05,760.21,266.26,0.0,,0.59,220.92,9.66,9.52,5.18,07-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-May-2019 - 00:00,8.71,0.2,32.0,172.21,0.0,0.0,,0.0,18.47,0.05,757.75,319.95,0.0,,0.7,224.61,10.63,9.97,6.11,08-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-May-2019 - 00:00,1.84,0.58,32.64,146.68,0.0,0.0,,0.0,14.49,-5.83,755.95,302.38,0.0,,0.82,240.28,10.62,9.27,6.0,09-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-May-2019 - 00:00,57.72,0.37,28.95,176.47,0.0,0.0,,0.0,17.04,-2.18,756.22,250.31,0.0,,0.77,245.38,10.18,9.16,5.63,10-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-May-2019 - 00:00,14.11,0.35,31.94,124.15,0.0,0.0,,0.0,17.54,0.37,757.54,258.97,0.0,,0.7,247.52,9.25,9.54,4.95,11-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-May-2019 - 00:00,28.3,0.33,47.24,100.89,0.0,0.0,,0.0,27.03,-0.01,761.53,251.23,0.0,,0.52,222.95,10.17,9.69,5.66,12-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-May-2019 - 00:00,25.21,0.36,49.34,264.73,0.0,0.0,,0.0,25.7,-0.01,760.81,298.66,0.0,,0.81,251.19,10.14,9.32,5.47,13-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-May-2019 - 00:00,24.29,0.41,57.39,139.86,0.0,0.0,,0.0,27.94,-0.01,758.25,287.16,0.0,,0.48,214.28,10.03,9.73,5.55,14-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-May-2019 - 00:00,10.28,0.37,47.48,47.59,0.0,0.0,,0.0,38.21,-0.01,761.05,265.28,0.0,,0.38,189.66,9.72,9.5,5.29,15-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-May-2019 - 00:00,15.72,0.3,34.54,71.7,0.0,0.0,,0.0,40.43,-0.01,763.12,178.26,0.0,,0.94,163.31,12.21,10.7,7.76,16-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-May-2019 - 00:00,8.39,0.36,35.82,89.97,0.0,0.0,,0.0,37.82,-0.01,763.93,232.44,0.0,,0.52,193.79,10.08,9.24,5.47,17-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-May-2019 - 00:00,11.18,0.3,29.56,97.36,0.0,0.0,,0.0,50.04,-0.01,764.06,259.78,0.0,,0.61,187.82,13.5,10.09,8.98,18-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-May-2019 - 00:00,4.56,0.31,35.24,38.44,0.0,0.0,,0.0,62.62,-0.01,765.01,275.39,0.0,,0.59,249.71,12.1,8.9,7.11,19-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-May-2019 - 00:00,6.14,0.34,43.49,64.18,0.0,0.0,,0.0,40.32,-0.01,764.24,299.65,0.0,,0.49,231.5,11.79,8.91,7.0,20-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-May-2019 - 00:00,7.03,0.35,37.0,105.17,0.0,0.0,,0.0,35.04,-0.01,764.37,268.15,0.0,,0.44,220.1,11.63,9.51,6.92,21-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-May-2019 - 00:00,7.11,0.38,35.91,86.06,0.0,0.0,,0.0,31.15,-0.01,761.9,246.96,0.0,,0.38,220.78,10.33,9.28,5.63,22-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-May-2019 - 00:00,6.57,0.5,22.82,87.52,0.0,0.0,,0.0,37.26,-0.01,760.02,139.94,0.0,,0.36,199.36,10.01,9.25,5.43,23-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-May-2019 - 00:00,5.93,0.44,34.5,90.21,0.0,0.0,,0.0,39.55,-0.01,758.39,221.15,0.0,,0.45,190.29,9.73,9.2,5.19,24-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-May-2019 - 00:00,5.64,0.37,34.27,46.15,0.0,0.0,,0.0,49.95,-0.01,761.48,274.85,0.0,,0.53,183.98,10.59,9.94,6.09,25-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-May-2019 - 00:00,3.34,0.34,43.82,43.49,0.0,0.0,,0.0,38.82,-0.01,760.58,317.21,0.0,,0.7,261.79,10.5,9.08,5.71,26-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-May-2019 - 00:00,15.66,0.35,45.86,56.07,0.0,0.0,,0.0,28.43,-0.01,757.81,315.69,0.0,,0.59,217.47,10.7,9.35,5.76,27-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-May-2019 - 00:00,10.44,0.21,33.64,75.74,0.0,0.0,,0.0,23.44,0.51,757.31,286.63,0.0,,0.48,211.06,11.28,8.75,6.77,28-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-May-2019 - 00:00,15.43,0.23,54.71,78.51,0.0,0.0,,0.0,17.46,1.66,756.57,317.73,0.0,,0.63,233.8,9.36,35.73,24.13,29-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-May-2019 - 00:00,15.77,0.4,85.43,86.17,0.0,0.0,,0.0,21.14,1.72,754.03,305.37,0.0,,0.45,215.35,38.77,58.69,60.09,30-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-May-2019 - 00:00,14.1,0.33,56.39,135.09,0.0,0.0,,0.0,20.69,0.04,751.5,293.26,0.0,,0.48,216.98,79.38,45.12,83.7,31-May-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-May-2019 - 00:00,11.2,0.3,68.72,124.73,0.0,0.0,,0.0,17.66,-0.01,751.69,282.69,0.0,,0.5,228.91,26.99,45.63,46.6,01-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Jun-2019 - 00:00,12.2,0.29,94.35,117.14,0.0,0.0,,0.0,22.24,-0.01,751.17,279.48,0.0,,0.58,172.23,32.19,43.62,43.77,02-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Jun-2019 - 00:00,8.7,0.39,122.17,92.22,0.0,0.0,,0.0,37.24,-0.01,751.47,262.28,0.0,,1.34,141.73,13.82,40.16,14.47,03-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Jun-2019 - 00:00,9.15,0.4,128.3,102.02,0.0,0.0,,0.0,42.02,-0.01,752.83,252.46,0.0,,1.62,135.34,8.83,31.38,10.4,04-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Jun-2019 - 00:00,5.22,0.37,115.29,70.35,0.0,0.0,,0.0,36.99,-0.01,752.64,109.5,0.0,,1.08,150.97,4.75,44.43,16.74,05-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Jun-2019 - 00:00,8.91,0.37,96.09,97.0,0.0,0.0,,0.0,34.08,-0.01,752.69,239.16,0.0,,0.49,164.88,16.11,36.46,28.35,06-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Jun-2019 - 00:00,11.59,0.31,89.81,110.75,0.0,0.0,,0.0,28.24,-0.01,753.37,242.67,0.0,,0.75,191.6,20.94,31.8,28.61,07-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Jun-2019 - 00:00,3.67,0.36,105.52,74.03,0.0,0.0,,0.0,40.04,-0.01,758.05,246.97,0.0,,0.65,163.25,5.18,33.06,13.98,08-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Jun-2019 - 00:00,6.18,0.34,90.27,77.68,0.0,0.0,,0.0,31.91,-0.01,755.39,277.03,0.0,,0.39,201.18,15.63,33.45,19.77,09-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Jun-2019 - 00:00,9.51,0.27,76.09,117.74,0.0,0.0,,0.0,22.99,-0.01,751.15,272.23,0.0,,0.34,191.94,47.89,36.12,53.03,10-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Jun-2019 - 00:00,12.41,0.39,76.55,118.87,0.0,0.0,,0.0,20.63,-0.01,747.12,272.74,0.0,,0.44,202.32,34.86,47.21,48.35,11-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Jun-2019 - 00:00,9.85,0.25,43.03,226.2,0.0,0.0,,0.0,17.92,-0.01,747.32,216.67,0.0,,0.44,223.05,30.43,52.58,49.22,12-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Jun-2019 - 00:00,10.94,0.35,104.53,101.87,0.0,0.0,,0.0,35.75,-0.01,751.58,248.71,0.0,,1.58,154.19,4.26,47.14,18.65,13-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Jun-2019 - 00:00,6.08,0.27,75.07,77.12,0.0,0.0,,0.0,36.27,-0.01,752.29,264.63,0.0,,0.48,221.68,10.3,61.79,29.04,14-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Jun-2019 - 00:00,5.25,0.48,64.01,57.87,0.0,0.0,,0.0,38.6,-0.01,753.21,226.86,0.0,,0.71,250.86,,,,15-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Jun-2019 - 00:00,7.51,0.14,134.23,90.4,0.0,0.0,,0.0,14.91,-0.01,745.0,342.55,0.0,,0.66,267.98,8.09,8.52,1.21,16-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Jun-2019 - 00:00,12.75,0.84,78.94,36.77,0.0,0.0,,0.0,54.28,-0.01,755.15,208.65,0.0,,0.71,252.23,8.31,9.34,3.03,17-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Jun-2019 - 00:00,9.77,0.8,61.8,44.8,0.0,0.0,,0.0,54.34,-0.01,755.28,98.18,0.0,,0.67,230.92,8.09,9.51,2.46,18-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Jun-2019 - 00:00,14.66,0.53,106.89,41.2,0.0,0.0,,0.0,67.49,-0.01,760.16,168.63,0.0,,0.89,189.96,7.49,9.45,2.21,19-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Jun-2019 - 00:00,6.37,0.67,98.01,49.97,0.0,0.0,,0.0,42.66,1.18,753.37,338.97,0.0,,0.42,188.33,7.66,10.14,2.63,20-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Jun-2019 - 00:00,13.77,0.28,89.18,48.27,0.0,0.0,,0.0,46.18,-0.01,755.72,292.06,0.0,,0.66,170.93,10.59,10.92,4.23,21-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Jun-2019 - 00:00,8.12,0.24,71.84,78.42,0.0,0.0,,0.0,43.91,-0.01,755.69,204.74,0.0,,0.43,180.13,13.54,6.73,4.96,22-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Jun-2019 - 00:00,8.94,0.26,99.33,65.92,0.0,0.0,,0.0,36.59,-0.01,754.57,156.29,0.0,,0.56,163.42,13.6,6.66,5.11,23-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Jun-2019 - 00:00,7.27,0.25,90.51,49.55,0.0,0.0,,0.0,46.89,-0.01,754.38,186.05,0.0,,1.48,139.48,13.52,6.67,5.06,24-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Jun-2019 - 00:00,4.65,0.23,36.14,25.36,0.0,0.0,,0.0,65.12,0.87,759.34,48.29,0.0,,1.42,150.6,13.78,6.4,5.12,25-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Jun-2019 - 00:00,,0.17,58.38,43.93,0.0,0.0,,0.0,51.69,1.54,755.65,234.0,0.0,,0.42,179.75,13.41,6.57,4.95,26-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Jun-2019 - 00:00,4.27,0.35,47.47,57.59,0.0,0.0,,0.0,40.35,-0.01,751.32,290.41,0.0,,0.47,211.75,21.75,7.85,11.19,27-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Jun-2019 - 00:00,5.95,0.33,64.17,87.5,1.38,4.13,,2.77,40.47,-0.01,749.44,260.42,2.06,,0.56,239.3,24.11,9.8,13.05,28-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Jun-2019 - 00:00,8.84,0.28,63.0,77.82,2.0,6.01,,4.01,37.92,-0.01,748.09,238.0,3.0,,0.69,245.26,18.01,6.14,8.54,29-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Jun-2019 - 00:00,10.36,0.35,48.13,88.56,2.0,6.0,,4.01,32.12,-0.01,746.32,271.48,3.0,,0.58,236.64,19.36,7.54,8.91,30-Jun-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Jun-2019 - 00:00,8.5,0.34,57.51,91.24,2.0,6.02,,4.01,33.92,-0.01,747.05,252.94,3.0,,0.57,208.56,16.06,5.23,6.49,01-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Jul-2019 - 00:00,8.22,0.34,51.13,69.03,1.99,6.0,,3.99,37.6,-0.01,748.68,277.12,3.0,,0.48,207.16,14.92,5.35,5.73,02-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Jul-2019 - 00:00,10.84,0.39,89.49,92.85,2.0,6.01,,3.98,42.07,-0.01,750.45,246.6,3.0,,0.68,175.99,14.96,5.94,5.87,03-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Jul-2019 - 00:00,8.71,0.37,30.25,45.57,1.99,6.0,,4.02,50.95,-0.01,751.21,241.74,3.01,,0.72,154.5,14.32,5.71,5.19,04-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Jul-2019 - 00:00,9.72,0.41,14.08,30.06,1.99,6.01,,4.0,70.49,-0.01,751.13,155.46,3.01,,0.42,188.0,14.57,5.76,5.43,05-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Jul-2019 - 00:00,10.36,0.38,14.61,32.77,2.01,5.97,,3.99,79.18,-0.01,749.14,143.52,2.99,,0.56,178.97,14.62,5.34,5.25,06-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Jul-2019 - 00:00,7.92,0.42,26.88,36.79,2.0,5.99,,3.97,73.36,-0.01,746.68,228.67,3.01,,0.52,180.1,14.2,5.62,5.05,07-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Jul-2019 - 00:00,7.45,0.36,28.43,36.74,2.01,5.98,,4.01,68.42,-0.01,747.61,194.78,3.0,,0.38,194.56,14.4,5.71,5.26,08-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Jul-2019 - 00:00,7.43,0.49,19.52,55.67,2.0,5.99,,4.0,63.71,-0.01,747.79,201.86,3.0,,0.33,202.5,13.49,6.34,4.86,09-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Jul-2019 - 00:00,7.36,0.35,7.56,55.91,2.0,6.03,,4.02,68.41,-0.01,748.47,124.43,3.0,,0.39,206.85,13.91,6.8,5.39,10-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Jul-2019 - 00:00,7.03,0.36,18.07,78.11,1.99,6.0,,4.02,61.05,0.0,746.22,217.69,3.01,,0.46,212.6,13.71,6.14,5.12,11-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Jul-2019 - 00:00,9.61,0.32,25.97,109.88,2.0,5.99,,3.97,48.58,0.47,746.31,239.0,3.0,,0.63,227.06,13.77,6.2,5.01,12-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
12-Jul-2019 - 00:00,7.48,0.34,21.53,101.72,2.0,5.98,,3.98,49.76,-0.01,750.19,201.82,3.0,,0.54,221.6,14.17,5.87,5.17,13-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
13-Jul-2019 - 00:00,11.07,0.33,26.61,87.1,2.0,5.99,,4.0,44.7,-0.01,750.8,227.94,2.99,,0.71,227.92,14.19,6.14,5.31,14-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
14-Jul-2019 - 00:00,10.19,0.3,34.12,88.06,2.0,5.98,,4.0,48.63,0.04,749.37,220.12,3.0,,0.75,229.09,13.73,6.5,5.14,15-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
15-Jul-2019 - 00:00,7.02,0.33,24.55,73.95,1.99,6.01,,3.98,68.54,-0.01,750.85,132.01,3.01,,0.95,165.41,13.65,6.28,4.95,16-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
16-Jul-2019 - 00:00,7.65,0.31,36.39,44.25,2.0,6.02,,3.99,74.17,-0.01,755.38,186.38,3.01,,1.1,153.57,13.99,6.14,5.15,17-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
17-Jul-2019 - 00:00,11.73,0.3,34.29,31.82,1.98,6.0,,3.99,80.35,-0.01,757.6,170.98,2.99,,0.53,183.09,14.0,6.64,5.46,18-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
18-Jul-2019 - 00:00,12.59,0.26,18.53,25.32,2.0,5.99,,3.99,90.04,-0.01,759.07,90.74,2.99,,0.34,185.55,13.79,6.52,5.3,19-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
19-Jul-2019 - 00:00,12.6,0.3,35.58,45.61,2.0,6.0,,3.99,70.33,-0.01,756.32,244.4,3.01,,0.33,183.63,13.67,6.32,5.01,20-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
20-Jul-2019 - 00:00,16.67,0.31,19.45,37.25,2.01,6.0,,4.0,83.91,-0.01,758.24,174.66,2.99,,0.37,172.61,14.58,6.01,5.54,21-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
21-Jul-2019 - 00:00,13.58,0.28,17.72,38.77,1.99,6.0,,4.0,79.92,-0.01,757.08,232.95,3.0,,0.51,167.44,19.3,8.3,10.24,22-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
22-Jul-2019 - 00:00,13.82,0.29,31.8,36.66,2.0,6.01,,4.03,72.58,-0.01,754.86,236.27,2.99,,0.49,160.73,25.0,9.39,13.26,23-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
23-Jul-2019 - 00:00,13.14,0.31,45.99,27.18,2.0,6.0,,4.0,66.63,-0.01,752.52,227.03,3.01,,0.34,173.88,14.88,6.84,5.62,24-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
24-Jul-2019 - 00:00,10.91,0.3,42.24,57.38,2.01,6.0,,3.98,68.2,-0.01,750.64,206.23,3.0,,0.4,215.79,14.36,7.55,5.3,25-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
25-Jul-2019 - 00:00,7.49,0.29,26.32,25.52,2.0,6.0,,4.01,86.4,-0.01,755.32,64.91,3.0,,0.28,214.46,14.69,7.71,5.6,26-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
26-Jul-2019 - 00:00,6.91,0.27,3.02,49.84,2.0,5.98,,4.01,90.27,-0.01,752.44,122.86,3.0,,0.54,162.82,13.59,8.52,5.03,27-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
27-Jul-2019 - 00:00,5.32,0.29,21.91,9.09,2.0,6.01,,4.0,89.07,-0.01,752.04,156.8,3.0,,1.13,146.17,14.09,7.88,5.1,28-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
28-Jul-2019 - 00:00,14.31,0.36,39.19,14.13,2.0,6.02,,3.98,83.0,-0.01,754.52,173.6,2.99,,1.57,143.2,14.79,7.6,5.58,29-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
29-Jul-2019 - 00:00,14.18,0.36,30.53,21.61,2.0,6.0,,4.0,74.12,-0.01,755.94,159.53,2.99,,1.38,144.67,19.74,5.04,7.5,30-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
30-Jul-2019 - 00:00,17.48,0.36,33.79,17.89,1.99,5.99,,4.0,73.9,0.23,755.93,188.96,3.0,,1.3,142.78,15.99,6.43,5.97,31-Jul-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
31-Jul-2019 - 00:00,16.04,0.32,41.45,27.35,2.01,6.01,,4.01,73.17,0.61,754.55,152.28,3.01,,1.04,155.62,15.77,8.17,6.62,01-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
01-Aug-2019 - 00:00,15.19,0.33,40.04,29.38,2.0,5.99,,4.0,68.77,-0.01,753.31,218.95,3.0,,0.77,153.73,16.87,9.51,7.36,02-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
02-Aug-2019 - 00:00,20.52,0.36,32.98,28.6,2.0,6.0,,4.01,83.3,-0.01,752.91,140.7,3.0,,0.42,158.19,15.8,7.04,6.12,03-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
03-Aug-2019 - 00:00,22.88,0.33,27.91,29.59,2.0,5.99,,4.01,88.43,-0.01,753.11,137.33,3.0,,0.61,130.97,21.66,9.59,11.31,04-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
04-Aug-2019 - 00:00,23.8,0.33,30.54,47.15,2.01,5.99,,4.0,85.73,-0.01,751.2,142.72,3.0,,0.57,63.03,14.26,8.24,5.44,05-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
05-Aug-2019 - 00:00,19.9,0.29,27.18,35.62,2.01,6.0,,3.97,82.67,-0.01,748.33,206.1,3.0,,0.63,63.02,12.59,6.9,5.27,06-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
06-Aug-2019 - 00:00,13.65,0.32,14.22,20.75,2.01,6.01,,4.0,91.23,-0.01,750.44,77.85,3.01,,0.72,63.02,12.52,3.81,7.23,07-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
07-Aug-2019 - 00:00,9.63,0.32,19.56,21.34,1.99,5.98,,4.0,80.4,-0.01,749.27,165.89,2.99,,0.96,63.03,7.61,9.87,5.52,08-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
08-Aug-2019 - 00:00,14.17,0.32,23.49,18.34,1.99,6.02,,4.0,70.29,-0.01,747.78,235.33,3.01,,0.94,63.02,7.14,8.8,6.39,09-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
09-Aug-2019 - 00:00,6.58,0.3,36.49,14.8,2.0,6.02,,4.01,65.96,-0.01,750.8,184.96,2.99,,2.62,63.02,7.71,5.5,12.1,10-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
10-Aug-2019 - 00:00,5.91,0.32,35.56,11.38,2.01,6.01,,4.01,76.93,-0.01,752.76,153.23,3.0,,1.87,63.02,7.48,4.78,11.59,11-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
11-Aug-2019 - 00:00,11.19,0.31,34.85,12.19,1.99,5.98,,4.01,69.47,0.43,754.08,244.97,3.0,,0.89,63.02,7.3,4.88,11.5,12-Aug-2019 - 00:00,"Vikas Sadan, Gurugram - HSPCB"
