from date,SR,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,BP,station
12-Oct-2019 - 00:00,160.9,63.23,25.9,-3.63,,54.42,,40.07,9.17,8.84,6.3,,5.47,13-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Oct-2019 - 00:00,268.98,69.61,26.28,-3.35,,45.89,,38.07,9.19,8.89,6.28,,5.54,14-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Oct-2019 - 00:00,241.97,64.91,24.99,-3.25,,61.91,,45.62,9.35,8.92,6.27,,8.3,15-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Oct-2019 - 00:00,232.17,74.39,25.51,-3.17,,73.44,,22.29,9.34,9.06,6.31,,7.16,16-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-Oct-2019 - 00:00,241.59,65.23,26.11,-3.13,,79.87,,20.85,9.35,9.0,6.34,,9.2,17-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Oct-2019 - 00:00,141.04,56.65,25.85,-3.23,,68.83,,33.86,9.35,9.18,6.28,,6.69,18-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Oct-2019 - 00:00,214.7,67.73,27.06,-3.19,,45.63,,21.94,9.34,8.52,6.29,,6.09,19-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-Oct-2019 - 00:00,117.79,95.99,25.63,-3.09,,59.19,,130.28,9.62,8.96,6.21,,6.7,20-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Oct-2019 - 00:00,172.09,100.37,24.7,-3.01,,46.38,,71.93,9.33,8.75,6.3,,5.64,21-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Oct-2019 - 00:00,174.74,90.27,24.52,-3.33,,32.34,,48.1,9.09,8.75,6.27,,4.57,22-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Oct-2019 - 00:00,255.37,99.51,25.57,-3.14,,53.91,,50.27,9.28,9.08,6.32,,6.23,23-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Oct-2019 - 00:00,132.63,103.91,24.52,-3.03,,64.4,,43.49,9.51,8.87,6.32,,6.68,24-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Oct-2019 - 00:00,46.74,99.47,20.5,-4.01,,34.43,,53.41,9.13,8.85,6.32,,4.72,25-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Oct-2019 - 00:00,54.46,92.62,19.35,-2.9,,27.47,,31.48,9.31,8.67,6.21,,4.95,26-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Oct-2019 - 00:00,73.41,88.89,21.56,-3.13,,23.18,,17.18,9.15,8.85,6.29,,4.52,27-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Oct-2019 - 00:00,167.86,103.19,23.37,-3.01,,51.07,,18.65,9.2,9.1,6.36,,6.5,28-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
28-Oct-2019 - 00:00,199.27,91.99,23.23,-3.04,,53.09,,21.77,9.39,8.94,6.32,,6.51,29-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
29-Oct-2019 - 00:00,183.19,108.57,23.28,-3.15,,58.95,,46.58,9.07,8.86,6.33,,4.97,30-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
30-Oct-2019 - 00:00,224.23,95.04,23.23,-3.03,,54.21,,95.54,8.95,8.66,6.3,,4.5,31-Oct-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
31-Oct-2019 - 00:00,180.46,103.43,23.22,-3.02,,70.4,,47.41,9.13,8.59,6.28,,4.92,01-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
01-Nov-2019 - 00:00,154.13,102.21,23.45,-3.03,,69.54,,26.31,8.85,8.73,6.32,,4.91,02-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Nov-2019 - 00:00,183.85,96.76,23.93,-3.09,,63.91,,25.8,8.93,8.65,6.32,,5.21,03-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Nov-2019 - 00:00,152.9,114.31,24.55,-3.52,,85.61,,25.91,9.04,8.8,6.34,,4.59,04-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Nov-2019 - 00:00,189.11,115.72,24.08,-3.38,,80.72,,45.55,8.99,8.78,6.32,,4.46,05-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Nov-2019 - 00:00,181.29,111.83,23.43,-3.12,,78.92,,35.08,8.95,8.75,6.27,,4.98,06-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Nov-2019 - 00:00,187.23,108.54,21.58,-3.08,,74.34,,47.77,9.19,8.77,6.31,,5.3,07-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Nov-2019 - 00:00,199.33,125.45,21.45,-4.17,,90.08,,98.56,9.84,9.08,6.33,,6.46,08-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Nov-2019 - 00:00,135.05,112.24,22.5,-3.58,,78.92,,93.99,9.58,8.75,6.26,,6.08,09-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Nov-2019 - 00:00,81.1,97.47,23.27,-4.22,,43.86,,69.49,9.24,8.73,6.3,,5.83,10-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Nov-2019 - 00:00,117.71,98.56,24.5,-3.71,,43.32,,54.95,9.17,8.74,6.3,,6.07,11-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Nov-2019 - 00:00,178.34,121.15,22.99,-3.28,,53.05,,52.05,9.03,8.64,6.32,,5.08,12-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-Nov-2019 - 00:00,211.52,111.31,21.26,-3.04,,63.78,,70.71,9.12,8.95,6.31,,6.09,13-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Nov-2019 - 00:00,209.41,207.92,20.57,-3.11,,78.73,,54.52,9.51,8.81,6.26,,10.04,14-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Nov-2019 - 00:00,203.27,168.14,21.48,-3.13,,89.47,,58.03,9.33,8.82,6.33,,,15-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Nov-2019 - 00:00,185.8,168.34,21.46,-3.06,,84.12,,61.09,9.21,8.78,6.3,,,16-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-Nov-2019 - 00:00,192.98,162.49,21.3,-3.07,,80.33,,63.25,9.3,8.74,6.29,,,17-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Nov-2019 - 00:00,203.6,164.59,21.01,-3.02,,76.01,,55.29,9.33,8.97,6.37,,23.57,18-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Nov-2019 - 00:00,199.67,174.9,21.29,-3.17,,94.25,,68.5,9.47,8.69,6.28,,27.67,19-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-Nov-2019 - 00:00,179.15,154.86,20.22,-3.09,,83.56,,57.62,9.45,8.65,6.29,,22.54,20-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Nov-2019 - 00:00,190.85,185.77,20.51,-3.12,,100.62,,55.16,9.68,9.15,6.3,,30.63,21-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Nov-2019 - 00:00,176.89,207.41,20.37,-3.04,,161.31,,49.76,9.53,8.7,6.27,,28.99,22-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Nov-2019 - 00:00,184.94,126.37,19.6,-3.12,,,,56.35,9.74,8.86,6.32,,24.07,23-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Nov-2019 - 00:00,155.06,186.02,20.23,-3.06,,,,55.42,9.66,8.8,6.32,,23.97,24-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Nov-2019 - 00:00,176.83,228.51,20.57,-3.37,,118.55,,57.11,9.66,9.02,6.26,,25.79,25-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Nov-2019 - 00:00,199.63,230.63,22.47,-3.19,,143.1,,64.99,9.83,8.9,6.31,,30.0,26-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Nov-2019 - 00:00,145.36,249.1,21.53,-4.08,,121.95,,45.42,9.54,8.88,6.32,,26.07,27-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Nov-2019 - 00:00,126.05,278.65,21.27,-4.14,,136.16,,57.2,9.57,8.69,6.34,,32.02,28-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
28-Nov-2019 - 00:00,147.91,263.07,21.08,-3.42,,109.66,,45.82,9.36,8.78,6.3,,26.54,29-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
29-Nov-2019 - 00:00,153.61,208.88,21.13,-2.9,,101.59,,58.18,9.34,8.39,6.31,,26.47,30-Nov-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
30-Nov-2019 - 00:00,136.34,183.67,21.12,-3.44,,85.49,,46.07,9.01,8.64,6.32,,26.71,01-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
01-Dec-2019 - 00:00,163.79,151.96,20.01,-3.09,,73.7,,55.1,9.01,8.47,6.38,,21.56,02-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Dec-2019 - 00:00,166.69,164.02,19.88,-2.82,,81.01,,44.61,9.31,8.66,6.39,,24.92,03-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Dec-2019 - 00:00,141.77,177.21,19.18,-2.67,,87.1,,27.14,9.38,8.57,6.29,,22.61,04-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Dec-2019 - 00:00,170.85,184.91,17.88,-3.01,,92.01,,60.93,9.42,8.66,6.29,,27.54,05-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Dec-2019 - 00:00,160.03,183.0,17.38,-3.34,,87.69,,27.26,9.3,8.54,6.36,,24.02,06-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Dec-2019 - 00:00,167.9,203.18,19.52,-2.98,,97.79,,40.96,9.76,9.3,6.37,,32.39,07-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Dec-2019 - 00:00,137.72,236.62,18.75,-2.91,,97.29,,21.26,9.46,9.05,6.37,,25.0,08-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Dec-2019 - 00:00,137.6,237.03,19.85,-2.58,,102.44,,30.47,9.32,8.49,6.33,,34.94,09-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Dec-2019 - 00:00,127.7,216.74,19.67,-2.65,,92.7,,64.77,9.45,8.68,6.38,,37.65,10-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Dec-2019 - 00:00,139.55,217.9,19.53,-2.65,,96.14,,27.6,9.48,8.66,6.38,,29.12,11-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Dec-2019 - 00:00,129.01,234.74,19.34,-2.63,,105.9,,78.12,9.52,8.52,6.35,,31.5,12-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-Dec-2019 - 00:00,108.28,243.66,20.24,-2.66,,115.19,,74.88,9.58,8.57,6.34,,37.92,13-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Dec-2019 - 00:00,99.07,253.62,20.4,-2.76,,137.94,,55.96,9.61,8.54,6.36,,36.09,14-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Dec-2019 - 00:00,144.02,183.42,20.09,-2.66,,97.35,,43.95,9.56,8.54,6.31,,25.42,15-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Dec-2019 - 00:00,39.3,163.76,18.58,-2.41,,76.79,,47.02,8.8,8.59,6.42,,29.29,16-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-Dec-2019 - 00:00,95.36,109.41,18.85,-2.61,,57.01,,46.46,8.88,8.45,6.42,,27.18,17-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Dec-2019 - 00:00,134.21,94.33,18.83,-2.75,,59.52,,51.41,8.54,8.21,6.34,,20.51,18-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Dec-2019 - 00:00,207.74,150.2,15.82,-2.38,,111.88,,57.14,8.93,8.39,6.37,,24.03,19-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-Dec-2019 - 00:00,186.96,140.3,12.37,-2.17,,64.19,,53.99,9.0,8.54,6.37,,23.03,20-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Dec-2019 - 00:00,196.02,184.12,13.39,-2.33,,73.72,,62.35,9.25,8.66,6.44,,20.72,21-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Dec-2019 - 00:00,186.77,217.07,14.51,-2.4,,70.13,,72.54,9.43,8.79,6.41,,18.72,22-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Dec-2019 - 00:00,145.02,265.93,16.48,-2.48,,79.71,,61.94,9.38,8.73,6.37,,22.46,23-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Dec-2019 - 00:00,107.93,295.87,16.7,-2.54,,93.55,,43.48,9.39,8.61,6.39,,25.51,24-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Dec-2019 - 00:00,155.81,262.97,16.21,-2.45,,84.2,,34.27,9.54,8.53,6.4,,29.57,25-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Dec-2019 - 00:00,73.71,239.34,15.93,-2.54,,74.58,,42.79,9.34,8.55,6.41,,24.16,26-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Dec-2019 - 00:00,59.94,207.79,15.38,-2.44,,93.12,,47.83,9.23,8.41,6.42,,26.31,27-Dec-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Dec-2019 - 00:00,7.55,176.13,11.87,-1.12,,81.73,,44.58,9.28,9.8,6.44,,21.19,28-Dec-2019 - 00:00,997.99,"Tata Stadium, Jorapokhar - JSPCB"
28-Dec-2019 - 00:00,181.53,165.99,13.87,-1.9,,73.77,,25.48,9.57,8.78,6.32,,18.74,29-Dec-2019 - 00:00,997.65,"Tata Stadium, Jorapokhar - JSPCB"
29-Dec-2019 - 00:00,203.45,168.07,13.6,-1.93,,64.46,,28.89,9.14,9.01,6.43,,24.18,30-Dec-2019 - 00:00,996.52,"Tata Stadium, Jorapokhar - JSPCB"
30-Dec-2019 - 00:00,178.71,186.39,13.42,-2.01,,71.97,,23.72,9.16,8.87,6.43,,24.61,31-Dec-2019 - 00:00,996.63,"Tata Stadium, Jorapokhar - JSPCB"
31-Dec-2019 - 00:00,8.8,250.5,9.41,-2.03,,111.9,,15.9,9.71,7.72,6.17,,19.95,01-Jan-2020 - 00:00,995.95,"Tata Stadium, Jorapokhar - JSPCB"
