from date,SR,PM10,Temp,VWS,RH,PM2.5,CO,Ozone,NO2,NO,NH3,Benzene,SO2,to date,BP,station
16-Feb-2019 - 00:00,252.51,38.22,23.92,-2.41,72.07,24.36,0.0,17.01,9.74,9.17,6.3,,,17-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Feb-2019 - 00:00,281.2,77.0,23.01,-2.46,44.59,42.94,0.0,22.83,9.74,9.03,6.33,,,18-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Feb-2019 - 00:00,256.24,106.23,21.34,-2.5,58.5,60.71,0.0,22.06,9.68,9.05,6.33,,,19-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
19-Feb-2019 - 00:00,259.43,208.39,24.32,-2.72,51.23,103.42,0.0,101.79,10.09,9.75,6.44,,,20-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
20-Feb-2019 - 00:00,259.23,177.8,25.67,-2.81,46.71,88.49,0.0,20.38,10.12,9.56,6.28,,,21-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
21-Feb-2019 - 00:00,271.94,189.96,26.5,-2.9,46.52,91.65,0.0,35.37,10.08,9.86,6.29,,,22-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
22-Feb-2019 - 00:00,234.56,229.45,28.65,-2.85,48.62,117.16,0.0,23.31,10.11,10.01,6.31,,,23-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
23-Feb-2019 - 00:00,271.95,133.98,28.04,-2.82,52.34,71.94,0.0,70.9,9.5,9.18,6.31,,,24-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
24-Feb-2019 - 00:00,308.2,122.4,27.26,-2.46,34.51,59.43,0.0,23.44,9.51,8.98,6.33,,,25-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
25-Feb-2019 - 00:00,271.46,71.06,24.4,-2.35,67.07,42.66,0.0,14.81,9.43,9.23,6.32,,22.73,26-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
26-Feb-2019 - 00:00,314.8,109.89,26.93,-2.85,70.07,59.8,0.0,14.88,9.59,9.01,6.29,,18.79,27-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
27-Feb-2019 - 00:00,114.46,71.17,23.45,-2.5,99.16,31.32,0.0,6.43,9.33,9.1,6.33,,7.26,28-Feb-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
28-Feb-2019 - 00:00,164.94,63.14,21.74,-2.22,74.88,13.75,0.0,55.42,9.33,9.01,6.37,,6.2,01-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
01-Mar-2019 - 00:00,305.02,84.37,21.01,-2.32,56.72,47.96,0.0,121.81,9.5,9.61,6.34,,8.06,02-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
02-Mar-2019 - 00:00,284.85,144.51,22.12,-2.43,50.93,81.84,0.0,57.53,9.58,9.39,6.4,,14.25,03-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
03-Mar-2019 - 00:00,229.54,148.44,23.94,-2.52,48.9,84.33,0.0,39.03,9.23,9.17,6.36,,15.52,04-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
04-Mar-2019 - 00:00,231.78,130.36,25.26,-2.64,66.35,73.38,0.0,13.76,9.28,9.11,6.36,,13.62,05-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
05-Mar-2019 - 00:00,203.28,147.84,26.22,-2.8,59.39,82.14,0.0,15.24,9.35,9.33,6.35,,13.4,06-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
06-Mar-2019 - 00:00,254.36,135.18,25.62,-2.81,54.11,83.32,0.0,18.19,9.38,9.33,6.34,,12.52,07-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
07-Mar-2019 - 00:00,284.69,83.44,24.65,-2.98,38.55,45.71,0.0,22.74,9.77,9.32,6.33,,7.62,08-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
08-Mar-2019 - 00:00,307.43,105.95,24.26,-2.78,40.3,58.18,0.0,19.56,9.72,9.13,6.31,,8.8,09-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
09-Mar-2019 - 00:00,308.14,141.0,26.23,-2.66,35.99,70.16,0.0,16.13,9.93,9.35,6.29,0.0,12.34,10-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
10-Mar-2019 - 00:00,249.15,204.06,27.79,-2.78,42.52,105.7,0.0,16.27,10.07,9.48,6.33,,20.6,11-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
11-Mar-2019 - 00:00,266.75,160.88,28.26,-2.87,40.84,85.72,0.0,19.84,9.79,9.38,6.32,0.0,12.97,12-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
12-Mar-2019 - 00:00,265.45,170.71,28.99,-2.75,43.73,89.39,0.0,16.12,10.17,9.64,6.29,,15.89,13-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
13-Mar-2019 - 00:00,382.89,223.59,29.13,-2.76,46.79,111.64,0.0,19.26,9.87,9.99,6.39,,15.72,14-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
14-Mar-2019 - 00:00,274.14,127.86,30.32,-2.75,61.34,68.43,0.0,21.82,10.12,9.23,6.36,,8.2,15-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
15-Mar-2019 - 00:00,211.19,93.68,27.35,-2.68,75.03,49.09,0.0,13.05,10.34,9.06,6.3,,8.78,16-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
16-Mar-2019 - 00:00,282.14,77.38,28.48,-2.3,63.69,41.86,0.0,29.74,9.9,9.24,6.23,,8.18,17-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
17-Mar-2019 - 00:00,235.97,106.11,26.58,-2.1,51.05,58.48,0.0,32.16,9.69,8.98,6.31,,7.89,18-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
18-Mar-2019 - 00:00,244.77,73.71,26.97,-2.08,56.9,39.64,0.0,16.64,9.68,9.22,6.32,,7.86,19-Mar-2019 - 00:00,,"Tata Stadium, Jorapokhar - JSPCB"
