from date,NO2,NO,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,WS,WD,RH,BP,SR,RF,to date,station
19-Feb-2019 - 00:00,36.39,4.86,23.31,28.14,6.22,0.82,28.63,94.21,155.77,2.46,4.68,18.36,0.3,284.94,62.0,741.58,67.6,0.0,20-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
20-Feb-2019 - 00:00,37.65,5.48,24.48,25.11,6.9,0.64,18.9,70.43,112.09,2.01,5.06,17.52,0.34,284.97,65.31,742.0,29.66,0.06,21-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
21-Feb-2019 - 00:00,37.47,13.92,31.24,24.15,5.29,0.89,18.02,67.28,157.09,2.73,8.77,20.53,0.36,285.0,57.77,742.0,75.43,0.0,22-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
22-Feb-2019 - 00:00,33.65,30.44,42.64,26.38,5.38,0.71,20.89,81.76,143.68,2.56,7.71,18.08,0.71,284.15,62.53,741.9,78.72,0.0,23-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
23-Feb-2019 - 00:00,32.48,4.3,20.78,23.6,8.08,0.5,32.04,52.97,88.96,1.4,2.24,14.34,1.09,283.33,57.66,741.32,98.07,0.0,24-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
24-Feb-2019 - 00:00,40.53,5.62,26.13,24.32,11.5,0.6,39.34,83.86,133.85,1.9,5.05,16.26,0.31,282.49,53.5,741.03,89.67,0.0,25-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
25-Feb-2019 - 00:00,36.51,18.18,34.2,26.07,10.75,0.63,33.3,96.72,148.09,2.25,3.37,15.98,0.45,284.41,54.45,741.16,66.72,0.03,26-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
26-Feb-2019 - 00:00,35.23,5.47,23.18,26.09,4.03,0.35,28.78,42.11,73.57,1.14,2.74,13.52,0.41,284.74,60.44,741.0,54.08,0.05,27-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
27-Feb-2019 - 00:00,31.93,3.92,20.17,23.32,4.29,0.37,30.26,41.41,68.6,1.1,1.94,13.41,0.36,284.3,61.14,741.0,64.38,0.0,28-Feb-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
28-Feb-2019 - 00:00,34.82,12.07,28.33,24.85,9.81,0.6,27.24,86.36,127.44,2.16,4.68,13.02,0.66,282.04,57.91,741.47,97.05,0.0,01-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
01-Mar-2019 - 00:00,36.47,6.46,24.66,25.49,11.27,0.64,32.86,89.86,141.78,2.15,3.79,15.07,0.33,269.22,54.17,741.59,101.5,0.0,02-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
02-Mar-2019 - 00:00,43.84,16.67,36.87,27.16,12.72,0.88,15.75,119.85,185.2,3.26,6.92,14.25,0.3,279.97,64.31,741.71,20.17,0.1,03-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
03-Mar-2019 - 00:00,33.18,6.57,22.98,23.5,5.94,0.42,21.82,40.99,57.74,1.22,2.41,15.65,0.3,284.77,67.07,741.11,64.24,0.04,04-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
04-Mar-2019 - 00:00,30.14,23.88,35.44,23.36,8.2,0.72,23.42,70.72,118.57,2.18,4.59,17.11,0.33,274.34,65.98,741.0,87.41,0.0,05-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
05-Mar-2019 - 00:00,27.71,3.69,17.74,17.59,8.97,0.49,29.39,51.07,105.54,1.36,2.45,16.54,0.47,279.44,61.05,741.0,100.28,0.0,06-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
06-Mar-2019 - 00:00,29.52,4.11,19.05,14.9,14.52,0.6,29.94,60.09,134.39,1.85,5.76,17.27,0.7,278.6,55.94,741.01,102.04,0.0,07-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
07-Mar-2019 - 00:00,26.83,16.22,27.46,11.98,15.88,0.7,29.43,69.17,160.47,2.21,5.29,17.87,0.38,268.05,53.51,741.17,103.43,0.0,08-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
08-Mar-2019 - 00:00,30.43,4.58,19.91,13.22,17.37,0.77,17.99,70.96,174.12,2.17,4.04,19.32,0.31,278.12,50.06,741.39,88.95,0.0,09-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
09-Mar-2019 - 00:00,29.03,4.51,19.11,30.0,13.48,0.78,23.17,60.84,150.1,1.93,3.5,18.95,0.73,283.84,53.09,741.34,97.1,0.0,10-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
10-Mar-2019 - 00:00,38.17,2.84,22.55,28.98,14.42,0.79,40.56,58.35,142.49,1.93,3.2,19.17,0.32,278.92,48.9,741.57,106.42,0.0,11-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
11-Mar-2019 - 00:00,29.44,1.62,16.97,36.97,13.24,0.79,44.99,64.66,172.67,2.12,3.08,21.56,1.13,284.84,48.15,741.52,85.8,0.0,12-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
12-Mar-2019 - 00:00,23.38,1.65,13.78,31.9,12.88,0.64,34.64,49.54,127.29,1.67,1.97,20.51,0.35,284.38,51.31,741.81,80.17,0.0,13-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
13-Mar-2019 - 00:00,36.01,2.32,21.04,32.4,16.53,0.92,32.28,83.57,219.18,2.86,5.01,19.13,0.32,280.92,53.42,741.83,52.3,0.0,14-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
14-Mar-2019 - 00:00,33.0,14.4,29.25,38.45,16.04,0.92,30.04,75.86,202.83,3.02,3.88,17.34,1.07,283.97,57.76,741.91,73.44,0.0,15-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
15-Mar-2019 - 00:00,25.74,3.06,16.19,28.08,16.31,0.73,35.84,47.27,91.83,2.12,2.88,17.72,0.39,282.44,56.05,742.0,109.19,0.0,16-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
16-Mar-2019 - 00:00,23.37,2.07,14.11,26.68,14.04,0.71,42.46,48.92,127.97,1.8,2.42,18.75,0.54,272.75,54.52,742.0,106.6,0.0,17-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
17-Mar-2019 - 00:00,31.44,2.76,18.96,25.89,18.21,0.82,45.11,57.76,157.7,2.41,4.69,20.6,0.38,275.43,50.32,741.59,109.02,0.0,18-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
18-Mar-2019 - 00:00,39.3,6.15,25.9,30.93,25.49,0.97,47.56,79.09,198.47,3.62,5.25,20.83,0.36,272.6,50.81,741.41,107.16,0.0,19-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
19-Mar-2019 - 00:00,35.92,5.99,23.87,31.22,18.65,0.87,41.18,64.31,188.75,2.47,3.49,22.4,0.34,277.88,49.61,741.12,108.46,0.0,20-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
20-Mar-2019 - 00:00,35.09,2.68,20.84,40.88,14.08,1.24,41.28,69.18,198.94,2.69,3.19,25.2,0.7,284.99,45.38,741.0,98.88,0.0,21-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
21-Mar-2019 - 00:00,17.52,0.91,10.06,30.07,12.22,0.68,36.71,41.54,125.53,1.68,1.85,25.2,0.45,283.59,43.33,741.35,106.62,0.0,22-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
22-Mar-2019 - 00:00,16.58,0.82,9.49,26.32,9.79,0.55,40.3,36.75,123.21,1.43,1.26,22.26,1.09,279.71,44.21,741.56,117.83,0.0,23-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
23-Mar-2019 - 00:00,19.05,0.77,10.77,24.19,16.47,0.6,45.25,46.75,138.95,1.83,3.14,21.86,1.1,276.17,47.68,741.31,113.14,0.0,24-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
24-Mar-2019 - 00:00,21.31,1.22,12.32,23.48,15.29,0.67,35.08,46.71,141.14,1.78,2.29,23.67,0.67,277.97,48.16,741.22,109.83,0.0,25-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
25-Mar-2019 - 00:00,24.7,1.86,14.65,29.68,17.96,0.78,26.65,58.85,161.1,2.35,3.01,22.4,0.38,282.31,53.65,741.18,94.33,0.0,26-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
26-Mar-2019 - 00:00,27.8,2.31,16.67,31.23,19.98,0.73,32.55,60.59,165.06,2.57,2.64,22.27,0.83,278.72,52.69,741.59,113.47,0.0,27-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
27-Mar-2019 - 00:00,38.25,5.57,24.87,26.85,27.73,0.54,37.29,73.21,204.19,3.92,5.78,23.89,0.47,268.67,49.55,741.77,94.64,0.0,28-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
28-Mar-2019 - 00:00,44.93,10.71,32.6,29.53,30.45,0.57,45.56,82.6,235.72,4.01,11.16,26.46,0.3,277.72,47.28,741.35,103.75,0.0,29-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
29-Mar-2019 - 00:00,41.07,12.11,31.69,45.77,23.51,0.72,47.04,103.65,286.44,4.92,12.97,28.49,0.3,279.12,48.9,741.1,98.05,0.0,30-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
30-Mar-2019 - 00:00,45.88,19.93,40.61,50.16,20.07,0.77,42.64,103.78,287.18,4.92,16.13,30.14,0.3,255.39,46.27,741.0,96.52,0.0,31-Mar-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
31-Mar-2019 - 00:00,26.23,5.58,18.48,36.55,14.01,0.42,36.68,64.12,208.22,2.92,3.46,27.65,1.09,279.77,44.97,741.0,118.68,0.0,01-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
01-Apr-2019 - 00:00,26.44,1.24,15.08,29.46,22.44,0.27,45.07,54.68,168.86,2.47,2.6,25.96,1.02,277.53,43.08,741.0,121.96,0.0,02-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
02-Apr-2019 - 00:00,36.46,11.64,28.86,35.14,19.59,0.47,51.01,82.43,218.66,4.25,6.24,26.93,0.33,271.31,43.11,741.21,111.81,0.0,03-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
03-Apr-2019 - 00:00,29.59,2.63,17.89,39.41,21.29,0.55,49.32,85.22,227.09,3.91,12.58,27.83,0.38,266.91,42.32,741.0,116.77,0.0,04-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
04-Apr-2019 - 00:00,34.8,81.3,84.61,46.44,22.64,0.76,63.83,95.43,282.35,4.3,6.48,29.92,0.31,275.7,43.55,741.2,106.59,0.0,05-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
05-Apr-2019 - 00:00,56.14,21.87,47.64,41.67,24.87,0.86,47.89,102.01,299.54,4.86,7.91,31.45,0.3,283.07,43.41,741.03,104.48,0.0,06-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
06-Apr-2019 - 00:00,40.41,5.25,25.78,62.68,18.9,0.79,35.85,118.6,349.49,4.72,13.98,32.14,0.32,281.28,44.92,741.0,94.17,0.0,07-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
07-Apr-2019 - 00:00,24.87,5.02,17.31,72.79,8.43,0.49,28.06,77.4,260.46,2.88,4.08,29.22,0.99,283.12,52.21,741.0,85.3,0.17,08-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
08-Apr-2019 - 00:00,26.21,1.69,15.31,50.77,9.94,0.2,38.58,72.67,284.24,1.54,2.45,28.18,0.54,284.09,47.51,741.0,102.69,0.0,09-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
09-Apr-2019 - 00:00,36.53,9.47,27.14,52.18,11.34,0.7,40.45,59.65,181.51,2.79,4.53,29.45,0.3,263.33,45.19,741.0,108.69,0.0,10-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
10-Apr-2019 - 00:00,44.52,36.59,45.95,55.52,19.08,1.49,41.83,73.99,245.55,4.13,13.65,31.54,0.32,193.38,43.25,741.07,110.39,0.0,11-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
11-Apr-2019 - 00:00,25.81,7.83,17.99,56.83,18.95,0.98,42.72,68.34,234.92,3.28,5.5,32.66,0.34,197.23,41.08,741.08,108.16,0.0,12-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
12-Apr-2019 - 00:00,21.78,4.25,13.63,45.51,21.42,0.8,41.39,57.47,231.52,2.18,3.48,30.62,0.54,200.78,41.94,741.01,94.14,0.0,13-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
13-Apr-2019 - 00:00,19.04,1.48,10.79,44.48,22.19,0.76,40.03,52.39,199.42,2.34,2.55,31.19,1.08,201.55,40.45,741.16,113.68,0.0,14-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
14-Apr-2019 - 00:00,15.55,1.14,8.5,37.43,16.62,0.63,35.48,43.39,180.71,1.5,2.18,31.38,0.73,201.54,40.42,741.09,114.66,0.0,15-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
15-Apr-2019 - 00:00,22.8,13.28,16.88,34.64,13.22,0.73,35.78,51.16,206.12,2.07,2.94,33.6,0.67,193.59,36.17,741.0,116.92,0.0,16-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
16-Apr-2019 - 00:00,9.1,1.79,5.3,37.19,7.33,0.51,37.74,41.03,146.31,1.17,2.49,26.07,1.62,202.52,49.92,741.14,48.9,0.0,17-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
17-Apr-2019 - 00:00,5.81,0.99,2.93,31.94,4.96,0.41,39.53,19.92,76.36,0.67,1.17,23.12,0.99,201.66,54.81,741.26,76.36,0.01,18-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
18-Apr-2019 - 00:00,16.95,7.04,11.33,30.86,8.37,0.54,43.37,22.86,79.33,0.96,1.85,25.04,0.3,202.72,50.25,741.29,105.34,0.0,19-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
19-Apr-2019 - 00:00,38.09,20.69,30.47,38.06,14.97,0.88,44.38,53.03,188.74,2.45,6.98,27.3,0.35,193.48,44.1,741.11,114.59,0.0,20-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
20-Apr-2019 - 00:00,55.12,38.98,48.8,38.39,24.13,1.05,44.7,68.81,260.32,3.59,16.49,29.78,0.31,202.11,39.92,741.0,112.66,0.0,21-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
21-Apr-2019 - 00:00,54.39,40.38,49.83,43.75,18.85,1.12,52.67,73.36,298.64,3.87,12.32,31.9,0.42,202.01,38.12,740.97,110.04,0.0,22-Apr-2019 - 00:00,"Anand Vihar, Hapur - UPPCB"
