from date,NOx,NO2,NO,PM2.5,PM10,SO2,to date,station
08-Mar-2019 - 00:00,35.69,,,56.0,153.56,5.16,09-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Mar-2019 - 00:00,24.97,,,50.24,138.6,4.42,10-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Mar-2019 - 00:00,34.56,,,54.71,140.98,4.06,11-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Mar-2019 - 00:00,30.62,,,58.9,162.88,3.91,12-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
12-Mar-2019 - 00:00,40.89,,,53.48,127.83,3.99,13-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
13-Mar-2019 - 00:00,33.87,22.01,2.32,42.89,117.53,3.77,14-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
14-Mar-2019 - 00:00,29.56,25.74,3.82,52.95,142.97,3.57,15-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
15-Mar-2019 - 00:00,43.56,40.54,3.03,51.32,122.78,3.52,16-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
16-Mar-2019 - 00:00,46.11,42.33,3.78,44.36,136.13,3.65,17-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
17-Mar-2019 - 00:00,34.97,32.22,2.75,41.51,103.8,3.43,18-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
18-Mar-2019 - 00:00,50.9,44.61,6.3,59.66,162.77,4.0,19-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
19-Mar-2019 - 00:00,44.88,36.31,8.57,48.2,141.39,4.33,20-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
20-Mar-2019 - 00:00,42.28,18.8,23.47,52.63,187.88,4.86,21-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
21-Mar-2019 - 00:00,27.34,23.46,3.88,37.13,83.53,3.98,22-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
22-Mar-2019 - 00:00,49.42,41.66,7.76,38.99,105.18,3.97,23-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
23-Mar-2019 - 00:00,48.52,39.74,8.78,45.86,131.99,4.2,24-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
24-Mar-2019 - 00:00,40.55,32.63,7.92,52.04,140.34,4.16,25-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
25-Mar-2019 - 00:00,35.87,28.03,7.84,36.32,138.29,4.03,26-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
26-Mar-2019 - 00:00,55.4,41.26,14.14,43.8,148.25,4.31,27-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
27-Mar-2019 - 00:00,59.11,54.95,22.1,79.44,158.57,7.04,28-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
28-Mar-2019 - 00:00,70.11,50.41,40.64,74.39,214.02,8.59,29-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
29-Mar-2019 - 00:00,56.62,23.87,32.75,54.81,188.59,4.94,30-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
30-Mar-2019 - 00:00,24.22,21.32,2.9,47.35,167.55,4.15,31-Mar-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
31-Mar-2019 - 00:00,21.12,18.9,2.22,54.19,172.65,3.96,01-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
01-Apr-2019 - 00:00,45.31,37.48,7.82,46.09,167.48,4.39,02-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
02-Apr-2019 - 00:00,33.91,29.77,4.13,44.44,133.14,4.17,03-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
03-Apr-2019 - 00:00,35.21,28.84,6.37,45.83,149.21,4.41,04-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
04-Apr-2019 - 00:00,28.12,22.15,5.97,44.19,150.53,4.33,05-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
05-Apr-2019 - 00:00,18.32,16.02,2.3,43.03,149.4,4.23,06-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
06-Apr-2019 - 00:00,21.37,18.28,3.09,40.71,144.03,3.93,07-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
07-Apr-2019 - 00:00,15.05,12.8,2.25,43.53,143.73,4.03,08-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
08-Apr-2019 - 00:00,21.37,18.79,2.58,46.1,169.23,4.37,09-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
09-Apr-2019 - 00:00,17.2,15.01,2.2,63.17,149.29,4.47,10-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
10-Apr-2019 - 00:00,18.44,16.01,2.43,38.92,125.9,4.1,11-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
11-Apr-2019 - 00:00,19.13,16.77,2.36,43.24,160.01,3.86,12-Apr-2019 - 00:00,"Shasthri Nagar, Ratlam - IPCA Lab"
