from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,O Xylene,AT,WS,WD,RH,BP,SR,RF,to date,station
30-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Jul-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
31-Jul-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,22-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,23-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,24-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,25-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,26-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Aug-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Aug-2019 - 00:00,28.73,37.0,3.56,1.27,1.38,3.66,4.98,0.34,32.59,0.31,,0.49,0.28,,,,,,,,0.0,28-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Aug-2019 - 00:00,18.5,27.24,3.5,1.28,1.32,3.64,5.18,0.3,28.66,0.22,0.67,0.53,0.29,0.29,,,,,,,0.0,29-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Aug-2019 - 00:00,17.55,25.29,3.55,1.33,1.29,3.63,5.86,0.31,33.39,0.11,0.57,0.56,0.27,0.19,,,,,,,0.0,30-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Aug-2019 - 00:00,17.45,25.37,3.48,1.31,1.27,3.65,5.97,0.34,27.61,0.09,0.17,0.46,0.2,0.26,,,,,,,0.0,31-Aug-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
31-Aug-2019 - 00:00,16.87,25.17,3.54,1.32,1.3,3.64,5.84,0.29,22.02,0.19,0.19,0.44,0.33,0.21,,,,,,,0.0,01-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Sep-2019 - 00:00,8.81,14.24,3.52,1.31,1.3,3.63,5.77,0.23,29.64,0.1,0.75,0.29,0.17,0.15,,,,,,,0.0,02-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Sep-2019 - 00:00,914.64,985.0,3.61,1.31,1.37,3.63,5.56,0.23,27.74,0.14,0.98,0.32,0.18,0.16,,,,,,,0.0,03-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Sep-2019 - 00:00,917.77,985.0,3.55,1.25,1.41,3.64,5.53,0.19,25.34,0.13,0.88,0.26,0.12,0.13,,,,,,,0.0,04-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Sep-2019 - 00:00,235.12,323.47,3.63,1.28,1.44,3.66,5.12,0.29,18.51,0.28,1.47,0.68,0.19,0.25,,,,,,,0.0,05-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Sep-2019 - 00:00,7.61,13.93,3.59,1.25,1.45,3.64,4.98,0.26,20.98,0.23,1.28,0.59,0.18,0.21,,,,,,,0.0,06-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Sep-2019 - 00:00,8.14,16.47,3.54,1.22,1.45,3.65,4.93,0.28,18.72,0.32,1.34,0.58,0.21,0.23,,,,,,,0.0,07-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Sep-2019 - 00:00,3.44,8.88,3.55,1.23,1.44,3.64,5.01,0.18,25.44,0.13,0.78,0.34,0.11,0.13,,,,,,,0.0,08-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Sep-2019 - 00:00,3.23,8.27,3.58,1.26,1.43,3.65,5.12,0.17,29.23,0.13,0.77,0.34,0.11,0.14,,,,,,,0.0,09-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Sep-2019 - 00:00,3.77,10.51,3.54,1.22,1.44,3.65,5.14,0.21,29.76,0.15,0.82,0.37,0.11,0.14,,,,,,,0.0,10-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Sep-2019 - 00:00,10.06,16.41,3.53,1.21,1.45,3.65,5.51,0.24,30.33,0.19,0.83,0.43,0.15,0.17,,,,,,,0.0,11-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Sep-2019 - 00:00,10.56,20.27,3.55,1.29,1.35,3.65,6.12,0.29,23.89,0.24,0.71,0.43,0.19,0.21,,,,,,,,12-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Sep-2019 - 00:00,5.41,10.65,3.52,1.3,1.33,3.64,5.64,0.24,24.03,0.17,1.02,0.41,0.17,0.19,,,,,,,,13-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Sep-2019 - 00:00,7.49,14.0,3.6,1.27,1.44,3.64,5.12,0.33,23.48,0.28,1.18,0.57,0.19,0.24,,,,,,,,14-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Sep-2019 - 00:00,6.22,13.44,3.48,1.17,1.45,3.64,5.23,0.16,36.22,0.1,0.44,0.19,0.03,0.05,,,,,,,,15-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Sep-2019 - 00:00,8.57,16.63,3.58,1.23,1.46,3.64,5.27,0.18,41.45,0.12,0.49,0.19,0.04,0.06,,,,,,,,16-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Sep-2019 - 00:00,9.72,18.53,3.57,1.19,1.5,3.65,5.2,0.2,42.91,0.14,0.49,0.23,0.07,0.07,,,,,,,,17-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Sep-2019 - 00:00,12.06,22.68,3.54,1.22,1.44,3.64,5.35,0.23,28.84,0.2,0.73,0.37,0.13,0.14,,,,,,,,18-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Sep-2019 - 00:00,13.51,23.69,5.18,3.01,0.98,3.66,5.4,0.22,34.69,0.21,0.65,0.31,0.13,0.11,,,,,,,,19-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Sep-2019 - 00:00,13.15,23.86,3.35,1.38,1.28,3.66,5.53,0.27,31.1,0.27,0.83,0.46,0.18,0.19,,,,,,,,20-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Sep-2019 - 00:00,18.48,28.66,3.55,1.23,1.45,3.64,5.64,0.33,24.4,0.45,1.07,0.53,0.19,0.21,,,,,,,,21-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Sep-2019 - 00:00,19.02,27.78,3.55,1.19,1.49,3.66,5.69,0.28,23.46,0.38,0.97,0.41,0.18,0.19,,,,,,,,22-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Sep-2019 - 00:00,14.0,24.68,3.53,1.2,1.46,3.66,5.59,0.26,25.89,0.39,1.16,0.51,0.18,0.21,,,,,,,,23-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Sep-2019 - 00:00,10.62,19.37,3.6,1.19,1.52,3.65,5.54,0.36,30.8,0.37,1.3,0.69,0.26,0.27,,,,,,,,24-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Sep-2019 - 00:00,12.65,22.31,3.54,1.16,1.52,3.66,5.49,0.49,27.64,0.47,1.57,0.92,0.36,0.37,,,,,,,,25-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Sep-2019 - 00:00,6.57,13.86,3.53,1.16,1.51,3.66,5.47,0.43,24.76,0.39,1.42,0.88,0.33,0.34,,,,,,,,26-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Sep-2019 - 00:00,6.27,12.95,3.53,1.14,1.53,3.65,5.56,0.4,25.61,0.43,1.73,1.07,0.37,0.44,,,,,,,,27-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Sep-2019 - 00:00,12.73,21.52,3.59,1.17,1.55,3.66,5.66,0.46,26.62,0.48,1.34,0.84,0.31,0.33,,,,,,,,28-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Sep-2019 - 00:00,8.65,16.6,3.55,1.15,1.53,3.66,5.69,0.25,37.08,0.22,0.5,0.3,0.1,0.1,,,,,,,,29-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Sep-2019 - 00:00,7.48,14.58,3.55,1.13,1.55,3.66,5.62,0.25,34.35,0.19,0.51,0.29,0.07,0.1,,,,,,,,30-Sep-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Sep-2019 - 00:00,11.74,21.08,3.55,1.14,1.55,3.67,5.68,0.47,30.87,0.5,1.49,0.91,0.3,0.35,,,,,,,,01-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Oct-2019 - 00:00,4.55,9.83,3.58,1.16,1.53,3.68,5.69,0.32,31.4,0.25,0.8,0.53,0.15,0.19,,,,,,,,02-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Oct-2019 - 00:00,14.64,21.72,3.57,1.12,1.58,3.66,5.75,0.29,39.83,0.33,0.61,0.36,0.09,0.12,,,,,,,,03-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Oct-2019 - 00:00,16.85,27.0,3.55,1.12,1.56,3.66,5.87,0.53,31.87,0.6,1.76,1.07,0.34,0.42,,,,,,,,04-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Oct-2019 - 00:00,17.74,26.67,3.5,1.12,1.53,3.67,5.99,0.47,43.06,0.49,1.37,0.86,0.27,0.33,,,,,,,,05-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Oct-2019 - 00:00,7.53,32.97,3.51,1.13,0.56,3.61,5.75,0.3,40.94,0.11,0.13,0.08,0.0,0.03,,,,,,,,06-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Oct-2019 - 00:00,0.0,31.22,,,0.0,,5.5,0.27,50.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,07-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Oct-2019 - 00:00,0.0,33.05,,,0.0,,5.56,0.3,45.04,0.0,0.0,0.0,0.0,0.0,,,,,,,,08-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Oct-2019 - 00:00,0.0,21.35,,,0.0,,5.46,0.3,39.46,0.0,0.0,0.0,0.0,0.0,,,,,,,,09-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Oct-2019 - 00:00,0.0,27.67,,,0.0,,5.55,0.53,34.69,0.0,0.0,0.0,0.0,0.0,,,,,,,,10-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Oct-2019 - 00:00,0.0,20.25,,,0.0,,5.58,0.48,31.7,0.0,0.0,0.0,0.0,0.0,,,,,,,,11-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Oct-2019 - 00:00,6.35,20.67,3.63,1.22,0.85,3.62,5.78,0.45,29.14,0.0,0.0,0.0,0.0,0.0,,,,,,,,12-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Oct-2019 - 00:00,21.61,35.35,3.58,1.14,1.58,3.66,6.15,0.31,36.83,0.0,0.0,0.0,0.0,0.0,,,,,,,,13-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Oct-2019 - 00:00,17.08,27.02,3.55,1.16,1.51,3.65,6.27,0.26,35.8,0.0,0.0,0.0,0.0,0.0,,,,,,,,14-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Oct-2019 - 00:00,17.79,31.75,3.55,1.18,1.49,3.65,6.45,0.31,36.3,3.61,3.8,9.03,8.84,8.87,,,,,,,,15-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Oct-2019 - 00:00,13.5,23.67,3.55,1.14,1.55,3.65,6.39,0.3,35.93,0.26,0.6,0.3,0.08,0.15,,,,,,,,16-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Oct-2019 - 00:00,16.89,27.49,3.56,1.15,1.55,3.67,6.5,0.33,31.19,0.33,0.6,0.29,0.05,0.13,,,,,,,,17-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Oct-2019 - 00:00,20.19,30.95,3.54,1.15,1.52,3.62,6.61,0.37,33.16,0.44,0.64,0.3,0.06,0.13,,,,,,,,18-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Oct-2019 - 00:00,23.28,33.14,3.56,1.12,1.58,3.65,6.5,0.43,37.54,0.5,0.84,0.43,0.12,0.19,,,,,,,,19-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Oct-2019 - 00:00,27.43,40.11,3.58,1.13,1.59,3.65,6.59,0.31,43.44,0.32,0.36,0.15,0.02,0.06,,,,,,,,20-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Oct-2019 - 00:00,33.91,46.34,3.51,1.14,1.51,3.64,6.59,0.29,51.52,0.23,0.38,0.16,0.01,0.08,,,,,,,,21-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Oct-2019 - 00:00,22.52,36.54,3.57,1.14,1.57,3.67,6.74,0.22,83.96,0.09,0.16,0.05,0.0,0.09,,,,,,,,22-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
22-Oct-2019 - 00:00,25.1,42.69,3.53,1.13,1.54,3.65,6.8,0.31,66.93,0.24,0.57,0.33,0.09,0.15,,,,,,,,23-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
23-Oct-2019 - 00:00,34.47,56.53,3.53,1.15,1.51,3.66,7.03,0.48,49.42,0.52,1.03,0.63,0.2,0.26,16.94,0.96,184.58,73.24,835.4,,0.01,24-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
24-Oct-2019 - 00:00,15.93,24.28,3.52,1.17,1.5,3.64,7.16,0.41,41.44,0.42,0.93,0.54,0.13,0.18,14.07,1.3,147.26,86.65,840.95,,0.69,25-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
25-Oct-2019 - 00:00,7.62,16.35,3.57,1.13,1.57,3.68,6.53,0.37,26.96,0.39,0.84,0.47,0.1,0.14,14.16,0.54,168.38,97.64,840.06,,2.96,26-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
26-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,27-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
27-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,28-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
28-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,29-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
29-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,30-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
30-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,31-Oct-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
31-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,01-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
01-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,02-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
02-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,03-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
03-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,04-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
04-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,05-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
05-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,06-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
06-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,07-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
07-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
08-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,09-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
09-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,10-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
10-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,11-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
11-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,12-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
12-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,13-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
13-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,14-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
14-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,15-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
15-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,16-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
16-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,17-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
17-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,18-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
18-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,19-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
19-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,20-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
20-Nov-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,21-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
21-Nov-2019 - 00:00,,,2.67,0.85,0.12,2.91,6.37,0.02,27.42,0.03,0.05,0.03,0.01,0.01,17.7,2.64,120.03,24.46,,427.85,0.0,22-Nov-2019 - 00:00,"Lumpyngngad, Shillong - Meghalaya PCB"
