from date,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
01-Jan-2019 - 00:00,56.37,23.9,101.78,17.47,2.38,29.29,519.0,342.3,3.74,15.61,9.37,0.3,62.65,22.08,741.09,33.28,,02-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Jan-2019 - 00:00,55.05,21.93,94.72,25.21,2.53,28.93,492.84,359.69,4.44,17.98,10.9,0.32,62.08,22.1,741.18,29.74,,03-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Jan-2019 - 00:00,32.14,6.54,84.1,16.88,1.97,33.68,375.27,271.6,3.12,11.41,10.64,0.3,61.78,21.89,741.2,33.08,,04-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Jan-2019 - 00:00,31.8,9.68,76.65,6.55,1.66,15.52,295.3,210.32,2.13,7.94,7.83,0.31,69.2,21.83,741.09,28.7,,05-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Jan-2019 - 00:00,34.49,7.88,65.33,11.47,1.54,35.92,307.17,201.33,2.17,11.46,10.78,0.54,59.61,21.74,741.07,33.41,,06-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Jan-2019 - 00:00,49.23,11.99,65.71,12.31,1.81,22.37,299.91,196.99,2.75,22.04,10.74,0.34,59.36,21.05,741.0,22.08,,07-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Jan-2019 - 00:00,40.04,6.87,62.57,14.81,1.71,24.29,254.33,169.37,2.77,19.28,10.72,0.33,60.17,21.79,741.07,33.05,,08-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Jan-2019 - 00:00,34.53,4.87,61.7,11.4,1.17,26.0,204.21,135.56,1.49,15.11,10.15,0.3,63.47,21.62,741.0,32.6,,09-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Jan-2019 - 00:00,33.26,3.44,58.32,11.54,1.18,37.63,204.54,127.38,1.3,11.02,10.03,0.34,59.04,24.99,741.0,34.95,,10-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Jan-2019 - 00:00,39.77,5.34,67.62,19.0,1.45,28.43,268.25,180.95,1.85,12.22,9.45,0.31,60.76,17.15,741.0,34.73,,11-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Jan-2019 - 00:00,61.41,31.56,68.67,12.61,2.29,32.1,346.88,245.59,2.94,13.4,10.8,0.31,60.01,20.24,741.0,34.18,,12-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Jan-2019 - 00:00,62.86,31.79,70.45,18.52,1.92,28.39,356.11,245.27,2.91,9.87,11.49,0.31,58.14,23.19,741.0,30.6,,13-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Jan-2019 - 00:00,42.41,8.3,74.72,20.73,1.55,33.81,354.9,240.11,2.88,10.1,13.7,0.31,55.97,24.34,741.09,30.29,,14-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Jan-2019 - 00:00,25.88,2.33,46.48,16.07,0.91,33.62,153.66,84.55,1.18,5.59,10.07,0.34,55.29,26.76,741.0,39.4,,15-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Jan-2019 - 00:00,28.69,3.17,50.14,12.28,1.18,28.98,178.1,109.39,1.43,6.05,8.14,0.3,56.94,27.0,741.0,33.15,,16-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Jan-2019 - 00:00,40.2,21.57,66.47,15.59,1.61,30.4,339.28,231.39,2.34,6.8,9.6,0.41,60.83,25.51,741.0,34.54,,17-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Jan-2019 - 00:00,55.45,18.58,76.49,22.28,2.14,21.7,402.47,279.46,3.25,12.55,11.13,0.3,59.59,21.6,741.0,36.7,,18-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Jan-2019 - 00:00,52.37,8.82,68.22,18.88,1.7,29.64,293.07,201.76,2.08,19.18,11.46,0.3,57.1,16.8,741.0,37.64,,19-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Jan-2019 - 00:00,53.62,9.01,65.38,15.91,1.59,27.73,266.82,178.05,2.21,19.9,13.21,0.3,55.06,21.69,741.0,39.61,,20-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Jan-2019 - 00:00,68.34,16.22,75.66,18.35,1.99,30.94,373.61,241.84,3.22,27.32,15.63,0.34,53.2,26.6,741.0,38.83,,21-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Jan-2019 - 00:00,43.29,28.39,68.9,13.15,1.15,48.41,348.41,174.46,1.98,19.05,13.94,2.24,58.96,23.86,740.97,24.73,1.5,22-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Jan-2019 - 00:00,33.97,6.34,43.63,5.04,0.83,30.83,49.46,29.72,0.76,15.13,8.98,1.31,71.86,22.32,740.95,11.3,2.25,23-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Jan-2019 - 00:00,46.47,15.71,50.87,10.55,1.43,21.17,147.56,85.59,1.73,15.34,11.44,0.5,61.31,23.18,741.0,59.12,,24-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Jan-2019 - 00:00,36.02,7.83,46.31,8.06,0.96,29.19,141.15,73.66,1.13,14.93,11.64,0.59,57.04,21.44,741.15,60.99,,25-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Jan-2019 - 00:00,33.87,6.93,42.98,7.57,0.94,38.73,114.23,62.78,0.87,11.03,11.05,0.69,57.4,21.59,741.11,57.49,,26-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Jan-2019 - 00:00,37.07,7.3,45.62,11.71,1.19,32.41,168.09,104.62,1.18,11.5,9.9,0.33,58.97,25.0,741.5,64.78,,27-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Jan-2019 - 00:00,43.25,7.28,45.17,9.24,1.22,29.53,166.79,105.5,1.16,14.11,7.83,0.3,60.95,26.41,741.39,50.09,,28-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Jan-2019 - 00:00,35.39,4.48,42.3,6.68,1.15,38.41,137.01,84.3,1.01,11.64,8.56,0.35,54.7,22.83,741.26,67.05,,29-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Jan-2019 - 00:00,39.27,5.24,46.46,16.5,1.13,37.34,173.55,115.45,1.13,14.43,8.86,0.34,57.01,19.58,741.09,64.72,,30-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Jan-2019 - 00:00,50.4,10.01,54.55,16.58,1.65,26.86,226.06,148.61,1.61,13.07,9.84,0.32,56.35,22.47,741.0,48.96,,31-Jan-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-Jan-2019 - 00:00,44.16,9.66,71.37,15.98,1.71,28.8,300.14,214.47,1.89,16.55,11.01,0.67,58.08,25.12,741.0,36.3,,01-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Feb-2019 - 00:00,43.37,6.53,56.92,35.3,1.4,41.12,192.93,122.64,1.29,14.49,14.77,0.46,53.01,25.64,741.0,57.58,,02-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Feb-2019 - 00:00,37.03,5.75,59.86,11.56,1.21,15.34,223.08,163.7,1.21,10.79,9.98,0.32,68.56,25.49,741.0,52.02,,03-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Feb-2019 - 00:00,50.71,18.36,59.59,10.13,1.64,15.88,204.43,141.55,1.55,13.85,10.08,0.31,70.05,22.17,741.02,37.73,,04-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Feb-2019 - 00:00,49.09,13.94,64.82,3.78,2.01,20.72,222.22,159.1,2.13,14.18,10.29,0.31,68.15,20.91,741.18,50.33,,05-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Feb-2019 - 00:00,53.85,20.44,57.79,17.19,2.29,23.83,264.89,180.17,3.23,9.71,12.7,0.31,60.1,21.47,741.0,46.7,,06-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Feb-2019 - 00:00,35.8,15.09,68.84,17.61,1.34,37.48,286.1,215.11,1.69,4.36,14.01,0.69,60.82,25.76,740.84,44.76,,07-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Feb-2019 - 00:00,10.43,0.39,41.86,4.03,0.23,39.28,76.37,55.44,0.46,2.67,12.55,2.06,68.29,24.54,740.33,24.69,9.56,08-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Feb-2019 - 00:00,22.64,2.89,35.69,15.8,0.33,27.3,119.04,69.71,0.52,4.26,10.87,0.32,66.67,33.15,741.0,69.36,,09-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Feb-2019 - 00:00,21.71,2.71,34.06,8.83,0.83,28.99,126.34,69.53,0.79,5.45,10.53,0.3,61.15,22.96,741.0,73.42,,10-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Feb-2019 - 00:00,26.5,3.65,38.07,14.07,0.79,28.9,120.35,87.96,0.92,5.56,11.62,0.31,60.03,25.29,741.0,65.02,,11-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Feb-2019 - 00:00,26.88,3.88,44.07,14.54,0.94,37.83,158.36,102.76,0.99,6.74,13.66,0.31,56.39,29.69,741.16,68.78,,12-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Feb-2019 - 00:00,21.09,8.48,54.14,24.23,1.11,57.05,227.59,153.15,1.33,5.57,14.92,0.31,57.4,26.75,741.36,65.99,,13-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Feb-2019 - 00:00,41.78,20.75,68.49,16.56,1.9,42.87,331.65,228.32,2.01,7.43,16.83,0.3,57.31,26.24,741.27,55.1,,14-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Feb-2019 - 00:00,30.58,10.23,63.48,17.47,0.81,18.52,263.08,195.83,1.31,3.48,13.87,0.7,66.23,25.51,741.0,21.85,1.0,15-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Feb-2019 - 00:00,22.1,5.61,43.56,18.49,0.88,27.1,120.02,83.97,0.9,3.35,15.31,0.34,64.93,27.76,741.0,54.18,,16-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Feb-2019 - 00:00,15.06,2.87,34.46,18.03,0.57,30.54,72.98,43.85,0.57,2.83,14.03,0.33,66.0,25.88,741.0,52.25,5.0,17-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Feb-2019 - 00:00,15.57,1.75,36.77,7.5,0.72,33.17,139.02,96.76,0.79,2.96,13.15,0.4,64.62,28.98,740.83,58.91,,18-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Feb-2019 - 00:00,21.05,5.15,38.81,14.41,0.79,35.4,152.16,91.48,0.82,2.71,15.63,0.31,56.3,31.14,740.18,57.74,,19-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Feb-2019 - 00:00,17.77,15.92,41.77,19.33,1.27,40.26,155.76,83.93,0.91,2.18,15.89,0.74,61.05,23.03,740.68,64.31,,20-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Feb-2019 - 00:00,25.82,7.94,40.0,13.97,1.15,12.63,135.48,82.34,0.92,3.12,13.9,0.37,66.31,22.07,741.0,17.2,,21-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Feb-2019 - 00:00,18.85,5.41,37.72,21.06,1.01,25.03,115.79,62.66,0.69,2.55,18.98,0.74,54.89,27.26,741.0,75.39,,22-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Feb-2019 - 00:00,19.6,5.54,41.3,10.91,1.07,25.4,124.67,72.06,0.8,3.39,16.66,0.45,59.52,26.58,741.0,69.75,,23-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Feb-2019 - 00:00,13.13,0.9,28.44,10.25,0.91,44.2,95.12,49.2,0.61,2.89,13.31,0.5,57.12,29.71,741.0,82.92,,24-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Feb-2019 - 00:00,12.95,0.78,31.42,10.92,0.94,55.8,113.73,63.51,0.64,2.66,15.0,0.34,52.09,28.94,740.39,85.26,,25-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Feb-2019 - 00:00,21.41,4.58,38.64,14.19,0.8,47.96,193.85,113.99,1.03,3.6,14.84,0.48,52.26,24.97,740.35,73.49,,26-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Feb-2019 - 00:00,13.26,3.32,29.23,22.77,0.23,45.68,122.14,59.78,0.56,1.87,13.46,0.89,53.02,30.15,740.44,59.83,,27-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Feb-2019 - 00:00,10.1,1.65,26.54,9.55,1.03,46.51,70.0,35.34,0.5,3.3,10.84,0.78,60.39,27.19,740.41,65.55,,28-Feb-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Feb-2019 - 00:00,17.94,4.7,30.04,23.39,,39.35,133.62,83.81,0.9,4.15,11.46,0.46,56.22,30.34,741.0,81.09,,01-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Mar-2019 - 00:00,14.58,1.75,31.55,11.02,1.4,48.99,130.61,80.61,0.79,3.43,13.81,0.4,52.05,32.36,741.0,85.85,,02-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Mar-2019 - 00:00,20.66,10.22,42.26,25.37,1.07,28.35,179.32,118.41,1.09,3.21,12.62,0.42,62.54,22.72,741.0,29.71,,03-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Mar-2019 - 00:00,15.52,6.09,36.04,12.84,0.8,31.06,99.94,70.89,0.67,2.53,15.05,0.45,64.8,29.17,740.72,72.03,,04-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Mar-2019 - 00:00,15.49,2.82,38.93,13.76,0.92,37.12,120.34,78.0,0.8,3.14,17.03,0.38,61.61,29.44,740.0,77.99,,05-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Mar-2019 - 00:00,13.03,1.68,32.9,14.87,1.09,42.36,107.17,62.9,0.66,2.45,15.75,0.39,58.47,31.05,740.25,85.0,,06-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Mar-2019 - 00:00,14.99,1.72,31.1,15.89,,45.4,114.54,65.44,0.73,2.48,16.28,0.52,54.92,32.02,740.39,87.81,,07-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Mar-2019 - 00:00,19.12,2.45,34.16,15.58,,46.2,144.76,82.31,1.01,3.0,16.92,0.44,51.89,30.67,740.53,87.73,,08-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Mar-2019 - 00:00,22.23,4.7,32.62,22.42,,41.69,147.08,75.8,0.88,4.23,17.85,0.78,48.78,26.98,740.98,76.12,,09-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Mar-2019 - 00:00,20.07,2.78,33.87,15.39,,39.85,143.93,73.12,0.87,3.0,18.14,0.82,49.27,30.77,741.0,88.9,,10-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Mar-2019 - 00:00,16.23,2.28,33.06,16.86,,56.31,138.27,72.84,0.85,2.17,17.69,0.37,49.83,30.35,741.0,88.96,,11-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Mar-2019 - 00:00,15.74,,33.13,12.9,,35.49,164.84,103.79,0.86,1.21,12.69,0.68,57.84,22.37,741.0,20.42,,12-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Mar-2019 - 00:00,17.92,2.9,37.88,7.61,1.47,50.05,144.46,80.38,1.42,3.29,16.9,0.35,53.71,20.42,741.0,6.08,,16-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Mar-2019 - 00:00,13.16,3.38,36.53,10.88,0.74,51.76,126.65,68.71,0.8,2.6,17.71,0.47,54.89,29.32,741.0,87.54,,17-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Mar-2019 - 00:00,13.59,2.84,35.99,16.69,0.36,64.79,137.54,74.33,1.01,2.34,20.04,0.38,49.14,30.03,741.0,95.07,,18-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Mar-2019 - 00:00,15.12,2.91,39.39,24.49,0.81,67.71,163.68,91.18,1.15,3.06,20.5,0.42,48.97,29.95,741.0,90.25,,19-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Mar-2019 - 00:00,19.72,5.16,41.38,28.23,0.95,48.26,182.38,100.75,1.17,4.32,21.51,0.43,49.97,29.73,740.25,95.78,,20-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Mar-2019 - 00:00,18.7,3.4,42.54,31.13,0.99,52.93,216.65,117.9,1.32,1.97,22.25,0.84,47.54,26.9,740.1,79.85,,21-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Mar-2019 - 00:00,10.41,2.62,35.86,20.82,0.62,49.48,116.89,55.33,0.75,1.84,22.51,0.53,42.17,23.7,740.74,59.53,,22-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Mar-2019 - 00:00,10.16,2.78,29.36,18.78,0.44,60.29,120.8,39.91,0.77,1.98,21.02,1.08,41.27,31.75,741.0,101.5,,23-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Mar-2019 - 00:00,10.31,2.45,31.58,18.81,0.59,65.93,125.47,52.2,0.83,2.84,20.43,0.95,46.0,31.03,740.82,98.81,,24-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Mar-2019 - 00:00,11.24,3.29,33.52,18.1,0.64,49.8,125.56,55.01,0.75,2.72,22.21,0.76,46.24,29.55,740.45,95.43,,25-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Mar-2019 - 00:00,15.87,5.24,37.97,26.5,0.87,33.2,160.14,94.62,1.26,4.48,18.83,1.05,54.06,25.89,740.66,69.62,,26-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Mar-2019 - 00:00,15.3,3.66,39.87,27.66,0.77,40.74,145.19,83.16,1.03,4.92,20.79,0.67,52.17,31.0,741.0,94.22,,27-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Mar-2019 - 00:00,15.7,2.62,40.93,25.97,0.85,57.26,168.22,91.27,1.21,3.27,22.46,0.48,50.72,28.15,741.0,82.55,,28-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Mar-2019 - 00:00,19.65,3.35,42.73,32.96,0.94,57.63,187.58,99.22,1.33,4.36,25.38,0.37,46.99,31.64,740.61,92.45,,29-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Mar-2019 - 00:00,22.79,4.39,49.72,43.19,1.27,58.98,235.69,138.88,1.59,4.19,26.5,0.34,47.92,28.95,740.02,89.03,,30-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Mar-2019 - 00:00,19.23,2.91,51.72,28.39,1.12,61.98,225.72,122.78,1.34,4.62,28.5,0.43,47.34,28.78,740.0,89.66,,31-Mar-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-Mar-2019 - 00:00,13.12,2.97,39.57,22.95,0.76,58.8,182.08,81.05,1.05,2.77,26.36,0.77,44.7,31.73,740.0,102.01,,01-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Apr-2019 - 00:00,12.65,2.4,33.71,22.39,0.63,69.57,163.65,69.33,0.97,2.84,24.5,0.74,42.0,28.92,740.0,102.32,,02-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Apr-2019 - 00:00,18.09,3.38,43.68,50.19,1.05,69.63,233.44,128.93,1.4,2.52,25.47,0.42,43.9,25.48,740.18,92.89,,03-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Apr-2019 - 00:00,16.38,2.83,44.29,27.89,1.08,70.87,203.98,105.95,1.26,3.33,26.81,0.38,42.92,23.1,740.0,95.83,,04-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Apr-2019 - 00:00,22.64,2.63,60.85,40.27,1.34,69.54,285.2,163.93,1.99,3.8,28.56,0.36,43.17,24.19,740.19,92.47,,05-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Apr-2019 - 00:00,31.97,10.71,71.31,35.66,1.42,62.18,326.24,187.32,1.83,3.75,29.05,0.41,46.51,24.33,740.0,86.74,,06-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Apr-2019 - 00:00,20.9,3.14,68.13,30.99,1.25,49.32,337.75,176.81,1.49,3.16,29.56,0.62,48.55,23.5,740.0,85.55,,07-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Apr-2019 - 00:00,12.79,2.79,57.87,29.53,0.79,44.42,244.01,104.85,0.98,1.3,27.04,1.11,50.69,21.24,740.0,76.45,,08-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Apr-2019 - 00:00,19.47,2.91,51.34,20.74,1.2,35.09,406.72,118.99,1.01,2.19,24.26,1.04,53.14,24.85,740.0,74.34,5.0,09-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Apr-2019 - 00:00,25.83,4.24,49.81,39.13,0.91,60.95,220.08,121.44,1.41,3.32,26.23,0.45,46.34,50.51,740.0,104.99,,10-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Apr-2019 - 00:00,20.89,1.59,56.82,46.53,1.16,78.37,234.23,134.64,1.69,4.65,29.05,0.71,45.4,45.85,740.0,96.51,,11-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Apr-2019 - 00:00,16.03,1.98,45.46,33.0,0.75,73.36,205.02,103.04,1.16,1.83,29.95,0.72,42.35,46.18,740.0,100.02,,12-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Apr-2019 - 00:00,16.26,1.96,37.81,24.26,0.85,77.3,205.84,69.01,0.87,2.96,29.3,1.18,39.46,49.04,740.08,104.25,,13-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Apr-2019 - 00:00,17.8,1.99,40.42,38.11,0.71,61.42,199.09,79.16,1.06,6.77,29.27,1.46,39.76,50.17,740.1,107.98,,14-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Apr-2019 - 00:00,14.85,1.11,34.85,33.23,0.68,55.6,170.78,63.94,0.73,2.91,29.91,1.46,39.31,52.64,740.0,111.83,,15-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Apr-2019 - 00:00,22.29,3.88,31.64,27.25,0.83,54.48,158.18,56.61,0.9,3.35,32.54,1.16,34.68,53.15,740.0,110.88,,16-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Apr-2019 - 00:00,14.31,1.95,34.47,29.37,0.44,56.93,278.04,58.35,0.6,1.5,24.36,2.31,48.41,31.43,740.28,48.42,,17-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Apr-2019 - 00:00,13.08,1.1,34.74,20.21,0.35,52.63,88.36,41.68,0.44,1.12,20.52,1.47,58.0,42.36,740.61,78.94,7.5,18-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Apr-2019 - 00:00,21.6,2.57,32.39,26.3,0.69,45.7,103.61,49.53,0.66,2.01,21.27,0.55,55.41,35.48,740.5,58.58,,19-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Apr-2019 - 00:00,25.79,7.28,37.19,29.34,0.79,60.78,136.01,75.5,1.0,2.18,25.69,0.41,43.17,48.45,740.0,113.04,,20-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Apr-2019 - 00:00,27.07,2.46,44.37,45.12,0.92,64.86,179.95,101.31,0.92,2.13,27.97,0.42,40.91,47.23,740.0,109.04,,21-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Apr-2019 - 00:00,30.52,5.73,49.74,38.93,0.94,70.62,212.43,122.08,1.48,2.57,29.91,0.51,40.18,45.51,740.0,104.64,,22-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Apr-2019 - 00:00,27.77,2.95,41.83,36.08,0.86,66.64,188.47,92.02,1.15,2.53,30.66,0.81,38.11,48.06,740.0,109.34,,23-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Apr-2019 - 00:00,18.0,3.09,49.29,43.31,1.0,86.34,246.77,128.75,1.19,1.8,31.16,0.7,41.84,46.38,740.0,102.36,,24-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Apr-2019 - 00:00,18.36,3.36,48.81,35.6,0.94,80.7,264.93,113.69,0.89,1.88,32.32,0.77,44.55,44.52,740.0,96.51,,25-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Apr-2019 - 00:00,20.41,2.2,47.96,30.56,0.85,64.1,218.2,92.44,0.81,2.29,30.66,0.69,45.89,43.93,740.0,84.77,3.5,26-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Apr-2019 - 00:00,23.55,3.05,39.69,32.72,0.95,59.78,210.25,86.52,1.21,3.04,32.41,1.23,37.2,52.97,740.0,119.86,,27-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Apr-2019 - 00:00,18.91,2.31,30.65,17.44,0.53,74.96,226.75,63.02,0.76,3.03,33.68,2.11,30.25,55.21,740.0,119.72,,28-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Apr-2019 - 00:00,19.09,3.12,27.55,28.09,0.57,72.14,234.48,63.02,0.65,3.32,33.65,1.86,28.08,53.48,740.0,119.9,,29-Apr-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
