from date,NOx,NO,NH3,SO2,CO,Ozone,PM10,PM2.5,Benzene,Toluene,AT,WS,RH,WD,BP,SR,RF,to date,station
18-Oct-2019 - 00:00,21.0,4.08,30.91,17.58,0.92,40.86,154.6,83.19,0.23,1.06,25.07,0.32,55.79,158.49,741.0,58.6,,19-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Oct-2019 - 00:00,26.21,4.2,33.3,15.56,1.44,42.18,221.99,136.84,0.36,1.89,25.25,0.31,56.64,98.89,741.0,56.24,,20-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Oct-2019 - 00:00,22.93,3.21,31.77,14.66,0.92,45.06,221.54,146.27,0.33,1.62,24.48,0.32,51.43,88.42,741.0,65.79,,21-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Oct-2019 - 00:00,22.23,3.2,31.5,26.15,0.8,45.7,188.31,125.44,0.31,1.84,23.53,0.33,50.04,107.76,740.78,68.43,,22-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
22-Oct-2019 - 00:00,26.94,2.98,33.0,14.9,1.08,45.13,210.62,137.0,0.39,1.88,22.97,0.36,51.7,146.46,740.18,67.83,,23-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
23-Oct-2019 - 00:00,35.02,6.88,37.84,31.69,1.42,37.59,330.17,218.81,0.54,2.77,22.78,0.31,54.16,102.82,740.21,32.84,,24-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
24-Oct-2019 - 00:00,28.6,7.0,39.05,10.73,1.33,30.93,238.98,147.43,0.48,3.1,22.93,0.35,57.76,146.22,740.56,53.25,,25-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
25-Oct-2019 - 00:00,24.6,4.9,36.48,33.93,1.07,31.72,217.09,128.4,0.39,2.68,23.05,0.32,56.52,236.17,740.97,53.79,,26-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
26-Oct-2019 - 00:00,32.47,7.45,37.94,17.9,1.26,30.63,276.11,171.45,0.48,2.21,23.01,0.33,58.18,116.49,741.0,50.62,,27-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
27-Oct-2019 - 00:00,31.11,4.49,41.73,16.54,1.41,38.62,298.05,227.59,0.48,2.39,22.82,0.37,56.97,117.11,740.91,51.99,,28-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
28-Oct-2019 - 00:00,29.22,3.82,51.88,15.42,1.4,35.56,391.93,309.8,0.45,1.81,22.12,0.31,58.72,140.44,741.0,49.86,1.5,29-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
29-Oct-2019 - 00:00,27.86,5.96,47.66,13.58,1.51,26.28,293.8,213.18,0.49,1.89,22.06,0.3,65.55,191.44,741.0,39.38,1.0,30-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
30-Oct-2019 - 00:00,43.6,14.1,50.74,8.74,2.38,20.66,380.56,291.29,0.67,2.78,22.46,0.3,65.35,92.39,740.82,37.74,3.5,31-Oct-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
31-Oct-2019 - 00:00,41.09,8.84,52.32,9.82,1.87,60.65,,,0.6,2.55,23.06,0.31,58.55,191.14,740.76,49.66,,01-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
01-Nov-2019 - 00:00,30.14,4.71,39.02,17.49,1.76,47.13,,,0.58,2.41,23.55,0.3,55.62,149.25,740.89,50.74,,02-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
02-Nov-2019 - 00:00,27.73,5.22,38.83,21.45,1.54,50.25,,,0.46,2.27,23.63,0.35,56.25,133.99,741.0,46.52,,03-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
03-Nov-2019 - 00:00,32.96,4.05,54.52,17.81,2.49,41.2,,,0.62,2.49,22.89,0.35,57.08,122.17,741.0,43.4,,04-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
04-Nov-2019 - 00:00,30.06,4.35,34.93,15.45,1.46,37.4,,,0.44,2.08,22.5,0.43,54.81,132.31,741.0,55.92,,05-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
05-Nov-2019 - 00:00,29.92,3.64,35.97,19.97,1.18,48.99,,,0.35,1.66,21.85,0.44,51.84,188.62,740.46,57.08,,06-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
06-Nov-2019 - 00:00,42.02,9.06,41.68,31.18,3.7,42.92,,,0.52,2.42,22.01,0.31,51.44,108.14,740.18,44.0,,07-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
07-Nov-2019 - 00:00,37.98,12.8,32.32,15.8,1.47,13.94,,,0.44,1.89,18.11,0.34,63.45,132.25,740.6,18.21,,08-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
08-Nov-2019 - 00:00,45.13,15.39,34.24,22.68,1.31,27.63,,,0.3,2.14,21.54,0.31,52.17,88.59,741.0,52.6,,09-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
09-Nov-2019 - 00:00,29.87,7.41,32.96,19.49,0.86,38.68,,,0.29,4.24,21.73,0.45,50.68,45.25,741.0,57.94,,10-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
10-Nov-2019 - 00:00,33.74,6.0,36.25,19.89,1.39,49.16,,,0.36,5.31,20.32,0.41,46.04,59.7,741.0,52.83,,11-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
11-Nov-2019 - 00:00,34.57,5.2,37.44,24.49,1.42,64.72,,,0.36,4.77,18.52,0.37,47.55,53.36,741.0,50.22,,12-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
12-Nov-2019 - 00:00,31.01,3.69,35.92,22.22,1.58,65.57,,,0.37,3.66,18.5,0.34,53.21,168.12,741.0,53.56,,13-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
13-Nov-2019 - 00:00,27.71,6.52,26.57,22.89,1.45,48.88,,,0.38,4.15,19.55,0.3,54.6,97.42,741.0,52.46,,14-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
14-Nov-2019 - 00:00,37.71,12.03,32.29,24.17,1.8,30.92,,,0.53,3.98,18.84,0.31,61.17,130.91,741.0,36.24,,15-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
15-Nov-2019 - 00:00,34.08,7.04,35.08,18.65,1.36,28.66,,,0.5,2.25,20.86,0.3,58.15,54.31,741.0,45.58,,16-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
16-Nov-2019 - 00:00,25.83,5.55,33.88,14.04,0.86,34.68,,,0.26,1.51,20.45,0.73,54.21,94.5,741.0,51.81,,17-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
17-Nov-2019 - 00:00,22.04,4.19,28.7,12.63,0.83,38.33,,,0.22,1.38,19.89,0.62,50.55,152.7,741.0,54.51,,18-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
18-Nov-2019 - 00:00,31.26,5.16,31.48,14.27,1.3,40.29,,,0.35,1.86,18.04,0.39,56.34,188.03,741.0,50.41,,19-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
19-Nov-2019 - 00:00,50.46,15.04,36.66,23.0,1.77,49.61,,,0.58,3.64,18.03,0.32,54.14,75.53,741.0,46.01,,20-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
20-Nov-2019 - 00:00,62.52,26.33,33.99,16.31,2.06,35.52,,,0.6,3.18,18.38,0.3,51.77,156.35,741.0,48.51,,21-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
21-Nov-2019 - 00:00,48.75,12.45,34.79,16.57,1.65,,,,0.49,2.33,17.64,0.31,53.95,94.54,741.0,41.67,,22-Nov-2019 - 00:00,"New Mandi, Muzaffarnagar - UPPCB"
