from date,PM2.5,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,SR,WD,VWS,WS,RF,AT,to date,station
25-Jan-2019 - 00:00,30.01,69.38,9.64,11.79,59.12,41.04,10.04,0.32,33.6,0.88,1.41,0.07,30.53,74.06,,51.0,139.38,-0.01,1.08,0.0,19.57,26-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
26-Jan-2019 - 00:00,31.09,75.63,10.65,12.71,59.26,41.86,9.65,0.31,29.33,0.91,2.04,0.09,29.41,81.38,,17.43,154.75,-0.02,1.14,0.0,19.59,27-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
27-Jan-2019 - 00:00,23.71,,7.16,10.11,50.0,34.81,9.78,0.35,31.76,0.66,1.57,0.08,30.68,82.61,,3.31,128.6,-0.07,1.27,0.0,18.98,28-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
28-Jan-2019 - 00:00,20.48,40.54,7.05,14.83,52.61,40.05,7.26,0.27,29.42,0.82,1.52,0.09,29.74,88.45,,5.38,110.57,-0.04,1.86,0.0,17.44,29-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
29-Jan-2019 - 00:00,51.16,88.73,9.17,7.29,45.33,30.03,10.71,0.38,49.56,1.5,1.68,0.08,30.04,83.0,,19.19,144.81,-0.05,2.06,0.0,17.87,30-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
30-Jan-2019 - 00:00,51.49,89.83,11.19,11.13,65.12,43.68,10.92,0.35,52.96,1.31,1.85,0.14,30.54,72.16,,69.01,160.32,0.0,1.94,0.0,18.37,31-Jan-2019 - 00:00,"Tirumala, Tirupati - APPCB"
31-Jan-2019 - 00:00,42.31,77.76,9.34,8.55,48.73,32.3,3.88,0.36,29.54,0.97,1.42,0.17,30.48,74.39,,84.46,165.31,-0.06,2.1,0.0,18.98,01-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
01-Feb-2019 - 00:00,37.5,78.33,8.73,14.91,43.06,34.79,3.45,0.25,24.2,0.91,1.38,0.11,30.53,78.82,,52.4,143.18,-0.05,1.6,0.0,18.24,02-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
02-Feb-2019 - 00:00,39.41,80.04,6.84,22.25,34.29,36.33,3.79,0.34,25.14,1.04,1.87,0.3,30.85,76.87,,32.14,157.22,-0.01,1.43,0.11,18.6,03-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
03-Feb-2019 - 00:00,36.45,61.61,6.15,18.99,35.33,34.22,4.11,0.41,32.65,0.83,1.5,0.11,31.57,75.28,,50.42,154.85,-0.04,1.66,0.01,18.81,04-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
04-Feb-2019 - 00:00,42.73,74.01,6.83,10.07,30.66,24.49,4.57,0.47,55.55,1.08,1.33,0.09,31.58,80.67,,48.34,190.61,-0.01,2.34,0.07,18.66,05-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
05-Feb-2019 - 00:00,46.14,82.24,7.54,14.57,41.46,33.9,6.45,0.43,68.74,1.04,1.49,0.08,31.73,72.5,,53.66,130.67,-0.05,1.76,0.0,19.06,06-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
06-Feb-2019 - 00:00,53.15,84.15,13.44,21.59,66.79,53.09,6.67,0.45,77.16,0.92,1.34,0.08,30.14,58.67,,66.09,101.61,-0.04,1.21,0.0,19.95,07-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
07-Feb-2019 - 00:00,58.64,94.6,10.8,17.2,65.3,48.71,8.39,0.47,76.99,0.99,1.53,0.08,30.3,65.34,740.0,65.45,137.5,-0.02,0.87,0.0,20.44,08-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
08-Feb-2019 - 00:00,36.38,67.91,3.11,10.41,38.08,28.72,10.37,0.42,57.16,0.86,1.68,0.09,30.41,73.54,,66.94,168.58,0.01,1.06,0.0,21.33,09-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
09-Feb-2019 - 00:00,41.58,71.47,2.35,18.54,37.89,35.23,10.6,0.54,42.42,0.98,1.89,0.11,30.61,81.2,,17.77,143.74,0.0,1.02,0.0,20.69,10-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
10-Feb-2019 - 00:00,43.19,67.61,4.37,26.02,40.15,42.51,12.59,0.49,36.25,0.8,1.84,0.11,30.3,79.64,,43.54,93.69,-0.05,1.42,0.0,20.69,11-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
11-Feb-2019 - 00:00,38.15,65.61,1.57,13.24,30.41,26.94,12.25,0.42,46.01,0.66,1.21,0.07,30.23,81.83,,26.07,135.22,-0.09,1.99,0.0,19.54,12-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
12-Feb-2019 - 00:00,44.36,75.57,2.52,9.69,31.28,24.51,11.69,0.42,65.06,0.99,1.39,0.08,29.74,80.5,,41.79,140.71,-0.07,2.08,0.0,19.32,13-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
13-Feb-2019 - 00:00,48.32,92.7,4.05,17.05,45.17,37.89,12.14,0.43,77.43,0.97,1.62,0.11,29.41,74.33,,52.96,157.73,-0.02,2.06,0.0,19.12,14-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
14-Feb-2019 - 00:00,35.32,62.24,4.07,47.73,58.06,69.68,17.0,0.43,53.72,0.9,2.11,0.13,29.36,60.94,,100.53,104.06,-0.02,0.99,0.0,20.62,15-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
15-Feb-2019 - 00:00,27.22,49.72,4.96,28.22,52.39,50.81,12.27,0.44,37.46,0.74,1.74,0.08,28.82,67.86,,84.98,154.06,-0.01,0.88,0.0,20.95,16-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
16-Feb-2019 - 00:00,31.68,70.44,5.59,7.29,36.34,25.25,10.97,0.45,62.58,0.75,2.24,0.07,29.75,67.19,,66.34,170.76,0.01,1.1,0.0,21.87,17-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
17-Feb-2019 - 00:00,34.11,66.84,4.83,8.18,37.31,26.49,11.02,0.46,49.46,0.8,1.81,0.08,30.33,74.56,,47.84,176.53,0.03,1.02,0.0,22.01,18-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
18-Feb-2019 - 00:00,42.32,80.06,6.31,9.25,35.67,26.49,10.63,0.5,54.55,0.95,1.97,0.1,30.09,78.02,,45.22,141.59,0.01,1.03,0.0,22.07,19-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
19-Feb-2019 - 00:00,33.31,66.9,4.81,11.61,31.45,26.17,10.74,0.46,46.81,0.78,1.81,0.11,30.19,79.48,,27.14,141.62,0.0,1.07,0.0,21.69,20-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
20-Feb-2019 - 00:00,32.73,61.78,5.67,20.81,33.12,34.53,11.4,0.4,39.36,0.7,2.05,0.11,29.53,76.36,,74.38,112.51,-0.05,1.25,0.0,20.71,21-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
21-Feb-2019 - 00:00,26.73,53.66,3.77,43.31,36.55,54.66,14.11,0.39,34.14,0.67,1.62,0.08,28.87,68.81,,70.97,96.05,-0.04,1.19,0.0,20.35,22-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
22-Feb-2019 - 00:00,20.03,46.33,5.4,47.14,46.86,63.25,17.17,0.3,42.89,0.51,1.46,0.09,29.27,44.38,,74.51,130.24,-0.04,1.21,0.0,21.66,23-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
23-Feb-2019 - 00:00,25.18,48.81,5.0,38.68,59.21,62.93,17.22,0.35,50.33,0.67,2.25,0.42,29.97,40.31,,75.55,117.98,-0.04,1.18,0.0,22.82,24-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
24-Feb-2019 - 00:00,31.33,63.35,5.35,16.71,56.96,43.88,13.13,0.3,67.94,0.73,1.56,0.07,28.47,45.88,,73.99,174.06,-0.02,1.05,0.0,22.77,25-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
25-Feb-2019 - 00:00,16.38,59.56,3.24,7.48,41.48,28.15,12.27,0.31,62.11,0.5,1.01,0.04,28.61,40.49,,77.64,242.02,-0.02,0.97,0.0,23.39,26-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
26-Feb-2019 - 00:00,20.53,62.54,6.99,5.41,31.61,21.21,11.99,0.27,66.49,0.57,1.18,0.05,30.31,51.89,,70.17,195.47,-0.0,1.23,0.0,22.9,27-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
27-Feb-2019 - 00:00,23.73,56.49,4.01,8.58,26.62,21.13,10.74,0.36,51.9,0.66,1.05,0.04,29.73,76.81,,56.45,184.61,0.03,1.23,0.02,21.63,28-Feb-2019 - 00:00,"Tirumala, Tirupati - APPCB"
28-Feb-2019 - 00:00,34.96,80.54,4.28,11.24,43.38,32.2,11.13,0.52,62.93,0.9,1.81,0.1,29.51,68.78,,82.7,122.39,-0.01,1.17,0.0,23.6,01-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
01-Mar-2019 - 00:00,33.17,65.66,5.94,7.86,24.78,19.57,10.7,0.38,54.5,0.6,1.1,0.05,29.55,79.42,,38.19,159.56,-0.02,1.51,0.0,21.57,02-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
02-Mar-2019 - 00:00,26.23,54.97,4.33,19.21,29.86,31.51,11.24,0.35,37.95,0.53,1.44,0.08,28.66,77.28,,40.73,123.21,-0.06,1.29,0.0,20.58,03-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
03-Mar-2019 - 00:00,26.57,56.86,6.4,26.61,35.95,40.77,12.44,0.39,38.76,0.67,1.6,0.09,28.65,74.64,,63.8,129.9,0.0,1.04,0.0,21.15,04-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
04-Mar-2019 - 00:00,19.78,50.21,4.53,5.58,26.05,18.4,11.04,0.31,46.11,0.51,1.04,0.03,29.35,68.6,,71.55,208.41,0.02,0.92,0.0,22.4,05-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
05-Mar-2019 - 00:00,33.16,76.77,9.91,2.93,36.21,21.57,14.22,0.4,68.11,0.76,1.35,0.06,29.8,61.92,,64.72,164.68,0.04,1.13,0.0,24.14,06-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
06-Mar-2019 - 00:00,34.21,87.91,6.69,4.31,46.02,27.95,17.89,0.43,66.31,0.97,1.81,0.09,29.12,59.57,,59.83,148.86,0.03,0.93,0.0,24.74,07-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
07-Mar-2019 - 00:00,27.68,79.94,6.73,1.14,35.62,19.82,19.47,0.42,70.68,0.94,1.87,0.08,29.26,66.88,,74.14,160.07,0.02,1.09,0.0,24.37,08-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
08-Mar-2019 - 00:00,24.35,73.14,7.85,3.07,33.21,20.17,22.36,0.38,49.25,0.68,1.43,0.06,29.07,70.17,,65.78,178.65,0.02,1.11,0.0,23.26,09-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
09-Mar-2019 - 00:00,24.31,71.32,3.72,4.76,34.94,22.44,22.49,0.38,45.51,0.69,1.7,0.09,29.02,74.04,,61.57,157.79,0.01,1.02,0.0,22.74,10-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
10-Mar-2019 - 00:00,19.56,56.3,3.02,2.42,32.48,19.2,21.41,0.31,47.74,0.6,1.29,0.05,28.82,69.09,,71.38,185.6,0.0,1.08,0.0,22.75,11-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
11-Mar-2019 - 00:00,19.96,63.07,3.42,3.89,40.76,24.78,20.62,0.35,48.75,0.6,1.3,0.07,28.67,61.07,,73.79,182.73,0.04,1.02,0.0,22.88,12-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
12-Mar-2019 - 00:00,29.72,90.76,3.22,0.92,38.83,21.37,20.64,0.33,80.5,0.63,1.12,0.04,28.51,50.6,,77.68,180.51,-0.0,1.07,0.0,23.21,13-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
13-Mar-2019 - 00:00,29.76,88.68,4.14,1.91,46.64,26.35,21.0,0.31,75.02,0.61,1.3,0.07,28.76,45.45,,77.0,206.75,-0.01,1.06,0.0,23.3,14-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
14-Mar-2019 - 00:00,25.29,80.17,2.8,1.25,42.16,23.38,21.35,0.27,75.48,0.5,1.06,0.03,28.52,42.18,,76.05,213.78,0.01,1.1,0.0,23.75,15-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
15-Mar-2019 - 00:00,31.15,90.76,9.07,6.4,49.09,31.19,21.92,0.35,75.84,0.55,1.17,0.05,28.21,44.38,,75.5,167.06,-0.03,1.06,0.0,23.23,16-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
16-Mar-2019 - 00:00,37.12,91.57,9.91,26.44,65.19,55.71,23.94,0.43,62.5,0.76,1.58,0.1,28.51,53.69,,72.97,135.71,-0.03,1.06,0.0,21.97,17-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
17-Mar-2019 - 00:00,37.9,83.64,9.63,19.2,51.84,43.19,23.81,0.42,48.81,0.79,1.87,0.1,28.36,69.76,,73.64,122.15,-0.03,1.11,0.0,20.9,18-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
18-Mar-2019 - 00:00,16.93,49.7,3.93,2.68,32.62,19.51,20.49,0.34,53.69,0.52,1.05,0.04,28.15,69.64,,78.31,171.01,0.0,1.14,0.0,21.46,19-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
19-Mar-2019 - 00:00,19.2,51.22,3.14,2.97,34.97,20.95,20.89,0.37,51.65,0.63,1.2,0.06,28.26,69.77,,70.88,174.66,0.02,1.17,0.0,22.07,20-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
20-Mar-2019 - 00:00,24.12,58.47,5.78,1.64,36.51,20.69,23.03,0.38,64.66,0.5,0.82,0.04,28.01,63.5,,73.14,206.06,0.03,1.19,0.0,22.39,21-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
21-Mar-2019 - 00:00,19.54,52.97,5.79,2.87,48.07,27.88,22.62,0.31,62.52,0.51,0.94,0.04,28.38,55.97,,70.75,191.6,0.03,1.19,0.0,22.62,22-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
22-Mar-2019 - 00:00,23.06,57.95,3.65,3.72,49.24,29.19,23.38,0.4,59.13,0.61,1.25,0.06,28.89,64.42,,69.4,167.81,0.02,1.18,0.0,22.71,23-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
23-Mar-2019 - 00:00,31.66,72.78,5.86,4.94,49.62,30.23,25.61,0.4,59.16,0.74,1.55,0.07,28.86,68.46,,70.77,167.48,0.01,1.08,0.0,23.38,24-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
24-Mar-2019 - 00:00,25.48,62.0,6.39,2.96,53.56,30.89,23.31,0.42,66.27,0.64,1.32,0.06,28.15,59.92,,64.6,151.2,-0.0,1.07,0.0,23.86,25-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
25-Mar-2019 - 00:00,19.22,56.96,2.92,2.37,52.21,29.65,22.84,0.32,66.91,0.62,2.16,0.06,28.93,53.18,,71.09,167.71,-0.0,0.88,0.0,23.65,26-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
26-Mar-2019 - 00:00,24.33,71.0,4.58,1.58,39.58,22.24,21.44,0.3,75.12,0.53,1.31,0.05,29.88,49.1,,74.66,166.03,-0.01,1.02,0.0,23.64,27-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
27-Mar-2019 - 00:00,32.69,90.27,9.27,3.42,55.15,32.09,23.41,0.35,77.03,0.68,1.48,0.08,30.0,51.36,,75.74,161.98,-0.01,1.01,0.0,23.82,28-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
28-Mar-2019 - 00:00,24.88,72.42,4.08,4.98,59.92,35.86,23.55,0.33,75.65,0.67,1.53,0.09,29.26,49.59,,71.75,154.88,0.0,1.05,0.0,24.33,29-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
29-Mar-2019 - 00:00,24.82,78.64,7.03,1.96,51.67,28.94,25.98,0.34,78.71,0.62,1.25,0.06,30.13,48.61,,66.27,177.32,0.0,1.02,0.0,24.75,30-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
30-Mar-2019 - 00:00,27.58,77.15,8.09,2.44,56.57,31.95,27.38,0.43,81.81,0.8,1.58,0.08,32.2,49.94,,66.58,184.24,0.0,1.02,0.0,24.98,31-Mar-2019 - 00:00,"Tirumala, Tirupati - APPCB"
31-Mar-2019 - 00:00,30.33,79.95,7.48,1.29,43.06,23.82,26.89,0.39,96.11,1.01,1.49,0.15,32.38,51.05,,69.91,193.36,-0.01,1.04,0.0,25.26,01-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
01-Apr-2019 - 00:00,27.49,78.74,8.55,2.03,50.0,28.11,25.15,0.37,82.28,0.65,1.2,0.06,31.69,49.75,,70.89,198.99,0.01,1.02,0.0,25.18,02-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
02-Apr-2019 - 00:00,23.14,69.28,7.24,1.92,44.06,24.9,25.03,0.38,64.11,0.64,1.8,0.07,31.59,59.6,,68.58,189.25,0.04,1.1,0.0,24.06,03-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
03-Apr-2019 - 00:00,26.14,64.16,7.45,2.48,43.71,25.1,26.59,0.38,62.62,0.63,1.09,0.04,31.88,67.15,,80.66,174.06,0.02,1.12,0.0,23.27,04-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
04-Apr-2019 - 00:00,11.72,50.61,3.99,4.41,39.22,24.37,21.23,0.36,53.3,0.43,0.88,0.02,28.28,59.4,,211.41,192.08,0.04,1.14,0.0,23.71,05-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
05-Apr-2019 - 00:00,16.1,62.86,7.55,4.97,31.98,20.96,22.14,0.34,61.61,0.57,1.33,0.06,29.36,59.03,,211.75,162.96,0.01,1.03,0.0,24.51,06-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
06-Apr-2019 - 00:00,8.26,37.12,3.28,2.71,16.81,11.13,20.23,0.26,57.52,0.36,0.79,0.01,28.4,65.71,,88.5,225.44,0.02,0.76,0.0,21.46,07-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
08-Apr-2019 - 00:00,23.3,63.33,4.07,6.01,40.63,26.49,22.09,0.45,69.64,0.6,1.39,0.06,29.8,55.71,,259.88,139.37,0.03,1.14,0.0,25.84,09-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
09-Apr-2019 - 00:00,24.12,57.99,5.68,5.07,31.05,20.64,24.38,0.43,59.6,0.66,1.5,0.16,30.1,65.83,,195.53,156.3,0.05,1.02,0.0,24.22,10-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
10-Apr-2019 - 00:00,19.22,58.15,4.52,3.99,28.57,18.43,24.27,0.37,58.78,0.54,1.28,0.05,28.5,63.62,,236.77,170.0,0.04,1.01,0.0,24.44,11-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
11-Apr-2019 - 00:00,25.17,59.83,11.41,4.31,33.26,21.19,23.11,0.37,70.68,0.54,1.35,0.05,29.17,60.03,,239.07,161.77,0.04,0.9,0.0,24.78,12-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
12-Apr-2019 - 00:00,21.39,74.87,11.4,5.97,35.14,23.54,21.28,0.4,71.59,0.63,1.46,0.05,28.66,57.23,,246.33,183.14,0.02,0.93,0.0,25.24,13-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
13-Apr-2019 - 00:00,13.35,51.65,7.09,11.34,39.37,30.15,21.21,0.34,53.55,0.59,1.9,0.08,29.51,52.06,,242.83,182.49,0.02,0.96,0.0,24.78,14-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
14-Apr-2019 - 00:00,14.69,54.0,5.8,6.8,38.16,25.8,20.58,0.29,61.26,0.47,1.31,0.04,29.64,46.32,,236.38,194.02,0.03,1.02,0.0,25.34,15-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
15-Apr-2019 - 00:00,20.0,63.99,5.62,6.23,42.74,27.75,21.32,0.28,68.55,0.47,1.15,0.04,29.34,42.18,,228.03,193.28,0.01,1.06,0.0,25.33,16-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
16-Apr-2019 - 00:00,18.01,67.93,7.53,8.02,38.77,26.98,22.0,0.37,61.51,0.56,1.41,0.06,29.16,49.52,,92.23,188.62,0.02,1.17,0.0,24.9,17-Apr-2019 - 00:00,"Tirumala, Tirupati - APPCB"
