from date,CO,Ozone,SO2,NO2,NO,NOx,NH3,PM10,PM2.5,Benzene,Toluene,O Xylene,MP-Xylene,Temp,WS,VWS,WD,RH,SR,RF,to date,BP,station
12-Apr-2019 - 00:00,0.29,23.12,4.87,34.24,7.75,42.0,7.72,80.42,42.88,4.86,9.46,0.45,1.13,28.31,0.48,0.0,162.85,74.3,169.39,,13-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
13-Apr-2019 - 00:00,0.27,36.63,6.11,30.68,4.72,35.41,7.33,90.01,43.7,4.35,9.31,0.38,0.92,28.3,0.69,-0.0,119.87,68.06,195.6,,14-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
14-Apr-2019 - 00:00,0.25,36.05,6.23,27.13,3.92,31.04,13.7,80.38,43.54,3.47,5.63,0.33,0.8,28.42,0.64,-0.0,192.09,72.41,179.91,,15-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
15-Apr-2019 - 00:00,0.26,27.85,5.13,27.42,4.73,32.14,8.78,88.24,47.3,4.8,6.67,0.39,0.77,29.2,0.73,-0.0,205.31,74.84,191.44,,16-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
16-Apr-2019 - 00:00,0.3,25.32,4.92,20.9,4.46,25.36,9.61,119.81,57.16,4.43,7.13,0.51,0.94,29.37,0.53,-0.0,146.92,71.0,169.02,,17-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
17-Apr-2019 - 00:00,0.4,36.06,7.19,27.45,2.73,30.19,20.27,139.8,71.39,5.64,8.89,0.77,1.71,28.64,0.49,-0.0,144.61,55.86,162.01,,18-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
18-Apr-2019 - 00:00,0.5,41.07,17.34,44.79,6.23,51.02,32.19,200.65,87.58,9.85,19.6,0.99,1.9,28.73,0.24,0.01,213.08,46.84,193.11,,19-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
19-Apr-2019 - 00:00,0.53,37.51,14.73,43.4,4.35,47.75,31.0,170.59,88.89,10.11,18.62,1.04,2.58,27.41,0.57,-0.01,213.09,55.15,126.67,,20-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
20-Apr-2019 - 00:00,0.41,50.6,17.0,36.59,3.01,39.61,25.73,121.96,70.51,5.69,11.85,0.72,2.09,28.32,0.56,-0.0,221.96,49.89,212.16,,21-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
21-Apr-2019 - 00:00,0.29,36.08,3.45,21.52,3.1,24.63,23.08,96.79,52.06,2.19,4.36,0.35,0.91,27.65,0.88,-0.01,205.0,64.32,179.79,,22-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
22-Apr-2019 - 00:00,0.38,37.26,7.24,31.2,3.45,34.64,23.1,110.12,53.89,5.69,8.03,0.64,1.2,26.61,0.49,0.0,118.27,63.62,201.59,,23-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
23-Apr-2019 - 00:00,0.35,39.58,7.32,34.47,3.38,37.86,24.47,96.83,48.3,7.86,14.29,0.81,1.18,29.27,0.5,-0.0,174.85,58.28,201.1,,24-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
24-Apr-2019 - 00:00,0.3,21.46,4.44,32.77,4.56,37.34,19.8,87.77,46.01,8.49,10.96,0.59,1.08,29.53,0.52,-0.0,173.89,61.72,195.98,,25-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
25-Apr-2019 - 00:00,0.25,14.75,3.51,30.86,7.34,38.19,14.32,80.1,41.23,5.17,9.46,0.5,0.7,29.31,0.7,-0.0,182.48,68.53,199.32,,26-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
26-Apr-2019 - 00:00,0.27,17.6,2.67,27.84,6.6,34.44,13.61,102.85,49.32,6.39,11.36,0.52,0.35,29.38,0.83,-0.0,199.96,68.83,209.81,,27-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
27-Apr-2019 - 00:00,0.3,14.01,2.39,29.33,5.88,35.21,11.44,111.57,57.43,5.91,12.71,0.42,0.58,30.32,1.04,-0.0,211.17,69.55,185.03,,28-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
28-Apr-2019 - 00:00,0.22,12.67,2.23,19.8,5.53,25.32,9.15,100.17,49.09,3.19,6.38,0.27,0.38,30.51,1.14,-0.0,210.48,69.91,197.91,,29-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
29-Apr-2019 - 00:00,0.21,12.72,2.17,19.35,7.14,26.47,8.14,148.71,29.77,3.64,10.24,0.37,0.34,29.85,1.4,-0.01,209.08,70.71,200.15,,30-Apr-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
30-Apr-2019 - 00:00,0.24,19.1,2.33,21.03,7.2,28.23,4.84,274.4,31.26,4.68,12.74,0.39,0.27,29.59,1.48,-0.01,208.19,64.6,195.03,,01-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
01-May-2019 - 00:00,0.16,25.31,2.24,24.57,6.54,31.1,10.45,295.57,24.03,4.19,6.03,0.28,0.11,29.65,1.3,0.01,205.12,67.55,177.05,,02-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
02-May-2019 - 00:00,0.15,26.74,2.02,17.58,3.99,21.57,10.42,263.24,29.7,2.44,6.69,0.27,0.05,29.06,0.56,0.0,189.4,71.11,115.43,,03-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
03-May-2019 - 00:00,0.16,33.09,1.66,9.98,3.52,13.49,11.77,106.82,18.02,1.96,4.09,0.24,0.07,25.92,0.89,-0.04,68.33,82.9,54.24,,04-May-2019 - 00:00,998.28,"Rabindra Bharati University, Kolkata - WBPCB"
04-May-2019 - 00:00,0.35,33.56,3.24,30.23,8.34,38.56,10.98,51.62,26.75,3.35,6.99,0.49,0.07,24.36,0.96,-0.04,200.27,83.85,113.78,,05-May-2019 - 00:00,997.23,"Rabindra Bharati University, Kolkata - WBPCB"
05-May-2019 - 00:00,0.39,33.54,3.56,39.21,16.26,55.47,7.66,137.28,59.95,10.6,15.17,0.76,0.01,28.0,0.74,0.0,193.14,74.6,202.77,,06-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
06-May-2019 - 00:00,0.28,42.0,2.5,29.09,3.69,32.78,7.14,161.37,60.44,4.97,9.42,0.44,0.04,30.15,0.82,-0.0,212.66,67.27,219.82,,07-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
07-May-2019 - 00:00,0.29,42.43,1.87,35.1,3.57,38.67,5.74,163.61,71.29,7.29,14.11,0.52,0.02,30.15,0.91,0.0,208.37,68.51,208.52,,08-May-2019 - 00:00,998.85,"Rabindra Bharati University, Kolkata - WBPCB"
08-May-2019 - 00:00,0.29,41.48,1.77,35.07,4.35,39.42,5.25,173.12,74.79,6.93,13.1,0.05,0.02,30.49,0.88,0.0,207.27,72.31,199.88,,09-May-2019 - 00:00,997.7,"Rabindra Bharati University, Kolkata - WBPCB"
09-May-2019 - 00:00,0.29,43.11,2.4,30.57,3.48,34.05,5.32,170.42,75.37,,,,,30.64,0.96,0.01,206.1,73.72,193.97,,10-May-2019 - 00:00,996.86,"Rabindra Bharati University, Kolkata - WBPCB"
10-May-2019 - 00:00,0.32,44.39,2.52,24.75,3.0,27.75,3.73,172.96,71.27,9.07,15.68,0.0,0.0,30.81,0.89,0.01,205.79,73.05,196.52,,11-May-2019 - 00:00,998.73,"Rabindra Bharati University, Kolkata - WBPCB"
11-May-2019 - 00:00,0.29,38.86,1.89,23.81,3.48,27.29,15.93,158.6,62.46,4.88,11.16,0.0,0.0,30.43,1.02,0.01,208.03,70.57,200.62,,12-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
12-May-2019 - 00:00,0.23,35.74,1.69,16.16,3.03,19.2,11.83,140.68,59.22,2.48,4.42,0.0,0.0,30.34,0.87,0.01,204.19,71.27,177.44,,13-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
13-May-2019 - 00:00,0.24,37.0,2.06,17.12,3.24,20.37,8.71,125.5,51.12,3.9,8.6,0.0,0.0,29.64,0.75,0.0,194.31,71.54,168.29,,14-May-2019 - 00:00,999.99,"Rabindra Bharati University, Kolkata - WBPCB"
14-May-2019 - 00:00,0.27,29.5,3.74,24.17,3.66,27.71,10.75,110.48,40.79,4.38,11.56,0.0,0.1,28.21,0.58,-0.0,148.09,68.07,169.07,,15-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
15-May-2019 - 00:00,0.27,19.68,2.39,31.29,3.83,35.12,8.49,115.45,47.64,6.74,14.74,0.0,0.23,30.27,0.62,0.0,199.51,65.62,187.78,,16-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
16-May-2019 - 00:00,0.31,27.55,2.21,31.6,3.51,35.11,9.31,117.18,51.48,8.4,13.12,0.0,0.16,31.07,0.53,0.0,195.71,65.73,195.37,,17-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
17-May-2019 - 00:00,0.28,25.32,2.14,26.66,3.88,30.56,9.09,126.56,59.77,6.78,12.69,0.0,0.13,31.61,0.78,0.01,206.45,72.3,197.15,,18-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
18-May-2019 - 00:00,0.26,22.66,2.75,18.7,3.76,22.46,8.97,131.5,57.43,5.9,12.02,0.0,0.14,31.99,0.73,0.01,204.84,71.47,189.23,,19-May-2019 - 00:00,999.69,"Rabindra Bharati University, Kolkata - WBPCB"
19-May-2019 - 00:00,0.26,22.66,4.12,18.12,4.43,22.55,10.27,126.29,58.44,,,,,31.24,0.5,0.0,189.59,70.25,151.72,,20-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
20-May-2019 - 00:00,0.24,14.18,4.07,20.57,5.19,25.68,7.49,121.27,45.47,6.21,10.52,0.0,0.14,31.68,0.57,0.0,184.69,71.88,179.23,,21-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
21-May-2019 - 00:00,0.26,14.33,2.13,20.91,4.29,25.2,5.82,112.43,44.43,5.49,12.49,0.0,0.2,31.4,0.79,0.01,204.28,70.76,190.85,,22-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
22-May-2019 - 00:00,0.25,14.86,3.05,18.49,3.97,22.45,6.97,117.33,43.75,3.85,7.84,0.0,0.12,31.63,0.84,0.0,186.65,69.47,180.22,,23-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
23-May-2019 - 00:00,0.23,15.58,2.53,12.57,3.39,15.94,7.08,93.48,34.25,3.86,9.4,0.0,0.09,30.12,1.05,-0.0,162.67,67.18,156.92,,24-May-2019 - 00:00,,"Rabindra Bharati University, Kolkata - WBPCB"
24-May-2019 - 00:00,0.24,15.45,2.25,25.54,4.42,29.95,7.53,108.09,38.75,7.0,14.5,0.0,0.25,31.34,1.03,0.01,206.34,66.39,182.77,,25-May-2019 - 00:00,998.93,"Rabindra Bharati University, Kolkata - WBPCB"
25-May-2019 - 00:00,0.26,18.55,2.27,27.45,4.75,32.21,8.53,88.11,37.0,6.77,13.04,0.0,0.21,28.55,0.96,0.01,199.75,75.7,116.45,,26-May-2019 - 00:00,997.93,"Rabindra Bharati University, Kolkata - WBPCB"
26-May-2019 - 00:00,0.25,21.55,2.62,31.14,4.0,35.15,9.08,96.63,42.08,4.57,6.31,0.0,0.22,30.31,0.7,-0.0,199.9,73.0,181.52,,27-May-2019 - 00:00,998.55,"Rabindra Bharati University, Kolkata - WBPCB"
27-May-2019 - 00:00,0.23,20.61,2.41,22.57,4.14,26.7,8.97,123.43,54.32,4.91,12.71,0.0,0.17,31.5,0.97,0.0,211.33,70.95,177.14,,28-May-2019 - 00:00,998.57,"Rabindra Bharati University, Kolkata - WBPCB"
28-May-2019 - 00:00,0.23,21.13,2.09,20.3,3.48,23.77,9.07,117.73,48.33,4.83,12.31,0.0,0.2,31.3,0.85,-0.0,197.46,70.24,172.73,,29-May-2019 - 00:00,998.53,"Rabindra Bharati University, Kolkata - WBPCB"
29-May-2019 - 00:00,0.25,23.9,2.28,19.0,3.12,22.13,7.61,112.85,49.79,6.09,10.94,0.0,0.16,31.62,0.63,-0.0,183.67,68.59,166.34,,30-May-2019 - 00:00,997.83,"Rabindra Bharati University, Kolkata - WBPCB"
30-May-2019 - 00:00,0.23,20.85,2.33,17.56,3.76,21.31,7.04,99.94,40.28,5.63,12.02,0.0,0.09,31.28,0.96,0.0,210.76,70.28,155.3,,31-May-2019 - 00:00,997.75,"Rabindra Bharati University, Kolkata - WBPCB"
31-May-2019 - 00:00,0.2,15.45,2.25,15.94,4.35,20.29,6.71,97.86,35.13,2.5,5.8,0.0,0.11,30.41,0.99,-0.0,176.79,68.68,148.52,,01-Jun-2019 - 00:00,998.82,"Rabindra Bharati University, Kolkata - WBPCB"
01-Jun-2019 - 00:00,0.24,20.26,2.51,24.96,3.24,28.2,6.82,102.9,43.18,5.97,13.62,0.04,0.25,31.07,0.71,-0.0,171.23,64.7,155.95,,02-Jun-2019 - 00:00,998.83,"Rabindra Bharati University, Kolkata - WBPCB"
02-Jun-2019 - 00:00,0.2,19.55,2.23,25.01,3.98,28.99,7.61,81.55,33.78,3.76,3.15,0.0,0.03,28.43,0.98,-0.01,174.78,76.07,106.94,,03-Jun-2019 - 00:00,999.61,"Rabindra Bharati University, Kolkata - WBPCB"
03-Jun-2019 - 00:00,0.31,40.49,5.6,38.31,3.55,41.85,9.48,97.64,45.34,5.54,7.43,0.0,0.27,29.41,0.51,-0.0,176.64,67.03,153.89,,04-Jun-2019 - 00:00,999.25,"Rabindra Bharati University, Kolkata - WBPCB"
04-Jun-2019 - 00:00,0.25,18.2,3.0,29.49,3.97,33.47,9.15,104.49,41.27,3.94,8.47,0.0,0.13,30.3,0.88,0.0,210.26,70.45,137.17,,05-Jun-2019 - 00:00,998.62,"Rabindra Bharati University, Kolkata - WBPCB"
05-Jun-2019 - 00:00,0.26,16.02,2.14,23.27,3.98,27.25,10.07,73.85,34.66,3.33,7.32,0.0,0.08,27.96,0.66,-0.01,173.78,80.24,64.57,,06-Jun-2019 - 00:00,997.82,"Rabindra Bharati University, Kolkata - WBPCB"
06-Jun-2019 - 00:00,0.22,18.65,2.36,15.2,3.22,18.42,9.57,50.62,25.78,2.78,4.99,0.0,0.13,28.53,0.61,-0.01,74.61,78.71,137.63,,07-Jun-2019 - 00:00,998.65,"Rabindra Bharati University, Kolkata - WBPCB"
07-Jun-2019 - 00:00,0.21,23.42,2.45,13.52,2.74,16.27,8.9,46.36,22.87,3.65,3.78,0.0,0.13,28.47,0.49,-0.01,89.88,77.8,87.57,,08-Jun-2019 - 00:00,999.78,"Rabindra Bharati University, Kolkata - WBPCB"
08-Jun-2019 - 00:00,0.22,21.68,2.28,12.14,2.82,14.96,8.81,43.65,24.55,2.14,3.62,0.0,0.09,29.96,0.6,-0.01,76.17,71.97,143.21,,09-Jun-2019 - 00:00,998.63,"Rabindra Bharati University, Kolkata - WBPCB"
09-Jun-2019 - 00:00,0.24,26.6,2.18,18.49,3.09,21.58,8.71,77.38,42.35,3.16,3.31,0.0,0.05,31.35,0.5,-0.01,209.47,70.9,142.05,,10-Jun-2019 - 00:00,996.8,"Rabindra Bharati University, Kolkata - WBPCB"
10-Jun-2019 - 00:00,0.18,27.97,2.25,14.68,2.83,17.54,8.66,92.09,45.6,2.31,5.16,0.0,0.05,31.65,0.6,-0.0,207.2,71.63,157.46,,11-Jun-2019 - 00:00,995.67,"Rabindra Bharati University, Kolkata - WBPCB"
11-Jun-2019 - 00:00,0.18,26.56,2.11,12.31,2.66,14.97,8.59,81.25,38.21,2.03,5.58,0.0,0.09,31.67,0.5,-0.01,185.48,69.97,157.27,,12-Jun-2019 - 00:00,995.53,"Rabindra Bharati University, Kolkata - WBPCB"
12-Jun-2019 - 00:00,0.2,19.6,2.2,10.5,2.46,12.96,8.3,85.3,35.87,3.16,5.28,0.0,0.07,31.44,0.42,-0.01,198.11,74.42,138.04,,13-Jun-2019 - 00:00,995.76,"Rabindra Bharati University, Kolkata - WBPCB"
13-Jun-2019 - 00:00,0.42,34.98,2.38,34.27,2.79,37.07,7.79,118.89,55.87,8.33,15.02,0.01,0.12,30.5,0.37,-0.0,192.71,69.73,157.21,,14-Jun-2019 - 00:00,994.89,"Rabindra Bharati University, Kolkata - WBPCB"
14-Jun-2019 - 00:00,0.36,40.21,2.26,27.06,2.69,29.75,7.04,122.51,57.75,6.48,8.3,0.01,0.09,32.42,0.48,-0.0,174.52,69.36,153.1,,15-Jun-2019 - 00:00,993.57,"Rabindra Bharati University, Kolkata - WBPCB"
15-Jun-2019 - 00:00,0.27,23.35,1.92,24.03,3.59,27.62,5.52,83.91,42.58,5.95,10.16,0.0,0.11,29.99,0.79,0.01,196.38,75.29,96.01,,16-Jun-2019 - 00:00,994.12,"Rabindra Bharati University, Kolkata - WBPCB"
16-Jun-2019 - 00:00,0.25,29.25,2.08,20.81,2.95,23.76,5.8,91.22,40.96,2.96,5.33,0.0,0.22,31.64,0.8,-0.0,212.46,69.13,165.69,,17-Jun-2019 - 00:00,994.02,"Rabindra Bharati University, Kolkata - WBPCB"
17-Jun-2019 - 00:00,0.39,28.53,2.09,29.66,3.56,33.22,6.82,162.11,64.42,14.49,20.09,0.0,0.44,31.69,0.58,-0.0,212.59,70.12,114.54,,18-Jun-2019 - 00:00,994.3,"Rabindra Bharati University, Kolkata - WBPCB"
18-Jun-2019 - 00:00,0.33,23.71,2.12,29.04,4.75,33.8,6.13,111.62,55.58,7.29,9.11,0.0,0.11,30.35,0.28,-0.01,142.93,79.12,109.83,,19-Jun-2019 - 00:00,994.9,"Rabindra Bharati University, Kolkata - WBPCB"
19-Jun-2019 - 00:00,0.3,37.61,2.35,20.54,3.38,23.86,5.79,112.55,57.52,5.46,8.97,0.0,0.11,31.21,0.35,-0.0,135.05,75.63,169.44,,20-Jun-2019 - 00:00,995.16,"Rabindra Bharati University, Kolkata - WBPCB"
20-Jun-2019 - 00:00,0.32,14.18,2.43,22.23,3.82,26.06,8.2,99.42,48.71,6.97,11.34,0.0,0.1,30.6,0.27,-0.0,163.33,73.76,129.49,,21-Jun-2019 - 00:00,996.44,"Rabindra Bharati University, Kolkata - WBPCB"
21-Jun-2019 - 00:00,0.24,14.69,2.15,13.79,3.41,17.2,7.9,52.38,22.24,2.74,5.57,0.0,0.09,28.96,0.83,-0.02,85.52,81.26,97.63,,22-Jun-2019 - 00:00,996.25,"Rabindra Bharati University, Kolkata - WBPCB"
22-Jun-2019 - 00:00,0.24,9.92,2.16,15.95,3.63,19.58,7.24,49.2,21.59,4.08,10.51,0.0,0.12,29.58,0.63,0.0,170.18,75.72,152.73,,23-Jun-2019 - 00:00,997.77,"Rabindra Bharati University, Kolkata - WBPCB"
23-Jun-2019 - 00:00,0.17,4.54,2.31,11.62,3.82,15.45,8.17,46.47,21.79,1.69,4.44,0.0,0.05,30.38,0.46,0.0,207.19,72.54,152.57,,24-Jun-2019 - 00:00,998.97,"Rabindra Bharati University, Kolkata - WBPCB"
24-Jun-2019 - 00:00,0.27,10.33,1.84,21.96,4.31,26.25,8.95,75.91,30.07,3.75,9.12,0.0,0.17,30.58,0.67,-0.0,202.77,73.06,143.61,,25-Jun-2019 - 00:00,999.93,"Rabindra Bharati University, Kolkata - WBPCB"
25-Jun-2019 - 00:00,0.23,12.88,2.02,20.45,5.79,26.23,10.15,75.86,26.59,2.41,7.15,0.0,0.07,31.15,0.98,-0.0,210.33,70.32,174.15,,26-Jun-2019 - 00:00,999.61,"Rabindra Bharati University, Kolkata - WBPCB"
26-Jun-2019 - 00:00,0.2,10.69,2.72,17.68,6.18,23.86,10.44,65.38,25.31,5.6,17.8,0.0,0.23,31.07,1.16,0.0,208.03,69.92,164.25,,27-Jun-2019 - 00:00,997.76,"Rabindra Bharati University, Kolkata - WBPCB"
27-Jun-2019 - 00:00,0.23,12.48,3.68,33.23,6.77,40.02,7.74,78.71,32.43,3.54,13.28,0.0,0.16,30.93,1.0,-0.0,209.24,71.66,133.4,,28-Jun-2019 - 00:00,995.4,"Rabindra Bharati University, Kolkata - WBPCB"
28-Jun-2019 - 00:00,0.31,34.18,5.61,39.67,4.81,44.48,12.45,89.78,45.25,6.73,14.25,0.0,0.13,29.8,0.72,-0.0,213.66,73.64,88.24,,29-Jun-2019 - 00:00,994.14,"Rabindra Bharati University, Kolkata - WBPCB"
29-Jun-2019 - 00:00,0.44,28.2,4.05,37.01,7.78,44.79,11.23,103.87,56.93,8.76,12.81,0.02,0.23,29.5,0.44,0.0,163.15,79.82,92.74,,30-Jun-2019 - 00:00,993.54,"Rabindra Bharati University, Kolkata - WBPCB"
30-Jun-2019 - 00:00,0.48,13.12,5.81,38.57,11.58,50.14,11.85,109.57,63.71,9.13,14.14,0.0,0.34,28.63,0.45,0.0,132.94,81.57,119.65,,01-Jul-2019 - 00:00,993.49,"Rabindra Bharati University, Kolkata - WBPCB"
01-Jul-2019 - 00:00,0.23,17.09,3.77,18.03,5.32,23.36,12.03,60.76,26.77,3.56,6.1,0.02,0.14,28.74,1.18,-0.03,53.63,80.81,145.01,,02-Jul-2019 - 00:00,991.56,"Rabindra Bharati University, Kolkata - WBPCB"
02-Jul-2019 - 00:00,0.21,27.35,3.59,14.62,4.31,18.93,10.86,42.08,25.68,1.95,19.89,0.0,0.13,28.3,0.6,-0.02,115.88,83.99,120.46,,03-Jul-2019 - 00:00,992.54,"Rabindra Bharati University, Kolkata - WBPCB"
03-Jul-2019 - 00:00,0.28,37.84,5.55,29.28,4.21,33.49,12.12,58.98,31.37,5.82,34.59,0.0,0.29,28.99,0.47,-0.0,199.62,77.94,160.87,,04-Jul-2019 - 00:00,994.59,"Rabindra Bharati University, Kolkata - WBPCB"
04-Jul-2019 - 00:00,0.35,30.65,9.18,37.91,4.4,42.29,12.98,97.63,48.56,6.29,14.49,0.0,0.12,30.17,0.43,-0.0,211.21,73.25,98.57,,05-Jul-2019 - 00:00,993.54,"Rabindra Bharati University, Kolkata - WBPCB"
05-Jul-2019 - 00:00,0.25,22.0,7.22,19.78,4.25,24.01,12.3,67.7,33.17,3.79,7.08,0.0,0.09,29.27,0.55,-0.01,95.56,77.85,110.07,,06-Jul-2019 - 00:00,990.89,"Rabindra Bharati University, Kolkata - WBPCB"
06-Jul-2019 - 00:00,0.38,12.42,7.74,41.34,8.7,50.05,10.49,77.62,43.49,6.36,15.92,0.0,0.18,28.09,0.46,-0.0,211.12,83.86,85.53,,07-Jul-2019 - 00:00,989.22,"Rabindra Bharati University, Kolkata - WBPCB"
07-Jul-2019 - 00:00,0.26,18.33,7.73,28.69,6.46,35.16,10.76,64.06,30.94,2.31,5.59,0.0,0.06,28.51,0.79,0.0,209.72,77.15,90.26,,08-Jul-2019 - 00:00,991.89,"Rabindra Bharati University, Kolkata - WBPCB"
08-Jul-2019 - 00:00,0.23,21.76,6.81,36.77,6.04,42.81,9.14,89.45,39.64,3.83,12.71,0.0,0.13,29.66,0.91,0.0,209.8,75.49,115.41,,09-Jul-2019 - 00:00,994.16,"Rabindra Bharati University, Kolkata - WBPCB"
09-Jul-2019 - 00:00,0.27,21.01,7.17,38.43,6.83,45.26,7.56,90.74,40.54,5.71,16.79,0.47,1.18,30.14,0.95,0.0,209.54,74.84,132.25,,10-Jul-2019 - 00:00,994.63,"Rabindra Bharati University, Kolkata - WBPCB"
10-Jul-2019 - 00:00,0.31,19.49,5.63,42.73,9.87,52.6,7.56,87.27,39.67,9.19,21.59,1.13,3.64,29.41,0.79,-0.0,209.54,77.27,120.31,,11-Jul-2019 - 00:00,994.77,"Rabindra Bharati University, Kolkata - WBPCB"
11-Jul-2019 - 00:00,0.26,18.52,4.68,42.0,8.38,50.37,7.56,91.09,42.27,6.8,19.43,0.94,2.42,29.26,0.87,0.0,211.36,78.7,76.27,,12-Jul-2019 - 00:00,996.98,"Rabindra Bharati University, Kolkata - WBPCB"
12-Jul-2019 - 00:00,0.26,22.91,7.86,41.8,6.56,48.35,7.41,90.69,44.78,5.7,18.32,0.95,2.65,29.62,0.83,-0.0,211.42,76.88,95.31,,13-Jul-2019 - 00:00,998.44,"Rabindra Bharati University, Kolkata - WBPCB"
13-Jul-2019 - 00:00,0.26,32.43,5.74,38.26,6.05,44.31,5.81,114.4,52.12,4.15,15.86,0.69,1.91,30.56,0.86,-0.0,211.11,74.63,138.77,,14-Jul-2019 - 00:00,997.68,"Rabindra Bharati University, Kolkata - WBPCB"
14-Jul-2019 - 00:00,0.27,40.86,7.54,37.79,5.26,43.05,5.56,115.9,54.66,2.91,6.74,0.48,1.3,31.52,0.74,-0.0,211.74,68.48,159.64,,15-Jul-2019 - 00:00,995.85,"Rabindra Bharati University, Kolkata - WBPCB"
15-Jul-2019 - 00:00,0.31,38.06,10.97,44.72,5.35,50.07,5.88,142.1,62.99,6.6,15.83,0.92,2.45,31.86,0.61,-0.0,215.73,67.02,127.3,,16-Jul-2019 - 00:00,995.1,"Rabindra Bharati University, Kolkata - WBPCB"
16-Jul-2019 - 00:00,0.32,31.3,9.82,50.61,5.93,56.53,5.82,126.44,60.97,9.01,23.93,1.44,3.59,30.34,0.39,-0.01,199.16,69.39,103.48,,17-Jul-2019 - 00:00,996.75,"Rabindra Bharati University, Kolkata - WBPCB"
17-Jul-2019 - 00:00,0.38,27.31,5.78,40.34,15.32,55.66,6.25,128.08,68.04,9.96,16.87,1.96,4.69,31.45,0.36,-0.0,131.16,66.49,172.1,,18-Jul-2019 - 00:00,996.61,"Rabindra Bharati University, Kolkata - WBPCB"
18-Jul-2019 - 00:00,0.2,20.98,2.81,26.37,6.03,32.39,7.53,103.04,55.51,3.27,8.88,0.5,1.34,31.39,0.47,-0.0,154.12,68.9,153.42,,19-Jul-2019 - 00:00,996.54,"Rabindra Bharati University, Kolkata - WBPCB"
19-Jul-2019 - 00:00,0.14,22.44,1.88,15.28,4.48,19.76,9.16,40.53,20.01,2.3,7.16,0.35,0.78,30.99,0.54,-0.01,125.77,67.67,148.93,,20-Jul-2019 - 00:00,997.57,"Rabindra Bharati University, Kolkata - WBPCB"
20-Jul-2019 - 00:00,0.17,24.41,1.88,21.82,5.63,27.44,7.55,63.31,31.43,3.77,12.34,0.5,1.23,30.76,0.56,0.0,215.72,69.19,156.32,,21-Jul-2019 - 00:00,999.07,"Rabindra Bharati University, Kolkata - WBPCB"
21-Jul-2019 - 00:00,0.18,28.04,4.85,23.35,5.64,28.99,8.43,70.81,39.55,1.98,6.54,0.35,0.87,30.8,0.78,0.0,211.14,70.12,185.35,,22-Jul-2019 - 00:00,999.12,"Rabindra Bharati University, Kolkata - WBPCB"
22-Jul-2019 - 00:00,0.18,18.1,3.66,25.45,8.46,33.91,8.42,78.55,31.15,2.87,12.92,0.51,1.31,31.01,0.87,0.0,211.78,69.07,186.33,,23-Jul-2019 - 00:00,998.53,"Rabindra Bharati University, Kolkata - WBPCB"
23-Jul-2019 - 00:00,0.17,15.22,5.61,26.29,11.93,38.23,8.35,62.59,26.06,3.65,15.52,0.58,1.45,30.78,0.84,0.0,210.62,67.44,160.14,,24-Jul-2019 - 00:00,997.78,"Rabindra Bharati University, Kolkata - WBPCB"
