from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
25-Apr-2019 - 00:00,210.1,74.04,46.86,83.76,130.63,0.89,,38.07,26-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
26-Apr-2019 - 00:00,164.42,86.95,147.96,132.9,181.4,0.59,0.0,19.31,27-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
27-Apr-2019 - 00:00,,,,,,,,,28-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
28-Apr-2019 - 00:00,,,,,,,,,29-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
29-Apr-2019 - 00:00,,,,,,,,,30-Apr-2019 - 00:00,"Burari Crossing, Delhi - IMD"
30-Apr-2019 - 00:00,278.08,124.03,60.6,103.51,154.42,0.89,0.0,15.62,01-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
01-May-2019 - 00:00,303.05,143.13,262.6,171.96,279.71,0.8,,14.15,02-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
02-May-2019 - 00:00,202.84,81.5,305.71,169.8,387.11,0.23,,11.78,03-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
03-May-2019 - 00:00,131.4,63.81,286.07,164.26,336.08,0.07,,12.05,04-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
04-May-2019 - 00:00,139.73,86.18,327.7,176.46,391.17,0.03,,9.46,05-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
05-May-2019 - 00:00,182.78,102.29,323.86,185.42,389.74,0.11,,13.01,06-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
06-May-2019 - 00:00,224.46,130.14,344.64,208.13,399.87,0.33,,11.12,07-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
07-May-2019 - 00:00,241.54,149.58,246.79,136.42,295.73,1.08,0.0,11.96,08-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
08-May-2019 - 00:00,346.26,147.38,135.84,75.88,165.85,2.36,,21.47,09-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
09-May-2019 - 00:00,340.25,149.89,55.79,45.71,100.8,2.09,,22.66,10-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
10-May-2019 - 00:00,295.08,101.2,37.8,19.64,54.89,1.7,,24.89,11-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
11-May-2019 - 00:00,228.72,107.18,46.43,43.45,88.39,2.06,,28.69,12-May-2019 - 00:00,"Burari Crossing, Delhi - IMD"
