from date,Temp,CO,Ozone,NO,NO2,NOx,SO2,PM2.5,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,VWS,to date,station
18-Jan-2019 - 00:00,31.53,2.82,47.79,40.0,95.92,83.53,13.87,209.49,1.29,2.46,1.71,16.11,69.32,1.22,114.45,107.33,753.74,0.0,0.0,19-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
19-Jan-2019 - 00:00,31.9,1.8,53.53,75.8,112.27,121.34,31.45,245.06,1.31,2.53,1.77,16.64,71.43,0.91,177.82,96.64,754.31,0.0,0.0,20-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
20-Jan-2019 - 00:00,31.25,2.54,39.28,90.23,121.68,132.87,46.64,280.66,1.29,2.39,1.62,18.47,70.01,0.9,191.2,106.09,753.69,0.0,-0.0,21-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
21-Jan-2019 - 00:00,31.29,2.06,57.34,14.08,82.61,55.39,16.7,149.94,1.29,2.21,1.56,19.17,69.56,2.54,165.87,105.14,751.59,0.0,-0.05,22-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
22-Jan-2019 - 00:00,31.15,2.36,64.99,11.33,62.64,42.53,11.96,202.83,1.27,2.07,1.47,18.89,75.67,2.9,139.4,65.12,750.89,0.0,-0.07,23-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
23-Jan-2019 - 00:00,31.69,1.43,40.54,13.21,55.22,40.11,8.54,122.34,1.25,2.08,1.46,17.61,82.0,2.51,160.18,121.15,753.41,0.01,-0.08,24-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
24-Jan-2019 - 00:00,31.3,2.52,33.83,33.78,76.13,67.96,9.6,130.1,1.25,2.04,1.4,17.49,82.15,1.4,128.46,116.36,754.86,0.0,-0.02,25-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
25-Jan-2019 - 00:00,31.16,1.78,22.85,21.56,54.39,46.47,5.82,112.51,1.49,2.28,1.6,14.19,88.1,2.5,84.53,57.01,754.62,0.19,-0.03,26-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
26-Jan-2019 - 00:00,20.8,2.51,34.35,5.55,52.2,17.3,,87.0,0.55,1.3,0.45,17.55,59.0,4.3,136.0,533.0,758.0,0.0,-0.05,27-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
29-Jan-2019 - 00:00,29.4,2.99,43.28,29.16,109.29,81.83,35.8,115.71,1.14,2.01,1.42,16.53,61.62,1.89,159.17,129.05,756.6,0.0,0.0,30-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
30-Jan-2019 - 00:00,31.56,1.23,48.19,78.41,97.7,115.68,21.81,161.05,1.22,1.95,1.35,15.09,66.96,1.44,146.89,142.74,756.67,0.0,-0.01,31-Jan-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
31-Jan-2019 - 00:00,32.33,2.46,40.95,17.3,94.0,64.06,11.39,144.52,1.25,1.89,1.33,16.8,68.82,1.66,155.09,127.18,755.8,0.0,-0.04,01-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
01-Feb-2019 - 00:00,32.58,2.22,51.34,13.08,80.29,53.34,21.24,145.6,1.27,1.85,1.3,17.56,70.8,2.01,143.44,133.44,754.6,0.0,-0.03,02-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Feb-2019 - 00:00,32.56,1.9,50.89,9.81,65.27,42.67,8.42,150.81,1.31,2.04,1.41,17.57,73.67,1.54,74.07,127.46,754.08,0.0,-0.01,03-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Feb-2019 - 00:00,32.11,2.18,35.41,21.22,64.78,51.71,5.38,163.35,1.3,2.02,1.36,14.69,84.79,1.85,102.84,131.62,756.3,0.0,-0.01,04-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Feb-2019 - 00:00,32.2,2.3,34.82,68.18,73.04,94.23,8.19,179.92,1.32,2.04,1.39,14.21,86.89,1.48,97.96,111.69,757.41,0.0,-0.01,05-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Feb-2019 - 00:00,31.92,2.44,32.44,111.71,109.26,149.76,16.86,233.68,1.3,2.01,1.37,17.05,81.14,0.84,141.99,93.93,755.24,0.0,-0.02,06-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Feb-2019 - 00:00,32.08,2.13,23.67,33.89,71.14,65.39,7.53,178.97,1.28,1.87,1.31,17.99,85.12,2.17,143.4,103.84,751.12,0.03,-0.05,07-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Feb-2019 - 00:00,32.89,1.35,35.99,11.35,45.21,33.22,6.02,73.52,1.3,1.82,1.3,17.3,89.16,3.56,167.51,76.27,750.53,0.06,-0.09,08-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Feb-2019 - 00:00,32.82,1.56,33.29,21.04,70.86,54.79,11.81,88.52,1.28,1.8,1.27,18.51,73.68,1.52,169.95,196.15,752.49,0.0,-0.01,09-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Feb-2019 - 00:00,33.01,0.96,50.89,21.63,57.17,48.0,14.21,63.6,1.3,1.91,1.31,15.76,70.74,3.05,112.16,185.51,755.16,0.0,0.01,10-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Feb-2019 - 00:00,32.64,2.06,51.23,37.12,73.51,69.24,13.03,96.82,1.3,1.92,1.3,16.25,68.97,1.56,124.51,171.61,757.18,0.0,-0.01,11-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
11-Feb-2019 - 00:00,32.9,1.99,48.09,100.79,97.99,133.17,19.58,147.36,1.3,1.95,1.32,16.78,70.14,0.94,110.88,160.99,757.52,0.0,-0.01,12-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Feb-2019 - 00:00,32.92,4.07,49.65,87.65,123.17,142.7,19.74,211.61,1.33,2.16,1.4,18.06,73.23,0.74,153.31,150.0,757.57,0.0,-0.02,13-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Feb-2019 - 00:00,32.85,2.41,54.88,51.85,90.76,90.43,15.78,195.78,1.34,2.08,1.37,18.79,73.9,0.72,125.47,149.52,756.82,0.0,-0.01,14-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Feb-2019 - 00:00,32.89,2.16,28.17,20.4,73.89,55.89,9.82,158.57,1.28,1.91,1.3,18.36,81.52,1.98,176.44,65.63,753.35,0.0,-0.04,15-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Feb-2019 - 00:00,32.66,1.13,49.77,19.36,41.69,37.92,10.18,75.95,1.3,1.95,1.33,19.66,76.64,2.92,173.88,147.08,751.96,0.01,-0.07,16-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Feb-2019 - 00:00,32.78,1.14,39.66,7.21,46.52,30.59,4.94,85.11,1.26,1.93,1.3,17.69,83.74,2.54,124.93,124.41,753.06,0.0,-0.02,17-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
17-Feb-2019 - 00:00,32.11,1.28,46.54,6.37,50.49,32.0,5.6,91.74,1.29,1.84,1.29,16.83,81.65,3.14,133.46,191.83,751.14,0.0,0.01,18-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
18-Feb-2019 - 00:00,32.16,1.56,55.33,22.11,69.22,54.75,15.6,91.06,1.31,1.96,1.33,19.55,70.47,1.82,181.62,182.76,748.29,0.0,-0.02,19-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
19-Feb-2019 - 00:00,32.43,1.59,35.41,84.27,91.83,126.12,18.74,105.47,1.32,2.13,1.41,21.23,69.53,1.13,172.44,154.32,750.01,0.0,-0.02,20-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
20-Feb-2019 - 00:00,32.73,2.2,36.09,32.27,78.18,67.82,9.79,111.06,1.31,2.2,1.46,20.7,78.67,1.14,150.05,108.18,754.24,0.0,-0.0,21-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
21-Feb-2019 - 00:00,32.66,1.59,42.92,26.62,60.97,54.05,10.36,95.69,1.3,2.12,1.41,22.61,74.54,1.95,165.07,182.11,753.34,0.0,-0.06,22-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
22-Feb-2019 - 00:00,32.84,1.27,53.77,13.24,45.72,35.07,8.34,71.99,1.31,2.11,1.4,23.21,75.54,2.3,90.91,177.4,751.33,0.0,0.01,23-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
23-Feb-2019 - 00:00,32.46,0.78,65.88,11.17,42.17,31.45,7.33,42.66,1.31,2.06,1.37,18.2,66.6,3.81,97.51,202.41,751.44,0.0,0.03,24-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
24-Feb-2019 - 00:00,31.81,1.34,56.29,10.78,59.02,40.16,19.9,66.83,1.3,2.15,1.5,17.78,69.12,1.95,117.39,132.64,749.35,0.0,0.01,25-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
25-Feb-2019 - 00:00,32.54,1.81,55.7,53.48,86.1,89.26,16.79,121.67,1.35,2.16,1.46,19.69,69.16,1.03,144.9,195.32,748.34,0.0,-0.02,26-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
26-Feb-2019 - 00:00,31.33,1.13,58.83,6.9,42.13,27.97,7.64,49.24,1.45,2.22,1.5,18.68,68.97,2.93,118.99,145.64,748.12,0.01,-0.04,27-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
27-Feb-2019 - 00:00,32.69,0.8,58.39,15.8,36.08,31.97,10.5,26.61,1.47,2.18,1.5,15.91,81.62,2.93,134.65,131.46,748.05,0.02,-0.02,28-Feb-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
28-Feb-2019 - 00:00,34.19,1.29,50.2,20.48,50.04,43.24,5.52,37.37,1.5,2.28,1.57,16.6,70.43,2.45,103.32,239.59,751.74,0.0,-0.01,01-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
01-Mar-2019 - 00:00,34.05,2.2,51.39,43.64,72.63,74.11,14.14,88.21,1.52,2.34,1.59,17.37,66.57,1.73,131.13,204.97,752.85,0.0,0.01,02-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Mar-2019 - 00:00,33.85,2.05,45.94,26.58,74.65,61.31,11.75,107.04,1.5,2.3,1.55,17.84,70.49,1.34,155.41,127.72,752.64,0.0,-0.04,03-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Mar-2019 - 00:00,34.46,1.44,42.25,12.87,42.23,32.85,6.46,70.02,1.5,2.23,1.52,17.33,84.76,2.21,136.54,132.1,749.73,0.04,-0.05,04-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Mar-2019 - 00:00,34.23,1.85,37.48,27.9,56.7,52.79,11.03,72.08,1.47,2.12,1.44,19.63,82.06,1.49,148.45,182.18,746.56,0.0,-0.01,05-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Mar-2019 - 00:00,33.41,1.0,54.76,15.75,44.42,36.44,5.12,60.28,1.49,2.18,1.48,20.77,73.3,2.41,87.76,179.7,747.02,0.0,0.0,06-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Mar-2019 - 00:00,33.24,0.99,59.46,16.34,49.24,40.32,6.47,47.42,1.53,2.34,1.55,19.54,63.8,2.7,79.93,205.44,748.95,0.0,0.01,07-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Mar-2019 - 00:00,32.96,1.8,56.43,41.76,74.36,73.42,17.57,67.29,1.54,2.37,1.57,20.68,59.57,1.77,132.93,199.77,749.28,0.0,0.01,08-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Mar-2019 - 00:00,31.94,2.38,53.63,30.8,83.43,69.41,23.73,80.58,1.5,2.27,1.5,21.46,61.12,1.54,136.28,196.29,750.43,0.0,0.0,09-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Mar-2019 - 00:00,33.12,1.81,51.51,14.85,77.84,53.47,29.55,87.84,1.54,2.36,1.56,23.11,60.86,1.6,115.67,189.02,749.41,0.0,-0.01,10-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Mar-2019 - 00:00,34.38,0.97,70.26,5.02,43.0,26.92,8.55,51.23,1.53,2.25,1.51,22.77,62.9,2.42,75.34,210.09,750.48,0.0,-0.0,11-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
11-Mar-2019 - 00:00,34.37,1.38,67.31,15.51,55.95,42.31,10.79,63.22,1.49,2.26,1.5,23.63,58.48,2.21,154.66,198.3,750.9,0.0,-0.05,12-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Mar-2019 - 00:00,34.96,1.16,63.61,14.53,55.71,41.35,9.65,64.6,1.53,2.39,1.59,24.4,61.85,1.92,84.23,196.3,750.68,0.0,-0.02,13-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Mar-2019 - 00:00,34.91,1.1,69.8,6.03,47.77,30.18,7.87,53.78,1.49,2.24,1.51,23.72,59.21,2.2,87.61,222.93,751.85,0.0,-0.03,14-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Mar-2019 - 00:00,34.94,1.47,53.06,25.71,58.84,60.81,11.19,70.64,1.51,2.29,1.54,24.19,60.11,1.58,126.13,154.23,751.94,0.0,-0.03,15-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Mar-2019 - 00:00,35.04,0.84,67.71,5.67,33.64,22.49,5.71,36.23,1.58,2.3,1.57,22.34,62.98,3.11,76.98,209.02,753.44,0.0,-0.03,16-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Mar-2019 - 00:00,35.3,0.58,70.23,22.82,28.16,32.91,8.75,45.71,1.57,2.22,1.51,19.91,65.21,2.82,79.9,280.75,754.13,0.0,-0.02,17-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
19-Mar-2019 - 00:00,34.89,3.21,62.05,56.58,95.73,96.93,13.77,63.86,1.43,2.06,1.36,27.06,53.56,2.32,102.38,253.12,747.96,0.0,-0.01,20-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
20-Mar-2019 - 00:00,35.35,2.32,50.34,34.48,73.61,67.08,17.68,95.86,1.48,2.12,1.43,26.19,57.64,2.02,195.93,220.22,747.4,0.0,-0.03,21-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
21-Mar-2019 - 00:00,35.77,1.98,61.35,4.05,35.03,21.91,9.97,79.44,1.49,2.09,1.41,26.47,57.16,2.71,133.38,237.05,748.09,0.0,-0.07,22-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
22-Mar-2019 - 00:00,35.87,0.74,70.17,3.94,26.18,17.12,8.53,37.16,1.44,2.06,1.39,25.86,55.22,3.43,68.11,242.68,750.07,0.0,0.01,23-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
23-Mar-2019 - 00:00,35.56,0.64,83.23,10.61,32.16,25.58,9.94,31.05,1.54,2.14,1.43,24.11,53.64,4.08,103.83,257.09,750.07,0.0,0.02,24-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
24-Mar-2019 - 00:00,36.76,2.15,60.24,27.45,57.12,52.21,23.69,52.27,1.43,2.1,1.41,25.83,55.11,2.84,120.44,239.08,749.07,0.0,-0.0,25-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
25-Mar-2019 - 00:00,36.09,2.91,32.95,86.44,86.48,116.27,20.64,116.59,1.46,2.01,1.34,24.74,63.89,0.8,237.57,168.84,748.68,0.0,-0.0,26-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
28-Mar-2019 - 00:00,34.21,3.84,34.03,10.27,87.88,55.0,8.31,58.98,1.42,2.1,1.36,30.11,54.28,1.85,104.54,248.22,748.67,0.0,-0.0,29-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
29-Mar-2019 - 00:00,35.05,2.41,31.53,52.54,87.32,88.9,9.57,102.12,1.5,2.17,1.42,29.26,59.17,1.2,147.82,224.52,746.59,0.0,0.0,30-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
30-Mar-2019 - 00:00,35.49,3.17,26.69,32.61,96.88,76.88,8.72,111.16,1.48,2.24,1.46,30.97,57.06,1.29,143.66,221.04,745.23,0.0,-0.02,31-Mar-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
31-Mar-2019 - 00:00,34.41,2.35,30.57,2.96,56.74,32.41,6.55,60.79,1.49,2.18,1.43,30.31,52.29,2.62,115.66,242.05,744.56,0.0,-0.01,01-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
01-Apr-2019 - 00:00,34.59,2.25,39.43,4.83,60.62,36.14,8.39,52.94,1.47,2.09,1.39,27.73,51.27,2.67,109.74,262.17,746.4,0.0,-0.02,02-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
02-Apr-2019 - 00:00,33.81,2.05,40.79,5.45,55.2,33.79,5.79,53.82,1.5,2.13,1.41,28.3,50.54,1.89,98.0,258.35,746.91,0.0,-0.0,03-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
03-Apr-2019 - 00:00,33.17,2.6,36.66,17.7,79.72,56.53,9.98,83.54,1.47,2.08,1.37,29.45,50.27,1.14,168.3,242.16,746.42,0.0,-0.0,04-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
04-Apr-2019 - 00:00,33.12,2.86,38.26,12.15,74.47,51.13,6.75,87.55,1.47,2.11,1.39,30.75,49.55,1.37,137.31,245.98,746.65,0.0,-0.01,05-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
05-Apr-2019 - 00:00,34.0,2.57,43.4,5.57,63.06,38.02,7.1,81.46,1.49,2.13,1.38,31.53,54.29,1.9,164.7,233.86,745.62,0.0,-0.04,06-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
06-Apr-2019 - 00:00,33.04,2.36,33.78,14.86,56.34,41.97,6.02,81.47,1.5,2.23,1.46,31.37,60.32,2.12,144.55,237.53,744.99,0.0,-0.04,07-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
07-Apr-2019 - 00:00,33.9,1.07,32.39,3.83,31.31,19.77,4.69,36.89,1.51,2.18,1.42,28.74,62.78,4.49,169.97,261.01,744.34,0.0,-0.15,08-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
08-Apr-2019 - 00:00,33.29,2.06,32.16,5.02,48.04,29.63,5.87,54.09,1.4,2.03,1.34,28.77,63.33,2.27,134.78,250.24,744.85,0.0,-0.05,09-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
09-Apr-2019 - 00:00,34.13,2.23,33.87,3.95,51.93,30.81,6.18,59.76,1.44,2.05,1.35,31.39,58.09,1.78,151.5,242.6,743.82,0.0,-0.02,10-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
10-Apr-2019 - 00:00,34.53,2.26,29.55,14.77,55.74,41.63,8.15,71.79,1.48,2.17,1.42,30.64,58.34,1.79,137.44,247.98,745.64,0.0,-0.04,11-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
11-Apr-2019 - 00:00,36.37,2.14,38.77,17.17,60.65,45.89,4.97,61.92,1.44,2.19,1.41,32.39,53.94,1.96,158.12,231.8,744.99,0.0,-0.03,12-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
12-Apr-2019 - 00:00,36.27,2.33,30.98,11.23,61.7,45.02,7.59,74.65,1.46,2.24,1.48,33.14,54.57,1.75,132.06,229.61,744.85,0.0,-0.02,13-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
13-Apr-2019 - 00:00,42.09,2.21,37.15,4.52,46.9,28.17,4.21,57.32,1.53,2.28,1.44,33.71,49.98,1.78,94.99,249.74,745.41,0.0,-0.04,14-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
14-Apr-2019 - 00:00,38.67,1.73,42.07,3.86,31.91,20.1,4.54,33.62,1.4,2.1,1.44,29.84,54.25,1.99,89.88,11.5,745.0,0.0,-0.05,15-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
15-Apr-2019 - 00:00,37.85,3.05,19.45,53.58,122.41,108.68,11.15,50.14,1.39,2.13,1.37,36.9,43.57,2.34,132.34,229.09,743.27,0.0,-0.02,16-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
16-Apr-2019 - 00:00,36.05,1.78,40.49,4.11,43.28,26.3,4.19,51.44,1.32,1.92,1.3,28.43,57.86,4.6,119.03,137.24,747.68,0.0,-0.04,17-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
17-Apr-2019 - 00:00,32.31,1.47,55.65,3.77,31.45,19.75,3.27,23.45,1.35,1.9,1.29,23.55,76.36,2.84,177.19,174.64,750.72,0.01,-0.05,18-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
18-Apr-2019 - 00:00,33.05,1.7,46.5,13.38,39.32,30.97,4.06,31.21,1.37,1.94,1.28,25.72,70.27,1.98,107.36,236.27,749.01,0.0,-0.05,19-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
19-Apr-2019 - 00:00,35.8,1.36,49.13,13.68,41.54,36.04,7.06,39.47,1.36,2.02,1.34,28.31,59.66,1.7,99.87,265.16,746.91,0.0,-0.03,20-Apr-2019 - 00:00,"Nehru Nagar, Kanpur - UPPCB"
