from date,NOx,Ozone,PM2.5,SO2,Benzene,Toluene,Eth-Benzene,MP-Xylene,O Xylene,RH,SR,VWS,WS,NO,CO,WD,NO2,to date,BP,station
30-Apr-2019 - 00:00,50.94,43.55,161.18,13.75,0.59,1.46,,,0.0,24.59,93.15,2.62,0.44,13.44,1.51,121.31,78.11,01-May-2019 - 00:00,994.07,"Lalbagh, Lucknow - CPCB"
01-May-2019 - 00:00,47.13,16.39,139.96,5.43,0.7,1.58,,,0.0,41.35,89.45,1.29,0.78,12.87,1.82,99.04,71.96,02-May-2019 - 00:00,992.47,"Lalbagh, Lucknow - CPCB"
02-May-2019 - 00:00,50.67,13.56,72.37,4.48,0.63,1.63,,,0.0,31.67,99.7,0.42,0.79,16.8,1.53,137.45,75.31,03-May-2019 - 00:00,993.73,"Lalbagh, Lucknow - CPCB"
03-May-2019 - 00:00,44.43,14.42,53.33,5.15,0.73,1.63,,,0.0,37.9,93.12,0.54,1.47,14.51,0.85,77.09,69.44,04-May-2019 - 00:00,996.88,"Lalbagh, Lucknow - CPCB"
04-May-2019 - 00:00,45.94,20.06,81.95,3.92,0.89,1.46,,,0.0,41.96,94.91,0.46,0.66,13.55,0.9,217.08,69.79,05-May-2019 - 00:00,998.85,"Lalbagh, Lucknow - CPCB"
05-May-2019 - 00:00,48.72,60.59,54.94,5.13,1.42,14.06,,,0.72,18.21,107.88,0.41,0.66,14.95,1.18,251.36,72.47,06-May-2019 - 00:00,999.32,"Lalbagh, Lucknow - CPCB"
06-May-2019 - 00:00,51.46,79.92,38.92,4.45,1.09,32.94,,,13.95,13.28,104.4,0.38,0.67,13.41,0.8,256.57,79.73,07-May-2019 - 00:00,996.21,"Lalbagh, Lucknow - CPCB"
07-May-2019 - 00:00,51.99,64.99,46.47,5.9,3.2,122.65,,,55.81,14.55,104.44,0.38,0.71,13.87,1.22,255.44,78.93,08-May-2019 - 00:00,994.71,"Lalbagh, Lucknow - CPCB"
08-May-2019 - 00:00,52.03,61.76,80.3,6.06,4.67,311.28,,,69.94,17.14,98.65,0.35,0.58,12.9,1.02,252.56,81.37,09-May-2019 - 00:00,993.81,"Lalbagh, Lucknow - CPCB"
09-May-2019 - 00:00,50.28,59.72,105.62,6.5,3.17,335.7,,,36.52,17.0,94.02,0.36,0.66,13.45,0.95,251.22,76.33,10-May-2019 - 00:00,992.8,"Lalbagh, Lucknow - CPCB"
10-May-2019 - 00:00,45.4,49.22,79.0,10.17,3.02,318.14,,,31.45,19.52,76.51,0.37,0.74,12.33,1.16,261.81,68.86,11-May-2019 - 00:00,994.5,"Lalbagh, Lucknow - CPCB"
11-May-2019 - 00:00,45.53,52.62,77.6,10.21,2.16,247.33,,,23.26,20.23,97.48,0.44,0.68,12.8,1.27,243.12,68.07,12-May-2019 - 00:00,996.84,"Lalbagh, Lucknow - CPCB"
12-May-2019 - 00:00,41.93,84.27,63.61,4.72,0.79,91.98,,,7.84,26.3,90.78,0.55,1.13,12.91,0.85,300.66,60.55,13-May-2019 - 00:00,996.73,"Lalbagh, Lucknow - CPCB"
13-May-2019 - 00:00,44.51,60.27,58.49,3.24,1.31,155.98,,,9.1,30.43,94.09,0.42,0.8,12.7,0.86,246.02,66.6,14-May-2019 - 00:00,996.53,"Lalbagh, Lucknow - CPCB"
14-May-2019 - 00:00,19.31,64.85,72.14,4.52,0.52,27.39,,,4.65,30.59,83.07,0.35,0.69,13.16,0.72,299.63,42.35,15-May-2019 - 00:00,997.0,"Lalbagh, Lucknow - CPCB"
15-May-2019 - 00:00,8.3,72.46,85.79,5.5,0.68,27.2,,,5.23,32.36,98.88,0.3,0.78,6.24,0.93,276.46,30.18,16-May-2019 - 00:00,998.13,"Lalbagh, Lucknow - CPCB"
16-May-2019 - 00:00,8.27,66.31,88.07,4.22,0.25,12.1,,,1.71,28.65,91.39,0.3,1.13,6.22,0.81,295.91,30.51,17-May-2019 - 00:00,998.93,"Lalbagh, Lucknow - CPCB"
17-May-2019 - 00:00,8.22,67.1,95.36,4.06,0.13,2.68,,,1.66,26.8,124.07,0.28,0.85,6.24,0.68,271.93,30.63,18-May-2019 - 00:00,998.8,"Lalbagh, Lucknow - CPCB"
18-May-2019 - 00:00,8.25,42.74,76.67,4.34,0.05,1.96,,,0.91,35.3,184.74,0.55,1.11,6.21,0.66,307.15,30.59,19-May-2019 - 00:00,998.66,"Lalbagh, Lucknow - CPCB"
19-May-2019 - 00:00,8.27,63.48,81.33,4.09,0.0,0.0,,,0.13,36.69,109.15,0.45,0.7,6.2,0.71,300.96,30.62,20-May-2019 - 00:00,998.9,"Lalbagh, Lucknow - CPCB"
20-May-2019 - 00:00,8.2,67.67,97.31,4.48,0.02,0.02,,,0.03,27.47,112.75,0.48,0.54,6.27,0.62,277.87,30.19,21-May-2019 - 00:00,999.49,"Lalbagh, Lucknow - CPCB"
21-May-2019 - 00:00,14.39,72.76,108.68,7.27,0.77,0.77,,,0.0,23.0,109.12,0.48,0.57,12.57,0.59,273.92,32.96,22-May-2019 - 00:00,997.75,"Lalbagh, Lucknow - CPCB"
22-May-2019 - 00:00,24.15,60.57,95.85,6.63,1.26,1.26,,,0.0,26.52,96.29,0.48,0.79,18.44,0.8,248.36,19.91,23-May-2019 - 00:00,996.08,"Lalbagh, Lucknow - CPCB"
23-May-2019 - 00:00,12.59,54.85,68.5,5.58,1.26,1.26,,,0.0,28.24,96.09,0.54,0.45,19.81,0.5,256.63,34.59,24-May-2019 - 00:00,994.87,"Lalbagh, Lucknow - CPCB"
24-May-2019 - 00:00,5.09,38.35,71.1,2.26,1.26,1.26,,,0.0,35.19,101.11,0.57,1.21,13.63,0.5,255.61,30.55,25-May-2019 - 00:00,995.03,"Lalbagh, Lucknow - CPCB"
25-May-2019 - 00:00,4.84,50.67,68.44,3.02,1.26,1.27,,,0.0,31.53,116.29,0.56,1.29,13.77,1.37,324.98,30.29,26-May-2019 - 00:00,994.69,"Lalbagh, Lucknow - CPCB"
26-May-2019 - 00:00,4.86,64.52,69.7,2.73,1.26,1.3,,,0.0,26.54,114.39,0.48,0.73,13.94,1.19,290.88,30.59,27-May-2019 - 00:00,994.26,"Lalbagh, Lucknow - CPCB"
27-May-2019 - 00:00,4.81,58.96,82.98,4.02,1.26,1.3,,,0.0,23.81,111.85,0.39,0.81,13.79,0.55,270.03,30.07,28-May-2019 - 00:00,993.79,"Lalbagh, Lucknow - CPCB"
28-May-2019 - 00:00,10.45,67.17,82.93,5.45,1.26,1.3,,,0.0,18.01,119.0,0.37,0.59,13.95,1.17,272.04,19.86,29-May-2019 - 00:00,993.44,"Lalbagh, Lucknow - CPCB"
29-May-2019 - 00:00,14.34,74.39,105.44,6.16,1.42,1.3,,,0.0,21.37,112.63,0.34,0.44,13.65,0.89,219.72,8.86,30-May-2019 - 00:00,992.31,"Lalbagh, Lucknow - CPCB"
30-May-2019 - 00:00,15.61,55.13,132.66,3.91,1.59,1.3,,,0.0,32.04,100.38,0.32,0.46,13.67,0.78,170.41,8.81,31-May-2019 - 00:00,991.04,"Lalbagh, Lucknow - CPCB"
31-May-2019 - 00:00,15.7,50.38,129.68,1.86,1.59,1.3,,,0.0,43.66,100.86,0.35,0.74,13.84,0.6,102.83,8.7,01-Jun-2019 - 00:00,992.07,"Lalbagh, Lucknow - CPCB"
01-Jun-2019 - 00:00,15.72,62.61,80.77,3.78,1.59,1.3,,,0.0,51.39,94.33,0.36,0.84,14.09,0.95,101.95,8.37,02-Jun-2019 - 00:00,993.33,"Lalbagh, Lucknow - CPCB"
02-Jun-2019 - 00:00,15.54,62.52,86.15,3.73,1.59,1.3,,,0.0,55.56,89.32,0.37,1.01,13.76,1.59,88.54,8.52,03-Jun-2019 - 00:00,993.25,"Lalbagh, Lucknow - CPCB"
03-Jun-2019 - 00:00,15.84,59.85,76.57,3.99,1.59,1.3,,,0.0,43.24,112.52,0.76,1.14,13.61,1.21,84.62,9.3,04-Jun-2019 - 00:00,994.62,"Lalbagh, Lucknow - CPCB"
04-Jun-2019 - 00:00,15.16,58.18,71.11,3.1,1.59,1.3,,,0.0,47.51,90.42,0.95,0.64,13.73,0.49,88.36,7.86,05-Jun-2019 - 00:00,993.56,"Lalbagh, Lucknow - CPCB"
05-Jun-2019 - 00:00,15.58,65.98,81.79,3.59,1.59,1.3,,,0.0,47.54,88.86,1.4,0.59,13.66,0.49,100.69,8.75,06-Jun-2019 - 00:00,992.48,"Lalbagh, Lucknow - CPCB"
06-Jun-2019 - 00:00,15.67,63.02,75.55,3.03,1.59,1.3,,,0.0,52.56,83.62,2.49,0.85,14.03,0.5,107.25,8.35,07-Jun-2019 - 00:00,993.78,"Lalbagh, Lucknow - CPCB"
07-Jun-2019 - 00:00,15.32,53.01,35.37,3.09,1.59,1.3,,,0.0,61.73,172.88,3.28,0.93,13.67,0.49,83.78,8.25,08-Jun-2019 - 00:00,996.64,"Lalbagh, Lucknow - CPCB"
08-Jun-2019 - 00:00,15.23,61.57,53.13,3.45,1.59,1.3,,,0.0,45.86,125.67,1.83,0.71,13.68,0.49,156.18,8.06,09-Jun-2019 - 00:00,994.48,"Lalbagh, Lucknow - CPCB"
09-Jun-2019 - 00:00,15.66,67.59,75.23,3.11,1.59,1.3,,,0.0,43.34,114.73,0.81,0.44,14.18,0.49,126.18,8.11,10-Jun-2019 - 00:00,991.04,"Lalbagh, Lucknow - CPCB"
10-Jun-2019 - 00:00,15.45,56.62,77.1,3.5,1.59,1.3,,,0.0,44.69,116.43,2.79,0.7,13.56,0.49,150.6,8.67,11-Jun-2019 - 00:00,988.18,"Lalbagh, Lucknow - CPCB"
11-Jun-2019 - 00:00,15.28,63.41,63.48,3.56,1.59,1.3,,,0.0,51.04,109.22,2.48,0.72,13.57,0.49,90.2,8.33,12-Jun-2019 - 00:00,988.5,"Lalbagh, Lucknow - CPCB"
12-Jun-2019 - 00:00,15.85,50.66,53.42,3.94,1.59,1.3,,,0.0,53.83,47.78,2.32,1.02,14.64,0.49,137.82,7.78,13-Jun-2019 - 00:00,991.19,"Lalbagh, Lucknow - CPCB"
13-Jun-2019 - 00:00,15.22,49.11,83.95,4.07,1.59,1.3,,,0.0,50.76,33.57,2.29,0.57,13.9,0.49,212.77,7.73,14-Jun-2019 - 00:00,991.38,"Lalbagh, Lucknow - CPCB"
14-Jun-2019 - 00:00,14.86,23.2,73.05,3.19,1.36,4.79,,,1.17,36.24,110.61,2.25,0.71,9.88,0.49,243.43,13.3,15-Jun-2019 - 00:00,989.55,"Lalbagh, Lucknow - CPCB"
15-Jun-2019 - 00:00,20.07,58.75,96.55,3.49,0.82,8.43,,,3.12,20.42,111.99,1.6,0.65,5.81,0.49,272.98,25.44,16-Jun-2019 - 00:00,988.18,"Lalbagh, Lucknow - CPCB"
16-Jun-2019 - 00:00,12.73,44.74,84.71,3.09,0.16,2.46,,,0.7,36.1,90.07,0.95,1.27,4.67,0.49,270.79,16.91,17-Jun-2019 - 00:00,989.7,"Lalbagh, Lucknow - CPCB"
17-Jun-2019 - 00:00,12.44,34.97,60.24,3.36,0.32,4.19,,,1.15,54.17,103.43,0.38,1.08,4.9,0.49,253.63,16.02,18-Jun-2019 - 00:00,990.68,"Lalbagh, Lucknow - CPCB"
18-Jun-2019 - 00:00,12.77,43.6,60.35,3.71,0.26,3.48,,,1.04,45.33,94.01,0.55,0.98,4.97,0.59,282.3,16.53,19-Jun-2019 - 00:00,992.0,"Lalbagh, Lucknow - CPCB"
19-Jun-2019 - 00:00,12.71,29.26,51.79,3.56,0.27,2.17,,,0.56,65.55,39.34,0.38,0.84,5.17,0.73,289.1,16.12,20-Jun-2019 - 00:00,993.3,"Lalbagh, Lucknow - CPCB"
20-Jun-2019 - 00:00,12.88,47.33,40.46,2.39,0.06,1.33,,,0.24,65.0,129.83,-0.04,0.93,5.03,0.55,224.69,16.65,21-Jun-2019 - 00:00,993.57,"Lalbagh, Lucknow - CPCB"
21-Jun-2019 - 00:00,12.7,38.06,57.52,4.1,0.32,4.2,,,1.23,56.24,76.65,-0.09,0.64,5.26,0.83,194.02,15.99,22-Jun-2019 - 00:00,993.45,"Lalbagh, Lucknow - CPCB"
22-Jun-2019 - 00:00,13.43,36.75,58.2,3.14,1.26,6.97,,,3.27,64.65,178.27,0.32,0.83,5.33,0.65,130.05,17.24,23-Jun-2019 - 00:00,994.0,"Lalbagh, Lucknow - CPCB"
23-Jun-2019 - 00:00,12.57,36.31,26.31,2.78,0.19,1.93,,,0.91,82.03,67.31,0.48,1.11,5.28,0.41,54.1,15.69,24-Jun-2019 - 00:00,994.45,"Lalbagh, Lucknow - CPCB"
24-Jun-2019 - 00:00,12.77,35.45,47.32,7.87,0.36,3.44,,,1.16,70.01,94.51,0.87,0.91,4.79,0.88,132.86,16.83,25-Jun-2019 - 00:00,994.83,"Lalbagh, Lucknow - CPCB"
25-Jun-2019 - 00:00,14.69,41.89,42.77,7.57,1.29,6.13,,,2.86,69.99,82.49,0.96,0.9,6.35,0.83,175.11,18.06,26-Jun-2019 - 00:00,994.17,"Lalbagh, Lucknow - CPCB"
26-Jun-2019 - 00:00,33.54,38.03,46.22,7.48,1.26,18.34,,,4.51,63.93,89.91,0.65,0.59,12.33,0.99,265.86,47.01,27-Jun-2019 - 00:00,991.46,"Lalbagh, Lucknow - CPCB"
27-Jun-2019 - 00:00,28.11,37.86,64.85,8.3,0.77,8.47,,,2.27,49.86,118.8,0.53,0.58,10.99,1.03,258.18,36.33,28-Jun-2019 - 00:00,987.93,"Lalbagh, Lucknow - CPCB"
28-Jun-2019 - 00:00,26.72,60.84,80.52,4.96,2.36,19.76,,,5.64,41.63,121.75,0.42,0.83,11.93,1.1,283.27,32.33,29-Jun-2019 - 00:00,986.76,"Lalbagh, Lucknow - CPCB"
29-Jun-2019 - 00:00,28.02,50.97,93.71,5.53,3.15,22.18,,,7.65,43.47,107.63,0.58,0.66,10.92,1.0,201.02,36.27,30-Jun-2019 - 00:00,986.51,"Lalbagh, Lucknow - CPCB"
30-Jun-2019 - 00:00,21.14,55.42,73.07,7.65,0.91,5.62,,,2.91,69.91,78.14,1.24,0.6,10.75,0.95,118.04,23.59,01-Jul-2019 - 00:00,987.98,"Lalbagh, Lucknow - CPCB"
01-Jul-2019 - 00:00,22.23,63.54,55.91,5.42,0.61,3.44,,,1.54,61.6,97.59,0.44,0.62,11.03,1.02,89.1,25.19,02-Jul-2019 - 00:00,988.78,"Lalbagh, Lucknow - CPCB"
02-Jul-2019 - 00:00,21.21,43.93,49.17,6.55,1.2,23.8,,,3.35,75.75,101.33,-0.11,0.71,11.83,1.06,145.85,22.08,03-Jul-2019 - 00:00,989.46,"Lalbagh, Lucknow - CPCB"
03-Jul-2019 - 00:00,19.8,33.96,21.39,6.18,1.38,8.86,,,3.28,69.6,150.71,-1.36,1.2,11.4,0.98,63.26,20.07,04-Jul-2019 - 00:00,989.69,"Lalbagh, Lucknow - CPCB"
04-Jul-2019 - 00:00,20.46,31.4,25.94,5.04,1.14,6.12,,,2.36,63.85,167.92,-1.35,0.87,10.9,0.99,81.04,22.07,05-Jul-2019 - 00:00,988.26,"Lalbagh, Lucknow - CPCB"
05-Jul-2019 - 00:00,19.87,41.98,40.26,10.71,0.38,2.1,,,0.92,69.27,145.3,-0.97,0.85,7.58,2.05,107.16,26.27,06-Jul-2019 - 00:00,985.93,"Lalbagh, Lucknow - CPCB"
06-Jul-2019 - 00:00,19.09,24.98,20.39,5.65,1.01,7.37,,,3.2,90.31,73.38,0.07,1.06,3.78,1.7,160.9,30.59,07-Jul-2019 - 00:00,985.35,"Lalbagh, Lucknow - CPCB"
07-Jul-2019 - 00:00,19.13,26.18,16.33,7.64,2.6,9.28,,,3.39,86.97,173.71,0.28,0.48,4.64,1.46,210.02,29.18,08-Jul-2019 - 00:00,986.75,"Lalbagh, Lucknow - CPCB"
08-Jul-2019 - 00:00,18.93,25.88,14.76,5.17,0.38,8.96,,,0.88,83.26,115.73,1.17,0.37,5.07,1.3,157.61,28.0,09-Jul-2019 - 00:00,988.03,"Lalbagh, Lucknow - CPCB"
09-Jul-2019 - 00:00,18.67,20.38,14.13,6.39,0.02,11.93,,,1.88,90.65,55.81,-0.57,0.68,4.57,1.05,156.7,28.27,10-Jul-2019 - 00:00,987.66,"Lalbagh, Lucknow - CPCB"
10-Jul-2019 - 00:00,21.66,21.65,24.01,6.53,0.0,1.1,,,0.11,91.15,59.12,1.13,0.62,6.78,1.3,248.02,31.5,11-Jul-2019 - 00:00,987.05,"Lalbagh, Lucknow - CPCB"
11-Jul-2019 - 00:00,21.68,25.17,20.43,5.5,0.0,0.08,,,0.01,91.15,17.22,0.43,0.64,5.05,0.76,223.41,33.56,12-Jul-2019 - 00:00,988.58,"Lalbagh, Lucknow - CPCB"
12-Jul-2019 - 00:00,21.63,23.76,40.4,10.92,0.2,18.92,,,3.8,85.32,100.93,-0.52,0.64,5.82,1.67,244.98,32.02,13-Jul-2019 - 00:00,990.62,"Lalbagh, Lucknow - CPCB"
13-Jul-2019 - 00:00,19.06,19.81,61.05,10.2,1.65,40.75,,,6.39,72.81,83.35,-0.22,0.06,7.03,1.18,225.81,25.28,14-Jul-2019 - 00:00,990.58,"Lalbagh, Lucknow - CPCB"
14-Jul-2019 - 00:00,18.96,24.97,59.5,9.27,1.11,22.22,,,2.62,70.06,117.25,0.16,0.05,6.7,1.02,226.77,25.59,15-Jul-2019 - 00:00,989.17,"Lalbagh, Lucknow - CPCB"
15-Jul-2019 - 00:00,18.79,26.55,53.53,10.54,0.13,1.48,,,0.43,76.19,101.23,-0.38,0.05,6.11,0.99,262.04,26.17,16-Jul-2019 - 00:00,989.29,"Lalbagh, Lucknow - CPCB"
16-Jul-2019 - 00:00,17.92,27.32,28.89,10.28,0.5,2.35,,,0.5,78.81,154.41,-0.8,0.04,5.46,1.12,173.31,25.49,17-Jul-2019 - 00:00,993.5,"Lalbagh, Lucknow - CPCB"
17-Jul-2019 - 00:00,16.55,29.39,32.83,7.65,0.03,0.35,,,0.07,74.54,100.02,-1.49,0.87,4.58,1.06,294.46,24.71,18-Jul-2019 - 00:00,993.66,"Lalbagh, Lucknow - CPCB"
18-Jul-2019 - 00:00,20.17,27.07,49.38,7.86,0.84,0.7,,,0.0,69.55,124.26,-0.81,0.08,5.08,1.0,279.88,30.28,19-Jul-2019 - 00:00,993.18,"Lalbagh, Lucknow - CPCB"
19-Jul-2019 - 00:00,21.0,22.0,59.01,12.12,1.59,1.3,,,0.0,73.87,91.63,0.11,0.07,8.31,1.1,127.05,26.98,20-Jul-2019 - 00:00,993.54,"Lalbagh, Lucknow - CPCB"
20-Jul-2019 - 00:00,18.33,30.88,54.81,8.63,1.03,4.93,,,1.19,73.28,98.37,0.12,0.05,5.81,0.97,119.3,25.72,21-Jul-2019 - 00:00,994.4,"Lalbagh, Lucknow - CPCB"
21-Jul-2019 - 00:00,16.98,9.82,38.47,9.42,0.39,3.5,,,1.43,79.54,55.98,0.16,0.02,5.62,,121.22,23.46,22-Jul-2019 - 00:00,993.98,"Lalbagh, Lucknow - CPCB"
22-Jul-2019 - 00:00,18.18,19.59,43.55,10.04,0.76,6.91,,,2.09,77.5,58.34,0.23,0.01,7.15,1.55,157.21,23.44,23-Jul-2019 - 00:00,992.71,"Lalbagh, Lucknow - CPCB"
23-Jul-2019 - 00:00,17.23,23.57,42.24,8.83,0.29,4.5,,,1.69,77.87,164.42,0.13,0.34,6.84,1.05,195.22,22.11,24-Jul-2019 - 00:00,991.11,"Lalbagh, Lucknow - CPCB"
24-Jul-2019 - 00:00,19.29,23.03,22.5,6.68,0.03,1.59,,,0.46,90.2,32.79,0.18,0.06,6.43,1.03,169.42,26.59,25-Jul-2019 - 00:00,991.18,"Lalbagh, Lucknow - CPCB"
25-Jul-2019 - 00:00,18.38,18.67,17.72,6.8,0.07,2.26,,,0.73,88.82,54.51,0.16,0.08,6.32,0.96,183.1,25.05,26-Jul-2019 - 00:00,992.5,"Lalbagh, Lucknow - CPCB"
26-Jul-2019 - 00:00,16.9,30.18,16.94,8.3,0.02,1.01,,,0.29,88.85,75.24,0.15,0.05,6.33,0.78,134.33,22.26,27-Jul-2019 - 00:00,989.21,"Lalbagh, Lucknow - CPCB"
27-Jul-2019 - 00:00,17.07,20.52,25.13,7.96,0.12,2.28,,,0.74,86.84,100.01,0.18,0.05,6.01,0.72,124.9,23.04,28-Jul-2019 - 00:00,989.84,"Lalbagh, Lucknow - CPCB"
28-Jul-2019 - 00:00,15.73,23.71,16.05,7.31,0.02,0.2,,,0.1,87.43,78.82,0.2,0.06,5.85,1.08,97.76,20.76,29-Jul-2019 - 00:00,991.42,"Lalbagh, Lucknow - CPCB"
29-Jul-2019 - 00:00,16.29,17.18,19.63,6.32,0.55,3.75,,,1.53,78.16,89.8,0.26,0.07,6.36,0.91,86.56,21.08,30-Jul-2019 - 00:00,992.32,"Lalbagh, Lucknow - CPCB"
30-Jul-2019 - 00:00,19.69,14.69,19.1,7.46,0.61,3.26,,,0.98,78.8,58.39,0.32,0.07,6.03,0.81,77.53,27.96,31-Jul-2019 - 00:00,991.5,"Lalbagh, Lucknow - CPCB"
31-Jul-2019 - 00:00,15.73,19.84,31.82,7.11,1.04,16.25,,,2.55,78.8,67.94,0.33,0.06,5.97,0.77,91.78,20.61,01-Aug-2019 - 00:00,990.97,"Lalbagh, Lucknow - CPCB"
01-Aug-2019 - 00:00,15.99,26.41,38.38,8.0,0.3,2.57,,,1.03,79.97,43.03,0.38,0.06,6.15,0.95,87.11,20.81,02-Aug-2019 - 00:00,990.79,"Lalbagh, Lucknow - CPCB"
02-Aug-2019 - 00:00,16.32,34.05,37.48,8.12,0.3,2.41,,,0.85,80.71,57.09,0.4,0.06,6.48,0.91,113.76,20.95,03-Aug-2019 - 00:00,989.52,"Lalbagh, Lucknow - CPCB"
03-Aug-2019 - 00:00,16.83,31.7,42.13,8.96,0.96,4.33,,,0.82,80.3,58.67,0.5,0.06,6.37,0.97,109.64,22.07,04-Aug-2019 - 00:00,989.19,"Lalbagh, Lucknow - CPCB"
04-Aug-2019 - 00:00,17.08,30.22,32.03,8.63,0.0,6.55,,,1.27,80.22,71.5,0.91,0.06,6.63,0.86,145.54,22.15,05-Aug-2019 - 00:00,988.14,"Lalbagh, Lucknow - CPCB"
05-Aug-2019 - 00:00,18.37,31.48,36.7,7.95,0.0,0.0,,,0.01,89.29,28.47,1.02,0.07,7.03,1.17,176.63,23.96,06-Aug-2019 - 00:00,987.05,"Lalbagh, Lucknow - CPCB"
06-Aug-2019 - 00:00,18.69,25.1,24.92,7.92,0.86,2.22,,,0.65,86.16,150.4,0.27,0.06,7.1,0.95,176.99,24.46,07-Aug-2019 - 00:00,986.61,"Lalbagh, Lucknow - CPCB"
07-Aug-2019 - 00:00,22.09,26.46,36.34,5.97,0.03,0.17,,,0.11,86.12,77.46,0.25,0.08,8.04,1.93,202.75,29.47,08-Aug-2019 - 00:00,985.82,"Lalbagh, Lucknow - CPCB"
08-Aug-2019 - 00:00,21.5,29.32,25.95,7.38,0.0,0.0,,,0.0,75.75,97.57,0.26,0.08,6.87,1.82,97.48,30.07,09-Aug-2019 - 00:00,985.2,"Lalbagh, Lucknow - CPCB"
09-Aug-2019 - 00:00,23.13,25.86,29.8,7.1,0.0,0.0,,,0.0,84.86,57.26,0.3,0.05,7.4,1.87,98.53,32.35,10-Aug-2019 - 00:00,988.85,"Lalbagh, Lucknow - CPCB"
10-Aug-2019 - 00:00,21.9,27.27,41.91,8.58,0.37,2.23,,,0.3,74.91,96.72,0.38,0.07,8.22,1.99,181.4,28.81,11-Aug-2019 - 00:00,991.63,"Lalbagh, Lucknow - CPCB"
11-Aug-2019 - 00:00,21.77,27.96,57.52,7.59,0.28,4.01,,,0.72,83.32,25.7,0.64,0.08,8.47,1.84,237.5,28.19,12-Aug-2019 - 00:00,992.51,"Lalbagh, Lucknow - CPCB"
12-Aug-2019 - 00:00,21.98,28.74,33.79,7.7,0.14,0.79,,,0.08,77.19,86.16,1.08,0.07,8.22,1.94,288.14,28.95,13-Aug-2019 - 00:00,991.24,"Lalbagh, Lucknow - CPCB"
13-Aug-2019 - 00:00,21.28,26.46,25.17,5.04,0.0,0.27,,,0.03,82.67,110.2,1.05,0.06,7.99,1.48,149.92,28.0,14-Aug-2019 - 00:00,992.08,"Lalbagh, Lucknow - CPCB"
14-Aug-2019 - 00:00,21.13,25.61,21.52,4.33,0.03,0.12,,,0.05,81.75,61.11,1.94,0.08,7.77,0.67,67.42,28.05,15-Aug-2019 - 00:00,992.65,"Lalbagh, Lucknow - CPCB"
15-Aug-2019 - 00:00,21.73,40.53,26.7,3.93,0.0,0.08,,,0.0,84.76,87.26,1.06,0.06,7.81,0.82,130.36,29.1,16-Aug-2019 - 00:00,993.19,"Lalbagh, Lucknow - CPCB"
16-Aug-2019 - 00:00,21.86,16.44,17.94,4.14,0.16,0.76,,,0.21,80.18,73.48,0.7,0.07,8.26,1.05,173.96,28.67,17-Aug-2019 - 00:00,993.82,"Lalbagh, Lucknow - CPCB"
17-Aug-2019 - 00:00,22.05,23.78,19.62,3.57,0.18,1.8,,,0.58,77.9,142.54,1.4,0.07,8.46,1.04,185.03,28.73,18-Aug-2019 - 00:00,995.0,"Lalbagh, Lucknow - CPCB"
18-Aug-2019 - 00:00,21.18,18.62,24.46,2.83,0.07,0.06,,,0.01,75.25,93.97,1.4,0.07,8.0,0.77,217.25,27.78,19-Aug-2019 - 00:00,996.48,"Lalbagh, Lucknow - CPCB"
19-Aug-2019 - 00:00,23.05,22.41,29.25,3.89,0.04,0.25,,,0.09,86.44,55.02,1.47,0.08,8.28,0.97,235.53,30.87,20-Aug-2019 - 00:00,997.14,"Lalbagh, Lucknow - CPCB"
20-Aug-2019 - 00:00,23.36,22.59,34.06,4.24,0.03,0.4,,,0.06,85.94,61.58,1.18,0.09,9.63,1.14,255.7,29.43,21-Aug-2019 - 00:00,996.07,"Lalbagh, Lucknow - CPCB"
21-Aug-2019 - 00:00,21.62,22.79,21.61,4.01,0.0,0.12,,,0.02,88.28,29.24,0.61,0.09,9.04,1.0,170.89,27.07,22-Aug-2019 - 00:00,994.93,"Lalbagh, Lucknow - CPCB"
22-Aug-2019 - 00:00,21.73,21.13,28.98,2.96,0.4,1.09,,,0.21,88.73,59.48,0.46,0.09,8.36,1.07,236.51,28.27,23-Aug-2019 - 00:00,994.77,"Lalbagh, Lucknow - CPCB"
23-Aug-2019 - 00:00,21.15,29.53,31.54,5.2,0.19,1.35,,,0.0,82.61,65.53,0.96,0.08,8.56,1.26,273.43,26.88,24-Aug-2019 - 00:00,994.98,"Lalbagh, Lucknow - CPCB"
24-Aug-2019 - 00:00,21.87,24.27,25.59,5.25,0.33,2.27,,,0.01,88.71,72.12,1.9,0.07,9.65,1.07,143.23,26.6,25-Aug-2019 - 00:00,995.95,"Lalbagh, Lucknow - CPCB"
25-Aug-2019 - 00:00,21.68,23.54,21.6,4.87,0.53,2.85,,,0.04,84.23,134.38,1.22,0.07,8.26,0.54,81.08,28.33,26-Aug-2019 - 00:00,995.36,"Lalbagh, Lucknow - CPCB"
26-Aug-2019 - 00:00,23.21,26.73,28.7,6.5,0.34,2.26,,,0.05,82.73,80.95,1.52,0.07,8.81,1.03,100.65,30.39,27-Aug-2019 - 00:00,994.92,"Lalbagh, Lucknow - CPCB"
27-Aug-2019 - 00:00,21.23,27.56,33.35,6.23,0.37,2.31,,,0.05,78.86,84.42,2.13,0.07,8.71,1.05,87.4,26.82,28-Aug-2019 - 00:00,993.98,"Lalbagh, Lucknow - CPCB"
