from date,AT,BP,PM10,PM2.5,RH,SR,WD,WS,Benzene,Toluene,NH3,NO,NOx,NO2,CO,Ozone,SO2,to date,station
19-Feb-2019 - 00:00,19.29,988.18,317.08,181.38,74.62,118.98,134.83,1.06,5.93,48.58,54.89,77.95,117.08,100.27,1.89,29.66,20.48,20-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
20-Feb-2019 - 00:00,18.88,992.94,275.01,134.88,79.99,42.3,96.41,1.5,5.75,39.45,55.55,88.52,120.0,90.03,1.57,8.55,20.44,21-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
21-Feb-2019 - 00:00,21.68,991.62,333.59,117.81,64.92,151.03,115.73,1.6,9.58,48.92,57.73,113.72,138.26,85.78,1.97,23.25,21.44,22-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
22-Feb-2019 - 00:00,19.2,992.1,187.58,89.81,71.53,148.51,314.79,2.28,3.68,59.53,49.22,30.79,53.42,53.33,0.97,16.97,10.25,23-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
23-Feb-2019 - 00:00,16.98,990.45,168.06,78.12,59.12,186.33,314.36,2.34,2.7,42.3,28.25,27.55,56.84,64.5,0.95,27.34,10.03,24-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
24-Feb-2019 - 00:00,18.29,987.25,188.81,105.81,53.58,171.29,276.99,1.49,3.48,38.63,30.31,32.28,64.88,72.59,1.02,33.26,12.66,25-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
25-Feb-2019 - 00:00,17.98,986.66,219.09,101.26,59.05,121.44,93.23,1.31,5.03,36.08,36.32,30.65,70.68,85.92,1.23,28.42,13.07,26-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
26-Feb-2019 - 00:00,16.25,986.79,212.12,90.35,65.32,92.72,111.39,1.44,6.44,47.35,37.86,52.66,84.56,78.31,1.07,14.9,14.36,27-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
27-Feb-2019 - 00:00,13.51,987.29,129.95,66.58,80.56,73.87,82.51,1.56,3.25,19.39,31.99,28.62,54.41,58.4,0.82,11.11,10.48,28-Feb-2019 - 00:00,"Wazirpur, Delhi - DPCC"
28-Feb-2019 - 00:00,16.03,990.66,252.24,134.65,63.8,176.08,282.92,1.63,4.27,79.36,30.2,62.41,85.99,78.79,1.36,18.92,14.49,01-Mar-2019 - 00:00,"Wazirpur, Delhi - DPCC"
