from date,Benzene,Toluene,Xylene,BP,PM2.5,RH,SR,Temp,VWS,WD,WS,RF,CO,NO,NO2,NOx,Ozone,SO2,to date,station
11-Jan-2019 - 00:00,2.22,10.24,6.64,745.43,236.43,59.79,10.36,27.63,-0.2,358.17,0.58,0.0,1.96,121.3,64.04,131.98,10.13,13.9,12-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
12-Jan-2019 - 00:00,1.58,6.21,4.1,745.45,258.64,60.72,10.53,27.59,-0.2,359.66,0.59,0.0,1.34,61.25,68.03,85.99,10.18,9.84,13-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
13-Jan-2019 - 00:00,0.71,2.35,1.66,745.31,259.83,70.91,10.66,27.57,-0.2,328.38,1.38,0.0,0.98,18.17,51.18,42.0,10.16,6.9,14-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
14-Jan-2019 - 00:00,0.04,0.28,0.52,745.26,111.81,61.43,10.09,27.43,-0.2,354.36,4.62,0.0,0.45,9.98,27.01,22.47,10.13,9.33,15-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
15-Jan-2019 - 00:00,0.62,2.72,2.29,745.23,108.52,52.77,9.74,27.48,-0.2,354.42,2.71,0.0,0.86,43.67,45.66,68.03,10.14,11.36,16-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
16-Jan-2019 - 00:00,1.48,5.83,3.74,745.34,240.56,61.07,10.17,27.57,-0.2,359.36,0.56,0.0,1.32,63.05,64.58,85.53,10.14,13.31,17-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
17-Jan-2019 - 00:00,1.25,4.72,3.98,745.34,241.85,62.19,10.14,27.5,-0.2,356.56,0.82,0.0,1.28,77.61,74.32,102.63,10.11,9.71,18-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
18-Jan-2019 - 00:00,1.38,6.16,4.42,745.38,235.64,65.68,10.2,27.39,-0.2,350.21,1.29,0.0,1.4,75.34,66.11,96.42,10.11,9.18,19-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
19-Jan-2019 - 00:00,1.99,11.04,6.44,745.57,213.2,62.05,10.71,27.27,-0.2,359.94,0.84,0.0,1.74,96.68,65.4,113.22,10.13,14.77,20-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
20-Jan-2019 - 00:00,1.7,8.24,5.85,745.83,215.95,58.67,10.71,27.16,-0.2,359.98,0.88,0.0,1.7,75.41,63.16,94.9,10.12,11.72,21-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
21-Jan-2019 - 00:00,0.27,0.97,1.23,745.31,128.54,72.12,11.57,27.64,-0.2,352.2,3.76,0.07,0.59,11.08,29.81,24.86,10.17,9.59,22-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
22-Jan-2019 - 00:00,0.34,1.52,1.14,745.35,125.2,82.55,12.15,27.97,-0.2,353.16,1.96,0.04,0.55,16.71,31.73,30.48,10.16,8.02,23-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
23-Jan-2019 - 00:00,0.12,0.85,1.06,745.31,136.03,84.11,11.28,27.38,-0.2,337.44,1.58,0.0,0.78,15.31,30.72,28.78,11.7,11.53,24-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
24-Jan-2019 - 00:00,0.19,1.12,0.89,745.32,135.67,86.44,11.6,27.45,-0.2,337.72,1.6,0.06,0.86,14.63,28.0,26.78,12.86,8.36,25-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
25-Jan-2019 - 00:00,0.05,0.44,0.75,745.24,77.38,82.49,11.33,27.44,-0.2,350.54,2.44,0.03,0.62,13.76,26.57,25.32,12.93,8.86,26-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
26-Jan-2019 - 00:00,0.04,0.91,0.72,745.25,116.1,71.75,10.5,27.26,-0.2,359.71,3.36,0.0,0.71,14.05,31.57,28.23,13.03,6.55,27-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
27-Jan-2019 - 00:00,0.03,0.46,0.53,745.09,95.62,66.74,10.31,27.38,-0.2,359.81,3.24,0.0,0.6,13.53,31.05,27.51,13.19,5.18,28-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
28-Jan-2019 - 00:00,0.02,0.16,0.5,745.23,86.19,61.52,10.07,27.31,-0.2,360.0,3.27,0.0,0.57,11.8,30.86,26.0,13.39,6.23,29-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
29-Jan-2019 - 00:00,0.33,1.38,1.07,745.25,97.28,56.43,9.98,27.36,-0.2,359.97,2.49,0.0,0.56,18.45,38.6,35.52,11.39,12.79,30-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
30-Jan-2019 - 00:00,0.36,1.58,1.26,745.36,136.86,55.1,9.81,27.34,-0.2,358.08,1.69,0.0,0.71,18.88,44.94,39.25,11.61,12.72,31-Jan-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
31-Jan-2019 - 00:00,0.18,0.75,0.72,745.34,139.99,60.0,10.56,27.65,-0.2,357.7,2.05,0.0,0.73,10.28,37.48,28.28,12.89,14.2,01-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
01-Feb-2019 - 00:00,0.08,0.5,0.63,745.54,138.95,67.46,10.98,27.62,-0.2,342.86,2.1,0.0,0.74,9.3,30.52,23.79,13.0,7.99,02-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
02-Feb-2019 - 00:00,0.2,1.0,0.99,745.01,199.79,89.27,10.2,27.23,-0.2,359.56,2.84,0.0,1.0,17.86,29.65,30.3,13.27,9.85,03-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
03-Feb-2019 - 00:00,0.3,1.31,1.56,745.16,179.28,84.3,10.71,27.53,-0.2,359.12,1.58,0.0,1.1,30.38,32.61,42.04,13.3,11.62,04-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
04-Feb-2019 - 00:00,0.84,3.23,3.58,745.31,191.78,77.94,11.01,27.55,-0.2,359.56,0.86,0.0,1.59,55.86,44.19,68.91,14.07,12.31,05-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
05-Feb-2019 - 00:00,0.61,2.32,2.21,745.59,210.29,71.03,11.17,27.37,-0.2,356.8,1.42,0.0,1.35,29.52,36.99,43.69,13.75,15.28,06-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
06-Feb-2019 - 00:00,0.07,0.51,0.56,745.51,107.61,82.84,11.15,27.26,-0.2,357.85,2.75,0.03,0.64,9.56,19.67,18.24,13.15,9.97,07-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
07-Feb-2019 - 00:00,0.01,0.33,0.39,745.43,63.29,82.61,12.71,27.99,-0.2,352.09,4.35,0.0,0.44,8.64,13.0,13.94,13.47,12.45,08-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
08-Feb-2019 - 00:00,7.13,6.05,2.52,745.34,57.95,60.29,29.89,27.97,-0.2,358.79,2.58,0.0,0.49,12.14,24.45,22.87,20.15,6.88,09-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
09-Feb-2019 - 00:00,8.42,13.68,1.44,745.3,67.61,63.27,216.01,27.08,-0.2,357.67,3.4,0.0,1.1,45.66,38.25,65.79,37.36,22.7,10-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
10-Feb-2019 - 00:00,14.42,21.16,2.48,745.39,114.41,60.61,183.33,27.16,-0.2,357.78,1.32,0.0,1.15,43.44,50.17,62.01,42.95,13.64,11-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
11-Feb-2019 - 00:00,11.85,18.34,2.5,745.51,139.21,60.05,183.52,27.15,-0.2,355.36,0.77,0.0,1.26,37.7,47.48,55.89,61.43,15.87,12-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
12-Feb-2019 - 00:00,12.72,19.65,1.86,745.68,176.11,59.05,164.41,27.18,-0.2,355.05,0.72,0.0,1.29,21.04,50.64,44.01,69.87,12.89,13-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
13-Feb-2019 - 00:00,12.7,17.54,1.12,745.72,167.97,62.71,150.3,27.12,-0.2,358.43,0.76,0.0,1.12,21.41,45.91,41.78,22.17,16.78,14-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
14-Feb-2019 - 00:00,7.52,3.25,0.43,745.55,133.73,74.88,137.02,27.56,-0.2,339.02,3.4,0.0,0.74,16.84,18.61,23.51,20.91,25.12,15-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
15-Feb-2019 - 00:00,5.58,4.45,0.49,745.42,118.03,78.0,145.27,27.17,-0.2,359.85,2.35,0.0,0.77,22.07,22.28,29.79,20.13,14.92,16-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
16-Feb-2019 - 00:00,5.23,4.9,0.44,745.3,117.92,82.1,133.44,27.02,-0.2,359.47,3.04,0.0,0.73,24.12,23.01,31.84,15.43,9.68,17-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
17-Feb-2019 - 00:00,6.8,10.66,1.33,745.5,99.16,71.66,199.66,27.05,-0.21,358.99,2.64,0.0,0.99,31.45,36.48,44.97,15.72,15.89,18-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
18-Feb-2019 - 00:00,8.19,10.34,1.07,745.78,106.68,61.72,173.17,26.89,-0.2,353.17,2.21,0.0,0.75,33.48,33.04,44.8,15.12,16.02,19-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
19-Feb-2019 - 00:00,5.35,5.53,0.53,746.12,66.03,55.99,186.58,26.77,-0.2,355.14,1.25,0.0,0.53,16.7,26.56,27.3,13.46,20.0,20-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
20-Feb-2019 - 00:00,7.14,6.36,0.53,746.03,110.67,73.51,100.26,26.97,-0.2,355.71,2.21,0.0,0.66,17.82,28.32,29.34,13.42,17.16,21-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
21-Feb-2019 - 00:00,5.21,5.11,0.59,746.04,85.07,64.64,182.79,26.57,-0.2,354.03,1.93,0.0,0.57,17.02,20.62,24.4,7.94,18.0,22-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
22-Feb-2019 - 00:00,3.48,3.41,0.44,745.74,71.88,72.05,191.1,26.86,-0.25,359.94,4.02,0.0,0.5,20.13,18.13,25.76,10.33,14.63,23-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
23-Feb-2019 - 00:00,2.95,3.11,0.51,745.41,46.7,61.69,217.27,26.82,-0.23,359.64,3.8,0.0,0.41,20.46,21.93,27.75,13.48,17.26,24-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
24-Feb-2019 - 00:00,6.6,7.26,0.9,745.67,81.85,57.72,185.85,27.0,-0.2,358.89,1.42,0.0,0.65,11.15,34.72,31.23,13.53,9.83,25-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
25-Feb-2019 - 00:00,6.93,6.41,0.85,745.73,95.91,58.48,202.98,26.76,-0.2,354.42,1.75,0.0,0.55,20.21,32.79,33.87,13.54,14.76,26-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
26-Feb-2019 - 00:00,3.4,4.64,0.54,745.32,50.83,73.53,96.86,27.61,-0.2,355.75,2.53,0.02,0.42,15.11,24.92,25.54,13.57,12.53,27-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
27-Feb-2019 - 00:00,3.92,6.48,0.69,745.27,51.06,80.93,188.02,27.32,-0.21,353.51,2.26,0.25,0.43,20.98,26.67,31.11,13.54,12.73,28-Feb-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
28-Feb-2019 - 00:00,6.55,12.55,1.29,745.44,65.35,66.01,231.24,26.91,-0.21,359.79,1.72,0.0,0.59,24.17,39.08,40.44,13.5,14.3,01-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
01-Mar-2019 - 00:00,43.64,18.43,1.78,745.6,94.76,55.91,230.93,26.89,-0.22,358.11,1.59,0.0,1.13,43.42,44.81,59.08,13.46,19.4,02-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
02-Mar-2019 - 00:00,58.41,23.34,2.34,745.45,120.31,65.21,86.93,27.37,-0.2,353.19,1.85,0.0,1.26,52.44,40.42,64.08,13.5,10.26,03-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
03-Mar-2019 - 00:00,4.99,1.09,0.37,745.69,50.43,76.55,199.59,27.55,-0.2,356.33,3.08,0.06,0.43,14.35,19.79,22.18,13.51,20.0,04-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
04-Mar-2019 - 00:00,3.9,4.24,0.47,745.68,63.56,75.59,205.58,27.02,-0.2,358.48,1.68,0.12,0.52,15.72,21.02,23.95,13.52,8.49,05-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
05-Mar-2019 - 00:00,3.02,3.81,0.58,745.57,61.31,68.17,229.83,26.86,-0.22,359.92,2.87,0.0,0.48,16.61,28.0,28.33,13.49,10.97,06-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
06-Mar-2019 - 00:00,8.12,16.1,1.74,745.67,71.59,55.68,237.8,26.78,-0.23,357.33,2.46,0.0,0.72,22.97,38.45,39.08,13.48,15.6,07-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
07-Mar-2019 - 00:00,15.79,35.1,4.09,745.96,92.79,51.68,230.97,26.67,-0.21,359.17,1.27,0.0,1.18,52.22,51.02,69.53,13.47,11.66,08-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
08-Mar-2019 - 00:00,10.38,25.39,1.63,746.04,94.41,48.52,217.53,26.58,-0.21,359.22,1.41,0.0,0.7,28.58,41.47,45.22,13.44,16.74,09-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
09-Mar-2019 - 00:00,4.81,6.05,0.52,746.08,74.62,50.94,162.77,26.79,-0.22,360.0,2.39,0.0,0.59,9.43,31.85,24.6,13.49,14.44,10-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
10-Mar-2019 - 00:00,4.27,4.92,0.49,745.98,72.39,52.0,229.78,26.75,-0.2,359.91,2.32,0.0,0.49,8.72,26.69,25.26,13.46,14.69,11-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
11-Mar-2019 - 00:00,4.65,3.88,0.43,746.25,70.88,47.32,211.79,26.39,-0.2,354.45,3.11,0.0,0.48,7.76,25.67,23.92,13.47,17.03,12-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
12-Mar-2019 - 00:00,4.39,3.83,0.43,746.17,77.06,58.93,270.94,26.75,-0.2,359.99,2.65,0.0,0.51,10.21,19.05,23.94,13.46,6.55,13-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
13-Mar-2019 - 00:00,5.61,9.19,0.8,746.25,73.45,49.72,180.6,26.55,-0.2,359.78,2.29,0.0,0.58,10.37,30.16,24.47,13.4,8.79,14-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
14-Mar-2019 - 00:00,5.47,3.61,0.4,745.93,96.2,60.81,187.18,26.79,-0.24,359.73,3.3,0.0,0.54,9.03,21.94,23.04,13.39,11.67,15-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
15-Mar-2019 - 00:00,4.0,6.19,0.51,745.88,63.73,58.92,240.46,26.94,-0.2,359.17,3.15,0.0,0.57,10.36,27.9,22.93,13.4,16.22,16-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
16-Mar-2019 - 00:00,2.62,3.46,0.42,745.81,59.21,55.42,289.66,26.63,-0.24,359.56,3.27,0.0,0.44,9.77,22.87,24.97,13.42,18.8,17-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
17-Mar-2019 - 00:00,4.84,7.47,0.82,746.54,63.56,38.2,326.94,26.75,-0.23,358.41,2.3,0.0,0.53,8.67,33.81,25.03,13.39,11.17,18-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
18-Mar-2019 - 00:00,9.2,11.83,0.9,746.25,99.69,47.57,241.95,26.52,-0.2,358.69,1.78,0.0,0.71,19.62,44.57,43.83,13.43,19.16,19-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
19-Mar-2019 - 00:00,10.26,18.13,1.11,746.45,105.33,45.69,245.11,26.23,-0.2,356.84,1.73,0.0,0.66,18.41,39.75,40.44,13.42,17.49,20-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
20-Mar-2019 - 00:00,5.92,8.02,0.85,746.64,72.78,41.9,229.46,26.17,-0.2,356.49,2.48,0.0,0.63,13.16,26.71,29.2,13.45,16.25,21-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
21-Mar-2019 - 00:00,2.88,0.77,0.37,746.58,68.84,46.0,238.54,26.17,-0.2,358.98,2.94,0.0,0.46,7.29,10.99,16.43,13.43,14.53,22-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
22-Mar-2019 - 00:00,2.14,0.83,0.36,746.34,56.14,44.62,252.6,26.68,-0.23,360.0,4.19,0.0,0.4,8.47,16.8,15.74,13.37,15.55,23-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
23-Mar-2019 - 00:00,2.09,2.32,0.44,746.25,46.98,43.62,257.52,26.68,-0.22,359.97,4.04,0.0,0.42,9.24,25.09,20.69,13.38,13.95,24-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
24-Mar-2019 - 00:00,2.55,1.88,0.39,746.54,54.26,43.3,247.68,26.35,-0.21,358.42,2.91,0.0,0.46,8.89,19.23,17.3,13.36,15.84,25-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
25-Mar-2019 - 00:00,4.22,3.98,0.51,746.4,73.1,53.47,217.67,26.6,-0.2,359.97,2.86,0.06,0.58,9.1,24.11,20.08,13.38,12.85,26-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
26-Mar-2019 - 00:00,3.54,5.49,0.6,746.33,65.68,51.3,268.3,26.63,-0.21,359.89,3.13,0.0,0.54,10.61,26.76,22.74,13.41,5.91,27-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
27-Mar-2019 - 00:00,7.68,13.63,1.73,746.49,86.45,43.55,259.89,26.33,-0.21,359.4,2.14,0.0,0.85,20.47,41.96,38.83,13.38,10.58,28-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
28-Mar-2019 - 00:00,14.4,24.29,2.33,746.92,107.45,41.25,235.62,26.1,-0.2,357.91,0.93,0.0,0.89,24.76,49.02,46.03,13.41,10.26,29-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
29-Mar-2019 - 00:00,9.12,13.74,1.15,747.0,101.38,40.76,261.88,26.43,-0.2,352.29,1.32,0.0,0.78,9.44,38.35,27.96,13.4,11.03,30-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
30-Mar-2019 - 00:00,5.56,6.77,0.46,747.18,90.58,41.92,252.47,26.91,-0.22,357.38,1.83,0.08,0.71,8.76,26.36,20.79,13.43,16.81,31-Mar-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
31-Mar-2019 - 00:00,3.78,3.33,0.45,746.51,55.4,44.69,229.71,27.25,-0.24,359.56,3.72,0.0,0.49,10.92,29.32,24.27,13.5,7.74,01-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
01-Apr-2019 - 00:00,4.25,5.46,0.55,746.8,55.65,37.73,283.48,27.02,-0.21,359.96,2.75,0.0,0.44,9.59,31.65,24.48,13.46,7.85,02-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
02-Apr-2019 - 00:00,6.53,8.62,0.72,746.91,74.31,38.32,276.58,26.78,-0.2,358.85,1.44,0.0,0.54,10.8,34.3,26.84,13.45,9.65,03-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
03-Apr-2019 - 00:00,8.02,7.64,0.63,746.95,95.11,38.73,273.98,26.85,-0.2,357.93,1.63,0.0,0.59,10.02,32.64,25.29,13.5,12.09,04-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
04-Apr-2019 - 00:00,8.49,10.04,0.8,747.09,89.42,35.08,268.64,26.7,-0.2,357.78,1.42,0.0,0.58,8.76,35.97,26.04,13.47,13.76,05-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
05-Apr-2019 - 00:00,7.72,8.85,0.71,747.19,83.75,34.41,257.89,26.88,-0.22,356.3,2.67,0.0,0.54,10.06,32.35,25.09,13.45,9.43,06-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
06-Apr-2019 - 00:00,5.15,7.51,0.67,747.41,53.92,33.22,268.1,26.54,-0.2,357.88,1.79,0.0,0.42,11.67,28.96,24.8,13.47,16.49,07-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
07-Apr-2019 - 00:00,3.11,1.01,0.39,747.24,79.78,46.58,246.67,26.46,-0.2,358.1,3.86,0.0,0.44,8.72,11.76,13.15,13.5,9.95,08-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
08-Apr-2019 - 00:00,2.8,3.92,0.61,746.99,52.48,45.97,265.94,26.85,-0.21,358.73,2.43,0.0,0.35,9.43,19.51,17.88,13.52,12.57,09-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
09-Apr-2019 - 00:00,3.11,2.61,0.5,747.08,64.42,42.99,253.08,27.06,-0.2,357.47,2.58,0.0,0.44,6.86,18.48,15.42,13.52,6.16,10-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
10-Apr-2019 - 00:00,6.75,11.17,0.69,747.42,85.34,39.55,234.53,26.61,-0.2,357.74,1.4,0.0,0.62,9.53,32.93,25.13,13.46,13.81,11-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
11-Apr-2019 - 00:00,7.88,13.55,1.03,747.43,82.73,36.08,243.99,26.91,-0.2,359.44,1.48,0.0,0.56,11.61,33.2,26.92,13.51,9.53,12-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
12-Apr-2019 - 00:00,4.78,5.94,0.54,747.34,72.39,37.24,256.1,26.84,-0.23,359.02,3.07,0.0,0.44,10.38,22.4,20.11,13.48,5.43,13-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
13-Apr-2019 - 00:00,3.89,4.75,0.38,747.35,62.88,36.52,259.94,27.0,-0.21,358.66,2.48,0.0,0.39,8.68,17.14,15.91,13.46,11.9,14-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
14-Apr-2019 - 00:00,3.84,5.06,0.51,747.24,61.2,35.85,263.06,26.99,-0.2,359.94,2.73,0.0,0.43,11.23,26.41,23.07,13.46,15.27,15-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
15-Apr-2019 - 00:00,6.17,13.97,1.62,747.45,66.04,34.54,236.56,27.14,-0.2,359.6,2.48,0.0,0.69,15.91,33.49,30.53,13.52,16.2,16-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
16-Apr-2019 - 00:00,2.71,3.74,0.63,746.46,66.51,56.24,117.52,27.33,-0.26,358.94,4.87,0.1,0.41,16.6,18.78,22.67,13.49,16.28,17-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
17-Apr-2019 - 00:00,3.36,2.14,0.45,746.21,22.53,76.06,207.33,28.72,-0.2,357.45,4.47,0.58,0.25,18.4,20.98,26.25,13.52,8.72,18-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
18-Apr-2019 - 00:00,4.67,2.66,0.86,746.44,34.26,68.69,281.16,28.16,-0.21,357.7,1.55,0.04,0.38,25.42,26.63,34.65,13.55,10.73,19-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
19-Apr-2019 - 00:00,6.85,7.52,1.08,746.56,57.91,52.03,282.68,27.85,-0.21,359.98,2.23,0.0,0.52,36.33,30.02,45.16,13.51,10.33,20-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
20-Apr-2019 - 00:00,10.3,15.57,2.13,746.82,61.86,43.0,291.55,27.48,-0.21,359.89,1.47,0.0,0.72,36.98,44.72,53.54,13.52,10.74,21-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
21-Apr-2019 - 00:00,17.84,36.91,6.63,747.03,76.55,38.81,289.44,27.47,-0.2,359.69,1.54,0.0,1.19,49.29,58.16,70.71,13.58,11.31,22-Apr-2019 - 00:00,"Sanjay Palace, Agra - UPPCB"
