from date,Benzene,Eth-Benzene,MP-Xylene,O Xylene,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
11-Jan-2019 - 00:00,3.56,6.01,2.3,6.04,764.85,253.64,82.16,0.0,46.24,150.1,16.0,230.63,1.0,1.8,51.74,50.44,50.73,99.06,24.02,9.37,12-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Jan-2019 - 00:00,3.91,6.49,2.5,6.6,764.86,266.91,90.97,0.0,49.95,150.84,15.85,249.62,1.09,1.85,51.24,51.83,47.93,98.95,24.23,16.72,13-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Jan-2019 - 00:00,2.62,3.86,1.35,3.75,764.86,239.23,84.86,0.0,50.65,151.4,16.49,215.75,0.9,1.46,43.57,29.9,46.08,75.45,28.03,15.59,14-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Jan-2019 - 00:00,2.84,4.67,1.62,4.66,764.84,212.38,81.32,0.0,46.96,149.28,16.14,230.98,0.94,1.31,36.21,27.17,46.78,73.92,40.44,14.94,15-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Jan-2019 - 00:00,4.1,6.85,2.73,7.01,764.87,251.25,90.44,0.0,43.37,153.46,15.97,230.27,0.99,2.06,42.0,49.77,47.76,97.51,30.12,15.47,16-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Jan-2019 - 00:00,3.61,5.88,2.35,6.08,764.92,251.97,83.64,0.0,40.71,156.78,17.19,252.9,1.16,1.82,40.5,44.48,55.49,97.14,31.05,14.96,17-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Jan-2019 - 00:00,4.64,7.62,3.05,8.02,764.85,252.64,84.62,0.0,35.16,154.58,18.3,216.31,0.92,2.08,48.05,68.66,50.31,117.87,34.23,14.9,18-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Jan-2019 - 00:00,4.2,7.22,3.0,7.59,764.83,249.92,74.08,0.0,39.52,152.64,17.68,236.36,1.03,2.09,72.03,78.93,67.34,145.93,33.01,15.65,19-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Jan-2019 - 00:00,3.76,6.2,2.55,6.54,764.87,228.29,75.57,0.0,38.84,157.82,18.61,252.05,1.13,1.9,73.64,65.91,63.99,129.9,32.71,15.04,20-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Jan-2019 - 00:00,3.19,5.45,2.12,5.41,764.82,197.12,65.89,0.0,36.51,151.59,19.52,246.32,1.08,1.53,65.42,41.42,51.71,93.13,34.13,13.56,21-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Jan-2019 - 00:00,2.2,3.69,1.24,3.7,764.75,199.79,50.71,0.0,42.2,146.57,19.08,257.0,1.09,1.31,39.66,16.56,31.16,46.89,29.57,14.63,22-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Jan-2019 - 00:00,0.9,3.31,0.28,0.93,764.36,117.82,39.41,0.0,65.45,94.35,14.66,280.75,1.04,0.43,26.7,11.74,36.63,36.97,23.71,13.83,23-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Jan-2019 - 00:00,1.93,3.45,1.13,3.44,764.94,162.64,46.69,0.0,44.25,163.26,16.7,285.06,0.98,1.11,31.71,28.46,50.77,79.2,35.82,11.96,24-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Jan-2019 - 00:00,1.88,2.86,0.91,2.81,764.76,167.59,63.92,0.0,59.93,144.07,15.07,257.24,0.98,0.86,72.16,39.63,107.47,147.07,43.65,13.58,25-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Jan-2019 - 00:00,1.25,2.18,0.62,2.09,764.94,103.02,37.04,0.0,49.3,163.63,14.37,252.43,0.9,1.34,98.24,43.98,115.88,159.86,49.28,9.31,26-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Jan-2019 - 00:00,1.26,2.08,0.6,2.02,764.95,112.97,37.74,0.0,40.91,164.72,13.51,200.13,0.86,0.75,94.93,48.15,116.18,162.64,50.24,13.33,27-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Jan-2019 - 00:00,1.29,1.85,0.49,1.77,764.94,125.18,43.24,0.0,34.27,164.5,13.07,226.29,0.97,0.76,69.15,22.15,13.23,35.38,45.06,13.34,28-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Jan-2019 - 00:00,2.62,4.21,1.44,4.23,764.95,175.22,51.52,0.0,35.3,166.15,13.33,213.92,0.9,1.47,75.44,49.09,35.34,84.41,26.62,11.52,29-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Jan-2019 - 00:00,3.55,5.75,2.24,5.72,764.14,249.27,76.74,0.0,45.57,64.92,11.02,269.11,1.05,1.73,78.05,52.04,107.9,142.24,19.2,17.66,30-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Jan-2019 - 00:00,3.77,5.43,2.66,5.63,764.94,204.77,70.66,0.0,36.63,166.71,14.7,231.33,0.99,1.47,81.68,10.43,75.4,85.82,27.88,15.36,31-Jan-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
31-Jan-2019 - 00:00,3.14,5.4,2.06,5.27,764.81,200.3,71.09,0.0,37.58,151.37,16.24,257.76,0.99,1.66,79.38,6.86,58.22,65.08,28.65,13.15,01-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Feb-2019 - 00:00,1.3,2.35,0.94,2.56,765.39,117.13,77.38,0.0,33.18,217.24,18.2,230.61,0.89,0.73,41.49,15.66,32.16,41.76,59.86,12.51,02-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Feb-2019 - 00:00,1.28,2.06,0.69,2.05,764.7,115.6,41.05,0.0,43.32,135.29,14.61,262.97,1.06,0.92,43.92,20.82,39.91,53.69,54.09,15.38,03-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Feb-2019 - 00:00,1.8,2.43,0.8,2.37,764.94,161.56,64.71,0.0,46.11,165.11,16.48,226.17,0.95,1.02,59.1,23.16,56.61,79.78,57.88,17.07,04-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Feb-2019 - 00:00,3.41,5.29,2.15,5.58,764.89,247.47,96.83,0.0,50.27,159.87,19.77,221.44,0.93,1.97,72.67,34.01,85.65,119.65,48.47,18.04,05-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Feb-2019 - 00:00,3.65,6.05,2.57,6.24,764.72,244.77,88.84,0.0,52.19,139.39,21.23,249.4,1.01,1.83,96.11,28.99,67.51,96.55,29.67,13.94,06-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Feb-2019 - 00:00,1.9,3.49,1.19,3.48,764.87,161.71,53.02,0.0,40.2,158.16,20.32,246.51,1.04,0.81,112.09,23.75,45.08,68.05,44.09,11.77,07-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Feb-2019 - 00:00,0.58,1.38,0.39,1.24,764.74,199.74,39.47,0.0,29.9,140.04,16.11,255.73,0.99,0.48,74.86,16.29,28.77,39.09,58.43,11.43,08-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Feb-2019 - 00:00,1.45,2.3,0.7,2.24,764.94,205.89,50.75,0.0,27.62,166.57,13.63,222.1,0.89,0.72,70.03,19.83,28.28,48.11,45.35,11.04,09-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Feb-2019 - 00:00,1.82,3.15,1.11,3.11,765.0,124.07,61.09,0.0,29.84,174.37,14.31,219.99,1.03,1.07,69.75,34.19,23.84,57.69,52.31,12.64,10-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Feb-2019 - 00:00,2.23,3.21,1.14,3.21,765.03,139.66,62.22,0.0,34.8,176.95,14.74,224.56,0.98,1.26,62.58,38.68,15.41,54.07,39.33,15.63,11-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Feb-2019 - 00:00,3.18,5.24,2.11,5.46,765.05,196.68,84.57,0.0,37.73,180.56,16.28,213.08,0.93,1.77,48.64,39.41,12.91,52.34,31.06,14.51,12-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Feb-2019 - 00:00,3.86,7.06,2.75,7.01,765.0,244.27,74.48,0.0,42.64,174.56,18.72,230.21,1.0,2.11,60.0,42.02,14.84,56.85,36.74,16.4,13-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Feb-2019 - 00:00,3.25,5.5,2.3,6.07,764.83,211.46,68.8,0.0,43.18,153.33,21.49,227.58,1.04,1.74,57.31,40.82,22.96,63.78,37.13,16.26,14-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Feb-2019 - 00:00,2.25,3.95,1.54,4.04,764.91,154.71,36.75,0.0,41.38,164.49,21.49,224.34,0.89,1.09,41.62,29.21,20.68,48.59,20.38,12.83,15-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Feb-2019 - 00:00,1.77,2.48,0.79,2.37,764.89,181.93,66.89,0.0,39.55,160.46,19.12,246.93,1.0,0.86,16.68,20.42,47.26,60.61,50.62,12.63,16-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Feb-2019 - 00:00,2.06,3.45,1.45,3.7,765.08,162.56,75.19,0.0,34.66,183.06,18.02,217.7,0.98,1.23,35.48,34.2,64.65,98.67,46.83,13.75,17-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Feb-2019 - 00:00,1.57,2.27,0.73,2.28,765.02,133.97,59.67,0.0,31.04,175.73,18.91,236.67,0.93,0.79,44.27,19.94,37.72,56.39,41.0,13.24,18-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Feb-2019 - 00:00,1.8,3.5,1.27,3.65,764.59,127.51,64.23,0.0,24.02,122.71,21.79,239.67,0.99,1.1,37.5,25.29,32.38,57.67,37.87,15.29,19-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Feb-2019 - 00:00,2.15,4.21,1.73,4.29,765.01,136.58,65.13,0.0,41.35,178.48,22.31,234.09,0.91,1.19,41.16,31.5,36.22,66.27,24.62,11.99,20-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Feb-2019 - 00:00,3.04,5.2,2.2,5.73,765.03,185.01,65.69,0.0,39.23,180.53,23.81,197.19,1.04,1.75,79.01,68.24,53.95,122.24,20.38,14.74,21-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Feb-2019 - 00:00,2.16,3.89,1.41,3.89,764.94,138.64,67.59,0.0,39.94,172.26,23.82,271.04,1.07,1.08,69.74,36.42,37.14,73.56,25.12,11.18,22-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Feb-2019 - 00:00,1.17,2.08,0.62,2.0,764.85,111.06,45.76,0.0,51.96,162.61,22.29,273.49,0.98,0.84,40.79,21.31,33.02,52.42,43.18,8.73,23-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Feb-2019 - 00:00,2.05,3.44,1.4,3.59,764.79,141.73,47.54,0.0,32.19,150.26,19.94,223.98,0.9,1.49,30.73,28.82,35.74,63.72,60.93,13.7,24-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Feb-2019 - 00:00,2.0,2.69,0.86,2.56,764.95,159.91,79.13,0.0,31.78,169.93,22.03,263.52,0.95,0.92,26.29,13.6,27.34,40.89,40.3,8.93,25-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Feb-2019 - 00:00,1.72,3.27,1.24,3.4,764.93,141.72,58.81,0.0,28.31,168.37,21.22,256.72,1.04,1.14,25.97,22.6,27.18,49.75,40.68,7.12,26-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Feb-2019 - 00:00,1.36,2.74,1.37,2.96,764.95,134.98,65.05,0.01,46.36,169.45,19.34,263.91,1.01,0.8,22.46,22.7,18.9,41.57,41.09,8.83,27-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Feb-2019 - 00:00,1.06,1.76,0.51,1.75,764.98,105.61,48.16,0.0,40.58,172.55,18.47,289.06,1.05,0.64,20.57,22.63,15.0,37.26,55.44,10.1,28-Feb-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Feb-2019 - 00:00,1.67,3.07,1.24,3.43,764.99,118.75,55.84,0.0,29.35,173.16,17.58,220.62,0.98,1.16,30.4,34.53,19.85,53.79,57.43,15.87,01-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Mar-2019 - 00:00,2.3,3.76,1.5,4.16,765.05,171.48,69.2,0.0,29.47,181.36,19.01,204.06,0.97,1.15,36.26,37.65,27.52,64.54,38.02,18.63,02-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Mar-2019 - 00:00,2.83,5.29,2.3,5.88,764.84,194.74,75.61,0.0,32.18,153.33,21.27,181.2,1.01,1.93,41.53,42.52,29.83,72.35,39.53,18.39,03-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Mar-2019 - 00:00,1.11,1.86,0.56,1.91,764.92,159.27,71.72,0.0,43.8,166.74,22.08,253.63,0.99,0.6,31.66,23.93,17.18,40.61,46.63,13.36,04-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Mar-2019 - 00:00,1.05,1.92,0.49,1.8,764.97,158.81,80.09,0.0,40.67,172.7,21.08,264.19,1.04,0.68,27.1,23.0,15.84,38.83,55.75,9.63,05-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Mar-2019 - 00:00,1.34,2.41,0.83,2.48,764.97,99.03,40.66,0.0,36.03,173.63,20.37,247.41,0.95,0.81,22.81,23.1,13.75,35.95,58.35,10.57,06-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Mar-2019 - 00:00,2.11,9.22,1.84,2.98,764.99,109.45,53.43,0.0,31.47,173.69,20.77,226.44,0.94,1.24,19.16,18.89,22.76,41.22,30.75,12.17,07-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Mar-2019 - 00:00,1.98,13.1,1.2,3.12,764.95,102.83,45.19,0.0,30.09,170.99,21.97,233.16,1.06,1.19,34.46,15.4,12.27,26.98,32.6,14.6,08-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Mar-2019 - 00:00,2.01,3.34,1.32,3.38,765.05,87.94,58.22,0.0,29.93,184.09,22.91,253.94,1.0,0.92,32.45,15.18,13.95,26.92,31.69,15.95,09-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Mar-2019 - 00:00,0.98,1.8,0.47,1.69,764.98,58.33,28.97,0.0,29.63,173.88,22.89,286.66,1.03,0.67,39.64,8.71,17.74,26.31,52.85,13.09,10-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Mar-2019 - 00:00,1.36,2.18,0.71,2.16,764.98,75.65,41.41,0.0,28.9,173.45,22.84,206.22,0.95,0.8,32.4,16.91,7.49,24.39,63.94,17.22,11-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Mar-2019 - 00:00,1.59,3.36,1.21,3.42,760.72,88.87,44.25,0.0,28.01,180.19,23.16,272.91,1.05,0.96,30.49,20.57,15.4,35.96,30.78,13.15,12-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Mar-2019 - 00:00,1.79,3.55,1.33,3.76,756.89,87.63,25.61,0.0,22.71,161.79,22.04,226.04,1.0,1.14,28.52,25.72,23.64,49.35,33.95,18.56,13-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Mar-2019 - 00:00,2.12,3.83,1.5,4.13,756.63,102.86,36.34,0.0,31.58,127.99,21.33,247.31,1.0,1.17,29.64,23.2,23.98,47.18,23.19,16.08,14-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
14-Mar-2019 - 00:00,1.37,2.5,0.76,2.38,756.99,80.37,29.61,0.0,29.92,174.79,21.98,291.1,1.0,0.8,25.91,19.91,19.27,37.84,26.82,13.69,15-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
15-Mar-2019 - 00:00,1.61,3.02,1.07,3.12,756.84,73.19,29.62,0.0,34.78,170.21,21.7,180.73,0.8,1.24,28.67,23.12,21.88,42.76,33.38,38.05,16-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
16-Mar-2019 - 00:00,1.23,2.71,0.77,2.41,756.91,78.09,28.94,0.0,28.53,162.27,22.05,216.52,0.89,0.84,23.93,20.24,20.05,40.31,43.11,18.1,17-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
17-Mar-2019 - 00:00,1.24,2.04,0.57,1.84,756.93,72.17,27.0,0.0,26.18,166.7,23.39,250.07,0.94,0.79,25.59,20.69,19.95,40.22,37.04,18.37,18-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
18-Mar-2019 - 00:00,2.72,4.93,2.24,4.85,757.01,69.14,22.98,0.0,21.63,176.44,24.16,229.34,0.92,1.27,31.38,27.41,24.94,52.03,35.98,16.63,19-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
19-Mar-2019 - 00:00,2.02,4.13,1.39,3.88,757.02,80.23,31.03,0.0,23.52,176.66,25.53,252.54,1.1,1.17,30.09,23.04,22.52,45.28,36.27,16.37,20-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
20-Mar-2019 - 00:00,1.31,2.78,0.77,2.38,757.01,66.82,26.98,0.0,24.99,176.08,25.57,229.28,1.02,0.78,27.29,20.49,17.7,38.19,37.13,12.96,21-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
21-Mar-2019 - 00:00,0.92,2.0,0.43,1.53,757.02,43.94,17.41,0.0,28.07,179.42,25.19,258.46,0.91,0.68,24.22,19.77,15.76,35.54,38.12,11.66,22-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
22-Mar-2019 - 00:00,1.35,2.72,0.78,2.49,756.95,63.23,25.79,0.0,26.46,169.66,25.7,250.15,0.91,0.87,25.81,20.27,19.0,38.85,55.97,17.85,23-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
23-Mar-2019 - 00:00,2.01,4.72,1.57,4.08,756.99,80.46,28.04,0.0,21.31,174.13,26.25,242.98,0.96,1.14,29.17,26.0,24.63,50.63,54.6,19.14,24-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
24-Mar-2019 - 00:00,1.59,3.03,0.83,2.52,757.02,88.92,34.81,0.0,25.73,176.69,27.21,261.98,1.03,0.96,28.79,23.65,20.07,43.31,35.91,14.19,25-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
25-Mar-2019 - 00:00,1.45,3.37,0.91,2.93,756.87,82.66,33.6,0.0,24.16,158.15,27.82,293.75,1.07,0.81,33.29,17.0,21.4,36.33,32.64,13.19,26-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
26-Mar-2019 - 00:00,1.94,4.15,1.38,3.99,757.08,78.55,32.96,0.0,28.42,182.59,26.98,217.75,0.91,1.24,30.68,17.65,18.28,35.91,42.98,19.48,27-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
27-Mar-2019 - 00:00,1.54,3.0,0.82,2.51,757.33,67.96,31.02,0.0,22.0,213.58,26.7,255.64,0.95,0.82,29.22,16.52,18.59,35.11,57.89,14.72,28-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
28-Mar-2019 - 00:00,2.28,5.14,1.66,4.15,756.49,99.8,45.62,0.0,29.37,104.36,25.77,273.31,1.07,1.13,24.89,21.04,28.37,35.21,22.28,16.32,29-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
29-Mar-2019 - 00:00,2.01,4.59,1.37,3.99,757.06,78.11,28.82,0.0,16.69,178.16,32.06,272.92,1.06,1.03,21.36,20.25,27.48,47.73,26.42,12.35,30-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
30-Mar-2019 - 00:00,1.53,3.75,1.07,3.17,757.01,74.35,29.19,0.0,17.55,174.1,31.8,254.18,1.01,1.01,25.73,17.48,31.7,48.62,38.81,11.87,31-Mar-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
31-Mar-2019 - 00:00,1.23,2.5,0.57,1.89,756.89,69.01,28.94,0.0,20.37,158.82,30.3,253.18,0.99,0.82,29.62,15.39,29.27,42.9,47.57,14.85,01-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
01-Apr-2019 - 00:00,1.73,3.72,1.18,3.34,756.79,72.0,27.68,0.0,16.69,150.53,29.69,283.16,1.02,0.66,28.32,21.81,35.18,51.42,39.38,16.23,02-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
02-Apr-2019 - 00:00,2.06,4.3,1.4,3.9,756.99,72.06,35.34,0.0,14.33,171.32,30.18,272.9,1.01,1.16,29.59,23.79,36.05,58.12,38.64,11.45,03-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
03-Apr-2019 - 00:00,2.12,4.56,1.34,3.79,757.01,73.54,27.86,0.0,17.03,174.17,31.14,262.37,1.01,1.03,29.71,25.46,34.45,58.18,35.34,13.95,04-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
04-Apr-2019 - 00:00,2.29,5.18,1.74,4.78,756.83,80.53,30.78,0.0,19.0,155.14,32.51,267.74,1.02,1.16,31.45,26.85,29.82,56.7,31.19,15.12,05-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
05-Apr-2019 - 00:00,1.69,39.98,37.62,38.67,756.96,76.18,30.1,0.0,18.37,170.52,32.86,270.78,1.02,0.92,36.59,23.35,35.93,58.85,41.53,13.86,06-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
06-Apr-2019 - 00:00,1.28,3.22,0.8,2.47,757.06,78.78,34.93,0.0,20.33,176.22,31.96,244.91,0.94,0.64,42.34,27.63,38.69,66.16,43.39,13.13,07-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
07-Apr-2019 - 00:00,0.94,2.4,0.47,1.64,757.04,77.57,33.03,0.0,20.73,173.26,32.78,240.88,0.96,0.77,26.79,10.2,9.39,19.44,43.42,11.02,08-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
08-Apr-2019 - 00:00,1.48,3.29,0.9,2.8,757.07,75.11,30.52,0.0,21.6,180.13,31.58,239.28,1.04,0.69,28.42,12.25,12.79,24.86,39.29,14.86,09-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
09-Apr-2019 - 00:00,1.11,2.74,0.68,2.28,757.02,84.67,31.71,0.0,20.62,177.15,32.7,285.6,1.03,0.84,27.44,10.17,9.68,19.81,47.72,10.76,10-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
10-Apr-2019 - 00:00,0.82,4.24,0.59,1.75,757.0,58.48,24.93,0.0,19.28,174.68,32.97,291.6,1.02,0.7,21.22,7.89,11.46,19.12,40.74,10.13,11-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
11-Apr-2019 - 00:00,1.22,3.0,0.8,2.53,757.06,63.11,31.66,0.0,16.94,180.1,33.5,266.99,1.04,0.93,15.27,9.88,16.47,26.34,40.38,10.25,12-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
12-Apr-2019 - 00:00,1.07,2.68,0.67,2.27,757.01,60.89,28.3,0.0,16.23,175.39,33.48,276.54,0.93,0.69,13.33,11.24,17.95,29.18,42.97,11.51,13-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
13-Apr-2019 - 00:00,1.39,3.23,0.9,2.73,757.04,66.83,28.84,0.0,18.57,179.74,32.79,249.44,0.97,0.82,15.25,12.35,21.96,34.3,50.8,13.73,14-Apr-2019 - 00:00,"Ashok Nagar, Udaipur - RSPCB"
