from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Eth-Benzene,MP-Xylene,to date,station
16-Jan-2019 - 00:00,48.82,58.89,44.43,53.69,29.96,1.52,37.85,167.89,245.76,5.82,0.21,5.69,4.5,17-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
17-Jan-2019 - 00:00,48.66,35.95,15.93,58.07,37.22,1.65,48.57,228.18,265.63,8.96,0.07,6.62,5.39,18-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
18-Jan-2019 - 00:00,28.08,15.42,3.73,61.94,11.37,1.34,43.38,146.96,165.74,5.18,0.07,5.61,4.63,19-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
19-Jan-2019 - 00:00,46.77,75.4,66.35,54.42,28.98,1.79,21.49,159.42,233.34,10.72,8.07,13.8,11.27,20-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
20-Jan-2019 - 00:00,60.94,36.62,8.77,52.99,64.19,1.96,53.96,164.27,332.91,15.26,0.0,15.38,13.21,21-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
21-Jan-2019 - 00:00,32.38,17.47,3.49,46.11,32.44,1.3,68.31,89.63,192.24,6.74,0.0,5.52,4.98,22-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
22-Jan-2019 - 00:00,32.11,18.47,4.92,48.77,14.39,1.06,32.79,40.97,46.34,4.7,0.0,11.44,9.68,23-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
23-Jan-2019 - 00:00,28.03,18.17,7.21,47.84,26.03,1.27,24.63,67.15,92.0,5.41,0.0,10.43,8.4,24-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
24-Jan-2019 - 00:00,30.74,24.81,13.71,47.88,24.77,1.5,31.85,98.64,148.66,5.8,0.0,7.8,6.2,25-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
25-Jan-2019 - 00:00,22.16,12.61,4.09,50.88,23.27,1.23,37.51,64.36,106.15,4.3,0.0,8.99,6.82,26-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
26-Jan-2019 - 00:00,18.78,10.38,3.51,47.1,17.61,1.27,44.35,71.75,99.65,2.74,0.0,5.79,4.23,27-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
27-Jan-2019 - 00:00,18.75,10.36,3.5,45.13,14.91,1.33,41.77,81.11,107.21,2.76,0.0,5.02,3.76,28-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
28-Jan-2019 - 00:00,15.21,6.65,2.22,42.28,14.86,1.24,47.56,63.86,90.68,3.19,6.36,2.7,2.5,29-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
29-Jan-2019 - 00:00,15.24,5.5,1.74,47.51,17.26,1.34,46.78,68.46,101.05,4.83,12.77,3.49,3.65,30-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
30-Jan-2019 - 00:00,24.85,14.3,6.7,52.38,28.38,1.53,42.91,95.8,142.03,5.64,14.87,4.68,4.9,31-Jan-2019 - 00:00,"Murthal, Sonipat - HSPCB"
31-Jan-2019 - 00:00,43.48,33.66,19.25,46.89,37.99,1.73,32.56,133.81,221.47,6.48,17.61,7.15,7.57,01-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
01-Feb-2019 - 00:00,31.89,15.46,4.12,46.24,24.67,1.86,34.0,147.03,280.59,6.17,17.42,5.44,5.86,02-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
02-Feb-2019 - 00:00,18.79,8.42,3.86,49.29,11.36,2.03,22.79,106.51,184.49,6.98,17.95,5.03,5.26,03-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
03-Feb-2019 - 00:00,14.76,6.34,3.9,39.92,9.59,2.33,19.24,83.68,176.11,5.54,14.27,3.75,3.88,04-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
04-Feb-2019 - 00:00,21.71,10.05,4.92,39.03,7.93,2.58,45.35,82.79,176.54,2.57,7.09,2.2,2.69,05-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
05-Feb-2019 - 00:00,56.48,58.77,44.1,52.05,24.01,3.23,47.84,187.97,251.99,7.95,21.77,9.91,10.0,06-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
06-Feb-2019 - 00:00,51.89,30.84,12.26,54.87,38.45,2.54,33.66,213.46,296.24,5.9,16.87,6.29,8.01,07-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
07-Feb-2019 - 00:00,27.45,11.34,3.86,51.2,10.7,0.86,8.03,71.6,111.84,4.94,13.62,3.79,4.55,08-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
08-Feb-2019 - 00:00,20.59,8.69,5.03,55.96,14.95,0.89,29.27,48.3,104.01,5.89,15.5,3.82,4.05,09-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
09-Feb-2019 - 00:00,15.32,4.71,3.49,49.04,33.53,1.4,35.29,56.62,96.92,5.17,13.74,3.43,3.56,10-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
10-Feb-2019 - 00:00,17.36,5.67,3.37,44.84,49.0,2.05,46.15,87.88,120.22,6.4,17.25,4.23,4.43,11-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
11-Feb-2019 - 00:00,17.53,5.83,3.46,45.13,34.18,2.48,55.1,105.92,127.67,6.24,17.3,4.16,4.49,12-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
12-Feb-2019 - 00:00,22.77,9.43,4.24,53.59,34.89,2.77,61.78,115.9,138.51,7.69,21.23,5.68,6.04,13-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
13-Feb-2019 - 00:00,45.44,30.6,16.16,63.87,16.22,3.36,55.19,148.76,198.65,7.68,21.55,10.66,9.81,14-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
14-Feb-2019 - 00:00,50.5,29.29,12.12,70.4,28.56,3.89,21.81,160.28,210.22,7.23,20.75,8.82,10.11,15-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
15-Feb-2019 - 00:00,22.2,12.75,3.67,87.49,8.2,1.07,29.92,89.04,133.2,3.5,9.83,3.36,4.03,16-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
16-Feb-2019 - 00:00,16.38,14.41,6.06,79.26,7.88,1.34,23.94,71.45,94.63,8.38,22.68,7.23,9.17,17-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
17-Feb-2019 - 00:00,23.22,19.71,8.22,104.92,10.49,1.27,38.98,48.42,91.65,15.21,41.71,13.41,16.78,18-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
18-Feb-2019 - 00:00,38.34,28.81,9.71,70.46,20.54,1.47,39.46,70.55,127.15,12.78,36.88,12.14,15.42,19-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
19-Feb-2019 - 00:00,30.2,22.24,7.84,53.62,15.15,2.0,39.92,98.92,163.4,6.93,20.32,7.45,9.78,20-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
20-Feb-2019 - 00:00,23.05,18.46,6.76,31.6,13.14,2.79,24.04,75.31,129.8,2.13,6.66,2.52,3.68,21-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
21-Feb-2019 - 00:00,21.26,18.27,7.7,24.64,17.91,2.63,35.01,50.2,102.1,1.63,5.43,2.26,3.33,22-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
22-Feb-2019 - 00:00,9.28,8.94,3.99,33.7,6.41,2.55,36.9,51.19,181.23,2.14,6.82,2.03,2.75,23-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
23-Feb-2019 - 00:00,8.32,8.11,3.6,35.31,11.89,2.29,51.05,42.16,55.09,1.77,5.72,1.36,1.81,24-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
24-Feb-2019 - 00:00,11.86,10.78,4.5,35.38,18.07,2.27,52.44,59.58,77.04,3.12,10.01,2.4,3.09,25-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
25-Feb-2019 - 00:00,18.78,24.74,17.57,31.34,21.04,2.3,55.81,70.64,106.31,2.42,7.81,2.2,2.93,26-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
26-Feb-2019 - 00:00,26.47,22.46,9.52,27.84,28.79,2.3,27.49,53.87,87.52,1.28,4.86,1.92,2.5,27-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
27-Feb-2019 - 00:00,19.09,14.41,6.05,28.39,13.86,2.17,38.27,29.26,46.96,2.1,6.83,2.12,2.65,28-Feb-2019 - 00:00,"Murthal, Sonipat - HSPCB"
28-Feb-2019 - 00:00,18.79,14.98,8.47,37.99,14.7,2.18,46.42,49.76,72.77,1.88,6.2,1.78,2.35,01-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
01-Mar-2019 - 00:00,16.96,9.95,3.38,38.72,16.01,2.13,52.01,56.89,71.55,2.19,7.26,1.76,2.28,02-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
02-Mar-2019 - 00:00,28.83,19.44,7.54,40.98,23.03,2.5,24.46,84.91,118.16,2.87,9.78,3.67,4.99,03-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
03-Mar-2019 - 00:00,23.93,22.14,15.53,31.48,20.06,2.8,45.15,55.55,73.51,2.57,8.7,2.61,3.65,04-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
04-Mar-2019 - 00:00,15.0,32.91,40.91,29.54,15.92,4.47,30.68,56.79,83.18,2.98,9.79,2.74,4.05,05-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
05-Mar-2019 - 00:00,11.55,8.72,3.21,49.74,20.46,3.41,42.16,38.52,58.09,2.07,7.1,1.78,2.51,06-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
06-Mar-2019 - 00:00,10.03,9.08,2.61,60.56,25.78,4.82,55.01,45.92,72.48,2.49,8.51,2.0,2.69,07-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
07-Mar-2019 - 00:00,16.29,13.75,4.31,68.03,31.73,2.81,52.2,56.59,93.03,2.06,7.41,2.03,2.8,08-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
08-Mar-2019 - 00:00,20.36,19.0,8.21,76.7,44.44,0.46,50.94,59.15,121.82,1.97,6.49,2.63,3.53,09-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
09-Mar-2019 - 00:00,14.82,11.66,3.32,75.59,31.76,0.41,48.97,55.0,117.88,2.41,7.79,2.44,3.57,10-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
10-Mar-2019 - 00:00,16.56,15.82,8.68,68.89,18.74,0.46,59.04,45.65,83.75,2.42,8.55,2.1,2.83,11-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
11-Mar-2019 - 00:00,29.94,19.31,4.3,67.36,31.0,0.61,61.43,67.51,164.09,1.63,6.09,2.41,3.53,12-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
12-Mar-2019 - 00:00,17.36,12.02,3.41,67.83,18.45,0.45,51.85,41.55,108.15,1.86,6.78,2.01,2.0,13-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
13-Mar-2019 - 00:00,23.39,16.12,4.58,68.05,33.92,0.66,47.79,66.43,154.9,1.87,6.58,2.35,3.63,14-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
14-Mar-2019 - 00:00,23.35,21.75,11.82,71.94,28.17,0.8,27.71,63.35,143.32,1.89,6.61,2.51,3.84,15-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
15-Mar-2019 - 00:00,16.39,12.3,4.38,68.5,23.28,0.69,42.91,40.25,112.03,1.28,4.77,1.33,1.73,16-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
16-Mar-2019 - 00:00,12.95,9.07,2.61,71.29,21.9,0.77,59.19,42.15,79.51,1.84,6.83,1.69,2.28,17-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
17-Mar-2019 - 00:00,14.12,9.56,2.46,68.51,28.18,1.1,69.07,53.21,90.98,2.15,8.01,1.95,2.63,18-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
18-Mar-2019 - 00:00,16.58,11.2,2.89,80.12,31.34,1.32,67.35,58.95,97.08,2.17,8.38,2.5,3.48,19-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
19-Mar-2019 - 00:00,18.34,13.09,4.13,83.51,34.29,2.75,60.51,63.4,122.52,1.71,7.04,2.23,3.16,20-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
20-Mar-2019 - 00:00,31.27,21.62,6.33,72.53,50.79,2.91,68.49,86.95,235.15,1.59,6.99,2.49,3.64,21-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
21-Mar-2019 - 00:00,18.25,12.28,3.16,75.31,37.24,0.65,47.12,72.17,124.96,1.96,8.14,2.27,3.2,22-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
22-Mar-2019 - 00:00,10.46,7.42,2.28,65.42,26.71,0.37,64.2,36.28,81.97,1.74,6.78,1.49,1.92,23-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
23-Mar-2019 - 00:00,10.02,7.12,2.12,73.45,27.35,0.45,67.44,38.0,79.63,1.83,8.25,1.71,1.86,24-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
24-Mar-2019 - 00:00,10.63,7.5,2.19,71.87,27.97,0.47,47.18,39.88,76.59,2.12,9.33,2.03,2.34,25-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
25-Mar-2019 - 00:00,13.02,8.96,2.43,77.54,37.81,0.55,38.26,50.13,88.68,1.82,8.15,1.95,2.39,26-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
26-Mar-2019 - 00:00,13.04,8.52,2.44,80.17,33.84,0.59,58.46,57.11,97.53,1.63,7.6,1.85,2.3,27-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
27-Mar-2019 - 00:00,14.26,8.35,2.2,82.77,39.94,0.59,76.65,52.17,98.4,1.81,8.44,1.96,2.33,28-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
28-Mar-2019 - 00:00,17.25,10.35,2.75,85.53,44.79,0.72,72.9,69.79,121.28,1.51,7.22,1.98,2.74,29-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
29-Mar-2019 - 00:00,13.7,10.47,5.17,70.6,42.87,0.74,59.94,79.1,143.4,1.44,6.88,2.04,2.82,30-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
30-Mar-2019 - 00:00,20.99,22.29,15.27,94.3,48.44,0.8,51.45,94.91,183.4,1.08,5.21,2.4,3.49,31-Mar-2019 - 00:00,"Murthal, Sonipat - HSPCB"
31-Mar-2019 - 00:00,13.0,8.15,2.74,84.6,37.95,0.46,64.48,54.95,133.05,1.31,5.87,1.58,2.02,01-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
01-Apr-2019 - 00:00,11.6,6.91,2.13,71.46,41.64,0.45,79.58,38.08,111.2,0.86,4.12,1.06,1.31,02-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
02-Apr-2019 - 00:00,18.45,13.09,5.35,69.43,51.08,0.61,86.88,63.98,131.89,1.03,5.14,1.6,1.97,03-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
03-Apr-2019 - 00:00,17.89,12.16,4.54,78.38,47.5,0.66,79.63,56.48,102.1,0.93,4.51,1.42,1.74,04-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
04-Apr-2019 - 00:00,30.48,31.8,23.05,99.27,67.22,0.97,73.65,92.99,164.36,0.82,4.1,1.81,2.57,05-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
05-Apr-2019 - 00:00,26.55,16.3,4.06,89.32,49.77,0.96,62.31,84.28,174.18,0.73,3.61,1.4,2.17,06-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
06-Apr-2019 - 00:00,24.89,20.61,12.7,38.36,34.61,1.02,62.96,101.04,230.5,0.29,1.47,0.75,1.19,07-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
07-Apr-2019 - 00:00,17.12,12.68,5.04,68.92,34.9,0.98,56.41,127.6,299.09,1.32,6.58,2.09,2.8,08-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
08-Apr-2019 - 00:00,20.73,13.83,4.77,39.92,38.07,0.73,57.13,140.66,320.27,1.26,6.4,1.81,2.33,09-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
09-Apr-2019 - 00:00,24.07,18.54,8.45,26.9,44.44,1.1,65.08,95.28,199.5,1.6,8.3,3.09,3.19,10-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
10-Apr-2019 - 00:00,21.17,14.65,5.54,42.3,29.45,0.87,60.96,82.44,162.1,1.59,7.8,3.65,3.83,11-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
11-Apr-2019 - 00:00,17.57,14.35,7.5,41.56,43.44,0.81,61.08,60.66,151.17,2.13,9.65,2.88,3.61,12-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
12-Apr-2019 - 00:00,12.76,7.52,3.41,13.47,24.57,0.56,64.63,47.55,159.29,1.03,5.25,1.45,1.8,13-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
13-Apr-2019 - 00:00,14.6,9.38,5.21,16.16,31.99,0.48,53.93,61.19,156.73,1.12,5.48,1.62,1.94,14-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
14-Apr-2019 - 00:00,10.1,6.23,4.23,5.71,31.24,0.46,53.53,53.25,150.06,1.29,6.3,1.8,2.08,15-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
15-Apr-2019 - 00:00,12.67,7.59,4.22,3.85,35.32,0.45,57.4,48.05,146.22,0.96,4.59,1.25,1.62,16-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
16-Apr-2019 - 00:00,16.6,9.65,4.25,26.84,26.2,0.4,65.0,41.15,120.91,0.47,2.27,0.81,1.19,17-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
17-Apr-2019 - 00:00,20.81,12.3,4.8,36.86,26.59,0.43,53.61,26.4,91.24,0.53,2.71,1.08,1.34,18-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
18-Apr-2019 - 00:00,18.9,11.13,4.58,15.75,29.59,0.46,55.88,31.71,63.21,0.66,3.55,1.36,1.5,19-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
19-Apr-2019 - 00:00,14.79,8.68,4.21,7.31,37.08,0.48,59.91,49.21,91.4,0.71,3.52,0.99,1.42,20-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
20-Apr-2019 - 00:00,17.34,10.12,4.38,10.69,32.7,0.54,73.37,53.29,109.63,0.67,3.42,1.0,1.42,21-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
21-Apr-2019 - 00:00,21.23,12.25,4.73,4.63,33.32,0.64,65.78,67.44,163.89,0.7,3.68,1.36,1.89,22-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
22-Apr-2019 - 00:00,34.29,23.12,9.51,4.46,33.03,0.77,64.69,83.53,193.5,0.64,3.32,1.69,2.47,23-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
23-Apr-2019 - 00:00,28.98,19.42,8.36,3.63,32.5,0.75,69.16,73.91,220.6,0.8,3.83,1.33,2.12,24-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
24-Apr-2019 - 00:00,23.54,13.67,4.71,3.54,27.05,0.99,71.4,102.55,300.55,0.44,2.04,1.01,1.67,25-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
25-Apr-2019 - 00:00,21.21,12.28,4.52,6.25,27.03,0.87,71.08,89.75,300.27,0.39,1.95,0.67,1.2,26-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
26-Apr-2019 - 00:00,24.95,15.47,6.05,15.99,37.5,0.64,79.25,77.0,219.73,0.44,2.14,0.82,1.46,27-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
27-Apr-2019 - 00:00,19.42,11.72,4.99,10.66,35.67,0.43,53.85,68.59,338.76,0.53,2.8,0.85,1.38,28-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
28-Apr-2019 - 00:00,19.96,11.69,4.6,9.89,32.34,0.44,55.89,65.06,289.43,0.84,3.3,1.0,1.57,29-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
29-Apr-2019 - 00:00,21.61,13.13,5.32,12.94,36.82,0.54,58.18,68.37,260.12,0.99,22.42,0.97,1.45,30-Apr-2019 - 00:00,"Murthal, Sonipat - HSPCB"
30-Apr-2019 - 00:00,39.64,22.71,5.55,29.27,55.58,0.72,93.13,164.04,276.85,1.76,63.1,0.98,1.29,01-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
01-May-2019 - 00:00,33.17,18.71,4.74,22.35,36.22,0.69,89.31,111.07,245.3,1.24,56.62,0.9,1.12,02-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
02-May-2019 - 00:00,23.81,13.28,4.07,13.27,29.01,0.55,94.47,102.44,224.27,0.9,55.46,0.57,0.82,03-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
03-May-2019 - 00:00,21.93,12.56,4.4,11.64,31.09,0.61,80.74,50.29,91.78,0.92,57.56,0.51,0.75,04-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
04-May-2019 - 00:00,14.59,8.4,4.0,9.46,38.5,0.59,88.28,65.51,149.96,0.84,58.88,0.45,0.7,05-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
05-May-2019 - 00:00,19.88,11.31,4.18,21.48,35.51,0.76,90.47,90.97,195.54,0.98,62.55,0.44,0.73,06-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
06-May-2019 - 00:00,24.09,10.77,5.15,26.49,41.68,0.95,94.16,141.13,225.55,1.7,54.06,0.57,1.21,07-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
07-May-2019 - 00:00,23.11,10.18,4.98,26.45,47.37,0.93,74.69,173.0,309.38,2.6,64.45,0.99,1.59,08-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
08-May-2019 - 00:00,28.58,15.32,7.59,36.27,58.5,1.19,86.9,169.06,349.38,3.67,0.46,1.75,1.83,09-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
09-May-2019 - 00:00,19.87,8.5,5.06,22.31,50.25,1.14,72.21,174.46,385.99,4.25,0.46,1.67,2.09,10-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
10-May-2019 - 00:00,22.56,12.44,5.21,24.8,25.92,0.74,87.59,128.0,367.5,2.58,0.51,1.52,1.82,11-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
11-May-2019 - 00:00,30.27,25.87,11.71,40.22,37.4,0.7,88.71,75.23,173.01,2.08,0.3,1.55,2.66,12-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
12-May-2019 - 00:00,22.73,15.94,4.2,21.41,30.75,0.94,92.91,125.94,287.41,2.17,0.38,1.36,1.57,13-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
13-May-2019 - 00:00,28.91,19.73,4.91,28.88,46.84,0.99,83.97,112.62,221.86,4.35,0.37,1.83,2.22,14-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
14-May-2019 - 00:00,20.86,13.74,4.51,18.77,24.67,0.77,45.97,54.24,91.79,2.43,4.07,2.53,3.01,15-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
15-May-2019 - 00:00,17.8,9.21,5.45,20.71,21.71,1.58,42.72,88.75,153.89,5.47,1.14,2.51,2.77,16-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
16-May-2019 - 00:00,13.0,3.82,3.49,9.82,19.62,1.36,59.91,77.46,160.68,4.34,1.42,1.6,2.48,17-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
17-May-2019 - 00:00,15.73,6.01,5.47,15.23,26.51,0.97,70.55,118.89,297.7,4.54,2.29,3.42,4.53,18-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
18-May-2019 - 00:00,10.13,1.89,3.26,6.93,22.85,1.05,70.85,42.21,72.36,2.85,2.17,1.82,2.35,19-May-2019 - 00:00,"Murthal, Sonipat - HSPCB"
