from date,NO2,NH3,NO,NOx,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WD,RH,BP,Toluene,to date,station
22-Jan-2019 - 00:00,14.08,3.64,8.16,14.12,9.86,0.64,16.0,82.42,189.79,0.44,25.57,171.77,48.06,711.36,0.75,23-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Jan-2019 - 00:00,14.82,3.33,6.83,16.64,12.22,0.64,17.45,72.51,162.03,0.37,25.29,175.77,49.16,711.11,0.96,24-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Jan-2019 - 00:00,12.89,1.78,3.29,19.52,11.63,0.6,24.26,55.32,122.16,0.25,25.11,162.26,49.54,711.48,0.49,25-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Jan-2019 - 00:00,18.25,4.14,7.53,25.82,8.26,0.47,18.96,42.81,120.98,0.34,25.52,178.48,51.5,710.95,0.65,26-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Jan-2019 - 00:00,15.54,11.41,8.29,21.54,7.54,0.61,21.39,52.47,112.81,0.22,22.56,193.9,48.94,711.07,0.64,27-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Jan-2019 - 00:00,14.07,12.83,5.59,12.03,10.33,0.61,15.72,36.62,68.96,0.23,23.01,175.02,61.41,711.08,0.51,28-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Jan-2019 - 00:00,22.09,9.34,13.74,22.88,11.79,0.71,13.33,29.81,51.64,0.13,24.88,129.26,69.47,711.6,0.42,29-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Jan-2019 - 00:00,20.04,4.87,12.9,21.15,15.62,0.4,21.95,34.82,61.62,0.15,27.69,91.58,57.86,712.19,0.28,30-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Jan-2019 - 00:00,17.03,12.86,4.44,12.53,13.15,0.63,20.87,43.97,71.63,0.18,26.61,119.25,54.81,712.6,0.38,31-Jan-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Jan-2019 - 00:00,11.06,14.18,1.02,6.39,11.54,0.6,24.23,40.46,67.72,0.13,24.63,131.39,54.88,712.09,0.34,01-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Feb-2019 - 00:00,10.88,14.16,0.97,5.98,6.33,0.71,22.11,42.65,72.55,0.14,19.36,146.9,54.64,711.92,0.47,02-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Feb-2019 - 00:00,11.26,14.36,1.44,6.44,8.77,0.69,22.41,38.31,71.12,0.14,22.52,150.5,50.04,710.84,0.36,03-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Feb-2019 - 00:00,12.08,14.09,1.48,7.01,11.78,0.58,21.16,37.54,70.84,0.19,24.94,162.03,53.69,712.04,0.37,04-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Feb-2019 - 00:00,8.56,14.34,1.27,4.98,8.5,0.65,18.5,29.07,54.29,0.19,24.72,146.33,53.92,713.69,0.23,05-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Feb-2019 - 00:00,6.35,14.38,0.89,3.51,7.51,0.56,25.21,36.1,61.81,0.11,24.63,133.64,53.05,713.33,0.14,06-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Feb-2019 - 00:00,13.92,19.3,4.31,10.31,7.94,0.42,25.14,50.97,102.97,0.14,25.33,173.88,46.42,711.26,0.22,07-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Feb-2019 - 00:00,9.22,15.48,0.86,4.98,9.32,0.75,22.75,38.13,79.98,0.13,22.89,108.63,35.83,713.71,0.27,14-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Feb-2019 - 00:00,13.23,15.65,1.49,7.64,9.92,0.71,18.66,38.52,85.27,0.24,22.07,172.42,47.57,712.0,0.38,15-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Feb-2019 - 00:00,11.79,15.63,1.29,6.71,9.7,0.51,17.79,34.24,70.39,0.14,24.08,160.83,51.33,711.71,0.51,16-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Feb-2019 - 00:00,22.91,14.81,2.64,13.73,10.27,0.55,17.55,41.7,103.07,0.3,23.61,207.2,42.45,711.44,1.64,17-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Feb-2019 - 00:00,17.31,15.73,1.55,9.86,9.33,0.65,17.4,45.52,108.08,0.24,24.46,248.34,38.57,710.46,1.21,18-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Feb-2019 - 00:00,20.01,15.04,2.79,12.3,7.98,0.74,15.07,32.9,91.8,0.24,26.2,181.49,31.71,709.01,1.12,19-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Feb-2019 - 00:00,11.79,18.4,1.41,6.73,10.23,0.7,16.28,48.23,108.22,0.14,23.47,157.3,50.19,709.75,0.38,20-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Feb-2019 - 00:00,5.91,17.95,1.1,3.43,8.72,0.52,14.85,23.43,57.43,0.1,22.2,137.45,50.31,712.48,0.13,21-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Feb-2019 - 00:00,11.39,15.3,1.21,6.43,10.29,0.55,15.76,34.67,73.71,0.11,23.63,141.46,44.06,714.16,0.39,22-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Feb-2019 - 00:00,15.82,15.46,2.99,10.26,9.03,0.74,16.02,35.5,105.44,0.45,23.71,139.88,31.91,712.48,0.62,23-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Feb-2019 - 00:00,19.83,15.47,2.25,11.78,9.75,0.56,18.85,38.18,126.4,0.31,23.5,179.47,24.83,710.74,1.53,24-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Feb-2019 - 00:00,15.09,18.94,4.77,10.64,11.31,0.93,18.84,33.11,92.4,0.25,24.03,176.61,27.37,710.09,1.13,25-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Feb-2019 - 00:00,22.11,16.01,7.24,19.75,10.48,0.42,14.05,28.46,82.95,0.26,21.26,173.34,24.65,708.62,1.36,26-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Feb-2019 - 00:00,26.76,16.95,6.82,19.77,16.3,0.54,24.24,43.07,113.99,0.22,21.35,212.22,30.54,707.44,1.41,27-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Feb-2019 - 00:00,36.97,17.07,8.07,26.22,11.47,0.56,17.68,49.29,138.78,0.29,23.47,214.28,39.17,706.79,1.51,28-Feb-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Feb-2019 - 00:00,29.47,16.44,6.98,21.35,12.9,0.63,19.08,41.86,129.68,0.25,22.95,224.05,29.04,707.85,1.28,01-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Mar-2019 - 00:00,20.34,18.88,6.82,16.38,11.44,0.75,22.98,54.97,110.76,0.13,23.59,148.64,38.66,708.2,0.4,02-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Mar-2019 - 00:00,15.66,18.15,6.39,13.52,9.0,0.66,23.54,36.95,79.1,0.1,23.89,142.22,50.29,709.15,0.27,03-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Mar-2019 - 00:00,20.34,17.14,6.57,16.17,6.16,0.57,17.71,26.76,64.34,0.14,25.17,151.58,44.8,708.93,0.75,04-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Mar-2019 - 00:00,20.7,18.14,6.61,16.39,5.04,0.71,22.64,35.0,77.04,0.18,23.07,190.68,43.66,707.72,0.77,05-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Mar-2019 - 00:00,30.92,17.23,7.43,22.49,6.5,0.59,18.41,42.8,113.73,0.3,24.05,234.53,31.78,707.64,1.29,06-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Mar-2019 - 00:00,34.02,17.55,9.51,25.82,8.44,0.64,14.49,54.23,183.58,0.35,23.63,235.6,25.96,708.19,1.85,07-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Mar-2019 - 00:00,34.11,17.25,9.47,25.84,6.76,0.66,14.29,51.46,192.89,0.26,25.02,221.43,17.51,707.6,1.51,08-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Mar-2019 - 00:00,32.6,18.86,7.9,23.76,11.16,0.64,19.35,40.3,133.4,0.3,24.02,189.29,19.65,708.7,2.39,09-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Mar-2019 - 00:00,15.86,17.81,6.29,13.56,7.49,0.82,25.64,36.33,108.23,0.1,23.87,140.25,24.65,710.94,0.24,12-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Mar-2019 - 00:00,20.13,17.74,6.66,16.12,10.27,0.79,21.82,40.54,104.48,0.12,25.65,169.58,30.47,711.45,0.59,13-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Mar-2019 - 00:00,19.94,17.05,6.41,15.82,15.11,0.78,20.4,40.12,102.89,0.15,24.63,187.41,26.08,712.08,0.44,14-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Mar-2019 - 00:00,20.31,17.9,6.59,16.16,10.66,0.62,20.9,35.39,101.68,0.13,20.53,169.34,27.28,711.79,1.57,15-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Mar-2019 - 00:00,19.86,18.02,6.61,15.94,11.97,0.59,23.43,37.89,89.9,0.2,23.48,165.03,24.62,711.49,4.17,16-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Mar-2019 - 00:00,21.02,19.63,7.4,17.2,9.0,0.44,22.42,42.48,111.24,0.15,24.75,150.22,33.26,711.36,0.53,17-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Mar-2019 - 00:00,22.3,20.19,6.73,17.32,12.69,0.49,23.62,39.8,89.73,0.21,23.46,163.16,34.15,710.74,1.35,18-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Mar-2019 - 00:00,23.24,20.6,6.65,17.76,13.66,0.79,20.83,33.35,87.61,0.19,23.72,147.58,36.22,710.2,1.0,19-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Mar-2019 - 00:00,20.29,21.43,6.75,16.28,10.46,0.58,22.16,36.8,88.08,0.15,22.58,160.9,43.23,708.79,0.55,20-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Mar-2019 - 00:00,20.26,21.44,6.81,16.26,9.22,0.65,23.14,40.22,89.89,0.12,25.85,175.8,45.19,708.55,0.97,21-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Mar-2019 - 00:00,21.25,19.4,6.88,16.89,11.85,0.52,24.57,37.11,95.53,0.14,26.59,166.8,31.58,709.95,0.73,22-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Mar-2019 - 00:00,23.21,19.34,6.52,17.61,13.92,0.67,21.57,36.01,91.17,0.15,24.72,173.7,33.6,710.11,1.22,23-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Mar-2019 - 00:00,24.46,20.95,6.75,18.49,11.3,0.76,23.84,43.33,103.49,0.19,26.61,169.76,37.61,709.77,1.14,24-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Mar-2019 - 00:00,21.84,20.81,6.42,16.84,12.05,0.74,23.97,38.67,89.88,0.14,19.78,180.19,38.71,709.11,1.1,25-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Mar-2019 - 00:00,20.06,22.31,6.52,15.97,10.37,0.58,20.8,41.1,96.42,0.1,21.27,145.85,41.31,709.2,0.27,26-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Mar-2019 - 00:00,22.32,18.72,6.57,17.21,11.05,0.61,22.35,39.49,94.67,0.13,24.07,160.39,31.78,710.27,0.43,27-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Mar-2019 - 00:00,25.32,19.35,6.68,18.91,11.65,0.69,21.12,40.67,101.1,0.14,22.76,174.42,33.25,711.54,0.85,28-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Mar-2019 - 00:00,32.46,20.38,7.37,23.26,15.74,0.71,20.29,46.01,118.52,0.23,23.46,139.96,26.14,710.71,0.9,29-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Mar-2019 - 00:00,25.2,21.14,6.75,18.89,11.44,0.73,25.79,47.53,126.64,0.17,21.25,157.38,27.26,708.91,1.11,30-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Mar-2019 - 00:00,28.56,21.02,7.04,20.92,11.71,0.77,21.24,47.4,115.86,0.19,24.08,165.59,28.6,708.92,1.31,31-Mar-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
31-Mar-2019 - 00:00,29.8,22.93,6.93,21.49,9.99,0.7,20.57,50.75,124.86,0.26,24.83,194.62,33.33,709.27,1.2,01-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
01-Apr-2019 - 00:00,23.08,20.86,6.59,17.64,11.58,0.81,22.53,41.16,107.33,0.18,24.2,193.48,28.71,709.23,0.97,02-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
02-Apr-2019 - 00:00,26.16,21.05,6.78,19.43,10.92,0.73,20.98,42.78,114.93,0.21,23.78,187.89,30.81,708.85,1.55,03-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
03-Apr-2019 - 00:00,22.43,20.13,6.39,17.12,20.8,0.46,21.82,27.68,95.6,0.15,24.43,172.49,29.67,708.38,0.81,04-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
04-Apr-2019 - 00:00,23.28,21.41,7.04,17.63,15.33,0.65,22.2,37.49,101.84,0.19,24.24,178.72,36.74,709.96,0.81,05-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
05-Apr-2019 - 00:00,21.78,22.25,7.0,17.28,12.76,0.79,17.08,30.66,85.0,0.14,21.89,230.05,43.96,710.77,0.74,06-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
09-Apr-2019 - 00:00,20.62,21.04,6.54,16.28,7.24,0.62,23.53,40.27,112.09,0.12,29.56,169.11,35.09,707.89,0.44,10-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
10-Apr-2019 - 00:00,27.17,21.87,6.58,19.8,13.05,0.7,18.36,39.73,104.02,0.13,24.49,172.76,41.05,709.01,0.9,11-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
11-Apr-2019 - 00:00,24.79,22.0,6.64,18.59,15.35,0.71,21.1,41.78,106.56,0.14,22.38,162.57,39.92,708.67,0.62,12-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
12-Apr-2019 - 00:00,26.2,20.18,7.41,19.94,13.95,0.75,21.07,37.84,110.42,0.17,24.28,167.26,37.21,708.0,0.79,13-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
13-Apr-2019 - 00:00,21.11,19.91,6.62,16.61,13.14,0.71,25.87,38.08,90.25,0.21,23.89,153.86,30.6,708.68,0.79,14-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
14-Apr-2019 - 00:00,20.76,19.87,6.94,16.64,14.19,0.7,21.69,32.26,85.39,0.11,21.48,179.25,33.21,708.8,0.58,15-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
15-Apr-2019 - 00:00,22.58,18.97,6.28,17.11,7.53,0.75,21.79,33.73,86.66,0.12,22.5,189.95,34.2,708.69,0.89,16-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
16-Apr-2019 - 00:00,25.83,20.55,6.83,19.28,8.09,0.79,19.91,30.77,96.86,0.15,23.36,217.03,35.97,708.28,1.03,17-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
17-Apr-2019 - 00:00,22.09,32.37,6.82,17.29,8.22,0.68,16.48,34.98,92.74,0.12,23.45,206.18,53.81,709.09,0.92,18-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
18-Apr-2019 - 00:00,27.68,29.66,8.1,21.31,9.86,0.67,19.99,24.07,43.04,0.12,22.59,183.25,49.16,708.35,0.59,19-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
19-Apr-2019 - 00:00,23.01,24.57,6.78,17.76,8.59,0.7,24.75,22.85,42.56,0.1,24.44,216.52,47.74,707.6,0.47,20-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
20-Apr-2019 - 00:00,22.42,24.1,6.68,17.36,7.56,0.69,21.69,24.21,44.42,0.1,23.13,209.03,57.1,706.43,0.74,21-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
21-Apr-2019 - 00:00,20.45,21.12,6.69,16.31,8.85,0.8,22.0,21.76,37.16,0.11,21.96,210.81,48.84,706.1,0.55,22-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
22-Apr-2019 - 00:00,21.06,23.56,6.71,16.64,8.99,0.64,21.75,30.77,61.99,0.13,22.21,188.52,56.42,706.09,0.55,23-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
23-Apr-2019 - 00:00,22.39,24.42,6.69,17.35,8.73,0.74,22.63,21.9,37.94,0.11,21.6,157.65,46.53,707.46,0.45,24-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
24-Apr-2019 - 00:00,23.36,23.91,7.14,18.23,9.09,0.76,21.72,22.55,50.62,0.1,24.63,145.75,35.62,708.44,0.61,25-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
25-Apr-2019 - 00:00,29.53,24.04,6.95,21.35,9.15,0.66,19.43,41.55,95.17,0.17,22.59,165.19,34.96,708.34,0.96,26-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
26-Apr-2019 - 00:00,35.2,26.53,6.87,24.2,7.25,0.71,14.94,44.65,92.52,0.19,18.37,179.24,39.87,707.87,1.65,27-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
27-Apr-2019 - 00:00,96.85,23.75,78.66,111.49,36.8,0.73,17.39,45.67,153.47,0.18,27.33,159.84,24.87,706.11,0.99,28-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
28-Apr-2019 - 00:00,30.22,23.47,6.8,21.59,25.24,0.74,22.67,43.97,103.5,0.15,23.0,171.42,36.5,706.81,1.4,29-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
29-Apr-2019 - 00:00,26.4,28.81,6.48,18.98,8.89,0.75,22.06,43.77,107.17,0.2,23.76,195.83,39.41,706.73,0.88,30-Apr-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
30-Apr-2019 - 00:00,27.88,23.11,7.03,20.39,6.52,0.72,21.5,39.08,101.36,0.16,26.76,248.58,52.28,705.99,1.04,01-May-2019 - 00:00,"Chikkaballapur Rural, Chikkaballapur - KSPCB"
