from date,Temp,CO,Ozone,NO,NO2,NOx,NH3,SO2,PM2.5,PM10,Benzene,Toluene,Xylene,AT,RH,WS,WD,SR,BP,RF,to date,station
13-Jan-2019 - 00:00,30.56,2.84,3.09,51.91,63.96,76.22,52.77,14.52,275.59,394.65,0.59,5.06,0.82,16.35,68.43,0.79,154.97,56.7,752.12,0.0,14-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
14-Jan-2019 - 00:00,30.71,1.25,4.15,11.1,38.91,29.72,33.17,9.87,90.82,165.64,0.25,1.9,0.2,13.92,57.91,1.69,110.49,74.17,752.01,0.0,15-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
15-Jan-2019 - 00:00,30.92,4.42,16.54,27.71,40.08,43.85,27.93,10.7,138.96,244.49,0.38,2.71,0.52,12.14,63.24,1.29,95.23,57.53,751.0,0.0,16-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
16-Jan-2019 - 00:00,31.09,2.63,18.78,62.36,37.55,70.67,28.93,20.99,279.41,396.8,0.72,5.14,1.21,12.64,72.45,0.48,238.16,57.88,751.03,0.0,17-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
17-Jan-2019 - 00:00,31.04,3.04,26.49,72.19,39.81,79.86,25.55,18.8,355.8,508.88,0.9,7.64,1.7,14.25,69.62,0.72,152.42,57.16,749.69,0.0,18-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
18-Jan-2019 - 00:00,30.9,2.71,5.73,65.71,78.79,95.33,44.52,11.24,246.9,374.54,0.63,5.3,0.97,14.42,68.25,0.91,104.23,67.67,750.12,0.0,19-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
19-Jan-2019 - 00:00,30.91,3.14,16.74,132.85,95.45,158.78,60.23,15.58,291.85,477.03,0.79,6.06,1.41,15.96,65.45,0.65,133.22,67.34,749.89,0.0,20-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
20-Jan-2019 - 00:00,30.95,3.01,32.95,82.71,19.49,76.86,19.58,23.98,371.66,547.21,1.08,7.45,2.32,17.89,71.34,0.47,248.64,60.96,748.99,0.0,21-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
21-Jan-2019 - 00:00,31.05,1.73,16.93,10.47,40.89,28.36,50.14,9.13,157.38,245.49,0.38,2.64,0.31,16.28,77.41,1.53,273.08,36.09,746.4,0.01,22-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
22-Jan-2019 - 00:00,31.2,1.17,16.26,23.8,39.71,37.58,51.11,4.09,58.86,74.39,0.15,1.44,0.08,14.82,86.72,1.39,234.93,49.49,746.97,0.01,23-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
23-Jan-2019 - 00:00,31.26,1.98,38.28,76.16,69.04,98.64,57.37,9.16,134.9,204.11,0.51,5.5,0.78,14.58,82.38,0.82,149.17,75.31,750.27,0.0,24-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
24-Jan-2019 - 00:00,31.27,1.63,28.54,38.94,60.09,63.62,52.33,13.61,135.84,212.64,0.38,4.79,0.6,15.58,76.76,1.06,193.97,69.2,752.24,0.0,25-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
25-Jan-2019 - 00:00,31.44,0.97,36.18,11.77,53.01,37.78,37.1,10.17,73.09,113.03,0.19,2.24,0.17,14.44,72.62,1.29,165.27,83.22,752.36,0.01,26-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
26-Jan-2019 - 00:00,31.7,1.2,29.08,11.36,56.06,39.06,36.08,15.58,92.38,139.69,0.26,1.82,0.1,13.49,63.6,1.31,123.21,92.07,754.97,0.0,27-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
27-Jan-2019 - 00:00,32.32,1.39,18.67,18.36,68.24,51.24,44.06,12.08,128.15,185.71,0.31,1.73,0.22,12.08,66.24,1.31,108.21,72.51,755.0,0.0,28-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
28-Jan-2019 - 00:00,32.57,0.99,22.63,22.82,66.38,53.86,42.32,13.21,114.48,180.76,0.33,2.05,0.27,12.71,60.49,1.51,106.86,92.73,754.65,0.0,29-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
29-Jan-2019 - 00:00,32.38,1.82,21.63,40.33,75.81,73.12,46.97,15.52,135.43,214.85,0.43,3.51,0.6,13.66,59.34,1.43,113.58,92.39,753.03,0.0,30-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
30-Jan-2019 - 00:00,31.54,1.62,20.93,62.98,95.05,101.76,57.79,22.8,213.71,347.78,1.07,8.1,1.39,13.99,59.64,0.99,132.07,78.45,752.03,0.0,31-Jan-2019 - 00:00,"Sector - 125, Noida - UPPCB"
31-Jan-2019 - 00:00,30.13,1.6,22.67,51.61,71.06,79.76,64.15,16.32,174.29,273.11,1.65,12.81,1.83,14.99,65.61,1.0,230.65,66.6,751.02,0.0,01-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
01-Feb-2019 - 00:00,29.76,1.25,25.32,17.37,58.7,54.08,75.69,12.33,180.9,255.16,1.55,7.9,0.76,15.75,71.88,1.28,184.68,73.03,751.47,0.01,02-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
02-Feb-2019 - 00:00,30.38,0.93,8.15,18.1,51.71,42.22,71.5,7.3,215.08,286.4,1.58,8.48,0.78,12.43,85.45,1.59,116.83,67.66,751.68,0.0,03-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
03-Feb-2019 - 00:00,30.29,0.87,17.08,29.53,53.56,52.5,63.04,6.88,169.1,241.23,1.38,6.88,0.88,13.3,85.79,1.18,112.57,72.32,752.77,0.0,04-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
04-Feb-2019 - 00:00,30.2,1.14,20.57,73.44,78.52,101.38,57.69,9.48,162.05,264.78,1.63,8.61,1.71,14.79,76.25,0.8,126.1,89.42,753.28,0.0,05-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
05-Feb-2019 - 00:00,30.09,1.15,22.89,38.54,57.93,61.76,79.2,15.55,218.94,325.43,1.66,9.31,1.45,16.53,76.85,0.54,230.53,72.07,750.7,0.0,06-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
06-Feb-2019 - 00:00,29.71,1.22,7.4,12.1,35.08,28.49,76.31,10.72,195.9,251.65,1.61,5.4,0.51,18.02,82.15,1.08,226.64,71.33,745.77,0.01,07-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
07-Feb-2019 - 00:00,29.97,0.52,4.32,8.39,21.64,18.29,47.76,5.92,73.59,97.9,0.5,1.92,0.11,16.28,87.45,1.59,230.4,28.3,743.88,0.12,08-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
08-Feb-2019 - 00:00,30.04,0.59,4.94,26.73,55.48,51.24,35.81,9.92,74.09,148.59,0.91,6.48,0.44,14.75,69.72,1.26,140.65,92.93,749.5,0.0,09-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
09-Feb-2019 - 00:00,30.37,0.75,6.69,22.35,52.17,45.92,36.5,8.79,81.11,156.15,0.95,5.93,0.78,14.38,66.91,1.57,114.77,102.82,751.76,0.0,10-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
10-Feb-2019 - 00:00,30.53,0.94,22.3,48.69,63.9,73.57,46.17,13.26,138.93,236.48,1.41,8.88,1.28,14.86,67.39,1.03,104.47,83.75,753.24,0.0,11-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
11-Feb-2019 - 00:00,30.94,1.55,8.02,114.25,93.8,142.78,54.77,16.37,176.41,320.01,1.87,13.84,2.46,15.59,68.59,0.6,133.7,82.49,753.66,0.0,12-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
12-Feb-2019 - 00:00,30.78,2.32,3.88,151.69,101.38,177.23,66.34,22.43,222.1,391.85,2.39,19.5,4.14,17.18,70.15,0.59,183.11,73.21,753.69,0.0,13-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
13-Feb-2019 - 00:00,30.88,1.51,3.83,58.31,76.9,88.3,79.73,22.84,251.38,393.44,1.97,13.69,2.32,18.0,72.75,0.55,229.31,70.3,752.75,0.0,14-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
14-Feb-2019 - 00:00,31.14,0.76,3.81,8.58,36.83,26.56,61.02,8.17,159.49,210.66,1.12,4.86,0.29,17.15,78.24,1.46,238.28,53.41,748.57,0.05,15-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
15-Feb-2019 - 00:00,31.13,0.83,3.79,26.23,43.06,44.22,50.23,8.95,126.66,172.1,1.07,6.16,0.49,16.8,78.5,1.14,168.41,70.6,748.71,0.0,16-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
16-Feb-2019 - 00:00,30.53,0.55,3.75,14.69,42.05,34.31,44.32,4.13,137.56,190.7,1.05,5.77,0.49,15.43,83.86,1.59,115.56,61.22,750.22,0.0,17-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
17-Feb-2019 - 00:00,27.99,0.39,4.07,28.9,49.91,50.02,42.91,7.62,125.86,193.47,0.87,4.86,0.54,15.97,76.86,1.38,108.08,95.43,747.21,0.0,18-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
18-Feb-2019 - 00:00,27.96,1.49,3.71,32.03,49.08,52.14,44.41,14.85,127.64,200.01,0.99,5.92,0.94,17.98,68.89,0.89,202.48,79.69,742.77,0.0,19-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
19-Feb-2019 - 00:00,28.03,1.46,3.74,33.18,48.54,52.75,55.01,10.21,143.25,236.83,1.03,6.53,0.77,18.48,76.51,0.64,207.73,78.83,745.77,0.01,20-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
20-Feb-2019 - 00:00,28.01,2.22,3.81,13.16,42.04,33.03,46.03,7.46,95.29,157.03,0.77,7.24,0.45,18.32,78.92,1.19,254.95,38.4,750.56,0.0,21-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
21-Feb-2019 - 00:00,27.92,2.96,3.82,38.86,49.16,57.66,40.0,13.07,79.17,184.92,0.82,7.2,0.87,20.76,68.3,0.88,262.1,85.64,749.29,0.0,22-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
22-Feb-2019 - 00:00,27.92,2.34,4.04,21.75,36.74,37.22,45.93,6.5,85.14,157.03,0.84,5.63,0.79,19.07,71.97,2.0,130.81,102.78,749.71,0.0,23-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
23-Feb-2019 - 00:00,28.04,1.31,3.6,9.96,36.99,27.77,26.66,7.66,49.81,96.59,0.56,3.65,0.18,16.79,61.32,2.07,120.65,113.27,748.2,0.0,24-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
24-Feb-2019 - 00:00,28.03,1.85,3.97,25.84,58.75,52.26,31.21,11.24,89.67,155.08,0.8,5.44,0.54,17.66,58.28,1.27,138.18,107.18,744.97,0.0,25-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
25-Feb-2019 - 00:00,28.17,1.63,3.83,41.3,54.17,62.4,36.19,18.87,99.07,169.98,0.84,6.07,0.6,17.54,66.62,0.93,216.89,88.75,744.32,0.1,26-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
26-Feb-2019 - 00:00,28.41,0.47,3.93,13.79,34.79,29.71,33.42,10.18,55.23,88.8,0.48,5.04,0.22,16.14,70.92,1.12,233.08,60.14,744.5,0.01,27-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
27-Feb-2019 - 00:00,28.26,0.41,3.39,16.02,43.49,36.15,29.97,10.89,57.48,98.34,0.56,5.13,0.43,14.73,72.54,1.2,202.28,75.2,744.53,0.0,28-Feb-2019 - 00:00,"Sector - 125, Noida - UPPCB"
28-Feb-2019 - 00:00,28.24,0.38,5.09,98.89,55.36,109.84,31.68,13.16,96.86,178.33,1.06,8.36,1.28,15.08,67.94,1.21,119.76,107.74,748.29,0.0,01-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
01-Mar-2019 - 00:00,27.99,0.8,2.32,50.95,76.78,82.27,33.65,12.14,95.07,177.2,0.87,7.59,0.76,16.88,59.29,1.18,124.89,115.2,748.67,0.0,02-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
02-Mar-2019 - 00:00,28.04,0.62,17.17,54.7,75.46,84.61,45.68,8.3,115.52,182.48,1.06,11.24,1.14,15.37,78.09,0.74,175.6,36.03,749.08,0.01,03-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
03-Mar-2019 - 00:00,28.09,0.35,15.76,23.59,35.96,38.31,38.06,6.63,71.41,98.95,0.52,3.9,0.25,16.1,83.66,0.7,214.18,81.04,745.83,0.01,04-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
04-Mar-2019 - 00:00,27.95,0.22,16.56,95.31,54.66,106.56,47.49,9.19,129.89,203.72,1.18,9.1,1.71,18.32,79.98,1.15,137.19,85.39,742.72,0.0,05-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
05-Mar-2019 - 00:00,27.82,0.67,4.05,28.26,56.73,53.16,33.38,7.15,78.31,136.35,0.78,4.67,0.66,17.81,70.97,1.55,108.58,102.65,743.91,0.0,06-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
06-Mar-2019 - 00:00,27.95,0.75,3.75,57.59,66.69,82.3,30.9,11.77,88.91,180.51,1.08,6.69,1.33,18.19,62.71,1.41,119.15,110.95,744.89,0.0,07-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
07-Mar-2019 - 00:00,27.88,1.19,4.08,85.38,75.24,109.43,36.15,20.37,108.71,217.46,1.17,11.21,1.89,19.34,60.66,0.92,120.3,111.09,745.26,0.0,08-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
08-Mar-2019 - 00:00,27.87,0.5,3.77,63.96,80.38,94.76,39.02,28.81,106.96,223.18,1.12,9.18,1.2,20.28,59.09,1.16,164.66,99.69,746.9,0.0,09-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
09-Mar-2019 - 00:00,27.74,0.31,3.8,20.06,56.59,46.11,32.84,16.52,71.54,148.94,0.62,5.14,0.31,20.44,57.79,1.5,137.61,106.5,746.84,0.0,10-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
10-Mar-2019 - 00:00,27.6,0.28,3.9,16.48,74.13,52.83,29.59,12.93,77.58,161.84,0.61,4.39,0.34,20.62,51.85,1.22,148.92,113.7,747.2,0.0,11-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
11-Mar-2019 - 00:00,27.72,0.88,3.96,21.61,57.36,48.08,35.09,12.88,77.98,182.82,0.75,4.98,0.45,21.5,57.89,1.44,243.32,93.68,746.66,0.05,12-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
12-Mar-2019 - 00:00,27.73,0.37,4.17,11.37,51.64,36.72,33.36,11.01,60.72,131.8,0.63,5.77,0.28,21.16,58.32,1.32,175.66,94.04,748.67,0.0,13-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
13-Mar-2019 - 00:00,27.91,0.29,3.92,40.13,91.33,81.21,34.63,18.59,106.19,276.67,1.08,8.88,1.14,19.99,58.33,0.87,185.53,57.94,748.98,0.0,14-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
14-Mar-2019 - 00:00,27.93,0.83,3.94,63.56,68.83,88.29,45.06,24.57,123.91,237.03,1.37,10.44,1.36,18.45,68.03,1.49,171.6,79.2,749.69,0.0,15-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
15-Mar-2019 - 00:00,27.81,0.51,4.12,24.93,58.83,51.57,38.39,15.64,77.78,140.29,0.72,6.97,0.51,19.15,65.38,1.39,135.35,117.64,751.03,0.0,16-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
16-Mar-2019 - 00:00,27.8,0.51,3.77,14.81,66.16,47.23,31.98,11.68,68.44,136.39,0.64,4.82,0.4,20.17,58.16,1.41,125.53,115.29,749.59,0.0,17-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
17-Mar-2019 - 00:00,27.83,0.03,3.89,25.86,67.38,56.87,33.95,15.41,96.07,173.4,0.76,6.09,0.58,21.53,55.16,1.23,135.61,120.04,747.67,0.0,18-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
18-Mar-2019 - 00:00,27.9,0.44,3.79,36.16,75.82,69.73,37.04,16.55,101.36,203.21,0.82,6.68,0.77,21.52,57.41,1.09,133.88,116.61,747.22,0.0,19-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
19-Mar-2019 - 00:00,27.69,0.69,4.18,48.49,81.56,82.81,40.91,21.88,105.45,232.35,0.91,8.65,0.93,23.36,53.59,1.07,125.96,116.89,743.74,0.0,20-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
20-Mar-2019 - 00:00,27.47,0.39,4.1,9.48,49.1,33.82,44.42,23.65,97.48,220.04,0.79,5.89,0.47,24.72,54.06,0.97,209.67,105.59,741.98,0.0,21-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
21-Mar-2019 - 00:00,27.32,0.42,4.41,14.37,41.38,33.69,50.54,25.98,127.14,210.27,1.29,4.06,0.5,24.92,50.33,1.14,180.07,110.94,745.14,0.0,22-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
22-Mar-2019 - 00:00,27.68,0.33,4.15,8.82,37.97,27.2,26.23,12.88,36.48,107.6,0.39,1.93,0.1,23.84,43.7,1.83,125.95,127.88,747.33,0.0,23-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
23-Mar-2019 - 00:00,27.95,0.23,5.93,7.9,34.31,22.71,26.09,12.05,47.42,118.12,0.43,2.55,0.19,23.67,48.06,2.02,115.9,123.5,746.58,0.0,24-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
24-Mar-2019 - 00:00,28.16,0.58,7.34,0.23,0.24,0.11,0.1,15.22,52.92,130.47,0.4,3.1,0.15,24.69,48.8,1.67,139.88,119.1,744.91,0.0,25-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
25-Mar-2019 - 00:00,28.01,0.57,7.09,2.34,33.29,14.43,21.51,19.83,70.18,147.54,0.56,3.69,0.24,23.32,58.8,1.72,137.14,106.2,745.25,0.0,26-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
26-Mar-2019 - 00:00,27.89,0.45,6.61,17.96,62.61,47.9,32.64,14.86,70.94,150.14,0.64,5.13,0.42,23.74,55.03,1.66,119.61,121.72,746.61,0.0,27-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
27-Mar-2019 - 00:00,27.85,0.31,12.97,56.58,77.65,87.3,32.8,22.69,69.81,175.3,0.79,5.66,0.79,24.75,51.17,1.27,127.46,109.4,747.24,0.0,28-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
28-Mar-2019 - 00:00,27.81,1.05,4.03,99.87,92.47,130.38,44.94,34.64,109.86,272.33,1.3,12.71,2.64,27.04,51.9,0.68,144.02,114.33,745.12,0.0,29-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
29-Mar-2019 - 00:00,27.59,1.2,3.62,60.33,81.18,92.24,63.95,43.85,141.66,325.36,1.43,11.86,2.06,28.46,55.73,0.81,170.94,107.56,742.06,0.0,30-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
30-Mar-2019 - 00:00,27.57,1.73,3.7,51.48,67.6,77.81,68.26,43.19,114.76,282.59,1.1,8.19,1.05,29.56,53.07,0.76,201.56,107.08,740.98,0.0,31-Mar-2019 - 00:00,"Sector - 125, Noida - UPPCB"
31-Mar-2019 - 00:00,27.76,1.19,3.91,10.33,44.43,32.04,41.44,22.93,51.27,178.68,0.41,3.25,0.28,28.26,42.33,1.76,124.96,126.77,741.64,0.0,01-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
01-Apr-2019 - 00:00,27.75,1.03,3.82,9.45,47.66,33.03,32.9,20.76,58.35,172.97,0.45,3.92,0.18,27.01,41.1,1.92,121.51,125.82,741.89,0.0,02-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
02-Apr-2019 - 00:00,27.6,0.24,3.93,43.62,88.14,82.34,39.41,32.51,94.72,247.08,0.83,7.98,0.88,27.34,44.95,0.84,146.07,114.15,742.61,0.0,03-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
03-Apr-2019 - 00:00,27.3,0.38,3.84,52.57,84.45,87.66,40.12,22.3,87.85,232.25,0.84,7.69,1.25,28.07,43.06,1.02,112.07,121.69,741.57,0.0,04-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
04-Apr-2019 - 00:00,26.71,0.53,8.64,42.71,77.86,76.14,56.4,48.56,139.04,314.17,1.5,11.04,1.65,29.51,47.0,0.78,206.76,113.4,742.1,0.0,05-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
05-Apr-2019 - 00:00,26.76,0.4,7.51,42.78,72.7,73.44,63.29,50.26,165.51,393.45,1.4,10.0,1.94,30.42,48.47,0.81,236.28,106.89,740.98,0.0,06-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
06-Apr-2019 - 00:00,27.14,0.4,3.7,20.03,60.31,48.36,49.38,29.61,99.94,335.73,0.86,6.19,0.62,31.84,41.68,1.07,183.27,104.33,739.86,0.0,07-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
07-Apr-2019 - 00:00,27.36,0.53,5.4,14.91,38.86,32.78,71.13,21.77,153.99,332.61,0.91,5.44,0.54,28.93,60.95,1.34,208.89,92.99,739.23,0.01,08-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
08-Apr-2019 - 00:00,27.48,0.05,5.56,14.78,39.68,33.11,45.53,16.73,78.31,279.02,0.43,2.99,0.18,27.59,54.77,1.12,189.09,109.5,740.03,0.0,09-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
09-Apr-2019 - 00:00,27.48,0.04,5.46,32.03,59.06,57.45,44.94,24.37,89.59,232.7,0.92,6.81,0.77,28.9,50.82,0.88,218.09,115.14,739.68,0.0,10-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
10-Apr-2019 - 00:00,27.31,2.06,5.13,52.34,75.38,82.65,50.09,29.42,99.07,257.94,1.05,8.81,1.6,31.23,45.8,1.04,135.1,117.91,740.77,0.0,11-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
11-Apr-2019 - 00:00,27.36,0.02,5.7,27.9,58.8,53.96,43.96,27.36,79.78,220.05,0.76,5.8,0.55,31.75,41.31,1.06,139.89,115.76,740.41,0.0,12-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
12-Apr-2019 - 00:00,27.26,0.15,5.56,11.73,53.38,37.93,39.31,28.9,67.24,221.39,0.66,4.96,0.55,30.67,43.27,1.56,174.98,110.29,741.06,0.0,13-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
13-Apr-2019 - 00:00,27.23,0.48,5.46,19.11,49.16,41.68,35.25,20.68,63.42,190.43,0.51,3.66,0.26,30.94,41.51,1.65,164.98,121.4,741.48,0.0,14-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
14-Apr-2019 - 00:00,27.22,0.21,5.31,10.74,47.53,34.01,31.07,20.41,49.97,168.5,0.35,3.84,0.22,31.4,39.59,1.46,134.89,120.27,741.27,0.0,15-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
15-Apr-2019 - 00:00,26.98,0.48,4.64,33.18,56.42,56.98,28.8,18.99,53.75,204.44,0.51,3.74,0.76,32.77,36.38,1.32,123.09,122.8,739.31,0.0,16-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
16-Apr-2019 - 00:00,28.79,0.35,4.61,11.73,30.38,25.69,37.11,10.48,76.51,169.63,0.3,2.27,0.31,25.4,59.01,2.26,165.95,62.48,742.91,0.0,17-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
17-Apr-2019 - 00:00,29.08,0.07,4.56,8.17,24.82,19.82,31.9,6.32,28.8,81.74,0.17,1.26,0.09,22.39,67.72,1.66,184.84,98.76,743.85,0.0,18-Apr-2019 - 00:00,"Sector - 125, Noida - UPPCB"
