from date,NO,NOx,NO2,SO2,CO,Ozone,PM2.5,WS,WD,AT,Benzene,Toluene,MP-Xylene,O Xylene,Eth-Benzene,RH,VWS,SR,to date,BP,station
25-Apr-2019 - 00:00,4.3,8.62,4.53,6.73,3.09,32.69,84.8,0.77,76.32,26.63,0.0,0.0,0.0,0.0,0.0,48.0,-0.04,425.8,26-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Apr-2019 - 00:00,3.66,11.54,7.9,4.64,1.81,29.61,137.28,0.8,98.45,26.58,0.0,0.0,0.0,0.0,0.0,48.82,-0.04,243.9,27-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Apr-2019 - 00:00,5.14,14.48,9.4,4.94,0.66,58.55,102.66,0.75,97.95,27.25,0.0,0.0,0.0,0.0,0.0,46.31,-0.03,331.44,28-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Apr-2019 - 00:00,5.05,14.42,9.46,7.5,1.24,42.46,95.38,0.71,99.75,26.39,0.0,0.0,0.0,0.0,0.0,57.63,-0.07,339.16,29-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Apr-2019 - 00:00,,,,6.12,0.95,46.69,118.74,0.73,193.45,26.62,0.0,0.0,0.0,0.0,0.0,60.57,-0.06,382.52,30-Apr-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Apr-2019 - 00:00,,,,2.98,1.44,69.45,127.61,0.87,248.54,25.59,,,,,,71.97,0.02,243.93,01-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-May-2019 - 00:00,,,,6.66,1.43,63.88,77.55,0.89,250.06,25.38,,,,,,76.95,0.03,255.14,02-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-May-2019 - 00:00,4.63,13.32,8.96,4.64,0.95,60.14,78.2,0.9,247.97,25.96,0.0,0.0,0.0,0.0,0.28,64.86,0.03,481.36,03-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-May-2019 - 00:00,3.86,11.54,7.93,2.06,1.79,35.61,157.57,0.88,239.0,25.75,0.0,0.0,0.0,0.0,0.73,70.42,0.02,20.67,04-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-May-2019 - 00:00,3.91,12.44,8.54,1.97,1.48,58.89,78.58,0.84,229.42,26.07,0.06,0.11,0.3,0.45,0.01,63.1,-0.01,314.24,05-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-May-2019 - 00:00,3.41,11.45,8.04,3.49,1.02,58.11,72.44,0.69,200.31,26.48,0.0,0.0,0.0,0.0,0.0,58.75,-0.05,276.45,06-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-May-2019 - 00:00,3.42,11.52,8.11,3.41,0.65,54.59,55.83,0.72,187.14,26.92,0.0,0.0,0.23,0.36,0.0,54.62,-0.06,299.46,07-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-May-2019 - 00:00,3.27,11.36,8.11,4.34,1.34,52.18,46.63,0.85,222.44,26.0,0.0,0.0,0.02,0.04,0.0,69.64,0.02,447.05,08-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-May-2019 - 00:00,2.82,10.47,7.65,3.52,0.66,44.43,33.64,0.84,251.05,25.76,0.14,0.29,0.0,0.01,0.02,74.0,-0.0,546.74,09-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-May-2019 - 00:00,2.99,10.86,7.88,2.88,1.78,48.97,35.85,0.81,256.22,26.11,0.19,0.37,0.0,0.04,0.0,64.98,-0.03,632.97,10-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-May-2019 - 00:00,3.08,10.98,7.91,6.09,1.02,63.44,44.88,0.72,244.66,26.9,1.28,2.56,0.0,0.0,0.13,54.79,-0.05,622.9,11-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-May-2019 - 00:00,2.85,10.31,7.55,3.07,1.48,37.98,62.97,0.75,208.09,25.81,1.57,3.15,0.0,0.0,0.21,74.73,-0.04,589.38,12-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-May-2019 - 00:00,3.22,11.44,8.32,,1.29,31.14,45.22,0.71,219.06,26.19,0.64,1.29,0.34,0.49,0.41,69.19,-0.06,581.75,13-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-May-2019 - 00:00,3.78,12.05,8.72,3.19,1.31,55.2,27.85,0.79,234.22,25.63,1.17,2.35,0.02,0.03,0.55,73.74,-0.03,696.76,14-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-May-2019 - 00:00,3.05,10.84,7.8,4.93,1.36,64.23,30.44,0.78,225.96,26.08,0.95,1.89,0.0,0.01,0.38,69.87,-0.03,617.14,15-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-May-2019 - 00:00,3.21,11.32,8.12,7.9,1.11,41.77,41.16,0.82,205.82,25.37,1.03,2.06,0.0,0.0,0.08,81.21,-0.0,680.72,16-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-May-2019 - 00:00,3.2,11.23,8.05,2.27,1.38,27.09,46.21,0.68,230.83,25.89,1.55,3.22,0.0,0.0,0.46,72.19,-0.08,404.54,17-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-May-2019 - 00:00,2.93,10.92,8.02,6.6,1.45,28.55,41.99,0.74,235.06,25.38,1.41,3.02,0.0,0.0,0.5,77.0,-0.06,121.29,18-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-May-2019 - 00:00,2.8,10.64,7.83,9.85,1.48,13.19,63.19,0.68,206.59,26.35,1.9,4.07,0.0,0.0,0.52,68.39,-0.09,253.78,19-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-May-2019 - 00:00,2.67,10.33,7.67,2.32,1.31,32.05,90.21,0.7,203.42,26.58,1.11,2.37,0.0,0.0,0.27,67.81,-0.07,307.7,20-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-May-2019 - 00:00,3.01,10.9,7.91,3.0,1.09,28.93,48.28,0.68,214.42,26.68,1.21,2.59,0.0,0.0,0.51,67.27,-0.06,283.56,21-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-May-2019 - 00:00,3.53,11.89,8.38,8.9,1.15,32.91,50.44,0.72,227.8,26.76,1.0,1.84,0.0,0.0,0.18,61.87,-0.07,581.96,22-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-May-2019 - 00:00,3.89,16.25,12.58,16.05,2.32,63.17,45.13,0.7,245.88,26.54,0.96,1.11,0.0,0.0,0.06,67.73,-0.06,661.51,23-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-May-2019 - 00:00,2.95,0.0,,6.15,0.78,25.41,46.95,0.75,241.53,25.86,2.62,3.94,0.0,0.0,0.63,76.23,-0.07,704.43,24-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-May-2019 - 00:00,5.23,13.79,20.42,2.76,1.22,42.06,39.73,0.72,243.07,25.78,1.68,2.53,0.0,0.0,0.2,74.34,-0.06,616.9,25-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-May-2019 - 00:00,5.6,13.61,8.01,1.36,1.06,37.53,28.36,0.72,249.92,25.81,0.38,0.57,0.0,0.0,0.01,72.51,-0.05,811.57,26-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-May-2019 - 00:00,5.1,6.01,1.3,1.32,1.57,27.85,61.2,0.77,253.39,26.55,0.7,1.04,0.0,0.0,0.1,64.41,-0.06,564.26,27-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-May-2019 - 00:00,6.66,10.71,4.14,2.9,1.22,63.49,28.14,0.65,269.98,26.36,1.14,1.7,0.0,0.0,0.18,65.52,-0.09,805.88,28-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-May-2019 - 00:00,7.51,9.66,2.92,2.76,1.24,52.37,44.05,0.8,235.41,26.46,1.45,2.18,0.0,0.01,0.39,71.76,-0.02,720.07,29-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-May-2019 - 00:00,5.35,10.12,4.77,2.82,0.83,60.14,37.34,0.71,235.53,26.14,1.2,1.8,0.0,0.0,0.05,64.03,-0.05,665.61,30-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-May-2019 - 00:00,5.47,9.66,4.2,4.11,1.34,37.75,33.38,0.81,223.54,26.09,0.69,1.03,0.0,0.0,0.04,70.9,-0.02,731.84,31-May-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-May-2019 - 00:00,6.13,10.69,4.56,4.44,1.07,25.32,36.05,0.8,231.31,25.8,1.2,1.8,0.0,0.0,0.12,70.71,-0.03,697.05,01-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Jun-2019 - 00:00,5.77,7.76,2.09,1.73,1.49,32.83,31.11,0.76,253.68,25.73,0.75,1.13,0.0,0.0,0.16,75.05,-0.06,381.97,02-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Jun-2019 - 00:00,5.4,7.32,1.92,4.33,1.51,20.25,40.98,0.86,234.37,25.93,0.56,0.84,0.0,0.0,0.11,82.12,0.01,606.55,03-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Jun-2019 - 00:00,5.91,28.2,26.5,1.51,1.45,16.2,29.32,0.84,253.53,25.26,1.08,1.62,0.0,0.0,0.14,81.02,-0.03,489.82,04-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Jun-2019 - 00:00,7.03,30.61,23.58,2.05,0.81,23.84,32.27,0.81,257.93,25.9,0.71,1.07,0.0,0.0,0.01,73.27,-0.04,721.32,05-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Jun-2019 - 00:00,6.8,25.17,18.37,3.46,1.03,30.77,33.34,0.76,242.69,26.45,0.93,1.39,0.0,0.0,0.08,78.71,-0.04,546.31,06-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Jun-2019 - 00:00,5.91,14.66,8.77,6.38,1.22,18.65,33.63,0.79,248.65,27.54,1.22,1.83,0.0,0.0,0.13,76.42,-0.06,817.54,07-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Jun-2019 - 00:00,8.56,16.9,8.34,6.17,0.89,6.73,34.68,0.78,248.71,26.48,1.45,2.18,0.0,0.0,0.22,91.88,-0.06,204.44,08-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Jun-2019 - 00:00,1.98,8.0,6.51,1.8,3.0,9.1,10.43,0.89,238.44,26.04,0.03,0.05,0.0,0.0,0.0,71.2,0.06,384.79,12-Jun-2019 - 00:00,,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Jun-2019 - 00:00,2.08,13.27,11.31,2.18,1.36,11.2,9.26,0.95,241.65,25.09,0.05,0.08,0.0,0.0,0.0,80.35,0.09,202.56,13-Jun-2019 - 00:00,999.71,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Jun-2019 - 00:00,5.57,18.05,12.49,3.56,1.0,9.41,11.94,0.96,243.57,25.21,0.52,0.78,0.0,0.0,0.0,80.66,0.09,214.03,14-Jun-2019 - 00:00,999.68,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Jun-2019 - 00:00,6.66,16.4,11.4,2.91,1.16,11.91,29.88,0.91,245.01,25.29,17.88,51.38,8.35,7.45,9.78,79.96,0.04,283.82,15-Jun-2019 - 00:00,999.31,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Jun-2019 - 00:00,38.03,15.25,35.57,5.02,1.18,6.98,37.08,0.91,247.06,25.58,23.21,63.88,25.5,39.07,35.44,74.38,0.04,350.17,16-Jun-2019 - 00:00,999.24,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Jun-2019 - 00:00,5.22,12.7,17.92,5.59,0.76,15.88,21.38,0.89,248.72,25.86,9.1,10.84,1.88,1.07,1.29,68.55,0.02,445.48,17-Jun-2019 - 00:00,999.09,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Jun-2019 - 00:00,6.02,25.32,25.26,5.25,0.79,19.46,25.14,0.9,248.11,25.7,5.12,8.71,2.71,0.95,1.56,67.05,0.03,355.93,18-Jun-2019 - 00:00,999.22,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Jun-2019 - 00:00,4.47,19.4,14.96,3.94,0.87,21.01,20.75,0.91,247.94,25.63,3.06,5.61,1.2,0.58,0.73,69.73,0.04,440.48,19-Jun-2019 - 00:00,999.29,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Jun-2019 - 00:00,10.76,39.44,29.5,2.9,1.32,14.47,20.37,0.85,243.82,25.26,4.58,11.01,2.78,1.23,1.7,77.76,0.01,263.09,20-Jun-2019 - 00:00,999.03,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Jun-2019 - 00:00,4.19,19.97,16.2,3.97,0.89,14.81,48.84,0.94,246.57,25.5,2.85,5.22,1.03,0.43,0.61,72.77,0.07,397.95,21-Jun-2019 - 00:00,999.51,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Jun-2019 - 00:00,3.17,17.9,14.76,4.9,0.93,16.93,20.81,0.89,247.8,25.04,3.37,6.73,1.21,0.52,0.81,77.34,0.03,282.91,22-Jun-2019 - 00:00,999.17,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Jun-2019 - 00:00,2.62,18.56,15.99,4.37,0.99,14.28,9.73,0.91,244.58,25.08,2.28,4.3,0.75,0.3,0.49,79.08,0.05,371.36,23-Jun-2019 - 00:00,999.37,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Jun-2019 - 00:00,3.09,19.09,16.04,4.23,0.75,9.22,9.06,0.87,246.51,24.66,2.5,5.97,0.98,0.38,0.79,84.88,0.0,242.86,24-Jun-2019 - 00:00,998.96,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Jun-2019 - 00:00,5.51,30.06,24.55,4.61,0.81,8.82,14.48,0.87,249.45,25.06,2.78,6.87,1.22,0.53,0.78,76.85,-0.01,335.07,25-Jun-2019 - 00:00,998.9,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Jun-2019 - 00:00,6.32,24.47,18.2,5.04,0.96,6.46,30.48,0.9,247.97,25.63,2.97,5.86,1.1,0.5,0.74,78.9,0.03,195.51,26-Jun-2019 - 00:00,999.17,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Jun-2019 - 00:00,6.66,23.21,17.51,3.85,1.07,6.04,43.03,0.93,247.79,26.14,2.54,5.76,1.17,0.54,0.75,84.95,0.05,107.31,27-Jun-2019 - 00:00,999.36,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Jun-2019 - 00:00,7.88,23.0,15.14,5.47,0.93,6.65,23.71,0.96,249.58,26.05,1.77,4.3,0.77,0.26,0.46,73.96,0.09,267.95,28-Jun-2019 - 00:00,999.68,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Jun-2019 - 00:00,5.43,29.44,24.01,5.38,0.83,5.88,29.62,0.99,247.2,27.38,1.4,2.73,0.52,0.14,0.23,59.34,0.12,296.44,29-Jun-2019 - 00:00,999.96,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Jun-2019 - 00:00,4.48,47.4,43.17,5.08,0.87,9.58,33.58,0.98,246.54,27.19,1.26,2.05,0.3,0.03,0.12,63.36,0.11,271.74,30-Jun-2019 - 00:00,999.87,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Jun-2019 - 00:00,3.06,16.6,13.6,5.51,0.79,12.08,24.04,0.96,250.38,27.1,0.82,1.78,0.16,0.0,0.02,65.19,0.1,210.32,01-Jul-2019 - 00:00,999.76,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Jul-2019 - 00:00,3.32,18.85,16.09,3.13,1.12,7.33,33.27,0.96,249.16,27.16,0.95,1.74,0.25,0.04,0.1,63.14,0.09,135.89,02-Jul-2019 - 00:00,999.67,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Jul-2019 - 00:00,8.9,36.72,27.84,5.15,0.87,5.34,24.1,0.98,245.72,27.32,1.06,2.04,0.33,0.03,0.08,64.02,0.11,236.9,03-Jul-2019 - 00:00,999.84,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Jul-2019 - 00:00,6.99,28.6,21.61,5.15,0.76,6.64,24.92,0.96,246.4,27.31,1.04,2.13,0.37,0.07,0.2,64.87,0.08,228.66,04-Jul-2019 - 00:00,999.63,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Jul-2019 - 00:00,4.59,23.79,24.14,3.5,1.42,8.15,30.81,0.92,244.14,26.82,0.85,2.01,0.4,0.05,0.15,75.14,0.06,107.62,05-Jul-2019 - 00:00,999.44,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Jul-2019 - 00:00,7.03,25.09,18.07,6.01,0.74,5.87,24.83,0.97,243.82,26.79,0.86,2.22,0.4,0.02,0.16,74.13,0.1,183.84,06-Jul-2019 - 00:00,999.78,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Jul-2019 - 00:00,3.23,25.35,22.14,5.02,0.8,6.0,15.28,0.95,244.49,25.97,0.64,1.45,0.18,0.0,0.06,84.07,0.08,51.7,07-Jul-2019 - 00:00,999.58,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Jul-2019 - 00:00,2.29,15.39,13.17,5.45,0.86,,22.68,0.94,243.0,27.09,0.47,1.24,0.07,0.0,0.0,66.52,0.08,204.32,08-Jul-2019 - 00:00,999.61,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Jul-2019 - 00:00,5.96,20.19,14.27,4.76,0.81,,22.65,0.98,247.87,27.1,0.36,1.06,0.05,0.0,0.0,64.33,0.11,225.41,09-Jul-2019 - 00:00,999.84,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Jul-2019 - 00:00,5.21,20.22,15.16,3.56,1.08,,41.56,0.95,247.74,26.68,0.41,1.25,0.14,0.01,0.02,72.14,0.08,171.6,10-Jul-2019 - 00:00,999.59,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
10-Jul-2019 - 00:00,9.08,28.34,19.39,5.29,0.81,,31.79,0.98,246.82,26.73,0.3,0.73,0.03,0.0,0.0,68.43,0.11,195.64,11-Jul-2019 - 00:00,999.81,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
11-Jul-2019 - 00:00,4.2,18.83,14.65,4.99,0.85,,41.16,0.91,251.1,26.68,0.7,2.58,0.44,0.18,0.21,69.71,0.04,176.59,12-Jul-2019 - 00:00,999.31,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
12-Jul-2019 - 00:00,10.76,50.03,39.7,4.36,1.07,,29.6,0.86,248.53,27.27,0.82,2.1,0.46,0.14,0.25,64.54,0.01,279.14,13-Jul-2019 - 00:00,999.0,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
13-Jul-2019 - 00:00,6.22,35.42,29.22,5.14,0.78,,27.57,0.87,246.25,27.3,0.61,1.22,0.23,0.02,0.07,65.52,0.02,221.23,14-Jul-2019 - 00:00,999.09,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
14-Jul-2019 - 00:00,3.18,19.48,16.34,5.08,0.75,,27.68,0.9,251.54,27.34,0.5,0.97,0.18,0.01,0.05,64.33,0.03,240.1,15-Jul-2019 - 00:00,999.23,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
15-Jul-2019 - 00:00,4.8,26.92,22.17,5.3,0.83,,30.42,0.89,251.78,27.24,0.62,1.5,0.31,0.07,0.15,67.16,0.03,279.92,16-Jul-2019 - 00:00,999.18,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
16-Jul-2019 - 00:00,4.33,26.5,22.61,5.82,0.91,,40.32,0.85,255.5,27.11,0.66,1.56,0.34,0.09,0.18,68.7,-0.0,243.34,17-Jul-2019 - 00:00,998.95,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
17-Jul-2019 - 00:00,6.69,31.75,27.04,4.53,0.92,,34.91,0.74,266.04,27.23,0.5,1.47,0.35,0.08,0.18,66.76,-0.03,161.71,18-Jul-2019 - 00:00,998.7,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
18-Jul-2019 - 00:00,8.13,39.51,31.38,5.21,1.04,,35.6,0.79,267.1,27.18,0.64,2.03,0.51,0.15,0.27,72.49,-0.03,171.66,19-Jul-2019 - 00:00,998.7,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
19-Jul-2019 - 00:00,6.76,33.41,26.67,5.04,0.77,,25.89,0.87,252.63,26.82,0.59,1.43,0.33,0.13,0.21,77.35,0.01,147.95,20-Jul-2019 - 00:00,999.06,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
20-Jul-2019 - 00:00,6.29,26.59,20.47,5.59,0.82,,26.91,0.92,243.79,26.59,0.37,0.73,0.16,0.02,0.07,74.9,0.06,176.28,21-Jul-2019 - 00:00,999.46,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
21-Jul-2019 - 00:00,9.33,35.51,26.38,3.27,1.01,,70.67,0.9,242.73,26.51,0.43,0.93,0.21,0.05,0.08,77.95,0.04,158.41,22-Jul-2019 - 00:00,999.31,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
22-Jul-2019 - 00:00,13.77,44.12,30.35,5.6,0.83,,24.29,0.92,245.84,26.24,0.44,0.9,0.2,0.04,0.09,78.05,0.06,121.96,23-Jul-2019 - 00:00,999.4,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
23-Jul-2019 - 00:00,9.92,35.9,26.4,4.85,0.88,,28.01,0.91,248.24,26.06,0.48,1.0,0.24,0.06,0.12,78.2,0.04,131.19,24-Jul-2019 - 00:00,999.29,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
24-Jul-2019 - 00:00,13.16,45.57,32.43,4.64,0.89,,18.92,0.91,246.74,26.77,0.45,0.9,0.22,0.03,0.13,73.38,0.04,240.47,25-Jul-2019 - 00:00,999.3,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
25-Jul-2019 - 00:00,11.42,45.25,33.85,4.01,0.82,,31.96,0.89,250.03,26.84,0.49,1.25,0.28,0.1,0.12,75.87,0.02,174.65,26-Jul-2019 - 00:00,999.13,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
26-Jul-2019 - 00:00,7.54,32.4,24.91,5.01,0.85,,33.67,0.93,249.18,26.41,0.44,0.92,0.2,0.03,0.09,76.03,0.06,120.83,27-Jul-2019 - 00:00,999.45,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
27-Jul-2019 - 00:00,5.92,27.59,23.14,3.8,0.88,,51.52,0.93,249.65,26.75,0.37,0.79,0.17,0.03,0.06,70.62,0.06,208.2,28-Jul-2019 - 00:00,999.48,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
28-Jul-2019 - 00:00,8.6,31.25,22.9,4.33,0.84,,42.64,0.9,249.51,26.41,0.42,0.87,0.21,0.06,0.08,76.18,0.04,176.66,29-Jul-2019 - 00:00,999.25,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
29-Jul-2019 - 00:00,7.91,29.95,22.06,4.7,0.86,,22.47,0.92,247.91,26.6,0.39,0.68,0.14,0.01,0.03,72.84,0.06,155.84,30-Jul-2019 - 00:00,999.41,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
30-Jul-2019 - 00:00,7.89,34.14,26.28,6.16,0.97,,32.96,0.92,249.28,26.47,0.32,0.69,0.15,0.02,0.05,71.1,0.05,151.93,31-Jul-2019 - 00:00,999.34,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
31-Jul-2019 - 00:00,5.91,30.14,24.27,4.03,0.78,,27.53,0.91,249.43,26.94,0.35,0.69,0.15,0.01,0.06,66.44,0.04,270.3,01-Aug-2019 - 00:00,999.29,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
01-Aug-2019 - 00:00,2.96,21.12,18.87,3.43,1.54,,25.93,0.93,248.22,27.06,0.26,0.5,0.09,0.01,0.01,65.31,0.06,210.67,02-Aug-2019 - 00:00,999.42,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
02-Aug-2019 - 00:00,4.09,22.95,18.91,4.65,0.84,,22.4,0.94,246.51,26.61,0.26,0.55,0.11,0.03,0.02,69.07,0.07,136.52,03-Aug-2019 - 00:00,999.53,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
03-Aug-2019 - 00:00,6.1,24.55,18.52,4.75,1.04,,33.75,0.93,243.19,26.87,0.21,0.46,0.07,0.0,0.0,66.42,0.07,176.79,04-Aug-2019 - 00:00,999.52,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
04-Aug-2019 - 00:00,2.78,18.61,16.0,4.8,1.13,,18.03,0.93,246.05,26.78,0.22,0.37,0.07,0.0,0.0,71.07,0.07,163.45,05-Aug-2019 - 00:00,999.49,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
05-Aug-2019 - 00:00,4.49,22.74,18.3,6.02,0.83,,24.85,0.93,247.97,26.21,0.24,0.55,0.12,0.02,0.03,79.99,0.07,103.84,06-Aug-2019 - 00:00,999.49,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
06-Aug-2019 - 00:00,4.27,21.68,17.47,5.45,0.8,,32.6,0.94,249.17,26.06,0.22,0.54,0.11,0.02,0.03,80.44,0.08,125.78,07-Aug-2019 - 00:00,999.59,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
07-Aug-2019 - 00:00,4.43,20.47,16.09,5.57,0.98,,22.89,0.96,249.92,26.23,0.23,0.51,0.11,0.01,0.02,81.33,0.1,112.46,08-Aug-2019 - 00:00,999.75,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
08-Aug-2019 - 00:00,5.91,24.75,18.88,6.14,0.81,,20.94,0.96,246.74,26.15,0.25,0.55,0.12,0.01,0.03,84.68,0.09,113.77,09-Aug-2019 - 00:00,999.69,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
09-Aug-2019 - 00:00,11.88,34.15,22.83,3.13,1.07,,29.61,0.97,242.88,26.17,0.18,0.47,0.09,0.0,0.01,82.44,0.1,115.78,10-Aug-2019 - 00:00,999.76,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
