from date,PM2.5,PM10,RF,AT,SR,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Toluene,Xylene,Temp,RH,BP,WD,WS,to date,station
06-Feb-2019 - 00:00,187.25,240.94,0.0,19.96,66.99,11.49,21.6,73.56,56.69,61.64,1.85,12.22,,,,31.04,82.19,745.19,146.78,1.51,07-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Feb-2019 - 00:00,66.06,89.59,0.09,17.88,25.07,11.02,7.75,49.1,32.42,48.22,0.95,13.38,,,,31.12,88.89,743.35,160.71,2.6,08-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Feb-2019 - 00:00,104.58,182.28,0.0,16.49,83.39,22.66,22.88,79.49,60.89,39.4,1.15,21.21,,,,31.6,73.45,748.95,233.21,1.35,09-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Feb-2019 - 00:00,78.21,158.96,0.0,16.07,105.27,17.57,16.08,76.04,53.52,35.55,1.08,16.35,,,,31.66,70.03,751.15,264.15,1.86,10-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Feb-2019 - 00:00,128.21,232.36,0.0,16.99,75.42,26.44,26.13,95.3,71.92,38.77,1.33,18.65,,,,31.61,67.38,752.59,265.34,1.07,11-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Feb-2019 - 00:00,200.94,341.76,0.0,17.86,73.01,39.9,57.35,107.09,103.59,45.73,2.09,39.8,,,,31.51,67.15,753.18,215.4,0.7,12-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Feb-2019 - 00:00,239.22,378.86,0.0,19.31,68.3,34.94,55.74,117.13,107.61,51.07,2.35,22.57,,,,31.24,68.43,753.2,156.81,0.64,13-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-Feb-2019 - 00:00,196.52,319.85,0.0,20.27,68.12,28.92,48.13,104.48,95.16,49.0,2.35,17.62,,,,31.12,71.4,752.21,158.43,0.79,14-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-Feb-2019 - 00:00,161.07,205.59,0.06,19.04,51.29,10.28,11.88,69.29,46.51,46.61,1.25,11.3,,,,31.12,80.25,748.1,147.95,1.99,15-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Feb-2019 - 00:00,127.26,169.11,0.0,18.85,63.58,29.98,23.12,68.5,55.23,41.72,1.3,11.28,,,,31.31,79.6,748.36,170.77,1.17,16-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Feb-2019 - 00:00,132.35,179.55,0.0,17.04,45.76,11.52,18.23,66.3,50.09,38.12,1.28,13.21,,,,31.5,86.72,749.9,262.39,1.53,17-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Feb-2019 - 00:00,119.19,179.01,0.0,17.88,84.7,15.24,21.42,77.03,58.39,37.26,1.38,14.03,,,,31.32,78.38,746.72,256.53,1.38,18-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Feb-2019 - 00:00,104.43,194.25,0.01,19.69,66.97,12.44,20.08,78.53,58.09,36.78,1.38,11.33,,,,31.28,68.21,742.23,157.45,1.46,19-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Feb-2019 - 00:00,126.84,211.68,0.0,20.32,76.08,12.01,31.63,71.29,63.64,41.88,1.67,11.25,,,,31.34,77.05,745.32,136.15,0.92,20-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Feb-2019 - 00:00,88.19,140.98,0.01,19.74,38.07,5.98,23.34,66.14,54.15,41.24,1.26,5.95,,,,31.41,81.99,750.24,122.68,1.16,21-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Feb-2019 - 00:00,79.55,187.05,0.0,22.21,83.66,15.43,44.46,58.26,67.13,40.87,1.36,8.98,,,,31.65,71.65,748.97,134.55,1.16,22-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-Feb-2019 - 00:00,84.05,166.4,0.0,20.67,88.84,16.99,38.8,56.34,61.52,39.68,1.46,31.31,,,,31.84,74.56,749.21,260.32,2.22,23-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-Feb-2019 - 00:00,57.24,127.67,0.0,18.42,100.82,28.94,7.59,57.69,36.87,32.27,0.89,28.67,,,,32.01,64.33,747.67,262.48,2.43,24-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-Feb-2019 - 00:00,84.01,163.27,0.0,19.85,99.84,20.89,11.83,70.1,46.9,31.86,1.11,20.18,,,,31.96,58.94,744.53,232.01,1.34,25-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-Feb-2019 - 00:00,113.76,193.34,0.15,19.14,93.28,18.73,16.42,72.33,51.83,33.64,1.31,13.14,,,,31.9,67.35,744.1,97.9,0.79,26-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-Feb-2019 - 00:00,51.97,124.97,0.0,17.63,98.42,12.73,6.27,57.8,33.6,33.9,1.43,13.19,,,,31.9,70.89,743.11,125.74,1.71,27-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-Feb-2019 - 00:00,59.94,102.98,0.0,16.28,88.45,10.45,9.09,56.08,37.23,33.67,0.66,12.07,,,,32.56,75.17,743.09,147.06,1.64,28-Feb-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
28-Feb-2019 - 00:00,116.26,190.48,0.0,17.18,98.43,20.96,29.51,66.62,59.42,37.48,0.89,23.42,,,,32.53,67.92,746.71,230.02,1.38,01-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
01-Mar-2019 - 00:00,126.69,225.18,0.0,18.84,100.64,21.81,30.04,74.88,64.25,38.46,0.69,29.21,,,,32.52,61.6,747.07,228.98,1.33,02-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Mar-2019 - 00:00,121.33,180.95,0.06,17.52,33.67,15.04,25.03,80.68,63.26,45.12,1.11,13.59,,,,33.31,75.14,747.44,145.49,0.83,03-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Mar-2019 - 00:00,70.21,111.25,0.02,17.92,74.14,6.85,24.97,58.87,51.61,47.28,1.19,6.94,,,,33.21,84.57,744.26,143.31,1.01,04-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Mar-2019 - 00:00,129.1,213.19,0.0,20.11,82.05,21.62,52.8,62.79,76.32,49.86,1.33,40.99,,,,32.68,81.95,741.24,219.47,1.26,05-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Mar-2019 - 00:00,67.36,148.68,0.0,20.8,105.4,27.75,17.29,61.73,45.52,44.46,0.92,27.93,,,,32.16,67.61,742.6,266.31,1.61,06-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-Mar-2019 - 00:00,93.41,184.62,0.0,20.59,101.38,22.41,22.54,69.88,55.5,42.04,1.14,23.25,,,,32.31,64.7,743.34,244.08,1.43,07-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Mar-2019 - 00:00,118.84,221.3,0.0,21.55,99.98,22.23,36.98,76.85,70.94,40.68,1.39,31.08,,,,32.12,61.28,743.65,214.96,1.0,08-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Mar-2019 - 00:00,113.91,209.53,0.0,22.01,92.73,20.1,18.35,71.26,52.83,41.27,1.17,20.16,,,,32.26,61.34,745.29,149.7,1.29,09-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Mar-2019 - 00:00,101.77,208.11,0.0,22.0,96.04,38.93,27.16,62.88,55.35,38.72,0.94,40.11,,,,32.46,60.69,745.18,240.41,1.85,10-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Mar-2019 - 00:00,82.65,183.19,0.0,22.26,104.06,34.29,9.69,69.6,44.9,37.47,1.03,27.28,,,,32.27,54.95,745.44,202.5,1.25,11-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Mar-2019 - 00:00,78.95,204.83,0.0,23.26,84.15,22.94,10.37,65.59,43.33,37.61,1.02,13.85,,,,32.05,58.85,744.95,142.83,2.01,12-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Mar-2019 - 00:00,66.73,126.06,0.0,22.68,89.41,24.2,6.77,54.45,34.46,36.26,0.77,15.26,,,,31.56,60.95,747.04,158.19,2.04,13-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-Mar-2019 - 00:00,106.19,285.88,0.0,21.59,52.99,24.44,11.9,72.02,47.97,39.74,1.15,11.3,,,,31.94,61.31,747.39,135.16,1.28,14-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-Mar-2019 - 00:00,130.8,228.41,0.01,20.02,77.11,33.89,27.36,63.34,55.94,41.78,1.26,20.25,,,,32.23,70.49,748.05,160.07,1.89,15-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Mar-2019 - 00:00,74.8,144.7,0.0,21.01,108.83,32.66,14.42,61.1,44.23,39.34,0.85,28.0,,,,32.13,66.82,749.29,246.88,1.74,16-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Mar-2019 - 00:00,66.76,144.72,0.0,22.14,106.46,31.74,6.84,65.28,40.29,37.28,0.84,31.8,,,,31.95,60.42,747.76,253.28,1.77,17-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Mar-2019 - 00:00,100.51,190.55,0.0,23.55,106.97,25.01,12.43,72.06,48.43,36.56,0.98,25.01,,,,31.86,56.61,745.88,235.83,1.36,18-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Mar-2019 - 00:00,109.82,216.34,0.0,23.92,101.21,28.9,18.54,77.63,56.36,36.34,0.91,29.92,,,,31.72,57.35,745.34,241.34,1.12,19-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Mar-2019 - 00:00,114.56,258.27,0.0,25.77,105.77,28.89,27.77,81.31,65.76,42.22,1.31,23.33,,,,32.87,53.85,741.89,224.05,1.18,20-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Mar-2019 - 00:00,86.27,223.24,0.0,27.25,92.75,18.31,14.26,65.78,46.58,36.21,1.2,10.35,,,,31.13,51.32,740.27,143.41,1.65,21-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Mar-2019 - 00:00,101.01,168.03,0.0,26.5,98.12,16.49,7.99,56.42,36.5,37.27,1.22,9.88,,,,31.25,53.22,743.6,138.42,1.46,22-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
22-Mar-2019 - 00:00,41.39,136.84,0.0,25.39,113.44,20.53,3.19,55.31,32.02,30.62,0.56,21.73,,,,31.04,47.59,745.57,253.41,2.29,23-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
23-Mar-2019 - 00:00,52.99,143.93,0.0,25.51,110.9,17.87,3.95,63.48,36.97,32.9,0.63,17.51,,,,31.7,50.51,744.74,267.96,2.39,24-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
24-Mar-2019 - 00:00,63.51,153.3,0.0,26.47,106.86,30.86,8.16,65.45,41.45,33.12,0.68,19.77,,,,31.6,52.0,743.2,233.4,1.98,25-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
25-Mar-2019 - 00:00,67.64,173.25,0.0,24.92,110.21,21.34,15.25,57.35,42.56,38.51,0.83,21.71,,,,31.28,61.36,743.52,222.61,2.02,26-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
26-Mar-2019 - 00:00,85.64,184.3,0.0,25.35,109.26,25.82,0.92,65.84,35.73,50.32,0.77,22.43,,,,31.37,58.86,744.83,256.16,1.81,27-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
27-Mar-2019 - 00:00,83.35,201.46,0.0,26.99,100.44,26.83,0.91,74.2,40.08,50.46,1.04,20.85,,,,31.16,53.01,745.35,254.54,1.39,28-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
28-Mar-2019 - 00:00,145.56,303.14,0.0,29.16,99.26,21.54,2.03,78.81,43.41,57.37,1.81,37.99,,,,31.04,53.53,743.23,210.19,0.82,29-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
29-Mar-2019 - 00:00,174.27,325.14,0.0,30.8,101.07,18.12,2.0,73.14,40.53,63.87,1.89,34.38,,,,30.93,57.39,740.15,185.95,1.09,30-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
30-Mar-2019 - 00:00,133.38,289.77,0.0,32.17,98.34,27.43,2.01,70.61,39.19,65.93,1.41,13.13,,,,30.77,52.31,739.12,134.59,1.03,31-Mar-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
31-Mar-2019 - 00:00,61.68,219.02,0.0,30.2,112.36,21.28,1.67,62.11,34.4,58.93,0.66,24.55,,,,30.9,45.59,739.77,235.47,2.27,01-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
01-Apr-2019 - 00:00,56.0,192.08,0.0,29.03,114.04,32.77,1.66,66.92,36.95,55.01,0.66,32.86,,,,31.12,44.36,740.1,258.39,2.08,02-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
02-Apr-2019 - 00:00,117.06,269.69,0.0,29.86,103.79,31.13,1.85,78.6,42.76,55.67,1.21,44.31,,,,31.08,44.74,740.92,210.79,1.07,03-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
03-Apr-2019 - 00:00,90.2,239.74,0.0,30.75,109.85,24.84,2.71,76.56,41.86,56.37,1.17,27.32,,,,30.92,43.46,739.76,196.74,1.2,04-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
04-Apr-2019 - 00:00,146.66,332.38,0.0,32.03,97.39,66.46,1.78,80.71,44.27,56.82,1.68,53.75,,,,30.88,47.71,740.35,148.94,0.99,05-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
05-Apr-2019 - 00:00,192.15,444.76,0.0,33.13,91.76,83.38,2.8,84.59,46.45,56.05,2.39,51.71,,,,30.74,47.36,739.24,159.14,0.87,06-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
06-Apr-2019 - 00:00,112.91,390.21,0.0,33.53,90.03,48.11,1.88,69.28,36.85,56.47,1.4,48.74,,,,30.74,46.96,738.11,137.44,0.85,07-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
07-Apr-2019 - 00:00,129.43,331.84,0.07,30.83,86.15,35.8,1.51,51.79,28.74,73.75,1.13,17.62,,,,30.87,63.73,737.53,141.2,1.66,08-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
08-Apr-2019 - 00:00,75.65,331.15,0.0,29.62,94.8,28.57,1.6,60.66,33.47,58.57,0.92,48.88,,,,30.93,56.34,738.35,142.16,0.85,09-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
09-Apr-2019 - 00:00,99.78,272.02,0.0,30.8,100.88,38.54,1.74,69.87,38.43,54.44,1.43,43.26,,,,30.81,52.58,738.0,118.12,0.69,10-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
10-Apr-2019 - 00:00,139.89,359.44,0.0,33.34,101.99,42.93,2.08,76.15,41.67,58.89,1.65,59.82,,,,30.69,47.66,739.19,194.05,0.99,11-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
11-Apr-2019 - 00:00,85.72,262.83,0.0,33.89,99.49,36.0,1.49,57.44,31.71,53.69,0.91,50.89,,,,30.68,43.95,738.96,160.44,1.01,12-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
12-Apr-2019 - 00:00,73.32,256.05,0.02,31.9,93.84,32.79,1.54,52.29,29.02,49.86,0.88,46.85,,,,30.92,48.81,739.58,144.77,1.61,13-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
13-Apr-2019 - 00:00,70.3,246.41,0.0,32.66,107.8,36.65,1.48,49.98,27.76,47.1,0.79,46.47,,,,30.76,44.86,740.01,196.49,2.05,14-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
14-Apr-2019 - 00:00,66.84,248.5,0.0,33.2,106.66,51.85,1.43,56.44,31.14,45.51,0.57,55.48,,,,30.75,43.33,739.68,236.64,1.99,15-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
15-Apr-2019 - 00:00,56.04,238.44,0.0,34.83,110.05,26.62,2.79,60.74,33.91,42.03,1.3,41.95,,,,30.71,39.48,737.61,215.42,1.64,16-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
16-Apr-2019 - 00:00,54.07,194.31,0.0,27.6,73.26,12.13,1.41,41.56,23.11,45.92,0.64,41.39,,,,31.12,60.88,741.51,174.43,2.42,17-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
17-Apr-2019 - 00:00,18.2,91.57,0.0,24.98,98.65,9.72,1.5,40.73,21.93,41.33,2.09,39.53,,,,30.91,65.33,743.12,172.73,2.44,18-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
18-Apr-2019 - 00:00,57.25,140.95,0.0,26.17,102.33,27.28,1.57,54.44,30.21,38.88,0.87,51.71,,,,30.85,62.21,743.15,136.43,1.06,19-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
19-Apr-2019 - 00:00,85.94,200.2,0.0,28.89,108.28,28.42,1.67,74.33,40.85,41.89,1.16,50.46,,,,30.75,51.25,740.66,234.41,1.06,20-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
20-Apr-2019 - 00:00,94.02,223.48,0.0,30.99,105.26,16.08,2.41,90.3,49.56,38.38,1.46,58.36,,,,30.68,45.58,738.11,229.8,0.64,21-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
21-Apr-2019 - 00:00,131.97,350.88,0.0,33.06,106.67,29.78,2.69,89.21,48.69,45.78,1.84,56.29,,,,30.66,43.29,736.23,195.2,0.8,22-Apr-2019 - 00:00,"Vasundhara, Ghaziabad - UPPCB"
