from date,NO,NO2,NOx,NH3,PM10,PM2.5,Benzene,Toluene,Eth-Benzene,MP-Xylene,Xylene,RH,WD,WS,SR,RF,SO2,CO,Ozone,to date,station
11-Feb-2019 - 00:00,23.12,53.02,46.24,,202.6,101.13,,,0.0,0.0,,67.45,185.04,0.54,344.84,0.0,18.31,0.87,30.62,12-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Feb-2019 - 00:00,12.69,46.88,34.66,,201.63,103.35,,,0.0,0.0,,66.83,146.46,0.56,326.83,0.0,21.45,0.86,34.36,13-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Feb-2019 - 00:00,11.05,54.16,37.16,,226.39,125.94,,,0.0,0.0,,73.59,89.75,1.16,223.99,0.0,26.38,0.92,39.45,14-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-Feb-2019 - 00:00,5.97,52.5,32.22,,205.86,121.77,,,0.0,0.0,,74.03,129.66,2.7,233.27,0.01,25.04,0.81,40.77,15-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-Feb-2019 - 00:00,13.87,39.71,31.87,,138.3,81.6,,,0.0,0.0,,93.29,276.36,1.55,66.71,0.0,13.35,0.75,23.59,16-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-Feb-2019 - 00:00,14.07,35.97,30.07,,113.3,58.42,,,0.0,0.0,,82.54,288.55,1.27,235.95,0.0,13.41,0.7,24.07,17-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
17-Feb-2019 - 00:00,11.58,42.62,31.55,,134.03,66.57,,,0.0,0.0,,65.65,255.76,1.22,404.59,0.0,16.84,0.63,37.89,18-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
18-Feb-2019 - 00:00,10.42,44.9,31.82,,166.64,75.37,,,0.0,0.0,,65.98,95.25,2.1,396.74,0.0,18.75,0.58,39.65,19-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
19-Feb-2019 - 00:00,9.89,38.49,27.75,,124.82,76.01,,,0.0,0.0,,78.84,143.59,1.22,376.8,0.01,7.81,0.55,36.67,20-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
20-Feb-2019 - 00:00,8.17,49.23,32.27,,143.51,97.31,,,0.0,0.0,,86.39,98.78,1.95,92.29,0.0,15.71,0.74,14.56,21-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
21-Feb-2019 - 00:00,6.48,41.71,26.98,,106.04,61.27,,,0.0,0.0,,71.42,208.86,2.13,334.28,0.0,19.89,0.58,26.93,22-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
22-Feb-2019 - 00:00,3.93,29.66,18.72,,59.23,36.88,,,0.0,0.0,,72.42,316.6,2.1,297.66,0.0,7.61,0.41,38.17,23-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
23-Feb-2019 - 00:00,2.88,29.11,17.58,0.57,68.45,38.52,,,0.0,0.0,,58.93,308.69,1.97,412.38,0.0,11.35,0.46,40.9,24-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
24-Feb-2019 - 00:00,3.67,36.47,21.99,,87.71,51.49,,,0.0,0.0,,57.81,224.17,0.83,445.6,0.0,16.23,0.47,52.92,25-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
25-Feb-2019 - 00:00,4.14,29.59,18.83,44.05,116.34,70.17,,,0.0,0.0,,60.45,106.55,1.38,409.1,0.0,29.64,0.5,51.34,26-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
26-Feb-2019 - 00:00,1.98,20.69,12.99,35.92,74.85,37.63,,,0.0,0.0,,66.09,134.29,1.64,369.37,0.0,23.2,0.42,41.04,27-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
27-Feb-2019 - 00:00,2.18,17.79,11.03,32.47,57.18,31.4,,,0.0,0.0,,69.15,169.56,1.37,413.56,0.02,11.66,0.36,42.85,28-Feb-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
28-Feb-2019 - 00:00,6.51,28.49,20.08,38.31,106.33,64.93,,,0.0,0.0,,64.47,236.26,0.91,434.19,0.0,21.16,0.64,65.28,01-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
01-Mar-2019 - 00:00,2.35,27.33,16.15,37.58,111.35,69.08,,,0.0,0.0,,65.73,155.28,0.64,429.25,0.0,23.15,0.59,53.27,02-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Mar-2019 - 00:00,1.8,23.86,13.9,33.82,75.56,55.02,,,0.0,0.0,,78.37,131.2,1.43,87.97,0.05,23.04,0.5,41.46,03-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Mar-2019 - 00:00,1.95,23.36,13.75,31.74,79.35,60.67,,,0.0,0.0,,85.79,84.04,1.16,310.36,0.0,20.95,0.62,38.26,04-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Mar-2019 - 00:00,2.43,18.76,11.73,34.31,74.89,48.81,,,0.0,0.0,,81.08,293.47,1.38,364.8,0.0,18.78,0.54,35.61,05-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Mar-2019 - 00:00,1.72,20.03,11.81,28.12,73.99,44.83,,,0.0,0.0,,68.15,294.06,1.56,439.1,0.0,18.96,0.55,50.08,06-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Mar-2019 - 00:00,1.26,19.39,11.11,30.02,78.56,44.96,,,0.0,0.0,,57.77,282.15,1.64,305.22,0.0,24.32,0.49,64.68,07-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Mar-2019 - 00:00,1.49,22.44,12.84,33.27,114.95,59.94,,,0.0,0.0,,55.42,143.74,0.94,359.8,0.0,31.75,0.55,65.96,08-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Mar-2019 - 00:00,1.06,16.18,9.29,29.92,77.51,32.94,4.68,29.76,0.59,0.86,3.14,55.98,156.53,1.57,345.17,0.0,27.11,0.43,66.46,09-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Mar-2019 - 00:00,1.36,19.39,11.21,28.42,83.97,39.93,4.11,20.15,0.96,1.9,2.73,58.44,315.46,2.2,329.46,0.0,24.36,0.57,49.77,10-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Mar-2019 - 00:00,1.11,21.53,12.1,28.26,89.93,45.4,4.57,15.65,0.66,1.29,2.86,50.14,230.78,1.44,338.5,0.0,16.41,0.52,62.86,11-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-Mar-2019 - 00:00,1.98,22.27,18.97,27.22,133.61,54.75,4.18,14.69,0.82,1.39,1.14,52.55,173.03,2.64,307.75,0.0,22.35,0.56,49.95,12-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Mar-2019 - 00:00,5.65,14.08,22.1,31.19,108.05,57.67,4.3,14.02,1.28,1.97,7.57,61.3,258.88,1.52,430.83,0.0,16.35,0.61,48.81,13-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Mar-2019 - 00:00,11.85,18.54,27.96,36.13,168.12,67.05,5.9,13.05,0.97,1.53,1.12,62.96,161.89,1.48,176.41,0.0,21.89,0.72,41.36,14-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-Mar-2019 - 00:00,12.61,18.87,27.21,35.61,108.52,53.77,3.94,14.08,2.02,2.32,4.05,70.98,119.38,1.67,324.16,0.0,17.33,0.59,38.53,15-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-Mar-2019 - 00:00,13.01,20.71,30.08,33.92,88.6,47.79,4.48,13.93,1.7,2.5,5.8,63.95,300.01,1.79,342.77,0.0,19.59,0.64,53.13,16-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-Mar-2019 - 00:00,11.34,19.08,29.93,32.48,90.55,51.99,4.33,12.69,1.63,1.96,5.73,41.19,281.58,1.6,430.97,0.0,20.15,0.63,65.41,17-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
17-Mar-2019 - 00:00,11.15,20.05,32.12,32.78,122.44,62.6,6.2,12.67,1.2,1.93,3.12,50.76,259.66,1.35,346.82,0.0,26.35,0.73,63.66,18-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
18-Mar-2019 - 00:00,11.23,22.2,36.32,32.89,137.54,67.98,6.39,13.54,1.45,2.69,4.72,50.7,262.53,1.03,368.87,0.0,32.29,0.83,64.25,19-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
19-Mar-2019 - 00:00,11.18,18.78,29.64,34.62,136.64,69.02,6.18,10.36,0.87,1.38,2.03,52.37,141.67,1.22,345.57,0.0,37.86,0.75,49.87,20-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
20-Mar-2019 - 00:00,11.2,18.0,28.13,31.36,151.09,69.32,6.56,13.05,2.26,2.45,3.89,53.67,252.75,2.55,427.26,0.0,37.65,0.71,50.09,21-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
21-Mar-2019 - 00:00,11.27,12.8,18.08,30.03,93.36,42.68,2.89,7.82,0.44,0.81,1.0,55.4,251.07,2.11,415.61,0.0,27.38,0.44,41.41,22-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
22-Mar-2019 - 00:00,11.0,14.98,22.7,27.7,95.59,35.92,3.12,8.49,0.38,1.28,1.77,46.47,315.36,2.41,396.13,0.0,27.95,0.43,59.23,23-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
23-Mar-2019 - 00:00,10.96,18.63,21.58,26.78,107.88,37.97,3.6,6.0,0.43,0.93,1.64,42.72,313.33,2.49,344.17,0.0,33.13,0.45,68.37,24-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
24-Mar-2019 - 00:00,11.34,21.15,14.5,26.7,93.3,39.32,2.8,3.14,1.04,1.42,1.41,54.17,274.26,2.17,472.22,0.0,33.43,0.44,43.38,25-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
25-Mar-2019 - 00:00,11.34,23.94,15.95,29.32,102.58,55.73,3.17,1.97,0.96,1.52,1.72,61.75,256.12,1.83,375.68,0.0,39.67,0.62,39.51,26-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
26-Mar-2019 - 00:00,11.65,36.74,22.93,33.09,120.26,57.69,2.46,2.38,1.26,1.94,1.93,49.69,278.35,1.82,341.92,0.0,36.63,0.7,45.94,27-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
27-Mar-2019 - 00:00,10.49,35.68,23.19,37.06,114.73,49.71,2.78,2.85,0.91,1.87,1.28,43.2,211.61,1.08,348.48,0.0,30.19,0.69,65.07,28-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
28-Mar-2019 - 00:00,7.99,32.19,20.35,40.36,146.07,64.69,3.8,6.72,2.67,3.56,3.03,47.52,123.16,1.15,414.68,0.0,33.66,0.7,73.33,29-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
29-Mar-2019 - 00:00,11.8,29.71,19.4,48.24,164.6,81.57,5.79,8.18,1.33,1.71,4.82,54.69,119.81,1.13,388.38,0.0,29.75,0.78,76.45,30-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
30-Mar-2019 - 00:00,11.54,28.6,18.55,37.87,177.09,89.26,7.29,8.52,0.91,1.51,1.26,55.55,217.26,1.59,411.42,0.0,38.48,0.97,68.59,31-Mar-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
31-Mar-2019 - 00:00,10.91,18.67,12.78,31.18,125.34,42.24,2.69,4.97,0.62,1.01,2.82,38.45,322.3,2.64,306.81,0.0,6.74,0.49,84.99,01-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
01-Apr-2019 - 00:00,10.87,22.73,14.87,36.32,140.51,43.66,4.0,7.17,1.96,2.48,12.87,33.33,301.72,2.66,276.51,0.0,13.23,0.46,89.39,02-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
02-Apr-2019 - 00:00,11.12,27.52,17.61,41.35,140.18,53.5,5.5,5.99,0.67,1.31,1.72,32.79,191.59,1.03,386.46,0.0,22.07,0.55,91.27,03-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
03-Apr-2019 - 00:00,11.01,23.76,23.56,41.38,137.05,61.82,6.12,6.4,0.81,1.52,1.73,36.48,168.9,1.05,405.0,0.0,31.14,0.62,91.16,04-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
04-Apr-2019 - 00:00,11.9,27.96,31.52,47.38,175.73,82.91,6.21,7.02,1.03,1.58,1.94,40.61,105.01,1.42,422.69,0.0,41.41,0.75,77.59,05-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
05-Apr-2019 - 00:00,12.04,38.34,24.14,45.36,188.09,94.94,7.21,8.44,1.18,2.17,1.34,43.21,108.08,1.14,407.35,0.0,15.53,0.81,82.4,06-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
06-Apr-2019 - 00:00,12.17,28.8,19.28,47.48,246.06,81.9,6.12,6.33,0.85,1.53,1.33,40.87,117.41,1.26,413.74,0.0,13.28,0.73,71.41,07-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
07-Apr-2019 - 00:00,11.04,24.93,16.29,39.49,247.38,86.99,5.03,6.3,0.74,1.28,0.81,42.11,196.84,1.73,399.61,0.0,13.4,0.81,85.91,08-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
08-Apr-2019 - 00:00,11.44,23.38,15.75,47.16,315.28,197.38,3.35,5.04,0.42,0.8,0.55,47.85,98.45,1.75,396.0,0.0,13.36,0.59,68.16,09-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
09-Apr-2019 - 00:00,12.26,30.34,20.17,38.37,197.0,84.84,5.8,6.97,0.87,1.45,0.76,43.25,88.13,1.44,403.85,0.0,20.99,0.79,78.84,10-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
10-Apr-2019 - 00:00,10.82,21.72,14.4,54.19,183.84,61.78,2.98,6.24,1.8,1.94,7.87,39.3,142.86,1.69,426.38,0.0,19.99,0.6,86.19,11-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
11-Apr-2019 - 00:00,11.55,16.59,17.0,64.14,129.23,60.27,5.7,12.04,5.4,5.63,17.13,36.42,135.38,1.52,386.9,0.0,24.92,0.56,78.1,12-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
12-Apr-2019 - 00:00,12.01,12.41,17.98,61.26,166.17,60.34,2.13,5.81,1.71,2.08,14.9,39.62,218.22,2.19,419.93,0.0,23.54,0.51,80.32,13-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
13-Apr-2019 - 00:00,12.34,13.79,20.13,55.93,136.47,44.84,3.06,5.21,1.61,1.86,9.42,34.13,167.29,2.39,495.29,0.0,29.11,0.54,64.37,14-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
14-Apr-2019 - 00:00,11.95,11.68,16.69,50.02,124.72,41.21,3.33,4.58,1.07,1.39,7.46,37.89,245.1,2.18,413.09,0.0,29.56,0.47,69.05,15-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
15-Apr-2019 - 00:00,12.79,22.85,19.95,63.63,139.03,54.24,2.4,5.96,1.38,2.17,5.66,35.68,241.34,1.9,498.16,0.0,32.08,0.56,67.18,16-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
16-Apr-2019 - 00:00,12.31,20.89,14.16,59.96,108.64,39.76,2.1,3.29,0.4,0.74,0.42,64.48,123.54,2.69,190.89,0.01,31.27,0.49,65.88,17-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
17-Apr-2019 - 00:00,12.5,21.4,14.54,61.8,109.39,49.96,2.6,3.63,0.4,0.77,0.85,68.51,142.86,1.74,262.91,0.02,31.85,0.44,63.44,18-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
18-Apr-2019 - 00:00,12.59,23.81,15.92,52.46,64.25,29.43,1.81,3.96,0.59,1.23,1.33,62.68,209.55,1.5,465.32,0.0,34.91,0.53,68.38,19-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
19-Apr-2019 - 00:00,12.17,24.75,16.07,86.67,83.34,36.57,2.66,4.45,0.69,1.46,1.5,45.18,291.57,1.64,490.54,0.0,39.14,0.56,89.89,20-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
20-Apr-2019 - 00:00,18.09,39.84,28.7,92.97,123.25,52.82,4.47,7.14,1.74,4.3,3.29,38.24,277.7,1.15,457.72,0.0,40.61,0.86,88.86,21-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
21-Apr-2019 - 00:00,12.85,35.06,21.99,83.51,150.17,68.84,4.65,5.75,1.04,2.55,2.55,31.12,238.19,1.34,458.57,0.0,44.55,0.69,88.34,22-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
22-Apr-2019 - 00:00,12.75,33.34,21.03,80.36,156.54,62.3,4.36,5.24,0.98,2.07,2.51,29.69,240.5,1.5,463.89,0.0,53.65,0.71,92.08,23-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
23-Apr-2019 - 00:00,23.86,42.07,34.5,70.48,194.07,53.11,5.08,9.15,2.94,6.74,4.54,28.34,205.7,1.43,465.51,0.0,48.17,1.04,70.79,24-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
24-Apr-2019 - 00:00,14.1,35.16,28.61,74.81,274.97,93.92,6.24,9.19,2.23,4.6,3.18,30.93,175.8,2.14,438.57,0.0,50.4,0.78,49.34,25-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
25-Apr-2019 - 00:00,12.02,17.33,27.4,63.63,265.63,80.06,3.16,4.19,0.62,1.45,1.53,36.51,210.03,1.62,389.6,0.0,56.07,0.69,58.49,26-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
26-Apr-2019 - 00:00,12.16,16.87,26.3,60.9,197.31,67.12,2.94,5.06,1.6,2.0,2.73,27.3,270.23,1.87,447.42,0.0,50.77,0.57,51.03,27-Apr-2019 - 00:00,"Urban Estate-II, Hisar - HSPCB"
