from date,MP-Xylene,Benzene,Toluene,O Xylene,NO,NO2,NOx,NH3,WS,SO2,CO,PM10,PM2.5,Ozone,Eth-Benzene,BP,RH,SR,VWS,WD,to date,station
15-Jan-2019 - 00:00,3.05,1.8,5.03,1.19,55.25,57.55,111.68,26.45,0.66,27.68,1.15,153.33,84.72,24.63,0.77,763.05,19.06,112.29,0.12,241.92,16-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
16-Jan-2019 - 00:00,3.74,1.7,6.2,1.53,77.09,46.12,81.61,26.2,0.79,27.27,0.64,148.28,74.75,37.74,1.06,762.22,25.19,144.8,-0.06,149.13,17-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
17-Jan-2019 - 00:00,3.36,1.96,5.4,1.35,43.34,63.55,64.33,27.22,0.57,26.25,1.32,173.43,86.95,31.51,1.15,761.56,33.94,112.86,0.18,183.56,18-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
18-Jan-2019 - 00:00,4.13,2.29,6.63,1.72,20.07,64.21,46.93,28.55,0.73,33.29,1.29,198.8,114.16,34.46,1.32,762.2,35.31,101.26,0.12,117.19,19-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
19-Jan-2019 - 00:00,5.38,3.0,9.24,2.28,,,,,0.59,29.09,0.9,194.01,132.02,31.11,1.84,762.11,36.08,114.43,0.2,207.3,20-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
20-Jan-2019 - 00:00,4.17,2.34,7.36,1.79,,,,,0.6,27.54,0.79,168.08,97.68,32.47,1.42,761.45,37.56,116.21,0.21,215.51,21-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
21-Jan-2019 - 00:00,2.57,1.44,3.99,1.07,,,,,1.05,29.11,0.72,158.63,85.88,20.62,0.76,758.22,43.8,81.06,-0.21,127.7,22-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
22-Jan-2019 - 00:00,1.72,0.93,2.5,0.65,35.96,45.8,51.17,61.77,1.05,32.52,0.79,97.79,52.59,19.66,0.34,759.31,61.49,106.55,0.06,185.75,23-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
23-Jan-2019 - 00:00,1.97,1.15,2.95,0.77,16.89,37.78,33.12,33.55,0.95,47.64,0.69,119.47,58.07,27.13,0.6,761.56,60.83,125.84,-0.61,78.91,24-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
24-Jan-2019 - 00:00,1.66,1.0,2.67,0.68,7.92,37.7,23.6,32.77,1.69,34.67,0.79,117.52,68.46,18.7,0.6,763.21,71.1,85.06,-0.82,108.49,25-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
25-Jan-2019 - 00:00,1.55,0.78,2.14,0.57,61.51,33.35,60.52,31.08,0.97,16.26,0.75,97.05,49.75,22.97,0.31,763.46,61.74,137.49,-0.46,214.79,26-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
26-Jan-2019 - 00:00,1.38,0.74,1.88,0.52,129.03,28.46,100.62,25.41,0.94,13.56,0.82,109.92,49.69,28.41,0.21,765.62,42.69,150.32,-0.21,252.29,27-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
27-Jan-2019 - 00:00,1.13,0.71,1.61,0.35,10.0,29.93,23.7,19.99,0.83,12.67,0.79,132.21,64.21,30.8,0.08,765.99,43.38,142.5,-0.27,285.13,28-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
28-Jan-2019 - 00:00,2.12,1.46,3.38,0.85,10.29,30.29,24.63,19.6,0.78,12.84,0.87,156.74,89.32,24.39,0.56,766.05,38.31,150.86,0.02,252.04,29-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
29-Jan-2019 - 00:00,1.89,1.19,2.79,0.75,10.21,29.79,24.52,20.02,0.79,10.49,0.7,136.52,76.01,25.75,0.49,764.95,31.2,178.64,-0.03,252.91,30-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
30-Jan-2019 - 00:00,1.73,1.01,2.58,0.65,10.25,32.69,25.06,18.74,0.75,13.04,0.77,117.77,50.18,46.66,0.46,763.15,25.05,177.91,0.12,120.14,31-Jan-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
31-Jan-2019 - 00:00,1.23,0.75,1.75,0.42,10.39,35.18,28.17,18.25,1.24,17.06,0.75,96.27,35.39,29.5,0.22,761.51,36.9,123.96,-0.43,56.73,01-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
01-Feb-2019 - 00:00,1.51,1.01,2.33,0.55,16.53,38.67,34.71,18.43,1.15,15.18,0.72,145.46,77.52,18.58,0.43,762.44,51.54,140.58,-0.21,238.29,02-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Feb-2019 - 00:00,1.58,1.26,2.52,0.59,19.5,40.24,36.32,20.19,1.07,14.82,0.72,144.22,92.72,24.16,0.38,762.92,56.04,146.29,0.16,252.83,03-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Feb-2019 - 00:00,1.63,1.26,2.55,0.64,22.26,40.58,39.54,19.9,0.8,16.94,0.75,148.16,116.55,34.22,0.46,763.74,52.53,159.93,0.01,149.44,04-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Feb-2019 - 00:00,1.73,1.69,3.13,0.63,20.52,41.93,38.69,19.79,0.89,13.07,1.14,146.24,106.55,41.58,0.45,763.83,42.0,127.73,-0.19,84.24,05-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Feb-2019 - 00:00,1.75,1.45,2.92,0.67,23.37,41.28,41.41,20.72,0.97,13.88,1.51,154.47,96.14,32.25,0.55,761.77,51.14,111.14,-0.11,71.37,06-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Feb-2019 - 00:00,1.8,1.36,3.21,0.69,22.8,43.46,43.18,20.91,0.88,14.75,1.5,139.1,86.77,19.67,0.55,758.19,49.46,134.99,0.06,127.48,07-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Feb-2019 - 00:00,1.36,0.94,3.35,0.47,21.11,42.56,39.92,20.57,1.54,9.59,1.29,143.21,62.53,19.94,0.34,756.73,48.53,134.7,0.35,149.79,08-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Feb-2019 - 00:00,1.25,0.65,1.96,0.43,20.91,41.99,42.75,21.26,1.19,22.01,1.33,160.09,48.29,24.28,0.18,761.55,28.75,140.7,-0.08,229.07,09-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Feb-2019 - 00:00,1.52,1.04,2.36,0.56,23.64,42.99,43.13,21.66,0.78,25.99,3.66,157.95,63.68,17.76,0.3,763.68,34.6,117.08,-0.01,268.78,10-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Feb-2019 - 00:00,1.98,1.3,3.04,0.76,26.59,42.98,44.67,20.99,0.49,18.53,3.73,166.19,77.7,14.09,0.63,764.16,37.14,57.58,0.01,146.01,11-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Feb-2019 - 00:00,0.0,0.0,0.0,0.0,22.01,42.53,41.62,21.12,0.82,12.31,1.62,131.11,57.24,28.25,0.0,764.21,35.48,147.11,-0.12,69.63,12-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Feb-2019 - 00:00,0.0,0.0,0.0,0.0,21.48,42.94,41.39,21.35,1.0,10.23,1.58,125.3,66.57,31.99,0.0,764.23,39.54,152.11,-0.17,77.8,13-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Feb-2019 - 00:00,0.66,0.49,1.26,0.29,22.2,43.06,41.85,20.96,1.27,21.85,1.57,128.14,63.23,28.76,0.27,763.39,41.62,126.03,-0.12,57.78,14-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
14-Feb-2019 - 00:00,1.14,0.75,1.73,0.14,21.71,42.66,41.43,21.02,1.45,13.1,1.35,104.75,55.91,20.83,0.13,759.81,51.69,150.14,0.2,119.48,15-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
15-Feb-2019 - 00:00,1.4,0.92,2.23,0.32,21.56,41.98,42.54,21.71,1.38,20.19,1.58,129.06,74.27,15.77,0.21,760.88,45.48,166.88,-0.09,261.0,16-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
16-Feb-2019 - 00:00,1.81,1.03,2.76,0.52,21.58,40.93,41.86,20.98,1.15,23.06,1.73,101.37,47.25,15.36,0.35,762.34,45.57,172.7,-0.12,257.62,17-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
17-Feb-2019 - 00:00,2.57,1.49,3.86,0.49,21.52,41.18,41.71,20.72,0.78,27.14,2.02,123.64,70.29,17.6,0.27,760.3,41.08,176.52,0.13,215.17,18-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
18-Feb-2019 - 00:00,3.0,1.6,4.55,0.79,14.14,35.08,28.48,20.33,1.65,13.72,1.81,139.92,52.22,17.36,0.57,756.47,26.27,165.01,0.77,168.53,19-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
19-Feb-2019 - 00:00,2.28,0.96,3.15,0.41,15.11,36.43,29.19,20.28,0.94,18.51,1.14,169.31,66.42,23.22,0.16,758.57,39.31,155.03,0.08,141.84,20-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
20-Feb-2019 - 00:00,2.7,1.91,3.91,0.7,16.04,35.99,31.12,20.45,1.41,9.03,1.06,120.7,79.4,16.72,0.51,761.51,57.85,124.92,-0.45,71.48,21-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
21-Feb-2019 - 00:00,2.42,1.74,3.56,0.53,15.93,35.14,30.74,19.82,1.39,8.53,1.14,128.26,82.02,21.27,0.26,761.12,53.3,168.25,0.09,141.74,22-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
22-Feb-2019 - 00:00,2.47,1.24,3.48,0.44,16.05,35.39,30.69,20.06,1.43,7.63,0.94,101.06,56.16,15.96,0.25,761.95,51.39,182.38,0.1,275.24,23-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
23-Feb-2019 - 00:00,2.28,1.21,3.46,0.52,16.84,36.96,31.21,20.7,1.15,9.24,0.85,97.7,47.04,20.99,0.38,761.09,32.83,182.92,-0.11,268.7,24-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
24-Feb-2019 - 00:00,2.5,1.33,3.42,0.5,16.2,35.77,31.33,19.93,0.96,8.63,0.71,101.08,53.52,44.47,0.42,758.01,30.46,186.08,0.2,145.48,25-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
25-Feb-2019 - 00:00,2.79,1.55,3.7,0.63,16.58,42.87,35.1,24.9,1.25,9.36,0.95,103.43,56.55,31.53,0.38,757.01,31.46,170.88,0.21,143.49,26-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
26-Feb-2019 - 00:00,2.68,1.43,3.62,0.53,13.74,57.37,41.03,56.55,1.37,8.18,0.85,92.67,51.96,39.53,0.44,757.03,45.93,139.93,-0.69,74.97,27-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
27-Feb-2019 - 00:00,2.63,1.56,3.57,0.59,11.67,56.05,38.68,52.43,1.22,8.82,0.85,89.54,58.12,33.62,0.35,757.3,60.87,169.03,-0.15,140.53,28-Feb-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
28-Feb-2019 - 00:00,2.95,1.13,4.08,0.7,12.62,53.71,38.21,48.65,0.93,8.13,0.89,88.0,51.62,48.54,0.5,760.52,35.5,181.39,0.02,118.68,01-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
01-Mar-2019 - 00:00,2.67,1.44,3.81,0.66,6.05,42.16,26.91,37.17,1.06,9.3,1.03,97.2,57.64,42.08,0.41,760.9,31.69,194.08,-0.06,65.5,02-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Mar-2019 - 00:00,2.33,1.79,3.25,0.37,5.54,45.23,28.11,48.31,1.78,8.66,1.14,98.87,62.28,30.2,0.42,759.96,39.1,96.78,-0.83,44.17,03-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Mar-2019 - 00:00,1.68,1.13,2.15,0.16,4.17,33.76,21.0,41.97,1.7,8.82,1.12,92.1,60.2,42.84,0.07,757.71,46.41,227.0,-0.32,48.37,04-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Mar-2019 - 00:00,2.16,1.66,2.98,0.25,3.92,35.41,21.67,38.43,1.2,8.03,1.09,106.72,72.83,32.55,0.15,756.51,57.93,164.08,-0.07,157.38,05-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Mar-2019 - 00:00,2.6,1.02,3.49,0.62,4.13,37.0,22.67,34.48,1.11,8.85,1.09,86.57,47.76,26.32,0.35,757.71,43.21,215.23,0.08,246.73,06-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Mar-2019 - 00:00,3.35,1.52,4.68,0.94,15.25,34.04,30.0,35.31,0.91,9.23,1.44,114.0,55.01,27.26,0.55,758.56,30.05,210.31,0.35,185.45,07-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Mar-2019 - 00:00,4.15,2.01,5.71,1.37,7.07,35.98,24.46,31.13,1.09,9.64,1.5,121.83,59.49,33.0,1.04,758.39,25.36,202.07,-0.13,114.38,08-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Mar-2019 - 00:00,2.87,1.63,3.7,0.75,1.39,28.71,16.04,26.12,1.43,8.68,1.16,102.26,52.02,38.64,0.56,759.11,25.78,196.66,-0.48,62.42,09-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Mar-2019 - 00:00,2.33,1.2,3.18,0.4,1.39,29.05,16.23,28.48,1.7,9.48,1.16,115.91,59.14,34.68,0.31,759.58,32.88,204.68,-1.24,149.26,10-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Mar-2019 - 00:00,2.09,0.66,2.46,0.29,1.19,25.8,14.44,28.76,1.14,8.92,2.02,87.83,46.88,33.44,0.16,759.76,32.7,141.19,-0.51,88.13,11-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Mar-2019 - 00:00,2.12,1.18,3.04,0.39,3.89,49.06,28.67,18.31,1.61,7.57,0.9,122.84,55.11,30.32,0.18,759.42,29.66,196.35,-0.04,154.07,12-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Mar-2019 - 00:00,2.56,1.17,3.79,0.56,3.3,63.86,35.87,14.32,1.56,7.74,1.15,130.1,57.42,24.93,0.39,761.08,33.83,175.6,-1.0,171.24,13-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Mar-2019 - 00:00,2.49,1.4,3.59,0.51,5.45,45.13,27.87,11.87,1.31,6.44,1.04,133.57,55.89,24.32,0.48,761.04,38.22,91.28,-0.83,61.01,14-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
14-Mar-2019 - 00:00,2.63,1.64,3.79,0.38,8.64,45.26,30.38,13.59,1.41,5.56,1.02,120.18,53.06,25.27,0.54,761.12,39.25,112.82,-0.93,123.58,15-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
15-Mar-2019 - 00:00,2.7,0.97,3.74,0.48,16.87,53.26,40.15,21.57,1.24,7.71,0.93,93.86,40.47,24.92,0.36,762.81,35.47,227.85,-0.47,177.81,16-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
16-Mar-2019 - 00:00,2.64,0.97,3.5,0.55,18.68,45.19,38.59,24.96,1.16,9.56,0.94,94.14,39.03,25.41,0.27,761.93,29.26,218.49,-0.05,211.2,17-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
17-Mar-2019 - 00:00,2.38,1.11,3.41,0.54,22.76,44.11,41.3,21.78,0.86,8.35,0.94,98.37,41.75,34.3,0.18,760.43,23.83,234.68,0.32,213.65,18-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
18-Mar-2019 - 00:00,2.69,1.3,3.87,0.54,27.22,43.0,41.08,17.66,1.04,9.64,1.18,102.59,46.7,32.81,0.33,760.12,28.22,205.99,0.03,158.84,19-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
19-Mar-2019 - 00:00,3.12,1.51,4.62,0.78,27.99,40.11,40.36,18.24,1.08,8.1,1.16,95.83,40.23,36.49,0.81,757.54,25.8,233.37,-0.11,87.52,20-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
20-Mar-2019 - 00:00,1.98,0.99,2.91,0.34,19.13,47.28,40.04,14.74,1.03,8.2,1.12,126.09,52.61,39.25,0.14,756.26,21.79,222.7,0.4,207.65,21-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
21-Mar-2019 - 00:00,1.45,1.12,2.23,0.13,8.69,40.81,28.29,17.56,1.32,7.18,0.97,125.42,66.76,63.16,0.02,758.45,34.66,208.11,-0.93,217.95,22-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
22-Mar-2019 - 00:00,2.01,0.75,3.23,0.31,12.82,44.98,33.78,13.39,1.49,9.77,1.06,111.07,39.46,53.46,0.18,760.74,21.4,261.89,-0.38,255.08,23-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
23-Mar-2019 - 00:00,2.28,0.85,3.37,0.39,12.71,48.69,35.63,13.46,1.17,7.87,1.04,99.45,36.55,47.72,0.26,760.19,18.88,235.58,-0.1,234.25,24-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
24-Mar-2019 - 00:00,1.41,0.7,2.16,0.14,10.54,38.67,28.72,14.78,1.67,10.75,0.65,112.95,42.28,49.92,0.16,758.4,25.99,173.23,-0.06,117.53,25-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
25-Mar-2019 - 00:00,2.69,0.86,2.51,0.79,11.76,40.75,30.72,15.15,1.37,12.83,0.96,113.69,46.07,43.9,0.91,758.46,35.01,258.21,-0.13,203.32,26-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
26-Mar-2019 - 00:00,2.07,0.96,3.34,0.46,16.72,48.14,38.56,13.89,1.01,15.24,1.24,93.52,44.2,44.17,0.72,760.15,27.46,231.85,-0.06,253.71,27-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
27-Mar-2019 - 00:00,5.03,2.41,7.77,1.72,42.32,52.55,61.39,14.01,0.79,17.04,2.02,101.6,54.09,46.54,1.67,760.52,22.29,223.01,0.25,152.42,28-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
28-Mar-2019 - 00:00,6.95,3.83,11.95,2.86,41.56,46.59,57.67,13.94,0.85,15.23,1.85,124.52,65.31,42.91,3.14,758.89,19.86,215.65,0.3,143.36,29-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
29-Mar-2019 - 00:00,8.58,4.19,13.35,3.43,42.38,44.38,57.17,14.13,0.72,12.17,2.26,162.96,82.04,23.79,2.96,756.49,19.27,151.04,0.28,224.86,30-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
30-Mar-2019 - 00:00,3.21,1.65,4.71,0.99,21.83,47.91,42.54,26.15,1.14,12.04,1.28,126.9,60.93,41.9,0.86,755.64,20.93,191.2,0.04,159.12,31-Mar-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
31-Mar-2019 - 00:00,1.86,0.88,2.79,0.24,13.52,47.66,35.73,35.78,1.58,7.88,1.07,132.73,64.78,51.0,0.19,756.66,23.78,194.46,-0.75,261.88,01-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
01-Apr-2019 - 00:00,2.85,1.33,4.45,0.61,20.81,56.68,46.3,30.53,1.11,11.58,1.2,110.05,51.26,43.79,0.42,757.17,12.61,265.58,0.23,227.96,02-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
02-Apr-2019 - 00:00,2.86,1.31,4.49,0.77,25.48,47.73,45.37,30.52,1.22,14.63,1.27,103.15,46.44,53.98,0.52,757.21,15.9,240.33,0.06,143.31,03-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
03-Apr-2019 - 00:00,4.87,2.25,7.62,1.58,21.11,52.17,44.19,32.47,1.23,16.97,1.4,116.86,57.58,60.76,1.34,756.36,16.16,242.94,-0.32,123.53,04-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
04-Apr-2019 - 00:00,5.74,3.12,9.57,1.98,57.43,51.8,73.12,35.19,1.25,11.43,1.88,123.88,60.02,57.14,1.67,756.63,14.48,235.22,-0.37,120.22,05-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
05-Apr-2019 - 00:00,5.09,2.37,8.43,1.73,27.52,48.57,47.44,27.76,1.25,12.2,1.06,169.34,65.81,42.29,1.39,756.32,14.2,183.57,0.29,178.39,06-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
06-Apr-2019 - 00:00,2.45,0.91,4.82,0.66,16.66,27.42,27.69,32.45,1.92,17.29,0.84,113.22,37.72,43.41,0.58,756.31,15.14,371.43,0.79,180.48,07-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
07-Apr-2019 - 00:00,1.3,0.52,2.47,0.01,10.1,28.54,22.87,31.35,1.75,14.92,0.74,261.84,71.42,63.65,0.16,754.81,14.61,315.04,0.11,233.93,08-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
08-Apr-2019 - 00:00,0.38,0.18,0.74,0.07,14.25,28.21,26.14,34.39,1.45,15.52,0.78,438.13,138.42,57.36,0.09,754.87,26.12,249.16,-0.14,115.04,09-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
09-Apr-2019 - 00:00,2.06,1.04,3.54,0.5,17.86,44.91,37.79,34.31,1.45,14.85,0.96,167.32,66.39,56.43,0.44,754.61,24.01,256.3,-0.16,136.85,10-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
10-Apr-2019 - 00:00,3.16,2.06,5.81,0.77,13.55,35.79,27.01,33.88,0.89,17.57,1.01,164.28,70.6,54.7,0.5,756.09,21.52,229.56,0.16,163.71,11-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
11-Apr-2019 - 00:00,2.66,1.56,4.66,0.55,12.35,36.3,18.23,25.97,1.62,14.62,0.79,148.74,63.57,57.37,0.33,755.81,18.74,247.69,-0.16,115.12,12-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
12-Apr-2019 - 00:00,2.48,1.28,4.11,0.48,11.33,50.21,35.32,17.82,1.71,14.4,1.43,325.67,114.79,62.6,0.25,756.03,18.47,309.3,-0.73,121.95,13-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
13-Apr-2019 - 00:00,1.47,0.92,2.79,0.24,8.9,38.59,27.3,16.29,1.58,13.58,0.77,139.43,70.25,72.92,0.12,756.48,22.83,238.86,-0.77,77.41,14-Apr-2019 - 00:00,"Police Commissionerate, Jaipur - RSPCB"
