from date,NO,NO2,NOx,SO2,CO,Ozone,PM10,PM2.5,NH3,AT,RH,WS,VWS,WD,SR,BP,RF,Benzene,Toluene,MP-Xylene,Xylene,Temp,to date,station
04-Dec-2019 - 00:00,3.06,15.22,10.68,15.49,0.83,55.26,113.11,76.57,20.82,27.33,73.45,3.66,0.05,95.74,69.47,760.56,0.0,0.39,1.79,0.12,0.16,26.61,05-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
05-Dec-2019 - 00:00,3.19,22.36,14.58,29.14,0.8,56.74,123.2,83.47,18.25,27.11,69.77,2.57,0.06,106.58,71.96,761.67,0.0,0.83,8.28,0.2,0.14,28.0,06-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
06-Dec-2019 - 00:00,3.24,24.54,15.78,19.25,1.0,63.47,133.19,91.0,16.09,26.07,70.09,3.09,0.07,75.41,72.75,761.46,0.0,0.75,6.49,0.36,0.1,25.37,07-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
07-Dec-2019 - 00:00,3.15,19.28,12.94,17.52,0.96,60.61,94.27,57.58,12.58,27.34,68.67,3.2,0.08,76.62,85.95,760.18,0.0,0.75,6.92,0.2,,24.5,08-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
08-Dec-2019 - 00:00,2.44,11.93,8.34,12.13,0.55,42.24,61.1,34.94,11.19,27.32,74.49,3.3,0.07,85.84,76.52,760.46,0.0,0.18,2.62,0.11,,23.85,09-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
09-Dec-2019 - 00:00,4.04,16.06,11.92,13.43,0.53,37.97,49.6,25.08,10.59,27.21,74.3,3.03,0.05,83.68,76.8,760.28,0.0,0.26,7.57,0.11,0.15,26.82,10-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
10-Dec-2019 - 00:00,5.99,25.04,18.19,10.62,0.79,34.53,71.3,40.82,14.34,27.27,72.82,2.02,0.03,151.69,76.48,758.9,0.0,0.72,8.42,0.19,0.14,29.5,11-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
11-Dec-2019 - 00:00,4.92,22.52,15.97,12.46,0.67,36.96,81.23,50.75,13.62,26.74,73.89,1.77,0.02,126.25,77.53,757.84,0.0,0.75,4.83,0.26,0.16,26.59,12-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
12-Dec-2019 - 00:00,3.96,18.78,13.2,10.23,0.62,37.56,65.69,38.41,13.5,26.46,74.0,3.2,0.04,95.39,66.54,758.18,0.0,0.88,12.75,0.18,0.15,25.96,13-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
13-Dec-2019 - 00:00,3.29,16.04,11.2,13.1,0.62,40.18,62.1,35.76,16.48,26.94,75.24,3.34,0.03,93.44,68.35,759.07,0.0,0.49,4.59,0.12,0.13,26.89,14-Dec-2019 - 00:00,"Secretariat, Amaravati - APPCB"
