from date,NO,CO,NO2,NOx,Ozone,PM10,PM2.5,RH,SR,Temp,WD,WS,VWS,SO2,to date,station
12-Feb-2019 - 00:00,26.14,2.03,72.2,98.32,51.11,138.34,53.18,46.64,155.29,29.4,295.82,0.95,0.34,10.66,13-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
13-Feb-2019 - 00:00,31.6,2.17,84.65,114.14,67.61,153.64,53.84,39.3,161.83,29.3,306.24,0.86,0.34,10.72,14-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
14-Feb-2019 - 00:00,22.74,1.86,60.8,82.97,67.48,133.25,45.27,35.34,168.49,29.93,252.13,2.72,0.33,10.35,15-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
15-Feb-2019 - 00:00,16.4,1.63,56.99,72.89,54.68,128.61,46.37,34.6,158.77,29.35,160.25,1.62,0.34,10.08,16-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
16-Feb-2019 - 00:00,10.87,1.47,59.35,69.95,76.38,118.1,42.74,31.87,175.74,27.85,184.55,0.6,0.34,10.29,17-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
17-Feb-2019 - 00:00,13.07,1.23,65.74,75.31,76.65,126.33,49.98,26.14,179.0,27.4,177.5,0.54,0.36,10.69,18-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
18-Feb-2019 - 00:00,40.44,1.7,103.69,115.38,68.36,158.43,60.39,28.5,169.65,27.93,200.77,1.04,0.33,11.35,19-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
19-Feb-2019 - 00:00,31.49,2.22,98.94,126.27,54.64,174.9,62.07,32.19,168.89,29.89,221.22,4.28,0.35,10.64,20-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
20-Feb-2019 - 00:00,13.8,1.7,70.55,84.35,54.2,133.41,45.72,40.41,160.5,31.83,261.95,2.44,0.36,10.64,21-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
21-Feb-2019 - 00:00,19.12,1.48,67.61,86.69,52.05,114.61,37.64,36.82,168.62,31.87,244.68,0.71,0.34,11.24,22-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
22-Feb-2019 - 00:00,27.82,1.78,70.23,97.76,52.52,142.79,46.49,32.25,171.21,31.75,204.55,0.41,0.33,10.65,23-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
23-Feb-2019 - 00:00,33.34,2.01,82.02,113.06,54.73,133.61,47.45,29.05,171.06,32.48,220.63,0.37,0.34,11.01,24-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
24-Feb-2019 - 00:00,22.1,1.68,75.02,94.52,69.51,146.97,55.66,28.87,168.23,31.83,189.34,0.44,0.35,10.96,25-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
25-Feb-2019 - 00:00,27.83,1.52,83.8,108.21,55.91,139.06,46.25,24.86,173.28,30.48,175.74,0.56,0.34,10.69,26-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
26-Feb-2019 - 00:00,6.65,0.73,43.0,49.47,67.61,112.39,36.03,23.7,185.99,28.87,167.89,0.7,0.35,10.71,27-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
27-Feb-2019 - 00:00,20.3,1.45,70.94,90.96,75.81,134.42,40.47,22.58,247.09,30.93,181.35,5.17,0.36,10.84,28-Feb-2019 - 00:00,"Solapur, Solapur - MPCB"
28-Feb-2019 - 00:00,35.03,1.07,69.23,98.83,69.93,121.57,37.16,28.7,188.33,27.29,190.99,1.25,0.37,10.36,01-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
01-Mar-2019 - 00:00,72.44,2.12,131.75,177.96,52.67,169.64,50.01,25.99,186.66,28.65,222.33,1.47,0.35,11.01,02-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
02-Mar-2019 - 00:00,14.16,1.49,70.33,84.41,58.24,153.27,53.52,40.8,168.97,31.05,250.5,0.74,0.35,11.1,03-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
03-Mar-2019 - 00:00,18.52,1.4,69.93,72.47,72.01,110.07,41.13,25.11,181.06,31.05,166.28,0.37,0.33,10.83,04-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
04-Mar-2019 - 00:00,1.37,0.92,39.29,39.94,96.94,112.54,43.08,35.39,183.52,29.94,151.4,0.54,0.36,10.62,05-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
05-Mar-2019 - 00:00,1.67,0.86,35.57,36.21,80.86,160.43,43.08,44.35,189.79,28.64,148.93,0.88,0.35,10.25,06-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
06-Mar-2019 - 00:00,5.47,0.9,41.91,46.82,80.71,129.71,41.15,36.17,195.13,27.78,152.13,0.84,0.38,10.54,07-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
07-Mar-2019 - 00:00,19.73,1.29,66.68,86.4,62.12,131.12,43.57,25.73,196.74,28.42,180.16,0.44,0.37,11.14,08-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
08-Mar-2019 - 00:00,25.08,1.31,78.87,103.94,63.31,159.16,51.22,23.22,187.74,29.55,167.49,3.86,0.36,11.47,09-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
09-Mar-2019 - 00:00,35.58,1.82,83.07,107.34,62.75,167.53,49.48,24.18,186.49,31.27,186.8,0.4,0.36,11.41,10-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
10-Mar-2019 - 00:00,37.24,1.58,72.91,84.98,56.6,161.15,46.56,26.68,190.82,31.58,174.09,1.83,0.37,11.74,11-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
11-Mar-2019 - 00:00,8.93,1.08,41.84,50.79,93.47,147.68,45.3,25.62,186.68,32.09,159.54,0.51,0.35,11.56,12-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
12-Mar-2019 - 00:00,9.36,0.92,36.91,46.28,73.6,130.43,38.09,25.01,165.18,32.23,180.63,0.55,0.36,11.66,13-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
13-Mar-2019 - 00:00,6.98,0.84,32.68,39.66,89.36,117.96,36.73,22.09,180.61,32.45,157.99,0.61,0.34,11.54,14-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
14-Mar-2019 - 00:00,10.49,0.99,42.26,52.75,79.41,118.02,36.51,23.46,186.6,31.88,177.91,0.6,0.36,11.54,15-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
15-Mar-2019 - 00:00,21.09,1.56,65.65,86.74,75.93,147.23,42.76,23.08,187.12,32.57,207.43,0.73,0.35,11.31,16-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
16-Mar-2019 - 00:00,20.14,1.72,74.98,95.11,67.05,148.92,45.55,22.57,189.22,33.57,265.14,0.53,0.35,12.27,17-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
17-Mar-2019 - 00:00,11.32,1.59,61.78,73.1,55.53,114.63,43.97,24.05,187.67,33.53,183.01,0.72,0.36,10.84,18-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
18-Mar-2019 - 00:00,9.76,1.51,57.78,67.54,67.12,119.55,43.75,24.3,186.36,33.09,192.74,0.76,0.35,10.16,19-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
19-Mar-2019 - 00:00,12.84,1.56,51.74,64.36,87.85,130.7,44.31,24.79,190.72,32.41,176.37,0.39,0.34,10.93,20-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
20-Mar-2019 - 00:00,13.59,1.57,46.96,79.52,115.37,146.78,53.28,27.04,185.05,32.23,165.13,0.54,0.35,11.85,21-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
21-Mar-2019 - 00:00,12.86,1.38,34.8,47.64,87.07,114.51,38.25,27.39,191.75,32.2,164.99,0.64,0.35,10.93,22-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
22-Mar-2019 - 00:00,11.85,1.36,40.71,52.55,81.18,100.43,31.22,21.52,197.6,32.21,171.05,0.54,0.36,10.75,23-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
23-Mar-2019 - 00:00,9.66,1.2,40.62,50.27,91.78,110.93,34.23,19.23,197.96,33.11,183.23,0.56,0.37,10.94,24-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
24-Mar-2019 - 00:00,17.58,1.79,59.99,77.57,77.0,,45.17,25.4,185.94,34.68,251.73,0.63,0.34,10.91,25-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
25-Mar-2019 - 00:00,10.08,1.34,39.47,50.12,88.6,134.32,54.28,33.37,169.65,35.23,270.31,0.88,0.32,12.11,26-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
26-Mar-2019 - 00:00,36.0,2.04,74.59,109.0,68.81,123.62,48.94,33.4,199.57,33.99,175.05,0.8,0.34,10.66,27-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
27-Mar-2019 - 00:00,17.99,1.71,66.16,83.93,73.83,144.82,51.32,24.86,192.32,35.21,206.59,0.45,0.34,11.89,28-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
28-Mar-2019 - 00:00,24.84,1.91,75.66,100.53,62.58,137.51,43.68,18.44,198.5,35.21,229.1,1.14,0.33,11.13,29-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
29-Mar-2019 - 00:00,35.08,2.27,94.61,129.41,58.66,160.66,50.63,20.45,200.47,35.53,244.1,0.74,0.34,14.14,30-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
30-Mar-2019 - 00:00,19.97,1.4,54.3,73.73,82.27,195.63,54.3,34.72,187.71,35.1,215.01,0.88,0.35,10.97,31-Mar-2019 - 00:00,"Solapur, Solapur - MPCB"
31-Mar-2019 - 00:00,19.46,1.28,43.74,62.01,94.69,89.16,53.49,37.58,228.65,34.01,134.66,0.52,0.35,10.88,01-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
01-Apr-2019 - 00:00,11.96,1.36,50.45,62.42,61.07,102.18,38.63,38.8,242.19,33.77,143.29,0.6,0.35,11.19,02-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
02-Apr-2019 - 00:00,30.61,1.14,49.04,74.87,89.41,105.94,35.6,25.06,242.33,34.73,159.47,0.84,0.34,11.0,03-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
03-Apr-2019 - 00:00,22.05,1.93,68.4,89.87,77.1,134.32,45.32,22.2,234.01,36.07,219.3,0.99,0.33,11.24,04-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
04-Apr-2019 - 00:00,9.86,1.66,57.82,67.53,56.02,136.18,41.48,31.97,203.12,34.32,202.73,1.27,0.34,10.39,05-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
05-Apr-2019 - 00:00,20.84,1.68,51.25,69.69,37.32,72.14,29.08,43.79,247.61,31.82,147.23,0.49,0.44,10.5,06-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
06-Apr-2019 - 00:00,8.88,1.69,36.41,45.3,35.26,89.86,32.95,39.06,222.95,33.9,158.42,0.54,0.43,9.89,07-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
07-Apr-2019 - 00:00,60.4,1.5,71.22,112.25,38.4,98.26,36.41,29.81,226.02,34.49,156.02,0.48,0.44,10.34,08-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
08-Apr-2019 - 00:00,73.75,1.85,88.35,150.38,52.02,116.6,38.25,26.57,238.94,35.16,173.52,1.56,0.42,10.73,09-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
09-Apr-2019 - 00:00,26.58,1.59,43.32,68.38,81.7,106.7,39.63,25.12,248.52,35.49,156.46,0.75,0.43,10.61,10-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
10-Apr-2019 - 00:00,11.52,1.75,39.49,50.54,71.41,107.79,33.01,22.58,253.79,35.66,181.49,1.67,0.42,10.67,11-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
11-Apr-2019 - 00:00,18.23,2.1,53.59,71.73,56.67,106.66,33.56,27.67,252.59,35.81,199.71,1.13,0.43,11.3,12-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
12-Apr-2019 - 00:00,15.77,2.19,55.48,71.23,60.22,132.65,41.37,25.64,230.93,36.24,179.61,1.02,0.42,11.22,13-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
13-Apr-2019 - 00:00,8.26,1.68,31.17,39.34,82.7,61.26,25.91,30.2,240.82,35.03,211.91,1.37,0.42,10.94,14-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
14-Apr-2019 - 00:00,8.75,1.77,33.29,42.02,72.31,79.12,25.23,28.5,212.14,34.87,210.22,0.89,0.42,10.79,15-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
15-Apr-2019 - 00:00,18.82,2.23,50.62,69.43,65.81,104.93,31.26,29.38,249.12,35.54,213.18,0.79,0.42,10.98,16-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
16-Apr-2019 - 00:00,12.9,1.95,37.44,50.34,61.69,88.81,30.22,40.66,205.42,33.03,198.31,0.52,0.43,10.97,17-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
17-Apr-2019 - 00:00,8.37,1.65,20.78,28.47,78.65,105.9,33.13,38.19,247.23,33.48,151.52,1.04,0.43,11.02,18-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
18-Apr-2019 - 00:00,27.52,1.43,38.71,66.19,78.62,80.09,34.11,21.32,262.91,33.63,180.61,3.71,0.47,10.74,19-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
19-Apr-2019 - 00:00,94.65,1.59,92.3,87.6,69.94,96.25,37.28,24.36,271.41,33.96,168.26,3.86,0.48,10.79,20-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
20-Apr-2019 - 00:00,32.44,1.95,50.4,82.86,77.45,95.48,28.14,28.62,258.37,34.53,153.59,1.76,0.45,11.29,21-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
21-Apr-2019 - 00:00,48.12,1.15,42.78,90.9,96.37,126.43,43.98,29.35,254.77,34.26,153.25,1.06,0.45,10.45,22-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
22-Apr-2019 - 00:00,44.92,1.53,56.64,101.56,83.09,90.61,33.16,24.32,228.73,35.42,195.65,0.84,0.46,8.97,23-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
23-Apr-2019 - 00:00,73.43,2.14,102.84,150.97,56.66,118.74,44.06,27.99,226.96,35.69,198.49,0.4,0.47,9.0,24-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
24-Apr-2019 - 00:00,55.82,2.13,90.28,145.98,59.42,135.9,43.51,24.49,221.46,36.68,199.57,0.31,0.46,9.29,25-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
25-Apr-2019 - 00:00,45.7,1.47,68.66,112.82,80.33,99.79,33.38,24.2,291.15,36.77,188.78,0.43,0.47,9.53,26-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
26-Apr-2019 - 00:00,66.16,2.02,99.82,165.94,65.06,150.37,41.47,23.26,260.85,38.83,222.08,1.43,0.46,9.5,27-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
27-Apr-2019 - 00:00,124.81,1.34,114.2,212.06,67.75,128.97,57.27,31.72,199.34,38.16,182.32,0.76,0.45,9.05,28-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
28-Apr-2019 - 00:00,115.83,1.09,110.1,143.54,90.68,100.81,46.47,28.32,214.13,38.54,152.6,2.27,0.47,8.8,29-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
29-Apr-2019 - 00:00,64.71,1.38,68.14,132.88,67.47,128.34,45.93,40.04,182.29,36.72,174.26,0.7,0.48,8.89,30-Apr-2019 - 00:00,"Solapur, Solapur - MPCB"
30-Apr-2019 - 00:00,94.97,0.77,70.75,165.84,74.13,115.18,43.53,41.07,179.94,35.82,128.33,0.64,0.48,8.89,01-May-2019 - 00:00,"Solapur, Solapur - MPCB"
01-May-2019 - 00:00,55.32,0.86,45.08,100.4,83.93,105.56,33.71,29.06,183.31,34.33,130.2,3.15,0.47,8.78,02-May-2019 - 00:00,"Solapur, Solapur - MPCB"
02-May-2019 - 00:00,37.89,0.95,38.05,75.94,83.84,125.0,33.73,33.01,218.29,33.31,143.24,2.56,0.44,8.76,03-May-2019 - 00:00,"Solapur, Solapur - MPCB"
03-May-2019 - 00:00,49.24,0.83,41.53,90.77,96.95,111.95,33.01,30.19,250.93,32.67,137.95,1.49,0.36,8.77,04-May-2019 - 00:00,"Solapur, Solapur - MPCB"
04-May-2019 - 00:00,13.26,1.17,27.99,41.26,70.93,103.78,26.74,37.57,255.97,32.07,133.54,3.37,0.37,8.47,05-May-2019 - 00:00,"Solapur, Solapur - MPCB"
05-May-2019 - 00:00,10.37,1.2,25.07,35.44,61.69,105.9,29.35,36.53,250.32,33.36,148.35,2.39,0.37,8.7,06-May-2019 - 00:00,"Solapur, Solapur - MPCB"
06-May-2019 - 00:00,14.68,1.16,30.77,45.46,72.35,114.91,32.48,32.75,240.13,34.97,150.68,0.78,0.33,8.72,07-May-2019 - 00:00,"Solapur, Solapur - MPCB"
07-May-2019 - 00:00,9.62,1.08,19.37,28.99,86.85,106.88,30.23,30.54,234.39,36.16,151.09,1.31,0.34,8.81,08-May-2019 - 00:00,"Solapur, Solapur - MPCB"
08-May-2019 - 00:00,9.08,1.04,13.96,23.04,81.51,89.08,24.51,43.3,240.82,34.11,140.97,2.28,0.4,8.52,09-May-2019 - 00:00,"Solapur, Solapur - MPCB"
09-May-2019 - 00:00,14.58,0.97,20.92,35.44,86.41,85.5,31.26,40.73,237.45,34.11,143.94,1.08,0.46,9.72,10-May-2019 - 00:00,"Solapur, Solapur - MPCB"
10-May-2019 - 00:00,121.79,0.48,86.95,201.62,81.55,94.43,38.09,37.43,126.71,33.49,146.47,0.95,0.47,10.61,11-May-2019 - 00:00,"Solapur, Solapur - MPCB"
11-May-2019 - 00:00,43.74,0.63,46.16,89.92,69.24,79.36,21.82,34.33,221.6,35.28,155.32,0.8,0.45,9.19,12-May-2019 - 00:00,"Solapur, Solapur - MPCB"
12-May-2019 - 00:00,12.1,0.81,25.68,37.78,75.58,90.32,25.96,25.25,242.39,36.12,168.72,0.63,0.35,9.15,13-May-2019 - 00:00,"Solapur, Solapur - MPCB"
13-May-2019 - 00:00,13.88,0.86,27.79,41.67,76.59,101.89,27.97,33.06,240.39,35.74,148.99,0.71,0.35,9.06,14-May-2019 - 00:00,"Solapur, Solapur - MPCB"
14-May-2019 - 00:00,11.69,0.91,29.28,40.91,79.15,93.16,27.52,32.03,254.01,35.21,146.29,0.76,0.35,9.09,15-May-2019 - 00:00,"Solapur, Solapur - MPCB"
15-May-2019 - 00:00,13.43,0.91,30.28,43.71,76.87,92.03,25.42,30.32,256.51,34.92,143.49,0.79,0.34,8.97,16-May-2019 - 00:00,"Solapur, Solapur - MPCB"
16-May-2019 - 00:00,14.85,0.93,32.3,46.49,71.24,112.76,33.09,29.27,251.25,35.29,164.94,0.72,0.34,8.88,17-May-2019 - 00:00,"Solapur, Solapur - MPCB"
17-May-2019 - 00:00,11.47,0.89,22.68,34.15,71.13,110.51,30.05,27.38,250.25,36.17,162.17,0.75,0.38,9.03,18-May-2019 - 00:00,"Solapur, Solapur - MPCB"
18-May-2019 - 00:00,12.73,0.97,28.25,40.98,59.73,133.58,33.15,24.89,211.76,36.6,176.54,0.61,0.46,9.1,19-May-2019 - 00:00,"Solapur, Solapur - MPCB"
