from date,PM2.5,PM10,WD,WS,RH,SO2,NO2,NO,NOx,NH3,CO,Ozone,to date,station
15-Mar-2019 - 00:00,50.77,131.94,,,,6.4,,0.74,0.16,1.97,1.17,73.11,16-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
16-Mar-2019 - 00:00,51.36,118.69,,,,6.81,,0.76,0.09,0.53,1.12,81.31,17-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
17-Mar-2019 - 00:00,81.17,135.47,,,,6.62,,0.79,,,1.1,81.08,18-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
18-Mar-2019 - 00:00,66.15,127.31,,,,4.9,,0.73,0.08,,1.15,76.47,19-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
19-Mar-2019 - 00:00,57.7,132.17,,,,5.91,,0.79,,0.24,1.26,68.82,20-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
20-Mar-2019 - 00:00,64.41,154.4,,,,7.17,,0.77,0.08,0.07,1.33,104.43,21-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
21-Mar-2019 - 00:00,49.82,135.62,,,,7.14,,0.81,0.11,,1.12,99.77,22-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
22-Mar-2019 - 00:00,44.64,136.63,,,,6.46,,0.81,0.03,,1.34,74.46,23-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
23-Mar-2019 - 00:00,66.33,156.13,,,,7.56,19.07,3.77,24.3,32.16,1.61,65.82,24-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
24-Mar-2019 - 00:00,60.19,127.18,,,,5.21,11.04,0.77,11.18,19.13,1.24,53.69,25-Mar-2019 - 00:00,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
