from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Eth-Benzene,AT,SR,RH,RF,WS,WD,to date,station
13-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,04-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,05-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
06-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,07-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,08-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
11-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,12-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
12-Jun-2019 - 00:00,36.31,42.41,4.36,10.99,6.63,9.52,10.12,1.17,29.15,0.04,0.36,0.12,0.0,26.23,226.16,75.39,9.81,17.53,79.13,13-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
13-Jun-2019 - 00:00,21.03,27.02,4.96,11.53,6.57,8.67,9.77,1.14,25.43,0.05,0.23,0.07,0.0,26.26,228.86,76.24,9.81,18.09,74.85,14-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
14-Jun-2019 - 00:00,25.18,32.43,5.56,12.53,6.97,8.24,10.94,1.18,22.69,0.04,0.31,0.11,0.0,26.88,230.98,75.08,9.81,14.93,75.29,15-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
15-Jun-2019 - 00:00,31.0,37.57,6.08,13.41,7.32,7.35,10.53,1.16,17.44,0.04,0.28,0.12,0.0,26.94,265.65,75.97,9.81,13.73,75.98,16-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
16-Jun-2019 - 00:00,23.84,31.41,4.01,10.17,6.15,6.53,8.94,1.09,23.16,0.02,0.08,0.07,0.0,27.89,267.49,70.02,9.81,15.47,74.15,17-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
17-Jun-2019 - 00:00,34.41,46.45,4.66,11.06,6.39,6.02,10.3,1.2,21.31,0.03,0.21,0.06,0.0,27.52,259.51,70.49,9.81,16.05,76.98,18-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
18-Jun-2019 - 00:00,54.19,63.06,4.84,11.25,6.41,8.34,13.26,1.3,21.77,0.02,0.06,0.02,0.0,27.3,220.61,71.48,9.82,16.62,78.45,19-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
19-Jun-2019 - 00:00,41.99,53.73,5.1,11.5,6.4,7.86,10.7,1.23,26.26,0.0,0.0,0.0,0.0,27.05,268.08,71.67,9.82,16.32,74.91,20-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
20-Jun-2019 - 00:00,30.5,39.48,8.58,18.95,10.37,8.39,10.3,1.06,24.67,0.0,0.0,0.0,0.0,25.78,277.38,74.87,9.81,17.11,70.43,21-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
21-Jun-2019 - 00:00,0.47,41.09,11.9,21.91,11.62,24.95,16.21,1.35,32.35,0.0,0.0,0.0,0.0,26.33,229.14,63.78,0.0,17.18,78.83,22-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
22-Jun-2019 - 00:00,24.3,30.04,9.52,16.6,7.07,16.97,12.42,1.12,24.79,0.0,0.0,0.0,0.0,24.22,161.67,82.93,0.0,15.14,72.92,23-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
23-Jun-2019 - 00:00,14.77,22.58,7.5,13.66,6.17,11.69,9.26,0.92,29.08,0.0,0.0,0.0,0.0,25.64,203.99,79.55,0.0,14.21,77.85,24-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
24-Jun-2019 - 00:00,33.07,41.74,9.71,17.29,7.58,13.11,10.25,1.02,25.34,0.0,0.0,0.0,0.0,26.84,268.51,75.14,0.0,14.42,72.82,25-Jun-2019 - 00:00,"SIDCO Kurichi, Coimbatore - TNPCB"
