from date,NO,NO2,NOx,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,AT,Temp,WD,WS,BP,SR,RF,to date,station
06-Feb-2019 - 00:00,5.58,46.79,29.42,73.66,14.91,1.25,51.97,230.54,293.65,7.24,5.35,18.55,32.14,59.22,3.81,741.0,57.16,0.0,07-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
07-Feb-2019 - 00:00,1.12,27.18,15.37,40.93,11.24,0.47,55.68,75.21,97.04,1.36,1.23,16.36,32.06,52.38,7.08,740.41,22.66,0.0,08-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
08-Feb-2019 - 00:00,5.44,39.02,25.17,34.68,9.15,0.33,43.58,58.24,103.34,0.74,3.15,12.96,32.06,66.34,2.58,741.0,75.66,0.0,09-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
09-Feb-2019 - 00:00,1.01,36.12,20.03,32.03,16.28,0.4,57.09,61.81,104.79,0.58,2.98,12.71,31.76,66.18,3.7,741.15,77.19,0.0,10-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
10-Feb-2019 - 00:00,3.55,46.22,27.47,36.4,12.03,0.68,54.24,90.72,147.41,0.77,4.06,13.12,31.83,60.74,1.65,741.41,63.67,0.0,11-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
11-Feb-2019 - 00:00,11.91,51.37,37.01,44.53,17.39,0.78,53.41,117.59,181.26,0.94,3.85,14.61,31.77,63.99,1.05,741.61,72.94,0.0,12-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
12-Feb-2019 - 00:00,20.17,53.26,44.73,53.48,16.39,0.94,69.24,152.79,231.53,1.12,3.07,16.86,31.98,63.2,0.76,741.67,67.93,0.0,13-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
13-Feb-2019 - 00:00,22.36,65.63,53.09,59.98,17.9,1.27,46.62,216.84,321.44,1.77,1.76,18.75,32.01,60.19,0.63,741.52,57.09,0.0,14-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
14-Feb-2019 - 00:00,2.69,46.04,26.68,52.8,17.28,1.14,40.18,182.0,216.61,1.62,1.61,16.6,32.37,53.14,3.37,741.0,23.34,0.18,15-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
15-Feb-2019 - 00:00,3.63,35.67,21.92,43.23,9.03,0.92,43.98,139.31,157.97,1.16,0.87,16.82,32.19,61.07,2.74,741.0,56.46,0.0,16-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
16-Feb-2019 - 00:00,1.49,34.14,19.34,37.34,9.45,0.83,31.65,118.27,147.33,0.9,0.9,15.5,32.27,56.89,2.79,741.0,40.22,0.0,17-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
17-Feb-2019 - 00:00,1.38,39.43,22.1,34.6,10.26,0.7,55.01,83.31,119.14,0.73,0.91,16.03,32.29,69.49,3.28,741.0,79.08,0.0,18-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
18-Feb-2019 - 00:00,5.08,55.25,33.52,41.53,16.74,0.6,46.19,108.96,176.21,1.07,1.18,17.58,32.43,59.32,2.29,740.39,48.28,0.0,19-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
19-Feb-2019 - 00:00,8.02,57.72,37.22,49.65,10.33,0.82,58.07,167.24,239.88,1.51,1.77,18.49,32.46,61.77,1.92,740.69,57.05,0.0,20-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
20-Feb-2019 - 00:00,3.5,38.24,23.19,40.5,10.19,0.25,29.07,86.11,110.11,0.85,0.85,17.99,32.54,55.36,1.97,741.05,29.46,0.0,21-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
21-Feb-2019 - 00:00,4.29,42.5,26.09,33.13,11.19,0.57,37.05,62.0,117.24,0.78,0.81,21.84,33.92,73.12,3.24,741.0,72.1,0.0,22-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
22-Feb-2019 - 00:00,3.14,31.35,19.2,37.89,9.08,0.48,45.88,74.18,116.76,0.62,0.89,18.5,30.72,67.96,4.28,741.01,78.12,0.0,23-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
23-Feb-2019 - 00:00,0.82,26.23,14.59,29.76,11.85,0.44,55.41,56.11,93.02,0.45,0.46,15.15,27.62,57.98,4.15,741.0,85.2,0.0,24-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
24-Feb-2019 - 00:00,0.97,29.22,16.33,33.58,16.43,0.59,54.21,77.99,117.06,0.58,0.84,16.62,27.58,57.38,2.39,740.94,86.8,0.0,25-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
25-Feb-2019 - 00:00,5.2,34.47,22.56,32.17,14.78,0.6,65.25,77.68,139.24,0.73,0.7,17.17,27.67,55.38,1.69,740.59,81.74,0.0,26-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
26-Feb-2019 - 00:00,1.87,31.42,18.19,28.29,13.28,0.52,45.73,57.78,88.57,0.63,0.63,14.82,27.54,42.06,2.41,740.62,54.24,0.0,27-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
27-Feb-2019 - 00:00,3.57,27.38,17.46,25.42,14.77,0.5,45.78,52.07,88.09,0.47,0.46,13.89,27.53,50.66,2.38,740.67,73.54,0.0,28-Feb-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
28-Feb-2019 - 00:00,20.07,36.15,35.55,29.03,15.47,0.64,41.95,84.56,139.93,0.66,0.66,13.3,27.46,57.26,2.64,741.0,87.88,0.0,01-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
01-Mar-2019 - 00:00,4.93,40.6,25.6,34.21,15.55,0.62,46.61,94.94,159.0,0.73,0.71,15.3,27.55,59.38,2.02,741.0,91.16,0.0,02-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
02-Mar-2019 - 00:00,10.8,48.23,34.43,43.96,21.76,0.94,17.64,150.73,197.95,1.33,1.88,14.39,27.68,34.06,1.15,741.0,24.08,0.0,03-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
03-Mar-2019 - 00:00,13.84,33.54,28.37,28.29,21.45,0.73,36.41,76.37,111.01,0.67,0.67,16.61,27.53,45.4,1.48,741.0,61.77,0.0,04-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
04-Mar-2019 - 00:00,14.95,31.09,28.69,32.86,13.31,0.7,35.14,86.98,122.33,0.71,1.01,17.57,27.63,51.52,2.27,740.31,77.74,0.0,05-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
05-Mar-2019 - 00:00,1.41,27.41,15.67,28.71,13.39,0.58,42.15,68.31,104.58,0.48,0.51,17.35,27.44,55.77,3.07,740.66,81.98,0.0,06-Mar-2019 - 00:00,"New Collectorate, Baghpat - UPPCB"
