from date,PM2.5,PM10,RH,SR,Temp,BP,WD,VWS,WS,RF,CO,Ozone,NO2,NO,NOx,NH3,SO2,Benzene,Toluene,Xylene,to date,station
11-Jan-2019 - 00:00,72.11,139.45,59.75,146.07,31.77,710.53,111.55,-0.28,1.96,0.0,0.66,76.28,50.73,3.01,29.42,28.91,5.25,4.85,16.97,3.17,12-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
12-Jan-2019 - 00:00,77.16,147.08,64.72,143.98,31.62,710.02,109.45,-0.27,2.03,0.0,0.65,73.18,50.2,3.23,29.32,30.25,6.52,4.68,7.66,2.96,13-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
13-Jan-2019 - 00:00,62.35,112.95,62.36,147.69,31.75,710.3,112.86,-0.27,1.98,0.0,0.53,74.36,36.31,2.79,21.58,24.08,4.36,3.69,6.32,1.93,14-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
14-Jan-2019 - 00:00,71.24,132.0,59.24,149.25,31.85,710.41,106.79,-0.28,1.58,0.0,0.64,68.32,48.83,2.95,28.37,23.76,5.89,4.61,6.6,3.02,15-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
15-Jan-2019 - 00:00,72.31,141.56,58.19,146.67,31.9,710.47,98.78,-0.3,1.22,0.0,0.65,65.6,50.39,3.16,29.33,25.43,8.76,5.27,10.94,3.14,16-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
16-Jan-2019 - 00:00,74.59,153.32,55.66,148.04,31.94,710.53,89.62,-0.29,1.12,0.0,0.68,63.81,56.11,3.47,32.67,23.21,9.96,4.8,9.69,3.38,17-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
17-Jan-2019 - 00:00,74.0,163.32,56.99,154.33,31.72,710.27,107.21,-0.27,1.07,0.0,0.85,56.4,75.97,5.79,45.12,24.95,9.0,6.23,18.77,5.54,18-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
18-Jan-2019 - 00:00,72.22,158.01,57.36,151.12,31.3,710.28,100.35,-0.28,1.14,0.0,0.77,54.7,67.98,4.37,39.71,26.8,7.33,5.72,13.16,4.73,19-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
19-Jan-2019 - 00:00,75.28,156.77,57.61,148.54,31.3,710.59,99.71,-0.29,1.3,0.0,0.71,57.9,67.13,3.29,38.38,25.54,11.27,5.12,13.41,4.4,20-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
20-Jan-2019 - 00:00,64.7,138.72,52.69,160.94,32.04,710.59,96.2,-0.29,1.11,0.0,0.69,52.91,74.03,7.18,45.21,20.61,12.01,5.6,13.63,5.03,21-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
21-Jan-2019 - 00:00,61.59,131.89,56.07,166.61,31.78,710.42,121.94,-0.29,1.68,0.0,0.58,63.47,49.78,3.38,29.23,22.69,5.92,4.22,7.67,3.43,22-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
22-Jan-2019 - 00:00,36.09,94.28,47.29,171.4,32.04,710.5,140.89,-0.3,1.85,0.0,0.42,55.84,41.31,4.32,25.48,15.63,3.49,2.44,5.39,2.02,23-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
23-Jan-2019 - 00:00,51.86,107.08,61.68,146.45,29.75,710.28,131.38,-0.3,1.93,0.0,0.45,55.74,38.57,2.96,22.92,20.25,5.2,2.75,5.87,1.78,24-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
24-Jan-2019 - 00:00,51.55,115.7,61.85,141.49,27.49,709.82,116.2,-0.29,1.89,0.0,0.54,51.59,52.02,3.85,30.8,20.92,5.66,3.64,7.52,2.51,25-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
25-Jan-2019 - 00:00,28.9,80.54,61.16,148.5,27.51,709.62,143.76,-0.3,2.56,0.0,0.38,43.49,30.28,2.88,18.45,17.86,4.19,2.17,4.58,1.16,26-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
26-Jan-2019 - 00:00,27.67,56.16,72.17,94.29,27.78,709.47,115.86,-0.26,1.95,1.38,0.42,39.36,24.49,2.95,15.43,18.06,4.28,2.23,3.86,0.98,27-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
27-Jan-2019 - 00:00,47.98,78.05,83.64,24.07,27.31,709.28,93.7,-0.06,1.8,0.02,0.47,18.35,26.16,4.47,17.55,19.55,3.42,3.5,7.96,0.79,28-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
28-Jan-2019 - 00:00,68.42,101.36,78.02,52.89,27.77,710.29,93.41,-0.12,1.72,0.0,0.58,29.79,39.94,4.45,24.83,19.55,5.38,4.59,10.46,2.8,29-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
29-Jan-2019 - 00:00,60.28,113.86,60.56,166.01,27.49,710.32,90.15,-0.18,1.61,0.0,0.44,58.43,42.07,3.61,25.31,13.94,9.66,3.49,9.88,1.91,30-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
30-Jan-2019 - 00:00,48.77,110.76,47.31,176.45,28.58,710.75,76.3,-0.2,1.12,0.0,0.54,63.35,61.33,5.2,36.84,13.24,13.89,5.63,21.3,3.89,31-Jan-2019 - 00:00,"Central University, Hyderabad - TSPCB"
31-Jan-2019 - 00:00,56.54,113.82,59.92,168.69,29.1,710.55,102.16,-0.2,1.9,0.0,0.66,52.16,65.5,5.42,39.23,19.62,5.4,4.35,10.06,4.26,01-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
01-Feb-2019 - 00:00,59.01,111.24,63.68,162.02,29.52,709.47,110.59,-0.21,1.72,0.0,0.56,66.35,50.68,3.19,29.54,20.52,4.75,4.09,7.41,3.26,02-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
02-Feb-2019 - 00:00,53.0,111.77,60.9,161.82,29.78,710.02,110.17,-0.22,1.37,0.0,0.62,54.14,56.11,3.68,32.82,18.42,2.93,4.26,9.59,3.79,03-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
03-Feb-2019 - 00:00,49.94,97.16,59.71,169.67,29.8,709.61,106.98,-0.24,1.85,0.0,0.5,62.22,46.9,3.0,27.37,19.55,4.81,3.09,7.11,2.01,04-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
04-Feb-2019 - 00:00,58.03,114.19,62.01,165.09,29.68,709.38,106.78,-0.24,1.81,0.0,0.59,69.14,48.37,3.21,28.33,20.52,3.86,3.71,7.04,2.62,05-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
05-Feb-2019 - 00:00,54.29,118.04,55.8,167.44,29.99,709.21,106.04,-0.26,1.61,0.0,0.63,69.67,59.37,3.32,34.27,17.85,5.63,4.11,8.56,3.14,06-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
06-Feb-2019 - 00:00,56.98,131.22,51.51,196.89,30.55,707.89,103.56,-0.27,2.02,0.0,0.65,74.99,59.4,4.26,35.06,19.38,5.86,4.08,12.34,3.42,07-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
07-Feb-2019 - 00:00,49.71,111.49,54.3,160.0,29.81,708.46,139.04,-0.29,2.35,0.0,0.47,70.51,36.6,2.99,21.9,19.74,7.12,2.51,5.07,1.25,08-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
08-Feb-2019 - 00:00,51.92,139.29,53.89,156.6,29.88,709.49,217.78,-0.3,1.41,0.0,0.79,46.38,59.79,19.54,47.69,17.76,6.33,4.97,11.41,5.13,09-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
09-Feb-2019 - 00:00,49.26,167.04,46.54,174.83,30.09,710.26,147.69,-0.3,1.86,0.0,0.49,66.82,44.39,5.38,27.98,17.1,14.81,5.69,20.76,4.45,10-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
10-Feb-2019 - 00:00,44.32,167.27,44.91,4.0,29.82,713.55,67.09,-0.3,1.44,0.0,0.33,57.85,38.7,2.65,22.74,13.38,24.34,4.9,23.38,0.84,11-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
11-Feb-2019 - 00:00,57.63,117.61,62.3,207.5,29.41,708.1,108.26,-0.3,2.31,0.0,0.58,56.49,37.74,3.36,22.8,26.32,2.81,2.93,6.34,2.01,12-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
12-Feb-2019 - 00:00,53.78,115.94,63.18,168.81,29.24,709.05,111.22,-0.28,1.72,0.0,0.58,51.5,46.46,3.74,27.76,21.31,2.43,3.51,8.26,2.68,13-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
13-Feb-2019 - 00:00,57.72,129.17,57.79,181.6,29.36,709.18,101.46,-0.28,1.33,0.0,0.66,46.75,69.17,4.49,40.45,18.79,4.78,4.16,12.15,4.23,14-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
14-Feb-2019 - 00:00,54.16,129.81,57.65,179.94,29.32,708.41,121.0,-0.28,1.68,0.0,0.57,63.94,49.66,3.21,29.02,19.86,3.9,3.55,6.96,2.76,15-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
15-Feb-2019 - 00:00,29.58,86.49,51.09,174.5,29.63,707.54,151.21,-0.3,2.28,0.0,0.39,52.48,23.35,2.71,14.62,14.48,3.45,1.8,3.93,0.95,16-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
16-Feb-2019 - 00:00,41.22,105.53,51.31,225.11,29.52,706.38,110.15,-0.19,1.25,0.0,0.58,55.02,38.97,5.41,25.12,16.01,4.77,3.69,9.51,3.61,17-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
17-Feb-2019 - 00:00,36.48,92.27,49.21,169.07,30.04,706.77,152.18,-0.28,1.61,0.0,0.43,57.09,29.39,2.64,17.78,15.68,5.79,2.95,9.7,2.16,18-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
18-Feb-2019 - 00:00,56.51,127.5,59.22,168.96,29.51,707.62,87.89,-0.27,1.22,0.0,0.66,61.2,44.97,3.21,26.53,18.12,5.12,4.85,13.34,3.51,19-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
19-Feb-2019 - 00:00,44.85,106.91,59.5,143.46,29.85,707.51,107.94,-0.3,2.31,0.0,0.49,50.17,32.73,2.98,19.83,17.34,4.81,2.91,7.47,2.1,20-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
20-Feb-2019 - 00:00,28.11,83.2,58.51,207.51,30.11,707.56,110.48,-0.3,2.61,0.0,0.42,38.56,28.72,3.18,17.87,14.72,3.83,2.09,5.47,1.68,21-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
21-Feb-2019 - 00:00,30.9,87.8,48.5,221.29,30.54,707.14,109.03,-0.3,2.38,0.0,0.48,50.38,35.19,3.06,21.21,12.11,2.78,2.71,6.24,2.15,22-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
22-Feb-2019 - 00:00,35.34,103.21,43.65,216.95,31.13,706.55,123.53,-0.3,1.66,0.0,0.54,59.07,43.29,3.44,25.82,12.22,5.48,3.16,7.69,2.99,23-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
23-Feb-2019 - 00:00,48.07,125.83,42.53,214.21,31.35,706.33,117.51,-0.3,1.31,0.0,0.63,75.64,46.2,3.15,27.13,14.08,7.62,3.96,10.42,4.14,24-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
24-Feb-2019 - 00:00,37.82,93.06,39.51,230.14,31.52,706.33,147.49,-0.33,1.86,0.0,0.42,71.82,27.07,3.03,16.86,11.83,7.91,2.32,4.62,1.5,25-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
25-Feb-2019 - 00:00,38.01,120.97,38.0,231.31,31.36,706.21,161.81,-0.34,2.19,0.0,0.42,68.44,30.94,2.78,18.71,10.82,8.77,2.57,7.04,1.55,26-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
26-Feb-2019 - 00:00,43.55,131.28,44.5,237.78,30.5,707.68,137.47,-0.37,1.63,0.0,0.55,53.01,42.45,3.76,25.63,12.91,9.62,3.47,11.02,2.62,27-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
27-Feb-2019 - 00:00,50.14,118.92,63.06,136.75,29.89,709.4,107.38,-0.34,0.93,0.0,0.56,40.94,40.09,3.99,24.58,18.74,5.5,3.07,12.38,2.99,28-Feb-2019 - 00:00,"Central University, Hyderabad - TSPCB"
28-Feb-2019 - 00:00,43.07,128.93,52.23,190.66,29.62,709.94,111.9,-0.39,1.53,0.0,0.46,47.61,35.67,3.27,21.63,13.73,7.52,2.7,11.26,1.98,01-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
01-Mar-2019 - 00:00,38.83,103.6,58.46,179.56,30.0,709.35,99.92,-0.4,2.23,0.0,0.5,51.17,32.64,3.2,19.96,15.24,4.88,2.28,7.16,2.27,02-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
02-Mar-2019 - 00:00,22.38,56.55,71.68,128.68,30.23,711.34,114.55,-0.4,3.11,0.0,0.28,28.24,16.13,2.9,10.62,14.85,4.88,0.96,2.02,0.67,03-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
03-Mar-2019 - 00:00,23.76,71.63,50.23,214.79,30.03,707.48,134.88,-0.4,2.21,0.0,1.23,44.81,24.19,2.76,14.49,21.24,3.06,,,,04-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
04-Mar-2019 - 00:00,31.58,96.98,51.33,194.12,30.26,709.0,153.35,-0.44,1.79,0.0,1.18,49.91,33.28,3.56,20.61,13.2,6.71,,,,05-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
05-Mar-2019 - 00:00,53.75,164.52,49.83,199.55,29.98,709.67,212.56,-0.41,1.57,0.0,0.7,39.42,39.73,3.62,24.09,12.52,9.68,2.71,12.14,1.56,06-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
06-Mar-2019 - 00:00,56.72,163.56,41.12,205.58,30.45,710.19,190.73,-0.4,1.43,0.0,0.71,51.97,46.82,4.62,28.66,12.64,14.79,5.58,19.16,2.12,07-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
07-Mar-2019 - 00:00,60.46,173.67,40.34,193.05,31.15,709.98,134.44,-0.4,1.08,0.0,1.02,70.5,59.17,9.69,39.35,15.36,15.75,5.9,19.32,4.08,08-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
08-Mar-2019 - 00:00,56.62,153.18,47.72,193.67,30.42,709.03,102.07,-0.4,1.28,0.0,0.81,56.39,46.64,3.26,27.46,16.24,9.35,3.13,13.31,2.3,09-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
09-Mar-2019 - 00:00,38.82,103.16,53.55,182.99,30.43,709.25,132.28,-0.46,1.55,0.0,0.67,46.68,32.49,3.08,19.79,15.62,8.66,2.28,8.23,2.14,10-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
10-Mar-2019 - 00:00,36.48,91.6,56.5,185.28,30.41,709.97,122.44,-0.5,1.27,0.0,0.3,41.25,31.15,3.51,19.42,14.81,5.46,1.94,7.18,1.56,11-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
11-Mar-2019 - 00:00,28.41,86.91,53.98,183.86,30.37,709.67,126.11,-0.5,2.25,0.0,0.41,44.82,25.88,3.11,16.29,12.87,5.67,1.58,4.79,1.34,12-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
12-Mar-2019 - 00:00,31.46,99.59,50.48,196.22,30.47,709.56,115.99,-0.5,1.93,0.0,0.33,50.85,26.24,3.61,16.89,11.4,5.6,1.79,4.95,1.16,13-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
13-Mar-2019 - 00:00,34.97,105.42,42.17,199.35,30.69,709.66,153.4,-0.52,2.41,0.0,0.48,59.43,22.33,2.76,14.12,9.68,4.47,1.5,4.41,0.8,14-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
14-Mar-2019 - 00:00,33.4,105.99,40.11,200.89,32.61,708.97,153.56,-0.49,1.94,0.0,0.24,54.96,25.94,3.27,16.46,10.81,9.4,1.69,6.82,1.12,15-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
15-Mar-2019 - 00:00,37.85,105.04,38.72,201.23,33.52,708.53,165.18,-0.46,2.09,0.01,0.83,55.49,28.06,2.95,17.32,12.1,11.88,2.57,10.81,1.75,16-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
16-Mar-2019 - 00:00,29.09,95.8,36.53,261.68,31.87,714.86,122.58,-0.51,2.52,0.0,1.76,62.95,20.74,3.27,13.68,10.97,4.65,4.78,5.6,0.85,17-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
18-Mar-2019 - 00:00,21.65,87.19,47.32,133.15,32.44,711.79,82.47,-0.55,2.85,0.0,0.12,45.55,28.73,2.56,16.67,7.51,3.16,0.36,0.83,0.18,19-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
19-Mar-2019 - 00:00,24.55,70.16,54.26,190.25,31.82,708.64,122.99,-0.42,1.9,0.0,0.6,42.17,24.72,2.68,15.33,11.1,2.11,1.07,3.25,0.54,20-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
20-Mar-2019 - 00:00,35.8,91.73,57.02,186.96,29.58,706.38,118.84,-0.29,2.63,0.0,0.51,47.13,26.76,2.96,16.64,15.37,1.52,1.8,4.66,0.77,21-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
21-Mar-2019 - 00:00,32.74,87.47,54.39,180.49,27.18,705.82,130.82,-0.28,2.27,0.0,0.58,52.52,25.0,2.65,15.45,15.84,1.51,1.64,3.68,0.55,22-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
22-Mar-2019 - 00:00,31.29,86.07,52.64,189.07,27.23,706.22,119.97,-0.3,1.53,0.0,0.61,50.23,29.63,2.67,17.94,13.55,3.13,1.77,4.74,0.99,23-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
23-Mar-2019 - 00:00,36.18,102.86,50.76,188.38,27.33,706.04,105.78,-0.33,1.52,0.0,0.74,55.06,41.72,3.34,24.9,12.48,1.72,2.44,8.1,2.07,24-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
24-Mar-2019 - 00:00,40.03,103.76,48.15,184.8,27.46,706.72,97.04,-0.39,1.49,0.0,0.64,61.97,36.71,3.09,22.04,12.9,1.8,2.19,6.13,1.79,25-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
25-Mar-2019 - 00:00,37.06,103.67,46.22,192.9,27.47,706.45,88.68,-0.38,1.73,0.0,0.73,59.19,41.09,3.16,24.42,11.44,6.74,2.5,6.68,2.3,26-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
26-Mar-2019 - 00:00,39.91,119.47,46.68,190.04,27.16,706.05,131.65,-0.36,1.35,0.0,0.74,52.64,43.38,8.97,30.37,11.53,2.04,2.54,8.6,1.9,27-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
27-Mar-2019 - 00:00,38.51,112.47,46.44,179.17,29.21,706.3,126.38,-0.36,1.48,0.0,0.72,59.98,43.17,2.62,25.26,13.76,2.31,2.54,7.29,2.14,28-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
28-Mar-2019 - 00:00,45.41,136.4,43.82,192.96,29.79,705.51,113.43,-0.21,1.37,0.0,0.67,59.87,42.66,3.27,25.35,13.27,4.58,3.08,10.27,2.86,29-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
29-Mar-2019 - 00:00,52.84,148.06,41.55,188.14,27.42,703.44,97.19,-0.09,1.28,0.0,0.87,62.04,59.05,4.24,34.86,12.92,6.54,3.55,11.66,3.57,30-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
30-Mar-2019 - 00:00,49.51,124.79,43.65,182.79,27.41,703.26,111.94,-0.09,1.65,0.0,0.73,74.82,39.98,2.57,23.34,13.46,4.01,2.74,7.51,2.64,31-Mar-2019 - 00:00,"Central University, Hyderabad - TSPCB"
31-Mar-2019 - 00:00,40.51,120.74,41.05,175.18,27.38,703.24,182.4,-0.08,1.51,0.01,0.6,71.78,30.56,3.24,18.89,12.19,3.67,2.06,4.77,1.55,01-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
01-Apr-2019 - 00:00,31.86,102.24,38.7,196.64,27.37,702.5,198.45,-0.02,1.64,0.0,0.7,61.91,41.67,6.49,27.44,11.6,4.05,2.59,7.31,2.83,02-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
02-Apr-2019 - 00:00,37.0,114.84,42.01,188.0,27.48,702.63,113.66,-0.07,1.79,0.0,0.61,66.99,31.87,2.75,19.18,12.9,4.36,2.56,7.32,2.13,03-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
03-Apr-2019 - 00:00,38.48,116.28,53.0,148.64,27.49,703.3,94.33,-0.1,1.91,0.0,0.72,57.38,34.69,3.11,20.98,16.68,2.34,2.72,7.36,1.83,04-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
04-Apr-2019 - 00:00,33.33,106.05,49.39,179.31,27.51,703.46,130.38,-0.1,1.93,0.0,0.6,54.18,31.56,3.66,19.75,14.99,2.0,2.36,6.19,1.84,05-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
05-Apr-2019 - 00:00,24.11,76.81,45.42,161.3,27.45,704.26,192.18,-0.09,1.73,0.02,0.45,88.62,14.53,2.54,9.79,12.1,1.8,1.3,2.39,0.35,06-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
06-Apr-2019 - 00:00,25.44,68.92,43.43,185.68,27.3,703.75,184.93,-0.06,1.35,0.0,0.52,74.81,26.43,4.77,17.93,10.75,2.77,1.67,4.15,0.45,07-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
07-Apr-2019 - 00:00,24.27,64.92,62.23,2.0,27.19,705.62,147.35,-0.1,1.53,0.0,0.5,49.22,14.39,2.42,9.62,12.7,0.73,1.41,2.52,0.23,08-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
12-Apr-2019 - 00:00,24.08,98.85,42.08,191.04,27.07,703.04,90.08,-0.06,2.2,0.04,0.53,86.36,23.4,2.55,14.52,12.02,1.39,1.62,4.77,0.87,13-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
13-Apr-2019 - 00:00,26.17,79.33,42.66,172.39,26.91,702.66,112.1,-0.03,1.39,0.0,0.64,72.06,38.7,3.08,23.08,12.07,1.66,2.63,8.49,2.23,14-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
14-Apr-2019 - 00:00,32.8,94.97,43.48,197.19,26.57,702.65,129.86,-0.09,1.55,0.0,0.68,58.43,38.11,3.89,23.44,13.62,2.5,3.15,7.84,2.59,15-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
15-Apr-2019 - 00:00,26.8,89.69,39.57,200.89,26.58,702.18,129.86,-0.1,1.82,0.0,0.54,66.15,25.85,2.81,16.03,11.28,1.98,2.23,5.34,1.56,16-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
16-Apr-2019 - 00:00,31.23,108.98,40.01,201.19,27.72,702.82,133.61,-0.1,2.09,0.0,0.58,75.65,28.91,2.65,17.53,11.63,5.34,2.84,8.09,1.46,17-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
17-Apr-2019 - 00:00,24.04,71.27,43.65,166.94,26.83,702.97,154.32,-0.09,2.04,0.0,0.53,63.41,19.64,2.49,12.47,10.81,2.93,1.47,3.37,0.83,18-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
18-Apr-2019 - 00:00,35.46,110.21,49.7,176.76,27.71,702.97,126.21,-0.1,1.69,0.0,0.67,65.47,30.36,3.05,18.63,13.85,2.37,3.14,8.39,1.53,19-Apr-2019 - 00:00,"Central University, Hyderabad - TSPCB"
