from date,PM2.5,PM10,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,WS,WD,AT,RH,BP,SR,RF,to date,station
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-Feb-2019 - 00:00,71.86,156.5,9.68,50.62,21.42,45.9,0.89,34.81,1.93,85.81,0.5,259.96,16.16,60.0,741.57,20.64,,28-Feb-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-Feb-2019 - 00:00,112.1,203.05,27.91,62.93,30.11,34.22,1.05,58.38,2.37,86.18,0.47,233.47,15.92,61.49,742.0,100.96,,01-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Mar-2019 - 00:00,124.71,247.12,38.63,78.85,34.53,40.89,1.23,64.67,2.63,85.82,0.46,245.02,17.47,54.27,742.0,104.75,,02-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Mar-2019 - 00:00,128.72,217.62,20.44,65.59,41.39,40.12,1.2,25.15,2.9,85.04,0.4,152.02,16.55,69.46,742.0,34.9,,03-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Mar-2019 - 00:00,69.69,126.03,35.99,60.8,30.95,13.13,1.27,28.79,1.77,80.09,0.43,147.69,17.03,80.53,741.58,76.7,,04-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Mar-2019 - 00:00,126.3,244.95,56.67,84.6,44.62,31.78,1.4,57.63,2.93,84.82,0.47,253.1,19.04,77.68,741.07,86.47,,05-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Mar-2019 - 00:00,66.24,149.35,10.63,41.94,26.69,18.05,0.81,47.18,1.66,78.12,0.52,266.0,18.76,64.8,741.35,99.0,,06-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Mar-2019 - 00:00,88.24,198.66,23.69,61.37,29.5,24.81,1.13,54.61,2.19,84.23,0.48,241.52,19.37,57.15,741.42,103.67,,07-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Mar-2019 - 00:00,112.56,239.16,38.21,77.21,35.74,22.47,1.37,62.27,3.03,96.31,0.41,221.84,20.09,54.79,741.55,104.82,,08-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Mar-2019 - 00:00,130.36,243.3,25.42,65.68,39.17,66.29,1.16,52.03,2.94,90.22,0.38,208.02,18.01,64.16,741.91,77.5,,09-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Mar-2019 - 00:00,46.03,168.75,4.99,44.54,21.57,39.76,0.74,56.52,1.48,88.95,0.58,278.53,22.19,47.62,742.0,25.59,,10-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Mar-2019 - 00:00,73.35,186.51,12.29,47.86,27.23,30.58,1.0,77.4,1.86,84.32,0.47,224.72,21.11,46.01,742.0,108.82,,11-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Mar-2019 - 00:00,79.66,234.21,12.63,49.88,36.66,32.31,1.05,57.06,2.28,86.48,0.57,127.06,22.38,50.46,742.0,86.36,,12-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Mar-2019 - 00:00,57.89,152.02,3.94,31.2,27.91,32.85,0.76,57.8,1.98,86.23,0.61,238.57,21.66,52.68,742.0,98.83,,13-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Mar-2019 - 00:00,96.34,274.68,21.97,59.53,32.55,54.55,1.25,48.55,2.71,88.34,0.47,218.84,20.6,52.6,742.0,54.31,,14-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Mar-2019 - 00:00,127.46,253.03,22.99,55.56,40.58,61.07,1.21,51.58,3.33,81.0,0.58,206.06,19.01,63.53,742.0,80.67,,15-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Mar-2019 - 00:00,65.68,150.14,11.88,44.98,32.43,32.17,0.78,53.22,1.92,81.51,0.54,262.74,19.89,59.34,742.07,112.01,,16-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Mar-2019 - 00:00,61.02,155.0,5.04,36.81,28.92,27.99,0.77,78.69,1.62,78.92,0.55,259.86,21.04,51.85,742.0,113.57,,17-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Mar-2019 - 00:00,96.27,206.26,6.67,46.66,30.5,36.21,0.92,77.96,2.18,82.13,0.47,250.54,22.26,48.36,742.0,110.75,,18-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Mar-2019 - 00:00,105.54,231.62,19.46,60.96,34.68,35.4,1.17,71.7,2.35,81.83,0.43,230.82,22.56,49.71,742.0,107.9,,19-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Mar-2019 - 00:00,109.19,283.1,26.04,69.33,36.9,47.19,1.34,58.61,2.74,81.0,0.42,229.01,24.45,45.66,741.38,108.35,,20-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Mar-2019 - 00:00,91.98,270.16,16.79,52.79,39.29,27.53,1.31,54.4,2.76,78.35,0.49,136.39,26.29,42.21,741.07,97.19,,21-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Mar-2019 - 00:00,100.05,194.8,3.56,26.08,42.61,30.75,1.06,66.67,2.83,70.46,0.52,208.53,25.16,44.83,741.71,106.43,,22-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Mar-2019 - 00:00,32.83,140.84,2.1,23.26,23.35,26.74,0.49,91.41,1.09,68.48,0.67,271.4,24.3,37.83,742.0,117.12,,23-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Mar-2019 - 00:00,45.66,148.81,1.58,25.51,23.4,22.79,0.54,83.79,1.2,69.83,0.67,264.78,24.47,40.94,742.0,114.99,,24-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Mar-2019 - 00:00,57.21,162.91,4.67,31.07,26.99,35.02,0.71,69.09,1.28,69.25,0.57,259.67,25.28,43.06,741.62,110.43,,25-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-Mar-2019 - 00:00,69.54,187.62,4.93,33.76,32.75,31.65,0.89,55.31,1.75,69.49,0.6,265.15,23.86,53.17,741.72,95.34,,26-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-Mar-2019 - 00:00,76.75,186.01,5.42,38.94,31.74,22.4,0.96,51.92,1.86,71.19,0.55,259.55,24.23,50.28,742.0,111.14,,27-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-Mar-2019 - 00:00,76.43,205.81,23.55,59.84,31.24,22.73,1.33,72.88,2.06,75.04,0.48,241.9,25.74,44.32,742.0,104.71,,28-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-Mar-2019 - 00:00,148.7,326.09,71.51,116.47,45.35,35.73,2.49,61.44,3.72,83.37,0.38,194.19,27.44,46.77,741.72,100.73,,29-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-Mar-2019 - 00:00,180.34,378.55,20.13,67.85,65.75,59.42,2.14,83.63,4.68,83.9,0.42,225.79,29.28,50.65,741.21,103.72,,30-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
30-Mar-2019 - 00:00,124.17,307.61,9.64,56.05,49.07,53.1,1.7,56.15,3.53,79.96,0.42,179.04,30.74,44.61,741.11,104.01,,31-Mar-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
31-Mar-2019 - 00:00,57.95,225.53,3.21,32.68,31.76,32.45,0.79,76.59,1.73,75.89,0.64,272.02,29.07,36.3,741.15,113.8,,01-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-Apr-2019 - 00:00,53.84,212.84,3.67,36.54,25.65,28.01,0.81,90.72,1.43,71.01,0.58,263.61,27.87,35.06,741.11,117.16,,02-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-Apr-2019 - 00:00,109.85,273.71,16.62,59.05,34.35,37.33,1.49,65.51,2.9,79.06,0.41,214.81,28.18,37.18,741.3,108.64,,03-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-Apr-2019 - 00:00,91.53,256.25,17.47,62.37,41.92,29.63,1.67,83.78,2.9,77.33,0.44,213.12,29.23,35.32,741.18,112.12,,04-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-Apr-2019 - 00:00,154.07,336.28,17.85,64.97,47.19,49.28,2.21,68.79,4.74,78.7,0.4,181.96,30.61,39.59,741.27,105.24,,05-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-Apr-2019 - 00:00,181.74,401.65,63.66,96.46,50.61,76.95,2.36,64.95,5.01,77.84,0.42,192.43,31.6,39.27,741.17,99.12,,06-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-Apr-2019 - 00:00,117.97,409.55,15.91,56.92,48.21,41.02,1.77,60.09,3.43,75.21,0.46,164.75,32.26,38.19,741.15,94.45,,07-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-Apr-2019 - 00:00,134.41,353.29,3.8,32.88,66.6,27.02,1.4,39.51,3.05,71.8,0.55,130.12,29.86,55.97,741.0,87.71,,08-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-Apr-2019 - 00:00,86.03,352.96,5.78,41.05,45.09,21.85,1.12,52.86,2.0,64.21,0.5,139.34,28.27,48.54,741.04,101.7,,09-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-Apr-2019 - 00:00,99.94,259.09,15.79,57.27,43.75,28.94,2.04,60.64,3.21,61.9,0.44,148.79,29.51,44.36,741.0,108.71,,10-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-Apr-2019 - 00:00,140.99,344.21,35.13,77.54,50.46,39.84,2.23,65.19,4.67,73.88,0.44,230.93,31.74,40.08,741.18,109.31,,11-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-Apr-2019 - 00:00,88.39,251.0,4.75,38.47,40.17,37.25,1.19,69.11,2.43,56.6,0.47,228.6,32.43,35.5,741.17,106.74,,12-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-Apr-2019 - 00:00,74.48,253.82,5.07,36.36,35.06,44.97,1.11,56.67,2.04,53.78,0.59,234.1,30.7,40.04,741.16,95.35,,13-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-Apr-2019 - 00:00,68.05,221.0,2.18,28.4,30.54,35.21,0.81,59.72,1.96,56.11,0.63,253.79,31.47,35.62,741.25,114.22,,14-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-Apr-2019 - 00:00,66.77,236.11,4.4,36.39,31.56,48.5,0.75,71.21,1.72,57.85,0.6,273.74,31.95,34.35,741.24,113.99,,15-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-Apr-2019 - 00:00,71.71,259.49,41.99,69.87,29.95,24.3,1.51,55.5,2.11,56.7,0.54,247.72,33.47,30.76,741.11,118.22,,16-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-Apr-2019 - 00:00,53.6,196.86,5.83,27.37,33.09,13.07,0.65,45.33,1.47,55.75,0.74,179.75,26.24,53.41,741.28,62.19,,17-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-Apr-2019 - 00:00,23.68,84.19,1.36,20.08,25.25,10.55,0.49,48.17,0.7,51.97,0.65,139.91,23.56,60.56,741.51,89.1,,18-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-Apr-2019 - 00:00,56.75,128.75,8.59,38.28,28.59,28.12,1.05,66.97,1.82,50.02,0.47,194.21,24.81,55.51,741.68,120.86,,19-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-Apr-2019 - 00:00,88.6,196.8,9.41,46.82,30.09,31.55,1.19,71.7,2.34,51.94,0.45,224.57,27.44,43.28,741.26,116.24,,20-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-Apr-2019 - 00:00,103.08,240.23,22.41,66.9,32.04,27.85,2.04,75.45,2.64,52.11,0.37,211.83,29.28,38.24,741.0,118.02,,21-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-Apr-2019 - 00:00,120.64,300.23,55.72,97.84,42.27,34.07,4.12,66.88,3.12,58.13,0.41,214.06,31.43,35.48,741.0,121.1,,22-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
22-Apr-2019 - 00:00,120.52,307.92,46.33,92.35,44.23,36.04,2.63,83.0,3.7,53.9,0.42,216.02,32.47,36.59,741.0,113.11,,23-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
23-Apr-2019 - 00:00,137.41,346.27,98.26,133.38,57.24,33.47,3.02,72.87,3.98,55.31,0.43,197.43,33.95,36.49,741.0,123.69,,24-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
24-Apr-2019 - 00:00,84.94,320.73,1.72,32.76,42.4,26.34,1.24,91.55,2.01,50.08,0.49,135.88,34.87,38.28,741.17,108.41,,25-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
25-Apr-2019 - 00:00,76.52,316.6,1.78,27.56,44.13,20.94,1.04,86.1,1.59,46.29,0.55,121.3,33.74,41.74,741.09,106.4,,26-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
26-Apr-2019 - 00:00,102.98,298.03,11.33,49.76,37.07,39.3,1.28,62.0,2.62,51.3,0.5,243.84,34.2,30.48,741.01,124.57,,27-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
27-Apr-2019 - 00:00,69.31,356.89,4.82,37.57,28.7,29.95,0.73,65.58,1.66,39.77,0.66,265.97,35.33,21.74,741.0,126.9,,28-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
28-Apr-2019 - 00:00,77.73,341.35,10.65,50.58,29.12,43.93,0.96,81.39,2.08,43.2,0.6,256.7,35.1,18.58,741.0,140.56,,29-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
29-Apr-2019 - 00:00,92.97,322.14,35.25,86.51,35.48,58.27,1.08,74.37,2.34,39.62,0.45,234.18,35.44,18.08,741.0,136.81,,30-Apr-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
30-Apr-2019 - 00:00,92.36,321.19,4.77,48.5,36.42,36.38,1.22,89.9,2.31,27.71,0.49,139.79,36.38,19.35,740.65,132.0,,01-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
01-May-2019 - 00:00,124.4,409.27,20.23,70.13,53.02,42.26,1.78,71.19,2.75,29.09,0.43,168.33,34.52,28.49,740.5,120.56,,02-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
02-May-2019 - 00:00,74.25,336.74,4.49,39.51,51.41,29.59,0.97,75.53,1.65,26.22,0.68,119.44,32.44,35.25,740.9,117.06,,03-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
03-May-2019 - 00:00,46.86,176.03,12.22,53.09,34.54,29.17,0.96,76.96,1.23,26.27,0.55,148.79,31.59,34.59,741.0,130.77,,04-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
04-May-2019 - 00:00,70.08,232.61,5.57,60.86,37.64,38.61,0.94,79.3,1.85,39.96,0.55,251.33,33.38,21.85,741.0,138.9,,05-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
05-May-2019 - 00:00,95.0,287.02,54.45,100.7,35.17,39.45,1.84,82.63,2.21,43.98,0.51,237.2,33.78,18.81,741.1,142.62,,06-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
06-May-2019 - 00:00,124.94,368.21,107.72,158.04,50.5,52.22,2.47,71.29,3.43,49.32,0.45,214.1,34.35,19.58,741.0,135.64,,07-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
07-May-2019 - 00:00,142.48,476.26,98.65,132.89,51.8,42.6,1.83,63.17,3.78,54.57,0.44,207.73,34.56,22.21,741.0,137.4,,08-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
08-May-2019 - 00:00,135.04,477.5,138.41,176.07,52.63,41.51,2.64,69.64,3.98,57.12,0.46,210.59,35.58,22.24,741.0,132.15,,09-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
09-May-2019 - 00:00,134.73,494.77,54.49,111.73,46.31,34.52,1.77,81.4,2.82,47.17,0.48,214.79,35.85,21.59,741.0,127.06,,10-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
10-May-2019 - 00:00,88.69,397.74,5.62,45.08,32.56,35.49,0.72,70.81,1.54,39.83,0.53,220.02,35.6,21.59,741.0,128.44,,11-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
11-May-2019 - 00:00,114.76,393.39,6.89,53.46,44.69,55.52,1.01,94.13,2.0,41.91,0.51,244.07,33.99,28.67,741.0,132.85,,12-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
12-May-2019 - 00:00,175.79,473.65,22.96,73.46,45.74,39.99,1.65,71.06,2.0,41.23,0.54,242.94,33.39,31.31,741.0,122.34,,13-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
13-May-2019 - 00:00,179.53,426.89,21.52,70.38,63.22,72.18,1.39,76.04,2.96,41.01,0.53,196.09,32.82,35.3,741.0,112.41,,14-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
14-May-2019 - 00:00,71.5,165.61,8.37,52.3,56.58,44.29,1.08,85.1,1.6,40.08,0.47,193.58,30.15,45.73,741.0,114.79,,15-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
15-May-2019 - 00:00,110.96,249.15,17.07,75.65,77.25,43.25,1.52,33.11,3.27,39.62,0.48,138.44,29.42,52.53,741.05,92.21,,16-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
16-May-2019 - 00:00,93.97,278.79,18.94,74.48,64.65,48.49,1.54,57.37,2.46,36.91,0.5,203.18,30.43,46.91,741.0,89.85,,17-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
17-May-2019 - 00:00,93.88,369.12,18.91,67.6,66.22,22.02,1.11,56.69,1.76,37.5,0.54,179.77,28.61,54.77,741.0,103.9,,18-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
18-May-2019 - 00:00,44.64,118.19,4.39,45.85,58.58,18.09,0.77,53.54,1.27,34.94,0.51,249.45,27.8,59.42,741.0,139.9,,19-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
19-May-2019 - 00:00,71.67,174.78,5.82,56.64,43.49,22.27,1.06,80.34,1.53,34.21,0.5,246.98,32.16,38.95,741.0,136.44,,20-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
20-May-2019 - 00:00,98.3,256.9,23.11,84.31,45.71,35.39,1.41,71.61,2.29,38.31,0.44,208.73,34.25,31.46,741.1,137.77,,21-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
21-May-2019 - 00:00,47.77,194.4,2.79,50.1,34.51,27.8,0.88,100.07,1.13,38.37,0.52,213.93,37.5,24.48,741.0,150.77,,22-May-2019 - 00:00,"Indirapuram, Ghaziabad - UPPCB"
