from date,AT,BP,PM2.5,PM10,RH,SR,WD,WS,VWS,Benzene,Toluene,NH3,NO2,NOx,NO,CO,Ozone,SO2,to date,station
01-May-2019 - 00:00,33.86,977.76,100.59,367.95,23.39,231.18,104.76,1.08,,4.74,175.08,16.23,64.19,57.19,28.29,1.96,80.41,22.82,02-May-2019 - 00:00,"Narela, Delhi - DPCC"
02-May-2019 - 00:00,31.71,979.98,66.54,303.81,32.44,221.34,81.21,2.04,,4.0,116.69,15.31,36.31,22.91,4.42,1.51,90.97,15.16,03-May-2019 - 00:00,"Narela, Delhi - DPCC"
03-May-2019 - 00:00,30.74,982.23,50.55,155.73,34.53,235.96,106.51,1.33,,3.47,122.59,14.06,37.2,22.62,3.5,1.45,89.37,15.7,04-May-2019 - 00:00,"Narela, Delhi - DPCC"
04-May-2019 - 00:00,31.09,984.02,83.31,244.43,25.48,322.45,298.64,1.47,,2.44,160.81,13.91,36.1,22.27,3.73,1.47,91.73,30.22,05-May-2019 - 00:00,"Narela, Delhi - DPCC"
05-May-2019 - 00:00,35.29,983.14,78.56,265.26,14.23,301.22,293.13,1.63,,2.16,165.37,8.86,49.73,40.95,17.89,1.79,96.57,16.93,06-May-2019 - 00:00,"Narela, Delhi - DPCC"
06-May-2019 - 00:00,33.19,981.16,172.06,409.91,16.35,239.27,288.57,1.27,,5.22,134.18,12.48,64.68,48.92,17.86,1.93,76.89,39.7,07-May-2019 - 00:00,"Narela, Delhi - DPCC"
07-May-2019 - 00:00,33.18,979.81,184.96,467.67,18.25,232.96,291.61,0.98,,4.8,67.33,11.22,66.42,61.92,32.64,1.86,50.26,41.01,08-May-2019 - 00:00,"Narela, Delhi - DPCC"
08-May-2019 - 00:00,34.96,979.77,210.95,536.85,17.1,229.25,287.3,1.27,,5.03,87.88,12.2,61.69,55.45,27.74,2.0,62.03,41.62,09-May-2019 - 00:00,"Narela, Delhi - DPCC"
09-May-2019 - 00:00,34.97,978.94,163.89,446.28,17.44,221.27,298.45,1.22,,3.16,27.9,9.78,54.13,32.94,5.09,1.88,70.28,28.7,10-May-2019 - 00:00,"Narela, Delhi - DPCC"
10-May-2019 - 00:00,35.44,979.99,113.32,355.26,17.65,222.47,281.27,1.52,,1.65,25.05,7.44,27.24,16.76,2.77,1.52,81.79,14.51,11-May-2019 - 00:00,"Narela, Delhi - DPCC"
11-May-2019 - 00:00,32.74,982.44,116.08,310.65,28.27,222.19,292.62,1.37,,2.58,105.44,10.76,39.02,27.06,7.72,1.73,88.67,25.59,12-May-2019 - 00:00,"Narela, Delhi - DPCC"
12-May-2019 - 00:00,32.56,982.08,250.31,419.77,28.59,210.72,314.01,1.5,,2.26,48.12,11.05,29.93,17.57,2.05,1.84,94.61,27.46,13-May-2019 - 00:00,"Narela, Delhi - DPCC"
13-May-2019 - 00:00,31.88,980.94,137.47,358.78,34.12,166.93,178.06,1.36,,3.9,108.8,12.36,43.53,29.46,7.7,1.77,78.95,38.6,14-May-2019 - 00:00,"Narela, Delhi - DPCC"
14-May-2019 - 00:00,30.16,981.88,65.66,163.75,43.33,236.6,167.02,0.97,,1.77,112.48,14.65,44.54,32.65,10.97,1.73,81.1,13.54,15-May-2019 - 00:00,"Narela, Delhi - DPCC"
15-May-2019 - 00:00,28.64,983.22,90.6,212.21,53.26,179.77,117.62,1.33,,4.15,93.46,18.71,71.02,56.45,22.98,1.69,43.18,23.57,16-May-2019 - 00:00,"Narela, Delhi - DPCC"
16-May-2019 - 00:00,29.63,983.91,94.81,213.51,48.84,181.44,229.38,1.16,,3.01,81.76,19.67,50.8,43.23,19.86,1.8,62.36,14.79,17-May-2019 - 00:00,"Narela, Delhi - DPCC"
17-May-2019 - 00:00,27.67,983.55,163.93,348.56,58.37,189.04,210.17,1.18,,2.51,92.79,26.16,44.58,40.72,20.95,1.31,56.36,13.7,18-May-2019 - 00:00,"Narela, Delhi - DPCC"
18-May-2019 - 00:00,27.65,983.47,49.15,107.01,61.7,260.67,283.1,1.07,,1.46,38.47,38.81,21.15,12.35,1.42,0.36,82.99,9.97,19-May-2019 - 00:00,"Narela, Delhi - DPCC"
19-May-2019 - 00:00,30.95,983.53,86.17,166.17,42.37,253.74,316.05,1.17,,2.04,27.87,33.7,33.41,18.85,1.41,0.55,89.1,20.68,20-May-2019 - 00:00,"Narela, Delhi - DPCC"
20-May-2019 - 00:00,33.07,983.87,93.06,217.84,32.73,251.03,297.25,1.12,,2.14,48.5,29.49,42.31,25.7,3.89,0.49,85.1,24.06,21-May-2019 - 00:00,"Narela, Delhi - DPCC"
21-May-2019 - 00:00,34.29,982.47,88.52,213.98,29.4,237.41,309.91,1.0,,3.31,36.65,28.75,34.68,19.91,1.79,0.45,94.58,25.04,22-May-2019 - 00:00,"Narela, Delhi - DPCC"
22-May-2019 - 00:00,33.24,980.93,75.62,217.77,33.74,162.61,288.64,0.8,,2.66,34.5,26.21,42.39,33.14,13.02,0.57,53.56,26.07,23-May-2019 - 00:00,"Narela, Delhi - DPCC"
23-May-2019 - 00:00,32.03,980.28,124.75,291.5,43.03,177.74,244.54,0.91,,3.63,81.58,29.45,44.67,30.56,8.49,0.36,78.05,31.93,24-May-2019 - 00:00,"Narela, Delhi - DPCC"
24-May-2019 - 00:00,28.6,982.02,57.39,154.93,59.58,210.24,193.17,1.5,,2.25,116.73,39.73,37.58,26.11,7.48,0.45,36.91,12.34,25-May-2019 - 00:00,"Narela, Delhi - DPCC"
25-May-2019 - 00:00,30.68,981.47,46.79,132.47,44.58,262.56,324.31,1.71,,1.25,43.57,35.78,22.05,12.37,0.87,0.38,74.87,14.52,26-May-2019 - 00:00,"Narela, Delhi - DPCC"
26-May-2019 - 00:00,33.14,979.87,62.12,170.7,30.69,275.11,298.16,1.56,,1.88,115.48,29.88,27.92,15.62,1.04,0.38,93.01,21.37,27-May-2019 - 00:00,"Narela, Delhi - DPCC"
27-May-2019 - 00:00,34.92,979.66,69.69,200.89,24.52,269.59,300.76,1.32,,2.41,128.02,29.45,39.34,24.25,4.5,1.13,83.36,22.66,28-May-2019 - 00:00,"Narela, Delhi - DPCC"
28-May-2019 - 00:00,34.53,979.25,61.34,173.24,19.89,275.61,313.12,1.27,,2.2,39.77,25.34,40.09,23.64,2.9,1.58,86.82,22.17,29-May-2019 - 00:00,"Narela, Delhi - DPCC"
29-May-2019 - 00:00,35.99,977.74,87.56,241.0,21.3,256.01,306.98,1.01,,2.52,66.77,26.75,45.28,28.01,4.84,1.65,86.68,29.52,30-May-2019 - 00:00,"Narela, Delhi - DPCC"
30-May-2019 - 00:00,38.18,976.68,103.04,266.6,19.99,315.54,303.09,1.24,,2.96,98.42,29.29,38.52,24.41,4.97,1.72,76.28,41.64,31-May-2019 - 00:00,"Narela, Delhi - DPCC"
31-May-2019 - 00:00,39.1,976.09,80.36,310.91,21.51,206.41,158.91,0.83,,3.06,163.52,28.94,66.92,53.63,26.92,2.19,96.67,20.91,01-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
01-Jun-2019 - 00:00,35.84,977.12,114.62,345.65,35.3,226.29,114.84,1.29,,5.04,98.35,39.56,45.52,38.43,17.94,2.05,76.98,31.83,02-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
02-Jun-2019 - 00:00,35.88,977.34,78.15,240.62,47.18,222.49,105.37,1.7,,2.0,57.85,51.99,33.58,23.56,6.99,1.79,57.76,16.75,03-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
03-Jun-2019 - 00:00,34.49,977.96,88.75,347.4,44.08,218.97,112.97,2.04,,2.51,11.21,47.89,46.66,32.16,9.02,1.84,57.28,16.8,04-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
04-Jun-2019 - 00:00,34.77,978.41,65.35,207.02,43.2,229.34,113.26,1.78,,2.36,70.85,37.17,44.19,32.29,10.76,1.77,80.0,18.36,05-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
05-Jun-2019 - 00:00,36.15,977.67,87.21,266.52,41.18,201.78,113.08,1.25,,4.48,70.25,46.72,43.19,28.84,7.16,1.7,57.77,22.14,06-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
06-Jun-2019 - 00:00,36.17,978.12,72.42,274.6,32.95,217.31,153.52,1.35,,2.8,107.99,36.17,37.01,28.31,10.54,1.71,75.22,14.85,07-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
07-Jun-2019 - 00:00,33.53,981.06,66.44,181.36,43.87,233.57,87.61,1.23,,3.19,134.92,38.06,43.52,34.49,16.33,1.59,50.17,15.96,08-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
08-Jun-2019 - 00:00,36.31,979.16,80.17,235.1,37.11,234.73,206.51,0.86,,2.06,122.15,40.39,58.55,45.95,31.15,1.0,73.87,12.99,09-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
09-Jun-2019 - 00:00,36.51,976.54,111.69,301.81,28.29,222.43,156.68,0.78,,3.88,96.57,40.09,61.48,49.84,32.55,0.9,78.59,33.42,10-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
10-Jun-2019 - 00:00,38.17,973.69,83.51,300.52,23.27,205.91,277.44,1.05,,3.47,146.07,35.42,58.63,43.23,15.95,1.13,64.08,18.48,11-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
11-Jun-2019 - 00:00,38.27,973.9,109.84,425.23,19.79,197.45,231.98,1.05,,2.36,63.0,27.25,36.56,39.0,23.96,1.24,48.03,18.18,12-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
12-Jun-2019 - 00:00,34.66,976.82,72.3,277.77,37.65,222.31,102.25,2.26,,2.02,66.13,29.96,30.22,20.34,5.28,1.02,73.67,8.64,13-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
13-Jun-2019 - 00:00,35.98,976.81,61.76,198.03,37.9,221.29,199.26,0.95,,2.09,71.37,34.96,32.2,21.46,5.32,0.8,72.41,12.86,14-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
14-Jun-2019 - 00:00,36.94,975.69,69.1,222.81,26.35,241.5,314.8,1.48,,2.11,72.34,35.04,33.57,20.28,3.06,0.98,83.27,19.85,15-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
15-Jun-2019 - 00:00,37.46,975.2,96.42,294.12,19.39,225.71,310.29,1.62,,2.15,69.49,1.22,27.81,15.92,1.42,0.91,88.45,26.12,16-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
16-Jun-2019 - 00:00,32.8,977.38,56.7,171.31,43.1,159.03,301.64,1.95,,0.7,12.01,2.24,8.08,5.02,0.89,1.14,65.33,7.41,17-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
17-Jun-2019 - 00:00,31.32,976.91,52.11,158.05,44.99,137.78,259.91,1.92,,1.15,32.09,27.69,13.93,8.68,1.58,0.84,60.61,12.65,18-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
18-Jun-2019 - 00:00,26.62,978.93,37.22,90.15,69.65,169.52,270.99,1.6,,1.05,77.16,30.45,25.06,14.61,1.61,1.03,67.41,10.9,19-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
19-Jun-2019 - 00:00,31.03,977.89,91.11,253.82,57.99,230.77,192.73,0.95,,1.9,72.18,43.19,35.5,25.93,8.53,1.03,81.85,19.6,20-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
20-Jun-2019 - 00:00,32.03,979.02,44.96,158.74,50.16,257.76,145.44,1.01,,1.45,51.14,35.23,35.86,28.22,11.29,0.64,84.72,12.7,21-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
21-Jun-2019 - 00:00,33.65,978.97,97.54,255.59,48.87,171.58,168.04,0.85,,3.1,101.05,43.61,46.11,28.24,4.56,1.22,90.67,20.66,22-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
22-Jun-2019 - 00:00,34.63,978.3,76.1,187.67,41.74,254.31,236.6,1.22,,3.98,29.44,41.51,26.26,15.37,1.79,1.11,99.87,27.11,23-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
23-Jun-2019 - 00:00,33.86,978.71,51.76,155.65,53.31,241.7,104.29,1.71,,1.99,39.39,37.31,27.59,19.11,5.4,0.75,66.65,15.52,24-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
24-Jun-2019 - 00:00,30.53,980.62,26.69,84.84,65.1,164.19,109.55,1.91,,1.46,44.37,32.64,22.51,16.76,5.88,0.86,38.54,14.58,25-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
25-Jun-2019 - 00:00,33.01,979.61,53.29,129.85,59.36,200.13,90.14,1.09,,2.16,109.92,33.75,25.45,16.71,3.91,0.74,53.08,19.85,26-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
26-Jun-2019 - 00:00,36.12,976.63,69.8,182.18,46.85,223.82,242.24,1.26,,1.88,94.95,38.54,26.79,16.52,2.77,1.15,63.31,22.15,27-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
27-Jun-2019 - 00:00,34.02,974.75,86.19,271.64,45.7,202.04,313.19,1.38,,1.84,66.67,35.83,28.14,16.42,1.79,1.19,58.77,26.94,28-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
28-Jun-2019 - 00:00,35.15,973.71,66.27,237.94,39.78,228.04,300.4,1.49,,1.66,36.69,31.87,23.58,15.23,3.33,0.82,44.79,25.31,29-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
29-Jun-2019 - 00:00,36.94,972.95,56.58,301.52,35.09,228.94,283.46,1.16,,1.6,53.92,24.59,25.43,20.31,8.29,0.92,43.81,21.3,30-Jun-2019 - 00:00,"Narela, Delhi - DPCC"
30-Jun-2019 - 00:00,36.09,973.58,72.34,272.54,41.73,236.17,225.36,1.37,,1.7,92.06,26.57,27.22,27.07,15.41,0.98,42.41,16.64,01-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
01-Jul-2019 - 00:00,35.72,974.72,67.9,203.61,40.77,229.23,183.7,0.86,,1.6,104.25,31.69,24.58,22.77,11.89,0.8,65.46,15.35,02-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
02-Jul-2019 - 00:00,34.91,975.87,78.14,249.83,47.78,219.54,144.45,1.45,,1.05,134.7,31.6,17.47,10.9,1.97,1.14,60.4,13.5,03-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
03-Jul-2019 - 00:00,34.7,976.33,48.47,149.71,53.36,205.24,117.71,1.38,,1.46,21.05,44.8,33.83,25.46,9.11,1.68,41.54,14.49,04-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
04-Jul-2019 - 00:00,30.39,975.35,39.99,103.9,74.69,82.79,128.97,1.24,,1.23,107.04,33.87,33.51,26.4,10.45,1.46,15.05,10.2,05-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
05-Jul-2019 - 00:00,30.45,973.48,47.11,117.04,76.1,158.71,164.66,1.09,,1.19,49.28,41.75,37.2,27.88,9.91,0.76,16.56,14.47,06-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
06-Jul-2019 - 00:00,32.26,972.31,39.02,104.72,65.74,235.38,120.89,1.25,,1.49,41.87,44.46,33.56,28.71,13.31,1.13,35.21,14.24,07-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
07-Jul-2019 - 00:00,32.07,973.06,40.42,100.74,67.93,153.82,171.59,0.82,,0.82,36.53,36.23,25.41,16.99,4.24,0.83,40.39,13.86,08-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
08-Jul-2019 - 00:00,32.43,973.26,54.14,163.58,64.54,186.64,201.48,0.94,,0.97,24.08,34.53,32.14,21.28,4.97,1.21,33.38,13.25,09-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
09-Jul-2019 - 00:00,30.89,973.21,50.73,135.25,70.58,144.48,186.67,1.13,,0.75,47.08,33.97,25.52,22.23,10.61,0.85,22.45,10.21,10-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
10-Jul-2019 - 00:00,33.37,972.31,104.17,352.11,64.27,181.21,196.51,1.25,,0.5,35.18,32.88,27.68,23.86,11.17,0.9,22.62,12.93,11-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
11-Jul-2019 - 00:00,34.62,972.6,123.9,424.7,55.62,180.28,214.52,1.51,,1.0,62.6,35.08,14.53,11.16,4.24,0.84,22.42,12.95,12-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
12-Jul-2019 - 00:00,33.92,975.1,114.24,428.29,63.09,157.28,190.28,1.4,,0.38,40.69,35.38,15.04,13.61,6.9,0.91,13.64,6.88,13-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
13-Jul-2019 - 00:00,34.76,975.54,74.96,350.33,52.44,186.56,226.51,1.68,,0.46,22.27,36.93,11.91,10.22,4.75,0.9,25.03,7.86,14-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
14-Jul-2019 - 00:00,32.8,974.7,82.08,288.0,55.16,166.39,158.23,1.52,,1.12,76.24,32.91,16.46,12.95,5.09,0.65,37.89,7.91,15-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
15-Jul-2019 - 00:00,27.83,974.73,48.71,138.04,79.01,107.3,116.56,1.53,,1.16,75.08,30.06,28.77,24.44,11.15,1.26,30.26,8.78,16-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
16-Jul-2019 - 00:00,26.78,978.12,39.54,89.23,83.18,102.73,93.92,1.5,,1.66,131.54,31.13,20.08,17.35,8.17,0.92,37.26,8.23,17-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
17-Jul-2019 - 00:00,26.92,978.98,31.02,64.38,87.04,127.1,212.33,0.85,,1.98,77.63,28.43,22.91,16.86,5.74,1.57,38.47,4.17,18-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
18-Jul-2019 - 00:00,27.58,978.66,27.69,70.31,83.72,171.96,211.48,0.75,,1.38,28.0,25.7,30.93,21.63,6.38,1.39,48.91,6.85,19-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
19-Jul-2019 - 00:00,31.15,978.88,88.48,224.48,71.97,185.5,94.78,0.86,,2.56,124.25,31.27,48.65,42.24,20.07,0.99,80.01,13.24,20-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
20-Jul-2019 - 00:00,30.02,979.61,56.5,141.58,80.34,110.98,126.89,0.9,,0.75,65.96,36.48,37.24,27.71,9.67,1.14,21.11,6.56,21-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
21-Jul-2019 - 00:00,29.4,979.03,56.0,129.21,85.21,144.21,141.03,0.91,,0.66,33.96,42.82,39.6,34.97,17.06,1.41,24.67,7.22,22-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
22-Jul-2019 - 00:00,30.83,978.03,58.58,139.02,80.9,170.76,94.44,1.05,,0.49,76.42,44.19,27.61,25.1,12.79,1.12,21.73,7.01,23-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
23-Jul-2019 - 00:00,33.77,976.63,43.84,129.42,70.01,224.86,160.01,0.91,,0.37,52.82,47.24,21.04,16.52,6.59,1.77,19.43,5.6,24-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
24-Jul-2019 - 00:00,32.52,975.03,54.26,161.61,70.08,162.16,177.31,0.92,,0.5,46.59,49.47,33.88,24.11,7.48,1.77,33.58,4.31,25-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
25-Jul-2019 - 00:00,28.46,976.88,14.16,53.04,82.87,55.8,187.95,0.98,,0.46,30.16,53.06,26.76,20.57,7.78,1.63,16.29,4.88,26-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
26-Jul-2019 - 00:00,28.0,975.27,32.35,77.26,88.79,106.33,96.13,1.31,,0.54,78.65,39.24,21.85,18.15,8.02,1.9,18.36,6.64,27-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
27-Jul-2019 - 00:00,27.66,975.28,20.08,52.34,92.37,109.21,98.21,1.53,,0.4,53.91,32.56,16.95,16.05,8.63,2.2,14.4,5.47,28-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
28-Jul-2019 - 00:00,29.7,977.12,16.41,47.88,82.19,163.84,110.65,1.6,,0.22,9.72,30.46,19.19,21.09,13.33,1.69,9.64,7.54,29-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
29-Jul-2019 - 00:00,31.02,978.51,21.45,63.36,74.76,170.93,104.63,1.63,,0.34,20.39,35.14,19.92,19.22,10.6,1.7,13.15,7.06,30-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
30-Jul-2019 - 00:00,30.74,978.25,30.85,86.29,76.25,177.55,94.72,1.51,,0.4,62.24,41.13,18.65,18.04,9.98,1.62,12.64,7.24,31-Jul-2019 - 00:00,"Narela, Delhi - DPCC"
31-Jul-2019 - 00:00,30.54,977.52,33.46,92.45,79.16,136.22,88.24,1.38,,0.35,95.57,39.93,15.44,12.74,5.54,1.53,15.92,5.16,01-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
01-Aug-2019 - 00:00,31.51,976.88,37.11,104.46,76.03,172.56,108.13,1.39,,0.78,62.41,46.57,28.33,22.11,8.67,1.63,20.21,4.64,02-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
02-Aug-2019 - 00:00,29.93,975.97,35.68,105.01,81.62,110.98,105.22,1.19,,1.11,126.69,48.38,31.24,23.81,8.86,1.3,19.63,6.84,03-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
03-Aug-2019 - 00:00,29.07,975.98,28.76,74.31,87.21,135.39,104.01,1.22,,0.99,56.0,39.7,25.51,21.71,9.94,1.71,12.88,5.15,04-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
04-Aug-2019 - 00:00,30.99,974.93,36.27,85.88,79.71,195.17,87.94,1.07,,0.75,35.91,37.83,30.46,23.23,8.53,1.35,15.7,5.61,05-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
05-Aug-2019 - 00:00,30.89,973.32,60.7,141.18,82.35,120.95,134.77,0.92,,1.4,53.91,40.83,47.74,43.45,22.2,1.94,33.19,7.55,06-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
06-Aug-2019 - 00:00,27.49,973.83,26.35,66.61,93.16,52.77,118.51,0.98,,0.84,36.02,46.57,36.37,29.75,12.8,1.6,15.94,4.0,07-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
07-Aug-2019 - 00:00,30.42,973.75,23.76,66.28,80.17,176.62,105.47,1.09,,0.58,50.8,38.88,26.34,21.6,9.3,1.25,14.05,6.01,08-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
08-Aug-2019 - 00:00,32.68,973.41,24.7,73.1,70.6,219.95,97.18,1.24,,0.18,16.68,30.13,23.86,19.34,8.14,1.48,26.77,7.21,09-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
09-Aug-2019 - 00:00,31.19,975.49,9.67,55.73,69.06,199.19,101.58,2.37,,0.32,39.14,27.1,18.18,15.24,6.86,1.85,17.39,6.41,10-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
10-Aug-2019 - 00:00,29.99,976.25,15.88,51.45,79.58,134.91,114.05,1.85,,0.31,9.17,25.65,25.93,20.33,7.95,1.33,23.37,4.86,11-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
11-Aug-2019 - 00:00,31.4,977.39,25.73,71.99,75.04,164.64,155.6,0.94,,0.32,16.8,31.25,24.61,17.52,5.44,1.61,25.2,5.53,12-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
12-Aug-2019 - 00:00,31.01,977.33,18.86,55.54,77.83,130.61,258.58,0.65,,0.24,15.3,29.96,19.7,13.16,3.28,1.66,14.89,4.75,13-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
13-Aug-2019 - 00:00,30.18,977.64,23.08,63.09,83.97,158.41,258.03,1.14,,0.3,56.16,26.69,22.85,17.32,6.37,1.87,11.45,6.19,14-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
14-Aug-2019 - 00:00,29.88,979.04,21.61,57.51,84.44,167.03,179.06,0.79,,0.26,46.85,28.72,22.22,15.58,4.64,1.48,19.73,4.88,15-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
15-Aug-2019 - 00:00,30.68,978.89,19.77,51.92,79.03,208.18,101.29,1.4,,0.2,24.23,32.44,15.21,10.62,3.1,1.73,8.17,4.44,16-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
16-Aug-2019 - 00:00,29.7,977.16,13.97,37.23,78.9,190.27,102.26,2.04,,0.13,13.05,35.96,15.68,11.41,3.77,1.64,10.86,5.38,17-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
17-Aug-2019 - 00:00,27.19,976.49,6.62,20.48,92.14,87.32,120.28,2.0,,1.82,11.63,33.84,19.01,16.99,8.41,1.63,5.4,5.04,18-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
18-Aug-2019 - 00:00,27.25,979.85,8.3,25.62,91.03,79.51,225.68,0.82,,0.46,12.67,29.79,20.4,16.58,7.03,1.58,8.96,5.2,19-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
19-Aug-2019 - 00:00,30.38,981.91,38.0,97.62,77.72,208.65,217.13,0.76,,1.55,88.41,28.52,28.11,29.74,18.16,1.69,16.35,6.74,20-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
20-Aug-2019 - 00:00,30.62,981.24,32.52,85.0,76.07,218.92,313.35,1.09,,1.0,62.57,41.84,22.52,16.49,5.52,1.43,18.67,7.34,21-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
21-Aug-2019 - 00:00,31.44,979.78,52.6,149.94,73.65,232.79,283.77,1.11,,1.2,84.62,42.61,24.61,17.62,5.55,1.43,25.31,8.72,22-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
22-Aug-2019 - 00:00,30.0,980.31,46.65,135.77,77.96,184.44,219.09,0.73,,1.56,68.08,42.87,36.2,28.14,10.9,1.94,14.97,10.11,23-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
23-Aug-2019 - 00:00,32.06,979.94,50.1,162.38,70.79,234.77,226.14,0.76,,2.49,170.45,44.68,35.36,32.56,16.84,1.49,20.89,7.9,24-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
24-Aug-2019 - 00:00,30.24,980.29,51.25,146.17,79.9,115.26,185.1,0.83,,1.09,73.84,41.81,31.06,27.92,13.95,1.24,20.87,9.83,25-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
25-Aug-2019 - 00:00,28.23,980.97,36.67,91.31,87.76,116.54,106.51,1.07,,1.22,55.12,38.71,28.71,20.4,6.32,1.15,20.13,6.87,26-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
26-Aug-2019 - 00:00,30.56,980.74,20.58,65.9,76.92,212.65,103.08,1.28,,0.83,45.97,31.45,24.99,17.85,5.54,1.52,26.25,7.79,27-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
27-Aug-2019 - 00:00,32.27,979.8,40.38,111.77,70.58,214.05,88.98,0.9,,1.51,114.56,32.69,28.37,25.54,12.83,1.35,30.02,11.3,28-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
28-Aug-2019 - 00:00,33.1,980.71,44.94,124.65,68.67,215.4,82.65,1.09,,1.47,97.11,36.29,30.34,21.34,6.34,1.12,36.59,12.48,29-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
29-Aug-2019 - 00:00,32.82,981.66,39.2,120.76,70.77,208.71,113.0,1.18,,0.62,58.01,30.82,32.16,23.93,8.31,1.64,32.35,9.74,30-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
30-Aug-2019 - 00:00,32.35,979.18,47.81,123.56,72.96,228.54,126.01,0.85,,0.34,42.83,27.25,30.63,20.43,5.06,2.15,32.87,7.24,31-Aug-2019 - 00:00,"Narela, Delhi - DPCC"
