from date,AT,BP,PM10,PM2.5,RF,RH,SR,Temp,WD,WS,Benzene,Toluene,Xylene,CO,NH3,NO,NO2,NOx,Ozone,SO2,to date,station
06-Jun-2019 - 00:00,39.79,734.47,175.88,54.38,0.0,45.44,268.85,26.32,264.91,2.41,0.33,1.76,1.2,2.52,53.7,2.51,8.75,6.69,131.12,29.26,07-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
07-Jun-2019 - 00:00,37.04,737.43,91.58,18.42,0.0,44.36,309.71,26.55,181.86,1.66,0.3,1.86,1.72,1.91,45.29,2.39,13.62,6.18,101.93,34.1,08-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
08-Jun-2019 - 00:00,39.19,735.32,124.78,43.33,0.0,42.43,322.43,25.6,127.82,1.91,0.25,1.25,0.92,1.54,47.85,2.32,9.43,4.32,109.08,37.27,09-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
10-Jun-2019 - 00:00,38.61,731.06,197.6,66.6,0.0,45.94,284.5,25.48,211.25,1.45,0.32,1.55,1.76,1.45,50.23,2.73,11.56,4.19,79.72,38.95,11-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
11-Jun-2019 - 00:00,39.74,729.5,179.0,49.4,0.0,43.62,205.38,26.75,200.73,1.7,0.35,1.94,1.95,1.71,59.7,4.11,12.63,8.57,132.47,20.09,12-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
12-Jun-2019 - 00:00,36.66,732.88,102.46,30.68,0.0,44.23,175.52,25.36,205.4,1.86,0.39,2.77,3.05,0.98,43.15,2.5,24.84,14.68,122.68,17.58,13-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
13-Jun-2019 - 00:00,39.15,733.0,553.0,90.0,0.0,40.45,243.18,25.7,92.59,2.15,0.26,1.33,1.07,1.21,34.55,1.78,21.5,7.06,94.99,34.37,14-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
14-Jun-2019 - 00:00,41.69,730.21,248.6,36.1,0.0,28.42,288.0,26.62,75.38,3.57,0.26,1.93,1.52,0.71,30.9,1.83,13.41,5.58,127.47,24.26,15-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
15-Jun-2019 - 00:00,40.24,729.64,244.29,67.69,0.0,28.59,140.41,29.28,64.32,2.88,0.57,3.12,2.57,1.47,36.78,2.57,33.03,18.19,134.13,42.06,16-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
16-Jun-2019 - 00:00,34.25,730.38,265.0,58.69,0.0,40.92,9.5,26.35,68.0,2.75,0.49,1.94,1.02,0.37,28.93,6.45,27.14,17.27,58.47,18.81,17-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
17-Jun-2019 - 00:00,33.27,731.95,191.89,37.08,0.0,52.25,86.11,26.12,77.82,3.08,0.44,2.6,1.96,2.35,43.87,2.13,23.89,12.79,66.21,57.03,18-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
18-Jun-2019 - 00:00,30.21,733.69,105.23,33.25,0.0,55.89,88.34,26.76,87.15,2.87,0.21,1.18,0.9,0.47,35.55,4.4,12.76,7.95,93.42,17.98,19-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
19-Jun-2019 - 00:00,33.08,733.63,161.59,59.2,0.0,54.5,140.89,27.14,259.44,1.93,0.45,1.69,1.27,1.56,41.52,2.59,19.98,10.98,87.88,43.18,20-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
20-Jun-2019 - 00:00,32.03,734.95,161.38,76.48,0.0,61.88,98.07,27.63,181.61,1.17,0.62,2.25,1.88,0.77,42.59,3.76,26.44,16.33,83.18,19.17,21-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
21-Jun-2019 - 00:00,35.19,734.6,199.45,84.34,0.0,52.67,123.61,27.93,131.27,1.46,0.55,2.68,2.24,0.8,39.97,3.54,29.31,18.43,93.1,20.01,22-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
22-Jun-2019 - 00:00,34.97,734.38,236.89,91.02,0.0,53.38,90.99,25.52,188.83,1.7,0.7,3.7,3.65,0.97,35.99,3.65,25.87,15.95,86.08,30.02,23-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
23-Jun-2019 - 00:00,31.4,735.6,85.86,44.74,0.0,65.76,111.06,25.36,242.52,1.63,0.21,1.4,0.94,0.47,37.64,4.38,13.78,9.56,51.94,10.63,24-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
24-Jun-2019 - 00:00,28.41,737.04,59.05,30.07,0.47,78.66,55.93,26.17,217.59,2.2,0.45,3.26,3.35,1.14,38.83,2.69,21.81,13.66,27.4,13.96,25-Jun-2019 - 00:00,"Lajpat Nagar, Moradabad - UPPCB"
