from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,RH,SR,WS,WD,to date,station
09-Mar-2019 - 00:00,89.63,247.13,40.16,16.97,49.83,87.22,14.1,1.4,14.91,2.07,0.39,5.29,12.1,8.31,47.31,408.77,1.73,297.49,10-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Mar-2019 - 00:00,92.85,213.93,45.7,8.51,39.94,73.55,13.39,1.22,23.21,1.77,0.4,4.16,9.16,6.92,44.42,483.79,2.15,237.5,11-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Mar-2019 - 00:00,74.59,203.96,32.74,6.07,29.64,57.18,7.33,1.32,26.23,1.85,0.19,3.16,6.78,4.34,51.68,382.48,2.77,122.07,12-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Mar-2019 - 00:00,83.56,208.94,49.32,10.68,44.96,89.19,13.93,1.21,16.07,2.05,0.34,6.72,14.84,10.6,48.73,327.23,1.65,209.42,13-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Mar-2019 - 00:00,112.34,281.33,54.17,11.65,49.13,84.69,14.57,1.56,18.31,2.47,0.4,7.72,18.28,13.63,49.49,156.06,1.66,121.07,14-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Mar-2019 - 00:00,175.47,438.38,75.97,30.5,87.43,193.31,15.65,2.06,11.75,2.49,0.36,6.07,7.99,5.64,56.98,294.62,2.24,205.93,15-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Mar-2019 - 00:00,61.43,228.36,47.7,12.92,43.62,100.64,14.86,1.29,23.28,1.73,0.21,2.98,3.36,2.74,46.96,533.65,1.99,263.91,16-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Mar-2019 - 00:00,34.24,194.87,44.12,6.73,39.85,63.82,10.37,1.34,30.82,1.15,0.13,3.45,3.65,3.07,29.98,257.47,2.73,295.68,17-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Mar-2019 - 00:00,0.0,,,,,,,,,,,,0.0,0.0,,,3.21,,18-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Mar-2019 - 00:00,77.17,228.81,57.69,12.02,53.46,69.94,17.01,1.7,13.89,2.67,0.54,11.94,25.9,20.35,35.36,206.59,2.33,252.55,19-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Mar-2019 - 00:00,130.87,288.37,56.97,18.34,59.85,137.17,18.89,1.75,20.51,2.16,0.21,4.34,6.68,5.16,46.9,442.23,1.81,195.04,20-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Mar-2019 - 00:00,87.44,208.93,37.6,10.22,37.54,105.6,10.47,1.46,21.28,1.97,0.18,3.3,4.68,2.24,45.53,419.09,2.12,114.61,21-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Mar-2019 - 00:00,81.1,151.43,32.8,8.42,32.29,95.73,12.83,1.45,26.56,1.34,0.11,1.45,2.12,1.33,38.85,461.31,1.93,111.0,22-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Mar-2019 - 00:00,77.27,261.33,41.78,8.79,37.98,85.71,20.77,1.0,20.18,1.1,0.27,2.77,4.84,2.47,30.05,524.99,2.74,311.05,23-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Mar-2019 - 00:00,79.52,271.81,47.71,8.22,42.95,82.65,16.9,1.28,17.99,1.29,0.35,3.87,8.12,6.1,29.92,511.67,3.19,298.4,24-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Mar-2019 - 00:00,75.42,212.54,45.56,10.8,42.99,107.11,15.51,1.32,16.88,1.5,0.22,4.75,6.97,5.44,35.59,460.94,2.15,250.89,25-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Mar-2019 - 00:00,74.87,201.53,46.93,9.93,42.58,91.71,18.16,1.24,11.62,1.59,0.36,4.16,9.01,6.34,45.5,366.39,2.37,292.34,26-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Mar-2019 - 00:00,94.85,232.03,51.43,14.11,51.7,96.34,9.12,1.16,17.28,5.8,11.55,5.16,7.03,6.02,39.7,522.9,3.31,309.97,27-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Mar-2019 - 00:00,112.96,249.43,47.73,23.31,61.7,114.28,8.7,1.53,11.56,7.11,2.34,6.51,8.77,8.36,35.53,453.37,2.64,267.08,28-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Mar-2019 - 00:00,131.31,329.87,36.49,36.41,78.7,150.59,12.71,2.23,13.77,11.42,2.23,7.77,8.84,8.21,39.85,483.46,2.18,175.88,29-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Mar-2019 - 00:00,132.15,341.35,40.11,27.22,63.53,128.96,11.32,1.71,14.2,11.41,3.26,6.31,9.42,8.97,42.56,431.96,2.46,136.87,30-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Mar-2019 - 00:00,126.51,343.19,33.0,37.42,75.46,156.51,9.88,1.63,12.85,9.02,2.47,7.59,10.43,10.97,38.99,400.21,2.25,162.06,31-Mar-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-Mar-2019 - 00:00,70.53,258.14,39.52,19.81,53.07,97.72,8.52,1.1,12.55,4.49,1.7,3.31,4.81,3.49,26.52,468.75,3.13,304.02,01-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Apr-2019 - 00:00,79.02,244.23,43.56,13.94,45.72,74.22,8.04,0.7,20.61,5.45,1.61,4.44,5.41,4.07,25.21,553.03,3.77,304.26,02-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Apr-2019 - 00:00,106.16,254.88,43.67,28.68,69.06,116.56,9.96,2.38,22.32,8.8,2.42,6.0,8.1,7.66,30.48,447.03,2.49,213.08,03-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Apr-2019 - 00:00,104.6,264.41,44.65,20.96,55.73,99.52,9.38,1.9,20.94,7.83,1.85,4.73,7.05,6.08,28.63,468.25,2.72,215.22,04-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Apr-2019 - 00:00,109.03,292.14,43.22,26.59,65.52,122.33,10.37,2.21,23.52,10.3,2.0,6.48,9.08,8.3,28.76,465.56,2.32,164.11,05-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Apr-2019 - 00:00,148.96,379.94,38.57,30.46,68.89,122.78,12.2,2.47,27.0,11.42,2.26,6.0,8.65,6.91,32.32,409.11,2.68,150.94,06-Apr-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
