from date,PM2.5,PM10,NO2,NO,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,RH,SR,WS,WD,to date,station
15-Aug-2019 - 00:00,30.49,100.59,19.12,13.76,22.82,71.18,1.45,1.37,34.79,3.3,1.24,3.33,9.56,5.19,80.62,370.38,2.41,80.26,16-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Aug-2019 - 00:00,12.88,24.59,12.21,9.42,15.11,51.53,1.44,0.96,27.18,0.97,0.08,0.77,2.62,0.65,82.41,226.92,2.81,75.94,17-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Aug-2019 - 00:00,16.56,25.13,13.17,9.64,15.95,47.8,1.41,0.95,26.39,0.89,0.06,0.8,2.71,0.55,95.34,90.3,2.8,111.5,18-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Aug-2019 - 00:00,21.03,48.54,20.49,12.38,22.9,65.02,1.46,1.02,22.77,2.23,0.33,2.29,6.82,2.71,88.59,202.72,1.92,194.79,19-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Aug-2019 - 00:00,31.29,94.77,17.8,15.29,22.89,57.38,1.31,1.36,28.62,4.4,0.41,3.27,9.86,4.78,76.0,471.92,1.59,206.98,20-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Aug-2019 - 00:00,29.97,128.68,19.95,15.83,24.76,54.02,1.78,1.66,29.13,4.62,0.82,4.06,11.43,5.27,73.71,388.27,1.79,264.23,21-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Aug-2019 - 00:00,46.92,180.76,20.25,20.36,27.89,58.46,1.29,1.67,27.8,5.9,1.32,5.99,17.28,10.98,69.08,421.13,1.77,276.77,22-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Aug-2019 - 00:00,46.49,134.17,22.44,14.43,25.61,54.91,1.54,1.11,20.59,4.34,0.68,4.62,12.76,8.7,69.03,263.99,1.84,204.24,23-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Aug-2019 - 00:00,39.62,129.42,25.62,21.77,32.6,62.21,1.24,1.72,30.47,6.34,1.76,7.05,17.63,11.9,75.97,299.88,1.8,196.74,24-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Aug-2019 - 00:00,47.46,140.73,16.76,17.31,23.46,56.21,1.41,1.65,36.43,5.12,1.24,5.09,13.31,10.44,80.12,235.6,1.81,167.48,25-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Aug-2019 - 00:00,20.57,52.14,12.12,9.2,14.9,50.08,1.12,1.38,33.16,1.8,0.24,0.95,2.96,1.01,85.88,294.92,2.62,81.67,26-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Aug-2019 - 00:00,17.75,40.44,16.81,10.25,18.91,50.47,1.67,1.32,29.93,1.73,0.12,1.09,3.62,1.25,75.92,483.71,2.95,76.86,27-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Aug-2019 - 00:00,23.12,52.2,10.43,9.84,14.12,44.46,1.78,1.59,36.41,2.8,0.16,1.41,4.6,1.73,70.56,417.53,3.03,75.56,28-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Aug-2019 - 00:00,21.52,53.61,11.57,9.94,14.98,48.84,1.26,1.67,37.13,2.17,0.17,0.93,1.62,0.45,69.09,454.57,3.21,86.25,29-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Aug-2019 - 00:00,28.51,56.5,11.64,9.77,14.94,44.49,1.37,2.12,41.36,,,,0.0,0.0,73.13,425.34,2.64,114.69,30-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Aug-2019 - 00:00,26.71,56.94,16.98,10.29,19.05,43.88,1.8,2.43,43.28,3.44,0.25,2.8,3.8,2.15,71.83,471.81,2.5,123.55,31-Aug-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-Aug-2019 - 00:00,33.46,96.94,18.77,10.96,20.76,50.36,1.46,2.28,41.02,3.84,1.08,3.73,9.36,7.35,66.54,449.79,2.5,167.9,01-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Sep-2019 - 00:00,19.39,47.64,14.82,9.19,16.81,46.33,1.33,2.07,39.67,2.43,0.15,1.35,3.88,1.43,86.78,154.0,3.12,80.3,02-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Sep-2019 - 00:00,21.68,80.48,24.52,13.76,26.64,47.82,1.75,2.38,37.53,4.27,0.45,3.57,9.62,7.1,76.37,437.87,2.28,122.08,03-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Sep-2019 - 00:00,41.35,130.02,22.16,13.57,24.82,61.89,1.62,3.29,39.14,6.51,1.66,6.15,15.41,11.44,80.57,280.13,1.91,148.0,04-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Sep-2019 - 00:00,34.22,100.27,16.95,13.81,21.32,53.0,1.66,1.77,44.53,4.59,1.68,3.94,10.56,8.67,83.25,310.79,1.85,118.3,05-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Sep-2019 - 00:00,23.79,46.18,12.65,9.28,15.68,50.01,1.21,5.89,66.95,2.48,0.19,1.23,2.99,1.29,83.01,303.92,2.75,79.45,06-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Sep-2019 - 00:00,18.96,57.0,16.78,9.8,18.25,55.88,1.61,6.0,84.63,0.76,5.03,0.33,0.99,0.42,80.16,442.86,3.22,104.59,07-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Sep-2019 - 00:00,23.97,50.31,15.93,8.84,17.04,54.6,1.41,4.62,55.56,1.33,14.13,0.78,2.38,1.12,82.48,309.64,3.38,103.28,08-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Sep-2019 - 00:00,22.4,44.66,17.91,9.09,18.6,50.0,1.93,0.96,16.25,1.98,24.21,0.99,3.07,1.12,77.86,415.23,3.73,83.99,09-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Sep-2019 - 00:00,47.76,115.72,20.75,15.75,24.95,67.76,2.49,1.42,41.69,5.67,13.9,4.69,11.97,7.23,69.61,209.21,2.65,176.63,10-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Sep-2019 - 00:00,53.79,139.61,19.59,13.67,22.74,67.42,2.38,1.27,61.39,5.55,0.84,4.85,12.0,8.11,67.46,245.73,3.16,135.69,11-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Sep-2019 - 00:00,42.38,104.16,20.71,11.19,21.06,78.18,2.15,1.04,62.38,3.47,0.38,2.01,5.39,2.04,68.34,346.03,2.57,119.21,12-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Sep-2019 - 00:00,30.32,77.73,25.42,8.54,23.55,86.15,2.12,0.98,61.46,2.63,0.18,1.24,3.61,1.14,75.39,314.84,2.4,101.17,13-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Sep-2019 - 00:00,23.77,48.51,23.72,10.01,23.21,80.48,2.28,0.9,51.63,1.82,0.21,0.96,2.82,1.0,75.33,401.68,3.34,89.11,14-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Sep-2019 - 00:00,22.75,46.33,27.21,9.18,25.23,90.35,1.29,1.04,46.16,1.54,0.11,0.8,2.38,0.82,77.71,288.76,4.31,72.2,15-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Sep-2019 - 00:00,19.74,43.35,28.99,8.62,26.12,97.3,1.45,0.9,18.65,1.7,0.08,1.03,2.78,1.01,79.35,246.45,3.64,82.02,16-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Sep-2019 - 00:00,42.29,97.15,35.21,16.34,35.56,105.22,1.42,1.25,38.61,4.64,0.55,2.95,7.53,4.44,69.95,307.37,2.89,131.47,17-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Sep-2019 - 00:00,52.47,117.07,52.95,14.3,46.51,175.82,0.89,1.08,47.72,4.67,0.74,3.22,8.1,5.26,68.03,337.09,2.39,151.66,18-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Sep-2019 - 00:00,33.36,67.32,111.48,17.09,100.79,396.16,0.71,0.61,20.44,2.01,0.25,2.31,2.72,2.0,70.19,462.89,2.79,89.95,19-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Sep-2019 - 00:00,26.64,51.77,80.16,13.99,87.28,167.43,0.74,0.37,15.4,1.91,0.96,1.7,3.22,1.6,78.22,285.06,2.45,84.27,20-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Sep-2019 - 00:00,23.8,61.26,32.36,9.83,29.3,185.48,0.78,0.28,20.7,2.26,0.13,1.35,3.63,1.19,73.34,401.64,1.76,107.22,21-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Sep-2019 - 00:00,30.18,89.54,44.35,12.5,39.52,198.84,1.5,0.34,17.96,2.51,0.15,2.1,4.43,3.4,69.76,336.65,1.63,157.6,22-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Sep-2019 - 00:00,18.33,44.03,36.12,8.83,31.3,266.74,0.91,0.25,13.42,,,,0.0,0.0,86.18,165.8,2.04,99.15,23-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Sep-2019 - 00:00,21.4,40.66,27.56,8.16,24.83,202.94,0.78,0.23,18.36,1.55,0.15,1.33,1.98,0.79,77.61,402.07,1.82,90.92,24-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Sep-2019 - 00:00,25.9,65.64,33.7,13.34,32.53,189.45,2.72,0.36,14.8,3.14,0.18,3.06,7.85,5.26,79.53,271.14,1.63,117.62,25-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Sep-2019 - 00:00,23.31,45.75,24.64,8.01,22.65,164.84,0.94,0.24,20.16,2.02,0.12,1.22,3.35,1.31,77.92,425.51,2.25,77.41,26-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Sep-2019 - 00:00,17.68,46.01,22.62,7.92,21.17,148.95,0.93,0.28,13.35,2.18,0.11,1.24,3.38,1.4,76.48,326.23,2.55,73.14,27-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Sep-2019 - 00:00,21.87,49.28,20.54,8.55,20.1,142.67,0.92,0.29,11.63,2.17,0.1,1.18,3.42,1.06,81.96,208.08,2.65,59.97,28-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Sep-2019 - 00:00,15.75,49.07,19.16,7.7,18.57,133.92,1.92,0.26,14.69,1.85,0.1,1.22,3.4,1.2,80.51,315.15,2.24,70.66,29-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Sep-2019 - 00:00,17.07,35.82,17.1,7.51,16.99,122.1,1.74,0.27,16.56,1.2,0.09,0.63,1.74,0.55,82.75,192.01,2.0,76.18,30-Sep-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Sep-2019 - 00:00,13.74,44.2,14.82,9.34,17.77,133.63,1.53,0.35,16.36,2.02,1.37,1.53,3.79,1.54,81.37,271.73,1.65,110.32,01-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Oct-2019 - 00:00,21.42,51.87,9.82,8.71,12.62,133.67,1.16,0.46,11.17,2.05,0.16,1.27,3.4,1.02,81.44,369.63,1.69,110.42,02-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Oct-2019 - 00:00,14.69,58.88,12.79,10.35,15.8,132.68,1.3,0.52,15.57,2.63,0.25,2.06,5.1,2.05,72.4,402.5,1.06,103.11,03-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Oct-2019 - 00:00,37.12,131.99,24.68,20.36,30.74,175.61,3.58,0.66,17.92,6.34,0.54,4.17,9.06,6.16,68.99,289.37,1.52,156.71,04-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Oct-2019 - 00:00,43.09,134.35,109.59,34.86,99.02,168.77,10.79,0.44,12.41,5.89,3.27,6.0,7.08,5.22,68.4,263.29,1.38,231.71,05-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Oct-2019 - 00:00,58.33,161.2,43.62,15.79,41.14,106.87,11.53,0.53,13.07,5.53,1.59,4.85,10.68,7.47,55.69,466.98,1.45,303.8,06-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Oct-2019 - 00:00,57.27,163.29,40.09,13.79,37.35,86.81,15.55,0.65,17.78,7.01,1.55,4.86,10.36,6.63,56.4,445.99,1.13,297.85,07-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Oct-2019 - 00:00,50.98,185.42,40.31,13.39,37.23,85.87,8.07,0.64,12.23,6.05,0.84,4.6,10.71,7.42,61.22,340.17,1.83,294.57,08-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Oct-2019 - 00:00,36.27,146.28,32.87,10.64,30.2,75.3,9.9,0.53,14.95,4.37,0.74,3.22,7.76,4.49,54.62,466.93,1.42,257.31,09-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Oct-2019 - 00:00,38.2,132.26,29.53,18.68,36.15,73.82,4.23,0.84,15.73,4.72,3.79,6.73,10.26,8.36,53.44,408.39,1.26,127.94,10-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Oct-2019 - 00:00,61.46,156.12,27.23,13.36,35.57,90.67,6.26,1.12,20.12,2.72,8.17,6.39,9.37,8.21,49.49,465.84,1.21,131.99,11-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Oct-2019 - 00:00,88.16,183.1,46.65,27.62,49.61,116.29,9.71,1.55,26.58,11.76,1.04,10.28,24.26,23.74,52.41,299.96,1.05,143.8,12-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Oct-2019 - 00:00,74.5,202.08,48.12,30.44,53.89,126.99,7.45,1.6,25.11,12.97,1.76,11.83,25.94,24.97,55.73,390.31,1.1,149.95,13-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Oct-2019 - 00:00,62.25,229.88,49.83,34.25,57.58,135.98,9.82,1.76,19.95,15.38,1.35,12.2,26.78,23.49,54.2,321.19,1.2,204.87,14-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Oct-2019 - 00:00,69.54,227.42,46.49,32.24,53.91,120.21,11.15,1.93,24.68,14.65,1.09,10.71,24.3,21.0,54.73,345.4,1.2,150.0,15-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Oct-2019 - 00:00,47.54,203.16,36.71,23.8,41.49,103.28,7.72,1.63,24.83,12.71,1.11,9.03,21.29,22.26,57.42,360.44,1.31,124.92,16-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Oct-2019 - 00:00,46.97,155.95,26.86,11.95,26.8,86.53,2.63,1.17,25.01,6.75,0.7,3.41,7.66,4.83,58.45,357.04,1.49,123.12,17-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Oct-2019 - 00:00,69.08,147.53,18.98,8.34,18.93,84.45,5.09,1.25,23.31,5.76,7.3,2.18,4.6,1.8,58.39,384.04,1.68,84.8,18-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Oct-2019 - 00:00,112.57,207.52,21.3,8.78,20.79,102.04,2.53,0.97,22.22,5.06,20.63,2.42,6.04,3.8,53.33,389.66,1.59,113.44,19-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Oct-2019 - 00:00,95.76,200.23,38.77,21.51,41.45,137.36,8.22,1.28,22.08,9.49,47.38,6.89,15.67,12.83,50.81,329.5,1.31,113.34,20-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Oct-2019 - 00:00,110.42,252.34,45.42,19.29,44.68,180.11,11.61,1.14,17.78,8.34,29.31,6.04,13.42,11.39,44.71,404.77,1.11,260.19,21-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Oct-2019 - 00:00,94.88,271.98,45.27,23.82,47.55,186.65,9.56,1.38,18.21,9.67,0.81,6.45,14.3,9.42,45.3,409.95,1.56,271.71,22-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Oct-2019 - 00:00,130.22,293.48,54.41,32.95,59.97,239.42,15.81,1.54,13.42,9.75,0.72,8.07,19.35,17.69,45.87,363.27,1.86,263.63,23-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Oct-2019 - 00:00,167.96,298.1,57.84,36.13,64.47,257.11,17.41,1.76,16.56,12.08,1.25,11.58,27.07,26.36,45.84,387.39,1.28,230.27,24-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Oct-2019 - 00:00,125.29,219.31,41.52,17.2,40.58,198.01,6.06,1.43,22.55,10.9,11.89,8.93,18.53,15.6,51.72,358.16,1.45,91.84,25-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Oct-2019 - 00:00,87.32,148.85,29.14,9.03,26.5,159.09,2.54,1.0,24.25,7.29,0.66,5.51,12.31,7.33,50.55,376.9,1.55,77.68,26-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Oct-2019 - 00:00,100.0,184.66,34.54,19.97,37.45,159.07,3.91,1.54,17.92,8.58,1.22,5.94,13.18,7.74,55.23,349.78,1.15,133.56,27-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Oct-2019 - 00:00,99.54,245.53,40.23,17.61,39.94,165.11,8.92,1.36,16.56,11.81,1.6,8.99,20.66,16.96,50.45,359.14,1.49,250.42,28-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Oct-2019 - 00:00,117.17,259.83,42.03,21.48,43.74,193.1,11.57,1.71,16.6,12.29,1.28,7.55,16.58,10.56,52.89,248.37,1.11,204.93,29-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Oct-2019 - 00:00,226.66,480.13,51.36,25.95,53.22,214.45,5.9,2.42,9.79,14.88,2.1,10.04,21.9,15.59,59.21,152.51,1.08,205.7,30-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Oct-2019 - 00:00,302.7,625.24,62.6,53.41,79.11,245.78,8.83,2.86,9.74,17.7,2.62,13.17,29.88,26.01,54.45,194.25,1.27,226.0,31-Oct-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
31-Oct-2019 - 00:00,217.92,487.0,68.31,52.5,82.55,276.47,11.35,2.84,12.36,18.81,2.55,16.41,37.0,37.48,52.38,289.4,1.39,188.85,01-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Nov-2019 - 00:00,276.8,658.2,51.9,24.68,52.8,182.39,8.15,2.75,16.49,21.54,2.28,15.93,36.02,35.33,53.73,258.94,1.92,155.49,02-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Nov-2019 - 00:00,239.86,421.35,44.53,19.99,44.53,155.57,7.06,2.83,14.88,15.65,2.23,10.93,24.72,21.28,62.76,239.98,1.92,183.0,03-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
03-Nov-2019 - 00:00,275.2,344.51,36.7,16.35,36.45,128.85,7.09,3.69,11.64,14.52,1.99,8.01,17.16,13.23,59.69,154.35,2.17,234.45,04-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
04-Nov-2019 - 00:00,163.46,298.25,48.31,31.34,54.61,165.74,11.86,1.99,15.23,10.47,1.71,7.82,17.71,14.9,60.64,248.38,2.55,272.41,05-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
05-Nov-2019 - 00:00,157.96,286.84,49.14,41.94,62.11,181.62,18.82,0.01,19.98,12.48,26.07,11.58,25.45,22.66,49.77,382.99,2.31,270.27,06-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
06-Nov-2019 - 00:00,111.2,194.29,33.42,29.43,42.82,124.87,8.86,0.64,29.93,7.32,24.8,8.37,19.73,33.98,50.07,300.96,1.91,164.18,07-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
07-Nov-2019 - 00:00,82.94,222.56,28.56,11.33,27.59,85.86,10.61,1.39,25.22,3.03,0.62,4.68,11.03,35.81,62.6,127.31,2.6,129.57,08-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
08-Nov-2019 - 00:00,88.02,229.52,36.01,27.15,43.18,97.54,17.14,1.79,42.81,15.31,1.54,10.55,22.89,19.56,57.19,316.15,1.52,146.24,09-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
09-Nov-2019 - 00:00,62.0,205.33,34.5,17.71,35.95,101.01,14.93,1.84,30.18,10.32,1.75,7.23,16.0,11.78,48.22,398.98,2.29,292.45,10-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
10-Nov-2019 - 00:00,59.35,233.99,31.88,16.92,33.56,86.27,17.87,1.58,35.41,8.64,0.77,6.27,14.82,10.91,39.84,343.93,2.94,260.45,11-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
11-Nov-2019 - 00:00,107.22,299.02,41.27,24.55,45.2,110.62,15.35,1.99,26.55,12.7,3.15,9.57,10.94,17.34,41.81,282.71,2.64,205.9,12-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
12-Nov-2019 - 00:00,161.7,382.93,46.58,21.04,46.66,122.62,9.01,2.17,16.09,17.97,5.55,12.33,14.15,22.71,44.19,294.14,2.87,231.81,13-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
13-Nov-2019 - 00:00,153.5,385.32,52.01,36.62,60.67,157.53,7.89,2.63,16.86,22.07,11.32,16.96,36.53,31.55,50.61,229.74,2.28,162.15,14-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
14-Nov-2019 - 00:00,150.8,370.2,53.66,55.82,75.06,161.51,15.41,2.57,11.29,25.63,4.39,18.11,38.93,35.8,60.94,109.78,3.07,163.61,15-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
15-Nov-2019 - 00:00,225.36,403.63,61.1,38.22,68.14,103.64,22.71,2.62,19.75,18.7,2.36,11.21,24.41,20.28,60.8,238.93,3.9,219.5,16-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
16-Nov-2019 - 00:00,127.31,278.03,45.13,20.81,45.49,83.98,19.89,1.93,13.56,9.19,1.55,5.51,12.44,8.54,53.54,340.11,3.99,308.01,17-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
17-Nov-2019 - 00:00,60.86,203.32,31.56,13.24,30.95,53.14,15.09,0.91,14.57,4.61,0.33,2.91,7.5,4.06,49.81,389.25,22.74,297.68,18-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
18-Nov-2019 - 00:00,55.5,221.95,39.47,43.37,56.2,77.83,28.52,1.46,13.39,7.87,0.61,6.76,15.73,11.25,57.2,404.63,15.05,277.08,19-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
19-Nov-2019 - 00:00,75.44,248.6,46.96,63.8,74.83,131.43,42.17,1.56,11.26,11.6,1.75,9.89,24.1,22.92,55.99,348.3,5.54,240.82,20-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
20-Nov-2019 - 00:00,91.24,237.51,50.97,68.01,80.41,135.62,35.07,2.09,12.61,13.07,3.5,13.53,29.93,27.71,52.5,334.44,3.11,152.12,21-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
21-Nov-2019 - 00:00,113.32,298.86,54.37,53.36,73.26,90.85,27.99,2.47,19.06,16.77,6.46,14.03,30.94,27.87,50.57,255.82,3.8,122.91,22-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
22-Nov-2019 - 00:00,158.61,358.0,63.09,136.75,131.93,224.22,32.21,3.03,13.37,24.24,11.71,25.27,53.54,54.84,54.6,293.02,3.86,166.77,23-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
23-Nov-2019 - 00:00,124.81,286.19,47.71,55.97,70.07,132.67,11.67,1.58,2.87,13.27,2.61,12.27,27.17,28.59,54.03,196.38,3.09,261.3,24-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
24-Nov-2019 - 00:00,84.88,217.52,35.6,15.16,35.25,58.28,6.31,0.8,8.71,6.4,0.52,4.25,9.29,5.1,56.47,191.76,3.53,299.15,25-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
25-Nov-2019 - 00:00,80.17,181.55,35.57,15.0,34.95,47.18,5.48,1.18,15.44,6.68,1.63,5.2,12.01,7.55,50.28,303.0,4.0,125.79,26-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
26-Nov-2019 - 00:00,80.37,206.16,33.71,22.12,38.26,46.6,5.02,1.26,14.46,8.32,4.93,6.45,13.57,10.04,49.5,259.59,3.44,95.7,27-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
27-Nov-2019 - 00:00,56.25,157.06,19.74,9.69,20.28,29.79,3.95,0.97,17.66,5.5,0.64,5.5,11.66,7.88,58.37,234.69,3.99,65.75,28-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
28-Nov-2019 - 00:00,37.85,125.2,14.89,10.59,17.44,23.59,2.4,0.74,12.56,3.22,0.42,3.55,7.78,4.15,71.58,179.73,4.44,62.2,29-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
29-Nov-2019 - 00:00,44.33,152.93,18.11,24.36,28.69,27.81,4.77,1.21,5.83,5.31,0.8,5.08,11.17,8.02,74.96,327.55,2.63,112.03,30-Nov-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
30-Nov-2019 - 00:00,80.86,207.88,7.67,32.38,26.55,22.52,5.04,1.5,5.84,8.04,1.31,7.16,15.17,12.11,73.01,333.2,2.48,290.28,01-Dec-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
01-Dec-2019 - 00:00,83.77,229.67,3.29,32.35,23.42,20.65,6.63,1.49,11.79,8.17,0.95,6.83,15.33,12.73,61.62,370.69,2.67,270.35,02-Dec-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
02-Dec-2019 - 00:00,78.41,273.82,2.4,48.22,33.1,30.09,9.04,2.09,9.79,8.3,1.14,6.74,15.15,11.55,55.21,368.78,3.75,256.51,03-Dec-2019 - 00:00,"Nathu Colony, Ballabgarh - HSPCB"
