from date,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,to date,station
10-Apr-2019 - 00:00,250.15,94.02,148.46,21.77,170.24,2.49,,26.35,11-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
11-Apr-2019 - 00:00,223.67,65.94,193.99,26.07,220.07,2.44,,23.19,12-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
12-Apr-2019 - 00:00,181.29,35.74,65.65,15.82,76.76,1.08,,31.75,13-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
13-Apr-2019 - 00:00,159.27,36.89,8.01,11.87,19.88,1.49,,25.32,14-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
14-Apr-2019 - 00:00,176.78,43.73,7.49,11.41,18.9,1.63,,23.75,15-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
15-Apr-2019 - 00:00,193.77,47.35,10.77,12.12,22.89,2.02,,24.02,16-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
16-Apr-2019 - 00:00,157.01,42.62,9.82,11.79,21.6,1.83,,28.04,17-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
17-Apr-2019 - 00:00,44.21,17.15,8.02,11.04,19.06,1.72,,28.82,18-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
18-Apr-2019 - 00:00,102.98,41.19,10.2,12.62,22.81,1.56,0.25,25.76,19-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
19-Apr-2019 - 00:00,155.45,71.08,13.39,13.22,26.61,1.12,,25.08,20-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
20-Apr-2019 - 00:00,148.86,66.58,13.2,13.94,27.14,1.19,,28.45,21-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
21-Apr-2019 - 00:00,191.83,77.26,15.19,14.92,30.11,1.51,,25.7,22-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
22-Apr-2019 - 00:00,278.44,104.73,23.38,16.73,40.11,2.21,,32.38,23-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
23-Apr-2019 - 00:00,302.67,92.14,22.45,16.34,38.79,1.91,,25.67,24-Apr-2019 - 00:00,"IGI Airport (T3), Delhi - IMD"
