from date,PM10,SO2,NO,NO2,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,SR,RH,RF,WD,WS,PM2.5,to date,station
17-Apr-2019 - 00:00,43.1,7.45,16.81,11.24,28.05,15.04,0.22,14.92,5.3,4.32,695.84,91.47,0.22,155.56,0.89,18.08,18-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
18-Apr-2019 - 00:00,26.25,8.18,16.78,11.01,26.93,15.1,0.18,16.82,5.13,4.18,364.15,68.96,0.0,240.66,0.64,10.52,19-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
19-Apr-2019 - 00:00,66.73,12.62,16.86,10.95,27.23,15.07,0.23,21.48,5.19,4.23,445.49,55.91,0.0,294.55,0.85,27.63,20-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
20-Apr-2019 - 00:00,114.21,20.54,17.14,11.01,26.02,15.18,0.34,18.57,4.91,4.0,445.36,57.37,0.0,279.48,0.6,48.02,21-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
21-Apr-2019 - 00:00,47.09,9.69,18.9,10.8,25.47,14.92,0.22,21.91,4.45,3.75,315.06,42.23,0.0,231.06,0.5,-5.28,22-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
22-Apr-2019 - 00:00,86.25,13.98,16.67,11.14,26.37,15.07,0.16,25.13,5.02,4.09,360.86,46.5,0.0,227.03,0.66,33.72,23-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
23-Apr-2019 - 00:00,207.85,18.63,16.42,11.02,24.15,14.92,0.34,18.24,4.62,3.77,362.75,47.93,0.0,121.35,0.23,71.72,24-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
24-Apr-2019 - 00:00,155.1,8.59,15.88,10.75,24.47,14.55,0.26,22.33,4.7,3.88,417.58,54.7,0.0,129.72,1.06,61.86,25-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
25-Apr-2019 - 00:00,74.29,8.98,16.98,11.12,27.7,15.06,0.28,19.92,5.23,4.35,322.5,42.87,0.0,136.28,0.37,31.0,26-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
26-Apr-2019 - 00:00,127.38,8.84,16.97,11.12,28.09,15.13,0.17,21.35,5.3,4.38,341.98,43.68,0.0,262.06,0.88,51.45,27-Apr-2019 - 00:00,"RIMT University, Mandi Gobindgarh - PPCB"
