from date,PM2.5,PM10,NO2,NOx,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,SR,WS,WD,RF,to date,station
19-Feb-2019 - 00:00,72.7,127.85,27.14,33.43,6.3,27.7,33.01,0.91,11.94,9.56,57.4,0.07,0.69,0.13,37.95,166.87,0.62,142.36,0.0,20-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
20-Feb-2019 - 00:00,87.55,164.76,27.08,32.5,5.43,39.2,34.74,0.87,18.88,21.83,98.01,0.18,0.65,0.38,25.29,168.34,1.18,143.79,0.0,21-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
21-Feb-2019 - 00:00,84.93,172.99,29.0,51.8,22.9,55.94,25.85,1.11,7.28,10.32,64.94,0.18,0.52,0.22,43.7,100.8,0.72,204.9,0.0,22-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
22-Feb-2019 - 00:00,64.0,123.41,22.42,35.31,12.87,52.2,21.55,0.79,8.41,12.02,66.95,0.18,0.47,0.2,43.12,129.55,0.61,149.79,0.0,23-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
23-Feb-2019 - 00:00,55.63,132.4,21.35,24.86,3.51,47.07,26.98,0.81,17.1,7.16,61.24,0.1,0.44,0.12,33.2,178.0,0.84,143.8,0.0,24-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
24-Feb-2019 - 00:00,65.34,145.52,26.09,38.03,11.94,41.87,28.82,1.04,11.84,12.47,72.4,0.09,0.51,0.14,27.91,111.29,0.71,181.25,0.0,25-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
25-Feb-2019 - 00:00,70.39,146.33,24.3,41.04,16.74,44.62,22.73,0.98,8.19,15.62,65.12,0.1,0.52,0.17,31.92,126.76,0.7,188.55,0.0,26-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
26-Feb-2019 - 00:00,57.67,119.06,14.49,19.03,4.54,39.11,9.94,0.79,12.04,6.24,45.19,0.05,0.42,0.07,44.08,125.81,0.97,208.15,0.0,27-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
27-Feb-2019 - 00:00,46.91,116.86,16.06,22.31,6.26,35.94,6.99,0.72,9.25,3.06,38.41,0.03,0.42,0.04,44.93,163.76,0.95,227.02,0.0,28-Feb-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
28-Feb-2019 - 00:00,48.91,136.71,18.84,21.96,3.12,29.6,19.5,0.78,14.5,4.04,40.86,0.03,0.34,0.05,29.0,211.89,0.85,95.52,0.0,01-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
01-Mar-2019 - 00:00,55.66,135.78,24.71,30.22,5.52,26.44,44.94,0.81,15.62,8.22,58.01,0.03,0.31,0.07,21.47,227.42,1.09,72.74,0.0,02-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
02-Mar-2019 - 00:00,61.91,141.3,19.58,25.93,6.34,33.18,36.43,0.86,26.57,16.35,78.32,0.07,0.34,0.13,23.88,164.63,1.32,139.28,0.0,03-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
03-Mar-2019 - 00:00,52.4,94.16,13.37,15.62,2.25,36.68,14.94,0.76,10.56,4.02,43.16,0.04,0.35,0.04,51.78,117.49,1.08,197.44,0.0,04-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
04-Mar-2019 - 00:00,39.24,102.4,14.53,18.28,3.76,43.04,7.18,0.74,8.35,2.73,38.97,0.04,0.38,0.04,46.06,107.24,1.13,233.97,0.0,05-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
05-Mar-2019 - 00:00,59.74,139.59,20.99,28.5,7.51,37.45,15.62,0.79,12.45,4.65,43.26,0.04,0.4,0.05,38.6,136.39,0.67,161.82,0.0,06-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
06-Mar-2019 - 00:00,59.65,130.59,23.89,29.97,6.07,36.37,32.7,0.85,12.8,5.36,55.19,0.09,0.37,0.08,32.57,141.5,0.62,161.07,0.0,07-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
07-Mar-2019 - 00:00,74.25,145.88,27.31,38.65,11.34,56.53,17.24,0.9,14.03,8.08,53.81,0.12,0.37,0.19,40.28,150.44,0.59,168.05,0.0,08-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
08-Mar-2019 - 00:00,60.1,127.52,16.68,23.61,6.93,73.88,12.77,0.91,10.22,5.96,51.47,0.09,0.33,0.14,35.75,115.85,0.67,196.24,0.0,09-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
09-Mar-2019 - 00:00,55.54,131.56,10.48,15.74,5.26,43.49,6.23,0.88,9.51,2.27,46.21,0.04,0.34,0.08,31.57,118.88,0.74,178.73,0.0,10-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
10-Mar-2019 - 00:00,71.63,150.08,10.34,14.37,4.03,39.45,8.62,1.06,16.61,5.87,54.48,0.06,0.35,0.11,24.43,98.34,0.75,184.71,0.0,11-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
11-Mar-2019 - 00:00,52.05,104.55,6.81,8.68,1.88,37.82,4.11,0.84,11.6,1.49,44.95,0.04,0.29,0.04,40.9,137.55,0.86,205.93,0.0,12-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
12-Mar-2019 - 00:00,63.59,132.3,10.53,13.79,3.26,33.86,18.41,0.92,12.9,2.92,48.63,0.03,0.28,0.08,29.71,170.26,0.54,146.71,0.0,13-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
13-Mar-2019 - 00:00,62.41,131.98,8.65,10.37,1.72,33.07,31.59,0.86,18.78,3.26,47.57,0.05,0.3,0.1,33.75,156.12,0.88,205.2,0.0,14-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
14-Mar-2019 - 00:00,50.13,140.37,9.08,11.36,2.29,36.53,36.08,0.83,11.44,1.62,34.59,0.02,0.28,0.04,32.62,194.74,0.68,202.82,0.0,15-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
15-Mar-2019 - 00:00,71.76,187.03,11.53,13.68,2.15,31.53,67.84,1.08,14.25,3.01,61.67,0.03,0.26,0.07,20.2,213.56,0.79,73.17,0.0,16-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
16-Mar-2019 - 00:00,57.21,133.79,9.59,10.84,1.26,29.36,67.1,0.83,18.01,2.34,44.86,0.04,0.22,0.13,23.62,230.89,0.92,98.51,0.0,17-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
17-Mar-2019 - 00:00,67.16,143.93,10.9,12.73,1.82,30.31,57.64,0.94,17.26,2.88,46.41,0.03,0.19,0.07,21.16,221.74,0.58,104.37,0.0,18-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
18-Mar-2019 - 00:00,67.51,138.7,13.33,17.95,4.62,36.44,46.68,0.96,14.3,4.55,66.5,0.05,0.23,0.12,18.73,142.49,0.69,163.08,0.0,19-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
19-Mar-2019 - 00:00,77.93,153.99,12.03,16.39,4.36,32.41,45.35,0.91,11.42,4.21,57.5,0.36,2.02,1.19,20.62,155.21,0.68,195.42,0.0,20-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
20-Mar-2019 - 00:00,53.8,103.89,7.69,8.53,0.84,36.78,30.26,0.8,13.55,1.92,43.99,0.07,0.35,0.15,30.13,235.96,0.91,207.01,0.0,21-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
21-Mar-2019 - 00:00,55.57,91.94,5.02,5.69,0.66,40.65,24.83,0.83,17.64,1.83,37.82,0.05,0.3,0.06,44.71,213.94,0.86,198.58,0.0,22-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
22-Mar-2019 - 00:00,51.24,95.37,5.77,6.77,1.0,43.01,20.6,0.81,16.91,1.69,36.13,0.05,0.28,0.05,41.95,216.12,0.79,167.05,0.0,23-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
23-Mar-2019 - 00:00,84.19,163.87,12.85,16.6,3.75,47.22,64.72,1.15,16.54,4.39,78.17,0.2,0.31,0.17,21.6,197.94,0.61,105.06,0.0,24-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
24-Mar-2019 - 00:00,84.52,184.05,11.46,13.86,2.4,45.48,68.09,0.96,16.55,3.23,103.18,0.67,0.28,0.14,18.89,220.78,0.61,103.4,0.0,25-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
25-Mar-2019 - 00:00,86.41,196.29,10.72,13.25,2.53,46.06,49.31,1.01,14.75,3.69,71.47,0.51,0.26,0.15,20.37,186.69,0.55,119.78,0.0,26-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
26-Mar-2019 - 00:00,75.86,187.17,9.23,11.08,1.67,43.58,79.25,0.91,12.76,2.69,56.92,0.1,0.22,0.15,16.59,261.63,0.8,93.29,0.0,27-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
27-Mar-2019 - 00:00,73.55,162.97,11.58,14.81,3.23,39.01,49.25,1.01,16.07,3.15,56.16,0.07,0.3,0.1,15.93,231.75,0.92,137.81,0.0,28-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
28-Mar-2019 - 00:00,57.64,124.41,11.45,16.42,4.97,26.5,40.24,1.01,23.36,2.07,28.63,0.03,0.45,0.05,26.87,187.88,0.73,194.87,0.0,29-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
29-Mar-2019 - 00:00,60.8,123.73,12.35,21.51,9.15,19.77,25.34,1.01,16.49,1.66,28.99,0.04,0.4,0.04,29.58,215.06,0.8,207.9,0.0,30-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
30-Mar-2019 - 00:00,52.36,115.86,11.38,17.96,6.58,17.68,26.5,0.93,18.4,1.37,29.81,0.05,0.38,0.03,31.43,187.6,0.89,205.81,0.0,31-Mar-2019 - 00:00,"GIDC, Ankleshwar - GPCB"
