from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,AT,SR,RH,RF,WS,WD,to date,station
09-Aug-2019 - 00:00,22.33,19.67,15.04,26.33,26.59,0.41,11.78,26.35,82.65,2.75,65.93,1.47,,13.25,29.78,292.22,79.4,0.0,0.6,79.03,10-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Aug-2019 - 00:00,17.51,15.96,11.43,20.08,31.07,0.29,13.03,20.73,62.42,1.88,0.73,1.19,,9.6,29.58,272.22,79.06,0.0,0.55,111.98,11-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Aug-2019 - 00:00,18.96,16.91,12.42,21.99,35.26,0.35,14.12,27.29,68.34,2.87,0.65,1.66,,2.61,30.61,303.32,77.02,0.0,0.46,158.61,12-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Aug-2019 - 00:00,19.72,15.95,14.21,22.29,42.74,0.42,16.07,28.45,79.77,3.59,1.18,2.27,,18.98,30.47,184.41,78.92,0.0,0.59,220.25,13-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Aug-2019 - 00:00,20.27,24.5,16.48,32.2,15.39,0.49,12.36,29.88,95.8,3.37,0.89,2.01,,13.01,30.09,311.38,78.52,0.0,0.8,215.43,14-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Aug-2019 - 00:00,12.46,9.19,3.27,25.0,13.59,0.45,11.33,21.23,56.53,2.89,0.7,1.45,,12.5,29.27,255.95,82.23,0.01,0.41,159.0,15-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Aug-2019 - 00:00,10.36,7.35,3.02,26.26,18.71,0.39,9.63,23.28,50.51,2.74,0.9,1.43,,13.6,29.48,230.2,87.0,0.03,0.53,95.6,16-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Aug-2019 - 00:00,9.3,6.69,2.62,26.24,24.05,0.37,11.46,20.66,45.26,2.57,0.83,1.42,,13.59,29.2,273.5,80.76,0.01,0.59,84.81,17-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Aug-2019 - 00:00,8.62,5.71,2.91,22.37,27.19,0.29,8.95,11.69,28.67,1.89,0.68,1.26,,12.75,26.74,154.53,89.35,0.14,0.64,101.63,18-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-Aug-2019 - 00:00,6.33,3.2,3.68,6.29,31.78,0.29,5.93,8.4,19.57,1.83,0.67,1.26,,12.46,26.27,141.67,90.82,0.0,0.66,178.0,19-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Aug-2019 - 00:00,2.2,0.36,2.05,2.72,36.84,0.54,7.93,24.15,71.8,3.83,0.76,2.22,,15.89,28.3,251.6,84.86,0.0,0.4,158.69,20-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Aug-2019 - 00:00,1.65,0.21,1.94,2.14,41.63,0.47,14.92,26.61,82.2,3.02,0.74,1.77,,14.19,29.0,426.1,82.31,0.0,0.77,250.83,21-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Aug-2019 - 00:00,1.53,0.22,1.76,1.98,47.23,0.54,21.79,39.21,102.8,3.25,0.74,1.8,,13.98,29.73,384.55,80.39,0.0,0.74,269.1,22-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-Aug-2019 - 00:00,1.52,0.23,1.74,1.96,51.55,0.52,15.1,53.64,147.38,3.49,0.68,1.66,,12.11,29.64,304.45,80.34,0.0,0.4,104.17,23-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Aug-2019 - 00:00,1.54,0.27,1.74,2.0,56.34,0.55,16.66,60.84,144.08,4.22,1.12,2.31,,17.59,30.83,262.0,76.37,0.0,0.49,229.09,24-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Aug-2019 - 00:00,1.83,2.43,2.7,5.83,56.95,0.49,10.89,41.07,89.72,4.34,0.95,2.61,,18.19,28.3,116.44,89.4,0.03,0.45,173.13,25-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Aug-2019 - 00:00,2.31,4.76,3.01,12.96,36.05,0.52,5.81,32.79,59.11,5.28,1.9,4.37,,30.67,26.53,183.12,92.31,0.0,0.39,99.55,26-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-Aug-2019 - 00:00,2.52,5.17,3.46,11.13,9.44,0.51,6.61,26.16,75.23,5.81,16.18,6.59,,27.8,29.1,315.77,80.74,0.0,0.45,144.25,27-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
27-Aug-2019 - 00:00,3.41,6.95,5.01,11.23,20.5,0.65,10.02,42.69,127.23,4.13,33.04,2.67,,16.09,30.7,227.92,79.19,0.0,0.35,214.3,28-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-Aug-2019 - 00:00,3.05,6.08,4.16,11.08,30.01,0.59,12.32,43.6,116.04,3.29,0.35,3.28,,19.12,31.7,319.5,75.67,0.0,0.44,182.22,29-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-Aug-2019 - 00:00,2.98,5.96,4.05,11.02,32.75,0.53,7.1,43.89,132.86,3.15,0.31,3.16,,18.79,29.65,113.22,83.12,0.0,0.56,114.48,30-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-Aug-2019 - 00:00,2.73,5.6,3.77,10.94,35.26,0.5,10.02,36.68,94.94,2.97,0.36,2.51,,15.25,30.51,273.75,80.87,0.0,0.48,166.88,31-Aug-2019 - 00:00,"Sector-12, Karnal - HSPCB"
31-Aug-2019 - 00:00,2.97,5.74,3.79,10.98,38.71,0.56,12.35,34.09,113.03,3.69,18.53,4.91,,20.21,31.0,305.68,81.21,0.26,0.5,192.75,01-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
01-Sep-2019 - 00:00,2.99,5.1,2.97,11.01,42.61,0.44,14.05,18.95,69.74,5.59,,8.96,,40.29,28.31,230.89,85.89,0.0,0.43,105.41,02-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-Sep-2019 - 00:00,4.31,6.38,3.71,10.76,26.48,0.66,20.7,29.6,103.36,5.11,0.66,6.74,,16.77,29.99,280.69,81.53,0.04,0.47,162.28,03-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
03-Sep-2019 - 00:00,4.77,5.75,4.81,11.22,30.82,0.59,18.95,47.4,136.25,4.63,0.65,4.81,,20.65,30.83,276.63,79.17,0.0,0.51,252.36,04-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-Sep-2019 - 00:00,15.63,21.23,19.08,10.04,41.56,0.58,13.01,52.76,137.32,4.03,0.18,2.07,,9.84,29.77,230.62,85.65,0.0,0.37,146.73,05-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Sep-2019 - 00:00,19.09,31.68,27.05,0.19,50.61,0.59,10.29,29.07,81.72,3.86,0.17,2.08,,9.91,28.66,193.31,89.95,0.06,0.45,113.68,06-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Sep-2019 - 00:00,23.61,36.21,29.69,,43.15,0.51,11.55,23.56,85.94,3.32,0.18,1.86,,9.12,30.33,265.76,81.52,0.0,0.45,132.16,07-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Sep-2019 - 00:00,24.82,35.44,28.02,,32.47,0.45,12.83,21.36,72.52,2.7,0.23,1.6,,9.44,29.42,220.81,82.06,0.0,0.49,135.97,08-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Sep-2019 - 00:00,19.96,29.97,24.34,,29.98,0.48,12.37,20.54,76.94,3.02,0.26,1.77,,10.71,29.83,299.26,81.71,0.0,0.43,181.1,09-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-Sep-2019 - 00:00,19.87,29.17,23.59,,29.76,0.6,16.28,33.92,137.89,3.61,0.21,2.16,,10.97,30.84,351.17,77.6,0.0,0.59,267.4,10-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Sep-2019 - 00:00,19.92,32.02,26.96,0.85,30.84,0.72,19.0,71.39,155.33,4.6,0.23,2.47,,11.15,31.01,203.25,77.91,0.0,0.37,192.67,11-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Sep-2019 - 00:00,20.99,33.49,27.91,,26.47,0.74,20.24,97.43,176.62,4.77,0.23,2.35,,10.91,31.38,244.6,76.03,0.0,0.51,189.4,12-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Sep-2019 - 00:00,14.2,24.03,20.8,0.07,33.83,0.57,14.23,90.5,150.53,4.62,0.28,2.28,,12.17,30.44,294.27,83.16,0.0,0.44,116.32,13-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Sep-2019 - 00:00,6.19,11.47,10.27,,41.79,0.5,12.42,52.85,106.09,3.61,0.27,1.97,,11.31,29.83,255.06,84.03,0.0,0.47,129.22,14-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Sep-2019 - 00:00,8.28,14.13,12.24,0.15,39.66,0.42,9.03,40.36,94.25,4.41,0.68,2.96,,16.58,29.66,267.11,81.09,0.0,0.39,98.07,15-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Sep-2019 - 00:00,5.62,10.78,9.78,,7.4,0.41,15.0,25.1,61.13,3.14,1.81,2.97,,11.69,29.18,232.52,81.25,0.0,0.41,121.71,16-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Sep-2019 - 00:00,9.01,16.64,14.84,,25.94,0.62,17.87,51.04,124.43,4.05,1.42,3.1,,9.41,30.15,253.3,79.36,0.0,0.52,190.11,17-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Sep-2019 - 00:00,8.3,15.29,13.66,,18.45,0.7,23.42,66.76,151.03,5.07,1.21,2.84,,7.93,30.22,245.23,73.61,0.0,0.44,178.83,18-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-Sep-2019 - 00:00,5.78,12.95,12.38,,4.03,0.43,22.19,47.38,124.65,3.63,1.12,2.3,,6.35,28.59,258.14,73.84,0.0,0.49,114.9,19-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Sep-2019 - 00:00,4.31,11.42,11.47,,9.32,0.34,15.36,23.12,83.16,2.5,17.81,2.08,,5.24,27.27,248.52,78.03,0.0,0.48,94.4,20-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Sep-2019 - 00:00,4.83,13.57,13.79,,2.72,0.52,14.16,35.44,108.96,3.54,1.33,2.55,,6.71,28.43,254.47,72.95,0.0,0.4,125.23,21-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Sep-2019 - 00:00,5.07,15.81,16.42,,2.62,0.6,18.04,51.87,126.0,4.12,1.25,2.79,,7.3,29.07,257.61,73.31,0.0,0.45,180.76,22-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-Sep-2019 - 00:00,4.62,12.99,13.19,,3.34,0.32,20.42,26.46,64.17,2.53,1.14,1.89,,4.9,26.43,194.0,78.35,0.07,0.56,124.09,23-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Sep-2019 - 00:00,3.97,13.48,14.23,,3.38,0.41,15.05,23.7,54.43,2.43,1.14,1.77,,4.53,27.33,242.06,76.96,0.0,0.39,101.45,24-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Sep-2019 - 00:00,4.02,14.34,15.55,,4.86,0.53,22.66,46.41,101.14,3.9,1.18,2.67,,6.83,28.48,230.49,73.09,0.0,0.43,156.04,25-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Sep-2019 - 00:00,5.62,13.72,13.46,18.2,8.74,0.47,15.63,43.54,105.13,3.76,0.94,2.5,,6.27,28.52,230.66,74.64,0.0,0.47,103.03,26-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-Sep-2019 - 00:00,6.3,12.78,11.83,16.13,2.41,0.39,12.86,30.27,85.62,3.03,1.37,2.27,,5.57,28.12,213.91,76.78,0.0,0.5,130.81,27-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
27-Sep-2019 - 00:00,6.25,12.26,11.22,15.47,2.54,0.35,13.25,25.82,70.33,3.07,1.45,2.17,,5.3,27.38,186.04,79.67,0.0,0.43,121.03,28-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-Sep-2019 - 00:00,6.11,17.45,17.46,16.32,6.87,0.35,9.14,20.81,48.18,2.49,1.29,1.84,,4.3,26.11,180.29,85.07,0.0,0.47,105.52,29-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-Sep-2019 - 00:00,5.05,11.02,10.46,13.86,2.17,0.3,8.21,9.71,20.74,1.77,1.07,1.41,,3.22,23.12,174.37,82.46,0.02,0.49,87.07,30-Sep-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-Sep-2019 - 00:00,6.1,12.92,12.13,16.35,2.58,0.41,8.24,22.34,49.03,3.01,1.13,2.4,,5.8,14.55,198.81,51.94,0.0,0.37,103.57,01-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
01-Oct-2019 - 00:00,6.99,14.35,13.34,18.14,3.22,0.47,10.12,35.27,73.76,2.98,1.07,2.18,,5.3,7.12,204.52,37.38,0.01,0.43,90.59,02-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-Oct-2019 - 00:00,7.61,14.98,13.71,19.02,6.14,0.63,16.05,52.72,90.84,4.09,14.42,5.91,,9.18,19.09,242.94,53.48,0.0,0.35,175.29,03-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
03-Oct-2019 - 00:00,8.86,20.98,20.39,25.86,4.75,0.8,22.75,88.44,161.65,6.05,1.09,3.18,,7.65,27.39,213.93,73.64,0.0,0.45,224.24,04-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-Oct-2019 - 00:00,18.77,7.59,5.3,13.12,7.19,0.67,28.55,85.82,171.22,4.16,0.83,2.55,,5.2,26.11,243.83,68.1,0.0,0.84,280.6,05-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Oct-2019 - 00:00,2.94,4.54,3.65,7.3,8.04,0.53,26.67,57.47,103.14,3.47,1.13,1.93,,4.6,24.8,229.53,72.65,0.0,0.94,274.94,06-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Oct-2019 - 00:00,1.71,2.91,2.21,3.22,6.11,0.56,32.49,72.17,135.7,3.95,1.48,1.89,,4.6,25.31,197.14,74.29,0.0,0.88,273.58,07-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Oct-2019 - 00:00,2.87,5.19,3.16,5.06,5.25,0.61,24.81,77.11,139.93,4.51,1.64,2.02,,4.96,24.57,167.37,78.81,0.0,1.07,268.14,08-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Oct-2019 - 00:00,2.66,5.05,3.12,9.19,7.09,0.53,33.38,64.17,115.14,3.53,1.63,1.78,,4.34,24.83,192.85,68.45,0.0,0.73,265.83,09-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-Oct-2019 - 00:00,4.06,6.14,4.44,9.44,13.14,0.81,23.59,91.51,193.14,7.13,1.57,2.68,,6.55,25.35,213.35,64.48,0.0,0.46,145.53,10-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Oct-2019 - 00:00,4.99,5.72,3.88,11.94,10.24,0.78,32.05,112.21,188.47,6.45,1.32,2.56,,6.42,25.55,178.33,65.24,0.0,0.44,197.25,11-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Oct-2019 - 00:00,3.94,4.58,3.04,9.31,16.48,0.7,33.78,103.98,186.25,5.0,1.25,2.26,,5.6,25.81,176.9,65.88,0.0,0.49,270.9,12-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Oct-2019 - 00:00,4.23,5.15,3.67,10.24,13.61,0.87,28.02,126.87,227.21,6.23,1.86,2.43,,6.05,26.26,186.99,66.3,0.0,0.47,250.94,13-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Oct-2019 - 00:00,3.27,4.5,3.47,8.42,12.81,0.82,38.36,135.91,227.97,6.6,1.98,2.32,,5.74,26.15,207.21,67.79,0.0,0.58,266.64,14-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Oct-2019 - 00:00,4.4,5.43,3.91,10.52,11.81,0.93,29.56,145.6,252.02,4.84,1.27,1.65,,4.01,26.41,179.13,68.88,0.0,0.54,253.44,15-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Oct-2019 - 00:00,4.96,7.15,5.6,13.99,14.73,1.06,25.86,167.9,292.06,2.87,0.33,1.06,,2.57,26.33,166.89,70.43,0.02,0.29,137.15,16-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Oct-2019 - 00:00,2.31,3.41,2.74,5.45,9.8,0.79,21.32,126.51,239.81,2.67,0.25,0.88,,2.19,25.92,171.47,74.83,0.01,0.34,86.87,17-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Oct-2019 - 00:00,29.79,19.88,4.31,86.39,6.59,0.63,19.08,103.51,188.05,1.96,0.28,0.65,,1.54,25.45,174.92,72.1,0.0,0.4,80.72,18-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-Oct-2019 - 00:00,26.19,18.85,6.39,87.01,5.91,0.66,19.85,105.82,201.35,2.02,0.32,0.83,,1.79,25.28,133.41,73.76,0.0,0.52,108.53,19-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Oct-2019 - 00:00,20.68,13.43,3.22,84.7,15.62,0.75,27.23,140.1,227.46,4.11,32.06,2.34,,5.58,24.99,170.52,68.64,0.0,0.57,237.72,20-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Oct-2019 - 00:00,13.71,8.91,2.17,78.17,10.98,0.57,27.16,121.64,205.32,5.44,107.32,2.58,,5.95,22.87,128.62,66.24,0.05,0.67,286.51,21-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Oct-2019 - 00:00,14.27,9.1,2.06,85.34,13.44,0.57,34.39,109.46,186.62,4.9,122.99,2.17,,5.25,23.62,186.36,58.06,0.0,0.83,278.59,22-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-Oct-2019 - 00:00,13.77,8.87,2.08,83.04,12.69,0.57,36.71,115.01,194.17,5.29,86.09,4.3,,5.25,23.09,164.25,60.76,0.0,1.03,271.44,23-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Oct-2019 - 00:00,19.72,14.84,5.73,78.72,21.93,0.92,29.83,127.63,231.68,7.67,1.31,7.47,,8.95,23.78,190.59,62.48,0.0,0.51,207.48,24-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Oct-2019 - 00:00,16.53,28.51,24.81,87.43,17.49,0.94,24.22,135.62,251.42,9.86,1.53,9.41,,13.5,23.72,138.68,69.57,0.0,0.37,129.35,25-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Oct-2019 - 00:00,12.4,12.36,7.33,54.34,9.7,0.8,20.92,96.27,228.49,8.54,1.65,8.22,,9.42,23.66,204.26,68.33,0.0,0.37,121.15,26-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-Oct-2019 - 00:00,13.95,18.45,13.86,64.1,23.0,1.25,22.63,119.37,277.98,7.83,1.1,5.51,,6.36,23.23,8.12,71.16,0.0,0.37,173.84,27-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
27-Oct-2019 - 00:00,10.62,9.44,4.89,78.81,20.39,0.88,41.49,155.1,344.99,3.08,0.5,2.04,,2.09,23.64,122.61,62.99,0.0,0.72,263.34,28-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
28-Oct-2019 - 00:00,12.09,10.04,4.65,87.11,30.75,1.11,35.69,110.51,338.28,2.76,0.54,2.0,,1.74,23.68,166.15,65.34,0.0,0.37,192.78,29-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
29-Oct-2019 - 00:00,14.68,19.25,14.44,86.12,16.82,1.43,24.03,154.82,400.0,4.03,0.6,2.77,,3.14,23.22,164.14,76.27,0.0,0.34,145.81,30-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
30-Oct-2019 - 00:00,14.5,14.81,8.92,82.2,21.13,1.69,22.24,236.53,467.75,4.55,0.63,2.79,,3.22,24.32,154.71,74.62,0.0,0.43,248.19,31-Oct-2019 - 00:00,"Sector-12, Karnal - HSPCB"
31-Oct-2019 - 00:00,13.08,9.78,3.54,75.34,26.99,1.38,30.96,219.2,425.87,3.65,0.49,2.21,,2.55,24.13,173.55,65.78,0.0,0.55,236.78,01-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
01-Nov-2019 - 00:00,12.96,8.99,2.74,77.08,27.01,1.54,28.46,254.3,437.9,3.72,0.54,2.09,,2.3,23.76,154.88,65.3,0.0,0.53,223.25,02-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
02-Nov-2019 - 00:00,14.63,9.66,2.52,78.22,25.94,1.61,23.62,254.01,449.65,3.78,0.41,1.78,,1.93,23.25,150.9,69.44,0.01,0.6,247.06,03-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
03-Nov-2019 - 00:00,17.81,11.32,2.51,80.7,17.84,2.71,26.98,508.16,653.28,5.39,0.47,1.72,,1.94,22.79,144.13,71.44,0.02,0.7,265.07,04-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
04-Nov-2019 - 00:00,15.51,9.94,2.29,72.88,23.15,1.4,27.98,235.05,389.38,3.32,0.4,1.51,,1.6,22.89,182.35,64.56,0.0,0.98,270.13,05-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
05-Nov-2019 - 00:00,16.41,10.59,2.51,71.45,21.47,1.18,30.3,168.54,352.16,2.68,0.4,1.62,,1.66,23.25,191.86,55.59,0.0,1.12,265.74,06-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
06-Nov-2019 - 00:00,28.94,26.91,14.47,89.04,24.17,1.81,19.1,295.52,545.65,5.65,32.0,3.38,,3.94,21.76,161.54,64.53,0.0,0.4,153.33,07-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
07-Nov-2019 - 00:00,21.41,16.01,6.01,82.59,15.93,0.75,9.46,91.12,193.56,7.62,131.61,6.69,,7.68,19.82,80.08,77.61,0.01,0.5,101.18,08-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
08-Nov-2019 - 00:00,20.48,17.5,8.48,74.02,16.07,0.7,11.1,55.9,154.77,5.72,132.39,6.85,,7.62,21.23,179.28,67.43,0.0,0.42,186.76,09-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
09-Nov-2019 - 00:00,16.26,10.93,3.07,69.25,14.26,0.74,30.64,83.08,186.71,5.49,132.53,5.9,,5.71,21.51,191.52,60.2,0.0,0.84,279.14,10-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
10-Nov-2019 - 00:00,21.0,13.26,2.85,63.08,22.05,1.14,35.96,176.12,344.24,7.9,133.16,6.07,,6.04,20.4,170.8,49.92,0.0,0.55,267.94,11-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
11-Nov-2019 - 00:00,28.84,18.09,3.53,62.45,27.37,1.44,35.25,203.46,419.0,9.21,125.48,6.73,,7.65,18.82,182.5,49.4,0.0,0.5,266.7,12-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
12-Nov-2019 - 00:00,26.23,15.87,2.7,57.53,26.56,1.21,40.61,198.64,372.72,8.87,125.8,6.14,,6.66,19.5,180.24,59.86,0.0,0.61,238.51,13-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
13-Nov-2019 - 00:00,30.99,22.85,8.43,63.02,24.9,1.3,25.58,165.81,348.52,10.05,126.51,7.47,,9.56,19.62,149.81,68.61,0.0,0.42,241.31,14-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
14-Nov-2019 - 00:00,36.59,31.35,15.25,71.68,20.83,1.39,24.53,157.27,333.32,11.25,112.42,8.85,,12.08,19.91,123.22,76.87,0.0,0.32,148.32,15-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
15-Nov-2019 - 00:00,27.72,19.4,6.13,61.77,18.92,1.13,23.5,142.91,295.31,9.92,1.51,8.16,,10.32,21.22,141.17,69.86,0.0,0.49,272.53,16-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
16-Nov-2019 - 00:00,18.26,11.8,2.81,56.86,19.98,0.54,20.36,87.92,218.49,4.97,1.06,5.18,,5.2,21.04,167.35,64.68,0.0,1.07,284.87,17-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
17-Nov-2019 - 00:00,12.11,8.05,2.14,52.66,12.7,0.43,28.87,46.91,136.23,3.12,1.01,3.98,,3.21,20.76,189.73,60.51,0.0,1.45,275.78,18-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
18-Nov-2019 - 00:00,19.96,14.73,5.37,56.44,11.69,0.81,24.41,64.01,153.06,5.19,1.15,5.8,,6.77,19.83,152.19,65.31,0.0,0.96,258.68,19-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
19-Nov-2019 - 00:00,27.56,23.12,10.9,60.85,15.26,1.43,25.06,116.43,250.61,9.09,1.18,8.0,,10.77,19.91,148.08,59.39,0.0,0.55,256.23,20-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
20-Nov-2019 - 00:00,43.04,55.08,40.64,88.25,15.52,1.41,20.11,121.58,276.56,10.89,1.04,8.8,,13.83,19.19,299.97,60.17,0.0,0.33,193.2,21-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
21-Nov-2019 - 00:00,41.12,53.96,40.49,89.22,15.42,1.15,26.04,113.41,254.52,10.34,33.26,7.49,,12.44,18.78,294.66,59.62,0.0,0.35,172.31,22-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
22-Nov-2019 - 00:00,31.0,20.85,5.84,60.18,17.15,0.9,22.08,115.1,263.1,6.79,101.88,5.29,,7.43,19.31,148.74,56.53,0.0,0.53,257.0,23-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
23-Nov-2019 - 00:00,18.4,11.91,2.85,52.36,13.29,0.61,20.97,75.88,168.25,4.94,98.59,4.15,,4.61,19.73,131.55,65.47,0.0,0.94,273.34,24-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
24-Nov-2019 - 00:00,18.02,11.3,2.35,49.48,13.28,0.59,26.61,64.0,149.06,4.07,99.58,3.91,,3.93,20.24,157.12,58.66,0.0,0.92,270.98,25-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
25-Nov-2019 - 00:00,28.84,21.33,7.8,52.97,16.58,0.6,16.32,76.79,181.27,5.09,98.29,4.44,,5.35,19.62,131.72,53.66,0.0,0.41,109.13,26-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
26-Nov-2019 - 00:00,25.49,20.32,8.55,60.78,15.58,0.61,15.23,62.2,187.93,5.46,78.43,3.95,,5.2,19.39,152.67,60.63,0.0,0.6,73.66,27-Nov-2019 - 00:00,"Sector-12, Karnal - HSPCB"
