from date,PM2.5,PM10,NOx,NO2,NO,NH3,SO2,CO,Ozone,Benzene,Toluene,RH,BP,AT,WS,WD,to date,station
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,16-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,17-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,18-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
18-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,19-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,20-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,21-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,22-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,23-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,24-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,25-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,26-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,27-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,28-Feb-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,01-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,02-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,03-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,04-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,05-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,06-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,07-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,08-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,09-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,11-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
11-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,12-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,13-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,14-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,15-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,16-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,17-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,18-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
18-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,19-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,17-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,18-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
18-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,19-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,20-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,21-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,22-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,23-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
29-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,30-Apr-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
30-Apr-2019 - 00:00,,,,,,,,,,,,,,,,,01-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-May-2019 - 00:00,,,,,,,,,,,,,,,,,02-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-May-2019 - 00:00,,,,,,,,,,,,,,,,,03-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-May-2019 - 00:00,,,,,,,,,,,,,,,,,04-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-May-2019 - 00:00,,,,,,,,,,,,,,,,,05-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-May-2019 - 00:00,,,,,,,,,,,,,,,,,06-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-May-2019 - 00:00,,,,,,,,,,,,,,,,,07-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-May-2019 - 00:00,,,,,,,,,,,,,,,,,08-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-May-2019 - 00:00,,,,,,,,,,,,,,,,,09-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-May-2019 - 00:00,,,,,,,,,,,,,,,,,10-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-May-2019 - 00:00,,,,,,,,,,,,,,,,,11-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
11-May-2019 - 00:00,,,,,,,,,,,,,,,,,12-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-May-2019 - 00:00,,,,,,,,,,,,,,,,,13-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-May-2019 - 00:00,,,,,,,,,,,,,,,,,14-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-May-2019 - 00:00,,,,,,,,,,,,,,,,,15-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-May-2019 - 00:00,,,,,,,,,,,,,,,,,16-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-May-2019 - 00:00,,,,,,,,,,,,,,,,,17-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-May-2019 - 00:00,,,,,,,,,,,,,,,,,18-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
18-May-2019 - 00:00,,,,,,,,,,,,,,,,,19-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,,,,,20-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,,,,,21-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-May-2019 - 00:00,,,,,,,,,,,,,,,,,22-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-May-2019 - 00:00,,,,,,,,,,,,,,,,,23-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-May-2019 - 00:00,,,,,,,,,,,,,,,,,24-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-May-2019 - 00:00,,,,,,,,,,,,,,,,,25-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-May-2019 - 00:00,,,,,,,,,,,,,,,,,26-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-May-2019 - 00:00,,,,,,,,,,,,,,,,,27-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-May-2019 - 00:00,,,,,,,,,,,,,,,,,28-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-May-2019 - 00:00,,,,,,,,,,,,,,,,,29-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
29-May-2019 - 00:00,,,,,,,,,,,,,,,,,30-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
30-May-2019 - 00:00,,,,,,,,,,,,,,,,,31-May-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
31-May-2019 - 00:00,,,,,,,,,,,,,,,,,01-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,02-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,03-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,04-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,05-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,06-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
06-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,07-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
07-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,08-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
08-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,09-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
09-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,10-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
10-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,11-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
11-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,12-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
12-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,13-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
13-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,14-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
14-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,15-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
15-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,16-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
16-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,17-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
17-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,18-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
18-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,19-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
19-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,20-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
20-Jun-2019 - 00:00,39.77,137.5,,,,,8.94,0.92,174.71,0.42,65.98,43.88,741.0,36.99,0.57,324.75,21-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
21-Jun-2019 - 00:00,55.31,179.75,29.9,51.35,3.19,71.11,13.95,1.29,136.1,0.82,54.8,45.35,741.04,37.38,0.61,207.27,22-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
22-Jun-2019 - 00:00,76.0,202.69,29.33,51.26,2.53,93.86,29.39,1.13,79.94,1.42,81.68,51.41,741.0,33.1,0.56,175.47,23-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
23-Jun-2019 - 00:00,,,,,,,,,,,,,,,,,24-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
24-Jun-2019 - 00:00,15.97,123.29,10.87,19.07,0.97,46.83,6.24,0.39,71.85,0.25,52.29,66.5,741.29,32.12,1.04,295.77,25-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
25-Jun-2019 - 00:00,30.16,85.06,10.99,19.44,0.83,47.62,9.25,1.14,93.87,0.43,70.36,60.68,741.16,35.37,0.53,272.54,26-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
26-Jun-2019 - 00:00,45.5,120.9,14.08,24.68,1.13,56.76,11.66,1.36,111.92,0.7,74.52,57.48,741.0,36.24,0.69,207.98,27-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
27-Jun-2019 - 00:00,59.12,250.21,23.87,40.08,3.01,73.64,21.53,1.49,108.94,0.98,67.77,50.03,741.0,35.94,0.84,145.79,28-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
28-Jun-2019 - 00:00,47.86,259.88,20.37,33.35,3.12,67.13,19.72,1.17,93.22,0.8,63.38,45.21,740.86,36.9,1.01,154.58,29-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
29-Jun-2019 - 00:00,69.51,402.98,23.36,35.67,5.39,57.82,22.26,1.04,72.41,0.92,53.51,44.95,740.81,37.38,0.75,171.61,30-Jun-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
30-Jun-2019 - 00:00,62.28,295.77,22.46,35.49,4.29,85.99,16.18,1.22,85.05,0.85,49.73,52.25,740.97,37.62,0.64,194.62,01-Jul-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
01-Jul-2019 - 00:00,51.44,149.82,13.04,22.17,1.41,71.88,9.56,1.22,96.54,0.47,46.82,67.2,741.0,35.15,0.69,288.05,02-Jul-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
02-Jul-2019 - 00:00,48.83,125.7,17.37,27.81,3.04,67.73,7.5,1.14,89.08,0.37,48.17,67.6,741.0,34.95,0.67,284.15,03-Jul-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
03-Jul-2019 - 00:00,25.55,69.88,12.34,20.02,2.05,50.91,8.7,1.1,58.03,0.53,71.69,68.12,741.0,34.07,0.7,286.68,04-Jul-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
04-Jul-2019 - 00:00,23.95,72.29,14.93,24.68,2.11,50.53,14.9,1.11,48.51,0.66,81.02,75.66,741.0,32.31,0.7,247.75,05-Jul-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
05-Jul-2019 - 00:00,28.79,78.41,15.88,26.19,2.27,47.06,15.41,0.99,47.85,0.88,94.29,77.26,740.81,31.22,0.65,219.34,06-Jul-2019 - 00:00,"Jai Bhim Nagar, Meerut - UPPCB"
