from date,NO2,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Temp,WS,WD,RH,to date,station
24-Feb-2019 - 00:00,50.98,9.93,5.31,1.74,32.79,43.83,91.72,0.6,26.62,1.57,92.6,33.61,25-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
25-Feb-2019 - 00:00,54.67,10.05,5.37,1.54,33.22,31.54,79.42,0.55,26.6,1.24,94.0,30.54,26-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
26-Feb-2019 - 00:00,32.29,12.83,5.64,1.11,59.11,43.33,89.0,0.41,26.9,1.1,,44.2,27-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
27-Feb-2019 - 00:00,31.56,14.92,5.57,1.56,59.54,42.2,99.59,0.42,26.58,1.1,,55.25,28-Feb-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
28-Feb-2019 - 00:00,26.72,10.64,5.2,1.23,51.04,37.51,100.55,0.37,25.96,0.9,,42.83,01-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
01-Mar-2019 - 00:00,48.29,16.06,5.56,1.57,58.26,57.69,124.77,0.54,27.2,1.28,90.25,54.46,02-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
02-Mar-2019 - 00:00,31.44,16.41,7.05,1.09,44.71,39.36,89.42,0.33,26.31,1.96,99.0,60.65,03-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
03-Mar-2019 - 00:00,34.08,12.15,3.44,1.36,71.76,36.46,85.11,0.38,26.55,1.26,93.25,56.47,04-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
04-Mar-2019 - 00:00,29.24,13.75,3.84,1.23,90.44,44.91,92.88,0.38,25.84,1.13,,56.05,05-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
05-Mar-2019 - 00:00,27.65,13.19,4.12,1.63,64.13,47.28,99.57,0.47,26.08,0.97,,56.56,06-Mar-2019 - 00:00,"Hebbal, Bengaluru - KSPCB"
