from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,SR,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
09-Feb-2019 - 00:00,7.97,71.64,63.68,,,,,0.0,0.0,292.19,1.62,,0.0,33.94,0.58,12.99,-95.55,95.96,10-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Feb-2019 - 00:00,8.35,75.63,67.28,,,,,0.0,0.0,233.03,1.09,,0.0,33.72,0.66,13.84,-99.99,126.49,11-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Feb-2019 - 00:00,23.25,96.28,73.25,,,,,0.0,0.0,131.0,0.87,,0.0,33.9,0.78,12.77,-99.99,143.08,12-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Feb-2019 - 00:00,55.34,126.55,71.44,,,,,0.0,0.0,102.56,0.93,,0.0,34.53,0.81,14.99,-95.34,164.99,13-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Feb-2019 - 00:00,9.53,78.74,69.68,93.37,8.85,,5.9,1.48,0.83,88.24,1.16,419.79,0.0,34.08,0.88,12.9,-7.38,197.6,14-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Feb-2019 - 00:00,23.09,57.98,42.02,,4.53,61.08,1.1,0.33,0.29,117.19,1.92,238.61,0.0,32.46,0.7,16.22,136.23,194.52,15-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Feb-2019 - 00:00,19.24,42.25,30.37,,6.0,61.86,1.5,2.65,1.3,289.46,1.83,121.51,0.0,31.33,0.63,8.25,91.6,126.29,16-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-Feb-2019 - 00:00,5.14,13.4,7.41,,5.2,46.25,1.81,2.93,1.51,284.74,1.42,339.45,0.0,41.22,0.59,11.87,66.44,94.23,17-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Feb-2019 - 00:00,11.6,31.74,20.14,,,,,0.0,0.0,256.74,1.14,419.49,0.0,60.39,0.19,15.73,71.75,115.94,18-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Feb-2019 - 00:00,6.95,29.72,27.92,26.46,3.98,27.5,1.68,2.53,1.37,96.15,2.28,333.61,0.0,59.15,0.19,14.96,69.16,110.81,19-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Feb-2019 - 00:00,5.89,20.99,15.81,28.32,4.65,0.56,3.26,6.48,3.38,95.15,1.87,380.43,0.0,57.98,0.13,18.26,44.42,64.34,20-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Feb-2019 - 00:00,6.0,19.09,16.76,30.61,6.44,0.36,1.45,1.57,0.88,152.76,23.44,104.04,0.0,42.85,0.19,15.12,97.93,132.61,21-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Feb-2019 - 00:00,5.82,19.53,20.69,33.84,7.56,0.55,3.0,3.77,2.28,198.6,41.42,202.63,0.0,14.02,0.18,10.69,69.15,101.17,22-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-Feb-2019 - 00:00,12.83,31.47,18.4,33.63,5.41,0.63,3.5,8.91,4.66,199.04,41.62,433.55,0.0,12.14,0.13,14.76,36.08,53.21,23-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Feb-2019 - 00:00,22.12,38.6,16.48,32.36,6.83,0.77,3.37,8.93,4.66,197.6,41.43,457.82,0.0,14.85,0.16,16.06,60.27,100.81,24-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Feb-2019 - 00:00,23.36,31.58,8.21,21.19,9.11,1.13,2.95,7.6,4.12,195.69,41.08,473.4,0.0,12.98,0.34,20.45,73.22,127.3,25-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Feb-2019 - 00:00,17.94,23.54,5.6,10.57,4.22,0.77,1.77,4.39,2.31,194.83,40.98,288.93,0.0,11.32,0.13,21.63,65.54,101.79,26-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Feb-2019 - 00:00,16.88,22.54,5.66,10.1,3.03,0.36,1.34,3.33,1.79,194.8,41.05,352.03,0.0,11.05,0.11,33.42,44.02,66.75,27-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Feb-2019 - 00:00,16.18,21.93,5.75,13.73,2.56,0.3,1.14,2.85,1.54,193.58,40.85,466.85,0.0,10.71,0.1,69.5,32.0,57.74,28-Feb-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-Feb-2019 - 00:00,17.82,24.87,7.04,15.04,5.15,0.72,1.72,3.15,1.64,193.03,40.77,703.5,0.0,11.51,0.19,43.75,49.49,107.27,01-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-Mar-2019 - 00:00,18.1,23.88,5.77,14.43,4.25,0.62,1.43,3.37,1.75,191.52,40.48,753.03,0.0,12.87,0.17,67.98,59.65,103.01,02-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Mar-2019 - 00:00,20.5,30.27,9.77,12.67,4.09,0.77,1.98,5.06,2.69,192.03,40.67,61.45,0.0,8.47,0.16,48.98,49.82,75.8,03-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Mar-2019 - 00:00,25.51,34.11,8.6,13.05,4.11,0.71,2.05,5.16,2.82,190.27,40.33,333.01,0.0,7.49,0.16,54.34,53.07,74.05,04-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Mar-2019 - 00:00,25.48,38.6,13.13,15.53,4.19,0.83,2.18,5.69,3.01,189.29,40.12,382.66,0.0,8.67,0.17,43.3,43.92,66.74,05-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-Mar-2019 - 00:00,26.88,37.15,10.27,14.48,5.48,1.51,2.31,5.97,3.45,188.4,39.93,514.47,0.0,7.42,0.18,55.17,50.29,82.47,06-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-Mar-2019 - 00:00,28.3,37.62,9.32,14.43,5.43,1.52,2.45,6.22,3.47,187.74,39.78,521.87,0.0,7.92,0.19,68.18,49.07,88.13,07-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-Mar-2019 - 00:00,30.14,38.64,8.51,14.67,5.25,1.47,2.46,6.25,3.36,186.75,39.56,439.19,0.0,10.39,0.2,78.32,55.12,92.71,08-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
08-Mar-2019 - 00:00,25.58,34.42,8.84,13.22,3.14,0.76,1.6,4.08,2.13,187.1,39.69,194.13,0.0,8.63,0.12,60.8,31.55,60.34,09-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-Mar-2019 - 00:00,23.5,32.88,9.38,12.76,4.1,0.57,1.48,3.52,1.85,186.2,39.55,527.57,0.0,7.04,0.17,62.38,61.96,107.92,10-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Mar-2019 - 00:00,31.07,43.51,12.44,17.19,5.68,0.93,2.56,6.19,3.12,185.39,39.34,540.86,0.0,10.23,0.16,78.09,49.52,109.04,11-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Mar-2019 - 00:00,26.7,35.83,9.13,13.88,3.77,2.95,1.66,4.06,1.87,185.52,39.42,380.44,0.0,10.03,0.13,73.74,45.81,89.36,12-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Mar-2019 - 00:00,23.28,33.67,10.39,13.33,3.65,1.0,1.31,3.53,1.59,184.97,39.3,460.17,0.0,12.83,0.31,69.84,52.58,109.96,13-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Mar-2019 - 00:00,25.0,35.85,10.85,14.27,4.62,0.84,1.64,3.77,1.83,184.71,39.29,291.95,0.0,10.33,0.58,57.71,60.64,162.27,14-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Mar-2019 - 00:00,22.52,39.03,16.5,14.59,3.32,0.74,2.0,4.33,2.15,184.58,39.22,386.96,0.0,10.29,0.53,61.25,42.18,84.06,15-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Mar-2019 - 00:00,18.03,35.58,17.55,12.12,4.22,0.6,1.54,3.64,1.9,184.32,39.11,450.0,0.0,7.39,0.55,68.05,53.38,93.85,16-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-Mar-2019 - 00:00,20.32,38.26,17.93,13.07,3.97,0.91,1.49,3.63,1.96,183.74,38.98,449.42,0.0,5.48,0.54,71.74,53.82,94.86,17-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Mar-2019 - 00:00,26.18,47.79,21.61,17.08,6.04,1.34,2.26,5.68,3.07,183.01,38.79,518.76,0.0,5.25,0.59,68.56,53.5,111.85,18-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Mar-2019 - 00:00,30.98,48.75,17.78,19.15,6.43,1.33,2.85,6.68,3.53,182.83,38.75,440.22,0.0,5.13,0.6,74.46,60.84,124.43,19-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Mar-2019 - 00:00,32.3,47.94,15.64,19.57,6.17,2.52,2.29,5.77,3.24,181.89,38.5,512.04,0.0,5.27,0.57,78.92,54.94,112.28,20-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Mar-2019 - 00:00,28.33,42.64,14.31,18.02,3.74,0.7,1.45,3.59,2.01,182.27,20.58,527.25,0.0,5.26,0.53,73.74,45.55,118.46,21-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Mar-2019 - 00:00,31.3,46.48,15.18,19.57,3.24,0.63,1.56,4.04,2.09,181.25,1.68,542.54,0.0,5.19,0.51,70.85,32.96,80.0,22-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-Mar-2019 - 00:00,33.21,46.13,12.92,18.92,4.33,0.95,1.91,4.94,2.6,180.8,1.65,498.4,0.0,5.3,0.53,79.81,33.57,83.15,23-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Mar-2019 - 00:00,21.47,29.77,10.6,13.23,3.95,0.57,1.18,2.86,1.54,180.66,1.64,515.94,0.0,6.95,0.43,93.76,42.4,103.09,24-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Mar-2019 - 00:00,25.63,35.8,18.82,19.57,4.54,0.58,1.58,4.0,2.06,180.82,1.66,429.17,0.0,7.71,0.4,69.89,38.46,86.58,25-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Mar-2019 - 00:00,18.22,29.59,15.92,15.16,5.91,0.71,1.53,3.58,1.84,180.28,1.64,358.78,0.0,8.63,0.49,54.32,57.47,107.39,26-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Mar-2019 - 00:00,17.18,29.01,15.86,14.92,5.43,1.07,1.51,3.24,1.68,179.04,1.54,499.72,0.0,9.85,0.5,49.36,65.42,131.64,27-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Mar-2019 - 00:00,15.08,26.82,14.5,13.37,7.28,1.7,2.79,4.52,2.32,178.75,1.51,423.69,0.0,8.88,0.58,45.21,69.62,146.24,28-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-Mar-2019 - 00:00,12.55,22.64,16.11,17.6,5.4,1.54,1.71,2.97,1.61,178.69,1.48,295.48,0.0,22.88,0.51,40.2,76.51,136.2,29-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-Mar-2019 - 00:00,8.49,19.59,20.9,29.73,6.25,2.31,1.74,3.84,2.17,180.17,1.54,469.74,0.0,35.11,0.57,61.68,76.64,139.43,30-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-Mar-2019 - 00:00,5.43,18.76,20.02,28.94,6.48,1.7,1.62,4.02,2.21,180.08,1.53,468.49,0.0,37.11,0.53,59.09,90.97,161.07,31-Mar-2019 - 00:00,"F-Block, Sirsa - HSPCB"
31-Mar-2019 - 00:00,14.69,25.58,18.11,44.0,5.4,2.89,2.04,5.25,2.96,180.57,1.58,443.0,0.0,5.46,0.45,62.54,47.26,122.43,01-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-Apr-2019 - 00:00,16.15,18.24,8.02,25.67,4.23,2.06,1.56,3.89,2.16,180.18,1.57,441.39,0.0,7.7,0.4,52.65,45.89,151.4,02-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Apr-2019 - 00:00,15.25,16.82,10.73,26.11,5.73,4.58,2.31,4.58,2.61,179.91,1.54,486.18,0.0,8.42,1.09,47.02,59.64,143.21,03-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Apr-2019 - 00:00,17.36,17.26,12.24,21.95,5.84,9.0,2.16,5.23,3.15,179.4,3.54,429.55,0.0,8.49,1.52,54.41,63.82,142.57,04-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Apr-2019 - 00:00,15.39,16.67,12.79,21.33,6.32,6.11,1.74,4.2,2.6,179.11,1.47,493.23,0.0,9.66,1.55,65.82,71.92,143.55,05-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-Apr-2019 - 00:00,15.4,16.61,12.71,22.71,7.0,5.28,1.74,4.21,2.57,178.95,1.46,429.68,0.0,10.72,1.6,60.75,80.58,180.26,06-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-Apr-2019 - 00:00,17.75,19.38,14.62,25.73,5.98,7.91,1.98,4.98,3.18,178.57,1.43,479.66,0.0,9.97,1.53,53.28,75.48,242.91,07-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-Apr-2019 - 00:00,19.7,21.77,16.34,29.06,5.9,5.93,2.15,5.46,3.37,179.01,1.46,460.2,0.0,9.57,1.54,58.62,130.08,241.94,08-Apr-2019 - 00:00,"F-Block, Sirsa - HSPCB"
