from date,NO2,NOx,NO,NH3,Benzene,Toluene,Xylene,MP-Xylene,Eth-Benzene,WD,WS,SR,RF,SO2,CO,Ozone,PM2.5,PM10,to date,station
22-Aug-2019 - 00:00,8.68,9.5,5.48,8.89,0.97,0.13,0.12,0.23,1.19,174.8,1.92,432.2,0.0,14.21,1.43,36.82,37.79,110.36,23-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Aug-2019 - 00:00,11.82,6.9,4.99,9.12,1.19,0.14,0.14,0.27,1.15,172.47,2.12,462.49,0.0,18.21,1.48,30.7,41.49,99.26,24-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Aug-2019 - 00:00,9.74,6.05,4.01,8.63,1.61,0.16,0.16,0.27,1.3,172.93,2.09,393.71,0.0,11.64,1.01,36.61,50.62,122.69,25-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Aug-2019 - 00:00,8.05,5.31,3.35,9.18,1.72,0.15,0.17,0.29,1.03,174.46,2.23,385.05,0.0,3.89,0.66,38.63,73.11,99.07,26-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Aug-2019 - 00:00,5.37,6.24,3.37,7.99,1.04,2.72,0.79,0.47,0.94,175.12,2.25,293.85,0.0,4.31,0.64,24.06,45.62,58.7,27-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Aug-2019 - 00:00,3.56,7.49,3.65,7.82,0.23,0.15,3.07,0.21,0.63,173.96,1.94,410.78,0.0,6.74,0.53,20.85,47.69,76.34,28-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-Aug-2019 - 00:00,4.79,9.27,4.29,6.95,0.15,0.18,1.47,0.22,0.55,174.79,1.86,444.79,0.0,26.54,0.29,22.19,58.77,81.67,29-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-Aug-2019 - 00:00,7.12,12.24,5.33,6.66,0.12,0.18,6.18,0.22,0.83,175.12,1.94,397.14,0.0,10.32,0.38,25.01,76.32,113.98,30-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-Aug-2019 - 00:00,4.38,8.57,4.26,8.8,0.05,0.18,3.18,0.09,0.19,172.9,2.14,381.86,0.0,3.21,0.38,17.93,60.08,78.67,31-Aug-2019 - 00:00,"F-Block, Sirsa - HSPCB"
31-Aug-2019 - 00:00,5.07,9.26,4.28,8.17,0.15,0.18,2.65,0.07,0.16,173.2,2.09,383.95,0.0,3.51,0.4,15.69,78.6,109.0,01-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-Sep-2019 - 00:00,5.24,9.23,4.13,8.11,0.3,0.16,1.14,0.08,0.15,176.54,2.15,224.58,0.0,2.96,0.37,12.06,71.14,108.21,02-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Sep-2019 - 00:00,5.02,9.03,4.03,8.04,0.38,0.15,1.54,0.06,0.14,174.79,2.04,418.85,0.0,4.21,0.39,13.9,55.91,83.11,03-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Sep-2019 - 00:00,4.82,8.99,4.1,8.0,0.37,0.17,1.48,0.07,0.18,175.97,1.85,330.5,0.0,3.78,0.4,15.81,63.44,102.94,04-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Sep-2019 - 00:00,4.79,8.99,4.13,8.02,0.3,0.17,1.47,0.07,0.09,175.47,1.89,396.41,0.1,3.08,0.4,15.87,55.74,131.19,05-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-Sep-2019 - 00:00,5.89,7.08,2.81,8.76,0.91,8.36,2.03,0.95,0.48,175.38,2.15,412.51,0.0,2.51,0.38,21.65,109.72,137.14,06-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-Sep-2019 - 00:00,27.3,20.95,8.3,26.38,1.78,20.06,0.43,1.11,0.56,178.45,1.74,405.18,0.0,0.52,0.43,28.24,38.29,96.4,07-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-Sep-2019 - 00:00,46.23,38.72,18.13,41.04,1.66,20.21,0.35,0.87,0.4,176.42,1.89,323.53,0.0,1.51,0.38,25.14,81.13,129.35,08-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
08-Sep-2019 - 00:00,39.43,33.07,15.53,32.75,1.7,25.19,0.36,0.89,0.46,176.39,1.86,365.49,0.0,3.47,0.4,26.17,84.64,121.69,09-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-Sep-2019 - 00:00,34.3,29.79,14.78,27.55,1.91,24.66,0.45,1.13,0.43,175.52,1.93,337.47,0.0,3.51,0.43,29.41,124.4,192.5,10-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Sep-2019 - 00:00,26.73,25.31,14.13,20.2,2.01,10.49,0.48,1.26,0.4,175.89,1.92,349.7,0.0,3.13,0.44,32.85,98.65,196.96,11-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Sep-2019 - 00:00,22.33,22.86,13.95,16.31,2.03,0.14,0.47,1.1,0.36,176.31,1.87,419.87,0.0,2.35,0.43,36.87,94.78,169.53,12-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Sep-2019 - 00:00,20.3,21.66,13.77,15.01,2.39,0.15,0.57,1.42,0.58,175.64,2.0,349.91,0.0,2.99,0.49,32.47,100.21,171.38,13-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Sep-2019 - 00:00,19.3,21.18,13.83,12.4,2.22,0.16,0.7,1.74,1.03,175.63,2.32,217.04,0.0,3.34,0.48,23.72,134.49,177.11,14-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Sep-2019 - 00:00,16.93,19.97,13.86,11.27,1.5,0.11,0.36,0.83,0.38,172.23,2.39,106.61,0.05,3.23,0.39,24.68,89.52,124.26,15-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Sep-2019 - 00:00,17.45,20.22,13.83,10.78,1.64,0.13,0.36,0.83,0.42,172.65,2.45,106.63,0.01,3.37,0.4,25.11,73.9,109.18,16-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-Sep-2019 - 00:00,12.86,17.52,13.47,6.78,1.75,0.11,0.45,1.12,0.39,172.51,2.41,262.49,0.0,3.42,0.42,28.56,96.81,133.1,17-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Sep-2019 - 00:00,8.49,14.99,13.16,3.36,1.45,0.1,0.37,0.9,0.34,172.5,2.4,384.8,0.0,3.24,0.36,22.81,95.78,176.65,18-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Sep-2019 - 00:00,12.44,17.21,13.34,8.5,1.55,0.09,0.4,0.81,0.38,172.96,2.49,376.09,0.0,3.35,0.4,27.37,75.13,153.52,19-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Sep-2019 - 00:00,19.11,21.13,13.89,18.64,1.07,0.08,0.31,0.7,0.35,174.15,2.73,359.75,0.0,3.16,0.3,26.65,51.72,90.2,20-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Sep-2019 - 00:00,18.96,21.23,14.1,16.57,1.14,0.09,0.4,0.96,0.45,173.52,2.6,350.9,0.0,3.01,0.29,23.93,48.27,81.14,21-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Sep-2019 - 00:00,18.08,18.52,13.2,17.37,1.26,0.08,0.34,0.83,0.35,173.47,2.75,403.58,0.0,7.39,0.33,41.38,52.64,92.42,22-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-Sep-2019 - 00:00,18.66,10.55,16.78,99.17,1.48,17.55,16.74,17.71,8.64,175.88,2.93,480.83,0.0,3.15,0.46,51.73,50.15,106.02,23-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Sep-2019 - 00:00,13.5,4.44,13.94,26.13,0.57,8.24,1.51,2.01,0.29,176.88,3.09,343.33,0.0,3.01,0.28,45.7,34.69,72.16,24-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Sep-2019 - 00:00,12.63,3.62,13.39,5.77,0.52,0.44,1.05,1.35,0.2,176.53,3.01,382.65,0.0,3.16,0.24,46.52,40.33,77.63,25-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Sep-2019 - 00:00,16.68,9.43,14.65,31.12,0.47,0.38,0.95,1.25,0.17,176.61,3.02,403.77,0.0,3.34,0.31,54.13,46.38,81.76,26-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Sep-2019 - 00:00,22.39,16.91,16.89,48.22,0.48,0.5,0.93,1.22,0.15,176.77,3.04,395.4,0.0,3.25,0.28,41.97,36.24,78.02,27-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Sep-2019 - 00:00,22.03,16.9,16.45,32.2,0.43,0.36,0.88,1.13,0.13,176.86,3.05,362.91,0.0,3.1,0.27,40.29,43.05,83.66,28-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-Sep-2019 - 00:00,19.6,21.05,22.14,45.47,0.39,0.41,0.87,1.35,0.13,177.36,3.15,308.25,0.0,4.59,0.3,40.18,31.01,89.57,29-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-Sep-2019 - 00:00,12.3,19.41,7.76,38.86,0.48,0.43,0.93,1.38,0.16,178.0,3.28,293.82,0.0,3.07,0.27,26.95,33.07,63.61,30-Sep-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-Sep-2019 - 00:00,17.24,5.16,14.54,27.78,0.38,0.22,0.95,1.02,0.14,177.67,3.22,268.11,0.0,3.39,0.29,22.0,34.43,70.69,01-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-Oct-2019 - 00:00,22.02,20.65,10.75,17.84,0.44,0.3,1.02,1.19,0.2,177.1,3.11,301.9,0.0,3.53,0.38,38.31,59.22,99.81,02-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Oct-2019 - 00:00,36.3,31.78,25.28,6.73,0.45,0.45,1.0,1.18,0.21,177.07,3.09,287.65,0.0,3.03,0.38,51.66,74.86,125.37,03-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Oct-2019 - 00:00,18.12,8.78,3.3,2.76,0.49,0.47,1.14,1.22,0.22,177.92,3.25,244.11,0.01,3.75,0.36,61.6,75.77,118.32,04-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Oct-2019 - 00:00,25.31,11.9,6.37,6.13,0.31,0.19,1.0,0.88,0.16,179.43,3.58,163.19,0.0,3.17,0.23,42.64,28.26,62.14,05-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-Oct-2019 - 00:00,35.58,16.75,5.69,6.91,0.41,0.26,1.05,1.12,0.19,177.87,3.24,352.76,0.0,3.08,0.37,60.64,57.0,105.94,06-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-Oct-2019 - 00:00,46.4,21.85,4.99,11.12,0.55,0.22,1.27,1.4,0.24,178.1,3.28,278.03,0.0,3.0,0.39,65.14,69.09,126.48,07-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-Oct-2019 - 00:00,38.3,16.62,3.74,8.6,0.37,0.48,1.08,0.9,0.18,178.15,3.29,360.37,0.0,3.44,0.27,55.8,44.1,128.04,08-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
08-Oct-2019 - 00:00,41.53,20.81,4.57,14.94,0.55,0.69,1.33,1.18,0.22,178.49,3.36,368.26,0.0,3.58,0.32,65.67,46.24,103.9,09-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-Oct-2019 - 00:00,28.54,20.12,6.48,20.77,0.44,0.24,1.26,1.23,0.21,178.18,3.29,412.85,0.0,3.35,0.44,74.23,74.97,139.0,10-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Oct-2019 - 00:00,22.12,16.74,6.45,18.88,1.63,4.09,1.23,1.66,0.52,178.27,3.31,393.15,0.0,3.27,0.45,71.79,89.17,165.98,11-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Oct-2019 - 00:00,19.19,14.21,5.1,20.61,3.52,0.4,1.24,2.83,1.22,177.73,3.19,324.02,0.0,3.1,0.46,84.18,112.03,198.31,12-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Oct-2019 - 00:00,20.54,14.61,4.82,20.9,3.57,0.75,1.24,3.3,1.23,177.79,3.2,321.01,0.0,3.6,0.49,85.41,96.62,170.97,13-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Oct-2019 - 00:00,36.61,24.06,6.13,21.3,4.74,1.81,1.71,5.36,1.93,177.78,3.21,324.03,0.0,3.25,0.67,87.98,135.58,205.76,14-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Oct-2019 - 00:00,29.44,24.07,4.64,18.64,4.16,1.49,1.5,4.96,1.55,177.88,3.23,362.2,0.0,4.1,0.58,88.03,129.34,216.65,15-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Oct-2019 - 00:00,11.32,18.75,2.57,18.84,4.1,1.74,1.33,5.25,1.43,177.94,3.24,314.04,0.0,3.17,0.57,92.05,122.58,189.71,16-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-Oct-2019 - 00:00,8.1,13.31,2.42,17.3,4.66,1.24,1.31,4.53,1.59,178.11,3.26,324.78,0.0,2.96,0.71,100.61,179.66,227.01,17-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Oct-2019 - 00:00,17.03,28.21,3.8,14.47,5.83,1.55,1.45,4.86,1.88,178.32,3.3,274.26,0.0,4.1,0.85,100.35,207.35,290.36,18-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Oct-2019 - 00:00,22.09,34.15,6.2,5.06,4.68,1.83,1.08,4.14,1.32,180.31,3.7,184.53,0.01,4.21,0.64,58.9,136.18,237.53,19-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Oct-2019 - 00:00,21.63,32.09,7.37,2.81,3.19,1.29,0.82,3.02,0.99,179.26,3.49,334.01,0.0,3.63,0.46,68.92,92.87,127.34,20-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Oct-2019 - 00:00,28.41,46.16,5.32,5.1,4.3,8.94,2.99,5.69,3.21,179.18,3.47,342.68,0.0,4.06,0.45,87.38,103.46,153.11,21-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Oct-2019 - 00:00,54.41,91.1,8.43,3.22,5.36,0.97,1.54,4.96,1.8,179.36,3.51,360.75,0.0,3.22,0.57,89.82,118.34,171.53,22-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-Oct-2019 - 00:00,70.89,84.0,13.8,12.81,5.46,1.01,1.51,4.05,1.55,179.42,3.52,369.96,0.0,3.88,0.71,57.35,146.75,245.16,23-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Oct-2019 - 00:00,84.55,54.33,11.51,7.13,4.09,0.75,1.99,4.82,1.96,179.11,3.45,386.03,0.0,3.22,0.81,35.45,155.46,258.75,24-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Oct-2019 - 00:00,52.28,32.44,7.01,3.69,2.26,0.86,1.68,3.8,1.27,179.0,3.42,297.16,0.0,3.84,0.76,42.72,157.75,242.16,25-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Oct-2019 - 00:00,0.46,2.01,3.15,1.28,6.57,0.58,1.89,4.13,1.38,179.49,3.51,,0.0,3.58,1.0,42.46,174.56,339.41,26-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Oct-2019 - 00:00,2.37,2.86,3.06,1.45,4.23,0.52,1.93,4.1,1.4,180.21,3.71,,0.0,5.79,1.11,76.36,208.27,396.11,27-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Oct-2019 - 00:00,3.47,2.61,1.65,2.59,2.43,0.57,2.12,4.74,1.59,179.49,3.58,,0.0,1.55,1.28,86.51,222.07,467.27,28-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-Oct-2019 - 00:00,3.77,1.98,1.45,4.87,9.8,0.5,2.65,6.0,2.03,179.57,3.58,,0.0,7.45,1.45,76.16,297.49,490.04,29-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-Oct-2019 - 00:00,3.88,2.08,1.51,5.0,10.58,0.55,4.11,9.12,2.19,179.47,3.56,,0.0,8.12,1.62,62.73,232.17,487.03,30-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-Oct-2019 - 00:00,3.86,2.04,1.47,5.02,9.04,0.44,3.79,8.35,2.06,178.84,3.43,,0.0,2.15,1.19,66.87,167.91,377.49,31-Oct-2019 - 00:00,"F-Block, Sirsa - HSPCB"
31-Oct-2019 - 00:00,3.83,1.99,1.42,5.04,8.43,0.42,3.02,6.7,2.23,179.6,3.58,,0.0,10.09,1.25,83.44,219.65,448.16,01-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-Nov-2019 - 00:00,3.85,2.0,1.42,5.03,12.5,0.59,2.92,6.65,2.2,180.1,3.67,,0.0,10.36,2.21,92.55,448.57,692.69,02-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Nov-2019 - 00:00,3.87,2.02,1.43,5.02,19.38,0.98,3.49,8.0,1.73,181.24,3.89,,0.0,11.7,3.37,62.04,602.72,713.27,03-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Nov-2019 - 00:00,4.75,4.89,2.38,4.84,12.72,0.54,2.54,5.82,1.24,179.66,4.1,,0.0,11.61,1.91,45.25,379.83,656.38,04-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Nov-2019 - 00:00,3.56,9.1,5.38,2.96,8.32,0.36,1.78,4.03,1.39,180.54,3.75,,0.0,11.68,1.23,49.86,292.81,404.97,05-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-Nov-2019 - 00:00,3.81,9.53,4.98,4.52,8.26,0.4,2.91,6.74,1.91,180.92,3.73,,0.0,8.53,1.29,43.56,191.81,285.53,06-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-Nov-2019 - 00:00,3.87,9.56,4.96,4.94,7.25,0.35,3.2,7.04,2.04,181.35,3.79,,0.05,8.58,0.9,44.08,127.17,191.13,07-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-Nov-2019 - 00:00,1.07,2.33,2.23,0.97,2.47,0.11,0.84,1.51,1.1,181.82,3.96,,0.03,6.9,0.31,56.74,33.34,65.47,08-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
08-Nov-2019 - 00:00,0.9,0.99,1.48,1.93,3.41,5.3,3.37,4.53,3.73,182.72,4.13,,0.0,9.66,0.4,59.43,32.13,75.81,09-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-Nov-2019 - 00:00,1.66,1.0,1.47,3.05,3.47,1.53,1.15,2.48,1.13,182.54,4.08,,0.0,7.55,0.53,62.16,37.46,107.36,10-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Nov-2019 - 00:00,1.66,0.96,1.42,3.07,6.72,1.56,1.78,4.07,1.72,182.67,4.1,,0.0,8.41,1.02,68.74,89.37,231.42,11-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Nov-2019 - 00:00,1.58,0.97,1.44,2.67,6.92,1.39,1.86,4.25,1.51,182.97,4.15,,0.0,9.17,1.1,72.35,107.33,228.58,12-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Nov-2019 - 00:00,1.58,1.06,1.47,2.43,12.93,2.1,2.93,6.8,2.79,183.32,4.23,,0.0,10.63,2.07,61.2,228.54,516.71,13-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Nov-2019 - 00:00,1.56,1.4,1.83,3.07,10.39,1.78,2.0,4.57,1.85,181.92,3.94,,0.0,10.18,1.68,84.04,198.18,458.6,14-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Nov-2019 - 00:00,1.57,2.06,2.48,3.07,12.9,2.02,2.19,5.02,2.45,181.96,3.95,,0.0,9.75,2.06,62.27,250.42,553.98,15-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Nov-2019 - 00:00,1.79,2.13,2.47,3.75,5.17,1.72,1.17,2.3,1.11,181.46,3.86,,0.0,8.89,0.72,54.34,69.01,138.91,16-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
16-Nov-2019 - 00:00,1.61,2.1,2.49,3.05,3.18,1.83,1.04,2.31,1.15,182.79,4.13,,0.02,10.51,0.46,36.09,27.29,63.75,17-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
17-Nov-2019 - 00:00,1.63,2.09,2.46,3.06,4.05,1.95,1.36,3.05,1.37,182.63,4.08,,0.0,9.63,0.65,46.74,33.76,79.01,18-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
18-Nov-2019 - 00:00,1.69,2.22,2.53,3.02,5.28,1.61,1.27,2.92,1.15,182.59,4.34,,0.0,9.98,0.88,50.18,60.56,166.23,19-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
19-Nov-2019 - 00:00,2.04,2.16,2.59,3.04,9.45,8.43,3.78,7.14,3.61,182.53,4.05,,0.0,9.64,1.44,43.38,110.18,252.44,20-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
20-Nov-2019 - 00:00,2.73,2.24,2.51,3.0,9.0,1.2,2.9,6.59,2.83,183.22,4.19,,0.0,10.41,1.51,49.91,143.28,331.11,21-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
21-Nov-2019 - 00:00,2.65,2.12,2.47,3.04,7.36,1.03,2.22,4.96,2.11,183.01,4.16,,0.0,8.12,1.13,57.81,93.18,216.75,22-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
22-Nov-2019 - 00:00,2.68,2.2,2.52,3.02,6.5,1.05,1.68,3.62,1.77,182.83,4.11,,0.0,10.66,1.02,47.57,83.33,207.37,23-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
23-Nov-2019 - 00:00,2.6,2.25,2.65,3.0,5.4,0.96,1.31,2.8,1.16,182.97,4.14,,0.0,11.3,0.82,34.45,63.93,153.37,24-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
24-Nov-2019 - 00:00,2.68,2.25,2.57,3.01,5.6,1.81,1.67,3.64,1.48,183.39,4.22,,0.0,10.78,0.88,33.55,66.83,155.15,25-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
25-Nov-2019 - 00:00,2.69,2.26,2.57,3.01,5.66,1.18,1.78,3.93,1.49,183.41,4.23,,0.0,10.81,0.9,32.8,68.3,153.12,26-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
26-Nov-2019 - 00:00,2.68,2.02,2.35,3.09,4.57,1.0,1.61,3.51,1.38,184.38,4.43,,0.01,9.29,0.71,23.04,50.85,112.64,27-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
27-Nov-2019 - 00:00,2.63,2.63,2.99,3.14,3.05,4.24,1.64,3.02,1.29,183.11,4.17,,0.0,8.27,0.45,17.93,23.94,57.53,28-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
28-Nov-2019 - 00:00,2.7,3.26,3.56,3.0,3.91,9.15,3.17,5.03,2.84,183.35,4.23,,0.01,11.68,0.53,23.24,27.0,65.37,29-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
29-Nov-2019 - 00:00,2.68,3.11,3.44,3.05,4.35,1.85,1.41,3.15,1.5,184.29,4.41,,0.02,10.68,0.61,12.27,38.39,80.39,30-Nov-2019 - 00:00,"F-Block, Sirsa - HSPCB"
30-Nov-2019 - 00:00,2.71,3.13,3.42,3.05,5.76,1.91,1.93,4.44,2.41,184.76,4.5,,0.0,7.52,0.79,11.98,54.64,151.25,01-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
01-Dec-2019 - 00:00,2.68,2.98,3.31,3.1,9.85,2.03,3.13,7.37,3.47,184.82,4.52,,0.0,7.19,1.35,36.46,96.9,236.42,02-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
02-Dec-2019 - 00:00,2.67,3.14,3.47,3.03,8.58,1.76,2.33,5.44,2.19,184.81,4.52,,0.0,7.03,1.13,37.04,88.51,210.78,03-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
03-Dec-2019 - 00:00,2.73,3.22,3.49,3.02,6.92,1.84,1.94,4.45,1.98,184.71,4.51,,0.0,7.97,0.88,37.27,72.7,196.81,04-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
04-Dec-2019 - 00:00,2.67,3.24,3.57,3.01,10.85,2.15,2.58,5.85,2.7,184.52,4.48,,0.0,9.78,1.19,29.02,96.51,230.05,05-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
05-Dec-2019 - 00:00,2.74,3.18,3.45,3.03,10.39,1.88,2.95,6.98,2.67,185.24,4.62,,0.0,8.21,1.43,33.23,101.76,237.11,06-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
06-Dec-2019 - 00:00,2.64,3.21,3.57,3.02,9.19,1.79,2.29,6.29,2.56,185.65,4.71,,0.0,11.42,1.25,27.68,106.97,240.64,07-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
07-Dec-2019 - 00:00,2.71,3.18,3.47,3.04,6.9,1.72,2.02,5.63,2.95,184.92,4.58,,0.0,9.22,0.91,35.9,66.78,154.93,08-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
08-Dec-2019 - 00:00,2.63,3.14,3.51,3.04,8.73,1.97,2.39,7.54,2.94,185.05,4.61,,0.0,8.23,1.03,34.9,67.93,161.49,09-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
09-Dec-2019 - 00:00,2.73,3.08,3.36,3.06,8.33,1.72,2.23,5.89,1.97,185.42,4.69,,0.0,9.44,1.05,34.47,83.14,193.34,10-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
10-Dec-2019 - 00:00,2.7,3.23,3.53,3.01,10.86,1.54,3.19,6.48,3.09,185.7,4.75,,0.0,9.12,1.26,35.46,84.53,205.41,11-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
11-Dec-2019 - 00:00,3.2,3.1,3.33,5.19,10.22,1.65,3.25,5.69,2.62,185.76,4.77,,0.0,7.99,1.3,35.86,97.15,245.25,12-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
12-Dec-2019 - 00:00,2.62,3.02,3.4,3.08,7.96,2.19,1.97,4.14,1.96,186.1,4.85,,0.1,20.22,1.03,25.41,83.49,197.69,13-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
13-Dec-2019 - 00:00,2.67,3.18,3.51,3.03,5.41,1.36,2.34,4.14,2.55,186.55,4.92,,0.0,13.21,0.62,26.72,36.3,84.39,14-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
14-Dec-2019 - 00:00,2.63,3.12,3.49,3.06,4.7,0.95,1.43,3.45,1.33,186.91,5.02,,0.0,10.1,0.53,19.73,32.84,71.25,15-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
15-Dec-2019 - 00:00,2.68,3.02,3.35,3.08,5.3,0.97,1.73,3.82,1.63,187.32,5.1,,0.0,3.39,0.61,16.25,36.15,81.28,16-Dec-2019 - 00:00,"F-Block, Sirsa - HSPCB"
