from date,NO2,NOx,NO,NH3,SO2,Ozone,CO,PM10,PM2.5,Benzene,Toluene,AT,Temp,BP,RH,RF,WS,WD,SR,to date,station
11-Jan-2019 - 00:00,75.63,110.29,106.9,58.3,10.46,41.07,1.67,348.96,259.36,8.89,29.07,13.39,31.81,742.24,53.41,0.0,0.66,160.83,41.29,12-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Jan-2019 - 00:00,78.49,90.92,79.04,48.01,9.53,41.43,1.93,399.92,294.73,10.86,40.38,14.04,32.16,742.11,52.75,0.0,0.74,198.69,42.96,13-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Jan-2019 - 00:00,66.62,68.22,46.16,38.89,8.65,36.23,1.64,389.8,285.85,8.96,28.79,14.61,32.07,742.42,56.43,0.0,1.31,182.0,38.2,14-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Jan-2019 - 00:00,54.37,34.09,6.24,22.21,8.78,42.76,0.96,209.21,98.16,2.93,15.67,12.18,32.36,742.3,50.81,0.0,4.83,264.66,52.33,15-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Jan-2019 - 00:00,70.87,55.12,21.3,21.7,7.68,26.1,1.29,259.92,152.82,5.59,30.54,10.15,32.52,742.14,53.69,0.0,2.41,322.0,37.34,16-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Jan-2019 - 00:00,68.56,95.86,77.94,27.45,10.11,35.62,1.81,369.28,255.15,9.43,49.49,11.9,32.66,742.22,54.82,0.0,0.75,211.95,43.54,17-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Jan-2019 - 00:00,63.99,53.63,26.89,22.34,9.54,51.58,2.47,396.65,295.11,8.36,24.18,12.58,32.51,742.05,57.05,0.0,1.27,200.88,45.28,18-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Jan-2019 - 00:00,75.2,52.21,15.03,17.35,7.23,5.89,1.39,317.58,259.5,6.27,19.12,8.28,32.59,742.0,68.19,0.0,2.72,201.46,7.0,19-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Jan-2019 - 00:00,75.8,75.63,52.29,20.32,11.48,48.84,1.89,331.57,238.06,8.5,59.68,15.59,31.44,742.06,53.62,0.0,1.22,303.54,54.58,20-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Jan-2019 - 00:00,63.0,50.51,27.06,28.68,10.9,44.13,1.64,327.12,235.02,7.89,20.88,18.09,32.88,742.0,54.46,0.0,0.98,267.22,52.04,21-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Jan-2019 - 00:00,25.97,14.48,2.84,16.7,8.27,60.62,1.06,211.17,144.13,5.15,9.73,16.01,32.5,810.98,60.35,0.25,6.21,178.96,30.06,22-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Jan-2019 - 00:00,17.71,10.18,2.88,13.95,30.98,54.16,0.79,59.34,50.44,1.75,5.49,14.11,32.04,890.66,67.9,0.33,3.93,150.15,36.54,23-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Jan-2019 - 00:00,40.15,47.09,33.64,13.85,152.89,30.16,1.01,150.1,114.13,4.46,13.84,13.63,31.87,891.0,65.03,0.0,1.39,105.0,60.8,24-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Jan-2019 - 00:00,31.03,28.13,14.41,16.47,,30.99,1.33,163.79,110.44,4.06,12.7,14.73,31.36,891.0,61.35,0.0,1.99,119.05,60.93,25-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Jan-2019 - 00:00,21.33,14.15,,16.01,,45.47,0.44,97.28,65.29,1.71,7.95,13.28,30.7,891.0,60.17,0.02,3.13,88.45,62.52,26-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Jan-2019 - 00:00,30.8,20.69,,13.12,,47.73,0.51,149.66,97.42,2.75,13.51,11.77,30.57,891.0,56.99,0.0,3.85,128.26,70.1,27-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Jan-2019 - 00:00,45.98,33.0,,11.92,,37.7,0.59,185.31,116.48,2.64,9.79,10.45,30.46,891.0,54.83,0.0,3.5,216.74,61.57,28-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Jan-2019 - 00:00,49.9,41.23,,10.88,,36.08,1.15,185.1,112.71,3.22,23.77,10.79,30.67,863.25,52.84,0.0,2.9,262.0,71.83,29-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Jan-2019 - 00:00,51.03,44.52,,8.8,,38.85,0.89,201.75,123.56,3.49,31.75,11.75,28.99,742.85,51.79,0.0,2.55,269.24,71.4,30-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-Jan-2019 - 00:00,81.49,84.13,,14.79,,40.46,1.1,321.76,209.98,6.62,64.53,12.18,31.54,742.52,54.47,0.0,1.15,301.38,53.25,31-Jan-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
31-Jan-2019 - 00:00,35.85,33.74,,13.26,,63.23,0.72,212.07,153.6,4.49,12.25,14.92,33.41,742.19,51.54,0.0,3.31,226.72,56.47,01-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Feb-2019 - 00:00,26.7,17.57,,10.6,,60.38,0.85,195.73,158.67,4.04,14.66,15.14,32.87,742.2,56.53,0.01,2.56,154.73,57.23,02-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Feb-2019 - 00:00,40.56,31.43,,10.45,,22.69,1.67,292.8,228.78,4.25,27.92,11.23,31.66,742.2,69.33,0.0,4.34,81.84,48.6,03-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Feb-2019 - 00:00,36.58,28.17,,10.65,,21.64,1.41,219.14,162.32,4.41,22.29,11.16,33.19,742.56,72.25,0.0,2.78,218.8,39.83,04-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Feb-2019 - 00:00,46.02,55.16,24.15,10.67,18.36,32.53,2.08,191.59,150.31,5.57,33.07,12.01,29.67,742.77,67.02,0.0,0.88,279.84,56.49,05-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Feb-2019 - 00:00,48.29,54.83,35.0,14.74,6.07,54.77,2.23,289.71,204.69,6.44,25.62,16.51,30.32,887.66,59.21,0.0,0.81,205.73,59.54,06-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Feb-2019 - 00:00,21.85,21.48,12.0,12.75,5.7,44.04,1.38,215.34,176.15,5.94,15.34,17.36,30.02,891.0,64.98,0.02,3.08,173.93,54.15,07-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Feb-2019 - 00:00,8.49,6.37,2.16,10.26,4.26,54.56,0.53,73.86,55.26,1.52,3.2,16.05,31.85,891.0,68.52,0.36,7.32,184.79,25.51,08-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Feb-2019 - 00:00,32.32,22.58,6.51,8.45,4.97,50.32,0.5,125.93,61.17,1.95,10.75,13.85,31.61,891.0,60.49,0.0,2.97,240.36,75.22,09-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Feb-2019 - 00:00,51.68,42.93,18.87,7.46,8.36,41.9,0.75,164.34,75.65,2.07,12.96,12.86,31.13,891.0,58.42,0.0,3.27,306.52,77.33,10-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Feb-2019 - 00:00,58.38,62.66,38.77,14.63,7.35,47.33,1.12,246.43,130.89,4.27,47.63,13.52,30.38,891.0,56.32,0.0,0.89,328.18,65.76,11-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Feb-2019 - 00:00,54.85,53.0,29.19,14.33,7.23,60.85,1.11,235.95,143.66,4.05,20.27,14.52,30.58,891.0,55.62,0.0,0.4,285.32,67.07,12-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Feb-2019 - 00:00,63.56,73.04,48.14,16.22,8.05,46.39,1.36,284.03,184.11,7.59,25.47,16.27,30.97,891.0,56.43,0.0,0.35,253.86,60.53,13-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Feb-2019 - 00:00,48.71,41.19,19.1,14.38,7.09,51.12,1.32,281.26,205.93,5.48,15.05,17.68,31.98,891.0,57.34,0.0,0.4,230.52,58.57,14-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Feb-2019 - 00:00,20.06,12.72,2.4,11.22,5.47,62.55,1.01,203.79,157.2,5.78,8.0,16.71,31.78,891.0,61.53,0.16,4.71,207.78,45.44,15-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Feb-2019 - 00:00,24.54,17.03,4.77,10.74,4.65,36.99,0.64,114.54,86.89,2.75,12.11,16.55,31.77,891.0,63.26,0.0,2.28,173.77,47.54,16-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Feb-2019 - 00:00,37.95,30.11,12.1,9.28,4.51,21.26,0.89,181.96,118.54,3.14,17.87,14.65,31.82,891.0,68.54,0.0,4.32,306.68,33.65,17-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Feb-2019 - 00:00,51.29,43.65,20.0,8.6,6.28,32.02,0.76,159.29,95.4,3.49,23.18,14.45,31.53,891.0,65.0,0.0,2.92,318.78,68.16,18-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Feb-2019 - 00:00,33.56,28.04,12.42,11.43,5.12,50.79,0.7,157.82,91.47,3.41,9.74,16.93,31.64,891.0,55.78,0.0,2.58,245.95,57.16,19-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Feb-2019 - 00:00,25.26,15.81,2.81,11.88,5.41,55.22,0.77,161.39,95.71,3.63,7.45,18.94,32.41,891.0,58.56,0.0,1.97,217.81,63.86,20-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Feb-2019 - 00:00,21.49,13.78,2.75,10.09,5.21,37.94,0.89,123.79,75.39,3.45,9.63,17.86,31.63,891.0,62.1,0.01,1.82,189.17,25.82,21-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Feb-2019 - 00:00,24.07,22.42,11.7,10.8,5.99,37.8,0.99,147.89,67.05,3.64,9.85,20.52,31.32,891.0,55.1,0.0,1.88,220.39,67.4,22-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Feb-2019 - 00:00,33.31,49.08,38.33,18.16,5.28,9.52,1.13,207.59,116.59,4.34,24.32,17.54,32.38,891.0,67.35,0.0,3.84,221.43,46.61,23-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Feb-2019 - 00:00,32.06,22.05,6.0,8.13,6.04,59.22,0.4,123.5,51.45,1.58,10.55,15.45,32.05,891.0,53.06,0.0,5.32,276.07,95.39,24-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Feb-2019 - 00:00,46.76,35.68,13.18,13.03,7.49,61.29,0.7,165.3,88.8,2.81,20.44,16.36,30.53,891.0,52.09,0.0,1.66,269.48,81.17,25-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Feb-2019 - 00:00,27.76,25.24,12.78,15.86,7.5,65.56,0.6,156.27,96.72,2.97,8.43,16.87,31.06,891.0,51.51,0.01,1.16,162.59,69.5,26-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Feb-2019 - 00:00,15.1,10.99,3.53,12.16,4.64,52.92,0.39,64.72,37.79,1.64,4.2,13.67,31.04,891.0,58.65,0.07,2.24,194.49,36.52,27-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Feb-2019 - 00:00,23.35,18.87,7.82,11.54,5.51,40.63,0.34,70.92,42.92,1.36,4.83,13.24,30.34,891.0,62.43,0.0,2.36,185.81,63.75,28-Feb-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Feb-2019 - 00:00,41.73,50.28,34.44,12.93,7.14,45.24,0.66,149.73,91.86,2.74,17.96,13.44,30.34,891.0,56.52,0.0,3.18,274.93,79.26,01-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Mar-2019 - 00:00,56.67,49.99,24.29,12.85,7.84,45.43,0.79,174.92,104.88,3.12,20.18,15.24,31.22,891.0,52.04,0.0,2.58,299.15,84.34,02-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Mar-2019 - 00:00,38.64,32.83,14.97,13.7,7.9,34.01,0.97,161.91,113.94,3.97,22.34,14.35,30.65,891.0,60.3,0.13,1.52,205.45,29.04,03-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Mar-2019 - 00:00,21.43,28.54,20.96,12.74,5.17,39.97,0.78,88.89,59.45,2.57,9.04,15.24,30.66,891.0,66.55,0.06,1.84,182.74,47.92,04-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Mar-2019 - 00:00,36.5,71.26,63.34,26.48,5.71,1.88,1.14,172.85,96.15,5.62,25.72,13.3,30.32,891.0,73.81,0.0,0.38,169.92,7.0,05-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Mar-2019 - 00:00,37.48,32.99,15.92,12.76,8.58,50.24,0.48,147.85,74.23,1.85,12.11,17.06,31.06,891.0,57.94,0.0,3.33,295.1,112.93,06-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Mar-2019 - 00:00,49.93,49.2,27.74,11.66,7.16,46.02,0.79,198.4,87.61,2.95,30.19,17.18,31.21,891.0,54.48,0.0,3.18,280.5,102.38,07-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Mar-2019 - 00:00,68.95,87.3,62.0,14.8,7.84,3.06,1.34,246.05,137.5,4.88,40.26,12.74,30.49,891.0,63.39,0.0,1.06,343.21,32.26,08-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Mar-2019 - 00:00,48.94,47.63,33.73,16.1,8.01,52.48,0.93,200.23,92.64,3.4,14.46,20.04,31.52,891.0,47.77,0.0,2.48,233.0,110.5,09-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Mar-2019 - 00:00,38.68,27.68,10.5,19.65,20.94,44.9,0.97,174.92,77.47,2.62,7.57,19.18,29.92,830.89,51.09,0.0,4.47,262.06,96.46,10-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Mar-2019 - 00:00,68.72,51.48,18.23,27.9,48.22,67.56,1.32,207.38,92.64,3.55,14.1,19.46,30.59,740.0,48.29,0.0,2.43,266.35,109.14,11-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Mar-2019 - 00:00,33.17,19.79,2.43,36.56,37.37,85.47,0.96,178.08,77.18,3.19,6.51,20.54,30.65,740.0,44.48,0.0,4.98,270.15,133.18,12-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Mar-2019 - 00:00,39.56,24.91,4.61,31.84,32.79,51.69,0.83,130.96,59.39,2.35,5.41,20.42,30.77,740.0,52.13,0.0,3.79,181.7,94.2,13-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Mar-2019 - 00:00,56.95,40.01,11.83,32.29,53.08,44.99,1.16,219.98,92.91,3.37,9.52,19.09,31.1,740.0,52.47,0.0,2.44,187.65,56.56,14-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Mar-2019 - 00:00,44.92,39.79,19.43,37.67,41.77,46.92,1.08,209.85,103.79,3.69,10.39,17.83,31.03,740.0,56.4,0.0,4.56,172.71,76.46,15-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Mar-2019 - 00:00,46.38,32.39,9.37,26.57,39.61,55.03,0.82,117.9,65.88,2.8,6.05,17.82,30.36,740.0,54.43,0.0,4.06,263.81,112.96,16-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Mar-2019 - 00:00,56.1,36.87,8.52,25.48,45.7,65.37,0.92,152.63,67.03,2.28,15.99,19.21,29.3,740.0,51.58,0.0,3.56,287.09,111.21,17-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Mar-2019 - 00:00,58.76,41.41,12.35,30.3,53.97,80.79,1.32,188.94,94.27,3.69,21.23,21.44,30.36,740.0,47.81,0.0,2.8,268.25,125.99,18-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
18-Mar-2019 - 00:00,66.27,52.71,21.37,36.11,57.6,53.93,1.14,235.82,106.65,4.04,21.25,21.16,31.68,740.0,49.12,0.0,2.51,269.73,107.72,19-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
19-Mar-2019 - 00:00,64.28,53.48,23.61,45.82,45.77,62.12,1.18,253.19,116.01,4.77,31.38,22.51,31.07,740.0,48.3,0.0,1.64,311.91,105.83,20-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
20-Mar-2019 - 00:00,22.73,13.1,1.44,48.88,46.11,86.53,1.03,195.64,91.35,3.91,7.49,25.2,28.84,740.0,44.3,0.0,3.4,291.31,101.21,21-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
21-Mar-2019 - 00:00,13.05,8.22,1.54,43.77,39.2,65.98,0.78,139.98,67.68,2.43,4.13,24.62,27.33,740.0,45.13,0.0,3.24,204.13,111.58,22-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
22-Mar-2019 - 00:00,12.35,8.56,2.9,31.19,42.81,43.39,1.15,115.17,54.33,2.5,2.55,17.68,26.81,740.0,53.86,0.0,4.18,262.69,45.44,23-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
25-Mar-2019 - 00:00,25.43,15.76,3.3,33.12,39.76,76.38,0.54,163.25,57.71,2.13,5.7,25.44,31.58,740.0,44.87,0.0,4.33,226.4,114.54,26-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
26-Mar-2019 - 00:00,39.48,29.44,15.44,32.81,56.69,47.79,1.27,189.03,86.04,3.61,13.86,22.17,30.0,740.0,50.61,0.0,4.43,285.97,116.15,27-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
27-Mar-2019 - 00:00,48.21,32.07,16.32,34.55,63.12,64.73,1.51,202.23,88.98,3.5,23.64,23.85,29.79,740.0,46.33,0.0,3.56,289.06,105.01,28-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
28-Mar-2019 - 00:00,58.61,52.48,41.76,40.58,62.36,71.34,2.06,232.54,112.88,5.67,24.72,26.29,29.67,740.0,45.43,0.0,1.41,315.15,107.86,29-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
29-Mar-2019 - 00:00,50.98,64.55,110.42,56.27,47.98,65.29,2.45,251.99,127.55,5.92,15.48,28.48,30.29,740.0,46.52,0.0,1.24,279.89,105.81,30-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
30-Mar-2019 - 00:00,36.07,38.39,50.25,49.24,39.48,58.76,1.92,226.25,104.58,5.18,10.62,29.7,31.29,740.0,43.41,0.0,1.4,271.21,111.43,31-Mar-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
31-Mar-2019 - 00:00,31.19,18.25,7.11,35.48,44.02,68.35,1.0,202.27,59.82,2.5,7.55,27.41,29.84,740.0,41.44,0.0,5.35,259.19,117.44,01-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
01-Apr-2019 - 00:00,33.08,17.73,4.63,31.05,48.96,87.48,0.75,190.43,58.12,2.44,8.23,25.77,29.57,740.0,40.7,0.0,4.93,271.74,121.85,02-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
02-Apr-2019 - 00:00,48.7,35.31,20.41,37.64,60.12,69.91,1.35,233.33,105.66,5.39,13.33,26.58,30.96,740.0,41.4,0.0,1.54,269.15,115.43,03-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
03-Apr-2019 - 00:00,51.46,48.85,26.31,40.98,65.18,55.24,1.72,287.1,130.91,6.09,26.05,27.98,28.03,740.0,39.78,0.0,1.74,254.14,116.03,04-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
04-Apr-2019 - 00:00,41.59,50.41,35.87,57.09,56.1,86.95,1.49,240.58,119.24,5.63,14.69,30.0,29.48,740.0,40.55,0.0,1.11,216.75,113.42,05-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
05-Apr-2019 - 00:00,53.35,50.49,27.85,67.56,57.73,81.65,1.72,233.15,133.28,5.64,11.86,30.88,29.25,740.0,42.34,0.0,1.13,244.55,108.28,06-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
06-Apr-2019 - 00:00,22.88,15.59,4.09,70.43,46.17,65.44,1.34,288.93,105.12,4.2,13.31,31.59,28.68,740.0,41.45,0.0,2.28,175.4,99.15,07-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
07-Apr-2019 - 00:00,16.65,12.8,7.59,71.97,42.16,53.43,1.18,205.65,98.06,3.97,6.13,29.11,28.15,740.0,49.18,0.0,4.45,206.27,91.62,08-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
08-Apr-2019 - 00:00,12.9,9.54,3.46,42.35,34.93,72.91,1.04,248.64,73.61,1.74,4.04,28.45,28.21,740.0,43.8,0.0,2.82,165.68,104.3,09-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
09-Apr-2019 - 00:00,22.85,18.35,7.51,41.96,51.54,76.94,1.7,171.65,83.85,3.41,6.09,29.53,29.13,740.0,42.65,0.0,1.87,145.11,110.54,10-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
10-Apr-2019 - 00:00,54.81,68.74,48.58,47.07,47.56,75.81,1.46,219.72,104.28,4.92,15.32,31.5,31.64,740.0,40.86,0.0,1.6,185.71,113.84,11-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
11-Apr-2019 - 00:00,46.51,44.31,23.97,48.12,46.9,62.74,1.21,244.92,102.14,4.68,11.29,32.35,31.21,740.0,39.49,0.0,1.6,194.82,109.54,12-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
12-Apr-2019 - 00:00,32.68,26.34,10.9,42.93,43.96,69.37,0.98,236.58,73.23,3.28,8.04,30.33,30.73,740.0,40.82,0.0,3.35,154.93,103.73,13-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
13-Apr-2019 - 00:00,37.33,26.83,8.45,37.86,56.07,66.65,1.05,221.3,82.6,3.95,7.7,30.8,29.78,740.0,39.46,0.0,4.19,219.95,117.18,14-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
14-Apr-2019 - 00:00,35.35,22.61,4.57,32.56,62.69,59.36,0.8,192.57,63.74,2.98,7.38,31.07,29.03,740.0,38.19,0.0,4.88,245.73,117.22,15-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
15-Apr-2019 - 00:00,39.32,30.2,11.31,31.79,34.3,59.07,0.89,210.62,52.72,2.58,8.02,32.91,30.07,740.0,34.62,0.0,3.56,274.62,119.46,16-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
16-Apr-2019 - 00:00,16.77,12.96,4.87,32.15,26.65,61.41,0.62,242.23,55.71,1.54,6.13,25.23,28.79,740.0,49.01,0.0,5.67,198.35,50.29,17-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
17-Apr-2019 - 00:00,9.18,6.37,1.72,30.44,21.36,67.55,0.44,54.36,21.12,0.84,1.5,22.22,28.31,740.0,55.1,0.02,4.9,206.43,78.36,18-Apr-2019 - 00:00,"Yamunapuram, Bulandshahr - UPPCB"
