from date,PM10,PM2.5,WD,WS,RH,SO2,NOx,NH3,CO,Ozone,NO,NO2,to date,station
21-Jan-2019 - 00:00,102.41,53.54,145.75,0.69,39.45,6.8,42.36,7.99,0.87,31.84,4.35,38.02,22-Jan-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Jan-2019 - 00:00,107.37,63.72,220.47,0.95,64.23,7.62,22.31,15.53,0.78,36.72,2.59,19.72,23-Jan-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Jan-2019 - 00:00,112.31,61.28,201.7,1.19,49.89,8.38,27.62,5.99,0.81,34.12,3.9,23.72,24-Jan-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Jan-2019 - 00:00,118.36,53.58,199.62,0.78,48.95,8.17,30.11,6.16,0.79,37.11,2.98,27.13,25-Jan-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Jan-2019 - 00:00,125.28,58.1,204.08,1.39,61.36,8.65,31.06,11.78,0.79,32.36,3.84,27.23,26-Jan-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Jan-2019 - 00:00,115.37,53.91,197.64,1.0,52.49,7.34,32.33,10.07,0.79,36.64,3.97,28.36,27-Jan-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Jan-2019 - 00:00,111.8,67.72,154.04,0.63,62.22,8.9,17.72,10.28,0.77,37.67,2.32,15.4,28-Jan-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Jan-2019 - 00:00,70.71,44.37,84.5,0.76,63.92,9.27,11.7,8.66,0.61,31.76,1.82,9.88,29-Jan-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Jan-2019 - 00:00,65.81,32.69,82.9,0.42,57.93,9.66,21.61,6.33,0.64,33.03,3.01,18.6,30-Jan-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Jan-2019 - 00:00,99.01,44.85,97.13,0.31,43.42,9.96,32.85,3.92,0.8,46.08,8.21,24.64,31-Jan-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-Jan-2019 - 00:00,105.89,44.55,126.59,0.31,39.46,11.5,38.36,7.17,0.78,32.26,4.98,33.39,01-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Feb-2019 - 00:00,101.39,50.6,150.04,0.32,44.89,11.07,35.54,8.25,0.72,35.25,4.67,30.79,02-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Feb-2019 - 00:00,116.78,48.02,94.82,0.31,30.44,16.42,67.96,6.86,0.9,45.63,22.76,47.89,03-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Feb-2019 - 00:00,101.71,46.95,130.77,0.31,41.46,17.05,44.97,8.97,0.72,30.38,5.47,39.48,04-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Feb-2019 - 00:00,,,,,,,,,,,,,13-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Feb-2019 - 00:00,,,,,,,,,,,,,14-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Feb-2019 - 00:00,,,,,,,,,,,,,15-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Feb-2019 - 00:00,120.24,52.8,242.03,0.37,47.69,18.02,48.06,9.01,0.95,34.84,4.51,43.55,16-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Feb-2019 - 00:00,83.23,37.76,218.49,0.39,37.8,17.11,24.77,8.9,0.7,37.77,2.8,21.97,17-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Feb-2019 - 00:00,114.25,43.98,215.27,0.45,36.85,17.04,36.43,7.44,0.88,23.46,7.56,28.87,18-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Feb-2019 - 00:00,123.94,61.01,195.11,0.33,35.65,19.14,38.0,7.2,1.08,33.25,6.3,31.69,19-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Feb-2019 - 00:00,124.56,58.71,207.56,0.37,42.69,21.7,41.24,9.65,0.99,37.42,8.39,32.85,20-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Feb-2019 - 00:00,132.84,57.02,179.59,0.4,44.75,20.49,38.83,10.73,0.96,24.98,6.09,32.75,21-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Feb-2019 - 00:00,113.57,39.63,129.74,0.38,33.96,19.51,37.41,6.38,0.83,20.55,6.85,30.56,22-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Feb-2019 - 00:00,111.57,31.45,106.33,0.41,24.7,19.55,33.47,5.25,0.69,30.46,3.56,29.91,23-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Feb-2019 - 00:00,97.35,32.03,129.01,0.35,18.89,19.46,54.99,5.13,0.9,31.41,13.27,41.72,24-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Feb-2019 - 00:00,114.6,46.93,190.34,0.45,25.03,19.33,34.66,5.13,0.93,47.48,7.8,26.87,25-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Feb-2019 - 00:00,103.11,45.67,184.48,0.41,35.05,17.81,26.41,6.14,0.83,50.45,2.39,24.03,26-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Feb-2019 - 00:00,117.76,51.96,208.06,0.48,37.49,17.63,23.79,10.16,0.82,42.98,2.74,21.06,27-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Feb-2019 - 00:00,128.45,43.45,231.52,0.58,35.59,16.72,28.16,7.87,0.78,42.71,2.37,25.8,28-Feb-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Feb-2019 - 00:00,116.26,40.68,208.99,0.37,36.98,16.86,30.3,7.09,0.77,26.32,3.91,26.39,01-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Mar-2019 - 00:00,109.88,41.03,196.47,0.49,31.24,18.27,37.96,6.69,0.88,21.23,6.26,31.7,02-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Mar-2019 - 00:00,112.88,42.36,191.56,0.78,28.06,19.25,40.23,7.23,0.88,37.02,7.9,32.34,03-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Mar-2019 - 00:00,99.06,45.39,228.59,0.39,40.4,16.37,21.95,5.38,0.79,35.7,2.14,19.81,04-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Mar-2019 - 00:00,101.94,42.33,232.12,0.5,51.41,17.11,24.47,5.96,0.78,33.5,3.63,20.84,05-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Mar-2019 - 00:00,117.16,42.66,233.68,0.76,55.99,22.11,25.63,12.42,0.72,13.85,5.57,20.07,06-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Mar-2019 - 00:00,199.99,64.72,236.61,0.57,49.85,19.87,25.32,10.99,0.76,25.65,3.64,21.69,07-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Mar-2019 - 00:00,137.71,50.54,181.46,0.94,41.28,17.74,28.45,9.01,0.9,34.85,3.98,24.48,08-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Mar-2019 - 00:00,148.55,54.15,175.43,0.78,22.6,18.08,48.71,6.62,1.03,50.99,16.17,32.66,09-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Mar-2019 - 00:00,131.8,53.38,197.4,0.57,33.85,16.97,29.84,8.81,0.89,51.15,3.56,26.29,10-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Mar-2019 - 00:00,121.74,50.27,189.98,0.48,34.25,16.06,22.74,6.97,0.75,41.67,2.52,20.23,11-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Mar-2019 - 00:00,136.58,56.97,215.56,0.49,53.98,16.98,25.61,11.17,0.84,39.06,3.4,22.22,12-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Mar-2019 - 00:00,140.31,50.44,221.7,0.98,35.16,17.22,35.41,8.94,0.92,45.1,3.21,32.21,13-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Mar-2019 - 00:00,132.02,49.36,206.65,0.41,39.94,16.28,31.27,7.05,0.84,35.32,5.36,25.92,14-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Mar-2019 - 00:00,114.02,47.38,125.22,0.31,41.46,16.22,18.66,7.08,0.67,37.29,1.89,16.77,15-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Mar-2019 - 00:00,131.97,45.24,276.07,0.33,21.31,18.04,43.78,5.53,1.01,61.98,4.87,38.91,16-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Mar-2019 - 00:00,116.27,43.54,228.48,0.6,25.36,18.04,37.79,5.02,1.0,50.44,3.04,34.77,17-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Mar-2019 - 00:00,109.86,48.64,175.41,0.49,46.59,16.35,26.6,7.27,0.86,45.45,3.29,23.36,18-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Mar-2019 - 00:00,131.53,58.6,139.48,0.3,43.82,18.48,27.84,9.5,0.97,44.75,3.62,24.25,19-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Mar-2019 - 00:00,,,,,,,,,,,,,20-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,21-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Mar-2019 - 00:00,,,,,,,,,,,,,22-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Mar-2019 - 00:00,,,,,,,,,,,,,23-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Mar-2019 - 00:00,,,,,,,,,,,,,24-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Mar-2019 - 00:00,,,,,,,,,,,,,25-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Mar-2019 - 00:00,,,,,,,,,,,,,26-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Mar-2019 - 00:00,,,,,,,,,,,,,27-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Mar-2019 - 00:00,,,,,,,,,,,,,28-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Mar-2019 - 00:00,,,,,,,,,,,,,29-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Mar-2019 - 00:00,,,,,,,,,,,,,30-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Mar-2019 - 00:00,,,,,,,,,,,,,31-Mar-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-Mar-2019 - 00:00,,,,,,,,,,,,,01-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Apr-2019 - 00:00,,,,,,,,,,,,,02-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Apr-2019 - 00:00,,,,,,,,,,,,,03-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Apr-2019 - 00:00,,,,,,,,,,,,,04-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-Apr-2019 - 00:00,,,,,,,,,,,,,05-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-Apr-2019 - 00:00,,,,,,,,,,,,,06-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-Apr-2019 - 00:00,,,,,,,,,,,,,07-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-Apr-2019 - 00:00,,,,,,,,,,,,,08-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-Apr-2019 - 00:00,,,,,,,,,,,,,09-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-Apr-2019 - 00:00,,,,,,,,,,,,,10-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-Apr-2019 - 00:00,,,,,,,,,,,,,11-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-Apr-2019 - 00:00,,,,,,,,,,,,,12-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-Apr-2019 - 00:00,,,,,,,,,,,,,13-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-Apr-2019 - 00:00,,,,,,,,,,,,,14-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-Apr-2019 - 00:00,,,,,,,,,,,,,15-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-Apr-2019 - 00:00,,,,,,,,,,,,,16-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-Apr-2019 - 00:00,78.98,28.55,234.91,1.3,47.77,26.92,42.13,43.49,0.83,27.73,11.82,30.3,17-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-Apr-2019 - 00:00,89.46,34.03,202.18,0.77,58.84,28.68,28.63,21.02,0.53,26.68,6.74,21.89,18-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-Apr-2019 - 00:00,77.3,29.91,200.06,2.1,29.61,22.96,21.44,9.71,0.47,41.95,4.1,17.34,19-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-Apr-2019 - 00:00,95.37,42.42,218.07,0.91,31.46,22.27,28.42,9.62,0.54,49.08,3.46,24.96,20-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-Apr-2019 - 00:00,92.07,35.77,218.06,1.08,51.87,21.12,21.7,10.24,0.37,39.55,3.35,18.36,21-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-Apr-2019 - 00:00,79.39,31.81,221.97,1.13,53.75,20.24,16.16,9.1,0.27,38.86,2.65,13.52,22-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-Apr-2019 - 00:00,66.41,29.98,185.2,0.91,51.75,20.59,9.77,8.41,0.21,37.92,2.5,7.27,23-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-Apr-2019 - 00:00,,,,,,,,,,,,,24-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-Apr-2019 - 00:00,,,,,,,,,,,,,25-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-Apr-2019 - 00:00,,,,,,,,,,,,,26-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-Apr-2019 - 00:00,,,,,,,,,,,,,27-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-Apr-2019 - 00:00,,,,,,,,,,,,,28-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-Apr-2019 - 00:00,,,,,,,,,,,,,29-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-Apr-2019 - 00:00,88.67,38.8,223.57,1.34,59.77,25.75,32.09,17.16,0.57,31.49,6.63,25.46,30-Apr-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-Apr-2019 - 00:00,93.79,36.75,227.42,1.25,67.82,23.55,19.53,11.28,0.32,19.31,5.11,14.42,01-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-May-2019 - 00:00,107.38,35.96,225.66,1.23,60.0,22.88,15.17,8.67,0.2,21.62,3.76,11.41,02-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-May-2019 - 00:00,108.72,36.04,232.03,1.22,60.99,22.68,18.16,6.32,0.25,23.94,3.6,14.56,03-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-May-2019 - 00:00,122.17,36.02,229.74,1.19,58.36,20.67,19.19,5.42,0.19,28.49,3.52,15.67,04-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
04-May-2019 - 00:00,116.09,36.25,229.02,1.07,59.4,20.17,18.79,6.03,0.24,20.13,4.25,14.54,05-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
05-May-2019 - 00:00,110.44,38.47,216.5,0.96,54.7,20.14,14.19,3.69,0.21,19.76,3.96,10.23,06-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
06-May-2019 - 00:00,103.19,39.48,214.55,0.95,54.63,20.47,20.3,3.71,0.3,26.59,4.16,16.14,07-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
07-May-2019 - 00:00,85.83,30.84,225.57,1.69,57.62,19.94,14.29,5.46,0.17,25.25,3.17,11.12,08-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
08-May-2019 - 00:00,80.79,27.52,220.81,1.45,57.84,20.29,14.05,4.36,0.18,18.44,3.76,10.35,09-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
09-May-2019 - 00:00,73.06,26.09,219.05,2.25,54.06,23.14,13.96,2.22,0.2,18.0,3.79,10.18,10-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
10-May-2019 - 00:00,65.06,22.97,213.32,0.94,48.57,21.34,17.75,3.64,0.98,24.45,3.45,14.25,11-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
11-May-2019 - 00:00,64.72,22.05,207.91,0.91,47.41,19.99,15.49,4.41,1.09,24.54,3.78,11.73,12-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
12-May-2019 - 00:00,78.78,27.24,210.56,1.17,47.78,20.98,10.07,1.47,0.97,34.46,2.57,7.52,13-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
13-May-2019 - 00:00,81.14,27.3,212.75,1.24,46.27,19.71,14.08,5.22,1.08,33.25,2.89,11.2,14-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
14-May-2019 - 00:00,76.48,22.98,199.57,1.17,24.49,20.31,9.91,5.24,0.99,45.21,2.15,9.04,15-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
15-May-2019 - 00:00,77.8,25.93,205.59,1.17,38.26,19.92,14.88,5.57,1.09,37.19,2.63,12.25,16-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
16-May-2019 - 00:00,84.72,28.06,198.77,0.98,39.22,19.89,19.26,5.94,1.56,32.21,3.69,15.58,17-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
17-May-2019 - 00:00,92.1,32.47,210.55,1.42,55.26,19.78,15.0,6.39,1.5,27.37,3.57,11.43,18-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
18-May-2019 - 00:00,95.56,35.18,184.53,2.38,65.56,19.42,9.18,6.67,1.03,20.31,3.24,5.95,19-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
19-May-2019 - 00:00,,,,,,,,,,,,,20-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
20-May-2019 - 00:00,,,,,,,,,,,,,21-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
21-May-2019 - 00:00,91.39,33.65,214.31,1.29,52.28,19.34,17.77,1.42,1.91,36.53,2.59,15.19,22-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
22-May-2019 - 00:00,64.14,26.6,209.53,1.37,51.77,18.95,16.06,5.77,1.14,43.95,2.7,13.37,23-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
23-May-2019 - 00:00,73.57,28.55,219.8,1.55,65.9,19.18,23.21,9.17,1.31,23.83,4.99,18.22,24-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
24-May-2019 - 00:00,62.92,22.02,220.41,1.19,52.82,17.3,21.6,4.93,1.18,49.51,2.84,18.77,25-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
25-May-2019 - 00:00,85.32,27.63,209.05,1.04,58.66,17.45,11.32,8.58,,27.43,3.6,7.72,26-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
26-May-2019 - 00:00,78.91,29.64,221.97,1.24,59.26,17.02,12.91,8.01,1.4,25.11,3.4,9.51,27-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
27-May-2019 - 00:00,72.55,24.88,185.72,0.89,24.94,17.51,12.15,4.04,0.48,48.17,2.27,9.89,28-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
28-May-2019 - 00:00,119.12,40.55,218.21,1.34,42.47,19.55,24.8,9.88,0.82,37.55,5.13,19.68,29-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
29-May-2019 - 00:00,106.24,36.02,235.65,1.19,50.2,20.2,25.93,10.58,0.44,33.68,4.13,21.81,30-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
30-May-2019 - 00:00,85.53,27.45,216.37,1.2,37.43,18.69,18.05,9.3,0.28,37.72,4.21,13.84,31-May-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
31-May-2019 - 00:00,90.92,27.39,221.93,1.58,51.34,17.96,17.27,12.52,0.46,26.08,4.33,12.95,01-Jun-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
01-Jun-2019 - 00:00,82.08,28.54,223.94,0.91,62.53,20.4,20.75,8.35,0.42,15.8,5.43,15.34,02-Jun-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
02-Jun-2019 - 00:00,70.94,25.71,226.91,1.26,61.49,19.75,12.23,6.12,0.29,18.96,4.09,8.14,03-Jun-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
03-Jun-2019 - 00:00,65.2,24.81,225.08,1.23,73.23,21.1,24.63,6.57,0.42,10.72,7.92,16.8,04-Jun-2019 - 00:00,"Deshpande Nagar, Hubballi - KSPCB"
