from date,NO2,NO,NOx,SO2,CO,PM2.5,AT,RH,WS,VWS,WD,BP,SR,RF,Benzene,Toluene,Ozone,to date,station
11-Jan-2019 - 00:00,79.69,24.27,60.05,8.24,1.16,237.21,12.01,54.97,0.5,-0.4,197.0,751.45,70.73,0.0,0.34,2.12,12.99,12-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Jan-2019 - 00:00,77.07,48.38,77.96,10.88,1.24,241.92,11.97,56.22,0.48,-0.39,214.9,751.02,68.3,0.0,0.34,2.24,14.86,13-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Jan-2019 - 00:00,61.61,12.4,40.32,7.12,0.86,239.38,11.17,56.62,0.2,-0.3,173.98,751.39,70.29,0.0,0.2,1.83,13.81,14-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Jan-2019 - 00:00,25.59,2.8,14.45,6.08,0.3,108.47,11.09,52.28,0.2,-0.3,174.0,750.94,93.38,0.0,0.13,0.38,22.88,15-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
15-Jan-2019 - 00:00,34.8,4.77,21.63,7.7,0.5,101.58,10.69,51.8,0.2,-0.3,148.16,751.32,71.28,0.0,0.09,0.48,23.07,16-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Jan-2019 - 00:00,76.02,31.96,63.66,9.01,1.49,263.13,10.58,60.79,0.31,-0.25,75.89,751.29,4.0,0.0,0.34,2.25,9.36,17-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Jan-2019 - 00:00,40.81,10.46,29.35,7.13,0.8,272.5,11.3,58.35,0.49,0.03,43.9,750.52,76.14,0.0,0.18,1.51,29.39,18-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
18-Jan-2019 - 00:00,32.63,7.34,23.02,7.4,1.16,176.67,13.06,55.35,0.39,0.35,49.82,750.58,77.2,0.0,0.11,0.93,36.65,19-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
19-Jan-2019 - 00:00,35.81,9.64,24.49,9.59,1.72,167.18,14.74,52.74,0.32,-0.04,93.12,750.81,79.73,0.0,0.09,0.85,39.59,20-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
20-Jan-2019 - 00:00,55.43,37.92,58.21,13.06,2.13,233.32,15.48,54.94,0.41,-0.4,124.39,750.6,80.09,0.0,0.25,1.62,35.99,21-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
21-Jan-2019 - 00:00,53.25,23.29,46.58,9.07,2.96,235.0,16.01,56.49,0.43,-0.36,113.26,749.8,76.62,0.0,0.2,1.5,36.34,22-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Jan-2019 - 00:00,36.28,10.39,26.3,7.95,1.95,201.11,13.84,56.83,0.93,-0.36,59.76,749.49,34.75,0.0,0.11,0.73,46.16,23-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
23-Jan-2019 - 00:00,40.24,13.59,29.7,8.42,1.75,106.66,15.2,61.61,1.0,-0.36,49.65,750.6,58.66,0.0,0.11,0.74,27.34,24-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Jan-2019 - 00:00,52.26,68.51,81.42,10.75,2.39,153.66,19.1,60.93,0.57,-0.34,90.12,751.42,89.14,0.0,0.24,1.39,18.39,25-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
25-Jan-2019 - 00:00,38.49,42.59,51.25,7.34,2.74,233.85,17.33,68.99,0.55,-0.37,79.44,751.39,34.05,0.0,0.21,1.49,11.52,26-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
26-Jan-2019 - 00:00,28.97,10.26,22.94,6.48,1.39,82.64,15.95,70.12,0.41,-0.21,53.79,752.85,23.1,0.0,0.1,0.59,18.61,27-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
27-Jan-2019 - 00:00,22.39,2.86,13.2,6.6,0.82,76.23,15.25,61.3,0.6,-0.3,43.02,752.7,85.79,0.0,0.16,0.34,33.47,28-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
28-Jan-2019 - 00:00,11.54,8.42,7.58,8.16,1.01,101.72,14.54,56.49,0.6,-0.3,42.54,752.66,113.17,0.0,0.19,0.31,32.58,29-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
29-Jan-2019 - 00:00,7.1,,1.5,9.56,1.01,104.11,14.69,53.58,0.6,-0.3,44.01,752.14,113.43,0.0,0.2,0.42,30.69,30-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
30-Jan-2019 - 00:00,7.1,,1.5,9.34,0.96,123.98,15.07,54.15,0.6,-0.3,44.32,751.92,165.94,0.0,0.22,0.32,36.64,31-Jan-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
31-Jan-2019 - 00:00,73.34,51.9,81.21,13.48,3.44,165.56,19.26,46.02,0.63,-0.35,96.31,751.46,135.57,0.0,31.13,1.28,27.02,01-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
01-Feb-2019 - 00:00,53.85,22.38,44.9,10.58,2.43,215.05,17.89,55.2,0.39,-0.4,129.84,751.15,114.02,0.0,0.17,1.04,28.93,02-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Feb-2019 - 00:00,33.8,4.64,20.86,9.18,1.33,195.83,16.96,54.86,0.1,-0.3,105.27,750.46,105.98,0.0,0.15,0.63,39.75,03-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
03-Feb-2019 - 00:00,24.34,3.57,15.07,7.53,1.06,179.52,15.99,62.78,0.1,-0.3,169.19,751.68,102.24,0.0,0.24,0.31,33.3,04-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Feb-2019 - 00:00,28.56,4.88,18.12,7.42,1.14,215.23,15.78,62.55,0.14,-0.3,158.58,752.3,99.8,0.0,0.2,0.41,34.03,05-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Feb-2019 - 00:00,48.08,43.2,58.24,9.35,2.37,234.69,18.02,62.91,0.49,-0.3,179.42,751.24,78.96,0.0,0.23,1.04,32.62,06-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Feb-2019 - 00:00,52.2,57.99,72.02,8.5,3.94,213.61,16.84,69.28,0.75,-0.35,137.03,749.22,42.93,0.0,0.31,1.99,12.0,07-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Feb-2019 - 00:00,29.06,10.64,22.6,6.42,1.21,62.11,15.19,69.8,1.0,-0.4,96.5,749.09,25.52,0.0,0.16,0.72,22.08,08-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Feb-2019 - 00:00,41.9,21.5,39.2,7.28,1.56,61.27,15.73,60.95,0.81,-0.36,89.68,749.86,94.58,0.0,0.15,0.87,22.14,09-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Feb-2019 - 00:00,23.07,12.38,21.79,7.08,0.58,43.97,14.67,55.33,0.67,-0.3,137.15,751.09,132.36,0.0,0.21,0.27,41.4,10-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Feb-2019 - 00:00,28.82,8.9,21.5,7.39,0.89,44.0,14.88,55.0,0.7,-0.3,147.24,752.26,125.68,0.0,0.23,0.26,43.46,11-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
11-Feb-2019 - 00:00,43.65,10.75,30.64,9.67,1.2,63.57,16.32,52.26,0.35,-0.35,155.03,752.54,98.1,0.0,0.16,0.59,44.16,12-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Feb-2019 - 00:00,61.82,65.86,82.91,14.4,2.34,59.79,16.99,54.14,0.42,-0.34,143.92,752.56,64.01,0.0,0.23,1.24,36.83,13-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Feb-2019 - 00:00,57.17,55.71,69.63,10.88,3.3,128.09,17.93,56.76,0.34,-0.3,222.87,752.14,103.69,0.01,0.33,1.85,34.12,14-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Feb-2019 - 00:00,53.16,32.53,51.25,7.99,3.8,167.52,15.44,59.5,0.21,-0.24,96.2,750.43,48.23,0.0,0.45,2.18,27.56,15-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
15-Feb-2019 - 00:00,29.72,4.2,17.6,6.14,1.2,144.87,13.75,63.72,0.3,-0.25,126.98,749.91,63.73,0.0,0.19,0.31,29.31,16-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Feb-2019 - 00:00,20.91,2.69,12.2,5.66,0.81,95.35,14.56,65.18,0.55,-0.25,270.65,750.03,50.76,0.0,0.81,1.36,33.75,17-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Feb-2019 - 00:00,14.61,2.67,8.14,5.45,0.77,113.68,14.12,63.62,1.37,-0.4,200.73,748.84,123.81,0.0,1.14,2.18,30.85,18-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
18-Feb-2019 - 00:00,27.87,19.22,19.84,7.36,1.82,43.04,15.17,54.09,0.64,-0.33,245.75,747.35,130.0,0.0,0.81,2.12,25.85,19-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
19-Feb-2019 - 00:00,48.37,23.51,41.1,9.03,2.79,50.32,15.48,56.15,0.27,-0.36,99.21,748.71,93.82,0.0,1.03,3.76,30.68,20-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
20-Feb-2019 - 00:00,38.77,7.94,25.67,5.56,2.57,209.93,15.66,60.04,0.24,-0.26,119.64,750.73,64.88,0.0,0.4,3.97,34.26,21-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
21-Feb-2019 - 00:00,53.95,22.25,43.01,7.66,2.78,74.32,17.58,54.77,0.31,-0.26,113.58,750.48,98.52,0.0,0.34,3.64,27.6,22-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Feb-2019 - 00:00,31.75,6.31,21.63,5.7,2.23,239.81,18.15,55.77,0.96,-0.2,101.0,749.15,100.28,0.0,0.46,2.78,37.25,23-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
23-Feb-2019 - 00:00,20.05,2.77,12.43,4.78,0.8,95.1,16.57,52.29,1.67,-0.2,101.26,749.01,125.48,0.0,0.62,0.95,44.71,24-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Feb-2019 - 00:00,29.26,3.57,17.61,6.93,1.38,59.19,14.44,50.65,0.58,-0.3,115.0,748.08,88.75,0.0,0.4,0.9,44.78,25-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
25-Feb-2019 - 00:00,40.51,10.66,29.87,7.84,2.31,102.6,15.09,50.24,0.35,-0.29,113.58,747.69,116.8,0.0,0.41,0.91,42.94,26-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
26-Feb-2019 - 00:00,29.96,4.05,18.6,5.66,1.33,125.07,15.1,47.5,0.27,-0.2,92.7,747.75,105.99,0.0,0.51,1.11,42.07,27-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
27-Feb-2019 - 00:00,26.86,5.4,17.15,5.81,1.11,31.47,13.92,63.21,0.31,-0.3,183.26,747.67,36.92,0.01,0.7,1.4,36.45,28-Feb-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
28-Feb-2019 - 00:00,18.28,2.78,11.44,5.32,0.94,36.11,15.96,56.94,0.66,-0.33,187.79,749.37,140.89,0.07,0.64,1.27,40.47,01-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
01-Mar-2019 - 00:00,28.02,11.95,22.57,6.95,2.25,84.33,18.61,47.99,0.88,-0.35,110.23,750.35,182.08,0.0,0.44,1.5,46.71,02-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Mar-2019 - 00:00,38.91,6.96,25.26,7.28,2.7,143.26,17.9,52.28,0.49,-0.29,97.59,750.06,85.7,0.0,0.44,2.09,41.09,03-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
03-Mar-2019 - 00:00,29.58,8.04,21.69,6.18,2.25,175.02,16.26,63.41,0.29,-0.3,179.16,748.58,79.64,0.0,0.48,1.63,37.02,04-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Mar-2019 - 00:00,23.4,6.25,16.5,7.61,1.94,104.09,16.21,61.12,0.76,-0.48,185.63,746.79,129.92,0.0,0.54,1.77,33.81,05-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Mar-2019 - 00:00,22.09,10.69,17.24,11.02,1.4,54.95,17.76,55.69,1.91,-0.56,77.49,746.91,132.81,0.0,0.72,1.83,44.96,06-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Mar-2019 - 00:00,18.75,3.53,12.11,11.88,1.4,85.06,17.33,50.86,1.65,-0.61,83.86,747.89,152.74,0.0,0.6,1.61,50.63,07-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Mar-2019 - 00:00,23.34,8.23,18.71,8.51,1.77,122.74,17.76,46.6,1.49,-0.65,72.0,748.33,157.6,0.0,0.5,1.64,52.01,08-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Mar-2019 - 00:00,39.83,7.54,26.46,9.85,2.09,234.47,16.82,55.69,0.31,-0.87,72.0,748.72,54.03,0.0,0.53,2.41,26.84,09-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,10-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Mar-2019 - 00:00,31.03,2.94,18.91,10.39,3.05,59.06,18.42,45.67,0.66,-0.79,72.0,749.78,9.0,0.0,0.8,2.79,38.96,11-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
11-Mar-2019 - 00:00,46.78,17.89,38.37,13.45,2.84,123.63,18.96,42.2,0.72,-0.9,72.0,749.43,149.18,0.0,0.56,2.04,43.13,12-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Mar-2019 - 00:00,25.88,8.39,19.14,13.16,1.97,111.47,19.1,44.96,1.62,-0.62,72.0,749.11,143.71,0.0,0.54,2.27,48.69,13-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Mar-2019 - 00:00,21.78,7.91,17.12,9.94,1.78,75.31,18.87,42.76,2.09,-0.54,72.26,749.68,155.54,0.0,0.55,2.08,50.91,14-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Mar-2019 - 00:00,31.92,8.34,22.43,11.24,2.63,69.21,20.09,42.95,0.72,-0.39,82.0,749.59,114.21,0.0,0.36,2.12,38.62,15-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
15-Mar-2019 - 00:00,15.42,2.51,9.71,8.17,1.16,37.0,19.5,45.91,2.46,-0.16,82.0,750.45,145.04,0.0,0.41,1.25,49.22,16-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Mar-2019 - 00:00,20.13,4.23,12.01,8.24,0.8,40.59,19.09,44.41,1.64,-0.27,82.0,750.42,183.9,0.0,0.56,0.83,47.64,17-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Mar-2019 - 00:00,19.16,3.07,11.75,9.52,1.19,70.12,18.96,46.49,1.11,-0.34,89.1,749.81,124.96,0.0,0.53,1.11,53.75,18-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
18-Mar-2019 - 00:00,22.74,5.25,15.82,10.86,1.4,80.15,19.15,46.05,1.05,-0.29,103.71,749.33,170.92,0.0,0.56,1.55,56.56,19-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
19-Mar-2019 - 00:00,22.9,3.71,14.5,10.83,1.65,78.35,19.81,44.87,1.42,-0.19,97.12,747.87,177.67,0.0,0.55,1.24,52.84,20-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
20-Mar-2019 - 00:00,39.22,11.65,29.32,11.44,3.83,118.25,20.48,43.97,0.81,-0.3,92.0,747.55,175.06,0.0,0.47,1.96,42.87,21-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
21-Mar-2019 - 00:00,16.85,3.24,10.71,8.29,2.7,45.57,21.44,37.0,0.66,-0.34,92.0,747.96,229.57,0.0,0.55,0.94,52.55,22-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Mar-2019 - 00:00,9.45,2.9,6.15,8.42,1.95,49.68,20.32,40.93,2.77,0.14,92.0,748.62,143.61,0.0,0.49,0.85,51.92,23-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
23-Mar-2019 - 00:00,9.8,2.71,7.17,8.48,1.26,29.71,19.74,40.78,3.28,0.32,92.0,748.64,186.41,0.0,0.31,0.66,56.66,24-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Mar-2019 - 00:00,13.41,2.49,8.63,9.04,1.85,39.5,20.33,41.5,2.38,0.16,92.0,748.0,173.68,0.0,0.52,0.79,53.71,25-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
25-Mar-2019 - 00:00,27.84,3.44,19.44,10.87,2.93,62.07,21.0,41.85,0.94,-0.17,92.0,748.01,127.47,0.0,0.44,1.52,48.98,26-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
26-Mar-2019 - 00:00,14.21,2.49,9.12,8.78,1.51,44.17,20.39,45.09,1.64,-0.05,92.0,748.89,171.56,0.0,0.38,1.28,51.75,27-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
27-Mar-2019 - 00:00,12.53,2.74,8.31,10.17,2.52,53.1,24.73,44.02,1.5,-0.03,99.53,749.67,178.24,0.0,0.42,1.28,59.5,28-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
28-Mar-2019 - 00:00,25.59,9.12,20.82,12.21,2.03,77.17,29.12,44.29,0.8,-0.2,125.68,748.83,158.52,0.0,0.69,1.73,57.94,29-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
29-Mar-2019 - 00:00,49.67,18.75,39.84,14.51,3.56,116.89,31.01,41.57,0.55,-0.18,154.0,747.03,187.88,0.0,0.82,2.68,56.78,30-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
30-Mar-2019 - 00:00,43.39,11.82,31.34,13.29,3.19,143.41,31.22,42.13,0.58,-0.21,128.63,746.4,167.4,0.0,0.65,2.17,61.28,31-Mar-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
31-Mar-2019 - 00:00,11.19,3.67,6.28,9.67,1.56,48.45,31.05,37.38,2.1,0.08,101.0,745.74,152.24,0.0,0.53,1.28,39.77,01-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
01-Apr-2019 - 00:00,16.12,2.5,8.31,11.1,1.33,46.52,29.5,37.84,1.6,0.02,101.0,746.85,186.7,0.0,0.66,1.07,39.17,02-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
02-Apr-2019 - 00:00,34.28,5.95,22.52,11.79,1.96,102.8,29.72,39.8,1.08,-0.12,101.0,747.11,173.43,0.0,0.47,1.43,44.13,03-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
03-Apr-2019 - 00:00,47.73,20.24,41.85,14.47,2.97,147.09,31.35,36.37,0.64,-0.27,141.36,746.91,164.04,0.0,0.43,1.85,49.62,04-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
04-Apr-2019 - 00:00,49.88,11.3,35.25,13.0,3.24,202.14,31.94,40.21,0.45,-0.37,141.73,747.2,165.03,0.0,0.47,2.0,44.61,05-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
05-Apr-2019 - 00:00,36.17,8.26,25.51,11.92,2.11,129.09,32.7,45.86,0.33,-0.38,137.12,746.65,146.19,0.0,0.5,1.45,47.34,06-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
06-Apr-2019 - 00:00,32.02,8.07,23.27,11.18,1.73,95.79,32.74,49.89,0.44,-0.45,149.0,746.26,145.03,0.0,0.57,1.29,43.24,07-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
07-Apr-2019 - 00:00,24.07,7.54,18.81,8.68,1.2,31.05,30.8,50.16,0.83,-0.5,149.0,746.19,113.05,0.0,0.51,0.9,38.97,08-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
08-Apr-2019 - 00:00,47.98,9.46,33.03,8.54,2.25,53.7,28.74,47.85,0.51,-0.31,96.48,746.07,134.8,0.0,0.51,1.32,57.7,09-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
09-Apr-2019 - 00:00,61.92,16.64,38.72,7.42,2.68,60.59,29.81,43.55,0.84,-0.24,95.0,745.68,165.19,0.0,0.43,1.34,94.8,10-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
10-Apr-2019 - 00:00,57.09,11.45,37.89,5.88,2.93,51.2,30.51,44.93,0.6,-0.31,92.68,746.8,179.02,0.0,0.44,1.32,89.33,11-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
11-Apr-2019 - 00:00,47.32,11.66,33.92,10.78,2.0,113.63,32.95,45.04,0.39,-0.31,88.0,746.46,166.7,0.0,0.51,1.48,62.77,12-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
12-Apr-2019 - 00:00,38.56,10.82,28.14,12.12,2.36,146.86,33.87,42.9,0.58,-0.35,107.24,746.02,157.97,0.0,0.49,1.64,41.33,13-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
13-Apr-2019 - 00:00,19.52,1.63,11.55,10.92,1.24,42.61,35.25,33.95,1.39,-0.28,128.0,746.07,220.81,0.0,0.26,1.13,47.29,14-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
14-Apr-2019 - 00:00,17.16,1.51,10.22,10.79,1.21,54.67,34.47,35.96,1.32,-0.23,128.0,745.95,176.01,0.0,0.22,0.78,45.41,15-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
15-Apr-2019 - 00:00,22.91,3.66,14.1,11.48,1.2,27.07,34.72,34.08,1.23,-0.25,128.0,745.56,186.82,0.0,0.27,0.9,42.23,16-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
16-Apr-2019 - 00:00,23.28,3.51,14.54,8.54,1.27,45.86,32.12,41.51,2.55,-0.1,156.71,747.35,72.51,0.0,0.43,1.15,33.06,17-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
17-Apr-2019 - 00:00,26.03,3.38,16.26,8.16,1.57,38.23,30.02,53.93,1.1,-0.47,154.77,749.15,80.68,0.0,0.39,1.17,35.91,18-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
18-Apr-2019 - 00:00,19.08,2.18,11.57,8.24,1.2,60.48,30.9,49.57,1.43,-0.35,149.58,748.14,181.68,0.0,0.38,1.03,44.97,19-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
19-Apr-2019 - 00:00,18.03,2.07,10.6,9.82,1.22,25.26,31.04,42.61,1.52,-0.11,134.31,747.06,199.86,0.0,0.48,0.95,55.46,20-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
20-Apr-2019 - 00:00,26.98,2.07,15.41,12.62,1.81,61.76,31.59,40.22,0.73,-0.31,140.9,745.98,183.36,0.0,0.44,1.12,58.35,21-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
21-Apr-2019 - 00:00,39.14,10.42,28.56,11.76,1.9,160.72,32.34,38.06,0.69,-0.35,175.85,745.11,182.8,0.0,0.44,1.19,57.44,22-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
22-Apr-2019 - 00:00,51.35,8.35,32.41,15.93,2.46,199.81,33.46,38.48,0.51,-0.33,166.57,745.05,161.05,0.0,0.43,1.65,53.03,23-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
23-Apr-2019 - 00:00,32.54,3.38,18.98,12.27,1.64,132.84,34.03,44.7,0.55,-0.37,132.14,746.11,166.85,0.0,0.5,1.15,49.61,24-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
24-Apr-2019 - 00:00,38.0,4.58,23.42,13.31,1.8,73.53,35.46,42.3,0.5,-0.34,111.06,746.54,187.54,0.0,0.59,2.14,54.18,25-Apr-2019 - 00:00,"Nishant Ganj, Lucknow - UPPCB"
