from date,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
29-Jul-2019 - 00:00,0.24,139.82,82.53,58.33,6.03,23.93,17.55,15.31,42.46,27.79,0.95,1.39,9.62,3.12,0.94,1.42,0.53,0.74,30-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Jul-2019 - 00:00,0.06,128.67,84.39,47.56,6.7,19.03,15.49,16.33,51.48,27.56,0.73,1.29,8.1,4.73,1.03,1.94,0.78,1.17,31-Jul-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Jul-2019 - 00:00,0.1,142.66,76.71,66.93,5.59,14.63,12.25,18.53,52.09,27.8,0.66,1.14,9.3,4.09,1.08,2.12,1.0,1.14,01-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Aug-2019 - 00:00,0.07,160.43,70.43,87.17,4.27,12.16,9.87,24.56,51.6,28.36,0.93,1.43,7.6,3.44,1.08,1.57,0.56,0.91,02-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Aug-2019 - 00:00,-0.11,142.25,84.95,50.05,5.38,12.96,10.57,13.63,47.21,26.65,0.71,1.03,4.34,11.64,1.99,3.91,1.96,2.7,03-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Aug-2019 - 00:00,-0.32,158.26,82.74,59.53,35.94,17.29,33.45,13.49,48.43,26.07,1.01,0.84,9.17,12.42,2.06,5.15,2.42,2.64,04-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Aug-2019 - 00:00,-0.36,117.04,78.08,83.76,11.8,14.45,16.64,23.49,58.01,26.9,0.89,0.82,9.65,11.7,2.11,6.04,2.5,2.77,05-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Aug-2019 - 00:00,-0.24,171.39,66.89,92.11,8.59,15.87,14.71,21.9,42.79,27.58,1.02,0.86,7.13,4.92,1.25,3.6,1.35,1.52,06-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Aug-2019 - 00:00,-0.32,159.07,84.87,38.18,6.81,13.69,12.63,13.64,47.79,25.6,1.02,0.87,6.72,8.86,1.81,4.92,1.84,2.04,07-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Aug-2019 - 00:00,-0.34,129.09,64.41,78.74,10.99,13.83,16.14,25.48,46.43,27.15,1.04,0.92,10.17,11.91,2.33,6.22,2.54,3.03,08-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Aug-2019 - 00:00,-0.21,140.46,58.11,90.74,4.36,12.37,9.6,27.25,55.39,28.65,0.92,0.96,7.08,6.13,1.2,2.8,1.0,1.41,09-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Aug-2019 - 00:00,-0.24,134.11,74.73,60.49,19.67,15.89,19.39,18.21,43.46,28.07,0.92,2.38,5.1,2.72,0.83,1.01,0.18,0.59,10-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Aug-2019 - 00:00,-0.2,152.18,81.62,56.5,7.1,15.09,12.99,19.08,39.67,28.49,0.82,2.13,8.46,1.51,0.64,0.48,0.12,0.22,11-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Aug-2019 - 00:00,0.02,188.04,73.63,100.03,27.29,22.39,31.82,19.92,42.4,28.66,0.92,1.39,5.55,2.17,0.79,0.91,0.21,0.51,12-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Aug-2019 - 00:00,0.02,221.22,88.89,68.9,5.03,12.3,10.53,16.03,38.1,27.19,0.76,0.88,2.32,2.23,1.07,0.8,0.39,0.52,13-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Aug-2019 - 00:00,0.0,236.46,74.2,65.14,6.26,12.52,11.6,16.02,44.78,26.71,0.73,1.09,3.72,3.26,1.31,1.43,0.54,0.69,14-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Aug-2019 - 00:00,-0.13,156.91,82.65,79.48,5.06,14.78,11.91,25.44,45.17,26.99,0.96,0.6,3.38,9.21,1.78,3.37,1.26,1.43,15-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Aug-2019 - 00:00,-0.17,108.75,76.84,97.48,5.03,14.52,11.7,20.54,41.11,27.28,0.74,1.29,7.04,5.25,1.09,1.62,0.56,1.05,16-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Aug-2019 - 00:00,-0.19,136.43,84.63,69.05,4.51,12.12,10.04,16.24,34.91,26.63,0.62,1.87,4.94,2.05,0.76,0.6,0.18,0.43,17-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Aug-2019 - 00:00,-0.24,154.61,93.48,43.21,4.54,12.54,10.27,12.15,31.77,24.98,0.72,2.03,5.93,1.42,0.8,0.17,0.01,0.16,18-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Aug-2019 - 00:00,-0.08,250.48,81.39,64.34,5.57,12.24,10.96,15.96,29.45,26.08,0.79,1.01,3.74,4.41,1.24,1.88,0.7,0.74,19-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Aug-2019 - 00:00,-0.09,153.43,75.34,99.36,9.59,12.52,14.28,19.02,47.25,27.23,0.93,0.73,4.86,8.57,1.66,3.38,1.4,1.57,20-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Aug-2019 - 00:00,-0.01,213.31,74.14,91.81,6.63,12.51,11.93,23.08,54.6,27.56,0.72,1.1,5.16,6.62,1.37,1.96,1.02,1.26,21-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Aug-2019 - 00:00,-0.01,217.6,70.46,76.23,5.71,12.26,11.07,24.19,68.6,28.44,0.78,1.01,4.46,4.76,1.68,2.49,1.47,1.21,22-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Aug-2019 - 00:00,-0.05,194.5,75.72,79.43,7.92,21.66,17.86,17.74,54.1,27.4,0.78,0.94,6.3,9.0,1.86,3.18,1.45,1.93,23-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Aug-2019 - 00:00,-0.0,226.14,75.17,97.47,9.59,31.23,24.28,21.99,63.63,28.39,0.78,0.75,6.34,9.75,3.79,5.23,2.05,1.83,24-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Aug-2019 - 00:00,-0.08,164.3,81.22,49.15,10.61,21.46,19.9,24.17,61.59,28.1,1.03,0.85,10.26,10.41,3.14,5.43,2.61,2.58,25-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Aug-2019 - 00:00,-0.09,145.34,86.21,43.81,6.55,48.91,26.31,22.4,37.06,26.81,0.56,1.08,10.13,0.35,1.15,0.12,0.49,0.15,26-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Aug-2019 - 00:00,-0.13,150.78,68.63,103.34,46.25,62.73,60.33,20.29,43.38,29.62,0.3,1.45,6.8,2.81,0.93,1.87,0.94,0.94,27-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Aug-2019 - 00:00,-0.11,141.57,69.51,73.23,8.34,25.69,19.66,37.13,50.71,29.41,0.6,0.84,7.3,7.08,1.46,2.98,1.58,1.82,28-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Aug-2019 - 00:00,-0.1,155.46,69.48,79.82,5.75,24.12,17.43,29.11,43.08,29.24,0.65,1.17,5.04,4.7,1.35,2.07,0.57,1.14,29-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Aug-2019 - 00:00,-0.09,166.3,70.85,84.04,5.74,18.97,14.68,29.15,39.66,30.12,0.4,1.39,3.35,2.41,1.07,0.85,0.06,0.72,30-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Aug-2019 - 00:00,-0.07,179.28,71.93,67.53,6.52,18.42,15.01,42.95,55.38,30.35,0.59,0.84,2.26,6.5,1.54,2.52,0.51,1.5,31-Aug-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Aug-2019 - 00:00,-0.08,172.75,80.8,65.98,8.24,22.47,18.55,23.51,67.42,30.36,0.95,0.63,7.69,17.1,3.85,7.32,3.32,5.04,01-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Sep-2019 - 00:00,0.02,146.34,81.96,58.47,7.64,22.33,17.99,22.46,54.07,29.52,1.27,1.04,18.43,5.87,1.61,2.69,1.05,1.49,02-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Sep-2019 - 00:00,0.55,156.16,74.78,64.1,6.49,22.08,16.92,47.52,59.19,30.4,1.05,0.8,9.36,5.57,1.5,2.0,0.66,1.42,03-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Sep-2019 - 00:00,0.46,139.65,78.54,46.51,7.41,24.3,18.83,32.47,91.71,30.58,1.0,0.62,10.43,11.53,2.2,3.53,1.21,2.19,04-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Sep-2019 - 00:00,0.18,149.53,79.0,46.09,7.28,25.04,19.09,38.64,87.08,30.32,0.89,0.94,11.82,8.24,2.27,3.35,1.13,1.74,05-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Sep-2019 - 00:00,0.12,159.62,80.66,46.43,12.14,22.48,21.67,24.99,52.51,28.81,0.92,0.92,5.6,7.24,1.83,3.1,1.28,1.41,06-Sep-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
