from date,VWS,WD,RH,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,CO,WS,SO2,Toluene,Eth-Benzene,MP-Xylene,O Xylene,Benzene,to date,station
01-Jan-2019 - 00:00,0.25,207.45,62.69,48.19,40.94,28.05,47.67,15.4,231.39,17.42,0.87,0.57,30.67,16.16,2.68,4.07,2.06,8.0,02-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Jan-2019 - 00:00,0.24,166.59,63.01,46.22,68.0,34.26,72.62,24.96,252.35,18.04,1.54,0.72,36.08,23.81,3.92,6.58,3.22,12.23,03-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Jan-2019 - 00:00,0.39,258.13,75.87,46.95,49.32,24.73,52.6,11.88,348.53,16.26,1.09,0.84,34.19,30.07,4.61,5.31,4.24,9.5,04-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Jan-2019 - 00:00,0.3,217.21,79.46,41.05,31.64,24.17,38.17,7.87,231.49,15.53,0.99,0.72,17.53,15.89,2.34,3.29,1.85,6.75,05-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Jan-2019 - 00:00,0.17,147.43,60.92,46.69,48.79,36.03,58.2,23.85,254.39,16.95,0.93,1.11,27.66,27.39,3.66,5.18,2.72,10.43,06-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Jan-2019 - 00:00,0.2,145.14,64.49,50.56,8.88,29.89,23.0,21.93,132.51,17.23,0.56,1.06,16.91,6.91,1.56,0.76,0.07,2.57,07-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Jan-2019 - 00:00,0.4,235.22,75.82,58.39,36.28,26.42,43.07,12.28,156.35,16.04,0.65,0.74,18.17,13.91,1.75,2.09,0.97,4.71,08-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Jan-2019 - 00:00,0.54,277.63,71.26,55.06,17.88,23.13,26.61,15.19,164.84,16.13,0.52,0.89,17.9,7.42,2.26,0.29,0.3,2.62,09-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Jan-2019 - 00:00,0.42,305.01,59.31,53.71,11.7,24.64,22.46,18.84,152.31,16.2,0.51,1.13,7.55,6.6,0.95,0.49,0.53,2.79,10-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Jan-2019 - 00:00,-0.31,235.29,60.7,52.9,61.29,29.19,64.56,19.47,179.17,14.82,1.09,0.73,11.13,16.25,2.66,4.8,2.23,5.99,11-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Jan-2019 - 00:00,-0.67,143.92,63.2,50.24,118.59,43.07,117.78,16.84,306.24,15.09,1.96,0.56,26.95,54.65,7.28,12.37,7.33,21.52,12-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Jan-2019 - 00:00,-0.64,178.03,61.34,48.15,90.96,44.46,96.42,23.99,305.54,15.8,1.7,0.59,28.55,42.1,7.2,11.09,5.59,16.02,13-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Jan-2019 - 00:00,-0.55,172.84,60.4,42.91,27.23,37.41,41.68,21.58,218.02,16.94,0.89,0.82,17.25,15.74,2.77,2.93,1.35,8.95,14-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Jan-2019 - 00:00,-0.44,280.31,48.7,52.36,7.8,18.41,16.03,25.37,104.89,15.12,0.49,1.29,12.13,3.43,0.53,0.0,0.01,1.07,15-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Jan-2019 - 00:00,-0.48,276.7,56.4,41.77,23.79,23.59,31.58,20.85,121.62,13.9,0.72,0.98,12.6,10.63,1.65,2.81,1.17,3.4,16-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Jan-2019 - 00:00,-0.64,157.57,64.16,46.4,44.19,39.61,56.42,20.01,189.98,14.39,0.92,0.6,10.5,13.37,2.71,3.03,1.23,7.7,17-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Jan-2019 - 00:00,-0.44,177.53,62.14,51.23,64.45,46.04,75.42,23.45,261.41,15.49,1.36,0.69,22.83,29.83,4.3,6.69,2.7,15.27,18-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Jan-2019 - 00:00,-0.4,227.76,72.25,55.2,57.4,31.04,62.43,16.28,223.39,14.36,1.07,0.71,13.47,16.65,3.1,3.86,2.02,8.27,19-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Jan-2019 - 00:00,-0.43,212.18,63.34,54.14,48.92,33.95,57.19,16.59,215.36,15.85,1.14,0.56,17.58,20.07,3.47,3.97,1.89,11.05,20-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Jan-2019 - 00:00,-0.4,181.22,55.61,53.79,103.98,45.35,107.31,28.67,260.49,17.88,1.72,0.57,44.31,54.57,7.59,11.66,6.96,17.59,21-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Jan-2019 - 00:00,-0.65,150.34,61.47,29.94,17.31,29.65,29.62,21.59,137.03,17.72,0.63,1.64,34.81,8.96,2.1,1.82,1.05,4.07,22-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Jan-2019 - 00:00,-1.42,131.44,81.73,48.04,5.72,18.66,14.5,23.32,56.53,16.54,0.39,1.75,24.39,5.57,1.05,0.3,0.1,2.16,23-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Jan-2019 - 00:00,-1.3,216.07,86.06,59.84,30.73,19.83,35.13,9.01,113.22,14.9,0.72,0.61,14.88,17.93,2.51,1.9,0.8,6.89,24-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Jan-2019 - 00:00,-1.36,117.39,71.03,54.34,14.21,25.14,24.74,23.06,125.63,16.4,0.55,0.89,18.49,10.68,1.94,0.76,0.71,3.95,25-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Jan-2019 - 00:00,-1.33,145.48,69.14,59.92,7.35,18.87,15.91,24.41,87.04,15.53,0.48,1.16,15.54,3.97,0.51,0.16,0.03,0.95,26-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Jan-2019 - 00:00,-1.31,216.69,54.25,62.83,6.1,17.92,14.41,29.09,112.39,14.86,0.45,1.09,11.14,3.47,0.3,0.0,0.5,1.72,27-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Jan-2019 - 00:00,-1.26,289.37,59.34,54.42,9.61,22.14,19.46,20.64,134.24,14.07,0.52,1.03,7.47,3.4,1.32,0.54,0.63,1.36,28-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Jan-2019 - 00:00,-0.75,314.04,50.94,61.68,9.48,23.75,20.21,22.89,126.09,14.47,0.46,1.13,9.55,6.1,0.78,0.38,0.02,1.57,29-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Jan-2019 - 00:00,-0.27,270.99,47.85,55.83,22.06,26.0,31.48,22.34,143.09,14.74,0.57,0.96,9.19,8.0,0.77,1.31,0.41,4.27,30-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Jan-2019 - 00:00,-0.17,223.96,51.88,55.29,47.68,31.77,55.04,19.96,194.64,14.64,0.92,0.65,17.18,15.41,2.17,2.93,1.47,6.2,31-Jan-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Jan-2019 - 00:00,-0.23,154.66,48.89,42.21,47.95,35.56,57.28,28.22,179.24,15.8,0.93,1.41,24.0,11.41,2.42,1.9,1.08,4.99,01-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Feb-2019 - 00:00,-0.01,233.06,65.12,47.83,11.15,31.88,25.71,14.38,141.73,15.78,0.59,1.09,21.5,5.74,1.85,0.82,0.3,3.91,02-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Feb-2019 - 00:00,0.02,310.27,85.9,36.91,9.96,17.79,17.43,16.12,156.73,13.88,0.56,1.11,15.13,6.76,1.12,1.54,0.56,5.76,03-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Feb-2019 - 00:00,-0.02,246.98,85.46,47.73,10.84,16.22,17.3,12.82,129.75,14.29,0.56,0.91,15.19,4.08,1.24,0.36,0.22,1.86,04-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Feb-2019 - 00:00,-0.04,226.29,67.91,68.97,43.26,24.64,47.72,13.64,113.92,14.55,0.9,0.71,15.03,9.25,1.42,2.86,1.44,4.2,05-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Feb-2019 - 00:00,-0.1,148.05,59.3,58.29,95.56,43.73,99.71,32.42,202.06,16.5,1.43,0.74,31.74,32.3,4.25,8.99,4.41,12.2,06-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Feb-2019 - 00:00,0.01,163.33,65.68,56.84,15.47,29.66,28.15,22.93,119.85,17.76,0.69,1.46,22.02,4.87,1.91,0.77,0.19,2.41,07-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Feb-2019 - 00:00,-0.2,166.15,79.25,16.76,5.3,12.23,10.75,28.23,67.09,16.47,0.5,2.28,10.81,1.07,0.25,0.0,0.0,0.45,08-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Feb-2019 - 00:00,0.02,251.65,57.79,72.49,17.26,18.58,23.69,20.4,66.54,15.12,0.46,1.02,12.65,8.54,1.18,0.05,0.0,0.39,09-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Feb-2019 - 00:00,0.07,291.15,57.82,63.54,20.9,19.41,27.04,23.91,85.94,14.7,0.67,1.0,10.17,7.96,1.2,1.69,0.42,0.44,10-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Feb-2019 - 00:00,0.02,231.08,60.88,66.22,41.64,24.35,46.26,18.0,152.49,14.65,0.87,0.71,19.05,8.76,1.67,2.66,1.1,0.3,11-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Feb-2019 - 00:00,-0.06,208.84,58.74,64.79,57.36,28.62,61.12,19.2,197.78,15.41,0.97,0.56,19.33,13.41,2.95,3.27,1.41,3.5,12-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Feb-2019 - 00:00,-0.13,135.54,55.3,51.2,32.15,32.25,42.88,31.44,182.95,16.69,0.87,0.57,19.67,15.79,3.4,2.35,0.69,5.69,13-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Feb-2019 - 00:00,-0.06,159.43,53.14,56.55,41.32,39.85,54.25,31.95,142.45,17.58,0.93,0.66,26.58,20.32,2.89,4.37,1.47,9.32,14-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Feb-2019 - 00:00,-0.05,147.85,62.12,39.32,6.61,27.56,19.95,27.41,119.82,17.38,0.58,1.73,25.92,6.22,1.23,0.93,0.13,2.37,15-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Feb-2019 - 00:00,0.16,255.87,65.26,49.74,15.66,21.93,24.19,16.93,97.16,16.66,0.68,1.02,22.92,7.14,1.24,0.43,0.02,1.46,16-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Feb-2019 - 00:00,0.22,273.54,76.7,39.07,6.15,13.65,12.18,18.83,107.3,15.71,0.49,1.14,20.19,2.09,0.02,0.0,0.0,0.28,17-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Feb-2019 - 00:00,0.09,245.95,83.62,6.88,27.03,23.09,28.58,7.13,135.53,14.49,0.38,0.61,18.73,5.87,0.97,1.34,0.68,2.38,18-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Feb-2019 - 00:00,0.06,156.22,47.35,59.66,13.77,22.56,23.01,31.83,119.86,17.81,0.58,1.46,24.17,5.75,1.2,0.82,0.12,2.04,19-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Feb-2019 - 00:00,0.24,169.53,65.41,69.94,13.12,23.48,22.99,24.15,101.97,17.45,0.8,0.56,28.48,15.94,2.16,3.3,1.29,7.18,20-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Feb-2019 - 00:00,0.06,125.18,66.72,35.28,18.46,31.23,31.38,18.03,99.12,17.7,0.7,1.05,30.42,15.58,3.0,2.35,0.94,4.61,21-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Feb-2019 - 00:00,0.06,150.92,49.69,65.7,30.68,23.34,36.95,29.4,67.57,19.23,0.74,1.15,29.95,9.59,2.39,1.12,0.76,1.98,22-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Feb-2019 - 00:00,0.3,323.73,60.91,57.54,6.45,13.68,12.44,22.07,74.6,17.83,0.42,1.57,30.44,5.37,0.68,0.13,0.1,0.64,23-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Feb-2019 - 00:00,0.26,281.74,47.38,74.3,5.95,17.36,13.99,32.33,58.98,16.29,0.43,1.43,27.86,4.01,0.91,0.04,0.0,0.54,24-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Feb-2019 - 00:00,0.19,229.74,45.29,70.33,6.95,19.09,15.72,34.89,77.48,16.81,0.46,0.92,34.34,5.16,0.76,0.24,0.0,1.11,25-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Feb-2019 - 00:00,0.04,137.03,44.49,73.55,11.39,26.07,22.98,40.8,80.93,17.14,0.57,1.07,24.0,8.82,1.58,0.36,0.15,2.39,26-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Feb-2019 - 00:00,-0.02,118.81,49.12,47.86,9.71,28.12,22.72,23.36,57.22,16.26,0.43,1.1,13.2,7.08,1.16,0.03,0.04,1.29,27-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Feb-2019 - 00:00,0.04,86.93,54.59,66.13,5.85,15.69,13.03,31.27,48.3,15.8,0.39,1.31,12.9,6.56,0.58,0.32,0.04,0.54,28-Feb-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Feb-2019 - 00:00,0.19,190.24,50.68,82.94,21.19,18.03,26.55,31.06,81.09,15.72,0.5,1.13,16.93,11.74,1.37,0.45,0.15,2.55,01-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Mar-2019 - 00:00,0.17,173.77,41.46,78.86,11.62,20.58,20.24,33.43,78.44,16.47,0.47,1.02,16.56,4.66,0.67,0.08,0.0,0.49,02-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Mar-2019 - 00:00,0.08,137.37,62.02,36.14,14.78,29.93,27.74,18.15,83.32,15.85,0.51,0.88,16.87,9.17,1.78,0.85,0.15,2.12,03-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Mar-2019 - 00:00,0.14,150.59,67.66,91.23,7.69,17.57,15.5,31.74,55.01,16.91,0.49,1.17,16.11,4.84,1.19,0.62,0.2,1.24,04-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Mar-2019 - 00:00,0.25,203.23,68.09,86.7,31.26,16.83,32.59,27.08,98.45,17.53,0.64,1.07,28.53,12.24,2.16,2.3,0.82,3.96,05-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Mar-2019 - 00:00,0.23,237.57,58.7,105.06,7.55,18.04,15.56,26.53,66.67,17.07,0.47,1.13,36.17,5.8,0.98,0.04,0.06,0.47,06-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Mar-2019 - 00:00,0.13,202.53,47.72,101.94,10.08,17.72,17.49,32.92,72.57,17.5,0.42,1.04,22.5,3.34,0.7,0.12,0.0,1.38,07-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Mar-2019 - 00:00,0.04,225.57,44.5,111.43,16.25,21.82,24.61,33.04,86.7,18.05,0.54,0.79,14.5,25.74,18.65,1.97,4.84,12.35,08-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Mar-2019 - 00:00,-0.14,118.03,43.68,89.9,18.95,22.53,27.14,37.57,91.43,18.81,0.62,1.07,12.85,36.16,22.68,1.05,5.25,17.48,09-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Mar-2019 - 00:00,-0.07,129.6,41.89,101.89,6.68,17.52,14.37,29.74,74.7,19.48,0.47,1.46,11.81,17.11,7.35,3.26,1.61,5.66,10-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Mar-2019 - 00:00,-0.02,211.46,35.48,105.95,7.71,20.73,17.19,41.61,76.54,19.52,0.52,0.84,6.14,21.88,7.0,6.12,0.33,10.09,11-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Mar-2019 - 00:00,-0.08,163.17,38.21,84.74,13.72,27.49,25.6,39.4,90.85,20.61,0.65,1.79,12.87,22.01,8.63,8.47,0.36,12.92,12-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Mar-2019 - 00:00,-0.04,143.31,44.06,97.46,6.81,16.88,14.18,35.63,84.37,20.14,0.52,1.3,12.47,24.87,6.15,4.87,0.59,8.92,13-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Mar-2019 - 00:00,-0.1,89.43,41.29,60.11,13.09,28.35,25.36,33.78,114.09,19.5,0.69,0.79,17.64,31.29,13.06,11.34,0.42,15.78,14-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Mar-2019 - 00:00,-0.07,110.54,59.65,77.05,23.03,23.93,31.16,18.61,122.89,18.37,0.69,1.33,14.83,33.21,11.95,12.09,0.44,16.05,15-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Mar-2019 - 00:00,0.05,212.97,53.98,131.28,11.34,16.68,17.95,27.15,95.88,18.82,0.5,1.18,13.18,20.9,5.49,4.22,0.51,8.67,16-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Mar-2019 - 00:00,0.05,252.43,42.8,114.36,5.85,20.24,15.35,42.54,82.65,19.58,0.55,1.1,12.63,20.53,5.31,3.89,0.26,7.62,17-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Mar-2019 - 00:00,0.05,209.37,38.38,115.74,8.22,18.88,16.61,42.89,114.53,20.42,0.51,1.03,19.52,15.45,4.78,3.63,0.28,9.67,18-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Mar-2019 - 00:00,0.13,206.58,42.1,126.33,13.22,22.13,22.34,39.77,107.16,20.18,0.64,0.91,17.27,19.5,4.98,4.12,0.34,11.28,19-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Mar-2019 - 00:00,0.16,190.26,35.85,114.89,15.77,24.0,25.38,34.29,120.01,21.57,0.63,0.89,21.65,19.49,5.74,5.29,0.21,11.57,20-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Mar-2019 - 00:00,0.17,151.95,33.07,105.25,6.18,29.34,14.39,34.03,100.36,23.25,1.1,1.44,13.12,13.16,3.66,3.45,0.11,3.88,21-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Mar-2019 - 00:00,0.12,80.18,37.26,105.32,,,0.0,51.29,124.78,22.69,2.2,1.27,7.95,12.75,2.79,2.64,0.33,0.01,22-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
22-Mar-2019 - 00:00,0.23,222.69,36.49,123.77,4.99,48.09,16.99,49.54,73.75,21.59,1.23,1.53,6.23,7.42,1.61,3.13,1.31,2.05,23-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
23-Mar-2019 - 00:00,0.26,292.59,50.55,119.84,5.17,49.83,30.64,53.76,77.39,21.64,0.72,1.54,8.09,10.26,2.29,4.02,1.89,5.14,24-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
24-Mar-2019 - 00:00,0.18,172.22,55.88,116.24,5.39,27.45,18.92,44.64,66.85,21.9,0.79,1.48,7.83,6.54,1.82,2.98,1.68,4.23,25-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
25-Mar-2019 - 00:00,0.18,193.88,66.15,114.81,5.44,20.67,15.35,36.23,80.91,21.37,0.97,1.56,9.59,10.55,2.24,3.68,1.89,6.07,26-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
26-Mar-2019 - 00:00,0.25,271.67,60.89,121.17,5.74,21.37,15.96,43.07,101.01,21.74,0.83,1.23,10.78,14.72,3.63,5.32,2.58,6.34,27-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
27-Mar-2019 - 00:00,0.29,200.04,51.51,109.52,6.99,22.54,17.58,44.43,88.1,22.32,0.86,1.01,9.74,13.25,4.06,7.78,3.68,7.39,28-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
28-Mar-2019 - 00:00,0.36,201.92,50.94,114.36,27.05,31.18,38.23,48.01,124.05,24.73,0.81,0.74,11.7,24.0,11.77,15.09,9.84,13.02,29-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
29-Mar-2019 - 00:00,0.33,137.0,55.05,114.46,25.9,40.19,41.95,45.29,127.49,26.97,0.38,0.89,7.54,28.97,10.84,16.86,9.67,12.91,30-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
30-Mar-2019 - 00:00,0.36,146.23,52.97,116.16,24.5,39.88,40.81,42.26,110.85,27.79,0.6,0.89,5.58,27.49,7.81,13.19,7.51,10.43,31-Mar-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
31-Mar-2019 - 00:00,0.42,232.06,42.06,147.81,5.17,25.91,17.92,50.45,85.48,26.65,0.6,1.55,2.94,9.32,2.56,4.16,2.08,4.23,01-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
01-Apr-2019 - 00:00,0.26,204.07,40.8,149.71,6.03,26.44,18.73,55.29,83.55,25.32,0.68,1.58,5.98,5.47,1.64,3.02,1.3,4.74,02-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
02-Apr-2019 - 00:00,0.06,176.2,39.6,145.17,6.5,29.95,21.13,56.81,92.39,25.49,0.63,1.08,7.56,9.41,2.69,4.43,2.23,5.63,03-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
03-Apr-2019 - 00:00,0.1,201.26,40.4,148.0,8.42,31.26,23.37,53.86,85.47,25.86,0.62,1.04,5.88,12.42,5.1,7.66,4.53,8.0,04-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
04-Apr-2019 - 00:00,0.06,173.69,41.76,132.33,37.86,42.77,53.04,62.81,122.57,27.22,0.51,0.94,9.49,28.92,10.92,17.97,9.9,15.19,05-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
05-Apr-2019 - 00:00,0.05,176.29,42.45,117.57,40.1,41.07,53.91,53.37,153.36,29.43,0.36,0.92,8.9,27.63,12.31,18.39,11.04,12.33,06-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
06-Apr-2019 - 00:00,-0.04,167.44,33.88,114.42,16.06,29.69,28.63,40.93,119.44,31.26,0.29,0.91,5.22,17.97,5.43,9.11,5.36,7.21,07-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
07-Apr-2019 - 00:00,-0.13,158.71,56.86,93.08,18.8,26.46,29.11,41.29,194.34,29.89,0.33,1.5,6.25,17.45,5.55,9.66,5.91,10.18,08-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
08-Apr-2019 - 00:00,-0.12,155.34,48.41,116.78,8.61,25.92,20.68,44.36,124.87,29.13,0.36,1.22,2.87,8.93,2.67,4.53,2.04,4.28,09-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
09-Apr-2019 - 00:00,-0.13,118.68,42.29,123.73,8.34,32.06,23.72,65.42,91.32,30.11,0.7,0.93,6.35,16.52,4.23,8.53,3.95,9.37,10-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
10-Apr-2019 - 00:00,-0.02,188.89,40.83,125.55,22.38,30.08,33.89,44.58,120.39,31.1,0.71,1.0,11.45,20.91,7.88,14.64,8.91,11.23,11-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
11-Apr-2019 - 00:00,-0.05,147.54,33.64,121.47,12.53,23.69,22.52,40.26,101.08,31.6,0.51,1.11,9.31,14.24,3.43,5.79,3.41,4.17,12-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
12-Apr-2019 - 00:00,-0.09,109.29,38.07,127.17,5.46,17.71,13.79,49.67,109.22,30.71,0.46,1.51,8.3,14.19,2.66,4.52,2.59,3.95,13-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
13-Apr-2019 - 00:00,-0.1,95.68,34.23,130.4,5.36,18.6,14.18,41.55,89.11,31.09,0.4,1.8,8.98,13.31,2.73,4.05,2.3,4.36,14-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
14-Apr-2019 - 00:00,-0.03,136.19,35.53,129.11,4.81,16.4,12.57,36.37,87.18,30.99,0.37,1.52,10.69,5.23,1.5,3.03,1.56,2.84,15-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
15-Apr-2019 - 00:00,0.04,210.47,33.09,134.07,19.5,24.9,28.84,33.13,100.6,31.73,0.72,1.21,10.38,9.94,3.27,5.44,4.05,3.45,16-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
16-Apr-2019 - 00:00,-0.23,165.8,59.89,72.29,5.12,13.14,11.08,44.67,128.37,27.05,0.36,2.66,8.48,5.23,1.55,3.18,1.53,2.11,17-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
17-Apr-2019 - 00:00,-0.22,182.45,72.39,100.04,4.47,12.17,9.97,44.55,33.99,25.09,0.35,1.96,5.74,2.97,1.23,2.07,0.82,1.1,18-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
18-Apr-2019 - 00:00,-0.11,176.85,60.66,148.48,5.44,20.22,15.11,43.74,53.89,26.53,0.43,1.03,7.64,7.84,2.16,3.77,1.66,3.05,19-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
19-Apr-2019 - 00:00,-0.01,255.11,49.89,131.47,8.83,25.88,20.82,33.95,89.2,27.7,0.63,0.85,9.65,10.4,2.58,4.67,2.0,3.88,20-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
20-Apr-2019 - 00:00,-0.01,216.03,44.74,142.33,17.42,29.91,29.85,43.17,87.25,28.79,0.67,0.68,12.82,9.09,2.46,6.61,2.92,5.21,21-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
21-Apr-2019 - 00:00,0.01,212.03,36.99,137.38,13.52,28.93,26.2,43.46,93.66,30.24,0.6,0.95,11.7,10.3,2.73,6.22,2.66,5.0,22-Apr-2019 - 00:00,"NSIT Dwarka, Delhi - CPCB"
