from date,CH4,PM2.5,RH,SR,VWS,WD,WS,CO,NH3,NOx,NO,NO2,SO2,to date,BP,station
29-May-2019 - 00:00,,90.04,73.15,,-0.34,89.53,1.57,1.31,22.96,18.76,10.68,13.41,10.25,30-May-2019 - 00:00,,"Manali, Chennai - CPCB"
30-May-2019 - 00:00,,101.89,81.59,,-0.38,91.04,1.29,1.02,22.83,17.93,10.8,12.36,12.04,31-May-2019 - 00:00,,"Manali, Chennai - CPCB"
31-May-2019 - 00:00,,81.01,70.73,,-0.35,87.75,1.45,0.92,32.57,19.42,10.6,15.12,11.38,01-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
01-Jun-2019 - 00:00,874.68,62.76,63.59,,-0.37,102.26,1.35,0.86,20.97,17.83,10.01,12.79,11.07,02-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
02-Jun-2019 - 00:00,973.25,77.67,65.25,,-0.37,103.49,1.4,0.72,23.46,19.66,12.13,14.42,10.73,03-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Jun-2019 - 00:00,973.0,66.52,59.66,,-0.4,127.41,1.04,0.98,16.4,11.83,6.62,8.32,14.92,04-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Jun-2019 - 00:00,948.65,69.84,71.06,,-0.4,98.96,1.06,1.01,14.94,12.93,6.89,8.42,12.75,05-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Jun-2019 - 00:00,961.25,61.64,69.31,,-0.37,104.27,1.29,0.76,14.22,11.16,6.42,7.61,13.67,06-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Jun-2019 - 00:00,,53.7,74.06,,-0.36,86.97,1.38,0.79,16.3,13.72,7.97,9.48,13.32,07-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Jun-2019 - 00:00,,44.99,77.53,,-0.35,100.84,1.58,0.77,25.92,15.06,9.83,10.69,12.84,08-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
08-Jun-2019 - 00:00,838.13,78.91,65.95,,-0.38,111.9,1.26,0.78,11.8,11.03,6.04,7.03,10.73,09-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
09-Jun-2019 - 00:00,884.55,57.94,65.52,,-0.32,110.28,1.92,0.66,17.73,9.78,5.68,7.19,10.97,10-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
10-Jun-2019 - 00:00,811.88,67.38,57.27,,-0.34,112.99,1.6,1.1,23.14,40.74,39.76,40.84,9.05,11-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
11-Jun-2019 - 00:00,863.15,51.1,54.24,,-0.35,118.56,1.48,1.22,33.17,44.18,26.46,36.75,3.62,12-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
12-Jun-2019 - 00:00,884.78,66.42,52.21,,-0.36,125.26,1.47,1.0,25.41,20.14,7.5,17.9,7.64,13-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
13-Jun-2019 - 00:00,890.33,56.51,52.04,,-0.32,139.24,1.99,0.97,45.95,27.88,17.35,20.31,3.39,14-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
14-Jun-2019 - 00:00,780.49,53.76,58.0,,-0.35,139.09,1.66,1.28,6.45,59.25,19.54,43.11,5.66,15-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
15-Jun-2019 - 00:00,813.57,54.07,60.3,,-0.37,115.04,1.41,1.17,7.94,32.56,10.6,24.56,6.72,16-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
16-Jun-2019 - 00:00,828.03,48.83,59.48,,-0.38,118.7,1.18,1.08,7.71,30.92,11.73,22.97,14.6,17-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
17-Jun-2019 - 00:00,796.15,54.47,59.01,,-0.39,146.38,1.12,1.07,10.09,38.25,13.65,27.98,19.18,18-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
18-Jun-2019 - 00:00,813.47,67.17,63.72,,-0.41,128.56,0.95,1.36,8.51,36.7,12.55,27.33,15.56,19-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
19-Jun-2019 - 00:00,799.28,63.94,57.86,,-0.38,130.64,1.21,1.25,8.71,36.15,13.03,27.03,20.83,20-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
20-Jun-2019 - 00:00,883.99,56.42,58.67,,-0.39,143.62,1.1,1.15,9.08,36.69,13.2,27.3,18.5,21-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
21-Jun-2019 - 00:00,905.54,55.91,68.78,,-0.43,141.19,0.78,1.56,12.0,47.43,18.94,33.63,8.87,22-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
22-Jun-2019 - 00:00,874.36,47.9,64.9,,-0.38,126.42,1.32,1.27,8.44,33.48,14.09,25.28,9.87,23-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
23-Jun-2019 - 00:00,932.55,32.8,73.54,,-0.42,135.84,0.91,1.38,11.3,37.99,20.56,24.72,2.52,24-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
24-Jun-2019 - 00:00,954.95,37.25,72.47,,-0.41,119.09,0.94,1.08,9.34,40.73,13.44,30.61,3.56,25-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
25-Jun-2019 - 00:00,,119.32,72.59,,-0.39,144.84,1.19,0.97,29.46,73.62,9.63,65.61,3.25,26-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
26-Jun-2019 - 00:00,,,,,,,,,,,,,,27-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
27-Jun-2019 - 00:00,,,,,,,,,,,,,,28-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
28-Jun-2019 - 00:00,,,,,,,,,,,,,,29-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
29-Jun-2019 - 00:00,309.79,109.08,57.42,,,135.1,1.42,1.07,4.37,29.15,7.67,22.03,6.92,30-Jun-2019 - 00:00,,"Manali, Chennai - CPCB"
30-Jun-2019 - 00:00,827.6,122.4,55.39,,,161.71,1.37,1.55,7.06,32.57,8.3,25.46,8.51,01-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
01-Jul-2019 - 00:00,846.18,43.87,55.95,,,139.62,1.46,1.47,5.54,29.69,7.7,22.21,3.48,02-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
02-Jul-2019 - 00:00,914.42,49.9,58.85,,,146.61,1.51,1.13,5.09,29.8,8.07,21.75,5.47,03-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Jul-2019 - 00:00,718.35,52.15,66.5,,-0.4,114.5,1.4,0.99,22.56,29.66,8.03,21.66,14.71,04-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Jul-2019 - 00:00,612.45,62.65,60.61,,-0.34,132.29,1.82,1.11,37.49,23.91,7.53,16.71,3.16,05-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Jul-2019 - 00:00,806.52,46.01,56.92,,-0.34,139.97,1.82,1.23,38.44,25.43,7.61,17.83,3.6,06-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Jul-2019 - 00:00,865.81,44.08,57.36,,-0.36,139.41,1.5,1.2,38.36,26.07,7.57,18.73,6.15,07-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Jul-2019 - 00:00,759.57,58.71,57.24,,-0.37,128.61,1.39,1.04,39.13,24.58,7.5,17.09,5.44,08-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
08-Jul-2019 - 00:00,878.61,45.52,57.68,,-0.33,129.63,1.91,0.95,36.43,23.78,7.34,16.72,4.77,09-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
09-Jul-2019 - 00:00,834.67,43.54,60.6,,-0.34,131.55,1.65,0.95,35.72,25.3,7.88,17.6,3.95,10-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
10-Jul-2019 - 00:00,925.03,41.15,74.58,,-0.38,119.02,1.29,1.29,36.84,29.3,9.64,19.74,6.44,11-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
11-Jul-2019 - 00:00,886.77,44.74,62.28,,-0.39,120.51,1.18,1.1,36.94,30.47,8.85,21.68,6.69,12-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
12-Jul-2019 - 00:00,886.21,61.67,66.26,,-0.37,110.97,1.29,1.15,36.29,28.0,8.43,19.61,11.6,13-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
13-Jul-2019 - 00:00,,35.83,70.56,,-0.35,124.62,1.56,1.14,35.01,21.46,7.73,13.77,7.34,14-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
14-Jul-2019 - 00:00,,51.32,73.09,,-0.37,122.05,1.43,0.97,34.23,16.3,7.11,9.18,6.82,15-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
15-Jul-2019 - 00:00,,44.25,72.29,,-0.37,118.37,1.41,1.03,37.98,27.23,7.72,19.63,5.95,16-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
16-Jul-2019 - 00:00,,36.56,79.25,,-0.39,137.53,1.21,1.21,43.39,37.34,9.07,28.38,4.67,17-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
17-Jul-2019 - 00:00,,51.62,82.9,,-0.43,137.79,0.81,1.6,45.88,40.88,10.04,30.84,5.36,18-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
18-Jul-2019 - 00:00,,66.92,70.25,,-0.41,145.33,0.89,1.23,46.14,36.29,8.49,27.99,5.32,19-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
19-Jul-2019 - 00:00,932.75,48.02,80.03,,-0.4,151.32,1.14,1.05,47.2,33.06,7.53,25.58,10.22,20-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
20-Jul-2019 - 00:00,784.5,51.67,77.5,,-0.41,136.33,1.17,0.95,47.01,36.02,8.0,28.27,11.42,21-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
21-Jul-2019 - 00:00,403.74,41.08,71.66,,-0.39,100.59,1.22,1.26,45.92,27.55,7.36,20.38,3.62,22-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
22-Jul-2019 - 00:00,,32.03,89.44,,-0.4,111.28,1.06,1.81,48.94,38.79,10.05,28.76,10.91,23-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
23-Jul-2019 - 00:00,882.78,38.0,79.68,,-0.39,124.04,1.22,1.51,48.08,36.84,8.59,28.25,19.71,24-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
24-Jul-2019 - 00:00,399.29,39.69,77.54,,-0.4,107.69,1.17,1.02,46.72,31.03,8.69,22.51,22.17,25-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
25-Jul-2019 - 00:00,,41.01,86.56,,-0.38,109.13,1.31,1.13,45.32,30.44,8.23,22.25,13.45,26-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
26-Jul-2019 - 00:00,,44.34,81.06,,-0.36,127.78,1.56,1.31,38.86,28.14,10.64,18.39,7.96,27-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
27-Jul-2019 - 00:00,,47.52,65.61,,-0.38,134.33,1.42,1.14,42.62,29.23,8.79,20.51,7.1,28-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
28-Jul-2019 - 00:00,,59.46,67.7,,-0.38,128.85,1.36,1.24,36.85,19.01,7.22,11.79,6.01,29-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
29-Jul-2019 - 00:00,,50.56,71.22,,-0.35,115.07,1.62,1.16,35.35,16.58,7.05,9.54,5.82,30-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
30-Jul-2019 - 00:00,,74.35,70.85,,-0.36,119.34,1.52,1.34,36.8,25.72,13.16,18.91,4.69,31-Jul-2019 - 00:00,,"Manali, Chennai - CPCB"
31-Jul-2019 - 00:00,,67.66,64.56,,-0.35,124.06,1.64,0.95,40.02,35.8,16.4,30.3,3.98,01-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
01-Aug-2019 - 00:00,,62.21,69.91,,-0.34,119.54,1.76,1.15,39.2,26.68,14.32,19.29,5.38,02-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
02-Aug-2019 - 00:00,,50.62,75.2,,-0.38,147.93,1.37,1.15,40.97,38.4,19.9,27.55,4.78,03-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Aug-2019 - 00:00,,58.18,67.58,,-0.36,112.65,1.49,1.36,59.81,80.6,43.41,63.55,5.87,04-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Aug-2019 - 00:00,,47.44,60.04,,-0.35,132.89,1.76,1.23,85.08,98.65,71.95,80.27,6.83,05-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Aug-2019 - 00:00,,88.81,66.44,,-0.32,138.51,2.07,0.87,63.35,65.09,29.59,55.46,4.63,06-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Aug-2019 - 00:00,,38.31,63.66,,-0.32,136.65,2.12,0.99,62.33,52.92,20.71,40.67,7.53,07-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Aug-2019 - 00:00,824.35,38.42,61.99,,-0.32,129.03,2.09,0.78,56.58,33.44,6.56,26.97,15.51,08-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
08-Aug-2019 - 00:00,393.77,41.99,61.81,,-0.34,124.9,1.99,1.81,56.69,30.54,5.13,26.76,9.33,09-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
09-Aug-2019 - 00:00,,41.64,56.34,,-0.32,127.3,2.05,0.9,56.05,27.76,3.72,24.04,5.61,10-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
10-Aug-2019 - 00:00,,38.97,54.24,,-0.35,133.03,1.67,0.81,57.4,28.04,3.28,24.76,20.55,11-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
11-Aug-2019 - 00:00,,,,,,,,,,,,,,12-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
12-Aug-2019 - 00:00,,,,,,,,,,,,,,13-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
13-Aug-2019 - 00:00,,,,,,,,,,,,,,14-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
14-Aug-2019 - 00:00,,46.35,78.42,,-0.39,145.54,1.07,1.24,44.94,16.45,2.26,14.36,16.84,15-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
15-Aug-2019 - 00:00,,26.89,81.48,,-0.41,129.05,0.98,1.39,55.9,24.99,3.45,21.91,24.98,16-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
16-Aug-2019 - 00:00,,38.38,74.39,,-0.42,162.11,0.79,1.33,60.19,31.92,3.29,28.62,13.8,17-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
17-Aug-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,18-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
18-Aug-2019 - 00:00,,16.85,88.63,,-0.45,104.39,0.71,1.65,65.27,41.65,7.35,34.3,34.3,19-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
19-Aug-2019 - 00:00,,42.72,81.08,,-0.4,101.13,1.02,1.61,60.13,30.45,3.39,27.09,8.85,20-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
20-Aug-2019 - 00:00,,41.68,84.06,,-0.41,159.69,1.03,1.79,60.84,33.01,3.68,29.63,14.3,21-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
21-Aug-2019 - 00:00,,44.62,77.93,,-0.38,142.9,1.34,2.0,64.34,37.64,8.02,29.68,6.8,22-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
22-Aug-2019 - 00:00,,62.96,85.96,,-0.39,160.94,1.19,1.09,65.13,30.2,5.54,24.69,16.52,23-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
23-Aug-2019 - 00:00,,,,,,,,,,,,,,24-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
24-Aug-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,25-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
25-Aug-2019 - 00:00,,,,,,,,,,,,,,26-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
26-Aug-2019 - 00:00,,,,,,,,,,,,,,27-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
27-Aug-2019 - 00:00,,,,,,,,,,,,,,28-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
28-Aug-2019 - 00:00,,,,,,,,,,,,,,29-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
29-Aug-2019 - 00:00,,,,,,,,,,,,,,30-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
30-Aug-2019 - 00:00,,,,,,,,,,,,,,31-Aug-2019 - 00:00,,"Manali, Chennai - CPCB"
31-Aug-2019 - 00:00,,,,,,,,,,,,,,01-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
01-Sep-2019 - 00:00,,58.58,80.35,,,105.61,1.32,1.0,59.7,25.6,1.45,24.14,18.31,02-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
02-Sep-2019 - 00:00,,52.48,75.74,,-0.39,119.7,1.24,1.93,55.86,30.18,3.42,26.76,6.11,03-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Sep-2019 - 00:00,,89.14,74.87,,-0.39,127.58,1.28,1.95,59.87,30.23,6.14,24.88,6.3,04-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Sep-2019 - 00:00,,60.04,79.06,,-0.39,124.71,1.24,1.59,60.29,34.84,11.69,28.34,8.44,05-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Sep-2019 - 00:00,,36.94,70.1,,-0.38,127.16,1.39,1.34,61.82,40.9,10.97,34.06,7.85,06-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Sep-2019 - 00:00,,38.61,65.95,,-0.36,131.0,1.61,0.96,61.07,41.77,5.87,35.94,6.61,07-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Sep-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,08-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
08-Sep-2019 - 00:00,,83.92,68.51,,-0.37,99.79,1.44,0.15,63.47,24.74,1.8,22.94,9.35,09-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
09-Sep-2019 - 00:00,,67.75,63.86,,-0.38,117.44,1.21,0.55,41.93,14.07,2.47,11.6,7.47,10-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
10-Sep-2019 - 00:00,,72.41,72.14,,-0.37,93.18,1.32,0.27,34.99,9.29,2.04,7.24,6.81,11-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
11-Sep-2019 - 00:00,,83.96,85.8,,-0.4,103.34,1.06,0.4,39.91,12.52,2.3,10.22,7.46,12-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
12-Sep-2019 - 00:00,,39.49,82.42,,-0.36,126.9,1.54,0.31,34.74,9.11,2.05,7.06,6.44,13-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
13-Sep-2019 - 00:00,,38.53,78.01,,-0.37,117.66,1.33,0.34,34.92,9.37,2.11,7.26,7.09,14-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
14-Sep-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,15-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
15-Sep-2019 - 00:00,,38.25,97.17,,-0.45,103.12,0.51,,35.27,9.5,2.08,7.42,8.41,16-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
16-Sep-2019 - 00:00,,59.92,77.4,,-0.4,135.25,1.08,0.63,34.9,9.45,2.07,7.42,6.95,17-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
17-Sep-2019 - 00:00,,39.3,85.36,,-0.4,139.87,1.13,0.54,34.71,8.97,2.04,7.0,7.08,18-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
18-Sep-2019 - 00:00,,47.67,85.75,,-0.4,125.29,1.11,0.58,35.28,9.46,2.12,7.34,8.88,19-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
19-Sep-2019 - 00:00,,43.49,96.82,,-0.43,168.68,0.71,0.77,35.01,10.48,2.17,8.57,7.03,20-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
20-Sep-2019 - 00:00,,75.03,90.1,,-0.46,165.78,0.48,0.7,35.3,13.03,2.56,10.47,9.48,21-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
21-Sep-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,22-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
22-Sep-2019 - 00:00,798.0,62.68,93.09,,-0.48,157.68,0.56,1.75,34.74,17.99,4.56,13.52,11.25,23-Sep-2019 - 00:00,929.3,"Manali, Chennai - CPCB"
23-Sep-2019 - 00:00,803.2,94.41,84.49,,-0.47,217.14,0.57,0.69,36.89,12.37,2.29,10.26,6.44,24-Sep-2019 - 00:00,930.03,"Manali, Chennai - CPCB"
24-Sep-2019 - 00:00,,52.37,89.94,,-0.44,120.29,0.58,0.78,37.86,11.62,2.26,9.36,8.06,25-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
25-Sep-2019 - 00:00,,22.08,90.65,,-0.41,86.63,0.86,0.76,37.51,11.14,2.32,8.84,6.33,26-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
26-Sep-2019 - 00:00,,22.9,88.09,,-0.4,92.56,0.9,0.79,37.28,10.65,2.36,8.48,6.53,27-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
27-Sep-2019 - 00:00,,23.75,84.86,,-0.44,77.49,0.61,0.73,37.72,13.06,2.6,10.47,9.09,28-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
28-Sep-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,29-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
29-Sep-2019 - 00:00,,32.94,85.19,,-0.45,25.15,0.67,0.0,,,,,5.55,30-Sep-2019 - 00:00,,"Manali, Chennai - CPCB"
30-Sep-2019 - 00:00,,23.14,79.7,,-0.43,74.44,0.61,0.46,156.58,29.62,11.65,53.4,6.09,01-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
01-Oct-2019 - 00:00,,78.8,80.19,,-0.43,96.84,0.7,0.49,53.11,13.49,5.53,12.42,5.49,02-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
02-Oct-2019 - 00:00,,43.24,81.72,,-0.43,81.56,0.69,0.39,52.73,15.34,4.37,11.32,6.07,03-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
03-Oct-2019 - 00:00,,57.33,79.63,,-0.42,86.24,0.78,0.6,48.48,11.35,4.31,7.04,3.85,04-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
04-Oct-2019 - 00:00,,26.96,79.86,,-0.42,92.73,0.76,0.43,49.41,11.51,4.86,6.65,5.26,05-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
05-Oct-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,06-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
06-Oct-2019 - 00:00,,10.34,88.12,,-0.45,85.15,0.42,0.21,137.5,69.94,6.56,63.38,5.87,07-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
07-Oct-2019 - 00:00,,160.91,78.57,,-0.42,84.08,0.78,0.71,136.55,73.6,57.1,54.01,3.97,08-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
08-Oct-2019 - 00:00,,78.03,79.0,,-0.43,84.3,0.71,0.58,134.57,47.3,37.88,31.42,5.54,09-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
09-Oct-2019 - 00:00,,40.54,79.03,,-0.43,76.14,0.66,0.57,131.63,34.22,16.16,38.64,4.49,10-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
10-Oct-2019 - 00:00,,36.06,79.21,,-0.43,85.95,0.65,0.48,99.94,28.41,16.09,29.63,4.92,11-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
11-Oct-2019 - 00:00,,37.53,78.72,,-0.43,135.72,0.68,0.49,38.17,14.85,18.55,9.67,5.13,12-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
12-Oct-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,13-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
13-Oct-2019 - 00:00,,38.92,80.13,,-0.47,355.01,0.64,0.46,22.17,5.97,4.27,7.91,5.28,14-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
14-Oct-2019 - 00:00,,28.73,78.75,,-0.43,222.82,0.76,0.52,25.18,4.74,8.91,3.28,5.15,15-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
15-Oct-2019 - 00:00,,29.65,86.31,,-0.42,263.78,0.89,0.67,25.53,4.81,7.27,7.47,5.76,16-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
16-Oct-2019 - 00:00,,25.41,96.21,,-0.45,255.94,0.67,0.73,33.4,4.95,5.2,2.79,6.35,17-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
17-Oct-2019 - 00:00,,30.53,97.54,,-0.47,234.41,0.54,0.92,33.38,6.72,5.85,3.77,6.42,18-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
18-Oct-2019 - 00:00,,32.07,92.62,,-0.46,250.02,0.56,0.9,33.32,3.78,2.55,3.93,5.97,19-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
19-Oct-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,20-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
20-Oct-2019 - 00:00,,14.06,86.77,,-0.46,330.36,0.61,0.23,34.12,13.23,7.16,6.07,3.21,21-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
21-Oct-2019 - 00:00,,28.99,97.41,,-0.46,227.97,0.57,0.82,31.7,12.93,6.9,6.03,6.79,22-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
22-Oct-2019 - 00:00,,38.82,96.89,,-0.46,209.44,0.44,0.86,29.15,10.36,5.49,4.93,5.44,23-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
23-Oct-2019 - 00:00,,46.8,84.72,,-0.45,133.31,0.61,1.06,34.88,8.11,4.5,5.61,6.48,24-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
24-Oct-2019 - 00:00,209.78,44.73,90.62,,-0.43,115.97,0.87,0.87,65.84,54.99,18.54,43.21,7.86,25-Oct-2019 - 00:00,948.44,"Manali, Chennai - CPCB"
25-Oct-2019 - 00:00,843.6,54.85,88.86,,-0.46,199.64,0.71,1.43,130.31,104.17,36.93,65.31,8.01,26-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
26-Oct-2019 - 00:00,0.0,0.0,,,0.0,,,0.0,,0.0,,,,27-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
27-Oct-2019 - 00:00,,44.89,92.6,,-0.48,280.01,0.75,0.58,179.76,104.89,22.36,82.53,25.64,28-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
28-Oct-2019 - 00:00,,42.47,88.93,,-0.46,266.53,0.75,1.5,162.21,74.09,17.35,58.11,14.45,29-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
29-Oct-2019 - 00:00,,44.66,83.48,,-0.43,297.53,0.99,0.96,143.23,57.47,14.12,45.32,5.68,30-Oct-2019 - 00:00,,"Manali, Chennai - CPCB"
