from date,AT,BP,RH,SR,WD,WS,PM10,PM2.5,Benzene,Toluene,NH3,NO,NOx,NO2,SO2,Ozone,CO,to date,station
24-Jan-2019 - 00:00,15.18,990.56,79.14,91.9,198.58,1.1,210.25,122.73,4.8,48.94,29.22,31.38,44.54,35.63,13.02,34.72,1.1,25-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Jan-2019 - 00:00,13.91,990.57,76.76,107.05,296.67,1.2,129.71,75.08,2.44,28.59,22.2,29.47,46.04,41.43,10.72,33.09,0.79,26-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Jan-2019 - 00:00,9.67,991.86,87.93,2.2,282.46,1.16,184.83,108.83,3.0,31.49,22.74,28.49,52.21,54.31,9.64,7.12,0.78,27-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Jan-2019 - 00:00,13.65,993.17,51.4,132.4,269.51,2.01,186.47,109.71,2.54,20.41,20.92,18.58,39.29,45.47,16.1,48.07,1.05,28-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Jan-2019 - 00:00,12.39,992.81,57.34,125.35,264.94,2.04,206.29,121.15,2.64,18.83,23.07,25.07,44.24,44.82,15.76,36.82,0.9,29-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Jan-2019 - 00:00,13.28,991.33,54.54,124.52,266.27,1.89,236.14,141.51,3.38,28.5,25.17,39.95,58.22,48.13,19.25,38.17,1.27,30-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Jan-2019 - 00:00,13.88,990.12,54.92,116.5,226.45,1.35,299.0,182.88,4.03,36.48,27.99,39.09,63.73,59.89,24.68,33.29,1.09,31-Jan-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
31-Jan-2019 - 00:00,14.62,989.1,63.98,82.67,105.68,1.29,262.34,157.1,3.9,36.84,31.32,33.07,46.52,36.77,17.99,47.34,0.54,01-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Feb-2019 - 00:00,15.43,989.53,72.83,100.78,172.06,1.46,238.9,166.04,3.02,25.09,34.47,10.88,26.54,33.22,13.91,44.42,0.5,02-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Feb-2019 - 00:00,12.27,989.62,89.42,79.64,258.96,2.13,272.73,183.81,3.08,19.85,30.25,16.23,30.19,31.89,9.95,28.08,0.33,03-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Feb-2019 - 00:00,13.11,990.78,88.54,96.6,256.05,1.54,211.83,133.31,2.84,20.78,26.17,14.24,27.99,30.8,8.85,27.22,0.36,04-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Feb-2019 - 00:00,14.7,991.3,74.98,134.98,234.77,1.14,207.47,121.32,3.9,27.98,22.66,38.57,60.01,53.79,12.6,32.85,1.32,05-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Feb-2019 - 00:00,16.48,988.89,73.55,102.76,98.22,0.87,326.83,201.12,5.76,54.77,50.39,72.38,88.49,55.6,22.9,25.1,1.88,06-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Feb-2019 - 00:00,18.03,983.9,84.11,100.34,99.13,1.32,234.76,166.01,5.12,51.16,47.8,13.59,25.93,27.88,22.82,24.47,1.43,07-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Feb-2019 - 00:00,15.82,982.03,95.3,20.12,127.93,1.96,84.46,55.2,2.07,31.65,31.96,4.98,11.9,14.71,12.26,22.31,0.91,08-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Feb-2019 - 00:00,14.43,987.46,69.35,138.11,263.23,1.48,148.11,60.6,2.68,40.35,27.57,31.73,49.46,44.35,14.44,16.34,1.0,09-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Feb-2019 - 00:00,14.16,989.71,64.46,148.02,260.35,2.08,168.4,79.17,2.52,40.06,29.53,35.89,52.2,43.13,16.67,23.22,1.16,10-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Feb-2019 - 00:00,14.48,991.19,65.91,124.79,253.07,1.29,255.52,133.76,4.19,48.76,36.1,55.67,73.48,52.95,24.06,18.91,1.7,11-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Feb-2019 - 00:00,15.17,991.66,68.29,117.81,258.8,0.68,300.68,160.04,5.93,65.84,42.31,94.96,114.59,69.89,20.38,16.02,2.41,12-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Feb-2019 - 00:00,16.97,991.76,69.3,99.16,172.25,0.63,343.88,197.91,7.82,99.89,50.48,88.75,112.06,74.62,29.14,28.27,2.65,13-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Feb-2019 - 00:00,17.88,990.92,70.51,108.43,114.72,0.8,322.79,193.8,5.61,71.19,48.23,35.82,57.49,53.11,43.56,33.16,1.8,14-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Feb-2019 - 00:00,17.09,986.69,80.85,62.59,117.35,1.74,199.99,136.52,3.72,39.51,43.19,5.67,19.34,27.66,17.34,28.16,1.21,15-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Feb-2019 - 00:00,16.78,986.87,78.55,92.16,197.66,1.24,164.56,103.4,2.81,36.98,35.45,21.0,36.44,36.24,19.41,16.62,1.43,16-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Feb-2019 - 00:00,15.42,988.34,85.96,73.8,268.79,1.96,178.75,111.38,2.8,37.35,34.48,12.15,25.46,29.22,13.97,14.46,1.26,17-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Feb-2019 - 00:00,15.84,985.29,76.22,141.52,253.49,1.89,166.54,93.83,2.5,34.19,28.35,17.65,32.26,33.9,11.7,24.79,1.22,18-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Feb-2019 - 00:00,17.93,980.9,67.16,115.04,149.39,1.29,188.5,102.68,2.74,31.28,29.37,18.57,33.19,33.83,18.85,31.61,1.11,19-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Feb-2019 - 00:00,18.34,984.05,77.63,115.59,127.1,0.84,203.65,102.15,2.99,48.88,34.95,31.75,50.75,46.71,21.33,23.81,1.36,20-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Feb-2019 - 00:00,18.08,988.85,82.91,42.97,89.42,1.04,159.51,80.41,3.08,54.04,34.46,20.12,35.31,35.57,16.66,10.73,1.13,21-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Feb-2019 - 00:00,20.62,987.67,68.07,126.34,91.81,1.12,150.9,67.03,2.19,22.49,27.69,33.26,45.06,33.79,19.1,25.85,1.22,22-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Feb-2019 - 00:00,19.18,987.86,69.55,148.13,273.14,2.18,141.94,67.46,2.23,23.7,30.26,16.47,29.03,29.27,12.66,21.59,0.97,23-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Feb-2019 - 00:00,16.68,986.29,57.06,167.91,276.99,2.15,113.17,48.0,1.69,31.22,22.21,15.08,31.44,36.08,13.99,29.07,0.79,24-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Feb-2019 - 00:00,17.44,983.11,55.23,154.39,269.68,1.44,156.29,81.61,2.22,34.96,27.84,25.37,45.98,47.65,21.18,26.67,1.16,25-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Feb-2019 - 00:00,16.81,982.45,64.77,125.79,159.91,0.92,153.95,79.39,2.72,41.41,28.48,29.55,48.04,45.19,21.74,31.96,1.04,26-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Feb-2019 - 00:00,15.02,982.64,70.29,80.36,126.6,1.25,88.25,45.68,1.53,29.87,23.76,6.46,23.71,34.67,17.54,23.0,0.7,27-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Feb-2019 - 00:00,12.18,982.83,86.82,42.58,235.95,0.81,101.39,45.16,1.66,33.27,22.86,44.63,58.72,41.83,11.64,6.28,1.29,28-Feb-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Feb-2019 - 00:00,14.54,986.41,67.4,162.19,255.55,1.34,149.81,69.51,2.65,33.17,24.83,52.0,65.87,43.99,16.11,21.2,1.24,01-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Mar-2019 - 00:00,16.38,986.77,57.52,164.52,275.65,1.24,175.69,81.01,3.07,44.82,25.9,61.01,76.84,51.07,15.29,21.1,1.38,02-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Mar-2019 - 00:00,14.99,987.3,82.9,38.27,133.94,0.73,139.59,81.33,3.59,51.23,30.35,24.91,44.23,44.93,19.55,12.78,1.51,03-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Mar-2019 - 00:00,16.0,984.12,87.68,111.98,96.27,1.02,88.58,52.92,1.55,28.96,23.0,16.55,26.01,23.48,13.65,19.35,1.17,04-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Mar-2019 - 00:00,18.35,981.01,80.45,135.52,238.76,1.22,163.35,82.14,3.29,41.99,29.02,55.17,63.71,35.24,17.07,21.06,1.8,05-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Mar-2019 - 00:00,17.59,982.12,70.41,160.4,268.61,1.71,127.46,58.75,1.84,29.53,24.36,26.41,38.77,32.44,14.51,22.64,1.16,06-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Mar-2019 - 00:00,17.92,983.13,60.33,172.63,258.79,1.68,142.68,61.49,2.32,33.33,22.97,35.52,49.84,39.27,14.57,23.15,1.06,07-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Mar-2019 - 00:00,18.9,983.52,58.05,170.07,242.23,0.99,186.21,85.08,3.57,48.99,27.23,55.5,71.78,49.95,18.03,23.79,1.36,08-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Mar-2019 - 00:00,19.7,985.16,57.72,153.38,274.19,0.99,198.17,78.18,3.63,47.01,27.07,60.18,74.93,48.61,17.0,22.53,1.54,09-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Mar-2019 - 00:00,20.45,985.1,53.56,162.01,287.24,1.48,155.07,60.66,2.65,35.72,25.82,25.52,41.66,39.15,15.22,20.69,0.83,10-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Mar-2019 - 00:00,20.15,985.44,47.83,184.5,215.59,1.21,153.67,62.62,2.34,29.48,23.92,25.87,44.35,43.8,18.3,32.34,0.94,11-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Mar-2019 - 00:00,21.11,985.01,54.75,143.6,120.89,1.62,175.71,69.24,2.2,30.69,26.97,19.91,32.84,31.24,19.07,35.9,1.31,12-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Mar-2019 - 00:00,21.01,986.89,55.38,143.03,304.56,1.37,119.85,47.69,2.03,29.34,24.7,15.27,31.66,36.07,13.09,23.83,0.73,13-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Mar-2019 - 00:00,19.47,987.24,55.16,73.68,242.55,0.76,240.01,79.93,4.32,45.02,28.1,54.24,77.49,62.53,25.53,14.44,1.59,14-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Mar-2019 - 00:00,17.96,987.87,68.14,119.54,267.96,1.39,214.32,102.24,7.25,57.62,37.17,62.93,77.23,48.63,20.41,13.75,1.42,15-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Mar-2019 - 00:00,18.94,989.23,64.08,180.48,282.58,1.48,142.15,72.21,3.82,33.69,30.71,31.77,47.47,40.59,20.16,23.75,1.16,16-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Mar-2019 - 00:00,20.12,987.76,53.27,179.24,274.67,1.6,134.28,61.74,2.85,20.99,25.78,21.43,39.96,42.32,17.58,34.12,1.0,17-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Mar-2019 - 00:00,21.17,985.92,50.72,181.93,260.8,1.48,162.1,77.82,3.6,27.78,28.23,28.51,49.29,49.01,23.49,29.02,1.19,18-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Mar-2019 - 00:00,21.15,985.45,53.5,185.46,256.66,1.18,177.23,87.81,3.77,30.04,29.84,35.21,56.85,52.84,24.75,28.27,1.4,19-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Mar-2019 - 00:00,23.34,982.02,48.53,183.37,227.59,1.3,208.67,91.54,4.49,40.6,31.12,26.56,48.7,50.81,26.36,26.6,1.54,20-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
20-Mar-2019 - 00:00,25.26,980.48,44.9,160.23,126.31,1.34,199.08,83.46,3.52,17.43,28.33,13.86,30.7,36.44,32.98,28.78,1.04,21-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
21-Mar-2019 - 00:00,24.48,983.59,47.89,161.68,249.64,1.12,195.16,110.09,5.09,18.46,35.97,13.73,29.15,33.72,26.98,34.9,1.41,22-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
22-Mar-2019 - 00:00,23.74,985.65,37.25,200.17,277.89,1.96,110.56,30.01,1.67,10.91,22.12,9.27,23.24,29.45,14.85,33.97,0.85,23-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
23-Mar-2019 - 00:00,23.99,984.86,40.11,197.9,271.64,2.41,125.81,44.12,1.91,13.09,23.73,6.19,20.34,28.73,18.19,40.03,1.04,24-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
24-Mar-2019 - 00:00,24.78,983.26,42.65,190.62,279.29,1.92,120.6,45.45,1.91,13.1,23.76,8.18,22.82,30.35,21.92,29.87,0.72,25-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
25-Mar-2019 - 00:00,23.53,983.54,53.19,168.69,283.76,1.92,138.98,57.22,2.49,14.16,26.96,14.71,29.88,33.6,24.47,24.12,1.35,26-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
26-Mar-2019 - 00:00,23.7,984.92,50.03,192.98,272.47,1.93,156.31,62.42,3.1,21.42,26.12,22.33,40.27,41.45,19.35,26.49,1.1,27-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
27-Mar-2019 - 00:00,24.7,985.59,44.06,175.0,264.58,1.69,165.85,61.0,3.96,26.62,25.93,33.63,53.6,49.23,21.03,31.17,1.32,28-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
28-Mar-2019 - 00:00,26.86,983.53,44.18,185.32,231.27,0.9,200.22,73.23,5.59,51.59,28.97,47.33,67.69,54.74,23.74,34.55,1.81,29-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
29-Mar-2019 - 00:00,28.39,980.53,50.62,176.14,209.21,0.82,232.8,86.97,7.09,60.68,35.84,65.01,82.29,55.33,25.49,32.62,2.04,30-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
30-Mar-2019 - 00:00,29.58,979.56,45.5,162.44,156.09,0.73,187.27,73.33,4.24,31.18,34.07,22.2,39.53,40.34,25.77,36.73,1.27,31-Mar-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
31-Mar-2019 - 00:00,28.36,980.18,36.49,200.29,279.47,2.01,163.12,43.6,2.23,15.8,25.37,10.53,34.75,49.16,23.29,31.95,0.75,01-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
01-Apr-2019 - 00:00,27.16,980.49,32.54,204.62,271.84,2.34,149.43,44.4,2.09,11.43,23.96,9.63,32.95,47.27,23.93,40.58,0.73,02-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
02-Apr-2019 - 00:00,26.91,981.28,36.44,181.35,234.68,0.93,195.15,72.48,4.21,34.52,27.24,36.5,74.37,83.91,30.45,39.04,1.2,03-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
03-Apr-2019 - 00:00,27.95,980.28,34.96,197.79,225.25,1.31,190.75,71.0,4.44,42.56,28.46,32.24,67.62,77.59,27.51,33.38,1.32,04-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
04-Apr-2019 - 00:00,29.36,980.83,38.37,179.71,180.67,0.9,250.43,100.6,9.08,68.31,33.79,40.28,71.8,73.15,50.84,32.18,1.59,05-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
05-Apr-2019 - 00:00,30.77,979.82,37.21,170.32,182.28,0.98,269.68,103.26,0.02,0.06,35.89,22.63,51.06,61.43,50.18,40.14,2.31,06-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
06-Apr-2019 - 00:00,31.69,978.69,33.41,168.41,209.57,1.08,283.12,72.08,2.31,19.53,30.22,29.02,50.27,50.02,24.51,22.45,1.89,07-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
07-Apr-2019 - 00:00,28.74,978.14,57.5,135.16,112.14,1.41,308.2,129.55,4.37,19.74,44.13,7.54,20.77,27.51,19.09,18.5,1.53,08-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
08-Apr-2019 - 00:00,27.51,978.91,51.05,167.05,114.73,1.03,278.75,76.29,1.96,12.65,36.26,4.69,17.63,26.0,16.85,26.17,1.76,09-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
09-Apr-2019 - 00:00,28.54,978.59,46.77,185.66,129.18,0.84,199.38,69.88,4.15,37.01,33.52,25.25,44.64,45.21,26.28,27.21,1.05,10-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
10-Apr-2019 - 00:00,31.21,979.73,38.93,191.82,258.2,1.04,238.71,76.33,6.03,55.61,36.48,47.64,70.26,59.15,23.69,24.81,1.96,11-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
11-Apr-2019 - 00:00,31.71,979.47,33.94,186.04,244.13,1.06,196.71,60.5,3.68,29.31,29.38,26.05,46.87,48.37,22.49,24.51,1.8,12-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
12-Apr-2019 - 00:00,30.46,980.0,36.08,172.69,302.21,1.48,221.42,54.54,3.23,22.76,29.71,23.2,40.44,40.44,20.73,28.97,1.99,13-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
13-Apr-2019 - 00:00,31.42,980.45,32.6,197.31,300.52,1.75,164.04,44.5,2.29,14.88,26.39,9.34,26.52,35.54,20.03,24.05,1.88,14-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
14-Apr-2019 - 00:00,31.83,980.24,30.56,194.19,288.18,1.65,176.38,46.42,2.24,18.11,23.83,13.47,31.14,37.94,20.65,20.99,1.81,15-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
15-Apr-2019 - 00:00,33.29,978.33,26.92,201.94,272.37,1.52,180.29,40.83,3.11,15.7,24.24,15.19,35.06,42.68,19.22,24.12,1.79,16-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
16-Apr-2019 - 00:00,25.65,981.91,53.75,94.04,175.55,2.42,165.5,43.88,1.19,7.73,26.3,3.62,11.76,16.57,12.9,21.11,1.33,17-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
17-Apr-2019 - 00:00,22.16,982.87,68.92,149.19,126.98,1.79,32.27,13.71,0.79,5.21,23.32,2.92,9.41,13.23,10.59,19.21,0.99,18-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
18-Apr-2019 - 00:00,24.15,983.39,55.98,189.34,174.56,0.9,84.99,27.77,2.28,16.17,22.23,17.9,34.15,36.63,16.99,19.35,2.01,19-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
19-Apr-2019 - 00:00,26.73,980.96,42.57,205.56,258.05,1.38,159.55,67.36,3.6,23.25,28.66,16.69,34.61,39.47,23.41,19.02,1.64,20-Apr-2019 - 00:00,"Dr. Karni Singh Shooting Range, Delhi - DPCC"
