from date,PM2.5,PM10,NO,NOx,NO2,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,AT,BP,RH,WD,RF,WS,to date,station
16-May-2019 - 00:00,24.7,42.3,2.32,15.97,11.33,8.48,17.79,0.47,51.28,0.39,0.0,0.16,25.52,996.48,80.59,108.54,0.02,1.22,17-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
17-May-2019 - 00:00,22.61,34.35,3.15,20.2,14.02,8.14,17.08,0.51,52.02,0.21,0.01,0.23,25.23,993.99,85.11,138.7,0.03,0.97,18-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
18-May-2019 - 00:00,22.24,35.1,2.36,14.17,9.6,7.39,16.39,0.44,55.73,0.33,0.03,0.19,25.04,987.78,83.47,108.9,0.07,1.27,19-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
19-May-2019 - 00:00,46.17,72.07,6.05,23.54,12.7,7.14,16.44,0.82,35.2,0.49,0.11,0.62,27.95,995.24,79.0,211.77,0.0,0.9,20-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
20-May-2019 - 00:00,34.53,61.99,7.59,28.32,14.81,9.7,16.11,0.54,54.45,0.26,0.02,0.34,28.15,998.34,72.82,142.44,0.01,1.11,21-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
21-May-2019 - 00:00,32.83,55.54,4.31,21.71,13.65,8.64,15.89,0.56,45.31,3.23,2.96,3.21,27.1,994.1,78.54,112.65,0.03,1.09,22-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
22-May-2019 - 00:00,25.57,40.91,2.3,14.23,9.77,8.4,15.73,0.42,47.72,0.2,0.01,0.17,26.56,991.15,81.58,103.78,0.11,1.5,23-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
23-May-2019 - 00:00,13.84,23.08,2.22,15.13,10.72,8.68,15.87,0.39,51.97,0.24,0.03,0.22,24.16,996.46,84.62,124.58,0.02,1.18,24-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
24-May-2019 - 00:00,11.4,59.3,1.78,13.13,9.53,7.92,15.81,0.36,61.58,0.12,0.0,0.14,22.95,987.32,89.53,93.07,0.07,1.59,25-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
25-May-2019 - 00:00,19.74,673.34,3.54,19.92,13.17,4.99,15.45,0.57,38.86,0.24,0.0,0.25,23.64,989.48,91.61,155.8,0.16,1.11,26-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
26-May-2019 - 00:00,37.24,457.66,15.02,43.91,17.99,5.73,15.75,0.85,28.62,0.52,0.0,0.52,27.11,987.91,81.41,206.87,0.06,1.17,27-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
27-May-2019 - 00:00,24.77,44.01,10.97,35.5,16.35,7.03,15.89,0.59,48.47,0.31,0.0,0.31,25.4,988.93,84.92,122.16,0.06,1.27,28-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
28-May-2019 - 00:00,21.99,38.36,3.91,20.87,13.49,5.97,16.04,0.54,42.3,0.22,0.0,0.19,26.36,995.39,81.64,120.34,0.02,1.16,29-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
29-May-2019 - 00:00,45.55,87.78,16.66,47.69,18.98,5.93,16.34,0.81,35.35,0.51,0.01,0.45,28.04,991.34,77.43,125.74,0.04,1.06,30-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
30-May-2019 - 00:00,42.37,81.19,16.85,50.84,21.61,7.26,16.38,0.72,50.22,5.41,18.79,19.32,25.88,993.61,81.03,124.59,0.02,1.02,31-May-2019 - 00:00,"Railway Colony, Guwahati - APCB"
31-May-2019 - 00:00,24.82,43.77,5.97,29.25,18.18,6.13,16.08,0.55,54.65,0.38,0.01,0.41,25.11,992.46,81.72,116.77,0.05,1.32,01-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
01-Jun-2019 - 00:00,42.4,78.58,17.88,53.01,22.1,6.12,16.51,0.84,37.9,0.48,0.02,0.86,27.36,992.36,76.95,133.65,0.03,0.9,02-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
02-Jun-2019 - 00:00,59.65,106.74,19.8,53.67,19.77,6.26,16.56,0.83,27.34,0.54,0.03,0.82,28.47,992.86,77.28,198.25,0.06,1.06,03-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
03-Jun-2019 - 00:00,23.13,38.74,1.97,14.99,10.96,6.59,16.24,0.44,45.82,0.25,0.04,0.32,27.05,992.25,79.88,197.31,0.05,1.03,04-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
04-Jun-2019 - 00:00,12.77,22.12,3.09,17.3,11.41,6.58,16.17,0.37,42.3,0.26,0.07,0.33,25.03,990.11,85.69,105.62,0.06,1.38,05-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
05-Jun-2019 - 00:00,17.41,34.68,3.13,15.08,9.29,4.68,16.17,0.45,35.36,0.47,0.04,0.25,27.81,991.32,78.9,133.43,0.04,1.13,06-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
06-Jun-2019 - 00:00,31.22,87.67,3.98,20.8,13.33,5.03,16.36,0.5,26.02,0.37,0.14,0.53,29.21,991.21,76.19,211.84,0.05,1.18,07-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
07-Jun-2019 - 00:00,28.01,59.64,6.12,23.64,12.7,7.98,16.52,0.6,33.26,0.42,0.27,0.75,29.3,988.76,74.18,176.61,0.06,1.04,08-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
08-Jun-2019 - 00:00,11.51,18.89,2.76,11.83,6.81,9.98,16.83,0.38,28.34,0.24,0.14,0.44,28.54,989.03,77.07,191.57,0.04,1.22,09-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
09-Jun-2019 - 00:00,20.66,32.78,6.09,19.48,8.85,9.87,16.85,0.41,25.65,0.25,0.18,0.53,28.86,990.18,78.28,182.99,0.03,0.74,10-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
10-Jun-2019 - 00:00,19.47,37.52,10.6,29.48,11.28,10.04,13.79,0.51,16.51,0.35,0.25,0.71,29.67,979.2,74.2,176.74,0.12,1.19,11-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
11-Jun-2019 - 00:00,27.07,44.36,4.66,21.81,13.23,10.73,10.42,0.54,3.17,0.34,0.32,0.76,29.07,988.74,75.85,186.36,0.12,1.15,12-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
12-Jun-2019 - 00:00,37.06,76.25,9.57,36.19,19.11,11.16,10.68,0.68,3.21,0.3,0.4,0.92,31.15,981.78,69.07,165.94,0.06,0.99,13-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
13-Jun-2019 - 00:00,44.91,80.07,10.55,33.4,15.01,10.12,10.52,0.55,2.95,0.4,0.27,0.68,31.09,984.36,69.9,161.51,0.08,1.21,14-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
14-Jun-2019 - 00:00,17.68,32.1,6.96,25.8,13.42,9.34,10.46,0.45,1.8,0.41,0.26,0.72,27.56,987.07,84.86,171.55,0.05,0.81,15-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
15-Jun-2019 - 00:00,24.66,42.05,3.27,16.1,10.01,8.1,10.48,0.55,3.33,0.38,0.27,0.66,29.37,985.21,76.87,211.34,0.05,1.06,16-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
16-Jun-2019 - 00:00,26.39,43.45,3.02,17.11,11.35,8.21,10.55,0.51,3.79,0.33,0.16,0.53,29.03,985.88,79.61,161.18,0.06,1.13,17-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
17-Jun-2019 - 00:00,34.19,49.25,2.53,19.15,14.02,6.73,10.55,0.54,3.61,0.39,0.21,0.62,28.43,984.54,81.28,154.47,0.07,0.91,18-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
18-Jun-2019 - 00:00,35.04,59.42,6.14,27.17,15.94,6.03,10.62,0.62,3.14,0.37,0.27,0.8,29.47,989.92,79.67,169.67,0.03,1.18,19-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
19-Jun-2019 - 00:00,55.99,106.66,13.71,46.01,21.94,7.77,10.57,0.75,2.58,0.42,0.45,1.17,31.44,989.73,71.58,138.61,0.02,0.96,20-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
20-Jun-2019 - 00:00,39.25,72.59,9.0,32.19,16.26,8.83,10.55,0.68,1.77,0.25,0.45,1.22,30.18,988.34,77.32,152.29,0.05,1.0,21-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
21-Jun-2019 - 00:00,32.57,62.28,13.62,38.81,15.36,9.32,10.57,0.76,1.3,3.42,3.59,4.29,27.41,991.16,87.08,177.06,0.07,0.83,22-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
22-Jun-2019 - 00:00,27.23,49.81,5.84,21.34,10.97,8.31,10.56,0.59,2.06,0.26,0.27,0.74,29.66,990.11,76.99,213.08,0.05,1.14,23-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
23-Jun-2019 - 00:00,19.01,35.24,1.53,9.5,6.52,7.24,10.64,0.34,4.45,0.16,0.06,0.33,31.09,991.27,71.14,250.28,0.02,2.19,24-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
24-Jun-2019 - 00:00,24.45,45.88,3.02,15.93,10.25,12.57,11.34,0.39,4.93,0.22,0.06,0.38,31.32,988.31,70.6,229.45,0.1,2.33,25-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
25-Jun-2019 - 00:00,30.1,56.36,8.14,28.38,14.04,15.11,11.58,0.48,3.2,0.6,0.38,1.3,29.78,989.64,78.95,212.27,0.04,1.36,26-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
26-Jun-2019 - 00:00,17.85,27.58,2.1,13.96,9.82,9.12,10.58,0.43,2.97,0.24,0.18,0.54,27.1,991.06,84.66,207.89,0.0,1.1,27-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
27-Jun-2019 - 00:00,19.33,26.58,2.33,13.32,8.87,8.3,10.64,0.46,2.18,0.5,0.17,0.54,26.06,984.8,90.13,185.94,0.06,1.02,28-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
28-Jun-2019 - 00:00,29.14,42.68,4.85,24.03,14.98,6.95,10.66,0.58,2.04,22.96,122.66,123.64,26.96,983.49,85.13,144.33,0.06,0.74,29-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
29-Jun-2019 - 00:00,23.5,37.65,7.29,25.98,13.1,6.2,10.74,0.53,2.02,0.72,0.32,1.01,26.6,987.16,87.05,121.1,0.04,0.95,30-Jun-2019 - 00:00,"Railway Colony, Guwahati - APCB"
30-Jun-2019 - 00:00,32.76,61.3,12.95,36.21,13.96,5.5,10.79,0.68,2.25,0.58,0.41,1.26,29.86,988.28,77.61,156.27,0.07,0.86,01-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
01-Jul-2019 - 00:00,30.88,59.03,17.27,45.37,15.88,5.61,10.83,0.6,2.12,0.56,0.38,1.15,30.22,980.61,76.63,153.91,0.05,1.21,02-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
02-Jul-2019 - 00:00,13.82,26.61,3.57,16.1,9.56,6.08,10.69,0.37,1.98,3.84,3.29,3.69,29.01,990.29,81.32,152.36,0.02,1.42,03-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
03-Jul-2019 - 00:00,12.81,25.73,4.87,18.74,10.02,5.13,10.76,0.34,1.52,3.86,3.58,4.04,28.99,989.61,81.26,166.34,0.04,1.16,04-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
04-Jul-2019 - 00:00,16.13,34.21,2.94,15.8,10.29,4.55,10.68,0.43,4.27,0.49,0.19,0.69,30.12,984.3,77.0,168.22,0.07,1.26,05-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
05-Jul-2019 - 00:00,20.81,42.99,5.33,22.49,12.83,5.67,10.59,0.5,13.54,0.05,0.2,0.79,29.95,986.36,80.6,155.56,0.08,1.06,06-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
06-Jul-2019 - 00:00,6.87,73.22,3.92,16.04,8.96,5.01,10.34,0.28,22.68,0.02,294.92,263.0,27.96,975.85,82.49,110.75,0.02,1.41,07-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
07-Jul-2019 - 00:00,4.89,10.98,2.06,10.51,6.67,3.79,10.27,0.25,21.77,,655.35,655.35,27.58,973.99,83.68,93.95,0.14,1.81,08-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
08-Jul-2019 - 00:00,9.43,81.68,3.93,13.58,6.67,3.65,10.29,0.26,20.06,23.43,501.4,501.47,26.39,974.29,90.06,122.78,0.14,1.19,09-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
09-Jul-2019 - 00:00,117.61,485.88,14.58,32.71,9.42,20.69,9.29,0.39,22.53,67.22,80.51,80.71,26.86,978.22,91.59,156.94,0.28,0.61,10-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
10-Jul-2019 - 00:00,61.36,72.44,20.19,46.83,13.55,22.8,9.98,0.79,11.85,11.25,244.28,244.74,24.94,984.48,88.93,111.17,0.06,0.62,11-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
11-Jul-2019 - 00:00,23.95,32.63,6.48,21.14,9.79,11.86,10.4,0.49,17.97,0.15,0.12,0.53,26.08,980.97,89.28,137.32,0.08,0.85,12-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
12-Jul-2019 - 00:00,24.13,35.78,4.82,19.43,10.77,8.91,10.5,0.56,12.97,3.65,3.51,3.92,26.53,989.19,88.14,210.43,0.06,0.82,13-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
13-Jul-2019 - 00:00,25.59,46.26,7.84,25.77,12.06,9.89,10.5,0.56,8.81,0.2,0.07,0.44,26.98,982.87,83.82,193.57,0.16,1.05,14-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
14-Jul-2019 - 00:00,20.02,34.2,7.6,22.87,9.72,8.1,10.62,0.42,8.68,0.14,0.13,0.56,25.69,977.37,88.43,127.5,0.11,1.23,15-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
15-Jul-2019 - 00:00,23.68,72.5,4.46,17.5,9.49,6.55,10.68,0.52,7.51,0.21,0.06,0.4,24.77,978.77,90.82,168.85,0.1,1.02,16-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
16-Jul-2019 - 00:00,60.86,111.69,8.26,25.65,11.28,6.1,10.64,0.63,4.56,0.29,0.12,0.54,27.35,979.55,81.54,210.11,0.1,1.28,17-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
17-Jul-2019 - 00:00,50.55,116.99,12.36,31.66,10.61,7.63,10.79,0.51,13.57,0.13,0.13,0.54,28.05,985.21,80.13,165.32,0.11,1.2,18-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
18-Jul-2019 - 00:00,45.31,81.41,8.05,24.85,10.88,6.18,10.86,0.58,11.26,0.05,0.14,0.66,29.59,989.57,77.2,126.82,0.04,1.1,19-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
19-Jul-2019 - 00:00,40.37,66.63,5.94,21.5,10.95,6.95,11.12,0.57,5.64,0.08,0.22,0.93,29.8,987.33,72.71,210.24,0.05,1.55,20-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
20-Jul-2019 - 00:00,25.68,166.06,4.93,18.76,9.94,8.72,10.91,0.42,1.55,3.21,3.25,3.61,29.49,980.92,74.14,221.72,0.1,2.06,21-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
21-Jul-2019 - 00:00,23.84,41.04,2.22,10.85,6.73,8.55,10.97,0.34,1.48,0.16,0.02,0.23,29.34,986.0,78.59,243.48,0.18,2.36,22-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
22-Jul-2019 - 00:00,40.39,58.86,3.05,13.99,8.4,7.34,10.91,0.41,10.52,0.23,0.06,0.39,27.96,988.37,81.99,219.92,0.06,1.35,23-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
23-Jul-2019 - 00:00,17.29,117.28,2.41,11.8,7.31,7.8,10.87,0.37,19.75,0.33,0.0,0.25,27.31,981.44,83.36,137.5,0.14,1.16,24-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
24-Jul-2019 - 00:00,20.95,79.77,5.71,20.94,10.77,7.46,10.89,0.4,16.95,0.07,0.12,0.52,27.73,989.77,83.01,210.49,0.04,1.11,25-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
25-Jul-2019 - 00:00,26.45,47.48,7.66,23.55,10.24,6.86,10.47,0.54,18.46,0.11,0.17,0.66,29.11,989.75,79.09,167.51,0.05,1.09,26-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
26-Jul-2019 - 00:00,37.97,55.36,3.42,15.01,8.77,6.51,11.06,0.36,20.07,0.33,0.03,0.3,28.44,988.76,81.9,120.15,0.05,1.22,27-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
27-Jul-2019 - 00:00,12.77,29.16,4.95,16.84,8.15,4.08,11.3,0.36,18.67,0.07,0.05,0.25,27.32,987.52,84.94,114.43,0.06,1.26,28-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
28-Jul-2019 - 00:00,24.24,47.5,11.74,29.31,9.36,3.71,11.27,0.57,16.78,0.15,0.04,0.34,28.92,989.49,78.96,139.52,0.06,1.11,29-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
29-Jul-2019 - 00:00,59.81,177.1,6.56,22.51,10.96,4.49,10.86,0.44,17.66,0.22,0.07,0.33,29.79,989.99,73.4,204.04,0.05,0.99,30-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
30-Jul-2019 - 00:00,47.73,130.76,6.01,21.05,10.46,7.31,11.18,0.45,14.82,0.38,0.1,0.45,29.65,991.03,75.06,242.04,0.02,1.43,31-Jul-2019 - 00:00,"Railway Colony, Guwahati - APCB"
31-Jul-2019 - 00:00,41.69,131.29,3.26,12.79,8.12,9.03,11.03,0.36,18.18,0.09,0.03,0.31,28.1,988.01,81.23,216.86,0.04,1.29,01-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
01-Aug-2019 - 00:00,27.22,37.44,5.72,19.84,9.73,7.32,11.19,0.33,17.69,0.21,0.05,0.42,27.33,984.98,82.81,118.81,0.05,1.08,02-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
02-Aug-2019 - 00:00,60.51,146.85,6.11,18.33,7.77,4.82,11.14,0.43,17.39,0.18,0.1,0.5,29.23,987.05,77.18,141.34,0.1,1.18,03-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
03-Aug-2019 - 00:00,63.11,123.43,5.58,19.21,9.38,4.89,11.14,0.44,16.41,0.06,0.13,0.58,29.7,989.24,78.28,170.75,0.02,1.02,04-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
04-Aug-2019 - 00:00,18.99,41.01,7.74,24.2,10.71,6.11,11.37,0.49,17.77,0.17,0.14,0.55,29.92,983.86,76.71,136.93,0.06,1.17,05-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
05-Aug-2019 - 00:00,49.12,172.8,6.78,22.13,10.28,3.79,11.09,0.46,18.35,0.14,0.06,0.4,31.18,985.31,74.85,132.66,0.05,1.35,06-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
06-Aug-2019 - 00:00,20.76,93.83,6.95,22.15,10.03,5.57,11.32,0.58,20.36,0.15,0.13,0.52,32.01,983.31,75.58,112.23,0.04,1.41,07-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
07-Aug-2019 - 00:00,11.71,30.76,4.84,18.09,9.46,8.96,11.5,0.38,15.64,0.07,0.09,0.46,31.6,980.61,68.27,138.63,0.04,1.53,08-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
08-Aug-2019 - 00:00,11.24,107.85,4.93,18.37,9.59,8.13,11.4,0.35,15.58,17.42,19.91,20.2,29.95,991.66,76.93,150.67,0.02,1.44,09-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
09-Aug-2019 - 00:00,35.54,374.01,3.25,14.7,8.72,6.77,11.3,0.37,15.73,2.09,165.32,165.43,29.56,983.43,76.51,243.45,0.07,1.78,10-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
10-Aug-2019 - 00:00,16.31,197.89,3.07,11.64,6.17,6.49,11.41,0.37,16.04,31.98,502.34,502.41,30.29,986.03,76.24,197.35,0.03,1.46,11-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
11-Aug-2019 - 00:00,27.9,171.27,5.82,21.17,10.85,5.47,11.64,0.44,16.39,0.12,0.04,0.26,31.45,988.76,74.5,130.44,0.01,1.19,12-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
12-Aug-2019 - 00:00,22.69,898.3,9.05,25.69,10.09,4.6,11.27,0.47,15.85,0.27,265.36,265.62,31.01,982.62,74.2,133.5,0.07,1.6,13-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
13-Aug-2019 - 00:00,14.39,512.54,3.96,16.31,9.16,5.38,11.24,0.4,15.65,16.46,284.68,284.77,29.23,990.62,77.8,185.56,0.03,1.02,14-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
14-Aug-2019 - 00:00,16.76,29.63,3.18,13.57,7.8,7.13,11.42,0.34,15.72,11.65,305.38,305.43,28.5,991.81,78.57,197.09,0.05,1.26,15-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
15-Aug-2019 - 00:00,18.26,33.56,5.18,15.26,6.34,9.88,11.94,0.36,15.84,4.24,8.94,9.05,27.67,986.5,82.54,211.02,0.08,1.48,16-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
16-Aug-2019 - 00:00,23.14,70.23,10.8,31.98,13.29,7.37,11.78,0.53,15.89,21.63,28.22,28.61,27.64,984.76,84.89,220.84,0.12,0.82,17-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
17-Aug-2019 - 00:00,30.31,54.96,6.97,22.69,10.49,6.46,11.79,0.55,16.31,0.22,19.01,19.34,29.19,981.46,76.64,181.25,0.21,1.17,18-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
18-Aug-2019 - 00:00,22.04,41.5,2.28,10.25,6.09,5.25,11.73,0.42,15.89,,655.35,655.35,29.92,987.12,73.2,232.69,0.11,1.47,19-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
19-Aug-2019 - 00:00,20.2,40.23,4.68,17.34,9.02,4.93,11.75,0.37,16.0,89.45,438.18,438.18,29.14,987.32,74.6,232.02,0.16,1.62,20-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
20-Aug-2019 - 00:00,24.86,46.53,2.75,12.35,7.31,5.38,11.86,0.42,16.41,7.79,328.73,328.76,30.08,991.44,73.04,230.08,0.03,1.57,21-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
21-Aug-2019 - 00:00,27.55,51.07,2.86,14.98,9.62,5.84,11.88,0.42,16.33,10.84,188.78,188.79,30.77,984.6,68.96,197.68,0.06,1.08,22-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
22-Aug-2019 - 00:00,31.94,66.63,8.85,29.91,14.36,6.63,12.03,0.55,16.1,34.87,345.89,345.92,30.34,986.89,72.09,162.25,0.01,1.07,23-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
23-Aug-2019 - 00:00,23.24,42.83,2.86,13.93,8.64,6.17,12.01,0.42,16.33,,655.35,655.35,28.99,992.05,79.06,188.43,0.02,1.23,24-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
24-Aug-2019 - 00:00,8.9,19.89,2.4,11.44,6.98,5.44,12.08,0.34,16.23,,655.35,655.35,28.7,990.06,79.99,157.49,0.04,1.35,25-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
25-Aug-2019 - 00:00,11.41,22.0,1.83,9.4,5.96,3.71,11.94,0.34,16.51,,655.35,655.35,30.52,993.33,73.23,219.64,0.03,1.42,26-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
26-Aug-2019 - 00:00,21.95,38.66,9.26,28.24,12.17,4.65,12.25,0.46,20.13,34.21,477.86,477.86,30.05,988.8,76.93,185.8,0.06,1.29,27-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
27-Aug-2019 - 00:00,23.16,46.09,10.1,30.21,12.72,5.13,12.1,0.58,38.1,62.02,419.38,419.38,30.64,988.93,74.84,196.46,0.05,1.1,28-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
28-Aug-2019 - 00:00,26.53,42.09,6.59,23.69,12.01,5.25,11.82,0.58,19.37,52.34,308.57,308.57,29.24,988.74,82.34,191.03,0.14,0.78,29-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
29-Aug-2019 - 00:00,20.83,35.3,4.95,18.48,9.68,5.89,11.79,0.53,12.63,62.93,318.37,318.37,29.68,989.05,78.54,162.07,0.04,0.91,30-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
30-Aug-2019 - 00:00,21.49,36.71,14.64,35.68,10.89,7.28,11.98,0.56,23.38,25.37,32.14,32.14,29.34,978.49,75.57,192.63,0.17,1.21,31-Aug-2019 - 00:00,"Railway Colony, Guwahati - APCB"
31-Aug-2019 - 00:00,16.1,38.64,8.61,23.86,9.58,10.71,12.02,0.56,66.48,73.75,374.02,374.02,27.52,979.5,83.49,191.51,0.12,0.88,01-Sep-2019 - 00:00,"Railway Colony, Guwahati - APCB"
01-Sep-2019 - 00:00,25.3,55.69,10.48,29.77,11.73,6.86,12.17,0.68,23.3,,655.35,655.35,29.88,989.14,76.11,140.49,0.02,1.13,02-Sep-2019 - 00:00,"Railway Colony, Guwahati - APCB"
02-Sep-2019 - 00:00,31.64,68.39,17.88,47.0,16.48,3.75,12.05,0.72,7.12,,655.35,655.35,29.68,991.26,80.64,186.65,0.03,0.75,03-Sep-2019 - 00:00,"Railway Colony, Guwahati - APCB"
03-Sep-2019 - 00:00,13.51,30.8,8.7,23.73,8.83,3.37,12.11,0.54,8.95,25.0,310.71,310.71,28.92,983.63,79.22,124.36,0.09,1.57,04-Sep-2019 - 00:00,"Railway Colony, Guwahati - APCB"
04-Sep-2019 - 00:00,17.98,33.04,12.2,30.59,9.87,3.54,12.19,0.58,10.04,8.02,8.02,8.02,26.92,967.94,85.38,187.55,0.16,1.06,05-Sep-2019 - 00:00,"Railway Colony, Guwahati - APCB"
05-Sep-2019 - 00:00,13.81,31.06,10.05,26.32,9.19,5.17,12.52,0.58,11.06,0.0,0.0,0.0,27.47,983.67,86.1,113.03,0.13,1.09,06-Sep-2019 - 00:00,"Railway Colony, Guwahati - APCB"
06-Sep-2019 - 00:00,11.53,24.81,3.66,12.88,6.41,4.28,12.19,0.41,12.87,3.54,17.12,17.12,28.7,985.38,80.45,138.13,0.05,1.17,07-Sep-2019 - 00:00,"Railway Colony, Guwahati - APCB"
07-Sep-2019 - 00:00,26.21,50.22,8.28,23.21,8.96,2.59,12.01,0.5,14.71,0.0,0.0,0.0,28.91,994.67,83.55,160.51,0.0,0.73,08-Sep-2019 - 00:00,"Railway Colony, Guwahati - APCB"
