from date,NO2,SO2,CO,Ozone,PM2.5,PM10,NH3,Benzene,RH,SR,WS,WD,RF,to date,station
30-Jan-2019 - 00:00,21.67,21.64,0.43,16.96,49.39,90.52,11.13,5.6,73.4,160.66,1.27,293.91,0.0,31-Jan-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
31-Jan-2019 - 00:00,21.38,23.42,0.36,17.21,58.43,110.66,11.0,5.78,81.45,168.56,1.21,189.52,0.0,01-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
01-Feb-2019 - 00:00,22.44,20.3,0.37,16.95,48.33,85.57,11.07,4.67,82.35,158.18,0.57,165.26,0.0,02-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Feb-2019 - 00:00,18.2,6.25,0.29,14.05,34.29,55.31,10.37,4.19,88.01,210.68,0.69,218.55,0.0,03-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Feb-2019 - 00:00,22.24,6.99,0.24,11.74,41.06,75.24,10.99,6.24,88.59,213.42,0.41,223.76,0.0,04-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Feb-2019 - 00:00,21.15,7.0,0.22,11.56,44.32,70.35,10.85,6.1,85.93,209.18,0.65,244.54,0.02,05-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Feb-2019 - 00:00,13.01,15.54,0.18,8.26,52.16,100.98,11.1,4.63,80.73,205.49,0.46,154.39,0.0,06-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Feb-2019 - 00:00,14.7,22.05,0.14,8.43,43.73,94.0,11.25,3.67,79.95,186.74,1.67,137.49,0.0,07-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Feb-2019 - 00:00,11.48,12.72,0.13,8.02,27.75,48.2,11.25,1.4,91.97,114.23,2.06,154.51,0.24,08-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Feb-2019 - 00:00,9.81,12.28,0.13,7.67,17.47,26.67,10.57,0.53,81.11,220.77,2.05,277.95,0.0,09-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Feb-2019 - 00:00,10.82,14.23,0.15,7.1,24.82,54.3,9.87,,82.93,222.56,1.8,304.54,0.0,10-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Feb-2019 - 00:00,13.26,14.32,0.36,7.06,36.41,84.99,10.41,,79.87,221.72,1.2,291.23,0.0,11-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Feb-2019 - 00:00,12.3,8.75,0.36,7.08,34.03,74.02,9.88,,79.99,213.66,1.08,290.46,0.0,12-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Feb-2019 - 00:00,9.52,8.04,0.35,7.07,43.3,94.66,9.46,,82.59,207.48,0.89,280.83,0.0,13-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Feb-2019 - 00:00,8.47,9.8,0.36,7.24,44.38,94.16,9.86,,78.36,190.25,0.35,198.6,0.0,14-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Feb-2019 - 00:00,8.86,8.92,0.27,7.26,49.61,88.12,10.24,,89.07,133.8,1.03,158.74,0.19,15-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Feb-2019 - 00:00,7.78,4.33,0.17,6.82,25.16,40.55,10.42,,91.79,182.5,0.79,198.57,0.01,16-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Feb-2019 - 00:00,7.07,5.82,0.18,6.71,27.79,52.76,9.94,,91.68,228.34,0.81,255.99,0.0,17-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Feb-2019 - 00:00,6.73,12.97,0.18,7.22,30.54,68.59,10.01,,82.25,178.04,1.79,309.49,0.0,18-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Feb-2019 - 00:00,7.46,7.5,0.18,6.65,35.01,63.93,10.17,,91.29,143.3,1.03,226.1,0.02,19-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Feb-2019 - 00:00,10.81,4.96,0.18,7.54,14.52,33.14,10.89,,82.54,220.42,1.2,223.39,0.01,20-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Feb-2019 - 00:00,11.03,11.58,0.17,6.94,23.76,49.46,10.81,,84.18,165.45,1.17,156.12,0.0,21-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Feb-2019 - 00:00,12.13,13.45,0.17,6.9,27.09,52.22,10.72,,82.27,209.82,1.25,180.44,0.0,22-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Feb-2019 - 00:00,10.82,6.52,0.18,7.31,22.81,51.05,10.91,,84.72,233.11,2.28,315.11,0.0,23-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Feb-2019 - 00:00,13.23,12.83,0.21,7.37,25.16,55.42,10.15,,73.81,307.15,2.17,312.62,0.0,24-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Feb-2019 - 00:00,15.9,14.44,0.21,7.21,30.79,72.08,9.42,,73.77,288.42,1.51,310.17,0.0,25-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Feb-2019 - 00:00,11.61,6.97,0.21,7.1,29.91,65.15,10.28,,71.61,271.71,0.46,162.19,0.0,26-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Feb-2019 - 00:00,10.08,5.83,0.19,9.67,18.55,42.3,10.41,,68.84,265.58,1.19,193.23,0.03,27-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Feb-2019 - 00:00,10.14,2.97,0.19,13.08,11.17,25.53,10.09,,75.12,266.35,1.07,259.0,0.0,28-Feb-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Feb-2019 - 00:00,12.9,9.79,0.22,12.56,22.81,54.2,9.49,,75.74,303.21,1.32,286.75,0.0,01-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
01-Mar-2019 - 00:00,11.19,14.86,0.18,13.14,23.93,52.39,10.35,,71.71,325.12,2.27,316.04,0.0,02-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Mar-2019 - 00:00,11.3,17.28,0.19,12.67,27.25,55.7,10.11,,83.84,155.8,0.73,166.98,0.03,03-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
03-Mar-2019 - 00:00,9.52,13.88,0.19,12.86,11.35,18.76,10.31,,82.29,290.58,1.26,299.39,0.0,04-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
04-Mar-2019 - 00:00,11.17,14.73,0.2,12.66,19.47,40.94,10.07,,87.49,261.95,1.39,312.09,0.0,05-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
05-Mar-2019 - 00:00,12.51,17.04,0.19,15.26,19.81,44.57,9.83,,78.41,305.35,1.44,298.81,0.0,06-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
06-Mar-2019 - 00:00,14.21,30.82,0.22,17.57,35.62,71.5,14.01,,74.02,293.56,1.43,283.04,0.0,07-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
07-Mar-2019 - 00:00,23.37,26.4,0.2,17.98,32.46,66.03,18.0,,68.05,285.36,1.56,309.1,0.0,08-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
08-Mar-2019 - 00:00,37.59,25.79,0.2,17.26,36.76,77.88,18.31,,77.03,158.01,1.16,295.78,0.0,09-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
09-Mar-2019 - 00:00,35.92,18.87,0.19,17.44,28.64,61.4,17.23,,72.69,290.62,1.78,309.56,0.0,10-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
10-Mar-2019 - 00:00,44.08,32.61,0.2,17.53,32.24,77.8,17.07,,64.67,287.93,0.88,260.08,0.0,11-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
11-Mar-2019 - 00:00,29.64,17.26,0.19,17.49,25.08,54.23,18.24,,82.18,141.59,1.0,139.34,0.01,12-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
12-Mar-2019 - 00:00,31.42,11.42,0.21,17.55,20.78,46.66,17.86,,65.58,302.21,1.29,267.87,0.0,13-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
13-Mar-2019 - 00:00,34.74,16.96,0.2,17.14,39.86,98.7,18.05,,75.96,164.25,0.76,232.18,0.0,14-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
14-Mar-2019 - 00:00,29.61,7.8,0.2,17.18,21.82,48.25,17.17,,74.42,235.19,0.97,227.05,0.0,15-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
15-Mar-2019 - 00:00,32.96,14.58,0.21,17.45,34.38,70.54,17.21,,73.23,296.64,1.79,297.58,0.0,16-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
16-Mar-2019 - 00:00,31.37,7.2,0.2,17.68,24.35,61.58,16.99,,70.55,282.44,1.75,283.33,0.0,17-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
17-Mar-2019 - 00:00,36.33,9.27,0.19,18.13,28.15,68.72,16.48,,62.64,293.28,1.25,275.56,0.0,18-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
18-Mar-2019 - 00:00,35.54,5.62,0.2,18.3,31.39,70.81,16.65,,67.89,282.85,0.8,248.87,0.0,19-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
19-Mar-2019 - 00:00,33.7,7.41,0.18,19.52,32.79,68.65,17.83,,65.45,289.85,0.85,219.91,0.0,20-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
20-Mar-2019 - 00:00,30.14,7.23,0.21,15.39,33.34,73.11,13.16,,63.21,279.1,1.45,223.97,0.0,21-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
21-Mar-2019 - 00:00,24.07,5.81,0.22,12.18,16.94,43.63,10.84,,56.2,295.52,2.12,318.53,0.0,22-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
22-Mar-2019 - 00:00,28.94,7.39,0.23,12.34,18.28,51.57,9.37,,52.94,266.69,2.52,313.47,0.0,23-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
23-Mar-2019 - 00:00,31.63,11.71,0.25,12.47,27.48,69.59,8.89,,59.36,276.56,2.74,314.06,0.0,24-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
24-Mar-2019 - 00:00,30.21,8.52,0.23,11.99,24.12,60.42,9.15,,67.5,232.26,2.62,312.13,0.0,25-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
25-Mar-2019 - 00:00,36.32,6.79,0.24,11.44,32.47,66.2,8.07,,84.39,157.65,1.15,260.62,0.0,26-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
26-Mar-2019 - 00:00,43.94,9.74,0.23,12.59,34.71,71.16,6.97,,68.09,292.75,1.18,298.93,0.0,27-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
27-Mar-2019 - 00:00,51.55,13.51,0.23,12.65,35.2,92.73,7.2,,63.44,286.61,1.12,297.05,0.0,28-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
28-Mar-2019 - 00:00,46.51,10.06,0.23,13.68,34.25,89.41,7.32,,64.53,285.07,1.34,302.19,0.0,29-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
29-Mar-2019 - 00:00,48.93,7.5,0.25,13.67,38.19,92.26,7.85,,68.85,276.19,0.97,273.71,0.0,30-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
30-Mar-2019 - 00:00,33.97,6.23,0.3,14.02,35.25,98.42,9.34,,66.15,303.77,1.49,270.55,0.0,31-Mar-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
31-Mar-2019 - 00:00,31.06,10.59,0.32,13.59,24.54,80.75,9.19,,53.3,309.57,2.25,310.59,0.0,01-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
01-Apr-2019 - 00:00,37.2,15.09,0.24,13.49,25.76,81.71,9.32,,53.6,309.76,1.89,307.49,0.0,02-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
02-Apr-2019 - 00:00,45.37,11.18,0.26,12.9,34.03,91.41,8.61,,55.03,309.78,0.77,216.37,0.0,03-Apr-2019 - 00:00,"Kalal Majra, Khanna - PPCB"
