from date,NO2,NOx,NO,NH3,SO2,CO,Ozone,PM2.5,PM10,Benzene,Toluene,Xylene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,RF,to date,station
29-Jul-2019 - 00:00,14.52,13.95,6.83,6.46,3.08,2.11,8.67,0.0,33.19,2.24,3.42,1.25,1.85,0.58,81.25,1.3,178.85,360.81,0.0,30-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
30-Jul-2019 - 00:00,14.02,13.57,6.72,6.55,3.04,1.73,9.83,0.0,40.62,2.36,3.2,0.82,1.67,0.5,81.1,1.58,119.86,372.55,0.0,31-Jul-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
31-Jul-2019 - 00:00,10.74,11.44,6.46,6.26,2.78,0.15,22.12,0.0,87.19,1.71,1.71,0.31,0.65,0.24,72.34,1.19,160.53,417.61,0.0,01-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
01-Aug-2019 - 00:00,12.33,12.59,6.7,6.93,2.86,1.74,12.51,0.0,45.86,2.3,2.9,0.5,1.43,0.44,75.63,1.29,168.59,420.5,0.0,02-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
02-Aug-2019 - 00:00,12.42,12.71,6.82,6.86,3.14,1.99,8.7,0.0,35.7,2.17,3.08,0.44,1.53,0.45,84.32,1.74,191.15,222.56,0.0,03-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
03-Aug-2019 - 00:00,13.9,13.45,6.65,6.79,3.02,1.97,10.76,0.0,28.98,2.03,2.94,0.39,1.64,0.42,85.06,1.76,112.34,275.56,0.0,04-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
04-Aug-2019 - 00:00,16.18,15.07,7.0,6.18,3.61,2.07,4.33,0.0,33.49,3.75,5.12,0.69,3.96,0.78,83.66,1.69,180.08,284.2,0.0,05-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
05-Aug-2019 - 00:00,14.77,14.24,7.01,6.09,3.32,2.01,9.49,0.0,33.61,2.85,3.04,0.4,1.86,0.52,87.85,1.89,161.94,239.03,0.0,06-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
06-Aug-2019 - 00:00,17.19,15.57,6.92,5.74,3.34,2.03,6.9,0.0,35.62,2.65,3.33,0.42,1.66,0.44,95.25,1.85,178.38,53.16,0.0,07-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
07-Aug-2019 - 00:00,12.99,12.92,6.68,5.98,2.93,1.96,5.98,0.0,28.52,2.02,2.83,0.33,1.69,0.4,91.74,1.78,189.63,126.89,0.0,08-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
08-Aug-2019 - 00:00,11.41,11.94,6.57,5.94,2.93,2.04,9.48,0.0,33.23,2.01,2.37,0.26,1.33,0.33,79.46,1.72,167.96,351.89,0.0,09-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
09-Aug-2019 - 00:00,12.57,12.64,6.42,17.22,3.88,2.05,8.96,0.0,31.02,5.81,9.1,6.14,9.64,12.71,79.28,1.17,136.16,268.44,0.0,10-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
10-Aug-2019 - 00:00,14.25,13.45,6.41,24.99,6.71,1.99,3.44,0.0,47.84,27.07,,38.51,30.57,88.11,88.57,2.08,148.99,205.08,0.0,11-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
11-Aug-2019 - 00:00,14.13,13.42,6.47,17.7,6.74,1.99,2.97,0.0,51.94,23.17,,25.59,21.7,61.01,80.19,1.51,194.1,327.69,0.0,12-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
12-Aug-2019 - 00:00,12.52,12.53,6.5,13.9,5.07,2.0,8.94,0.0,33.32,11.42,1.68,12.75,10.67,30.46,82.77,2.29,226.79,286.03,0.0,13-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
13-Aug-2019 - 00:00,12.05,12.2,6.45,12.32,4.73,1.78,8.99,0.0,37.04,6.8,2.77,9.84,8.13,23.9,83.79,3.27,251.64,224.32,0.0,14-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
14-Aug-2019 - 00:00,13.04,12.79,6.46,11.66,4.79,1.0,14.15,0.0,27.87,9.24,4.11,9.15,8.71,23.64,87.44,2.28,239.46,244.26,0.0,15-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
15-Aug-2019 - 00:00,13.28,13.04,6.6,8.11,6.18,1.04,7.2,0.0,28.94,3.95,4.18,13.26,12.22,32.81,87.81,2.03,159.35,244.26,0.0,16-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
16-Aug-2019 - 00:00,14.75,13.74,6.4,7.07,5.82,1.01,9.05,0.0,30.78,2.29,2.42,12.06,9.64,28.32,91.91,1.67,112.2,244.26,0.0,17-Aug-2019 - 00:00,"General Hospital, Mandikhera - HSPCB"
