from date,BP,Benzene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,VWS,WD,WS,to date,station
28-Aug-2019 - 00:00,989.68,,0.01,1.06,0.81,0.81,21.92,4.72,16.9,20.34,22.21,74.12,229.89,3.4,-0.65,234.06,0.8,29-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Aug-2019 - 00:00,993.46,,0.0,0.13,0.75,0.1,23.72,3.84,12.56,16.4,17.77,81.25,157.38,3.38,-0.56,231.96,0.72,30-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Aug-2019 - 00:00,979.47,,0.0,0.15,0.68,0.11,15.07,3.67,12.2,15.87,21.15,76.95,165.74,2.41,-0.6,239.94,1.02,31-Aug-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Aug-2019 - 00:00,971.93,,0.0,0.03,0.66,0.02,25.77,3.72,12.56,16.28,18.0,86.03,105.92,2.97,-0.65,235.82,0.92,01-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Sep-2019 - 00:00,984.15,,0.0,0.0,0.62,0.0,30.09,2.91,9.74,12.65,18.35,86.8,100.11,3.41,-0.6,233.5,0.89,02-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Sep-2019 - 00:00,997.55,,0.0,0.0,0.79,0.0,12.5,2.86,9.46,11.84,16.73,90.91,87.58,3.87,-0.56,233.14,0.8,03-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Sep-2019 - 00:00,989.04,,8.15,7.96,0.76,6.07,12.67,3.87,11.8,15.66,16.36,88.53,98.87,4.4,-0.56,236.6,0.94,04-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Sep-2019 - 00:00,983.19,,0.0,0.11,0.71,0.09,17.26,3.51,10.76,14.27,17.02,91.04,96.52,3.52,-0.62,231.38,0.92,05-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Sep-2019 - 00:00,982.86,,0.0,0.6,0.76,0.46,15.44,4.5,12.08,16.38,15.26,88.61,101.22,4.02,-0.59,241.06,1.04,06-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Sep-2019 - 00:00,982.27,,0.0,0.29,0.94,0.22,28.18,4.61,12.05,16.63,14.36,90.1,108.95,4.03,-0.49,237.97,0.92,07-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Sep-2019 - 00:00,989.06,,0.0,0.1,0.67,0.08,18.01,3.58,10.21,13.78,16.22,84.98,151.9,3.87,-0.61,233.41,1.1,08-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Sep-2019 - 00:00,,,0.0,0.0,0.82,0.0,18.43,3.42,9.83,13.23,18.26,83.7,111.09,3.33,-0.68,239.5,0.96,09-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Sep-2019 - 00:00,995.98,,0.0,0.0,0.66,0.0,19.08,3.5,10.9,14.4,19.35,81.0,122.49,3.29,-0.67,235.71,0.92,10-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Sep-2019 - 00:00,987.01,,0.0,0.15,0.77,0.11,23.96,3.19,11.22,14.41,19.23,83.71,124.78,2.56,-0.68,228.27,0.76,11-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Sep-2019 - 00:00,993.0,,0.0,0.19,0.67,0.15,27.31,3.88,13.03,16.91,14.55,84.42,88.19,2.21,-0.67,233.21,0.63,12-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Sep-2019 - 00:00,995.25,,0.0,0.13,0.8,0.1,22.51,4.48,14.36,18.84,12.44,84.83,141.98,3.19,-0.55,240.98,0.65,13-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Sep-2019 - 00:00,995.47,,0.09,0.77,0.81,0.59,23.86,5.45,16.3,21.75,13.25,75.98,188.15,2.66,-0.61,247.86,0.68,14-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Sep-2019 - 00:00,990.28,,0.0,0.31,0.83,0.24,27.14,3.83,13.31,17.15,17.62,77.11,172.16,4.38,-0.7,242.06,0.72,15-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Sep-2019 - 00:00,990.32,,0.0,0.2,0.84,0.15,33.69,4.55,15.04,18.9,15.24,74.64,152.44,3.23,-0.67,253.51,0.69,16-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Sep-2019 - 00:00,984.3,,0.01,0.87,1.05,0.66,23.21,5.97,15.32,21.18,12.24,86.25,88.43,3.12,-0.56,249.16,0.7,17-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Sep-2019 - 00:00,986.4,,0.09,1.82,0.97,1.39,22.55,8.01,18.51,26.47,10.76,86.0,114.62,3.7,-0.56,253.9,0.24,18-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Sep-2019 - 00:00,985.64,,0.01,1.12,0.84,0.86,25.01,4.77,16.37,21.14,13.39,86.12,101.84,3.27,-0.63,237.63,0.03,19-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Sep-2019 - 00:00,988.84,,0.0,0.13,1.19,0.1,30.31,4.05,19.64,14.63,18.9,82.63,139.86,2.77,-0.63,219.56,0.03,20-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Sep-2019 - 00:00,990.89,,0.0,0.03,0.81,0.02,22.31,3.5,13.27,16.77,15.37,82.25,132.41,3.06,-0.61,227.61,0.03,21-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Sep-2019 - 00:00,985.71,,0.0,0.12,0.79,0.09,22.19,3.29,13.08,16.36,23.18,75.77,194.83,3.33,-0.71,199.93,0.03,22-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Sep-2019 - 00:00,989.31,,0.01,0.75,0.87,0.57,26.37,8.19,20.35,25.01,21.57,84.09,89.57,2.33,-0.64,192.32,0.03,23-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Sep-2019 - 00:00,986.47,,0.02,2.19,0.99,1.67,33.2,7.03,27.32,34.35,21.88,89.74,103.22,6.41,-0.52,178.77,0.03,24-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Sep-2019 - 00:00,980.58,,0.0,0.53,1.45,0.41,34.16,3.62,19.16,21.86,30.57,81.54,187.1,3.29,-0.57,191.22,0.03,25-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Sep-2019 - 00:00,988.07,,0.0,0.17,0.86,0.13,15.54,2.55,11.0,13.18,22.81,85.06,130.02,2.87,-0.52,183.58,0.03,26-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Sep-2019 - 00:00,,,0.0,0.17,0.76,0.13,13.85,2.56,8.72,11.28,19.68,83.16,183.39,3.55,-0.57,162.22,0.04,27-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Sep-2019 - 00:00,,,0.01,1.4,0.88,1.07,32.28,3.57,17.43,21.01,20.75,81.5,143.44,2.67,-0.52,163.8,0.2,28-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Sep-2019 - 00:00,,,0.0,0.29,0.85,0.22,25.23,2.42,11.27,13.69,31.6,76.6,178.74,3.67,-0.36,145.21,0.52,29-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Sep-2019 - 00:00,,,0.0,0.27,0.77,0.21,35.49,2.4,10.43,12.83,32.21,74.05,194.5,4.26,-0.37,120.18,0.66,30-Sep-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Sep-2019 - 00:00,,,0.0,0.24,0.83,0.18,20.16,2.53,10.48,13.01,29.42,77.17,219.7,3.85,-0.4,124.92,1.11,01-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Oct-2019 - 00:00,,,0.29,0.85,0.91,0.65,32.5,4.52,21.49,26.01,25.51,82.71,128.82,3.47,-0.23,207.36,0.73,02-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Oct-2019 - 00:00,,,0.01,1.13,0.83,0.86,22.8,5.86,27.4,33.26,28.89,73.12,208.23,3.93,-0.23,178.63,0.32,03-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,04-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,05-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,06-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,07-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,08-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,09-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,10-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,11-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Oct-2019 - 00:00,994.52,0.7,0.01,1.04,0.94,0.8,35.35,2.79,24.28,27.07,26.37,82.07,,3.24,-0.36,132.46,2.28,12-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Oct-2019 - 00:00,996.16,0.04,0.0,0.06,0.79,0.04,41.73,3.16,14.46,17.62,29.19,75.42,,2.95,-0.39,102.98,2.24,13-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Oct-2019 - 00:00,997.97,0.23,0.0,0.34,0.75,0.26,24.3,3.5,11.04,14.54,20.01,79.96,,4.95,-0.34,110.99,3.27,14-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Oct-2019 - 00:00,,0.21,0.09,0.27,0.91,0.05,24.6,5.98,17.19,23.06,20.12,73.21,275.03,3.9,-0.41,106.3,1.22,15-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Oct-2019 - 00:00,,0.36,0.0,0.45,0.84,0.0,29.95,6.13,16.07,22.2,21.93,82.5,277.89,4.06,-0.48,98.46,0.24,16-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,17-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,18-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Oct-2019 - 00:00,,0.0,0.0,0.0,3.16,0.0,106.7,84.0,15.62,23.74,16.92,75.0,279.12,1.93,-0.35,116.63,0.04,19-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,20-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Oct-2019 - 00:00,,,,,,,,,,,,,,,,,,21-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Oct-2019 - 00:00,,0.78,0.01,0.98,1.95,0.0,8.0,19.55,42.0,41.16,3.85,92.21,272.55,5.41,-0.16,133.25,0.03,22-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Oct-2019 - 00:00,,5.92,3.7,7.4,1.55,6.33,9.46,5.44,15.08,20.83,6.65,93.33,284.75,11.33,0.14,244.09,0.05,23-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Oct-2019 - 00:00,,0.37,0.08,0.46,1.13,0.15,16.81,3.85,9.36,13.22,7.07,87.06,286.33,14.07,0.09,237.76,0.05,24-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Oct-2019 - 00:00,,0.04,0.0,0.05,0.87,0.0,10.47,2.63,8.32,9.74,8.31,87.2,287.84,15.65,0.0,230.53,0.25,25-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Oct-2019 - 00:00,,0.0,0.0,0.0,0.99,0.0,11.37,2.6,9.66,10.22,9.65,87.48,290.1,15.83,-0.06,205.04,0.37,26-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Oct-2019 - 00:00,,0.06,0.0,0.08,0.86,0.0,25.68,2.56,7.8,10.36,8.49,82.95,291.07,11.34,-0.04,200.85,0.04,27-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Oct-2019 - 00:00,,0.4,0.0,0.5,0.96,0.42,62.74,2.92,10.98,13.9,9.47,82.39,286.56,4.19,-0.18,214.33,0.04,28-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Oct-2019 - 00:00,,0.32,0.0,0.4,0.88,0.0,33.53,3.13,10.47,13.29,10.11,85.51,292.18,5.39,-0.18,128.65,0.03,29-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Oct-2019 - 00:00,,0.3,0.0,0.37,0.84,0.35,25.66,5.16,13.67,18.83,24.78,89.16,290.27,6.54,-0.17,140.73,0.07,30-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Oct-2019 - 00:00,,0.0,0.0,0.0,1.02,0.0,13.54,4.46,10.67,15.12,46.78,90.58,305.95,7.96,-0.14,110.77,0.11,31-Oct-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
31-Oct-2019 - 00:00,,0.0,0.0,0.0,0.82,0.0,13.43,4.42,10.74,15.15,54.68,88.19,299.98,7.41,-0.17,135.01,0.36,01-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Nov-2019 - 00:00,,0.2,0.0,0.25,0.76,0.0,20.95,4.82,12.82,17.63,53.04,73.7,304.27,6.39,-0.29,146.04,0.17,02-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Nov-2019 - 00:00,,0.05,0.0,0.06,0.77,0.0,19.3,4.39,11.22,15.61,48.65,76.14,309.14,6.74,-0.31,116.01,0.16,03-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Nov-2019 - 00:00,,0.15,0.0,0.18,0.9,0.0,61.93,4.59,13.1,17.7,44.53,73.77,312.75,6.53,-0.38,111.13,0.11,04-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Nov-2019 - 00:00,,0.32,0.0,0.4,0.85,0.15,40.04,5.55,20.3,25.85,51.66,59.74,312.49,4.26,-0.52,97.47,0.09,05-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Nov-2019 - 00:00,,1.97,0.28,2.47,1.21,1.34,102.92,9.47,32.91,42.38,33.61,55.9,303.93,4.68,-0.58,121.49,0.05,06-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Nov-2019 - 00:00,959.25,1.3,0.01,1.62,0.96,0.35,215.53,5.16,25.7,30.82,66.35,61.75,268.2,3.9,-0.56,132.37,0.09,07-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Nov-2019 - 00:00,,3.93,1.23,4.91,1.3,3.42,205.17,6.98,27.07,34.05,50.39,64.98,308.0,3.85,-0.44,150.33,0.06,08-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Nov-2019 - 00:00,,2.68,1.17,3.35,1.06,3.02,100.49,6.62,22.88,29.5,27.69,80.65,352.76,4.48,-0.18,199.42,0.05,09-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Nov-2019 - 00:00,,2.12,0.37,2.65,0.64,1.51,43.45,4.55,18.37,22.93,41.24,76.43,313.39,4.83,-0.29,174.19,0.03,10-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Nov-2019 - 00:00,,0.36,0.0,0.45,0.65,0.31,50.96,4.96,17.18,22.15,49.67,72.23,312.52,4.94,-0.33,117.61,0.05,11-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Nov-2019 - 00:00,,0.07,0.0,0.09,0.63,0.0,52.64,4.56,14.32,18.88,78.98,73.73,315.45,3.81,-0.51,101.35,0.22,12-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Nov-2019 - 00:00,831.47,0.0,0.0,0.0,0.57,0.0,27.79,4.44,11.7,16.14,69.22,73.47,319.18,5.5,-0.51,95.04,0.39,13-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Nov-2019 - 00:00,839.31,0.0,0.0,0.0,0.65,0.0,22.1,4.52,13.12,17.64,61.96,72.72,,5.08,-0.48,82.13,0.34,14-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Nov-2019 - 00:00,836.64,0.34,0.0,0.42,0.66,0.23,15.53,4.87,14.41,19.28,53.85,83.33,202.12,4.96,-0.41,95.49,0.2,15-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Nov-2019 - 00:00,819.01,0.0,0.0,0.0,0.66,0.0,39.41,4.91,14.25,19.16,17.55,84.67,,5.17,-0.36,119.23,0.02,16-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Nov-2019 - 00:00,869.7,0.0,0.0,0.0,0.62,0.0,12.28,4.45,10.48,14.93,34.48,82.58,109.19,8.76,-0.2,105.85,0.09,17-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Nov-2019 - 00:00,955.58,0.27,0.0,0.34,0.68,0.0,28.22,4.85,15.9,20.76,31.42,70.79,82.49,5.63,-0.26,140.01,0.04,18-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Nov-2019 - 00:00,904.73,0.0,0.0,0.0,0.61,0.0,25.85,4.55,13.33,17.87,25.4,79.34,244.15,5.52,-0.25,131.92,0.13,19-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Nov-2019 - 00:00,837.97,0.16,0.0,0.2,0.61,0.0,24.59,5.11,13.56,18.67,22.04,75.22,400.91,5.34,-0.33,119.13,0.06,20-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Nov-2019 - 00:00,914.69,0.29,0.0,0.36,0.73,0.28,28.56,5.12,14.49,19.18,21.53,86.7,246.37,6.78,-0.26,125.5,0.1,21-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Nov-2019 - 00:00,913.67,0.67,0.3,0.83,0.66,0.39,42.16,4.66,17.43,19.24,18.74,81.9,119.42,10.04,-0.23,84.43,0.11,22-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Nov-2019 - 00:00,878.96,0.0,0.0,0.0,0.57,0.0,43.32,4.6,13.79,18.39,12.26,82.14,,6.77,-0.35,88.23,0.13,23-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Nov-2019 - 00:00,870.57,0.21,0.0,0.26,0.54,0.0,40.12,4.79,15.46,20.25,31.67,71.65,47.07,8.36,-0.43,136.2,0.11,24-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Nov-2019 - 00:00,827.36,0.0,0.0,0.0,0.58,0.0,33.29,4.4,11.11,15.51,52.55,75.83,,6.13,-0.39,98.45,0.16,25-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Nov-2019 - 00:00,827.2,0.0,0.0,0.0,0.61,0.0,45.18,4.51,14.16,18.2,41.68,77.84,,11.07,-0.38,104.64,0.18,26-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Nov-2019 - 00:00,825.32,0.0,0.0,0.0,0.53,0.0,15.42,4.55,12.16,16.7,53.99,72.92,,6.28,-0.42,88.72,0.25,27-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Nov-2019 - 00:00,825.33,1.12,0.75,1.4,0.59,1.0,11.5,5.25,15.12,20.37,32.78,86.1,,9.04,-0.36,89.71,0.14,28-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Nov-2019 - 00:00,826.38,3.35,2.23,4.18,0.63,2.99,10.99,4.55,12.87,17.42,26.99,85.73,,8.67,-0.37,76.18,0.25,29-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Nov-2019 - 00:00,826.81,0.16,0.0,0.19,0.62,0.0,20.92,3.78,12.17,15.95,18.41,80.97,,5.22,-0.17,110.47,0.12,30-Nov-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
30-Nov-2019 - 00:00,998.7,0.0,0.0,0.0,0.54,0.0,20.08,2.41,8.52,10.93,18.11,90.24,,4.94,0.0,99.48,0.11,01-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Dec-2019 - 00:00,998.36,0.0,0.0,0.0,0.4,0.0,11.28,2.2,6.88,9.08,16.44,93.07,,6.0,-0.01,113.46,0.14,02-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Dec-2019 - 00:00,999.59,0.0,0.0,0.0,0.47,0.0,12.07,2.2,6.4,8.6,22.47,89.44,,6.46,0.0,104.88,0.34,03-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Dec-2019 - 00:00,988.9,0.0,0.0,0.0,1.25,0.0,16.94,2.22,3.51,5.41,19.2,82.7,76.34,4.49,0.05,103.74,0.28,04-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Dec-2019 - 00:00,989.3,0.05,0.06,0.06,0.6,0.99,32.03,2.23,7.61,9.83,43.29,81.18,270.46,3.22,0.02,100.16,0.33,05-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Dec-2019 - 00:00,986.49,2.96,6.99,3.7,0.48,10.9,36.14,2.42,12.45,14.86,22.15,77.93,291.23,6.04,-0.0,111.77,0.28,06-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Dec-2019 - 00:00,,0.0,0.16,0.0,0.42,0.0,28.09,6.69,14.63,12.68,24.96,82.75,317.75,5.22,0.02,102.03,0.3,07-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Dec-2019 - 00:00,,0.71,0.08,0.89,0.52,0.0,27.07,2.52,11.41,13.81,16.07,88.22,324.75,3.37,0.01,116.53,0.32,08-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Dec-2019 - 00:00,,0.0,0.0,0.0,0.56,0.0,19.72,2.03,6.49,8.28,16.82,88.49,332.63,7.57,-0.03,101.15,0.36,09-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Dec-2019 - 00:00,,0.0,0.0,0.0,0.43,0.0,16.86,2.11,7.01,9.11,19.58,76.11,321.83,3.22,-0.04,94.27,0.33,10-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Dec-2019 - 00:00,,0.0,0.0,0.0,0.53,0.0,16.32,2.1,7.07,9.12,20.92,74.99,319.63,3.36,-0.01,99.76,0.37,11-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Dec-2019 - 00:00,,0.0,0.0,0.0,0.47,0.0,20.47,2.27,9.64,11.9,19.34,70.36,316.08,6.03,-0.03,107.76,0.33,12-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Dec-2019 - 00:00,,0.0,0.0,0.0,0.43,0.0,19.02,2.12,7.72,9.84,23.2,76.19,321.42,3.15,-0.0,107.6,0.46,13-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Dec-2019 - 00:00,,0.0,0.0,0.0,0.49,0.0,19.92,2.08,6.57,8.64,21.7,77.18,323.52,7.33,0.04,103.97,0.49,14-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Dec-2019 - 00:00,,0.0,0.0,0.0,0.57,0.0,17.13,2.19,7.09,9.28,15.09,87.01,332.19,6.45,0.03,97.85,0.32,15-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Dec-2019 - 00:00,,0.0,0.0,0.0,0.44,0.0,17.46,2.13,6.82,8.95,20.96,76.28,328.81,5.61,-0.01,103.15,0.33,16-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Dec-2019 - 00:00,,0.02,0.0,0.03,0.51,0.0,20.23,2.56,8.86,11.3,15.68,76.53,339.82,4.22,0.02,111.87,0.38,17-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Dec-2019 - 00:00,,0.0,0.0,0.0,0.55,0.0,21.83,2.32,9.3,11.62,22.4,79.35,343.44,4.67,-0.02,109.46,0.28,18-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Dec-2019 - 00:00,,0.0,0.0,0.0,,0.0,28.14,2.33,10.28,12.6,24.1,77.54,349.73,3.87,0.0,106.56,0.35,19-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Dec-2019 - 00:00,,0.0,0.0,0.0,,0.0,39.46,2.12,8.3,10.17,21.84,80.51,352.77,5.25,0.05,103.66,0.33,20-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Dec-2019 - 00:00,,0.0,0.0,0.0,0.42,0.0,39.38,2.69,9.93,12.56,18.12,79.67,352.09,3.53,-0.02,110.14,0.44,21-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Dec-2019 - 00:00,,0.0,0.0,0.0,0.69,0.0,29.86,2.03,13.49,8.54,30.35,78.41,345.73,6.18,0.03,103.49,0.54,22-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Dec-2019 - 00:00,,0.0,0.0,0.0,0.79,0.0,21.39,2.07,6.09,7.57,38.2,78.56,351.35,4.3,-0.02,94.1,0.46,23-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Dec-2019 - 00:00,,0.0,0.0,0.0,0.63,0.0,47.54,2.07,9.86,11.45,33.6,66.06,340.38,5.6,0.01,105.76,0.52,24-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Dec-2019 - 00:00,,0.0,0.0,0.0,0.71,0.0,26.91,2.01,6.88,8.88,29.88,80.87,346.4,6.21,0.02,105.93,0.55,25-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Dec-2019 - 00:00,,0.0,0.0,0.0,0.76,0.0,27.06,2.06,7.55,9.61,25.36,88.51,345.0,4.73,0.04,73.73,7.06,26-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Dec-2019 - 00:00,,0.0,0.0,0.0,0.8,0.0,36.47,2.27,9.21,11.48,33.64,79.58,341.63,6.92,0.03,65.41,4.57,27-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Dec-2019 - 00:00,,0.0,0.0,0.0,0.9,0.0,31.56,2.14,9.81,11.94,28.9,75.79,338.36,2.43,-0.01,68.61,1.31,28-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Dec-2019 - 00:00,,0.0,0.0,0.0,0.75,0.0,26.53,2.09,6.27,8.36,34.88,73.07,334.26,2.01,-0.01,68.64,1.24,29-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
29-Dec-2019 - 00:00,998.94,0.0,0.0,0.0,0.69,0.0,27.76,2.08,7.12,9.21,36.12,70.23,327.44,2.0,0.11,40.03,1.65,30-Dec-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
