from date,BP,Benzene,O Xylene,Toluene,CO,Eth-Benzene,PM2.5,NO,NO2,NOx,Ozone,RH,SR,SO2,VWS,WD,WS,to date,station
06-Feb-2019 - 00:00,993.81,0.2,0.28,0.35,0.7,0.27,59.55,2.63,17.9,20.53,83.68,43.81,147.6,4.7,0.08,102.51,0.67,07-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Feb-2019 - 00:00,,0.29,0.13,0.52,1.04,0.4,56.62,3.0,22.65,25.37,70.31,45.43,121.86,3.88,0.08,109.53,0.63,08-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Feb-2019 - 00:00,,0.6,0.01,1.07,1.07,0.82,74.79,3.28,20.34,23.36,53.7,54.84,136.62,4.31,0.08,161.72,0.47,09-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Feb-2019 - 00:00,,0.3,0.01,0.54,0.81,0.41,79.66,3.46,21.76,25.23,56.71,60.29,146.18,4.2,0.08,115.31,0.36,10-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Feb-2019 - 00:00,,0.11,0.0,0.2,0.64,0.15,46.96,3.0,15.52,18.53,48.56,57.93,178.81,3.17,0.08,102.04,0.69,11-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Feb-2019 - 00:00,,0.0,0.0,0.0,0.54,0.0,48.15,3.25,13.97,17.05,44.01,66.7,146.88,4.14,0.08,91.86,0.67,12-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Feb-2019 - 00:00,,0.0,0.0,0.0,0.64,0.0,64.25,2.99,15.39,18.02,58.61,62.08,171.05,4.41,0.08,88.24,0.67,13-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Feb-2019 - 00:00,,0.07,0.0,0.12,0.8,0.09,58.02,3.94,17.98,21.92,57.69,56.87,174.97,4.2,0.08,96.85,0.51,14-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Feb-2019 - 00:00,,0.0,0.0,0.0,0.5,0.0,42.57,3.59,18.13,21.71,54.15,50.82,171.97,4.71,0.08,106.25,0.78,15-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Feb-2019 - 00:00,,0.82,0.01,1.47,0.74,1.12,38.56,2.9,18.76,21.66,52.51,60.72,119.75,3.67,0.08,122.97,0.66,16-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Feb-2019 - 00:00,,3.12,1.88,5.57,1.25,4.25,54.1,14.63,35.65,49.44,40.04,53.41,156.51,6.03,0.08,193.35,0.48,17-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Feb-2019 - 00:00,,2.48,0.76,4.42,0.72,3.38,60.26,7.99,31.61,39.6,42.14,45.8,171.02,3.59,0.09,230.28,0.61,18-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Feb-2019 - 00:00,,1.96,0.69,3.5,0.89,2.67,48.71,8.09,34.8,42.9,41.56,31.4,174.89,4.11,0.09,196.96,0.42,19-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Feb-2019 - 00:00,,0.09,0.0,0.17,0.54,0.13,52.36,2.84,16.21,19.05,52.44,59.79,143.24,3.84,0.08,116.84,0.78,20-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Feb-2019 - 00:00,,0.0,0.0,0.0,0.71,0.0,36.7,2.83,12.96,15.67,44.15,58.85,175.0,3.99,0.08,99.07,0.77,21-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Feb-2019 - 00:00,,0.07,0.0,0.12,0.58,0.1,40.82,3.98,20.38,24.36,44.53,47.92,185.79,4.46,0.08,89.32,0.53,22-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Feb-2019 - 00:00,,0.19,0.0,0.34,0.84,0.26,37.17,7.36,26.43,33.6,46.34,32.35,186.29,4.94,0.08,86.31,0.56,23-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Feb-2019 - 00:00,994.33,0.36,0.0,0.64,0.86,0.49,53.71,8.21,33.09,41.3,49.62,20.25,211.8,6.11,0.08,91.49,0.49,24-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Feb-2019 - 00:00,995.45,0.28,0.0,0.5,0.76,0.38,73.34,7.57,26.65,33.53,51.69,22.43,202.41,3.88,0.08,101.73,0.58,25-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Feb-2019 - 00:00,993.51,0.61,0.06,1.09,0.76,0.83,44.29,11.58,29.85,41.43,48.09,18.71,220.79,6.08,0.09,113.78,0.54,26-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
26-Feb-2019 - 00:00,,2.15,1.12,3.83,0.89,2.92,57.71,9.22,34.75,43.97,56.15,34.91,188.04,5.8,0.08,213.06,0.65,27-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
27-Feb-2019 - 00:00,,1.11,0.42,1.99,0.88,1.51,47.41,4.51,30.22,34.45,49.91,50.53,170.41,3.73,0.08,208.19,0.75,28-Feb-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
28-Feb-2019 - 00:00,999.16,1.47,0.28,2.62,0.63,2.0,53.19,8.37,38.16,46.53,54.36,29.51,196.41,4.17,0.09,238.52,0.54,01-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
01-Mar-2019 - 00:00,,1.04,0.1,1.86,0.81,1.42,56.91,4.18,29.58,33.76,56.19,51.86,186.97,3.73,0.08,128.52,0.48,02-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
02-Mar-2019 - 00:00,,0.0,0.0,0.0,0.9,0.0,52.88,2.6,12.65,15.25,59.1,60.07,182.2,4.02,0.08,102.58,0.81,03-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
03-Mar-2019 - 00:00,,0.26,0.0,0.46,0.86,0.35,66.79,3.04,19.22,22.26,52.54,54.04,161.05,4.25,0.08,107.6,0.48,04-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
04-Mar-2019 - 00:00,,0.21,0.0,0.38,0.54,0.29,53.98,3.05,18.36,21.4,59.54,53.5,175.63,4.02,0.08,149.85,0.54,05-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
05-Mar-2019 - 00:00,,1.62,1.11,2.9,0.78,2.21,60.17,6.31,29.75,36.06,55.83,51.68,176.55,3.81,0.08,219.24,0.75,06-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
06-Mar-2019 - 00:00,,1.53,0.93,2.74,1.39,2.09,58.46,20.02,44.61,64.53,43.97,36.28,209.44,3.97,0.08,230.01,0.52,07-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
07-Mar-2019 - 00:00,995.22,6.27,2.83,11.19,1.09,8.54,56.18,34.87,62.27,93.83,30.93,22.24,217.82,3.15,0.08,206.91,0.38,08-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
08-Mar-2019 - 00:00,994.81,2.72,1.5,4.86,1.19,3.71,48.21,24.55,54.68,78.4,44.74,21.49,208.94,6.09,0.09,184.01,0.35,09-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
09-Mar-2019 - 00:00,,1.09,0.55,1.95,0.63,1.49,50.34,3.59,24.71,28.3,56.21,52.79,162.97,3.52,0.08,165.88,0.64,10-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
10-Mar-2019 - 00:00,,0.02,0.0,0.03,0.76,0.03,42.1,2.7,16.01,18.71,50.45,54.09,177.73,4.03,0.08,122.39,0.76,11-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
11-Mar-2019 - 00:00,,0.03,0.0,0.06,0.74,0.04,37.58,2.81,17.45,20.2,55.2,43.01,194.45,4.27,0.08,131.26,0.74,12-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
12-Mar-2019 - 00:00,,0.19,0.0,0.34,0.66,0.26,43.76,2.67,18.17,20.5,67.76,32.24,198.18,7.69,0.08,138.19,0.88,13-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
13-Mar-2019 - 00:00,997.21,0.18,0.0,0.31,0.78,0.24,45.58,2.79,20.53,23.32,61.34,25.84,201.65,8.8,0.08,116.36,0.83,14-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
14-Mar-2019 - 00:00,994.7,0.23,0.0,0.41,0.47,0.31,39.6,3.57,20.48,24.03,68.38,21.08,185.39,7.34,0.08,110.1,1.12,15-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
15-Mar-2019 - 00:00,993.3,0.37,0.01,0.66,0.77,0.5,36.55,3.19,24.78,27.82,68.02,18.37,202.24,4.95,0.08,106.31,0.83,16-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
16-Mar-2019 - 00:00,996.95,0.0,0.0,0.0,1.01,0.0,38.7,2.8,18.92,21.73,67.08,25.28,210.3,3.67,0.08,95.83,0.65,17-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
17-Mar-2019 - 00:00,999.1,0.18,0.0,0.32,0.74,0.24,39.85,2.91,23.74,26.23,70.07,29.42,201.03,3.87,0.08,112.7,0.46,18-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
18-Mar-2019 - 00:00,,0.58,0.01,1.04,0.65,0.8,38.94,2.71,21.29,23.66,66.72,43.03,194.06,3.91,0.08,144.61,0.66,19-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
19-Mar-2019 - 00:00,,0.0,0.0,0.0,1.31,0.0,36.7,2.58,14.57,17.14,44.89,63.65,129.62,2.78,0.07,158.08,0.93,20-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
20-Mar-2019 - 00:00,,,,,,,,,,,,,,,,,,21-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
21-Mar-2019 - 00:00,,0.36,0.0,0.64,2.06,0.49,156.9,2.58,28.98,27.79,43.07,19.36,227.59,7.51,0.09,135.02,0.61,22-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
22-Mar-2019 - 00:00,,0.69,0.01,1.24,1.66,0.94,53.5,8.41,20.51,22.93,57.42,36.62,167.59,5.2,0.08,144.92,0.6,23-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
23-Mar-2019 - 00:00,,0.79,0.01,1.4,1.71,1.07,66.56,3.0,20.86,23.53,62.32,35.77,187.98,3.37,0.08,141.1,0.52,24-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
24-Mar-2019 - 00:00,,0.21,0.0,0.37,1.47,0.28,68.78,2.85,15.76,18.61,64.26,41.4,231.71,4.11,0.08,166.65,0.51,25-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
25-Mar-2019 - 00:00,,0.21,0.0,0.37,1.81,0.29,47.93,2.91,21.55,23.95,68.69,19.04,390.1,15.64,0.08,110.08,0.71,26-Mar-2019 - 00:00,"BTM Layout, Bengaluru - CPCB"
