from date,PM2.5,PM10,SO2,NO2,NO,NOx,NH3,CO,Ozone,Benzene,Eth-Benzene,Xylene,WS,WD,RH,SR,RF,Temp,to date,station
15-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,16-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,17-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,18-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,19-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,20-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,21-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,22-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
22-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,23-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,24-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,25-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,26-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,27-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,28-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,29-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
29-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,30-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
30-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,31-Jan-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
31-Jan-2019 - 00:00,,,,,,,,,,,,,,,,,,,01-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,02-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,03-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,04-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,05-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,06-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,07-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,08-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,09-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,10-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,11-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-Feb-2019 - 00:00,,,,,,,,,,,,,,,,,,,12-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Feb-2019 - 00:00,99.4,192.21,17.24,44.33,12.77,57.15,23.11,1.35,13.96,3.3,1.33,1.27,0.67,164.21,34.1,149.16,0.08,28.38,13-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-Feb-2019 - 00:00,132.08,221.15,19.54,30.91,24.58,55.53,22.87,1.5,11.01,3.82,1.82,1.56,0.48,192.78,48.7,119.41,0.15,24.64,14-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-Feb-2019 - 00:00,149.71,210.21,17.91,24.19,25.21,49.44,21.66,1.33,8.98,4.51,1.45,1.24,0.39,241.32,60.22,149.29,0.13,22.26,15-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
15-Feb-2019 - 00:00,90.0,208.53,8.16,37.03,7.17,44.25,43.37,1.04,9.29,1.19,0.34,0.45,0.54,174.45,58.31,78.46,0.0,22.36,16-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-Feb-2019 - 00:00,140.64,209.62,18.36,38.85,13.93,52.83,37.33,1.2,12.22,3.68,1.87,1.27,0.6,213.9,54.64,165.2,0.01,21.92,17-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-Feb-2019 - 00:00,139.83,217.29,33.89,43.05,23.01,66.11,53.13,1.07,14.85,4.15,1.08,0.99,0.53,186.66,44.3,144.92,0.01,22.82,18-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-Feb-2019 - 00:00,119.42,191.92,27.3,36.95,16.36,53.36,44.4,0.95,15.04,3.58,2.33,5.26,0.51,188.44,48.64,155.72,0.05,22.99,19-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-Feb-2019 - 00:00,143.71,258.08,20.61,44.78,13.6,58.42,61.67,0.99,10.32,4.34,1.2,1.01,0.51,225.75,51.76,154.89,0.12,23.43,20-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-Feb-2019 - 00:00,162.78,229.57,20.41,31.04,21.29,52.38,45.89,1.19,10.93,4.38,1.81,1.41,0.42,218.3,56.29,145.51,0.17,24.85,21-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-Feb-2019 - 00:00,111.75,148.33,11.02,32.96,19.2,52.2,62.15,0.74,4.96,2.48,0.81,0.79,0.49,194.16,63.29,140.08,0.09,24.0,22-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
22-Feb-2019 - 00:00,97.83,149.21,14.59,27.7,32.02,59.78,50.15,0.81,5.74,3.69,,8.75,0.49,203.91,61.69,144.24,0.04,24.48,23-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-Feb-2019 - 00:00,85.04,182.62,40.94,37.47,22.74,60.26,39.51,0.8,8.76,3.6,0.75,1.1,0.79,161.17,46.3,152.37,0.05,26.16,24-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-Feb-2019 - 00:00,111.67,207.72,27.85,33.29,28.03,61.37,40.72,0.83,10.46,4.26,1.82,1.94,0.5,179.48,46.89,143.38,0.12,24.44,25-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-Feb-2019 - 00:00,124.42,205.46,20.84,29.12,31.17,60.34,37.58,0.96,12.44,4.94,1.77,1.91,0.46,205.76,49.35,147.72,0.12,23.73,26-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-Feb-2019 - 00:00,77.81,164.71,19.06,27.3,18.49,45.84,41.72,0.58,5.9,2.43,1.0,0.74,0.55,177.0,54.32,153.12,0.08,24.07,27-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-Feb-2019 - 00:00,64.83,135.92,11.75,19.81,20.49,40.35,46.04,0.53,3.87,1.52,0.69,0.55,0.47,204.08,64.96,142.91,0.1,22.95,28-Feb-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-Feb-2019 - 00:00,91.04,194.5,30.26,37.2,34.56,71.82,57.22,0.93,10.18,5.73,1.45,1.07,0.84,173.46,48.47,160.69,0.19,24.2,01-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-Mar-2019 - 00:00,110.15,199.79,40.15,43.92,23.28,67.25,42.55,0.92,15.95,3.05,0.49,0.91,0.59,189.9,39.69,150.32,0.11,24.51,02-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Mar-2019 - 00:00,123.35,205.83,14.4,28.12,13.24,41.41,39.32,0.96,15.29,3.93,1.43,0.99,0.58,199.28,53.45,148.04,0.02,25.06,03-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Mar-2019 - 00:00,42.49,85.42,7.23,19.46,10.98,30.48,37.28,0.54,5.3,2.03,1.54,0.42,0.58,212.79,67.79,149.78,0.0,23.74,04-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Mar-2019 - 00:00,58.38,121.83,10.52,18.19,19.73,37.96,39.92,0.55,7.33,1.71,0.39,0.44,0.64,171.43,64.99,140.63,0.02,24.46,05-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Mar-2019 - 00:00,92.21,181.89,13.73,26.27,20.08,46.41,42.41,0.79,13.23,2.88,0.54,0.93,0.5,204.47,58.79,150.08,0.05,24.34,06-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Mar-2019 - 00:00,77.43,184.45,8.78,28.75,14.8,43.61,49.93,0.94,7.03,2.59,0.78,1.15,0.53,220.99,62.22,151.31,0.0,23.13,07-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Mar-2019 - 00:00,72.04,173.37,7.76,26.64,16.01,42.71,42.58,0.87,4.2,2.33,0.92,1.2,0.53,218.55,61.63,161.2,0.0,23.77,08-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Mar-2019 - 00:00,64.56,177.79,9.02,26.14,21.26,47.44,34.93,1.01,4.16,3.71,1.25,1.42,0.51,195.85,55.3,154.43,0.01,24.37,09-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Mar-2019 - 00:00,86.32,227.2,12.26,30.25,34.23,64.53,57.13,1.04,4.33,5.5,1.5,1.95,0.57,187.53,48.19,157.35,0.03,25.57,10-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Mar-2019 - 00:00,79.41,916.41,13.44,20.83,24.64,45.52,35.11,1.01,4.79,3.95,1.28,1.9,0.45,212.71,44.48,160.05,0.1,25.62,11-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-Mar-2019 - 00:00,34.53,482.01,8.48,24.09,14.63,38.77,38.16,0.74,3.58,2.11,0.65,0.98,0.6,168.0,55.56,161.55,0.25,24.81,12-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Mar-2019 - 00:00,35.67,64.85,9.72,26.51,17.0,43.57,42.36,0.76,4.56,2.63,0.69,1.13,0.55,213.84,59.22,160.73,0.08,24.43,13-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-Mar-2019 - 00:00,62.29,114.28,14.13,29.04,17.2,46.29,43.88,0.78,4.07,3.44,0.69,1.03,0.49,159.8,55.17,163.51,0.0,24.43,14-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-Mar-2019 - 00:00,56.62,123.65,16.84,33.35,20.88,54.28,48.34,0.72,3.63,2.51,0.66,0.95,0.59,184.46,49.49,165.66,0.05,24.53,15-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
15-Mar-2019 - 00:00,85.13,162.49,19.62,38.37,39.73,78.16,51.66,1.01,4.75,5.15,0.98,1.55,0.77,157.21,39.98,171.85,0.06,25.92,16-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-Mar-2019 - 00:00,84.52,162.9,15.94,43.73,10.26,54.04,68.81,1.11,4.92,3.47,0.85,1.43,0.49,178.87,48.97,163.22,0.0,25.54,17-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-Mar-2019 - 00:00,103.88,106.35,7.9,28.32,12.46,40.82,58.06,0.9,5.84,1.89,0.57,0.94,0.5,210.14,53.35,161.96,0.01,25.53,18-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-Mar-2019 - 00:00,47.4,83.25,13.92,40.31,19.99,60.34,77.86,1.24,5.73,5.1,1.39,1.98,0.57,186.4,42.62,167.58,0.0,26.87,19-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-Mar-2019 - 00:00,71.28,124.51,13.54,40.68,18.46,59.18,74.72,1.03,5.36,2.97,1.14,1.75,0.58,218.46,41.82,161.56,0.0,25.86,20-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-Mar-2019 - 00:00,72.33,141.59,8.28,30.2,18.45,48.71,55.54,0.81,3.13,2.18,0.67,1.08,0.49,196.7,46.85,171.51,0.01,25.48,21-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-Mar-2019 - 00:00,64.81,144.42,4.72,23.2,17.44,39.84,58.8,0.7,3.36,1.41,0.49,0.44,0.53,208.4,64.69,175.21,0.0,24.27,22-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
22-Mar-2019 - 00:00,64.4,112.84,4.66,28.09,17.28,45.42,61.15,0.83,3.58,2.49,,10.29,0.52,209.27,60.76,168.05,0.0,25.05,23-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-Mar-2019 - 00:00,113.03,192.64,9.61,40.94,23.37,64.36,66.15,1.04,6.91,3.74,1.03,1.79,0.57,198.2,49.97,164.68,0.01,27.89,24-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-Mar-2019 - 00:00,132.08,238.0,13.37,45.37,33.58,78.99,57.67,1.17,7.39,6.23,1.46,2.34,0.76,179.01,34.64,162.47,0.01,29.99,25-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-Mar-2019 - 00:00,115.39,235.16,13.07,43.72,45.98,89.75,54.42,1.15,6.07,10.57,1.73,2.52,0.71,180.18,32.94,163.16,0.01,30.66,26-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-Mar-2019 - 00:00,82.5,204.0,32.86,64.66,26.27,90.99,63.53,0.91,10.97,4.08,1.04,1.28,0.85,169.25,25.31,170.72,0.01,31.78,27-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-Mar-2019 - 00:00,119.28,234.87,58.62,65.65,33.11,98.81,47.45,0.94,30.89,5.92,0.88,1.54,0.68,182.38,35.12,176.67,0.0,29.49,28-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-Mar-2019 - 00:00,103.36,186.21,35.19,53.48,21.46,74.99,40.38,0.79,27.88,2.41,0.95,1.18,0.53,203.01,45.54,181.74,0.01,27.77,29-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
29-Mar-2019 - 00:00,102.06,195.91,31.74,45.4,28.63,74.08,37.36,0.85,27.74,2.21,0.88,0.86,0.52,186.79,50.1,172.16,0.01,28.83,30-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
30-Mar-2019 - 00:00,67.73,137.89,22.3,37.36,15.06,52.48,31.34,0.67,22.64,1.41,0.7,0.54,0.59,203.91,57.7,175.14,0.01,28.47,31-Mar-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
31-Mar-2019 - 00:00,46.96,105.38,20.43,25.21,12.29,37.54,19.31,0.55,25.09,1.63,4.89,0.03,0.62,207.89,52.44,194.61,0.01,28.46,01-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-Apr-2019 - 00:00,61.32,124.08,19.8,23.58,10.36,33.99,16.75,0.51,27.49,1.8,1.91,0.04,0.66,206.96,57.99,199.49,0.02,27.0,02-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-Apr-2019 - 00:00,56.9,125.94,23.86,21.86,11.16,33.08,17.74,0.51,23.78,2.21,2.29,0.08,0.66,182.92,65.49,195.92,0.01,27.07,03-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-Apr-2019 - 00:00,56.16,123.63,28.91,18.34,16.75,35.13,21.0,0.42,22.89,1.36,1.03,0.15,0.56,222.71,64.71,184.64,0.01,27.97,04-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-Apr-2019 - 00:00,64.36,124.97,31.97,23.7,27.07,50.8,26.65,0.53,13.31,2.0,1.51,0.4,0.59,195.52,63.68,180.71,0.0,28.55,05-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-Apr-2019 - 00:00,42.78,84.19,18.3,17.87,13.75,31.67,17.94,0.43,11.0,1.03,1.85,0.15,0.81,209.57,60.85,182.2,0.01,28.53,06-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-Apr-2019 - 00:00,53.41,90.99,18.83,16.63,16.93,33.6,14.99,0.62,10.29,1.72,3.52,0.12,0.55,209.78,56.65,187.29,0.04,28.47,07-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-Apr-2019 - 00:00,51.69,90.19,17.11,13.97,13.17,27.21,12.94,0.59,17.9,2.29,3.86,0.2,0.6,202.54,60.8,193.69,0.01,28.52,08-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-Apr-2019 - 00:00,50.1,92.71,13.73,12.89,13.22,26.15,12.33,0.48,10.38,3.01,1.38,0.24,0.57,223.04,58.6,198.34,0.01,28.72,09-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-Apr-2019 - 00:00,52.83,92.89,19.56,15.43,16.53,32.0,14.85,0.58,7.96,3.58,2.82,0.23,0.58,193.91,54.13,198.69,0.01,28.93,10-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
10-Apr-2019 - 00:00,60.68,100.05,30.03,18.09,22.06,39.29,19.22,0.63,12.55,3.09,1.57,0.2,0.59,178.97,63.84,187.77,0.01,28.4,11-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
11-Apr-2019 - 00:00,54.97,96.37,23.58,19.89,15.08,35.02,18.1,0.76,12.41,3.4,1.0,0.27,0.56,191.47,63.68,187.68,0.07,28.97,12-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
12-Apr-2019 - 00:00,60.29,105.97,22.54,19.39,16.56,36.0,17.79,1.05,13.96,2.72,1.24,0.15,0.57,184.79,61.27,182.46,0.2,29.17,13-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
13-Apr-2019 - 00:00,81.97,146.77,32.33,25.58,18.02,43.64,20.73,1.19,30.15,3.14,0.99,0.69,0.61,180.89,57.37,180.63,0.2,30.01,14-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
14-Apr-2019 - 00:00,69.57,132.62,36.6,26.25,18.07,44.37,21.81,0.97,28.96,3.36,3.95,0.39,0.54,145.71,54.25,170.14,0.12,30.8,15-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
15-Apr-2019 - 00:00,63.2,121.96,36.63,30.79,22.63,53.47,27.08,0.88,21.92,2.37,3.12,0.33,0.62,147.88,54.43,199.11,0.06,30.81,16-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
16-Apr-2019 - 00:00,72.91,204.25,33.85,25.65,9.87,35.58,20.84,0.89,24.82,2.19,3.81,0.09,0.62,146.38,51.85,167.02,0.17,30.49,17-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
17-Apr-2019 - 00:00,33.02,82.21,26.83,35.35,8.4,43.79,22.53,0.58,38.55,2.24,4.11,0.08,0.75,135.1,43.07,258.16,0.06,28.65,18-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
18-Apr-2019 - 00:00,52.05,115.83,15.78,34.92,8.34,43.31,25.61,0.65,32.86,1.39,0.9,0.28,0.65,180.48,54.78,234.34,0.15,28.39,19-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
19-Apr-2019 - 00:00,54.69,128.62,23.69,44.62,10.77,55.43,36.38,0.79,41.6,1.88,0.65,0.62,0.64,191.81,51.85,245.46,0.12,29.39,20-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
20-Apr-2019 - 00:00,55.96,112.58,20.46,34.47,8.26,42.78,23.84,0.8,41.84,1.42,0.98,0.32,0.63,189.26,48.95,253.3,0.24,29.26,21-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
21-Apr-2019 - 00:00,57.34,107.92,28.12,27.09,6.82,33.95,22.83,0.72,42.3,2.24,1.63,0.22,0.6,189.2,56.19,258.65,0.17,29.04,22-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
22-Apr-2019 - 00:00,48.58,98.17,22.65,28.67,7.25,35.97,18.56,0.73,32.44,1.21,0.68,0.23,0.6,179.05,55.3,260.87,0.06,29.29,23-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
23-Apr-2019 - 00:00,47.96,94.88,34.11,21.97,9.25,31.28,19.73,0.74,28.78,1.62,1.41,0.17,0.56,194.03,59.5,249.82,0.23,29.62,24-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
24-Apr-2019 - 00:00,47.69,105.42,28.31,28.94,13.14,42.12,20.33,0.72,25.55,1.28,0.92,0.32,0.61,184.01,58.92,243.27,0.23,29.92,25-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
25-Apr-2019 - 00:00,48.66,107.62,29.29,33.15,9.77,42.98,13.72,0.68,32.31,1.36,0.41,0.47,0.63,183.43,50.26,239.51,0.25,30.43,26-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
26-Apr-2019 - 00:00,74.58,143.47,36.67,35.52,14.84,50.41,20.8,0.82,37.83,2.59,0.35,0.74,0.63,191.28,53.76,258.92,0.21,31.76,27-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
27-Apr-2019 - 00:00,75.87,186.29,54.42,76.03,12.0,88.08,85.0,0.96,37.68,4.26,1.06,1.43,0.73,159.13,40.57,235.31,0.26,34.07,28-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
28-Apr-2019 - 00:00,103.31,196.79,53.64,44.17,18.93,63.16,52.42,1.02,45.92,3.37,0.88,0.78,0.57,184.88,47.35,226.34,0.31,32.16,29-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
29-Apr-2019 - 00:00,108.7,190.42,24.44,26.44,13.99,40.48,40.82,0.98,34.56,4.56,,6.24,0.61,204.99,53.59,242.58,0.29,31.2,30-Apr-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
30-Apr-2019 - 00:00,46.07,112.08,25.58,20.93,5.51,26.49,20.41,0.5,22.95,2.36,3.3,0.02,0.78,196.26,56.26,248.56,0.31,30.34,01-May-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
01-May-2019 - 00:00,49.47,132.96,34.34,22.72,8.51,31.28,20.32,0.48,19.22,1.71,2.05,0.01,0.74,179.29,60.66,245.05,0.27,29.31,02-May-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
02-May-2019 - 00:00,51.26,132.17,27.62,19.91,7.7,27.67,20.44,0.44,22.84,1.35,2.61,0.0,0.73,185.06,60.08,259.12,0.25,28.99,03-May-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
03-May-2019 - 00:00,43.07,101.37,24.85,19.62,7.71,27.39,22.74,0.45,21.32,1.81,1.79,0.01,0.82,177.01,61.47,250.03,0.3,28.71,04-May-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
04-May-2019 - 00:00,43.78,111.15,29.68,19.34,10.79,30.18,21.77,0.56,18.32,2.52,3.04,0.01,0.76,166.08,58.9,247.16,0.31,29.5,05-May-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
05-May-2019 - 00:00,41.49,100.74,29.97,18.81,12.61,31.46,24.47,0.56,18.52,2.0,1.64,0.01,0.67,164.33,62.11,243.04,0.3,29.25,06-May-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
06-May-2019 - 00:00,45.26,106.15,22.87,17.37,14.78,32.2,20.11,0.53,17.4,1.1,0.97,0.03,0.54,184.55,62.55,254.86,0.23,29.0,07-May-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
07-May-2019 - 00:00,41.68,87.51,28.73,18.83,12.14,31.01,21.46,0.51,18.52,2.35,4.1,0.03,0.63,166.24,62.14,245.21,0.29,29.68,08-May-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
08-May-2019 - 00:00,37.93,83.95,26.02,19.23,13.65,32.94,22.0,0.71,10.27,3.15,3.16,0.0,0.65,166.94,61.12,236.7,0.25,29.26,09-May-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
09-May-2019 - 00:00,35.02,73.57,27.79,18.38,13.54,31.98,25.3,0.69,12.62,2.19,4.28,0.01,0.59,142.17,58.92,238.34,0.33,29.22,10-May-2019 - 00:00,"Phase-1 GIDC, Vapi - GPCB"
